abase,v cause to feel shame; hurt the pride of
procure,v. get by special effort
profess,"v. practice as a profession, teach, or claim to be knowledgeable about
v. confess one's faith in, or allegiance to
v. state freely
v. receive into a religious order or congregation"
profuse,s produced or growing in extreme abundance
proliferate,"v. grow rapidly
v. cause to grow or increase rapidly"
pronounced,"v speak, pronounce, or utter in a certain way
v pronounce judgment on
s strongly marked; easily noticeable"
proponent,n a person who pleads for a cause or propounds an idea
protestant,"n. an adherent of Protestantism
a. of or relating to Protestants or Protestantism
s. protesting"
psychedelic,"s. producing distorted sensory perceptions and feelings or altered states of awareness or sometimes states resembling psychosis
s. having the vivid colors and bizarre patterns associated with psychedelic states
s. (of a mental state) characterized by intense and distorted perceptions and hallucinations and feelings of euphoria or sometimes despair"
quadruple,"n. a quantity that is four times as great as another
v. increase fourfold
s. having four units or components
s. four times as great or many"
query,"n an instance of questioning
v pose a question"
quirk,"n. a narrow groove beside a beading
v. twist or curve abruptly"
ranch,"n. farm consisting of a large tract of land along with facilities needed to raise livestock (especially cattle)
v. manage or run a ranch"
rating,n. standing or position on a scale
rattlesnake,n. pit viper with horny segments at the end of the tail that rattle when shaken
raze,v tear down so as to make flat with the ground
ready-made,"n. a manufactured artifact (as a garment or piece of furniture) that is made in advance and available for purchase
a. made for purchase and immediate use
s. commercially produced; not homemade"
rebound,"n. a reaction to a crisis or setback or frustration
n. the act of securing possession of the rebounding basketball after a missed shot"
red-hot,"s. characterized by intense emotion or interest or excitement
s. glowing red with heat"
refrigerated,s. made or kept cold by refrigeration
regain,"v get or find back; recover the use of
v come upon after searching; find the location of something that was missed or lost"
relic,n. an antiquity that has survived from the distant past
renounce,"v give up, such as power, as of monarchs and emperors, or duties and obligations
v leave (a job, post, or position) voluntarily
v turn away from; give up
v cast off"
residue,n. matter that remains after something has been removed
resounding,"v ring or echo with sound
v emit a noise
s characterized by resonance"
revere,n. American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
rhythmical,a. recurring with measured regularity
roadhog,n. a driver who obstructs others
road hog,n. a driver who obstructs others
roam,"v move about aimlessly or without any destination, often in search of food or employment"
rustle,"n. a light noise, like the noise of silk clothing or leaves blowing in the wind
v. make a dry crackling sound
v. take illegally
v. forage food"
rut,"n. a groove or furrow (especially one in soft earth caused by wheels)
n. a settled and monotonous routine that is hard to escape
v. be in a state of sexual excitement; of male mammals"
saga,n. a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account
sanitary,a. free from filth and pathogens
sardine,"n. small fatty fish usually canned
n. any of various small edible herring or related food fishes frequently canned"
scapegoat,n. someone who is punished for the errors of others
schism,"n. division of a group into opposing factions
n. the formal separation of a church into two churches or the withdrawal of one group over doctrinal differences"
sediment,"n. matter that has been deposited by some natural process
v. deposit as a sediment
v. settle as sediment"
sensory,a. involving or derived from the senses
sermon,"n. an address of a religious nature (usually delivered during a church service)
n. a moralistic rebuke"
selective,"s. tending to select; characterized by careful choice
s. characterized by very careful or fastidious selection"
sneaker,"n a canvas shoe with a pliable rubber sole
n someone acting as an informer or decoy for the police"
separation,"n. the state of lacking unity
n. coming apart
n. sorting one thing from others
n. the social act of separating or parting company"
