abase,v cause to feel shame; hurt the pride of
erode,"v. become ground down or deteriorate
v. remove soil or rock"
erotic,"n. an erotic person
s. giving sexual pleasure; sexually arousing"
erratic,"s. liable to sudden unpredictable change
s. having no fixed course
s. likely to perform unpredictably; sometimes it would start and sometimes it wouldn't"""
erroneous,s. containing or characterized by error
erudite,s. having or showing profound knowledge
escapade,n. any carefree episode
escapism,n an inclination to retreat from unpleasant realities through diversion or fantasy
eschew,v avoid and stay away from deliberately; stay clear of
esoteric,a. confined to and understandable by only an enlightened inner circle
espionage,n. the systematic use of spies to get military or political secrets
espouse,"v. take up the cause, ideology, practice, method, of someone and use it as one's own"
esteem,n. the condition of being honored (esteemed or respected or well regarded)
estranged,"v remove from customary environment or associations
v arouse hostility or indifference in where there had formerly been love, affection, or friendliness
s caused to be unloved"
ethereal,"a. of or containing or dissolved in ether
s. characterized by unusual lightness and delicacy"
ethnic,n. a person who is a member of an ethnic group
ethos,n. (anthropology) the distinctive spirit of a culture or an era
etymology,"n. a history of a word
n. the study of the sources and development of words"
eulogy,n. a formal expression of praise for someone who has died recently
euphemism,n. an inoffensive or indirect expression that is substituted for one that is considered offensive or too harsh
euphonious,"a. having a pleasant sound
s. (of speech or dialect) pleasing in sound; not harsh or strident"
euphoria,n. a feeling of great (usually exaggerated) elation
evanescent,s. tending to vanish like vapor
evasive,"s. deliberately vague or ambiguous
s. avoiding or escaping from difficulty or danger especially enemy fire"
evenhanded,s. without partiality
evince,v give expression to
evocative,s. serving to bring to mind
ewe,"n. a member of a people living in southern Benin and Togo and southeastern Ghana
n. a Kwa language spoken by the Ewe in Ghana and Togo and Benin
n. female sheep"
exacerbate,v. exasperate or irritate
exacting,"v claim as due or just
v take as an undesirable consequence of some event or state of affairs
a having complicated nutritional requirements; especially growing only in special artificial cultures
s severe and unremitting in making demands
s requiring precise accuracy"
exalt,"v. raise in rank, character, or status"
exasperate,"v exasperate or irritate
v make furious
v make worse"
exceptionable,s. liable to objection or debate; used of something one might take exception to
excerpt,"n. a passage selected from a larger work
v. take out of a literary work in order to cite or copy"
excise,"n. a tax that is measured by the amount of business done (not on property or income from real estate)
v. levy an excise tax on
v. remove by cutting"
exclaim,"v. utter aloud; often with surprise, horror, or joy"
excoriate,"v express strong disapproval of
v tear or wear off the skin or make sore by abrading"
exculpate,v pronounce not guilty of criminal charges
execrable,"s of very poor quality or condition
s unequivocally detestable
s deserving a curse"
execute,"v. kill as a means of socially sanctioned punishment
v. murder in a planned fashion
v. carry out the legalities of
v. sign in the presence of witnesses"
exegesis,n. an explanation or critical interpretation (especially of the Bible)
exemplary,s. worthy of imitation
exemplify,"v. be characteristic of
v. clarify by giving an example of"
exempt,"v. grant relief or an exemption from a rule or requirement to
a. (of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject"
exertion,n use of physical or mental energy; hard work
exhaustive,s. performed comprehensively and completely
exhilarating,s. making lively and cheerful
exhort,"v spur on or encourage especially by cheers and shouts
v force or impel in an indicated direction"
exhume,v dig up for reburial or for medical investigation; of dead bodies
exigency,n. a pressing or urgent situation
exodus,"n. a journey by a large group to escape from a hostile environment
n. the second book of the Old Testament: tells of the departure of the Israelites out of slavery in Egypt led by Moses; God gave them the Ten Commandments and the rest of Mosaic law on Mount Sinai during the Exodus"
exonerate,v pronounce not guilty of criminal charges
exorbitant,s. greatly exceeding bounds of reason or moderation
exorcise,v. expel through adjuration or prayers
exotic,s. strikingly strange or unusual
