coda,n the closing section of a musical composition
balloon,"n. large tough nonrigid bag filled with gas or heated air
n. small thin inflatable rubber bag with narrow neck
v. ride in a hot-air balloon
v. become inflated"
lampoon,"n a composition that imitates or misrepresents somebody's style, usually in a humorous way
v ridicule with satire"
croon,v. sing softly
oxymoron,n. conjoining contradictory terms (as in `deafening silence')
jettison,"v. throw away, of something encumbering
v. throw as from an airplane"
simpleton,n. a person lacking intelligence or common sense
glutton,"n. a person who is devoted to eating and drinking to excess
n. musteline mammal of northern Eurasia"
halcyon,"n. a large kingfisher widely distributed in warmer parts of the Old World
n. a mythical bird said to breed at the time of the winter solstice in a nest floating on the sea and to have the power of calming the winds and waves
s. idyllically calm and peaceful; suggesting happy tranquillity"
blazon,"n the official symbols of a family, state, etc.
v decorate with heraldic arms"
discern,v detect with the senses
scorn,"n lack of respect accompanied by a feeling of intense dislike
n open disrespect for a person or thing
v look down on with disdain
v reject with contempt"
timeworn,s repeated too often; overfamiliar through overuse
careworn,s. showing the wearing effects of overwork or care or suffering
shopworn,s. worn or faded from being on display in a store
adjourn,"v. close at the end of a session
v. break from a meeting or gathering"
spurn,v reject with contempt
taciturn,a. habitually reserved and uncommunicative
shun,v. avoid and stay away from deliberately; stay clear of
fawn,"n. a young deer
v. show submission or fear
v. try to gain favor by cringing or flattering
v. have fawns"
placebo,"n. an innocuous or inert medication; given as a pacifier or to the control group in experiments on the efficacy of a drug
n. (Roman Catholic Church) vespers of the office for the dead"
fiasco,n a sudden and violent collapse
bravado,n. a swaggering show of courage
crescendo,"n. (music) a gradual increase in loudness
v. grow louder
s. gradually increasing in volume"
vertigo,n a reeling sensation; a feeling that you are about to fall
embargo,"n. a government order imposing a trade barrier
v. ban the publication of (documents), as for security or copyright reasons
v. prevent commerce"
imbroglio,"n. an intricate and confusing interpersonal or political situation
n. a very embarrassing misunderstanding"
boo,"n. a cry or noise made to express displeasure or contempt
v. show displeasure, as after a performance or speech"
typo,n a mistake in printed matter resulting from mechanical failures of some kind
tyro,n someone new to a field or activity
virtuoso,n. a musician who is a consummate master of technique and artistry
veto,"n. a vote that blocks a decision
n. the power or right to prohibit or reject a proposed or intended act (especially the power of a chief executive to reject a bill passed by the legislature)
v. vote against; refuse to endorse; refuse to assent"
madcap,"n a reckless impetuous irresponsible person
s characterized by undue haste and lack of thought or deliberation; (`brainish' is archaic)"
mishap,n. an instance of misfortune
overlap,"n. a representation of common ground between theories or phenomena
n. the property of partial coincidence in time
v. coincide partially or wholly
v. extend over and cover a part of"
kidnap,v. take away to an undisclosed location against their will and usually in order to extract a ransom
scrap,"n. a small piece of something that is left over after the rest has been used
v. make into scrap or refuse"
entrap,"v take or catch as if in a snare or trap
v catch in or as if in a trap"
sap,"n. a watery solution of sugars, salts, and minerals that circulates through the vascular system of a plant
v. excavate the earth beneath"
wiretap,"n. the act of tapping a telephone or telegraph line to get information
v. tap a telephone or telegraph wire to get information"
peep,"v. look furtively
v. cause to appear
v. make high-pitched sounds
v. speak in a hesitant and high-pitched tone of voice"
creep,"n. someone unpleasantly strange or eccentric
n. a slow longitudinal movement or deformation
n. a pen that is fenced so that young animals can enter but adults cannot
v. grow or spread, often in such a way as to cover (a surface)"
steep,"n. a steep place (as on a hill)
v. devote (oneself) fully to
v. let sit in a liquid to extract a flavor or to cleanse
a. having a sharp inclination"
sidestep,n. a step to one side (as in boxing or dancing)
showmanship,n. the ability to present something (especially theatrical shows) in an attractive manner
nip,"n. a small drink of liquor
n. a tart spicy quality
n. a small sharp bite or snip
v. give a small sharp bite to"
strip,"n. a relatively long narrow piece of something
n. artifact consisting of a narrow flat piece of material
n. thin piece of wood or metal
n. a form of erotic entertainment in which a dancer gradually undresses to music"
skimp,v. work hastily or carelessly; deal with inadequately and superficially
limp,"v. walk impeded by some physical limitation or injury
v. proceed slowly or with difficulty
s. not firm
s. lacking in strength or firmness or resilience"
scrimp,v. subsist on a meager allowance
