alter,"v. make an alteration to
v. remove the ovaries of"
compliment,"n. a remark (or act) expressing praise and admiration
v. say something to someone that expresses praise
v. express respect or esteem for"
consultation,"n. a conference (usually with someone important)
n. a conference between two or more people to consider a particular question"
controversy,n. a contentious speech act; a dispute where there is strong disagreement
correction,"n. the act of offering an improvement to replace a mistake; setting right
n. a quantity that is added or subtracted in order to increase the accuracy of a scientific measure
n. something substituted for an error
n. a rebuke for making a mistake"
counsel,"n a lawyer who pleads cases in court
n something that provides direction or advice as to a decision or course of action
v give advice to"
counseling,"n something that provides direction or advice as to a decision or course of action
v give advice to"
cue,"n. an actor's line that immediately precedes and serves as a reminder for some action or speech
n. sports implement consisting of a tapering rod used to strike a cue ball in pool or billiards"
deceit,"n the quality of being fraudulent
n a misleading falsehood
n the act of deceiving"
deception,n. the act of deceiving
demerit,"n. a mark against a person for misconduct or failure; usually given in school or armed forces
n. the quality of being inadequate or falling short of perfection"
disturbance,"n. an unhappy and worried mental state
n. a disorderly outburst or tumult
n. the act of disturbing something or someone; setting something in motion"
dullness,"n. the quality of being slow to understand
n. the quality of lacking interestingness
n. a lack of visual brightness"
endurance,n. the power to withstand hardship or stress
exaggeration,"n. the act of making something more noticeable than usual
n. making to seem more important than it really is"
excellence,"n. the quality of excelling; possessing good qualities in high degree
n. an outstanding feature; something in which something or someone excels"
facsimile,"n. an exact copy or reproduction
n. duplicator that transmits the copy by wire or radio"
fake,"n. something that is a counterfeit; not what it seems to be
s. not genuine or real; being an imitation of the genuine article; it's real synthetic fur"""
flexibility,"n. the property of being flexible; easily bent or shaped
n. the quality of being adaptable or variable"
fluid,"n. a substance that is fluid at room temperature and pressure
n. continuous amorphous matter that tends to flow and to conform to the outline of its container: a liquid or a gas
s. subject to change; variable
s. characteristic of a fluid; capable of flowing and easily changing shape"
formality,"n. a requirement of etiquette or custom
n. a manner that strictly observes all forms and ceremonies
n. compliance with formal rules"
formula,"n. a group of symbols that make a mathematical statement
n. a conventionalized statement expressing some fundamental principle
n. a representation of a substance using symbols for its constituent elements
n. a liquid food for infants"
fragment,"n. a piece broken off or cut off of something else
n. an incomplete piece"
fuck,n. slang for sexual intercourse
fulfillment,"n. a feeling of satisfaction at having achieved your desires
n. the act of consummating something (a desire or promise etc)"
fuss,"n. an angry disturbance
v. worry unnecessarily or excessively"
gathering,n. a group of persons together in one place
grouping,"n. the activity of putting things together in groups
n. a system for classifying things into groups"
handicap,"n. advantage given to a competitor to equalize chances of winning
v. attempt to forecast the winner (especially in a horse race) and assign odds for or against a contestant
v. put at a disadvantage"
hum,"n. a humming noise
v. sing with closed lips
v. be noisy with activity
v. sound with a monotonous hum"
idleness,n. having no employment
impossibility,"n. incapability of existing or occurring
n. an alternative that is not available"
inclination,"n. an attitude of mind especially one that favors one alternative over others
n. (astronomy) the angle between the plane of the orbit and the plane of the ecliptic stated in degrees
n. (geometry) the angle formed by the x-axis and a given line (measured counterclockwise from the positive half of the x-axis)
n. that toward which you are inclined to feel a liking"
initiative,"n readiness to embark on bold new ventures
n the first of a series of actions
s serving to set in motion"
inquiry,"n. a search for knowledge
n. a systematic investigation of a matter of public interest"
interpretation,"n. a mental representation of the meaning or significance of something
n. an explanation that results from interpreting something
n. an explanation of something that is not immediately obvious"
interruption,n. some abrupt occurrence that interrupts an ongoing activity
jerk,"n. a dull stupid fatuous person
n. an abrupt spasmodic movement
n. (mechanics) the rate of change of acceleration
n. raising a weight from shoulder height to above the head by straightening the arms"
leak,"n. an accidental hole that allows something (fluid or light etc.) to enter or escape
n. soft watery rot in fruits and vegetables caused by fungi
n. a euphemism for urination
n. unauthorized (especially deliberate) disclosure of confidential information"
manhood,"n. the state of being a man; manly qualities
n. the status of being a man"
moderation,"n. quality of being moderate and avoiding extremes
n. the action of lessening in severity or intensity"
morality,n. concern with the distinction between good and evil or right and wrong; right or good conduct
narration,"n. the act of giving an account describing incidents or a course of events
n. (rhetoric) the second section of an oration in which the facts are set forth"
narrative,"n. a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
s. consisting of or characterized by the telling of a story"
navigation,"n. the guidance of ships or airplanes from place to place
n. ship traffic"
newsletter,n. report or open letter giving informal or confidential news of interest to a special group
nomination,"n. the act of officially naming a candidate
n. the condition of having been proposed as a suitable candidate for appointment or election"
ownership,"n. the relation of an owner to the thing possessed; possession with the right to transfer possession to others
n. the state or fact of being an owner"
peculiarity,"n. an odd or unusual characteristic
n. a distinguishing trait"
penetration,"n. an attack that penetrates into enemy territory
n. clear or deep perception of a situation
n. the act of entering into or through something"
peril,"n a source of danger; a possibility of incurring loss or misfortune
n a state of danger involving risk
n a venture undertaken without regard to possible loss or injury
v pose a threat to; present a danger to
v put in a dangerous, disadvantageous, or difficult position"
personnel,"n group of people willing to obey orders
n the department responsible for hiring and training and placing employees and for setting policies for personnel management"
postage,"n. the charge for mailing something
n. a small adhesive token stuck on a letter or package to indicate that that postal fees have been paid"
premise,"n. a statement that is assumed to be true and from which a conclusion can be drawn
v. set forth beforehand, often as an explanation
v. take something as preexisting and given"
pretense,"n. the act of giving a false appearance
n. pretending with intention to deceive
n. imaginative intellectual play"
probability,"n. a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible
n. the quality of being probable; a probable event or the most probable event"
qualification,"n. an attribute that must be met or complied with and that fits a person for something
n. the act of modifying or changing the strength of some idea"
quest,"n. the act of searching for something
v. make a search (for)
v. search the trail of (game)
v. seek alms, as for religious purposes"
queue,"n. a line of people or vehicles waiting for something
n. (information processing) an ordered list of tasks to be performed or messages to be transmitted
n. a braid of hair at the back of the head"
rape,"n. Eurasian plant cultivated for its seed and as a forage crop
n. the act of despoiling a country in warfare
n. the crime of forcing a woman to submit to sexual intercourse against her will
v. force (someone) to have sex against their will"
recreation,"n an activity that diverts or amuses or stimulates
n activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation"
registration,"n. the act of enrolling
n. the body of people (such as students) who register or enroll at the same time
n. a document certifying an act of registering
n. (music) the sound property resulting from a combination of organ stops used to perform a particular piece of music; the technique of selecting and adjusting organ stops"
regularity,"n. a property of polygons: the property of having equal sides and equal angles
n. the quality of being characterized by a fixed principle or rate"
remainder,"n. something left after other parts have been taken away
n. the part of the dividend that is left over when the dividend is not evenly divisible by the divisor
n. the number that remains after subtraction; the number that when added to the subtrahend gives the minuend
v. sell cheaply as remainders"
repetition,"n. the act of doing or performing again
n. the repeated use of the same word or word pattern as a rhetorical device"
repose,"n. a disposition free from stress or emotion
v. put or confide something in a person or thing
v. lie when dead"
representation,"n. a presentation to the mind in the form of an idea or image
n. a creation that is a visual or tangible rendering of someone or something
n. the act of representing; standing in for someone or some group and speaking with authority in their behalf
n. the state of serving as an official and authorized delegate or agent"
restoration,"n. the reign of Charles II in England; 1660-1685
n. the act of restoring something or someone to a satisfactory state
n. some artifact that has been restored or reconstructed
n. a model that represents the landscape of a former geological age or that represents and extinct animal etc."
revolt,v. make revolution
riddle,"n. a difficult problem
n. a coarse sieve (as for gravel)
v. pierce with many holes
v. set a difficult problem or riddle"
salute,"n. an act of honor or courteous recognition
n. a formal military gesture of respect
n. an act of greeting with friendly words and gestures like bowing or lifting the hat
v. greet in a friendly way"
scenario,"n. an outline or synopsis of a play (or, by extension, of a literary work)
n. a setting for a work of art or literature
n. a postulated sequence of possible events"
seminar,"n. any meeting for an exchange of ideas
n. a course offered for a small group of advanced students"
sequence,"n. serial arrangement in which things follow in logical order or a recurrent pattern
n. a following of one thing after another in time
n. film consisting of a succession of related shots that develop a given subject in a movie
n. several repetitions of a melodic phrase in different keys"
sewing,"n. joining or attaching by stitches
n. needlework on which you are working with needle and thread"
slogan,n a favorite saying of a sect or political group
span,"n. the complete duration of something
n. the distance or interval between two points
n. a unit of length based on the width of the expanded human hand (usually taken as 9 inches)"
stability,"n. the quality or attribute of being firm and steadfast
n. a stable order (especially of society)"
storage,"n. the act of storing something
n. the commercial enterprise of storing goods and materials
n. (computer science) the process of storing information in a computer memory or on a magnetic tape or disk"
storytelling,none
strife,n. bitter conflict; heated often violent dissension
supplement,"n. a quantity added (e.g. to make up for a deficiency)
v. add as a supplement to what seems insufficient
v. serve as a supplement to"
surname,n. the name used to identify the members of a family (as distinguished from each member's given name)
teamwork,n. cooperative work done by a team (especially when it is effective)
telegraph,n. apparatus used to communicate at a distance over a wire (usually in Morse code)
theft,n the act of taking something from someone unlawfully
tick,"n. a metallic tapping sound
n. any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals
n. a light mattress
v. make a sound like a clock or a timer"
transformation,"n. a qualitative change
n. (mathematics) a function that changes the position or direction of the axes of a coordinate system
n. a rule describing the conversion of one syntactic structure into another related syntactic structure"
transmission,"n. the act of sending a message; causing a message to be transmitted
n. communication by means of transmitted signals
n. the gears that transmit power from an automobile engine via the driveshaft to the live axle"
unhappiness,n. state characterized by emotions ranging from mild discontentment to deep grief
usefulness,n the quality of being of practical use
utility,"n. a company that performs a public service; subject to government regulation
n. the quality of being of practical use
n. the service (electric power or water or transportation) provided by a public utility
n. (economics) a measure that is to be maximized in any situation involving choice"
violation,n. an act that disregards an agreement or a right
withdrawal,"n. a retraction of a previously held position
n. the act of taking out money or other capital
n. the act of withdrawing
n. avoiding emotional involvement"
bribe,"n. payment made to a person in a position of trust to corrupt his judgment
v. make illegal payments to in exchange for favors or influence"
corruption,"n. decay of matter (as by rot or oxidation)
n. moral perversion; impairment of virtue and moral principles
n. destroying someone's (or some group's) honesty or loyalty; undermining moral integrity
n. inducement (as of a public official) by improper means (as bribery) to violate duty (as by commiting a felony)"
deficit,"n. the property of being an amount by which something is less than expected or required
n. a deficiency or failure in neurological or mental functioning
n. (sports) the score by which a team or individual is losing
n. an excess of liabilities over assets (usually over a certain period)"
discrimination,"n. unfair treatment of a person or group on the basis of prejudice
n. the cognitive process whereby two or more stimuli are distinguished"
federation,"n. an organization formed by merging several groups or parties
n. the act of constituting a political unity out of a number of separate states or colonies or provinces so that each member retains the management of its internal affairs"
fleet,"n. group of aircraft operating together under the same ownership
n. group of motor vehicles operating together under the same ownership
n. a group of steamships operating together under the same ownership
n. a group of warships organized as a tactical unit"
framework,"n. the underlying structure
n. a structure supporting or containing something"
ideology,n. imaginary or visionary theorization
insistence,"n. continual and persistent demands
n. the act of insisting on something"
intervention,"n. the act of intervening (as to mediate a dispute, etc.)
n. a policy of intervening in the affairs of other countries
n. (law) a proceeding that permits a person to enter into a lawsuit already in progress; admission of person not an original party to the suit so that person can protect some right or interest that is allegedly affected by the proceedings"
isolation,"n. a state of separation between persons or groups
n. a feeling of being disliked and alone
n. the act of isolating something; setting something apart from others
n. (psychiatry) a defense mechanism in which memory of an unacceptable act or impulse is separated from the emotion originally associated with it"
justification,"n. something (such as a fact or circumstance) that shows an action to be reasonable or necessary
n. a statement in explanation of some action or belief
n. the act of defending or explaining or making excuses for by reasoning"
mining,"n. the act of extracting ores or coal etc from the earth
n. laying explosive mines in concealed places to destroy enemy personnel and equipment"
monopoly,"n. (economics) a market in which there are many buyers but only one seller
n. exclusive control or possession of something
n. a board game in which players try to gain a monopoly on real estate as pieces advance around the board according to the throw of a die"
patent,"n. a document granting an inventor sole rights to an invention
n. an official document granting a right or privilege
v. obtain a patent for
v. grant rights to; grant a patent for"
pension,"n. a regular payment to a person that is intended to allow them to subsist without working
v. grant a pension to"
proceeding,n. (law) the institution of a sequence of steps by which legal judgments are invoked
rally,"n. a large gathering of people intended to arouse enthusiasm
n. the feat of mustering strength for a renewed effort
n. a marked recovery of strength or spirits during an illness
n. an automobile race run over public roads"
realm,"n a domain in which something is dominant
n the domain ruled by a king or queen
n a knowledge domain that you are interested in or are communicating about"
reign,"n. a period during which something or somebody is dominant or powerful
n. the period during which a monarch is sovereign
n. royal authority; the dominion of a monarch
v. have sovereign power"
revenue,"n the entire amount of income before any deductions are made
n government income due to taxation"
sect,n. a subdivision of a larger religious group
starvation,"n. a state of extreme hunger resulting from lack of essential nutrients over a prolonged period
n. the act of depriving of food or subjecting to famine"
taxation,n. the imposition of taxes; the practice of the government in levying taxes on the subjects of a state
torture,"n. unbearable physical pain
n. the deliberate, systematic, or wanton infliction of physical or mental suffering by one or more persons in an attempt to force another person to yield information or to make a confession or for any other reason
v. subject to torture"
transaction,n. the act of transacting within or between groups (as carrying on commercial activities)
treasury,"n. the funds of a government or institution or individual
n. the government department responsible for collecting and managing and spending public revenues
n. negotiable debt obligations of the United States government which guarantees that interest and principal payments will be paid on time
n. the British cabinet minister responsible for economic strategy"
warrant,"n. a writ from a court commanding police to perform specified acts
n. a type of security issued by a corporation (usually together with a bond or preferred stock) that gives the holder the right to purchase a certain amount of common stock at a stated price"
barbecue,"n. meat that has been barbecued or grilled in a highly seasoned sauce
n. a cookout in which food is cooked over an open fire; especially a whole animal carcass roasted on a spit
n. a rack to hold meat for cooking over hot charcoal usually out of doors"
cracker,"n. a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet
n. a programmer who cracks (gains unauthorized access to) computers, typically to do malicious things
n. a party favor consisting of a paper roll (usually containing candy or a small favor) that pops when pulled at both ends"
eggplant,"n. egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow
n. hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable"
mutton,n meat from a mature domestic sheep
noodle,n. a ribbonlike strip of pasta
oat,"n. annual grass of Europe and North Africa; grains used as food and fodder (referred to primarily in the plural: `oats')
n. seed of the annual grass Avena sativa (spoken of primarily in the plural as `oats')"
pastry,"n. a dough of flour and water and shortening
n. any of various baked foods made of dough or batter"
radish,"n. pungent fleshy edible root
n. radish of Japan with a long hard durable root eaten raw or cooked
n. pungent edible root of any of various cultivated radish plants"
refreshment,"n. snacks and drinks served as a light meal
n. activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation"
spinach,"n. southwestern Asian plant widely cultivated for its succulent edible dark green leaves
n. dark green leaves; eaten cooked or raw in salads"
tuna,"n. tropical American prickly pear of Jamaica
n. important warm-water fatty fish of the genus Thunnus of the family Scombridae; usually served as steaks
n. any very large marine food and game fish of the genus Thunnus; related to mackerel; chiefly of warm waters
n. New Zealand eel"
accuracy,"n. the quality of being near to the true value
n. (mathematics) the number of significant figures given in a number"
boldness,"n. the trait of being willing to undertake things that involve risk or danger
n. impudent aggressiveness
n. the quality of standing out strongly and distinctly"
brightness,"n. the location of a visual perception along a continuum from black to white
n. intelligence as manifested in being quick and witty"
calmness,"n. an absence of strong winds or rain
n. a feeling of calm; an absence of agitation or excitement"
capability,"n. the quality of being capable -- physically or intellectually or legally
n. the susceptibility of something to a particular treatment
n. an aptitude that may be developed"
certainty,"n. the state of being certain
n. something that is certain"
cheapness,n. tastelessness by virtue of being cheap and vulgar
clearness,n. the quality of clear water
complexity,n. the quality of being intricate and compounded
cupful,n the quantity a cup will hold
dimension,"n. the magnitude of something in a particular direction (especially length or width or height)
n. one of three Cartesian coordinates that determine a position in space
v. indicate the dimensions on
v. shape or form to required dimensions"
gallon,"n. United States liquid unit equal to 4 quarts or 3.785 liters
n. a British imperial capacity measure (liquid or dry) equal to 4 quarts or 4.545 liters"
intensity,"n. the amount of energy transmitted (as by acoustic or electromagnetic radiation)
n. high level or degree; the property of being intense"
mouthful,n. the quantity that can be held in the mouth
multitude,"n. a large gathering of people
n. the common people generally"
pint,"n. a British imperial capacity measure (liquid or dry) equal to 4 gills or 568.26 cubic centimeters
n. a United States dry unit equal to 0.5 quart or 33.6 cubic inches
n. a United States liquid unit equal to 16 fluid ounces; two pints equal one quart"
puff,"n. a short light gust of air
n. a light inflated pastry or puff shell
n. exaggerated praise (as for promotional purposes)
n. a slow inhalation (as of tobacco smoke)"
quietness,n. the property of making no sound
ratio,n. the relative magnitudes of two quantities (usually expressed as a quotient)
scope,"n. an area in which something acts or operates or has power or control: ""the range of a supersonic jet"""
sensitivity,"n. (physiology) responsiveness to external stimuli; the faculty of sensation
n. the ability to respond to physical stimuli or to register small physical amounts or differences
n. sensitivity to emotional feelings (of self and others)"
sharpness,"n. the quality of being keenly and painfully felt
n. thinness of edge or fineness of point"
simplicity,"n. the quality of being simple or uncompounded
n. a lack of penetration or subtlety
n. absence of affectation or pretense"
stack,"n. an orderly pile
v. load or cover with stacks
v. arrange in stacks
v. arrange the order of so as to increase one's winning chances"
stillness,n. calmness without winds
succession,"n. a group of people or things arranged or following in order
n. the action of following in order
n. (ecology) the gradual and orderly process of change in an ecosystem brought about by the progressive replacement of one community by another until a stable climax is established
n. acquisition of property by descent or by will"
sufficiency,"n. sufficient resources to provide comfort and meet obligations
n. the quality of being sufficient for the end in view"
sweetness,n. the property of tasting as if it contains sugar
teaspoonful,n as much as a teaspoon will hold
tempo,"n. (music) the speed at which a composition is to be played
n. the rate of some repeating event"
tenderness,"n. a tendency to express warm and affectionate feeling
n. a pain that is felt (as when the area is touched)
n. warm compassionate feelings"
thickness,"n. the dimension through an object as opposed to its length or width
n. indistinct articulation
n. used of a line or mark
n. resistance to flow"
voltage,n. the rate at which energy is drawn from a source that produces a flow of electricity in a circuit; expressed in volts
whiteness,n. lightness or fairness of complexion
airliner,n. a commercial airplane that carries passengers
crane,"n. United States writer (1871-1900)
n. United States poet (1899-1932)
n. lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis
n. large long-necked wading bird of marshes and plains in many parts of the world"
glider,n. aircraft supported only by the dynamic action of air against its surfaces
liner,"n. (baseball) a hit that flies straight out from the batter
n. a piece of cloth that is used as the inside surface of a garment
n. a large commercial ship (especially one that carries passengers on a regular schedule)"
motorcar,n a motor vehicle with four wheels; usually propelled by an internal combustion engine
scooter,n. child's two-wheeled vehicle operated by foot
spacecraft,"n. a craft capable of traveling in outer space; technically, a satellite around the sun"
spaceship,n a spacecraft designed to carry a crew into interstellar space (especially in science fiction)
steamship,n a ship powered by one or more steam engines
alley,n. a narrow street with walls on both sides
bazaar,"n. a shop where a variety of goods are sold
n. a street of small shops (especially in Orient)
n. a sale of miscellany; often for charity"
booth,"n. a table (in a restaurant or bar) surrounded by two high-backed benches
n. small area set off by walls for special use
n. United States actor and assassin of President Lincoln (1838-1865)
n. a small shop at a fair; for selling goods or entertainment"
campground,n a site where people on holiday can pitch a tent
canyon,n. a ravine formed by a river in an area with little rainfall
cemetery,n. a tract of land used for burials
ditch,"n. a long narrow excavation in the earth
n. any small natural waterway
v. forsake
v. make an emergency landing on water"
driveway,n. a road leading up to a private house
dwelling,n. housing that someone is living in
farmland,n. a rural area where farming is practiced
gateway,n. an entrance that can be closed by a gate
hallway,n. an interior passage or corridor onto which rooms open
isle,n. a small island
lodging,n. the act of lodging
mainland,n. the main land mass of a country or continent; as distinguished from an island or peninsula
marketplace,n. an area in a town where a public mercantile establishment is set up
midst,n. the location of something surrounded by other things
motorway,n a broad highway designed for high-speed traffic
nightclub,n a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink
orbit,"n. the (usually elliptical) path described by one celestial body in its revolution about another
n. the path of an electron around the nucleus of an atom"
orchard,n garden consisting of a small cultivated wood without undergrowth
orient,"v. be oriented
v. determine one's position with reference to another point
v. cause to point
v. familiarize (someone) with new surroundings or circumstances"
parlor,n. reception room in an inn or club where visitors can be received
planetarium,"n. a building housing an instrument for projecting the positions of the planets onto a domed ceiling
n. an optical device for projecting images of celestial bodies and other astronomical phenomena onto the inner surface of a hemispherical dome
n. an apparatus or model for representing the solar systems"
plantation,"n. an estate where cash crops are grown on a large scale (especially in tropical areas)
n. a newly established colony (especially in the colonization of North America)"
ridge,"n. a long narrow natural elevation or striation
n. any long raised strip
n. a long narrow natural elevation on the floor of the ocean
n. a long narrow range of hills"
salon,"n. gallery where works of art can be displayed
n. a shop where hairdressers and beauticians work
n. elegant sitting room where guests are received"
seaport,n. a sheltered port where ships can take on or discharge cargo
shrine,n. a place of worship hallowed by association with some sacred thing or person
staircase,n a way of access (upward and downward) consisting of a set of steps
standpoint,n a mental position from which things are viewed
strait,"n. a narrow channel of the sea joining two larger bodies of water
s. narrow"
swamp,"n. low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
n. a situation fraught with difficulties and imponderables
v. drench or submerge or be drenched or submerged"
terrace,"n. a level shelf of land interrupting a declivity (with steep slopes above and below)
n. a row of houses built in a similar style and having common dividing walls (or the street on which they face)
v. provide (a house) with a terrace
v. make into terraces as for cultivation"
ace,"n. one of four playing cards in a deck having a single pip on its face
n. someone who is dazzlingly skilled in any field
n. a serve that the receiver is unable to reach
v. score an ace against"
administrator,"n. someone who administers a business
n. the party appointed by a probate court to distribute the estate of someone who dies without a will or without naming an executor
n. someone who manages a government agency or department"
admirer,"n. a person who admires; someone who esteems or respects or approves
n. someone who admires a young woman"
advertiser,n. someone whose business is advertising
astronomer,n. a physicist who studies astronomy
Buddhist,"n. one who follows the teachings of Buddha
a. of or relating to or supporting Buddhism"
builder,"n. a substance added to soaps or detergents to increase their cleansing action
n. a person who creates a business or who organizes and develops a country
n. someone who contracts for and supervises construction (as of a building)"
caller,"n. a social or business visitor
n. an investor who buys a call option
n. the bettor in a card game who matches the bet and calls for a show of hands
n. a person who announces the changes of steps during a dance"
carrier,"n. someone whose employment involves carrying something
n. a self-propelled wheeled vehicle designed specifically to carry something
n. an inactive substance that is a vehicle for a radioactive tracer of the same substance and that assists in its recovery after some chemical reaction
n. a person or firm in the business of transporting people or goods or messages"
cashier,"n. a person responsible for receiving payments for goods and services (as in a shop or restaurant)
v. discard or do away with
v. discharge with dishonor, as in the army"
chairperson,n the officer who presides at the meetings of an organization
challenger,n the contestant you hope to defeat
councilor,n. A member of a council.
counselor,"n. someone who gives advice about problems
n. someone who has supervisory duties at a summer camp"
creator,n. a person who grows or makes or invents things
crook,"n. a long staff with one end being hook shaped
v. bend or cause to bend"
cyclist,n. a person who rides a bicycle
defender,"n. a person who cares for persons or property
n. a fighter who holds out against attack"
demonstrator,"n. a teacher or teacher's assistant who demonstrates the principles that are being taught
n. someone who demonstrates an article to a prospective buyer
n. someone who participates in a public display of group feeling"
deputy,"n. someone authorized to exercise the powers of sheriff in emergencies
n. an assistant with power to act when his superior is absent
n. a member of the lower chamber of a legislative assembly (such as in France)
n. a person appointed to represent or act on behalf of others"
duke,"n. a British peer of the highest rank
n. a nobleman (in various countries) of high rank"
examiner,"n. someone who administers a test to determine your qualifications
n. an investigator who observes carefully"
exporter,n. a businessperson who transports goods abroad (for sale)
feminist,"n. a supporter of feminism
a. of or relating to or advocating equal rights for women"
gunman,"n. a professional killer who uses a gun
n. a person who shoots a gun (as regards their ability)"
lad,"n a boy or man
n a male child (a familiar term of address to a boy)"
loser,"n. a contestant who loses the contest
n. a gambler who loses a bet"
mister,n. a form of address for a man
newcomer,"n. any new participant in some activity
n. a recent arrival"
newscaster,n. someone who broadcasts the news
nobleman,n a titled peer of the realm
nun,"n. a woman religious
n. the 14th letter of the Hebrew alphabet"
offspring,"n. the immediate descendants of a person
n. something that comes into existence as a result"
outsider,n. a contestant (human or animal) not considered to have a good chance to win
physicist,n. a scientist trained in physics
promoter,n. someone who is an active supporter and advocate
protector,n a person who cares for persons or property
Protestant,"n. an adherent of Protestantism
a. of or relating to Protestants or Protestantism
s. protesting"
senator,n. a member of a senate
sender,n. someone who transmits a message
socialist,n. a political advocate of socialism
storyteller,n. someone who tells lies
sweetheart,"n. a person loved by another person
n. any well-liked individual
s. privileged treatment of a favored person or corporation (sometimes unethically)"
taxpayer,n. someone who pays taxes
technician,"n. someone whose occupation involves training in a specific technical process
n. someone known for high skill in some intellectual or artistic technique"
tenant,"n. someone who pays rent to use land or a building or a car that is owned by someone else
n. a holder of buildings or lands by any kind of title (as ownership or lease)
n. any occupant who dwells in a place
v. occupy as a tenant"
translator,"n. a person who translates written messages from one language to another
n. a program that translates one programming language into another"
viewer,n. an optical device for viewing photographic transparencies
virgin,"n. a person who has never had sex
s. being used or worked for the first time"
voter,n. a citizen who has a legal right to vote
watchman,n. a guard who keeps watch
workman,n. an employee who performs manual or industrial labor
aluminum,n. a silvery ductile metallic element found primarily in bauxite
armchair,n. chair with a support on each side for arms
asset,n. a useful or valuable quality
beater,"n. a worker who rouses wild game from under cover for a hunter
n. an implement for beating"
broom,"n. a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle
n. any of various shrubs of the genera Cytisus or Genista or Spartium having long slender branches and racemes of yellow flowers
v. finish with a broom"
calculator,"n. an expert at calculation (or at operating calculating machines)
n. a small machine that is used for mathematical calculations"
cannon,"n. a large artillery gun that is usually on wheels
n. heavy gun fired from a tank
n. (Middle Ages) a cylindrical piece of armor plate to protect the arm
n. heavy automatic gun fired from an airplane"
cello,n. a large stringed instrument; seated player holds it upright while playing
certificate,"n. a document attesting to the truth of certain stated facts
v. present someone with a certificate
v. authorize by certificate"
commodity,n. articles of commerce
compass,"n. navigational instrument for finding directions
n. the limit of capability
n. drafting instrument used for drawing circles
v. bring about; accomplish"
condom,n. contraceptive device consisting of a sheath of thin rubber or latex that is worn over the penis during intercourse
dart,"n. a small narrow pointed missile that is thrown or shot
n. a tapered tuck made in dressmaking
v. run or move very quickly or hastily
v. move with sudden speed"
dime,n. a United States coin worth one tenth of a dollar
firework,n. (usually plural) a device with an explosive that burns at a low rate and with colored flames; can be used to illuminate areas or send signals etc.
fossil,"n. the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil
a. characteristic of a fossil"
headlight,n. a powerful light with reflector; attached to the front of an automobile or locomotive
heritage,n. practices that are handed down from the past by tradition
holder,"n. a holding device
n. a person who holds something
n. the person who is in possession of a check or note or bond or document of title that is endorsed to him or to whoever holds it"
inheritance,"n. hereditary succession to a title or an office or property
n. that which is inherited; a title or property or estate that passes by law to the heir on the death of the owner
n. (genetics) attributes acquired via biological heredity from the parents
n. any attribute or immaterial possession that is inherited from ancestors"
junk,n. any of various Chinese boats with a high poop and lugsails
kit,"n. a case for containing a set of articles
n. gear consisting of a set of articles or tools for a specified purpose
n. young of any of various fur-bearing animals"
lever,"n. a rigid bar pivoted about a fulcrum
n. a simple machine that gives a mechanical advantage when given a fulcrum
n. a flat metal tumbler in a lever lock"
lining,"n. a protective covering that protects an inside surface
n. providing something with a surface of a different material
n. the act of attaching an inside lining (to a garment or curtain etc.)"
loudspeaker,n. electro-acoustic transducer that converts electrical signals into sounds loud enough to be heard at a distance
lumber,"n. the wood of trees cut and prepared for use as building material
v. move heavily or clumsily"
miniature,"n. painting or drawing included in a book (especially in illuminated medieval manuscripts)
n. a copy that reproduces a person or thing in greatly reduced size
s. being on a very small scale"
opener,"n. the first event in a series
n. a hand tool used for opening sealed containers (bottles or cans)"
pedal,"n. a lever that is operated with the foot
v. operate the pedals on a keyboard instrument
a. of or relating to the feet"
perch,"n. support consisting of a branch or rod that serves as a resting place (especially for a bird)
n. a linear measure of 16.5 feet
n. a square rod of land
n. an elevated place serving as a seat"
pillar,"n. a fundamental principle or practice
n. a prominent supporter"
plug,"n. blockage consisting of an object designed to fill a hole tightly
n. an electrical device with two or three pins that is inserted in a socket to make an electrical connection
v. fill or close tightly with or as if with a plug
v. persist in working hard"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
puppet,"n. a small figure of a person operated from above with strings by a puppeteer
n. a doll with a hollow head of a person or animal and a cloth body; intended to fit over the hand and be manipulated with the fingers"
rack,"n. framework for holding objects
n. rib section of a forequarter of veal or pork or especially lamb or mutton
n. an instrument of torture that stretches or disjoints or mutilates victims
n. a support for displaying various articles"
radar,n. measuring instrument in which the echo of a pulse of microwave radiation is used to detect and locate distant objects
