looter,n someone who takes spoils or plunder (as in war)
accede,v. take on duties or office
carry-on,none
scorecard,n (golf) a record of scores (as in golf)
sizeable,"s fairly large
s large in amount or extent or degree"
low-lying,"s. having a small elevation above the ground or horizon or sea level
s. lying below the normal level"
filet,n. lace having a square mesh
submissive,a. inclined or willing to submit to orders or wishes of others or showing such inclination
salmonella,n. rod-shaped Gram-negative enterobacteria; cause typhoid fever and food poisoning; can be used as a bioweapon
aggregate,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster
n. a sum total of many heterogenous things taken together
v. amount in the aggregate to
v. gather in a mass, sum, or whole"
equivalence,n. essential equality and interchangeability
boat,"n. a small vessel for travel on water
v. ride in a boat on water"
tomography,n (medicine) obtaining pictures of the interior of the body
unraveled,"v become or cause to become undone by separating the fibers or threads of
v disentangle
v become undone"
forty-one,s being one more than forty
trimester,"n. a period of three months; especially one of the three three-month periods into which human pregnancy is divided
n. one of three divisions of an academic year"
radon,n. a radioactive gaseous element formed by the disintegration of radium; the heaviest of the inert gasses; occurs naturally (especially in areas over granite) and is considered a hazard to health
indistinct,a. not clearly defined or easy to perceive or understand
cinch,"n. any undertaking that is easy to do
n. stable gear consisting of a band around a horse's belly that holds the saddle in place
n. a form of all fours in which the players bid for the privilege of naming trumps"
upriver,r. toward the source or against the current
loot,"n. goods or money obtained illegally
v. take illegally; of intellectual property"
brief,"n. a document stating the facts and points of law of a client's case
n. a condensed written summary or abstract
v. give essential information to someone
s. of short duration or distance"
heh,none
snare,"n. a surgical instrument consisting of wire hoop that can be drawn tight around the base of polyps or small tumors to sever them; used especially in body cavities
n. strings stretched across the lower head of a snare drum; they make a rattling sound when the drum is hit
n. a trap for birds or small mammals; often has a slip noose"
recliner,n. an armchair whose back can be lowered and foot can be raised to allow the sitter to recline in it
bob,"n. a hair style for women and children; a short haircut all around
n. a hanging weight, especially a metal ball on a string
n. a small float usually made of cork; attached to a fishing line
n. a short abrupt inclination (as of the head)"
ripped,"v tear or be torn violently
v move precipitously or violently
v cut (wood) along the grain
v criticize or abuse strongly and violently"
pliers,n. a gripping hand tool with two hinged arms and (usually) serrated jaws
not-for-profit,n. an organization chartered for other than profit-making activities
sully,"n. United States painter (born in England) of portraits and historical scenes (1783-1872)
n. French statesman (1560-1641)"
frothy,"s emitting or filled with bubbles as from carbonation or fermentation
s marked by high spirits or excitement"
criminality,n the state of being a criminal
prospector,n. someone who explores an area for mineral deposits
recollect,v recall knowledge from memory; have a recollection
statistician,"n. a mathematician who specializes in statistics
n. someone versed in the collection and interpretation of numerical data (especially someone who uses statistics to calculate insurance premiums)"
tuning,n. (music) calibrating something (an instrument or electronic circuit) to a standard frequency
anvil,n. a heavy block of iron or steel on which hot metals are shaped by hammering
ahh,none
connectedness,"n the state of being connected
n a relation between things or events (as in the case of one causing the other or sharing features with it)"
air-conditioning,"v control the humidity and temperature of
v equip with an apparatus for controlling the humidity and temperature"
particularity,n. the quality of being particular and pertaining to a specific case or instance
tribesman,n. someone who lives in a tribe
electrically,r. by electricity
headband,n. a band worn around or over the head
declared,"a. made known or openly avowed
s. declared as fact; explicitly stated"
idealist,n. someone guided more by ideals than by practical considerations
clumsily,r. in a clumsy manner
mannerism,"n a behavioral attribute that is distinctive and peculiar to an individual
n a deliberate pretense or exaggerated display"
intelligentsia,n. an educated and intellectual elite
qualitatively,r. in a qualitative manner
churn,"n. a vessel in which cream is agitated to separate butterfat from buttermilk
v. stir (cream) vigorously in order to make butter
v. be agitated"
whistling,n. the act of whistling a tune
drooping,"s. weak from exhaustion
s. hanging down (as from exhaustion or weakness)"
rifle,"n. a shoulder firearm with a long barrel and a rifled bore
v. go through in search of something; search through someone's belongings in an unauthorized way"
libido,n. (psychoanalysis) a Freudian term for sexual urge or desire
inoculate,"v. introduce an idea or attitude into the mind of
v. introduce a microorganism into
v. insert a bud for propagation"
meaningfully,r. in a meaningful manner; so as to be meaningful
dioxin,n. any of several toxic or carcinogenic hydrocarbons that occur as impurities in herbicides
innkeeper,n the owner or manager of an inn
anachronism,"n. something located at a time when it could not have existed or occurred
n. an artifact that belongs to another time
n. a person who seems to be displaced in time; who belongs to another age"
blank,"n. a piece of material ready to be made into something
n. a cartridge containing an explosive charge but no bullet
v. keep the opposing (baseball) team from winning
s. (of a surface) not written or printed on"
uptake,n. a process of taking up or using up or consuming
bridesmaid,n. an unmarried woman who attends the bride at a wedding
Spanish-language,none
labeling,"v assign a label to; designate with a label
v attach a tag or label to
v pronounce judgment on
v distinguish (as a compound or molecule) by introducing a labeled atom
v distinguish (an element or atom) by using a radioactive isotope or an isotope of unusual mass for tracing through chemical reactions"
tumbling,"n the gymnastic moves of an acrobat
v fall down, as if collapsing
v cause to topple or tumble by pushing
v roll over and over, back and forth
v fly around
v fall apart
v throw together in a confused mass
v understand, usually after some initial difficulty
v fall suddenly and sharply
v put clothes in a tumbling barrel, where they are whirled about in hot air, usually with the purpose of drying
v suffer a sudden downfall, overthrow, or defeat
v do gymnastics, roll and turn skillfully"
authorial,a. of or by or typical of an author
Alamo,n. a siege and massacre at a mission in San Antonio in 1836; Mexican forces under Santa Anna besieged and massacred American rebels who were fighting to make Texas independent of Mexico
proximal,a. situated nearest to point of attachment or origin
psychosis,n. any severe mental disorder in which contact with reality is lost or highly distorted
chisel,"n. an edge tool with a flat steel blade with a cutting edge
v. carve with a chisel"
scrunch,n. a crunching noise
unsettled,"a. still in doubt
a. not settled or established
s. not yet settled"
cost-benefit,none
sixteenth-century,none
crumbled,"v fall apart
v break or fall apart into fragments
v fall into decay or ruin"
chalkboard,n sheet of slate; for writing with chalk
pillowcase,n bed linen consisting of a cover for a pillow
seamstress,n someone who makes or mends dresses
creak,n. a squeaking sound
sniff,"n. sensing an odor by inhaling through the nose
v. perceive by inhaling through the nose
v. inhale audibly through the nose"
floodwaters,none
commercialize,"v. exploit for maximal profit, usually by sacrificing quality
v. make commercial"
mass-produced,s. produced in quantity often by assembly-line techniques
pancreatic,a. of or involving the pancreas
polka,"n. music performed for dancing the polka
n. a Bohemian dance with 3 steps and a hop in fast time
v. dance a polka"
strainer,n. a filter to retain larger pieces while smaller pieces and liquids pass through
externalize,"v regard as objective
v make external or objective, or give reality to"
peep,"v. look furtively
v. cause to appear
v. make high-pitched sounds
v. speak in a hesitant and high-pitched tone of voice"
Scotch,"n. whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still
v. make a small cut or score into"
gumbo,"n. any of various fine-grained silty soils that become waxy and very sticky mud when saturated with water
n. long mucilaginous green pods; may be simmered or sauteed but used especially in soups and stews
n. a soup or stew thickened with okra pods"
squabble,"n a quarrel about petty points
v argue over petty things"
floodplain,n. a low plain adjacent to a river that is formed chiefly of river sediment and is subject to flooding
puke,"n a person who is deemed to be despicable or contemptible
n the matter ejected in vomiting
v eject the contents of the stomach through the mouth"
barricade,"n. a barrier (usually thrown up hastily) to impede the advance of an enemy
v. render unsuitable for passage
v. prevent access to by barricading
v. block off with barricades"
cleanser,n a preparation used in cleaning something
rim,"n. the shape of a raised edge of a more or less circular object
n. (basketball) the hoop from which the net is suspended
n. the outer part of a wheel to which the tire is attached
v. run around the rim of"
girth,n. the distance around a person's body
llama,n. wild or domesticated South American cud-chewing animal related to camels but smaller and lacking a hump
photovoltaic,a. producing a voltage when exposed to radiant energy (especially light)
hoopla,n blatant or sensational promotion
branching,"n. the act of branching out or dividing into branches
s. resembling the branches of a tree"
marigold,n. any of various tropical American plants of the genus Tagetes widely cultivated for their showy yellow or orange flowers
scaffold,"n. a platform from which criminals are executed (hanged or beheaded)
n. a temporary arrangement erected around a building for convenience of workers
v. provide with a scaffold for support"
there,"n. a location other than here; that place
r. in or at that place
r. in that matter
r. to or toward that place; away from the speaker"
supposition,n. the cognitive process of supposing
wrought-iron,none
naturalized,s. planted so as to give an effect of wild growth
snorkel,"n. breathing device consisting of a bent tube fitting into a swimmer's mouth and extending above the surface; allows swimmer to breathe while face down in the water
n. air passage provided by a retractable device containing intake and exhaust pipes; permits a submarine to stay submerged for extended periods of time
v. dive with a snorkel"
terse,"s brief and to the point; effectively cut short; `yes'"""
downtime,n. a period of time when something (as a machine or factory) is not operating (especially as a result of malfunctions)
newsman,n a person who investigates and reports or edits news stories
unscrew,"v. loosen something by unscrewing it
v. loosen by turning"
receptacle,"n. a container that is used to put or keep things in
n. enlarged tip of a stem that bears the floral parts
n. an electrical (or electronic) fitting that is connected to a source of power and equipped to receive an insert"
immortalize,v. make famous forever
politicized,v give a political character to
rebuke,n. an act or expression of criticism and censure
analyzer,n. an instrument that performs analyses
indisputable,s. impossible to doubt or dispute
pimple,n. a small inflamed elevation of the skin; a pustule or papule; common symptom in acne
robin,"n. small Old World songbird with a reddish breast
n. large American thrush having a rust-red breast and abdomen"
eighty-five,s being five more than eighty
stethoscope,n. a medical instrument for listening to the sounds generated inside the body
craziness,n. informal terms for insanity
self-centered,a limited to or caring only about yourself and your own needs
franchise,"n. an authorization to sell a company's goods or services in a particular place
n. a business established or operated under an authorization to sell or distribute a company's goods or services in a particular area
n. a statutory right or privilege granted to a person or group by a government (especially the rights of citizenship and the right to vote)
v. grant a franchise to"
unopened,s. not yet opened or unsealed
mausoleum,"n. a large burial chamber, usually above ground"
reusable,s capable of being used again
foreign-born,s. of persons born in another area or country than that lived in
snowman,n. a figure of a person made of packed snow
spindle,"n. (biology) tiny fibers that are seen in cell division; the fibers radiate from two poles and meet at the equator in the middle
n. a piece of wood that has been turned on a lathe; used as a baluster, chair leg, etc.
n. any of various rotating shafts that serve as axes for larger rotating parts
n. a stick or pin used to twist the yarn in spinning"
underbrush,n. the brush (small trees and bushes and ferns etc.) growing beneath taller trees in a wood or forest
blocking,n. the act of obstructing or deflecting someone's movements
cobble,"n. rectangular paving stone with curved top; once used to make roads
v. pave with cobblestones
v. repair or mend"
whir,n. sound of something in rapid motion
spindly,s long and lean
buzzword,n. stock phrases that have become nonsense through endless repetition
expressionless,s deliberately impassive in manner
torch,"n. a light usually carried in the hand; consists of some flammable substance
v. burn maliciously, as by arson"
ransack,"v steal goods; take as spoils
v search thoroughly"
cheater,n someone who leads you to believe something that is not true
navigational,a. of or relating to navigation
holly,"n. any tree or shrub of the genus Ilex having red berries and shiny evergreen leaves with prickly edges
n. United States rock star (1936-1959)"
repugnant,s offensive to the mind
forester,"n. English writer of adventure novels featuring Captain Horatio Hornblower (1899-1966)
n. someone trained in forestry"
big-screen,none
earthen,a. made of earth (or baked clay)
wily,s marked by skill in deception
bulging,"v swell or protrude outwards
v bulge out; form a bulge outward, or be so full as to appear to bulge
v bulge outward
v cause to bulge or swell outwards
a curving or bulging outward
s curving outward"
boarder,"n. someone who forces their way aboard ship
n. a pupil who lives at school during term time"
permissive,"a. not preventive
a. granting or inclined or able to grant permission; not strict in discipline"
invertebrate,"n. any animal lacking a backbone or notochord; the term is not used as a scientific classification
a. lacking a backbone or spinal column"
vertebrate,"n. animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium
a. having a backbone or spinal column"
backpack,"n. a bag carried by a strap on your back or shoulder
v. hike with a backpack"
orator,n. a person who delivers a speech or oration
three-bedroom,none
emigre,n someone who leaves one country to settle in another
humbling,"v cause to be unpretentious
v cause to feel shame; hurt the pride of
s causing awareness of your shortcomings"
pleated,"v pleat or gather into a ruffle
v fold into pleats, ""Pleat the cloth"""
litigate,v. engage in legal proceedings
self-regulation,none
turntable,"n. a circular horizontal platform that rotates a phonograph record while it is being played
n. a revolving tray placed on a dining table
n. a rotatable platform with a track; used to turn locomotives and cars"
goatee,n. a small chin beard trimmed to a point; named for its resemblance to a goat's beard
instantaneously,r. without any delay
esophagus,n. the passage between the pharynx and the stomach
arugula,n erect European annual often grown as a salad crop to be harvested when young and tender
Astrodome,n. a transparent dome on top of an airplane where the navigator can make celestial observations
rheumatoid,s of or pertaining to arthritis
recalcitrant,s. marked by stubborn resistance to authority
vouch,"v. give personal assurance; guarantee
v. summon (a vouchee) into court to warrant or defend a title
v. give supporting evidence"
unwrapped,a. not yet wrapped or having the wrapping removed
affirmative,"n. a reply of affirmation
a. affirming or giving assent
s. expecting the best"
suburbia,n. suburbanites considered as a cultural class or subculture
subconscious,s. just below the level of consciousness
appraiser,"n. one who estimates officially the worth or value or quality of things
n. one who determines authenticity (as of works of art) or who guarantees validity"
indoctrination,n. teaching someone to accept doctrines uncritically
foundry,n. factory where metal castings are produced
mushroom,"n. common name for an edible agaric (contrasting with the inedible toadstool)
n. mushrooms and related fleshy fungi (including toadstools, puffballs, morels, coral fungi, etc.)
n. any of various fleshy fungi of the subdivision Basidiomycota consisting of a cap at the end of a stem arising from an underground mycelium
n. a large cloud of rubble and dust shaped like a mushroom and rising into the sky after an explosion (especially of a nuclear bomb)"
downhill,"n. the downward slope of a hill
n. a ski race down a trail
r. toward a lower or inferior state
r. toward the bottom of a hill"
strum,"n. sound of strumming
v. sound the strings of (a string instrument)"
admirably,r. in an admirable manner
incontinence,n. involuntary urination or defecation
handset,n. telephone set with the mouthpiece and earpiece mounted on a single handle
reforming,"v make changes for improvement in order to remove abuse and injustices
v bring, lead, or force to abandon a wrong or evil course of life, conduct, and adopt a right one
v produce by cracking
v break up the molecules of
v improve by alteration or correction of errors or defects and put into a better condition
v change for the better"
Sioux,n. a member of a group of North American Indian peoples who spoke a Siouan language and who ranged from Lake Michigan to the Rocky Mountains
trawler,"n. a fisherman who use a trawl net
n. a fishing boat that uses a trawl net or dragnet to catch fish"
deliverance,n recovery or preservation from loss or danger
CFC,n a fluorocarbon with chlorine; formerly used as a refrigerant and as a propellant in aerosol cans
aftershock,n. a tremor (or one of a series of tremors) occurring after the main shock of an earthquake
stricture,n. severe criticism
triathlon,none
manhunt,n. an organized search (by police) for a person (charged with a crime)
sleeveless,a. having no sleeves
humanly,r. in the manner of human beings
irreplaceable,a. impossible to replace
shave,"n. the act of removing hair with a razor
v. remove body hair with a razor
v. cut closely
v. cut the price of"
hiccup,"n. (usually plural) the state of having reflex spasms of the diaphragm accompanied by a rapid closure of the glottis producing an audible sound; sometimes a symptom of indigestion
v. breathe spasmodically, and make a sound"
cluck,"n. the sound made by a hen (as in calling her chicks)
v. make a clucking sounds, characteristic of hens"
mesquite,n. any of several small spiny trees or shrubs of the genus Prosopis having small flowers in axillary cylindrical spikes followed by large pods rich in sugar
sleet,"n. partially melted snow (or a mixture of rain and snow)
v. precipitate as a mixture of rain and snow"
misperception,n. Erroneous perception.
travesty,v. make a travesty of
crudely,r. in a crude or unrefined manner
collie,n. a silky-coated sheepdog with a long ruff and long narrow head developed in Scotland
tightrope,n. tightly stretched rope or wire on which acrobats perform high above the ground
smokestack,n. a large tall chimney through which combustion gases and smoke can be evacuated
Stalinist,"n. a follower of Stalin and Stalinism
a. of or relating to Joseph Stalin or his times"
supplementation,n. the act of supplementing
playback,"n. the act of reproducing recorded sound
n. electronic equipment comprising the part of a tape recorder that reproduces the recorded material"
connectivity,n. the property of being connected or the degree to which something has connections
sneer,"n. a facial expression of contempt or scorn; the upper lip curls
n. a contemptuous or scornful remark
v. express through a scornful smile
v. smile contemptuously"
disenchanted,a. freed from enchantment
avail,"n. a means of serving
v. use to one's advantage
v. be of use to, be useful to
v. take or use"
goodnight,none
artifice,n a deceptive maneuver (especially to avoid capture)
goof,"n a man who is a stupid incompetent fool
n a person who amuses others by ridiculous behavior
v commit a faux pas or a fault or make a serious mistake"
untapped,"a. not subjected to tapping
s. not drawn upon or used"
collapsed,"v break down, literally or metaphorically
v collapse due to fatigue, an illness, or a sudden attack
v fold or close up
v fall apart
v cause to burst
v suffer a nervous breakdown
v lose significance, effectiveness, or value"
prescient,s. perceiving the significance of events before they occur
preservationist,n. someone who advocates the preservation of historical sites or endangered species or natural areas
haunch,"n. the hip and buttock and upper thigh in human beings
n. the loin and leg of a quadruped"
captivating,"v attract; cause to be enamored
s capturing interest as if by a spell"
windswept,s. open to or swept by wind
long-term-care,none
one-party,s determined by a single party
franchisee,none
gaseous,a. existing as or having characteristics of a gas
yo-yo,n. a toy consisting of a spool that is reeled up and down on a string by motions of the hand
puffing,"n. blowing tobacco smoke out into the air
n. an act of forcible exhalation"
expectantly,r. in an expectant manner
storeroom,n. a room in which things are stored
countenance,"n. the appearance conveyed by a person's face
n. the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)"
irritant,n. something that causes irritation and annoyance
untimely,"s badly timed
s uncommonly early or before the expected time
r too soon; in a premature manner"
clang,"n. a loud resonant repeating noise
v. make a loud noise"
top-ranked,none
iteration,"n. (computer science) a single execution of a set of instructions that are to be repeated
n. (computer science) executing the same set of instructions a given number of times or until a specified result is obtained
n. doing or saying again; a repeated performance"
scuff,"n. the act of scuffing (scraping or dragging the feet)
v. walk without lifting the feet
v. get or become scuffed"
un-american,s. considered contrary to the best interests of the United States
tiled,s. covered or furnished with tiles
dame,"n. informal terms for a (young) woman
n. a woman of refinement"
foursome,"n four people considered as a unit
n the cardinal number that is the sum of three and one"
mortuary,"a. of or relating to or characteristic of death
a. of or relating to a funeral"
nay,"n. a negative
r. not this merely but also; not only so but"
insulating,"v protect from heat, cold, or noise by surrounding with insulating material
v place or set apart"
unrecognizable,s. defying recognition as e.g. because of damage or alteration
curling,n. a game played on ice in which heavy stones with handles are slid toward a target
askew,"s. turned or twisted toward one side
r. turned or twisted to one side"
rancid,s. (used of decomposing oils or fats) having a rank smell or taste usually due to a chemical change or decomposition
ADHD,n a condition (mostly in boys) characterized by behavioral and learning disorders
throttle,"n a valve that regulates the supply of fuel to the engine
n a pedal that controls the throttle valve
v place limits on (extent or access)
v kill by squeezing the throat of so as to cut off the air
v reduce the air supply"
yawn,"n. an involuntary intake of breath through a wide open mouth; usually triggered by fatigue or boredom
v. utter a yawn, as from lack of oxygen or when one is tired"
furrow,"n. a long shallow trench in the ground (especially one made by a plow)
v. hollow out in the form of a furrow or groove
v. make wrinkled or creased
v. cut a furrow into a columns"
plantain,"n. any of numerous plants of the genus Plantago; mostly small roadside or dooryard weeds with elliptic leaves and small spikes of very small flowers; seeds of some used medicinally
n. a banana tree bearing hanging clusters of edible angular greenish starchy fruits; tropics and subtropics
n. starchy banana-like fruit; eaten (always cooked) as a staple vegetable throughout the tropics"
no-brainer,n. anything that requires little thought
negro,s. relating to or characteristic of or being a member of the traditional racial division of mankind having brown to black pigmentation and tightly curled hair
euphoric,a. exaggerated feeling of well-being or elation
unresponsive,"a. not responding to some influence or stimulus
s. aloof or indifferent
s. not susceptible to suggestion or influence"
erstwhile,s. belonging to some prior time
mind-boggling,s intellectually or emotionally overwhelming
cooperatively,r in close cooperation
vanquished,"v come out better in a competition, race, or conflict"
driftwood,n. wood that is floating or that has been washed ashore
upside-down,s being in such a position that top and bottom are reversed
correspondingly,r. in a corresponding manner
case-by-case,s separate and distinct from others of the same kind
medial,s. dividing an animal into right and left halves
win-win,none
souffle,n. light fluffy dish of egg yolks and stiffly beaten egg whites mixed with e.g. cheese or fish or fruit
tail,"n. the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body
n. any projection that resembles the tail of an animal
n. a spy employed to follow someone and report their movements
n. (usually plural) the reverse side of a coin that does not bear the representation of a person's head"
coffeehouse,n a small restaurant where drinks and snacks are sold
heavy-handed,s. unjustly domineering
firefight,none
priestly,"a. associated with the priesthood or priests
a. befitting or characteristic of a priest or the priesthood"
lewd,s. suggestive of or tending to moral looseness
derelict,"n. a person without a home, job, or property
s. failing in what duty requires"
fiscally,r. in financial matters
moonlit,a. lighted by moonlight
aphid,n. any of various small plant-sucking insects
crypt,n. a cellar or vault or underground burial chamber (especially beneath a church)
age-related,s changing (increasing or decreasing) as an individual's age increases
anti-aircraft,"n. artillery designed to shoot upward at airplanes
s. designed for defense from a surface position against air attack"
theologically,"r. as regards theology
r. in a theological manner"
cripple,"n. someone who is unable to walk normally because of an injury or disability to the legs or back
v. deprive of strength or efficiency; make useless or worthless
v. deprive of the use of a limb, especially a leg"
encore,"n. an extra or repeated performance; usually given in response to audience demand
v. request an encore, from a performer"
morphology,"n. the branch of biology that deals with the structure of animals and plants
n. studies of the rules for forming admissible words
n. the admissible arrangement of sounds in words"
imprisoned,"v lock up or confine, in or as in a jail
v confine as if in a prison; he does not let them go out without a chaperone""
s being in captivity"
alertness,"n. a state of readiness to respond
n. lively attentiveness"
nick,"n. (British slang) a prison
v. cut slightly, with a razor
v. cut a nick into
v. divide or reset the tail muscles of"
bracket,"n. a category falling within certain defined limits
n. either of two punctuation marks (`<' or `>') used in computer programming and sometimes used to enclose textual material
n. either of two punctuation marks ([ or ]) used to enclose textual material
n. a support projecting from a wall (as to hold a shelf)"
scarred,s. deeply affected or marked by mental or physical pain or injury
titanic,s. of great force or power
taunt,"n aggravation by deriding or mocking or criticizing
v harass with persistent criticism or carping"
upkeep,"n activity involved in maintaining something in good working order
n the act of sustaining life by food or providing a means of subsistence"
five-star,none
devolve,"v. pass on or delegate to another
v. grow worse"
salinity,"n the taste experience when common salt is taken into the mouth
n the relative proportion of salt in a solution"
amok,"r. wildly; without self-control
r. in a murderous frenzy"
ascetic,"a. pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline
s. practicing great self-denial"
unintentional,"s. without deliberate intent
s. not done with purpose or intent"
hellish,"s very unpleasant
s extremely evil or cruel; expressive of cruelty or befitting hell"
pneumatic,a. of or relating to or using air (or a similar gas)
confederation,"n. a union of political organizations
n. the act of forming an alliance or confederation"
coincidental,s occurring or operating at the same time
gazebo,n. a small roofed building affording shade and rest
mutilated,"v destroy or injure severely
v alter so as to make unrecognizable
v destroy or injure severely
s having a part of the body crippled or disabled"
nay,"n. a negative
r. not this merely but also; not only so but"
puncture,"n. loss of air pressure in a tire when a hole is made by some sharp object
n. a small hole made by a sharp object
n. the act of puncturing or perforating
v. pierce with a pointed object; make a hole into"
vengeful,s disposed to seek revenge or intended for revenge
reticence,n the trait of being uncommunicative; not volunteering anything more than necessary
sprained,v twist suddenly so as to sprain
bayou,n. a swampy arm or slow-moving outlet of a lake (term used mainly in Mississippi and Louisiana)
quarterfinal,n. one of the four competitions in an elimination tournament whose winners go on to play in the semifinals
demote,v. assign to a lower position; reduce in rank
timbre,n. (music) the distinctive property of a complex sound (a voice or noise or musical sound)
old-school,none
capitulate,v. surrender under agreed conditions
stag,"n. adult male deer
v. attend a dance or a party without a female companion"
wiretap,"n. the act of tapping a telephone or telegraph line to get information
v. tap a telephone or telegraph wire to get information"
repulse,"n an instance of driving away or warding off
v force or drive back
v be repellent to; cause aversion in
v cause to move back by force or influence"
bleeding,n. the flow of blood from a ruptured blood vessel
bandage,"n. a piece of soft material that covers and protects an injured part of the body
v. dress by covering or binding"
sorbet,n an ice containing no milk but having a mushy consistency; usually made from fruit juice
drug,"n. a substance that is used as a medicine or narcotic
v. administer a drug to
v. use recreational drugs"
cobweb,"n. a fabric so delicate and transparent as to resemble a web of a spider
n. filaments from a web that was spun by a spider
n. a dense elaborate spider web that is more efficient than the orb web"
illogical,a. lacking in correct logical relation
jockey,"n. someone employed to ride horses in horse races
n. an operator of some vehicle or machine or apparatus
v. compete (for an advantage or a position)
v. ride a racehorse as a professional jockey"
botched,"v make a mess of, destroy or ruin
s spoiled through incompetence or clumsiness"
heed,v. pay close attention to; give heed to
sequin,n. adornment consisting of a small piece of shiny material used to decorate clothing
blacktop,"n. a black bituminous material used for paving roads or other areas; usually spread over crushed rock
v. coat with blacktop"
humanize,v. make more humane
unharmed,s. not injured
shanty,"n small crude shelter used as a dwelling
n a rhythmical work song originally sung by sailors"
mortify,"v. practice self-denial of one's body and appetites
v. hold within limits and control"
awe,"n. an overwhelming feeling of wonder or admiration
v. inspire awe in"
leaning,"n. an inclination to do something
n. the act of deviating from a vertical position"
tightness,n. lack of movement or room for movement
crock,"n. nonsense; foolish talk
n. an earthen jar (made of baked clay)
v. release color when rubbed, of badly dyed fabric"
intonation,"n. rise and fall of the voice pitch
n. singing by a soloist of the opening piece of plainsong
n. the act of singing in a monotonous tone"
six-week,none
sari,n. a dress worn primarily by Hindu women; consists of several yards of light material that is draped around the body
harvesting,"n the gathering of a ripened crop
v gather, as of natural products
v remove from a culture or a living or dead body, as for the purposes of transplantation"
departed,"n someone who is no longer alive
v move away from a place into another direction
v be at variance with; be out of line with
v leave
v go away or leave
v remove oneself from an association with or participation in
v wander from a direct or straight course
s well in the past; former
s dead"
femur,n. the longest and thickest bone of the human skeleton; extends from the pelvis to the knee
well-off,s. fortunately situated
otherness,n. the quality of being not alike; being distinct or different from that otherwise experienced or known
indiscriminately,"r in a random manner
r in an indiscriminate manner"
devious,"s. indirect in departing from the accepted or proper way; misleading
s. characterized by insincerity or deceit; evasive
s. deviating from a straight course"
disguised,"v make unrecognizable
s having its true character concealed with the intent of misleading"
delirious,"s. experiencing delirium
s. marked by uncontrolled excitement or emotion"
groggy,s stunned or confused and slow to react (as from blows or drunkenness or exhaustion)
sensibly,r with good sense or in a reasonable or intelligent manner
vanished,s. having passed out of existence
loader,n. an attendant who loads guns for someone shooting game
unknown,"n. an unknown and unexplored region
n. a variable whose values are solutions of an equation
a. not known
s. not known to exist"
wiggle,n. the act of wiggling
tertiary,n. from 63 million to 2 million years ago
misjudge,v. judge incorrectly
subordinate,"n. an assistant subject to the authority or control of another
v. rank or order as less important or consider of less value
v. make subordinate, dependent, or subservient
a. lower in rank or importance"
tern,n. small slender gull having narrow wings and a forked tail
unimpressed,s. not moved to serious regard
frill,"n. (paleontology) a bony plate that curves upward behind the skull of many ceratopsian dinosaurs
n. an external body part consisting of feathers or hair about the neck of a bird or other animal
n. a strip of pleated material used as a decoration or a trim"
amp,"n the basic unit of electric current adopted under the Systeme International d'Unites
n a nucleotide found in muscle cells and important in metabolism; reversibly convertible to ADP and ATP"
vindictive,"s disposed to seek revenge or intended for revenge
s showing malicious ill will and a desire to hurt; motivated by spite"
archway,n a passageway under a curved masonry construction
ark,"n. (Judaism) sacred chest where the ancient Hebrews kept the two tablets containing the Ten Commandments
n. a boat built by Noah to save his family and animals from the flood"
monogamous,a. (used of relationships and of individuals) having one mate
poisoned,"v spoil as if by poison
v kill with poison
v add poison to
v kill by its poison
v administer poison to"
circumcision,"n. (Roman Catholic Church and Anglican Church) feast day celebrating the circumcision of Jesus; celebrated on January 1st
n. the act of circumcising performed on males eight days after birth as a Jewish and Muslim religious rite
n. the act of circumcising; surgical removal of the foreskin of males"
hurried,a. moving rapidly or performed quickly or in great haste
fishy,"a. of or relating to or resembling fish
s. not as expected"
lard,"n. soft white semisolid fat obtained by rendering the fatty tissue of the hog
v. prepare or cook with lard"
abut,v lie adjacent to another or share a boundary
you-all,none
eucharistic,a. of or relating to the sacrament of the Eucharist
behead,v cut the head of
untouchable,"n. belongs to lowest social and ritual class in India
s. beyond the reach of criticism or attack or impeachment
s. forbidden to the touch
s. ( especially used in traditional Hindu belief of the lowest caste or castes) defiling"
plagiarism,"n. a piece of writing that has been copied from someone else and is presented as being your own work
n. the act of plagiarizing; taking someone's words or ideas as if they were your own"
scarecrow,n. an effigy in the shape of a man to frighten birds away from seeds
compendium,n. a concise but comprehensive summary of a larger work
fake,"n. something that is a counterfeit; not what it seems to be
s. not genuine or real; being an imitation of the genuine article; it's real synthetic fur"""
charger,"n. formerly a strong swift horse ridden into battle
n. a device for charging or recharging batteries"
magnifying,"v increase in size, volume or significance
v to enlarge beyond bounds or the truth
v make large"
precipitously,"r. very suddenly and to a great degree
r. abruptly; in a precipitous manner"
flammable,s. easily ignited
civics,n. the social science of municipal affairs
red-haired,none
gong,"n. a percussion instrument consisting of a metal plate that is struck with a softheaded drumstick
v. sound a gong"
undersecretary,n. a secretary immediately subordinate to the head of a department of government
