similar,"a. marked by correspondence or resemblance
s. (of words) expressing closely related meanings"
tie,"n. equality of score in a contest
n. a horizontal beam used to prevent two other structural members from spreading apart or separating
n. (music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value
n. one of the cross braces that support the rails on a railway track"
bag,"n. a flexible container with a single opening
n. the quantity of game taken in a particular period (usually by one person)
n. a container used for carrying money and small personal items or accessories (especially by women)
n. the quantity that a bag will hold"
handbag,n a container used for carrying money and small personal items or accessories (especially by women)
purse,"n. a sum of money spoken of as the contents of a money purse
n. a small bag for carrying money
n. a sum of money offered as a prize
v. contract one's lips into a rounded shape"
jewellery,n an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)
jewelry,n. an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)
necklace,n. jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)
ring,"n. a characteristic sound
n. a toroidal shape
n. the sound of a bell ringing
n. a platform usually marked off by ropes in which contestants box or wrestle"
size,"n. the physical magnitude of something (how big it is)
n. the property resulting from being one of a series of graduated measurements (as of clothing)
n. any glutinous material used to fill pores in surfaces or to stiffen fabrics
n. the actual state of affairs"
cheap,"a. relatively low in price or charging low prices
s. embarrassingly stingy"
expensive,a. high in price or charging high prices
clean,"v. make clean by removing dirt, filth, or unwanted substances from
v. remove unwanted substances from, such as feathers or pits
v. be cleanable
v. deprive wholly of money in a gambling game, robbery, etc."
clean up,n. (baseball) the fourth position in the batting order (usually filled by the best batter on the team)
dirty,"v. make soiled, filthy, or dirty
a. soiled or likely to soil with dirt or grime
a. (of behavior or especially language) characterized by obscenity or indecency
s. vile; despicable"
heavy,"n. an actor who plays villainous roles
n. a serious (or tragic) role in a play
a. of comparatively great physical weight or density
a. unusually great in degree or quantity or number"
high,"n. a lofty level or position or degree
n. an air mass of higher than normal pressure
n. a state of sustained elation
n. a state of altered consciousness induced by alcohol or narcotics"
low,"n. an air mass of lower pressure; often brings precipitation
n. British political cartoonist (born in New Zealand) who created the character Colonel Blimp (1891-1963)
n. a low level or position or degree
a. less than normal in degree or intensity or amount"
long,"a. primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified
a. primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified
s. of relatively great height
a. holding securities or commodities in expectation of a rise in prices"
for long,none
long before,none
long for,none
no longer,none
short,"n. the location on a baseball field where the shortstop is stationed
a. primarily temporal sense; indicating or being or seeming to be limited in duration
a. (primarily spatial sense) having little length or lacking in length
a. low in stature; not tall"
wide,"a. having great (or a certain) extent from one side to the other
a. great in degree
s. having ample fabric
s. not on target"
neat,"s. clean or organized
s. showing care in execution
s. free from what is tawdry or unbecoming
s. without water"
life,"n. a characteristic state or mode of living
n. the experience of being alive; the course of human events and activities
n. the course of existence of an individual; the actions and events that occur in living
n. the period during which something is functional (as between birth and death)"
animal,"n. a living organism characterized by voluntary movement
s. marked by the appetites and passions of the body"
pet,"n. a domesticated animal kept for companionship or amusement
n. a fit of petulance or sulkiness (especially at what is felt to be a slight)
v. stroke or caress gently
v. stroke or caress in an erotic manner, as during lovemaking"
cat,"n. feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
n. a spiteful woman gossip
v. beat with a cat-o'-nine-tails"
dog,"n. a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
n. informal term for a man"
chicken,"n. the flesh of a chicken used for food
n. a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl
n. a foolhardy competition; a dangerous activity that is continued until one competitor becomes afraid and stops
s. easily frightened"
hen,"n. adult female chicken
n. adult female bird
n. flesh of an older chicken suitable for stewing
n. female of certain aquatic animals e.g. octopus or lobster"
duck,"n. small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
n. (cricket) a score of nothing by a batsman
n. flesh of a duck (domestic or wild)
n. a heavy cotton fabric of plain weave; used for clothing and tents"
goose,"n. web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
n. flesh of a goose (domestic or wild)
v. pinch in the buttocks
v. prod into action"
geese,"n web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
n a man who is a stupid incompetent fool
n flesh of a goose (domestic or wild)"
rabbit,"n. any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
n. flesh of any of various rabbits or hares (wild or domesticated) eaten as food
v. hunt rabbits"
cattle,n. domesticated bovine animals as a group regardless of sex or age
ox,"n. an adult castrated bull of the genus Bos; especially Bos taurus
n. any of various wild bovines especially of the genera Bos or closely related Bibos"
oxen,"n domesticated bovine animals as a group regardless of sex or age
n an adult castrated bull of the genus Bos; especially Bos taurus
n any of various wild bovines especially of the genera Bos or closely related Bibos"
cow,"n. female of domestic cattle: ""`moo-cow' is a child's term""
n. mature female of mammals of which the male is called `bull'
n. a large unpleasant woman"
camel,n. cud-chewing mammal used as a draft or saddle animal in desert regions
deer,n. distinguished from Bovidae by the male's having solid deciduous antlers
elephant,"n. five-toed pachyderm
n. the symbol of the Republican Party; introduced in cartoons by Thomas Nast in 1874"
fox,"n. alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs
n. the grey or reddish-brown fur of a fox
n. English statesman who supported American independence and the French Revolution (1749-1806)
n. English religious leader who founded the Society of Friends (1624-1691)"
giraffe,n. tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa
goat,n. any of numerous agile ruminants related to sheep but having a beard and straight horns
horse,"n. solid-hoofed herbivorous quadruped domesticated since prehistoric times
n. a padded gymnastic apparatus on legs
v. provide with a horse or horses"
kangaroo,n. any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail
lamb,"n. young sheep
n. English essayist (1775-1834)
n. a person easily deceived or cheated (especially in financial matters)
n. a sweet innocent mild-mannered person (especially a child)"
lion,"n. large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
n. a celebrity who is lionized (much sought after)"
monkey,n. any of various long-tailed primates (excluding the prosimians)
nest,"n. a structure in which animals lay eggs or give birth to their young
n. a kind of gun emplacement
n. a cosy or secluded retreat
n. a gang of people (criminals or spies or terrorists) assembled in one locality"
panda,"n large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae
n reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas"
parrot,"n. usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
n. a copycat who does not understand the words or acts being imitated
v. repeat mindlessly"
pig,"n. a crude block of metal (lead or iron) poured from a smelting furnace
v. live like a pig, in squalor"
sheep,"n. woolly usually horned ruminant mammal related to the goat
n. a timid defenseless simpleton who is readily preyed upon
n. a docile and vulnerable person who would rather follow than make an independent decision"
tiger,"n. a fierce or audacious person
n. large feline of forests in most of Asia having a tawny coat with black stripes; endangered"
wolf,"n. any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs
n. Austrian composer (1860-1903)
n. German classical scholar who claimed that the Iliad and Odyssey were composed by several authors (1759-1824)
n. a man who is aggressive in making amorous advances to women"
wolves,"n any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs
n Austrian composer (1860-1903)
n German classical scholar who claimed that the Iliad and Odyssey were composed by several authors (1759-1824)
n a man who is aggressive in making amorous advances to women
n a cruelly rapacious person"
zebra,n. any of several fleet black-and-white striped African equines
mouse,"n. any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails
n. person who is quiet or timid
n. a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad
v. manipulate the mouse of a computer"
mice,"n any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails
n a swollen bruise caused by a blow to the eye
n person who is quiet or timid
n a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad"
rat,"n. any of various long-tailed rodents similar to but larger than a mouse
n. a pad (usually made of hair) worn as part of a woman's coiffure
v. desert one's party or group of friends, for example, for one's personal advantage
v. employ scabs or strike breakers in"
snake,"n. limbless scaly elongate reptile; some are venomous
n. a deceitful or treacherous person
n. a tributary of the Columbia River that rises in Wyoming and flows westward; discovered in 1805 by the Lewis and Clark Expedition
n. something long, thin, and flexible that resembles a snake"
bird,"n. warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
n. the flesh of a bird or fowl (wild or domestic) used as food
v. watch and study birds in their natural habitat"
worm,"n. any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae
n. a person who has a nasty or unethical character undeserving of respect
n. a software program capable of reproducing itself that can spread from one computer to the next over a network
n. screw thread on a gear with the teeth of a worm wheel or rack"
butterfly,"n. diurnal insect typically having a slender body with knobbed antennae and broad colorful wings
n. a swimming stroke in which the arms are thrown forward together out of the water while the feet kick up and down
v. flutter like a butterfly
v. cut and spread open, as in preparation for cooking"
bee,"n. any of numerous hairy-bodied insects including social and solitary species
n. a social gathering to carry out some communal task or to hold competitions"
ant,n. social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
bat,"n. nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
n. (baseball) a turn trying to get a hit
n. a club used for hitting a ball in various games
v. strike with, or as if with a baseball bat"
fly,"n. two-winged insects characterized by active flight
n. an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth
n. (baseball) a hit that flies up in the air
n. fisherman's lure consisting of a fishhook decorated to look like an insect"
frog,"n. any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
n. a person of French descent
n. a decorative loop of braid or cord
v. hunt frogs for food"
fish,"n. any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
n. the flesh of fish used as food
v. seek indirectly
v. catch or try to catch fish or shellfish"
whale,"n. any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head
v. hunt for whales"
wing,"n. a movable organ for flying (one of a pair)
n. one of the horizontal airfoils on either side of the fuselage of an airplane
n. a stage area out of sight of the audience
n. a unit of military aircraft"
feather,"n. the light horny waterproof structure forming the external covering of birds
n. turning an oar parallel to the water between pulls
v. join tongue and groove, in carpentry
v. cover or fit with feathers"
fur,"n. the dressed hairy coat of a mammal
n. dense coat of fine silky hairs on mammals (e.g., cat or seal or weasel)
n. a garment made of the dressed hairy coat of a mammal"
tail,"n. the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body
n. any projection that resembles the tail of an animal
n. a spy employed to follow someone and report their movements
n. (usually plural) the reverse side of a coin that does not bear the representation of a person's head"
plant,"n. buildings for carrying on industrial labor
n. (botany) a living organism lacking the power of locomotion
n. an actor situated in the audience whose acting is rehearsed but seems spontaneous to the audience
n. something planted secretly for discovery by another"
flower,"n. a plant cultivated for its blooms or blossoms
n. reproductive organ of angiosperm plants especially one having showy or colorful parts
n. the period of greatest prosperity or productivity"
rose,"n. any of many shrubs of the genus Rosa that bear roses
n. a dusty pink color
s. of something having a dusty purplish pink color"
tree,"n. a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
n. a figure that branches from a single root
n. English actor and theatrical producer noted for his lavish productions of Shakespeare (1853-1917)
v. plant with trees"
wood,"n. the hard fibrous lignified substance under the bark of trees
n. United States film actress (1938-1981)
n. English conductor (1869-1944)
n. English writer of novels about murders and thefts and forgeries (1814-1887)"
grass,"n. narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
n. German writer of novels and poetry and plays (born 1927)
v. shoot down, of birds
v. cover with grass"
bamboo,"n. the hard woody stems of bamboo plants; used in construction and crafts and fishing poles
n. woody tropical grass having hollow woody stems; mature canes used for construction and furniture"
wheat,"n. annual or biennial grass having erect flower spikes and light brown grains
n. grains of common wheat; sometimes cooked whole or cracked as cereal; usually ground into flour"
leaf,"n. the main organ of photosynthesis and transpiration in higher plants
n. a sheet of any written or printed material (especially in a manuscript or book)
n. hinged or detachable flat section (as of a table or door)
v. turn over pages"
leaves,"n the main organ of photosynthesis and transpiration in higher plants
n a sheet of any written or printed material (especially in a manuscript or book)
n hinged or detachable flat section (as of a table or door)
n the period of time during which you are absent from work or duty
n permission to do something
n the act of departing politely
v go away from a place
v go and leave behind, either intentionally or by neglect or forgetfulness
v act or be so as to become in a specified state
v leave unchanged or undisturbed or refrain from taking
v move out of or depart from
v make a possibility or provide opportunity for; permit to be attainable or cause to remain
v have as a result or residue
v remove oneself from an association with or participation in
v put into the care or protection of someone
v leave or give by will after one's death
v have left or have as a remainder
v be survived by after one's death
v transmit (knowledge or skills)
v leave behind unintentionally"
trunk,"n. the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber
n. luggage consisting of a large strong case used when traveling or for storage"
earth,"n. the 3rd planet from the sun; the planet we live on
n. the loose soft material that makes up a large part of the land surface
n. the abode of mortals (as contrasted with Heaven or Hell)
n. once thought to be one of four elements composing the universe (Empedocles)"
land,"n. the land on which real estate is located
n. material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)
n. the solid part of the earth's surface
n. United States inventor who incorporated Polaroid film into lenses and invented the one step photographic process (1909-1991)"
island,"n. a land mass (smaller than a continent) that is surrounded by water
n. a zone or area resembling an island"
mountain,n. a land mass that projects well above its surroundings; higher than a hill
mountainous,"s. like a mountain in size and impressiveness
s. containing many mountains"
hill,"n. a local and well-defined elevation of the land
n. United States railroad tycoon (1838-1916)
n. risque English comedian (1925-1992)
v. form into a hill"
jungle,"n. a location marked by an intense competition and struggle for survival
n. an impenetrable equatorial forest"
farm,"n. workplace consisting of farm buildings and cultivated land as a unit
v. be a farmer; work as a farmer
v. collect fees or profits"
fire,"n. the event of something burning (often destructive)
n. the act of firing weapons or artillery at an enemy
n. the process of combustion of inflammable materials producing heat and light and (often) smoke
n. a fireplace in which a relatively small fire is burning"
forest,"n. the trees and other plants in a large densely wooded area
n. land that is covered with trees and shrubs"
water,"n. binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
n. once thought to be one of four elements composing the universe (Empedocles)
n. a liquid necessary for the life of most animals and plants
v. supply with water, as with channels or ditches or streams"
ice,"n. water frozen in the solid state
n. the frozen part of a body of water
n. diamonds
n. a frozen dessert with fruit flavoring (especially one containing no milk)"
sea,"n. a division of an ocean or a large body of salt water partially enclosed by land
n. turbulent water with swells of considerable size"
ocean,"n. a large body of water constituting a principal part of the hydrosphere
n. anything apparently limitless in quantity or volume"
seaside,n. the shore of a sea or ocean regarded as a resort
beach,"n. an area of sand sloping down to the water of a sea or lake
v. land on a beach"
coast,"n. a slope down which sleds may coast
n. the area within view
v. move effortlessly; by force of gravity"
shore,"n. the land along the edge of a body of water
n. a beam or timber that is propped against a structure to provide support
v. serve as a shore to"
offshore,"a. (of winds) coming from the land
s. at some distance from the shore
r. away from shore; away from land"
pond,n. a small lake
river,n. a large natural stream of water (larger than a creek)
lake,"n. a body of (usually fresh) water surrounded by land
n. a purplish red pigment prepared from lac or cochineal
n. any of numerous bright translucent organic pigments"
soil,n. the part of the earth's surface consisting of humus and disintegrated rock
oilfield,n. a region rich in petroleum deposits (especially one with producing oil wells)
air,"n. a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
n. the region above the ground
n. a distinctive but intangible quality surrounding a person or thing
n. once thought to be one of four elements composing the universe (Empedocles)"
planet,"n. (astronomy) any of the nine large celestial bodies in the solar system that revolve around the sun and shine by reflected light; Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, and Pluto in order of their proximity to the sun; viewed from the constellation Hercules, all the planets rotate around the sun in a counterclockwise direction
n. any celestial body (other than comets or satellites) that revolves around a star"
sky,n. the atmosphere and outer space as viewed from the earth
sun,"n. the star that is the source of light and heat for the planets in the solar system
n. a person considered as a source of warmth or energy or glory etc
n. any star around which a planetary system revolves
v. expose one's body to the sun"
moon,"n. the natural satellite of the Earth
n. any object resembling a moon
n. United States religious leader (born in Korea) who founded the Unification Church in 1954; was found guilty of conspiracy to evade taxes (born in 1920)
n. any natural satellite of a planet"
star,"n. (astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior
n. any celestial body visible (as a point of light) from the Earth at night
n. an actor who plays a principal role
n. a plane figure with 5 or more points; often used as an emblem"
sunshine,"n the rays of the sun
n moderate weather; suitable for outdoor activities
n the quality of being cheerful and dispelling gloom"
shine,"v. emit light; be bright, as of the sun or a light
v. be distinguished or eminent
v. be clear and obvious
v. throw or flash the light of (a lamp)"
metal,v. cover with metal
coal,"n. fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period
v. supply with coal
v. take in coal"
gold,"n. coins made of gold
n. a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia
n. great wealth
n. something likened to the metal in brightness or preciousness or superiority etc."
silver,"n. a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography
n. coins made of silver
v. coat with a layer of silver or a silver amalgam
v. make silver in color"
iron,"n. a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood
n. a golf club that has a relatively narrow metal head
n. implement used to brand live stock
n. home appliance consisting of a flat metal base that is heated and used to smooth cloth"
stone,"n. building material consisting of a piece of rock hewn in a definite shape for a special purpose
n. an avoirdupois unit used to measure the weight of a human body; equal to 14 pounds
n. the hard inner (usually woody) layer of the pericarp of some fruits (as peaches or plums or cherries or olives) that contains the seed
n. United States jurist who was named chief justice of the United States Supreme Court in 1941 by Franklin D. Roosevelt (1872-1946)"
rock,"n. a lump or mass of hard consolidated mineral matter
n. material consisting of the aggregate of minerals like those making up the Earth's crust
n. United States gynecologist and devout Catholic who conducted the first clinical trials of the oral contraceptive pill (1890-1984)
n. (figurative) someone who is strong and stable and dependable"
sand,"n. a loose material consisting of grains of rock or coral
n. French writer known for works concerning women's rights and independence (1804-1876)"
glass,"n. a brittle transparent solid with irregular atomic structure
n. a container for holding liquids while drinking
n. the quantity a glass will hold
n. glassware collectively"
rubber,"n. an elastic material obtained from the latex sap of trees (especially trees of the genera Hevea and Ficus) that can be vulcanized and finished into a variety of products
n. any of various synthetic elastic materials whose properties resemble natural rubber
s. returned for lack of funds"
diamond,"n. a transparent piece of diamond that has been cut and polished and is valued as a precious gem
n. very hard native crystalline carbon valued as a gem
n. a playing card in the minor suit that has one or more red rhombuses on it"
sunny,s bright and pleasant; promoting a feeling of cheer
cloud,"n. any collection of particles (e.g., smoke or dust) or gases that is visible
n. a visible mass of water or ice particles suspended at a considerable altitude
n. out of touch with reality
n. a cause of worry or gloom or trouble"
cloudy,"s. lacking definite form or limits
a. full of or covered with clouds
s. (of liquids) clouded as with sediment"
rain,"n. water falling in drops from vapor condensed in the atmosphere
n. drops of fresh water that fall as precipitation from clouds
n. anything happening rapidly or in quick successive
v. precipitate as rain"
rainy,s (of weather) wet by periods of rain
windy,"s. resembling the wind in speed, force, or variability"
snow,"n. precipitation falling from clouds in the form of ice crystals
n. a layer of snowflakes (white crystals of frozen water) covering the ground
n. English writer of novels about moral dilemmas in academe (1905-1980)
v. fall as snow"
snowy,"s marked by the presence of snow
s covered with snow
s of the white color of snow"
dry,"n. a reformer who opposes the use of intoxicating beverages
v. remove the moisture from and make dry
v. become dry or drier
a. free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet"
wet,"v. cause to become wet
v. make one's bed or clothes wet by urinating
a. covered or soaked with a liquid such as water
a. containing moisture or volatile components"
fog,"n. droplets of water vapor suspended in the air near the ground
n. an atmosphere in which visibility is reduced because of a cloud of some substance"
foggy,"s stunned or confused and slow to react (as from blows or drunkenness or exhaustion)
s indistinct or hazy in outline
s filled or abounding with fog or mist
s obscured by fog"
storm,"n. a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
n. a violent commotion or disturbance
n. a direct and violent assault on a stronghold
v. take by force"
rainbow,"n. an arc of colored light in the sky caused by refraction of the sun's rays by rain
n. an illusory hope"
temperature,"n. the degree of hotness or coldness of a body or environment (corresponding to its molecular activity)
n. the somatic sensation of cold or heat"
centigrade,a. of or relating to a temperature scale on which the freezing point of water is 0 degrees and the boiling point of water is 100 degrees
hot,"a. used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
s. characterized by violent and forceful activity or movement; very intense
a. extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm
s. (color) bold and intense"
heat,"n. a form of energy that is transferred by a difference in temperature
n. the sensation caused by heat energy
n. the trait of being intensely emotional
n. a preliminary race in which the winner advances to a more important race"
warm,"v. get warm or warmer
v. make warm or warmer
a. having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat
a. psychologically warm; friendly and responsive"
cool,"n. the quality of being at a refreshingly low temperature
v. make cool or cooler
v. loose heat
v. lose intensity"
cold,"n. a mild viral infection involving the nose and respiratory passages (but not the lungs)
n. the sensation produced by low temperatures
a. having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration
a. extended meanings; especially of psychological coldness; without human warmth or emotion"
camera,n. equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)
computer,n. a machine for performing calculations automatically
download,v. transfer a file or program from a central computer to a smaller computer or to a computer at a remote location
Internet,n. a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
net,"n. a trap made of netting to catch fish or birds or insects
n. a goal lined with netting (as in soccer or hockey)
n. game equipment consisting of a strip of netting dividing the playing area in tennis or badminton
n. an open fabric of string or rope or wire woven together at regular intervals"
network,"n. an interconnected system of things or people
n. (broadcasting) a communication system consisting of a group of broadcasting stations that all transmit the same programs
n. a system of intersecting lines or channels
n. (electronics) a system of interconnected electronic components or circuits"
web,"n. an intricate network suggesting something that was formed by weaving or interweaving
n. an intricate trap that entangles or ensnares its victim
n. a fabric (especially a fabric in the process of being woven)
n. membrane connecting the toes of some aquatic birds and mammals"
website,n a computer connected to the internet that maintains a series of web pages on the World Wide Web
keyboard,"n. device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like
n. holder consisting of an arrangement of hooks on which keys or locks can be hung"
machine,"n. any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks
n. an efficient person
n. an intricate organization that accomplishes its goals efficiently
n. a device for overcoming resistance at one point by applying force at some other point"
P.C.,n a small digital computer based on a microprocessor and designed to be used by one person at a time
personal computer,none
radio,"n. medium for communication
n. a communication system based on broadcasting electromagnetic waves
v. transmit messages via radio waves
a. indicating radiation or radioactivity"
television,"n. broadcasting visual images of stationary or moving objects
n. a telecommunication system that transmits images of objects (stationary or moving) between distant points"
TV,"n broadcasting visual images of stationary or moving objects
n an electronic device that receives television signals and displays them on a screen"
mobile,"n. a river in southwestern Alabama; flows into Mobile Bay
n. a port in southwestern Alabama on Mobile Bay
n. sculpture suspended in midair whose delicately balanced parts can be set in motion by air currents
s. migratory"
disc,"n sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove
n something with a round shape resembling a flat circular plate
n (computer science) a memory device consisting of a flat disk covered with a magnetic coating on which information is stored
n a flat circular plate"
disk,"n. something with a round shape resembling a flat circular plate
n. a flat circular plate"
CD,"n a soft bluish-white ductile malleable toxic bivalent metallic element; occurs in association with zinc ores
n the basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin
n a debt instrument issued by a bank; usually pays interest
n a digitally encoded recording on an optical disk that is smaller than a phonograph record; played back by a laser
s being one hundred more than three hundred"
compact disk,none
VCD,none
versatile compact disk,none
DVD,n a digital recording (as of a movie) on an optical disk that can be played on a computer or a television set
digital versatile disk,none
robot,n a mechanism that can move automatically
satellite,"n. man-made equipment that orbits around the earth or the moon
n. a person who follows or serves another
n. any celestial body orbiting around a planet or star
v. broadcast or disseminate via satellite"
software,n. (computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory
tape,"n. a long thin piece of cloth or paper as used for binding or fastening
n. a recording made on magnetic tape
n. the finishing line for a foot race
n. measuring instrument consisting of a narrow strip (cloth or metal) marked in inches or centimeters and used for measuring lengths"
video,"n. the visible part of a television transmission
n. (computer science) the appearance of text and graphics on a video display"
videophone,none
e-mail,v. communicate electronically on the computer
envelope,"n. a flat (usually rectangular) container for a letter, thin package, etc.
n. any wrapper or covering
n. a curve that is tangent to each of a family of curves
n. a natural covering (as by a fluid)"
fax,v. send something via a facsimile machine
mail,"n. the bags of letters and packages that are transported by the postal service
n. the system whereby messages are transmitted via the post office
n. a conveyance that transports the letters and packages that are conveyed by the postal system
n. any particular collection of letters or packages that is delivered"
news,"n. information about recent and important events
n. information reported in a newspaper or news magazine
n. informal information of any kind that is not previously known to someone"
newspaper,"n. a daily or weekly publication on folded sheets; contains news and articles and advertisements
n. a business firm that publishes newspapers
n. the physical object that is the product of a newspaper publisher
n. cheap paper made from wood pulp and used for printing newspapers"
post,"n. the position where someone (as a guard or sentry) stands or is assigned to stand
n. an upright consisting of a piece of timber or metal fixed firmly in an upright position
n. United States aviator who in 1933 made the first solo flight around the world (1899-1935)
n. United States female author who wrote a book and a syndicated newspaper column on etiquette (1872-1960)"
postcard,n. a card for sending messages by post without an envelope
receiver,"n. set that receives radio or tv signals
n. the tennis player who receives the serve
n. a football player who catches (or is supposed to catch) a forward pass"
stamp,"n. a type or class
n. a symbol that is the result of printing or engraving
n. machine consisting of a heavy bar that moves vertically for pounding or crushing ores
n. a block or die used to imprint a mark or design"
east,"n. the cardinal compass point that is at 90 degrees
n. the countries of Asia
n. the region of the United States lying to the north of the Ohio River and to the east of the Mississippi River
n. the direction corresponding to the eastward cardinal compass point"
eastern,"s. lying toward or situated in the east
a. of or characteristic of eastern regions of the United States
a. relating to or characteristic of regions of eastern parts of the world"
eastward,r. toward the east
eastwards,"n the cardinal compass point that is at 90 degrees
r toward the east"
west,"n. the countries of (originally) Europe and (now including) North America and South America
n. the cardinal compass point that is a 270 degrees
n. the region of the United States lying to the west of the Mississippi River
n. the direction corresponding to the westward cardinal compass point"
western,"n. a film about life in the western United States during the period of exploration and development
n. a sandwich made from a western omelet
a. relating to or characteristic of the western parts of the world or the West as opposed to the eastern or oriental parts
a. of or characteristic of regions of the United States west of the Mississippi River"
westward,r. toward the west
westwards,"n the cardinal compass point that is a 270 degrees
r toward the west"
north,"n. the region of the United States lying to the north of the Mason-Dixon line
n. the cardinal compass point that is at 0 or 360 degrees
n. a location in the northern part of a country, region, or city
n. the direction corresponding to the northward cardinal compass point"
northern,"n. a dialect of Middle English that developed into Scottish Lallans
a. in or characteristic of a region of the United States north of (approximately) the Mason-Dixon line
a. situated in or coming from regions of the north"
northeast,"n. the compass point midway between north and east; at 45 degrees
n. the northeastern region of the United States
n. the direction corresponding to the northeastward compass point"
northwest,"n. the northwestern region of the United States
n. the direction corresponding to the northwestward compass point
n. the compass point midway between north and west; at 315 degrees"
south,"n. the region of the United States lying to the south of the Mason-Dixon line
n. the cardinal compass point that is at 180 degrees
n. a location in the southern part of a country, region, or city
n. the direction corresponding to the southward cardinal compass point"
