abolish,v. do away with
live from hand to mouth,none
in accordance with,none
in the short term,none
in doubt,none
with reference to,none
in reference to,none
adjust to,none
come at sb.,none
be fed up with,none
get fed up with,none
gain access to,none
be in debt to ...,none
beyond belief,none
be grateful to sb. for sth.,none
be fit for sth.,none
be fit to do sth.,none
at the expense of,none
be distinct from,none
be different from,none
in good repair,none
for the sake of,none
under consideration,none
restrain ... from,none
revolve around,none
reflect on,none
take delight in,none
be in a mess,none
appeal to,none
keep a watch on,none
keep a close watch on,none
tell ... from,none
keep pace with,none
put sb. at one's ease,none
at a loss,none
with ease,none
in force,none
on demand,none
probe into,none
relieve ... of ...,none
come into existence,none
exert ... on ...,none
behind schedule,none
get laid off,none
in the mood to,none
in the mood for,none
know sb. by sight,none
be typical of ...,none
have little to do with ...,none
on the face of it,none
derive ... from,none
obtain ... from,none
when it comes to sth.,none
at one's convenience,none
be response for,none
concentrate on,none
concentrate upon,none
adapt ... for ...,none
confirm sb. in,none
by virtue of,none
in virtue of,none
be caught in,none
react to,none
in existence,"n. Inherence; subsistence.
n. That which exists within; a constituent.
n. Want of being or existence."
be in existence,none
close one's eyes to,none
close shut one's eyes to,none
under way,s currently in progress
spare a moment to do,none
range from ... to ...,none
senior to,none
dismiss sb. as sth.,none
dismiss sth. as sth.,none
knock off,n. an unauthorized copy or imitation
out of breath,none
concern oneself about,none
concern oneself with,none
on earth,none
have the last word,none
substitute for,none
for certain,none
be considerate of,none
on the ground of,none
on the grounds of,none
on the ground that,none
on the grounds that,none
have confidence in sb.,none
have confidence in sth.,none
share in,none
take a glance at,none
take a look at,none
in place,none
bring ... into practice,none
put ... into practice,none
abide by,none
be on about sth.,none
by turns,none
on memory of,none
be ashamed of,none
congratulate sb. on,none
in place of,none
instead of,none
have an advantage over,none
be indicative of,none
at one's leisure,none
keep ... to oneself,none
be used to doing,none
at random,none
lean on,none
encourage sb. in,none
look sb. in the eye,none
on the increase,none
demand sth. of sb.,none
demand sth. from sb.,none
on the back of,none
with the result that,none
turn one's back on sb.,none
on record,none
be out of practice,none
get out of practice,none
on a large scale,none
in search of,none
by comparison,none
in comparison with,none
fit into,none
inferior to,none
in one's face,none
fade away,none
absence of mind,none
plead for,none
hinder ... from,none
force ... on ...,none
be involved in,none
in consequence of,none
as a whole,none
protect ... from,none
be guilty of,none
spread out,s especially spread in a fan shape
on condition that,none
out of reach,none
center one's attention on,none
restrict ... to,none
sensible of,none
mention sth. to sb.,none
be fond of,none
yield to,none
as a matter of fact,none
in order,none
be in order,none
make reflection on ...,none
in good faith,none
in one's own right,none
lay the roots for,none
come to the point,none
in the first place,none
in agreement,none
in agreement with,none
get stuck in,none
free of charge,none
be sorry for,none
to taste,none
to one's taste,none
be under repair,none
fall to the ground,none
rest with,none
in one's honor,none
keep faith with,none
be shocked at,none
be shocked by,none
be based on,none
be based upon,none
side with sb.,none
be in effect,none
be certain of,none
work out ideas,none
on no consideration,none
superior to,none
to one's delight,none
to one's regret,none
to one's sorrow,none
to one's relief,none
be jealous of,none
to begin with,none
leave sb. in the dust,none
leave sth. in the dust,none
be absorbed in,none
bring to mind,none
call to mind,none
be consistent with,none
operate on sb.,none
attach ... to ...,none
jump at,none
under the impression that,none
by reason of,none
account for,none
out of the question,none
take ... for granted,none
be capable of,none
be accustomed to,none
set sth. on fire,none
arise from of,none
arise out of,none
except for,none
apart from,none
in contrast to,none
in contrast with,none
keep track of,none
in fear of,none
persist in,none
be bound up with,none
discharge from ...,none
be confident of,none
in the form of,none
of no account,none
in advance,none
be occupied with,none
be true to,none
proceed from,none
bear in mind,none
bear ... in mind,none
keep in mind,none
keep ... in mind,none
be free from,none
to the point,none
play ... off against ...,none
be stuck in,none
get into the habit of,none
be exclusive of ...,none
comment on ...,none
respond to,none
in honor of,none
at the cost of,none
on one's own account,none
in hopes of,none
charge sb. with sth.,none
fall into the habit,none
fall into the habit of,none
find fault with,none
in condition,none
in out of condition,none
a string of,none
shed light on,none
break up,"n. Disruption; a separation and dispersion of the parts or
   members; as, a break-up of an assembly or dinner party; a break-up of
   the government."
be in the right,none
in the air,none
with the exception of,none
expose ... to ...,none
at the sight of,none
at the thought of,none
for short,none
at peace with ...,none
be at peace with ...,none
occupy oneself with,none
occupy oneself in,none
up in the air,none
be tempted to do sth.,none
equivalent to,none
be equivalent to,none
conceive of,none
word for word,none
be eager for,none
do away with,none
throw ... into ...,none
behind one's back,none
compare ... to ...,none
go short of,none
at will,none
be content with,none
beyond expression,none
on a diet,none
in good condition,none
in bad condition,none
answer for,none
make sense,none
in connection with,none
be in use,none
be used,none
catch sight of,none
catch the sight of,none
in dispute,none
consult sb. on sth.,none
consult sb. about sth.,none
turn a blind eye to,none
hunt for,none
long for,none
be equipped with,none
in response to,none
in demand,none
get the better of,none
give sb. an account of,none
on faith,none
beat ... at,none
to the purpose,none
objection to,none
objection to doing sth.,none
abundant in,none
be abundant in,none
there is no point in doing sth.,none
for a change,none
in public,none
in difficulty,none
detach from,none
beyond hope,none
have sb. by the throat,none
throw light on,none
beyond reason,none
beyond all reason,none
forge ahead,none
fall short of,none
in relation to,none
with relation to,none
react on,none
react upon,none
on the spot,s. at the scene of action
make out,none
confine to,none
be obliged to,none
be obliged to sb.,none
participate in,none
be liable for,none
cast off,s thrown away
invest ... in,none
keep company with,none
at the back of,none
place an emphasis on,none
at all events,none
extract from,none
arrange for sb. to do sth.,none
in excess of,none
be identical with,none
for the benefit of,none
be cautious of,none
be anxious about,none
charge ... for ...,none
stand down,"n a suspension and relaxation from an alert state or a state of readiness
n (military) a temporary stop of offensive military action"
expect of,none
fall back,n to break off a military action with an enemy
favorable to,none
be favorable to,none
at first glance,none
at first sight,none
compare ... with ...,none
have a word with sb.,none
rely on,none
be particular about,none
be particular over,none
accord with,none
in accord with,none
in consideration of,none
in proportion to,none
contrast ... with ...,none
on the decline,none
feel equal to ...,none
admit of,none
in the interests of,none
be absent from ...,none
interfere with,none
put ... down to ...,none
attend to,none
on business,none
with a will,none
on account of,none
pile into,none
