nursery,n. a child's room for a baby
instrument,"n. a device that requires skill for proper use
n. the means whereby some act is accomplished
n. a person used by another to gain an end
v. equip with instruments for measuring, recording, or controlling"
instrumental,a. relating to or designed for or performed on musical instruments
load,"n. weight to be borne or conveyed
n. a quantity that can be processed or transported at one time
n. an amount of alcohol sufficient to intoxicate
n. the power output of a generator or power plant"
audience,"n. a gathering of spectators or listeners at a (usually public) performance
n. the part of the general public interested in a source of information or entertainment"
viewer,n. an optical device for viewing photographic transparencies
tower,n. a structure taller than its diameter; can stand alone or be attached to a larger building
moreover,"r in addition; furthermore, their quality is improving""; moreover, mice nested there"""
legal,"a. established by or founded upon law or official or accepted rules
a. of or relating to jurisprudence
s. having legal efficacy or force
a. relating to or characteristic of the profession of law"
illegal,a. prohibited by law or by official or accepted rules
quit,"v put an end to a state or an activity
v give up or retire from a position
v go away or leave
v turn away from; give up
v give up in the face of defeat of lacking hope; admit defeat"
communicate,"v. transmit information
v. transmit thoughts or feelings
v. join or connect
v. be in verbal contact; interchange information or ideas"
communication,"n. the activity of communicating; the activity of conveying information
n. something that is communicated by or to or between people or groups
n. a connection allowing access between persons or places"
industrial,"a. of or relating to or resulting from industry
a. having highly developed industries
s. employed in industry
s. suitable to stand up to hard wear"
industrialisation,n the development of industry on an extensive scale
valley,n. a long depression in the surface of the land that usually contains a river
bubble,"n. a hollow globule of gas (e.g., air or carbon dioxide)
n. an impracticable and illusory idea
n. a dome-shaped covering made of transparent glass or plastic
v. form, produce, or emit bubbles"
regard,"n. (usually plural) a polite expression of desire for someone's welfare
n. a feeling of friendship and esteem
v. look at attentively"
regardless,r. in spite of everything; without regard to drawbacks
disregard,"n. lack of attention and due care
n. willful lack of care and attention"
hire,"n. a newly hired employee
n. the act of hiring something or someone
v. engage or hire for work"
romantic,"n. a soulful or amorous idealist
a. belonging to or characteristic of Romanticism or the Romantic Movement in the arts"
agreement,"n. the statement (oral or written) of an exchange of promises
n. compatibility of observations
n. harmony of people's opinions or actions or characters
n. the thing arranged or agreed to"
agreeable,"a. conforming to your own liking or feelings or nature
s. prepared to agree or consent"
depth,"n. the extent downward or backward or inward
n. degree of psychological or intellectual profundity
n. (usually plural) the deepest and most remote part
n. (usually plural) a low moral state"
deepen,"v. make deeper
v. become deeper in tone"
separate,"n. a garment that can be purchased separately and worn in combinations with other garments
v. act as a barrier between; stand between
v. force, take, or pull apart
v. divide into components or constituents"
separately,r apart from others
shelter,"n. a structure that provides privacy and protection from danger
n. protective covering that provides protection from the weather
n. temporary housing for homeless or displaced persons
v. provide shelter for"
symbol,"n. an arbitrary sign (written or printed) that has acquired a conventional significance
n. something visible that by association or convention represents something else that is invisible"
symbolise,"v represent or identify by using a symbol; use symbols
v express indirectly by an image, form, or model; be a symbol"
oral,"n. an examination conducted by spoken communication
s. using speech rather than writing
a. of or relating to or affecting or for use in the mouth
a. of or involving the mouth or mouth region or the surface on which the mouth is located"
original,"n. something that serves as a model or a basis for making copies
s. preceding all others in time or being as first made or performed
s. (of e.g. information) not secondhand or by way of something intermediary
a. being or productive of something fresh and unusual; or being as first made or thought of"
lack,n. the state of needing something that is absent or unavailable
deadline,n. the point in time at which something must be completed
research,"n. systematic investigation to establish facts
v. attempt to find out in a systematically and scientific manner
v. inquire into"
former,"n. the first of two or the first mentioned of two
a. referring to the first of two things or persons mentioned (or the earlier one or ones of several); I prefer the former version to the latter one""
s. (used especially of persons) of the immediate past"
global,s. involving the entire earth; not limited or provincial in scope
condition,"n. a state at a particular time
n. an assumption on which rests the validity or effect of something else
n. a mode of being or form of existence of a person or thing
n. the state of (good) health (especially in the phrases `in condition' or `in shape' or `out of condition' or `out of shape')"
cable,"n. a telegram sent abroad
n. a conductor for transmitting electrical or optical signals or electric power
n. a very strong thick rope made of twisted hemp or steel wire
n. a nautical unit of depth"
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
adjustment,"n. making or becoming suitable; adjusting to circumstances
n. the act of adjusting something to match a standard"
design,"n. the act of working out the form of something (as by making a sketch or outline or plan)
n. an arrangement scheme
n. a decorative or artistic work
n. a preliminary sketch indicating the plan for something"
further,"s. more distant in especially degree
r. to or at a greater extent or degree or a more advanced stage (`further' is used more often than `farther' in this abstract sense)
r. in addition or furthermore; further, they should be here already"""
method,"n. a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)"
contrast,"n. the opposition or dissimilarity of things that are compared
n. the act of distinguishing by comparing differences
n. the perceptual effect of the juxtaposition of very different colors
n. the range of optical density and tone on a photographic negative or print (or the extent to which adjacent areas on a television screen differ in brightness)"
loosen,"v. make loose or looser
v. make less dense
v. become loose or looser or less tight"
reasonable,"a. showing reason or sound judgment
s. marked by sound judgment"
via,"n. A road way.
prep. By the way of; as, to send a letter via Queenstown to
   London."
depart,"v. leave
v. go away or leave"
select,"v pick out, select, or choose from a number of alternatives
s of superior grade
s selected or chosen for special qualifications"
selection,n. an assortment of things from which a choice can be made
selective,"s. tending to select; characterized by careful choice
s. characterized by very careful or fastidious selection"
injury,"n. any physical damage to the body caused by violence or accident or fracture etc.
n. an accident that results in physical damage or hurt
n. an act that causes someone or something to receive physical damage
n. wrongdoing that violates another's rights and is unjustly inflicted"
injure,v. cause injuries or bodily harm to
outdoors,n. where the air is unconfined
site,"n. the piece of land on which something is located (or is to be located)
n. physical position in relation to the surroundings"
stick,"n. an implement consisting of a length of wood
n. a small thin branch of a tree
n. a lever used by a pilot to control the ailerons and elevators of an airplane
n. a rectangular quarter pound block of butter or margarine"
remain,"v. be left; of persons, questions, problems, results, evidence, etc."
learned,"v gain knowledge or skills
v get to know or become aware of, usually accidentally
v commit to memory; learn by heart
v be a student of a certain subject
v impart skills or knowledge to
v find out, learn, or determine with certainty, usually by making an inquiry or other effort
s having or showing profound knowledge
s highly educated; having extensive information or understanding
a established by conditioning or learning"
historian,n. a person who is an authority on history and who studies it and writes about it
scan,"n. the act of scanning; systematic examination of a prescribed region
n. an image produced by scanning
v. examine minutely or intensely
v. examine hastily"
acceptable,"a. worthy of acceptance or satisfactory
s. judged to be in conformity with approved usage
s. adequate for the purpose"
acceptance,"n. the state of being acceptable and accepted
n. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)
n. banking: a time draft drawn on and accepted by a bank
n. the act of taking something that is offered"
comfort,"n. a state of being relaxed and feeling no pain
n. a feeling of freedom from worry or disappointment
n. satisfaction or physical well-being provided by a person or thing
n. assistance, such as that provided to an enemy or to a known criminal"
threat,"n. a warning that something unpleasant is imminent
n. declaration of an intention or a determination to inflict harm on another"
threaten,"v. to utter intentions of injury or punishment against:""He threatened me when I tried to call the police""
v. to be a menacing indication of something:""The clouds threaten rain"""
radar,n. measuring instrument in which the echo of a pulse of microwave radiation is used to detect and locate distant objects
throughout,r. from first to last
lately,r in the recent past
relate,"v. give an account of
v. be in a relationship with
v. have or establish a relationship to"
relation,"n. an abstraction belonging to or characteristic of two entities or parts together
n. an act of narration
n. (usually plural) mutual dealings or connections among persons or groups"
unrelated,"a. lacking a logical or causal relation
a. not connected by kinship"
interrelate,v. place into a mutual relationship
interrelationship,n mutual or reciprocal relation or relatedness
rank,"n. a row or line of people (especially soldiers or police) standing abreast of one another
n. relative status
v. take or have a position relative to others
v. take precedence or surpass others in rank"
mystery,"n. something that baffles understanding and cannot be explained
n. a story about a crime (usually murder) presented as a novel or play or movie"
document,"n. writing that provides information (especially information of an official nature)
n. anything serving as a representation of a person's thinking by means of symbolic marks
n. a written account of ownership or obligation
v. record in detail"
heavily,"r. to a considerable degree
r. in a heavy-footed manner
r. with great force
r. in a manner designed for heavy duty"
harm,v. cause or do harm to
harmful,a. causing or capable of causing harm
fishery,n. a workplace where fish are caught and processed and sold
hardship,n. something that causes or entails suffering
harden,"v. become hard or harder
v. make hard or harder"
publish,"v. prepare and issue for public distribution or sale
v. have (one's written work) issued for publication"
print,"n. the text appearing in a book, newspaper, or other printed publication
n. a picture or design printed from an engraving
n. availability in printed form
n. a copy of a movie on film (especially a particular version of it)"
issue,"n. an important question that is in dispute and must be settled
n. one of a series published periodically
n. the act of providing an item for general use or for official purposes (usually in quantity)
n. supplies (as food or clothing or ammunition) issued by the government"
belief,n. any cognitive content held as true
castle,"n. a large building formerly occupied by a ruler and fortified against attack
n. (chess) the piece that can move any number of unoccupied squares in a direction parallel to the sides of the chessboard
n. interchanging the positions of the king and a rook
v. move the king two squares toward a rook and in the same move the rook to the square next past the king"
major,"n. a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain
n. British statesman who was prime minister from 1990 until 1997 (born in 1943)
n. a university student who is studying a particular field as the principal subject
n. the principal field of study of a student at a university"
upper,"n. piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot
s. the topmost one of two
s. higher in place or position
s. superior in rank or accomplishment"
blank,"n. a piece of material ready to be made into something
n. a cartridge containing an explosive charge but no bullet
v. keep the opposing (baseball) team from winning
s. (of a surface) not written or printed on"
jet,"n. an airplane powered by one or more jet engines
n. the occurrence of a sudden discharge (as of liquid)
n. a hard black form of lignite that takes a brilliant polish and is used in jewelry or ornamentation
n. atmospheric discharges (lasting 10 msec) bursting from the tops of giant storm clouds in blue cones that widen as they flash upward"
auto,n a motor vehicle with four wheels; usually propelled by an internal combustion engine
automobile,v. travel in an automobile
construct,"v. make by combining materials and parts
v. draw with suitable instruments and under specified conditions
v. create by linking linguistic units
v. create by organizing and linking ideas, arguments, or concepts"
construction,"n. the act of constructing something
n. a group of words that form a constituent of a sentence and are considered as a single unit
n. the creation of a construct; the process of combining ideas into a congruous object of thought
n. drawing a figure satisfying certain conditions as part of solving a problem or proving a theorem"
constructive,"a. constructing or tending to construct or improve or promote development
s. emphasizing what is laudable or hopeful or to the good"
reconstruct,"v. reassemble mentally
v. cause somebody to adapt or reform socially or politically"
storm,"n. a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
n. a violent commotion or disturbance
n. a direct and violent assault on a stronghold
v. take by force"
master,"n. directs the work of others
n. an original creation (i.e., an audio recording) from which copies can be made
n. an officer who is licensed to command a merchant ship
n. someone who holds a master's degree from academic institution"
mastery,n. the act of mastering or subordinating someone
storage,"n. the act of storing something
n. the commercial enterprise of storing goods and materials
n. (computer science) the process of storing information in a computer memory or on a magnetic tape or disk"
partly,r in part; in some degree; not wholly
partially,r. in part; in some degree; not wholly
grace,"n. (Christian theology) a state of sanctification by God; the state of one who is under such divine influence
n. elegance and beauty of movement or expression
n. a disposition to kindness and compassion
n. (Greek mythology) one of three sisters who were the givers of beauty and charm; a favorite subject for sculptors"
victim,"n. an unfortunate person who suffers from some adverse circumstance
n. a person who is tricked or swindled"
appearance,"n. outward or visible aspect of a person or thing
n. the event of coming into sight
n. formal attendance (in court or at a hearing) of a party in an action
n. a mental representation"
salary,n something that remunerates
weigh,"v. have a certain weight
v. determine the weight of
v. to be oppressive or burdensome"
triangle,"n. a three-sided polygon
n. something approximating the shape of a triangle
n. any of various triangular drafting instruments used to draw straight lines at specified angles
n. a percussion instrument consisting of a metal bar bent in the shape of an open triangle"
expression,"n. the feelings expressed on a person's face
n. expression without words
n. the communication (in speech or writing) of your beliefs or opinions
n. (genetics) the process of expressing a gene"
expressive,s. characterized by expression
enemy,"n. an opposing military force
n. an armed adversary (especially a member of an opposing military force)
n. any hostile group of people"
commonly,r under normal conditions
uncommon,a. not common or ordinarily encountered; unusually great in amount or remarkable in character or kind
setting,"n. the context and environment in which something is set
n. the state of the environment in which a situation exists
n. the physical position of something"
intelligence,"n. the ability to comprehend; to understand and profit from experience
n. a unit responsible for gathering and interpreting information about an enemy
n. secret information about an enemy (or potential enemy)
n. the operation of gathering information about an enemy"
cultural,"a. of or relating to the arts and manners that a group favors
s. denoting or deriving from or distinctive of the ways of living built up by a group of people
a. of or relating to the shared knowledge and values of a society
a. relating to the raising of plants or animals"
individual,"n. a single organism
a. being or characteristic of a single thing or person
s. separate and distinct from others of the same kind
s. characteristic of or meant for a single person or thing"
various,"s of many different kinds purposefully arranged but lacking any uniformity
s considered individually
s distinctly dissimilar or unlike
s having great diversity or variety"
consume,"v. serve oneself to, or consume regularly
v. spend extravagantly
v. destroy completely
v. use up (resources or materials)"
consumer,n. a person who uses goods or services
consumerism,"n. the theory that an increasing consumption of goods is economically beneficial
n. a movement advocating greater protection of the interests of consumers"
supply,"n. an amount of something available for use
n. offering goods and services for sale
v. give something useful or necessary to"
supplier,n. someone whose business is to supply a particular service or commodity
belt,"n. endless loop of flexible material between two rotating shafts or pulleys
n. a band to tie or buckle around the body (usually at the waist)
n. an elongated region where a specific condition or characteristic is found
n. ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun"
due,"n. that which is deserved or owed
n. a payment that is due (e.g., as the price of membership)
a. owed and payable immediately or on demand
s. scheduled to arrive"
undue,"a. not yet payable
a. not appropriate or proper (or even legal) in the circumstances
s. lacking justification or authorization"
firm,"n. the members of a business organization that owns or operates one or more establishments
s. marked by firm determination or resolution; not shakable
s. not soft or yielding to pressure
s. strong and sure"
citizen,n. a native or naturalized member of a state or other political community
citizenry,n. the body of citizens of a state or country
citizenship,"n. the status of a citizen with rights and duties
n. conduct as a citizen"
gap,"n. a conspicuous disparity or difference as between two figures
n. a narrow opening
n. a difference (especially an unfortunate difference) between two opinions or two views or two situations
v. make an opening or gap in"
fund,"n. a reserve of money set aside for some purpose
v. convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds
v. place or store up in a fund for accumulation
v. provide a fund for the redemption of principal or payment of interest"
misunderstand,v interpret in the wrong way
solid,"n. matter that is solid at room temperature and pressure
n. the state in which a substance has no tendency to flow under moderate stress; resists forces (such as compression) that tend to deform it; and retains a definite size and shape
n. a three-dimensional shape
s. characterized by good substantial quality"
admire,"v. feel admiration for
v. look at with admiration"
admirable,"s. deserving of the highest esteem or admiration
s. inspiring admiration or approval"
admiration,"n. a feeling of delighted approval and liking
n. a favorable judgment"
pace,"n. the rate of moving (especially walking or running)
n. the relative speed of progress or change
n. a step in walking or running
v. walk with slow or fast paces"
package,"n. a collection of things wrapped or boxed together
n. a wrapped container"
readily,r. without much difficulty
grand,"s. large and impressive in physical size or extent
s. the most important and magnificent in adornment"
database,n. an organized body of related information
edge,"n. the boundary of a surface
n. a sharp side formed by the intersection of two surfaces of an object
n. the attribute of urgency in tone of voice
n. a slight competitive advantage"
entry,"n. an item inserted in a written record
n. a written record of a commercial transaction"
eager,a. having or showing keen interest or intense desire or impatient expectancy
ignore,"v. refuse to acknowledge
v. fail to notice
v. be ignorant of or in the dark about"
collection,"n. several things grouped together or considered as a whole
n. a publication containing a variety of works
n. the act of gathering something together"
collective,"n. members of a cooperative enterprise
a. forming a whole or aggregate
s. set up on the principle of collectivism or ownership and production by the workers involved usually under the supervision of a government"
continuous,"a. continuing in time or space without interruption
a. of a function or curve; extending without break or irregularity"
continual,"a. occurring without interruption; chiefly restricted to what recurs regularly or frequently in a prolonged and closely spaced series
s. `continual' (meaning seemingly uninterrupted) is often used interchangeably with `continuous' (meaning without interruption)"
continuity,"n. uninterrupted connection or union
n. a detailed script used in making a film in order to avoid discontinuities from shot to shot
n. the property of a continuous and connected period of time"
continuance,n. the act of continuing an activity without interruption
popular,"a. regarded with great favor, approval, or affection especially by the general public
s. carried on by or for the people (or citizens) at large
s. (of music or art) new and of general appeal (especially among young people)"
popularity,n. the quality of being widely admired or accepted or sought after
popularise,"v cater to popular taste to make popular and present to the general public; bring into general or common use
v make understandable to the general public"
benefit,"n. financial assistance in time of need
n. something that aids or promotes well-being
n. a performance to raise money for a charitable cause
v. be beneficial for"
wealth,"n. the state of being rich and affluent; having a plentiful supply of material goods and money
n. the quality of profuse abundance
n. an abundance of material possessions and resources
n. property that has economic utility: a monetary value or an exchange value"
wealthy,s having an abundant supply of money or possessions of value
pipeline,n. a pipe used to transport liquids or gases
range,"n. the limits within which something can be effective
n. a large tract of grassy open land on which livestock can graze
n. a series of hills or mountains
n. a place for shooting (firing or driving) projectiles of various kinds"
doubt,"n. the state of being unsure of something
n. uncertainty about the truth or factuality or existence of something
v. consider unlikely or have doubts about
v. lack confidence in or have doubts about"
doubtful,"s. open to doubt or suspicion
s. fraught with uncertainty or doubt
s. unsettled in mind or opinion"
undoubtedly,r. without doubt; certainly
suitable,s. meant or adapted for an occasion or use
suitability,n. the quality of having the properties that are right for a specific purpose
translation,"n. a written communication in a second language having the same meaning as the written communication in a first language
n. a uniform movement without rotation
n. (mathematics) a transformation in which the origin of the coordinate system is moved to another position but the direction of each axis remains the same
n. (genetics) the process whereby genetic information coded in messenger RNA directs the formation of a specific protein at a ribosome in the cytoplasm"
memorise,v commit to memory; learn by heart
memorial,"n. a recognition of meritorious service
n. a written statement of facts submitted in conjunction with a petition to an authority
n. a structure erected to commemorate persons or events"
link,"n. the means of connection between things linked in series
n. a fastener that serves to join or connect
n. a unit of length equal to 1/100 of a chain
n. (computing) an instruction that connects one part of a program or an element on a list to another program or list"
atom,"n. (physics and chemistry) the smallest component of an element having the chemical properties of the element
n. (nontechnical usage) a tiny piece of anything"
pain,"n. a symptom of some physical hurt or disorder
n. emotional distress; a fundamental feeling that people try to avoid
n. a somatic sensation of acute discomfort
n. a bothersome annoying person"
painful,a. causing physical or psychological pain
painless,"s. requiring little hard work or exertion
a. not causing physical or psychological pain"
director,"n. someone who controls resources and expenditures
n. member of a board of directors
n. someone who supervises the actors and directs the action in the production of a show"
upside,n the highest or uppermost side of anything
similarly,r. in like or similar manner
similarity,"n. the quality of being similar
n. a Gestalt principle of organization holding that (other things being equal) parts of a stimulus field that are similar to each other tend to be perceived as belonging together as a unit"
worthwhile,s. sufficiently valuable to justify the investment of time or interest
likewise,"r in like or similar manner
r in addition
r equally"
influential,a. having or exercising influence or power
cotton,"n. soft silky fibers from cotton plants in their raw state
n. fabric woven from cotton fibers
n. erect bushy mallow plant or small tree bearing bolls containing seeds with many long hairy fibers
n. thread made of cotton fibers"
income,n. the financial gain (earned or unearned) accruing over a given period of time
structure,"n. a thing constructed; a complex entity constructed of many parts
n. the manner of construction of something and the arrangement of its parts
n. the complex composition of knowledge as elements and their combinations
n. a particular complex anatomical part of a living thing"
structural,"a. relating to or caused by structure, especially political or economic structure
a. relating to or having or characterized by structure
s. affecting or involved in structure or construction; not ornamental elements""
s. concerned with systematic structure in a particular field of study"
vice,n. a specific form of evildoing
essay,"n. an analytic or interpretive literary composition
n. a tentative attempt"
gossip,"n. a report (often malicious) about the behavior of other people
n. a person given to gossiping and divulging personal information about others"
arrange,"v. put into a proper or systematic order
v. make arrangements for
v. adapt for performance in a different way
v. arrange thoughts, ideas, temporal events"
arrangement,"n. an orderly grouping (of things or persons) considered as a unit; the result of arranging
n. an organized structure for arranging or classifying
n. the act of arranging and adapting a piece of music"
marriage,"n. the state of being a married couple voluntarily joined for life (or until divorce)
n. two people who are married to each other
n. the act of marrying; the nuptial ceremony
n. a close and intimate union"
intermarriage,"n marriage to a person belonging to a tribe or group other than your own as required by custom or law
n marriage within one's own tribe or group as required by custom or law"
crop,"n. the yield from plants in a single growing season
n. a cultivated plant that is grown commercially on a large scale
n. a collection of people or things appearing together
n. the output of something in a season"
click,"n. depression of a button on a computer mouse
v. make a clicking or ticking sound
v. produce a click
v. become clear or enter one's consciousness or emotions"
slight,"v. pay no attention to, disrespect"
orderly,"n. a soldier who serves as an attendant to a superior officer
n. a male hospital attendant who has general duties that do not involve the medical treatment of patients
a. devoid of violence or disruption"
exchange,"n. chemical process in which one atom or ion or group changes places with another
n. a mutual expression of views (especially an unpleasant one)
n. the act of changing one thing for another thing
n. the act of giving something in return for something received"
talent,n. a person who possesses unusual innate ability in some field or activity
talented,a. endowed with talent or talents
disadvantage,"n. the quality of having an inferior or less favorable position
v. put at a disadvantage; hinder, harm"
claim,"n. an assertion of a right (as to money or property)
n. an assertion that something is true or factual
n. demand for something as rightful or due
n. an informal right to something"
forbid,v. command against
decrease,"n. a change downward
n. a process of becoming smaller or shorter
n. the amount by which something decreases
n. the act of decreasing or reducing something"
confidence,"n. a feeling of trust (in someone or something)
n. a state of confident hopefulness that events will be favorable
n. a trustful relationship
n. a secret that is confided or entrusted to another"
figure,"n. a diagram or picture illustrating textual material
n. a model of a bodily form (especially of a person)
n. a combination of points and lines and planes that form a visible palpable shape
n. an amount of money expressed numerically"
vehicle,"n. a conveyance that transports people or objects
n. a medium for the expression or achievement of something
n. any substance that facilitates the use of a drug or pigment or other material that is mixed with it"
sample,"n. a small part of something intended as representative of the whole
n. all or part of a natural object that is collected and preserved as an example of its class
v. take a sample of"
whenever,adv. & conj. At whatever time.
obvious,a. easily perceived by the senses or grasped by the mind
carrot,"n. deep orange edible root of the cultivated carrot plant
n. perennial plant widely cultivated as an annual in many varieties for its long conical orange edible roots; temperate and tropical regions
n. orange root; important source of carotene
n. promise of reward as in ""carrot and stick"";"
hydrogen,n. a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe
delay,"n. time during which some action is awaited
n. the act of delaying; inactivity resulting in something being put off until a later time
v. cause to be slowed down or delayed
v. act later than planned, scheduled, or required"
attend,"v. be present at (meetings, church services, university), etc.
v. take charge of or deal with
v. to accompany as a circumstance or follow as a result
v. give heed (to)"
attendance,"n. the act of being present (at a meeting or event etc.)
n. the frequency with which a person is present
n. the number of people that are present"
attendant,"n. someone who waits on or tends to or attends to the needs of another
n. a person who is present and participates in a meeting
s. being present (at meeting or event etc.) ""attendant members of the congreation""
s. following or accompanying as a consequence"
movement,"n. a natural event that involves a change in the position or location of something
n. a group of people with a common ideology who try together to achieve certain general goals
n. a major self-contained part of a symphony or sonata
n. the driving and regulating parts of a mechanism (as of a watch or clock)"
bunch,"n. a grouping of a number of similar things
n. any collection in its entirety
v. gather or cause to gather into a cluster"
chemical,"n. material produced by or used in a reaction involving changes in atoms or molecules
a. relating to or used in chemistry
a. of or made from or using substances produced by or used in reactions involving atomic or molecular changes"
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
mode,"n. a particular functioning condition or arrangement
n. any of various fixed orders of the various diatonic notes within an octave
n. the most frequent value of a random variable"
economy,"n. the system of production and distribution and consumption
n. the efficient use of resources
n. frugality in the expenditure of money or resources
n. an act of economizing; reduction in cost"
economic,"a. of or relating to an economy, the system of production and management of material wealth
a. of or relating to the science of economics
s. using the minimum of time or resources necessary for effectiveness
s. concerned with worldly necessities of life (especially money)"
economics,n. the branch of social science that deals with the production and distribution and consumption of goods and services and their management
economical,s. avoiding waste
measure,"n. any maneuver made as part of progress toward a goal
n. how much there is or how many there are of something that you can quantify
n. musical notation for a repeating pattern of musical beats
n. a container of some standard capacity that is used to obtain fixed amounts of a substance"
measurable,"a. capable of being measured
s. of distinguished importance"
measurement,n. the act or process of assigning numbers to phenomena according to a rule
mate,"n. the officer below the master on a commercial ship
n. the partner of an animal (especially a sexual partner)
n. one of a pair
n. South American holly; leaves used in making a drink like tea"
await,v look forward to the probable occurrence of
frank,"n. a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century
n. a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll
v. exempt by means of an official pass or letter, as from customs or other checks
s. clearly manifest; evident"
hence,"r. from this place
r. from this time"
worsen,"v. grow worse
v. make worse"
confusion,"n. disorder resulting from a failure to behave predictably
n. a mental state characterized by a lack of clear and orderly thought and behavior
n. a feeling of embarrassment that leaves you confused
n. an act causing a disorderly combination of elements with identities lost and distinctions blended"
ownership,"n. the relation of an owner to the thing possessed; possession with the right to transfer possession to others
n. the state or fact of being an owner"
artistic,"a. relating to or characteristic of art or artists
s. satisfying aesthetic standards and sensibilities"
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
academic,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects"
academy,"n. a secondary school (usually private)
n. an institution for the advancement of art or science or literature
n. a school for special training
n. a learned establishment for the advancement of knowledge"
steel,"n. an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range
n. knife sharpener consisting of a ridged steel rod
v. get ready for something difficult or unpleasant
v. cover, plate, or edge with steel"
tide,"n. the periodic rise and fall of the sea level under the gravitational pull of the moon
n. something that may increase or decrease (like the tides of the sea)
n. there are usually two high and two low tides each day
v. rise or move forward"
border,"n. a strip forming the outer edge of something
v. provide with a border or edge
v. lie adjacent to another or share a boundary"
agency,"n. an administrative unit of government
n. a business that serves other businesses
n. the state of being in action or exerting power"
gallery,"n. spectators at a golf or tennis match
n. a room or series of rooms where works of art are exhibited
n. a long usually narrow room used for some specific purpose
n. a covered corridor (especially one extending along the wall of a building and supported with arches or columns)"
request,"n. a formal message requesting something that is submitted to an authority
n. the verbal act of requesting
v. express the need or desire for; ask for
v. ask (a person) to do something"
greenhouse,"n. a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions
a. of or relating to or caused by the greenhouse effect"
decade,n. a period of 10 years
staff,"n. personnel who assist their superior in carrying out an assigned task
n. a strong rod or stick with a specialized utilitarian purpose
n. the body of teachers and administrators at a school
n. building material consisting of plaster and hair; used to cover external surfaces of temporary structure (as at an exposition) or for decoration"
jaw,"n. the part of the skull of a vertebrate that frames the mouth and holds the teeth
n. the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth
n. holding device consisting of one or both of the opposing parts of a tool that close to hold an object"
gradual,"n. (Roman Catholic Church) an antiphon (usually from the Book of Psalms) immediately after the epistle at Mass
a. proceeding in small stages
a. (of a topographical gradient) not steep or abrupt"
fuel,"n. a substance that can be consumed to produce energy
v. provide with a combustible substance that provides energy
v. provide with fuel
v. take in fuel, as of a ship"
stuff,"n. miscellaneous unspecified objects
n. informal terms for personal possessions
n. senseless talk
n. unspecified qualities required to do or be something"
contain,"v. be divisible by
v. be capable of holding or containing"
official,"n. a worker who holds or is invested with an office
n. someone who administers the rules of a game or sport
a. having official authority or sanction
a. of or relating to an office"
freeze,"n. the withdrawal of heat to change something from a liquid to a solid
n. weather cold enough to cause freezing
n. an interruption or temporary suspension of progress or movement
n. fixing (of prices or wages etc) at a particular level"
wire,"n. ligament made of metal and used to fasten things or make cages or fences etc
n. a metal conductor that carries electricity over a distance
n. the finishing line on a racetrack
v. provide with electrical circuits"
deliver,"v. deliver (a speech, oration, or idea)
v. bring to a destination, make a delivery
v. utter (an exclamation, noise, etc.)
v. save from sins"
delivery,"n. the act of delivering or distributing something (as goods or mail)
n. the event of giving birth
n. the voluntary transfer of something (title or possession) from one party to another
n. the act of delivering a child"
precious,"s. of high worth or cost
r. extremely"
thumb,"n. the thick short innermost digit of the forelimb
n. the part of a glove that provides a covering for the thumb"
equal,"v. be identical or equivalent to
v. be equal to in quality or ability
v. make equal, uniform, corresponding, or matching
a. having the same quantity, value, or measure as another"
equality,"n. the quality of being the same in quantity or measure or value or status
n. a state of being essentially equal or equivalent; equally balanced"
inequality,n. lack of equality
drug,"n. a substance that is used as a medicine or narcotic
v. administer a drug to
v. use recreational drugs"
swallow,"n. a small amount of liquid food
n. the act of swallowing
n. small long-winged songbird noted for swift graceful flight and the regularity of its migrations
v. pass through the esophagus as part of eating or drinking"
otherwise,"s. other than as supposed or expected
r. in other respects or ways"
undergraduate,n. a university student who has not yet received a first degree
recognise,"v show approval or appreciation of
v grant credentials to
v detect with the senses
v express greetings upon meeting someone
v express obligation, thanks, or gratitude for
v be fully aware or cognizant of
v perceive to be the same
v accept (someone) to be what is claimed or accept his power and authority"
poet,n. a writer of poems (the term is usually reserved for writers of good poetry)
