abase,v cause to feel shame; hurt the pride of
ready-made,"n. a manufactured artifact (as a garment or piece of furniture) that is made in advance and available for purchase
a. made for purchase and immediate use
s. commercially produced; not homemade"
rebound,"n. a reaction to a crisis or setback or frustration
n. the act of securing possession of the rebounding basketball after a missed shot"
red-hot,"s. characterized by intense emotion or interest or excitement
s. glowing red with heat"
regain,"v get or find back; recover the use of
v come upon after searching; find the location of something that was missed or lost"
relic,n. an antiquity that has survived from the distant past
renounce,"v give up, such as power, as of monarchs and emperors, or duties and obligations
v leave (a job, post, or position) voluntarily
v turn away from; give up
v cast off"
residue,n. matter that remains after something has been removed
resounding,"v ring or echo with sound
v emit a noise
s characterized by resonance"
revere,n. American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
rhythmical,a. recurring with measured regularity
roadhog,n. a driver who obstructs others
road hog,n. a driver who obstructs others
roam,"v move about aimlessly or without any destination, often in search of food or employment"
rustle,"n. a light noise, like the noise of silk clothing or leaves blowing in the wind
v. make a dry crackling sound
v. take illegally
v. forage food"
rut,"n. a groove or furrow (especially one in soft earth caused by wheels)
n. a settled and monotonous routine that is hard to escape
v. be in a state of sexual excitement; of male mammals"
saga,n. a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account
sanitary,a. free from filth and pathogens
sardine,"n. small fatty fish usually canned
n. any of various small edible herring or related food fishes frequently canned"
scapegoat,n. someone who is punished for the errors of others
schism,"n. division of a group into opposing factions
n. the formal separation of a church into two churches or the withdrawal of one group over doctrinal differences"
sediment,"n. matter that has been deposited by some natural process
v. deposit as a sediment
v. settle as sediment"
sensory,a. involving or derived from the senses
sermon,"n. an address of a religious nature (usually delivered during a church service)
n. a moralistic rebuke"
selective,"s. tending to select; characterized by careful choice
s. characterized by very careful or fastidious selection"
sneaker,"n a canvas shoe with a pliable rubber sole
n someone acting as an informer or decoy for the police"
separation,"n. the state of lacking unity
n. coming apart
n. sorting one thing from others
n. the social act of separating or parting company"
sexually,"r. with respect to sexuality
r. by sexual means"
shimmer,"n. a weak and tremulous light
v. shine with a weak or fitful light
v. give off a shimmering reflection, as of silk"
shortlist,v. put someone or something on a short list
shovel,"n. a hand tool for lifting loose material; consists of a curved container or scoop and a handle
n. the quantity a shovel can hold
n. a fire iron consisting of a small shovel used to scoop coals or ashes in a fireplace
v. dig with or as if with a shovel"
shrivel,"v. wither, as with a loss of moisture"
shudder,"v. tremble convulsively, as from fear or excitement"
shuffle,"n. the act of mixing cards haphazardly
v. walk by dragging one's feet
v. move about, move back and forth
v. mix so as to make a random order or arrangement"
sidewalk,n. walk consisting of a paved area for pedestrians; usually beside a street or roadway
silt,n. mud or clay or small rocks deposited by a river or lake
similarly,r. in like or similar manner
site,"n. the piece of land on which something is located (or is to be located)
n. physical position in relation to the surroundings"
slash,"n. an open tract of land in a forest that is strewn with debris from logging (or fire or wind)
n. a strong sweeping cut made with a sharp instrument
v. cut with sweeping strokes; as with an ax or machete
v. cut open"
sledge,"v. transport in a sleigh
v. ride in or travel with a sledge"
slowdown,n. the act of slowing down or falling behind
small-minded,s contemptibly narrow in outlook
smallpox,n. a highly contagious viral disease characterized by fever and weakness and skin eruption with pustules that form scabs that slough off leaving scars
smoothly,"r. with no problems or difficulties
r. in a smooth and diplomatic manner"
smother,"n. a stifling cloud of smoke
v. envelop completely
v. deprive of oxygen and prevent from breathing
v. conceal or hide"
smudge,"n. a smoky fire to drive away insects
n. a blemish made by dirt"
