admission,"n. the act of admitting someone to enter
n. an acknowledgment of the truth of something"
overflow,"n. the occurrence of surplus liquid (as water) exceeding the limit or capacity
v. flow or run over (a limit or brim)"
overhead,"n. (nautical) the top surface of an enclosed space on a ship
n. a hard return hitting the tennis ball above your head
a. located or originating from above
r. above your head; in the sky"
overlook,"n. a high place affording a good view
v. look past, fail to notice
v. watch over"
overseas,r. in a place across an ocean
overtake,v. catch up with and possibly overtake
overwhelming,"v overcome, as with emotions or perceptual stimuli
v charge someone with too many tasks
v cover completely or make imperceptible
v overcome by superior force
s so strong as to be irresistible
s very intense"
overlap,"n. a representation of common ground between theories or phenomena
n. the property of partial coincidence in time
v. coincide partially or wholly
v. extend over and cover a part of"
owe,"v. be obliged to pay or repay
v. be indebted to, in an abstract or intellectual sense
v. be in debt"
Pacific,"n. the largest ocean in the world
a. relating to or bordering the Pacific Ocean
s. disposed to peace or of a peaceful nature"
pad,"n. a number of sheets of paper fastened together along one edge
n. the large floating leaf of an aquatic plant (as the water lily)
n. a block of absorbent material saturated with ink; used to transfer ink evenly to a rubber stamp
n. a flat mass of soft material used for protection, stuffing, or comfort"
paddle,"n. small wooden bat with a flat surface; used for hitting balls in various games
n. a blade of a paddle wheel or water wheel
n. an instrument of punishment consisting of a flat board
n. a short light oar used without an oarlock to propel a canoe or small boat"
pagoda,n. an Asian temple; usually a pyramidal tower with an upward curving roof
pail,n. the quantity contained in a pail
pain,"n. a symptom of some physical hurt or disorder
n. emotional distress; a fundamental feeling that people try to avoid
n. a somatic sensation of acute discomfort
n. a bothersome annoying person"
painful,a. causing physical or psychological pain
painkiller,n a medicine used to relieve pain
paint,"n. a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
v. make a painting
v. apply paint to; coat with paint
v. make a painting of"
pamphlet,"n a small book usually having a paper cover
n a brief treatise on a subject of interest; published in the form of a booklet"
panda,"n large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae
n reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas"
panel,"n. sheet that forms a distinct (usually flat and rectangular) section or component of something
n. (law) a group of people summoned for jury service (from whom a jury will be chosen)
n. a group of people gathered for a special purpose as to plan or discuss an issue or judge a contest etc
n. a soft pad placed under a saddle"
panorama,n. a picture (or series of pictures) representing a continuous scene
pants,"n underpants worn by women
n the noise made by a short puff of steam (as from an engine)
n (usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately
n a short labored intake of breath with the mouth open
v breathe noisily, as when one is exhausted
v utter while panting, as if out of breath"
parachute,n. rescue equipment consisting of a device that fills with air and retards your fall
parade,"n. a ceremonial procession including people marching
n. an extended (often showy) succession of persons or things
n. a visible display
v. walk ostentatiously"
paradise,n. (Christianity) the abode of righteous souls after death
paradox,n. (logic) a statement that contradicts itself
paragraph,"n. one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line
v. divide into paragraphs, as of text
v. write about in a paragraph
v. write paragraphs; work as a paragrapher"
paralyse,"v make powerless and unable to function
v cause to be paralyzed and immobile"
parish,"n. a local church community
n. the local subdivision of a diocese committed to one pastor"
parliament,n. a legislative assembly in certain countries
parrot,"n. usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
n. a copycat who does not understand the words or acts being imitated
v. repeat mindlessly"
part,"n. something determined in relation to something that includes it
n. something less than the whole of a human artifact
n. a portion of a natural object
n. that which concerns a person with regard to a particular role or situation"
participle,n. a non-finite form of the verb; in English it is used adjectivally and to form compound tenses
particle,"n. a body having finite mass and internal structure but negligible dimensions
n. a function word that can be used in English to form phrasal verbs"
partition,"n. a vertical structure that divides or separates (as a wall divides one room from another)
n. (computer science) the part of a hard disk that is dedicated to a particular operating system or application and accessed as a single unit
n. (anatomy) a structure that separates areas in an organism
v. divide into parts, pieces, or sections"
party,"n. an organization to gain political power
n. a group of people gathered together for pleasure
n. a band of people associated temporarily in some activity
n. an occasion on which people can assemble for social interaction and entertainment"
pass,"n. (military) a written leave of absence
n. (American football) a play that involves one player throwing the ball to a teammate
n. the location in a range of mountains of a geological formation that is lower than the surrounding peaks
n. any authorization to pass or go somewhere"
passive,"a. lacking in energy or will
s. peacefully resistant in response to injustice
a. expressing that the subject of the sentence is the patient of the action denoted by the verb"
pasture,n. a field covered with grass or herbage and suitable for grazing by livestock
pathetic,"s. inspiring mixed contempt and pity
s. inspiring scornful pity"
patience,n. good-natured tolerance of delay or incompetence
patriotic,a. inspired by love for your country
patrol,"n. a detachment used for security or reconnaissance
n. the activity of going around or through an area at regular intervals for security purposes
n. a group that goes through a region at regular intervals for the purpose of security
v. maintain the security of by carrying out a patrol"
patron,"n. a regular customer
n. the proprietor of an inn
n. someone who supports or champions something"
pavement,n. the paved surface of a thoroughfare
payment,"n. a sum of money paid or a claim discharged
n. the act of paying money"
peacock,"n. European butterfly having reddish-brown wings each marked with a purple eyespot
n. male peafowl; having a crested head and very large fanlike tail marked with iridescent eyes or spots"
pearl,"n. a smooth lustrous round structure inside the shell of a clam or oyster; much valued as a jewel
v. gather pearls, from oysters in the ocean"
pedal,"n. a lever that is operated with the foot
v. operate the pedals on a keyboard instrument
a. of or relating to the feet"
peddle,v. sell or offer for sale from place to place
pedlar,n someone who travels about selling his wares (as on the streets or at carnivals)
pedler,n. See Peddler.
peep,"v. look furtively
v. cause to appear
v. make high-pitched sounds
v. speak in a hesitant and high-pitched tone of voice"
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
peg,"n. a wooden pin pushed or driven into a surface
n. small markers inserted into a surface to mark scores or define locations etc.
n. a prosthesis that replaces a missing leg
n. regulator that can be turned to regulate the pitch of the strings of a stringed instrument"
pepper,"n. climber having dark red berries (peppercorns) when fully ripe; southern India and Sri Lanka; naturalized in northern Burma and Assam
n. pungent seasoning from the berry of the common pepper plant of East India; use whole or ground
n. sweet and hot varieties of fruits of plants of the genus Capsicum
v. add pepper to"
percent,n a proportion in relation to a whole (which is usually the amount per hundred)
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
perch,"n. support consisting of a branch or rod that serves as a resting place (especially for a bird)
n. a linear measure of 16.5 feet
n. a square rod of land
n. an elevated place serving as a seat"
perfection,"n. the state of being without a flaw or defect
n. the act of making something perfect"
performance,"n. a dramatic or musical entertainment
n. the act of presenting a play or a piece of music or other entertainment
n. the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
n. any recognized accomplishment"
peril,"n a source of danger; a possibility of incurring loss or misfortune
n a state of danger involving risk
n a venture undertaken without regard to possible loss or injury
v pose a threat to; present a danger to
v put in a dangerous, disadvantageous, or difficult position"
period,"n. the interval taken to complete one cycle of a regularly repeating phenomenon
n. (ice hockey) one of three divisions into which play is divided in hockey games
n. a unit of geological time during which a system of rocks formed
n. the end or completion of something"
permit,"n. large game fish; found in waters of the West Indies
v. consent to, give permission"
perplex,v. be a mystery or bewildering to
persecute,v. cause to suffer
Persian,n. the language of Persia (Iran) in any of its ancient forms
persist,v. stay behind
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
pessimist,n. a person who expects the worst
petrol,n a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
petroleum,n. a dark oil consisting mainly of hydrocarbons
phobia,n. an anxiety disorder characterized by extreme and irrational fear of simple things or social situations
phoenix,"n. the state capital and largest city located in south central Arizona; situated in a former desert that has become a prosperous agricultural area thanks to irrigation
n. a large monocotyledonous genus of pinnate-leaved palms found in Asia and Africa
n. a legendary Arabian bird said to periodically burn itself to death and emerge from the ashes as a new phoenix; according to most versions only one phoenix lived at a time and it renewed itself every 500 years"
photograph,"n. a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
v. record on photographic film
v. undergo being photographed in a certain way"
physical,"a. involving the body as distinguished from the mind or spirit
a. relating to the sciences dealing with matter and energy; especially physics
s. having substance or material existence; perceptible to the senses
s. according with material things or natural laws (other than those peculiar to living matter)"
pilgrim,"n. someone who journeys in foreign lands
n. one of the colonists from England who sailed to America on the Mayflower and founded the colony of Plymouth in New England in 1620
n. someone who journeys to a sacred place as an act of religious devotion"
pillow,"n. a cushion to support the head of a sleeping person
v. rest on or as if on a pillow"
pin,"n. a piece of jewelry that is pinned onto the wearer's garment
n. informal terms for the leg
n. cylindrical tumblers consisting of two parts that are held in place by springs; when they are aligned with a key the bolt can be thrown
n. flagpole used to mark the position of the hole on a golf green"
pine,"n. a coniferous tree
n. straight-grained durable and often resinous white to yellowish timber of any of numerous trees of the genus Pinus"
pineapple,"n. a tropical American plant bearing a large fleshy edible fruit with a terminal tuft of stiff leaves; widely cultivated in the tropics
n. large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated"
pink,"n. a light shade of red
n. any of various flowers of plants of the genus Dianthus cultivated for their fragrant flowers
v. sound like a car engine that is firing too early
v. cut in a zigzag pattern with pinking shears, in sewing"
pioneer,"n. someone who helps to open up a new line of research or technology or art
n. one the first colonists or settlers in a new territory
v. open up an area or prepare a way
v. open up and explore a new area"
pious,a. having or showing or expressing reverence for a deity
pipe,"n. a tube with a small bowl at one end; used for smoking tobacco
n. a long tube made of metal or plastic that is used to carry water or oil or gas etc.
n. a hollow cylindrical shape
n. a tubular wind instrument"
pirate,"n. someone who robs at sea or plunders the land from the sea without having a commission from any sovereign nation
n. a ship that is manned by pirates
v. copy illegally; of published material"
pistol,n. a firearm that is held and fired with one hand
pity,n. an unfortunate development
placid,s. (of a body of water) free from disturbance by heavy waves
plain,"n. extensive tract of level open land
a. not elaborate or elaborated; simple
a. lacking patterns especially in color
s. not mixed with extraneous elements"
plank,"n. an endorsed policy in the platform of a political party
v. cover with planks
v. set (something or oneself) down with or as if with a noise
v. cook and serve on a plank"
plasma,"n. the colorless watery fluid of the blood and lymph that contains no cells, but in which the blood cells (erythrocytes, leukocytes, and thrombocytes) are suspended
n. a green slightly translucent variety of chalcedony used as a gemstone
n. (physical chemistry) a fourth state of matter distinct from solid or liquid or gas and present in stars and fusion reactors; a gas becomes a plasma when it is heated until the atoms lose all their electrons, leaving a highly electrified collection of nuclei and free electrons"
platform,"n. a raised horizontal surface
n. a document stating the aims and principles of a political party
n. the combination of a particular computer and a particular operating system
n. any military structure or vehicle bearing weapons"
platinum,n. a heavy precious metallic element; grey-white and resistant to corroding; occurs in some nickel and copper ores and is also found native in some deposits
plaza,"n. a public square with room for pedestrians
n. mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace"
plea,"n. (law) a defendant's answer by a factual matter (as distinguished from a demurrer)
n. an answer indicating why a suit should be dismissed"
pleasure,"n. a fundamental feeling that is hard to define but that people desire to experience
n. a formal expression
n. an activity that affords enjoyment
n. sexual gratification"
pledge,"n. a deposit of personal property as security for a debt
n. someone accepted for membership but not yet fully admitted to the group
n. a drink in honor of or to the health of a person or event
v. promise solemnly and formally"
plight,n. a solemn pledge of fidelity
plough,"n a group of seven bright stars in the constellation Ursa Major
n a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
v move in a way resembling that of a plow cutting into or going through the soil
v to break and turn over earth especially with a plow"
plow,"n. a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
v. to break and turn over earth especially with a plow
v. move in a way resembling that of a plow cutting into or going through the soil"
plum,"n. any of several trees producing edible oval fruit having a smooth skin and a single hard stone
n. any of numerous varieties of small to medium-sized round or oval fruit having a smooth skin and a single pit
n. a highly desirable position or assignment"
plumber,n. a craftsman who installs and repairs pipes and fixtures and appliances
plume,"n. anything that resembles a feather in shape or lightness
n. a feather or cluster of feathers worn as an ornament
v. deck with a plume
v. form a plume"
plunder,v. steal goods; take as spoils
ply,"n. one of the strands twisted together to make yarn or rope or thread; often used in combination
n. (usually in combinations) one of several layers of cloth or paper or wood as in plywood
v. apply oneself diligently
v. travel a route regularly"
pneumonia,n. respiratory disease characterized by inflammation of the lung parenchyma (excluding the bronchi) with congestion caused by viruses or bacteria or irritants
pocket,"n. a small pouch inside a garment for carrying small articles
n. a supply of money
n. (bowling) the space between the headpin and the pins behind it on the right or left
n. a small isolated group of people"
poetry,"n. literature in metrical form
n. any communication resembling poetry in beauty or the evocation of feeling"
point,"n. a geometric element that has position but no extension
n. the precise location of something; a spatially limited location
n. a brief version of the essential meaning of something
n. an instant of time"
poke,"n. tall coarse perennial American herb having small white flowers followed by blackish-red berries on long drooping racemes; young fleshy stems are edible; berries and root are poisonous
v. stir by poking
v. make a hole by poking"
policy,"n. a plan of action adopted by an individual or social group
n. a line of argument rationalizing the course of action of a government
n. written contract or certificate of insurance"
politician,"n. a leader engaged in civil administration
n. a person active in party politics
n. a schemer who tries to gain advantage in an organization in sly or underhanded ways"
politics,"n. social relations involving intrigue to gain authority or power
n. the study of government of states and other political units
n. the profession devoted to governing and to political affairs
n. the opinion you hold with respect to political questions"
pollster,n. someone who conducts surveys of public opinion
pollutant,n. waste matter that contaminates the water or air or soil
pollute,v. make impure
ponder,v reflect deeply on a subject
popcorn,"n. corn having small ears and kernels that burst when exposed to dry heat
n. small kernels of corn exploded by heat"
population,"n. the people who inhabit a territory or state
n. a group of organisms of the same species inhabiting a given area
n. (statistics) the entire aggregation of items from which samples can be drawn
n. the number of inhabitants (either the total number or the number of a particular race or class) in a given place (country or city etc.)"
porcelain,n. ceramic ware made of a more or less translucent ceramic
porch,n. a structure attached to the exterior of a building often forming a covered entrance
pore,"n. any tiny hole admitting passage of a liquid (fluid or gas)
n. any small opening in the skin or outer surface of an animal"
pornography,n. creative activity (writing or pictures or films etc.) of no literary or artistic value other than to stimulate sexual desire
porridge,n. soft food made by boiling oatmeal or other meal or legumes in water or milk until thick
port,"n. a place (seaport or airport) where people and merchandise can enter or leave a country
n. sweet dark-red dessert wine originally from Portugal
n. an opening (in a wall or ship or armored vehicle) for firing through
v. put or turn on the left side, of a ship"
portion,"n something determined in relation to something that includes it
n something less than the whole of a human artifact
n the allotment of some amount by dividing something
n assets belonging to or due to or contributed by an individual person or group
n your overall circumstances or condition in life (including everything that happens to you)
n money or property brought by a woman to her husband at marriage
n an individual quantity of food or drink taken as part of a meal
v give out"
portrait,"n. any likeness of a person, in any medium"
portray,"v. portray in words
v. make a portrait of
v. represent abstractly, for example in a painting, drawing, or sculpture"
postcard,n. a card for sending messages by post without an envelope
posterity,n. all future generations
potato,"n. an edible tuber native to South America; a staple food of Ireland
n. annual native to South America having underground stolons bearing edible starchy tubers; widely cultivated as a garden vegetable; vines are poisonous"
pottery,"n. ceramic ware made from clay and baked in a kiln
n. the craft of making earthenware
n. a workshop where clayware is made"
poultry,n. flesh of chickens or turkeys or ducks or geese raised for food
pound,"n. 16 ounces avoirdupois
n. a unit of apothecary weight equal to 12 ounces troy
n. a nontechnical unit of force equal to the mass of 1 pound with an acceleration of free fall equal to 32 feet/sec/sec
n. United States writer who lived in Europe; strongly influenced the development of modern literature (1885-1972)"
poverty,n. the state of having little or no money and few or no material possessions
practicable,"s usable for a specific purpose
s capable of being done with means at hand and circumstances as they are"
practice,"n. a customary way of operation or behavior
n. translating an idea into action
n. the exercise of a profession
n. knowledge of how something is usually done"
practise,"v engage in a rehearsal (of)
v carry out or practice; as of jobs and professions
v learn by repetition"
practitioner,n. someone who practices a learned profession
prairie,n. a treeless grassy plain
prawn,"n. any of various edible decapod crustaceans
n. shrimp-like decapod crustacean having two pairs of pincers; most are edible
v. fish for prawns"
pray,"v. address a deity, a prophet, a saint or an object of worship; say a prayer"
prayer,"n. the act of communicating with a deity (especially as a petition or in adoration or contrition or thanksgiving)
n. reverent petition to a deity
n. a fixed text used in praying
n. someone who prays to God"
preach,"v. deliver a sermon
v. speak, plead, or argue in favor of"
precarious,"s. affording no ease or reassurance
s. not secure; beset with difficulties"
precaution,"n. a precautionary measure warding off impending danger or damage or injury etc.
n. the trait of practicing caution in advance"
predecessor,n. one who precedes you in time (as in holding a position or office)
predicate,"n. (logic) what is predicated of the subject of a proposition; the second term in a proposition is predicated of the first term by means of the copula
n. one of the two main constituents of a sentence; the predicate contains the verb and its complements
v. make the (grammatical) predicate in a proposition"
prefer,"v. like better; value more highly
v. promote over another
v. give preference to one creditor over another"
prefix,"n. an affix that is added in front of the word
v. attach a prefix to"
pregnancy,n. the state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus
pregnant,a. carrying developing offspring within the body or being about to produce new life
premier,"v. be performed for the first time
v. perform a work for the first time
s. first in rank or degree
s. preceding all others in time"
preoccupation,"n. an idea that preoccupies the mind and holds the attention
n. the mental state of being preoccupied by something"
prepare,"v. to prepare verbally, either for written or spoken delivery
v. educate for a future role or function
v. lead up to and soften by sounding the dissonant note in it as a consonant note in the preceding chord"
preposition,"n. a function word that combines with a noun or pronoun or noun phrase to form a prepositional phrase that can have an adverbial or adjectival relation to some other word
n. (linguistics) the placing of one linguistic element before another (as placing a modifier before the word it modifies in a sentence or placing an affix before the base to which it is attached)"
presentation,"n. the activity of formally presenting something (as a prize or reward)
n. a show or display; the act of presenting something to sight or view
n. the act of making something publicly available; presenting news or other information by broadcasting or printing it
n. the act of presenting a proposal"
president,"n. an executive officer of a firm or corporation
n. the chief executive of a republic
n. the officer who presides at the meetings of an organization
n. the head administrative officer of a college or university"
presume,"v. constitute reasonable evidence for
v. take liberties or act with too much confidence"
pretend,v. put forward a claim and assert right or possession of
pretend,v. put forward a claim and assert right or possession of
pretext,n. something serving to conceal plans; a fictitious reason that is concocted in order to conceal the real reason
prevail,"v. be valid, applicable, or true
v. continue to exist
v. prove superior
v. use persuasion successfully"
prevent,"v. keep from happening or arising; make impossible
v. stop (someone or something) from doing something or being in a certain state"
prey,"n. a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence
n. animal hunted or caught for food
v. profit from in an exploitatory manner"
prick,"n. the act of puncturing with a small point
v. cause a stinging pain
v. to cause a sharp emotional pain"
prince,n. a male member of a royal family other than the sovereign (especially the son of a sovereign)
princess,n. a female member of a royal family other than the queen (especially the daughter of a sovereign)
print,"n. the text appearing in a book, newspaper, or other printed publication
n. a picture or design printed from an engraving
n. availability in printed form
n. a copy of a movie on film (especially a particular version of it)"
prior,n. the head of a religious order; in an abbey the prior is next below the abbot
privacy,"n. the quality of being secluded from the presence or view of others
n. the condition of being concealed or hidden"
private,"n. an enlisted man of the lowest rank in the Army or Marines
a. confined to particular persons or groups or providing privacy
s. concerning things deeply private and personal"
probability,"n. a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible
n. the quality of being probable; a probable event or the most probable event"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
procession,n. the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
produce,"n. fresh fruits and vegetable grown for the market
v. bring forth or yield
v. create or manufacture a man-made product
v. cause to happen, occur or exist"
producer,"n. someone who finds financing for and supervises the making and presentation of a show (play or film or program or similar work)
n. something that produces"
product,"n. an artifact that has been created by someone or some process
n. a quantity obtained by multiplication
n. a chemical substance formed as a result of a chemical reaction
n. a consequence of someone's efforts or of a particular set of circumstances"
progress,"n. the act of moving forward (as toward a goal)
n. a movement forward
v. develop in a positive way"
progressive,"n. a tense of verbs used in describing action that is on-going
a. favoring or promoting progress
s. favoring or promoting reform (often by government action)
a. (of taxes) adjusted so that the rate increases as the amount of income increases"
proletarian,"n. a member of the working class (not necessarily employed)
s. belonging to or characteristic of the proletariat"
promise,"n. a verbal commitment by one person to another agreeing to do (or not to do) something in the future
n. grounds for feeling hopeful about the future
v. make a promise or commitment
v. promise to undertake or give"
promising,s. showing possibility of achievement or excellence
prone,"s. having a tendency (to); often used in combination
s. lying face downward"
pronounce,"v. speak, pronounce, or utter in a certain way
v. pronounce judgment on"
prop,n. a support placed beneath or against something to keep it from shaking or falling
propaganda,n. information that is spread for the purpose of promoting some cause
propel,v. cause to move forward with force
prophesy,"v. predict or reveal through, or as if through, divine inspiration"
prophet,"n. an authoritative person who divines the future
n. someone who speaks by divine inspiration; someone who is an interpreter of the will of God"
prose,"n. ordinary writing as distinguished from verse
n. matter of fact, commonplace, or dull expression"
prosecution,"n. the institution and conduct of legal proceedings against a defendant for criminal behavior
n. the lawyers acting for the state to put the case against the defendant"
protect,"v. shield from danger, injury, destruction, or damage
v. use tariffs to favor domestic industry"
prosperity,"n. an economic state of growth with rising profits and full employment
n. the condition of prospering; having good fortune"
prostitute,"n. a woman who engages in sexual intercourse for money
v. sell one's body; exchange sex for money"
protect,"v. shield from danger, injury, destruction, or damage
v. use tariffs to favor domestic industry"
protein,n. any of a large group of nitrogenous organic compounds that are essential constituents of living cells; consist of polymers of amino acids; essential in the diet of animals for growth and for repair of tissues; can be obtained from meat and eggs and milk and legumes
protest,"n. a formal and solemn declaration of objection
n. the act of protesting; a public (often organized) manifestation of dissent
n. the act of making a strong public expression of disagreement and disapproval
v. utter words of protest"
prove,"v. be shown or be found to be
v. establish the validity of something, as by an example, explanation or experiment
v. prove formally; demonstrate by a mathematical, formal proof
v. take a trial impression of"
proverb,n. a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
provide,"v. give what is desired or needed, especially support, food or sustenance
v. determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation
v. supply means of subsistence; earn a living
v. take measures in preparation for"
provocative,"a. serving or tending to provoke, excite, or stimulate; stimulating discussion or exciting controversy
s. exciting sexual desire"
psychiatry,n. the branch of medicine dealing with the diagnosis and treatment of mental disorders
psychological,"s. mental or emotional as opposed to physical in nature
a. of or relating to or determined by psychology"
public,"n. a body of people sharing some common interest
a. not private; open to or concerning the people as a whole
s. affecting the people or community as a whole"
publish,"v. prepare and issue for public distribution or sale
v. have (one's written work) issued for publication"
pull,"n. the act of pulling; applying force to move something toward or with you
n. the force used in pulling
n. special advantage or influence
n. a device used for pulling something"
punctual,a. acting or arriving or performed exactly at the time appointed
punctuation,"n. something that makes repeated and regular interruptions or divisions
n. the marks used to clarify meaning by indicating separation of words into sentences and clauses and phrases
n. the use of certain marks to clarify meaning of written material by grouping words grammatically into sentences and clauses and phrases"
punish,v. impose a penalty on; inflict punishment on
pupil,n. the contractile aperture in the center of the iris of the eye; resembles a large black dot
puppet,"n. a small figure of a person operated from above with strings by a puppeteer
n. a doll with a hollow head of a person or animal and a cloth body; intended to fit over the hand and be manipulated with the fingers"
pure,"a. free of extraneous elements of any kind
s. free from discordant qualities
s. concerned with theory and data rather than practice; opposed to applied
a. (used of persons or behaviors) having no faults; sinless"
purify,"v. remove impurities from, increase the concentration of, and separate through the process of distillation
v. make pure or free from sin or guilt
v. become clean or pure or free of guilt and sin"
purpose,"n. an anticipated outcome that is intended or that guides your planned actions
v. reach a decision"
purse,"n. a sum of money spoken of as the contents of a money purse
n. a small bag for carrying money
n. a sum of money offered as a prize
v. contract one's lips into a rounded shape"
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
push,"n. the act of applying force in order to move something away
n. the force used in pushing
n. an effort to advance
v. move with force, ""He pushed the table into a corner"""
puzzle,"n. a particularly baffling problem that is said to have a correct solution
n. a game that tests your ingenuity
v. be uncertain about; think about without fully understanding or being able to decide"
pyramid,"n. a polyhedron having a polygonal base and triangular sides with a common vertex
n. (stock market) a series of transactions in which the speculator increases his holdings by using the rising market value of those holdings as margin for further purchases
n. a massive monument with a square base and four triangular sides; begun by Cheops around 2700 BC as royal tombs in ancient Egypt
v. enlarge one's holdings on an exchange on a continued rise by using paper profits as margin to buy additional amounts"
qualitative,"a. involving distinctions based on qualities
a. relating to or involving comparisons based on qualities"
quantify,"v. use as a quantifier
v. express as a number or measure or quantity"
quantitative,"a. expressible as a quantity or relating to or susceptible of measurement
a. relating to the measurement of quantity
a. (of verse) having a metric system based on relative duration of syllables"
quality,"n. an essential and distinguishing attribute of something or someone
n. a degree or grade of excellence or worth
n. a characteristic property that defines the apparent individual nature of something
n. high social status"
quantity,"n. an adequate or large amount
n. the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable"
quarrel,"n. an angry dispute
n. an arrow that is shot from a crossbow; has a head with four edges
v. have a disagreement over something"
quarry,v. extract (something such as stones) from or as if from a quarry
quart,"n. a United States liquid unit equal to 32 fluid ounces; four quarts equal one gallon
n. a British imperial capacity measure (liquid or dry) equal to 2 pints or 1.136 liters
n. a United States dry unit equal to 2 pints or 67.2 cubic inches"
quartz,n. a hard glossy mineral consisting of silicon dioxide in crystal form; present in most rocks (especially sandstone and granite); yellow sand is quartz with iron oxide impurities
quay,n. wharf usually built parallel to the shoreline
queer,"v. put in a dangerous, disadvantageous, or difficult position"
quest,"n. the act of searching for something
v. make a search (for)
v. search the trail of (game)
v. seek alms, as for religious purposes"
queue,"n. a line of people or vehicles waiting for something
n. (information processing) an ordered list of tasks to be performed or messages to be transmitted
n. a braid of hair at the back of the head"
quietly,"r. with little or no sound
r. with little or no activity or no agitation (`quiet' is a nonstandard variant for `quietly')"
quilt,"n. bedding made of two layers of cloth filled with stuffing and stitched together
v. stitch or sew together
v. create by stitching together"
quit,"v put an end to a state or an activity
v give up or retire from a position
v go away or leave
v turn away from; give up
v give up in the face of defeat of lacking hope; admit defeat"
quiver,"n. case for holding arrows
v. shake with fast, tremulous movements"
quiz,"n. an examination consisting of a few short questions
v. examine someone's knowledge of something"
quota,"n. a prescribed number
n. a proportional share assigned to each participant
n. a limitation on imports"
quotation,"n. a passage or expression that is quoted or cited
n. a statement of the current market price of a security or commodity
n. the practice of quoting from books or plays etc."
racialism,n discriminatory or abusive behavior towards members of another race
racism,"n. the prejudice that members of one race are intrinsically superior to members of other races
n. discriminatory or abusive behavior towards members of another race"
rack,"n. framework for holding objects
n. rib section of a forequarter of veal or pork or especially lamb or mutton
n. an instrument of torture that stretches or disjoints or mutilates victims
n. a support for displaying various articles"
radiate,"v. send out rays or waves
v. send out real or metaphoric rays
v. extend or spread outward from a center or focus or inward towards a center
v. cause to be seen by emitting light as if in rays"
radiator,"n. any object that radiates energy
n. heater consisting of a series of pipes for circulating steam or hot water to heat rooms or buildings
n. a mechanism consisting of a metal honeycomb through which hot fluids circulate; heat is transferred from the fluid through the honeycomb to the airstream that is created either by the motion of the vehicle or by a fan"
rag,"n. a small piece of cloth or paper
n. a week at British universities during which side-shows and processions of floats are organized to raise money for charities
n. a boisterous practical joke (especially by college students)
v. play in ragtime"
rage,"n. a state of extreme anger
n. something that is desired intensely
n. violent state of the elements
v. be violent; as of fires and storms"
raider,n. a corporate investor who intends to take over a company by buying a controlling interest in its stock and installing new management
rainforest,n a forest with heavy annual rainfall
rally,"n. a large gathering of people intended to arouse enthusiasm
n. the feat of mustering strength for a renewed effort
n. a marked recovery of strength or spirits during an illness
n. an automobile race run over public roads"
ramp,"n. an inclined surface connecting two levels
n. North American perennial having a slender bulb and whitish flowers
n. a movable staircase that passengers use to board or leave an aircraft
v. behave violently, as if in state of a great anger"
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
ransom,"n. money demanded for the return of a captured person
n. payment for the release of someone
n. the act of freeing from captivity or punishment
v. exchange or buy back for money; under threat"
rape,"n. Eurasian plant cultivated for its seed and as a forage crop
n. the act of despoiling a country in warfare
n. the crime of forcing a woman to submit to sexual intercourse against her will
v. force (someone) to have sex against their will"
rare,"s. not widely known; especially valued for its uncommonness
s. recurring only at long intervals
s. not widely distributed
s. having low density"
