abroad,"s. in a foreign country
r. to or in a foreign country"
bath,"n. a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it)
n. you soak and wash your body in a bathtub
n. an ancient Hebrew liquid measure equal to about 10 gallons
n. a town in southwestern England on the River Avon; famous for its hot springs and Roman remains"
beach,"n. an area of sand sloping down to the water of a sea or lake
v. land on a beach"
bitter,"n. English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)
n. the taste experience when quinine or coffee is taken into the mouth
v. make bitter
s. very difficult to accept or bear"
blade,"n. especially a leaf of grass or the broad portion of a leaf as distinct from the petiole
n. a dashing young man
n. something long and thin resembling a blade of grass
n. a cut of beef from the shoulder blade"
block,"n. a solid piece of something (usually having flat rectangular sides)
n. a rectangular area in a city surrounded by streets and usually containing several buildings
n. a three-dimensional shape with six square or rectangular sides
n. a number or quantity of related things dealt with as a unit"
bold,"a. fearless and daring
s. clear and distinct"
bottom,"n. the lower side of anything
n. the lowest part of anything
n. the second half of an inning; while the home team is at bat
n. a cargo ship"
boundary,"n. the line or plane indicating the limit or extent of something
n. a line determining the limits of an area"
bowel,n the part of the alimentary canal between the stomach and the anus
brass,"n. an alloy of copper and zinc
n. a wind instrument that consists of a brass tube (usually of variable length) that is blown by means of a cup-shaped or funnel-shaped mouthpiece
n. an ornament or utensil made of brass
n. a memorial made of brass"
brick,"n. rectangular block of clay baked by the sun or in a kiln; used as a building or paving material
n. a good fellow; helpful and trustworthy"
brown,"n. an orange of low brightness and saturation
n. Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858)
n. abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)
v. fry in a pan until it changes color"
bullet,n. a projectile that is fired from a gun
bunch,"n. a grouping of a number of similar things
n. any collection in its entirety
v. gather or cause to gather into a cluster"
candle,"n. stick of wax with a wick in the middle
n. the basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin
v. examine eggs for freshness by holding them against a light"
chimney,n. a vertical flue that provides a path through which smoke from a fire is carried away through the wall or roof of a building
chin,"n. the protruding part of the lower jaw
v. raise oneself while hanging from one's hands until one's chin is level with the support bar"
citizen,n. a native or naturalized member of a state or other political community
civilisation,"n the social process whereby societies achieve an advanced stage of development and organization
n a particular society at a particular time and place
n a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n the quality of excellence in thought and manners and taste"
