important,"a. of great significance or value
s. having or suggesting a consciousness of high position"
editor,n. a person responsible for the editorial aspects of publication; the person who determines the final content of a text (especially of a newspaper or magazine)
enjoyable,s. affording satisfaction or pleasure
error,"n. a misconception resulting from incorrect information
n. (baseball) a failure of a defensive player to make an out when normal play would have sufficed
n. departure from what is ethically acceptable
n. (computer science) the occurrence of an incorrect result produced by a computer"
facial,"n. cranial nerve that supplies facial muscles
n. care for the face that usually involves cleansing and massage and the application of cosmetic creams
a. of or concerning the face
a. of or pertaining to the outside surface of an object"
gamble,"n. money that is risked for possible monetary gain
n. a risky act or venture
v. take a risk in the hope of a favorable outcome
v. play games for money"
helpless,"s. lacking in or deprived of strength or power
s. unable to function; without help
s. unable to manage independently"
inability,"n. lack of ability (especially mental ability) to do something
n. lacking the power to perform"
ineffective,"a. not producing an intended effect
s. lacking in power or forcefulness
s. lacking the ability or skill to perform effectively; inadequate"
inexpensive,a relatively low in price or charging low prices
injury,"n. any physical damage to the body caused by violence or accident or fracture etc.
n. an accident that results in physical damage or hurt
n. an act that causes someone or something to receive physical damage
n. wrongdoing that violates another's rights and is unjustly inflicted"
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
journey,n. the act of traveling from one place to another
luggage,n cases used to carry belongings when traveling
luxury,"n. something that is an indulgence rather than a necessity
n. wealth as evidenced by sumptuous living"
maintenance,"n. means of maintenance of a family or group
n. the unauthorized interference in a legal action by a person having no interest in it (as by helping one party with money or otherwise to continue the action) so as to obstruct justice or promote unnecessary litigation or unsettle the peace of the community"
meanwhile,"r. at the same time but in another place
r. during the intervening time"
myth,n. a traditional story accepted as history; serves to explain the world view of a people
niece,n. a daughter of your brother or sister
normally,r. under normal conditions
obese,s excessively fat
oral,"n. an examination conducted by spoken communication
s. using speech rather than writing
a. of or relating to or affecting or for use in the mouth
a. of or involving the mouth or mouth region or the surface on which the mouth is located"
