acrobatics,"n. the gymnastic moves of an acrobat
n. the performance of stunts while in flight in an aircraft"
server,"n. (court games) the player who serves to start a point
n. (computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network
n. utensil used in serving food or drink"
receiver,"n. set that receives radio or tv signals
n. the tennis player who receives the serve
n. a football player who catches (or is supposed to catch) a forward pass"
wide,"a. having great (or a certain) extent from one side to the other
a. great in degree
s. having ample fabric
s. not on target"
lawn tennis,none
grass court,none
racket press,none
string,"n. a lightweight cord
n. a tightly stretched cord of wire or gut, which makes sound when plucked, struck, or bowed
n. a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding
n. a linear sequence of symbols (characters or words or phrases)"
gut,"n. a narrow channel or strait
v. empty completely; destroy the inside of
v. remove the guts of"
line ball,none
baseline ball,none
sideline ball,none
straight ball,none
down-the-line shot,none
low ball,v make a deliberately low estimate
long shot,none
short shot,none
jump smash,none
low drive,none
low volley,none
deep ball,none
heavy ball,none
flat stroke,none
flat drive,none
ground stroke,none
overhead smash,none
overhand smash,none
fifteen all,none
thirty all,none
forty all,none
love game,none
double fault,none
service line,none
fore court,n. the outer or front court of a building or of a group of buildings
back court,none
centre mark,none
tennis court,none
basketball,"n. a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop
n. an inflated ball used in playing basketball"
basket support,none
boundary line,none
side line,"n. a line that marks the side boundary of a playing field
n. an auxiliary line of merchandise
v. remove from the center of activity or attention; place into an inferior position"
three seconds,none
technical offence,none
double foul,none
time-out,n. a brief suspension of play
removal of player,none
change of player,none
extra game,none
extra period,none
miss the basket,none
inaccurate shooting,none
volleyball,"n. a game in which two teams hit an inflated ball over a high net using their hands
n. an inflated ball used in playing volleyball"
volleyball court,none
volleyball net,none
service area,none
attack area,none
rugby,n. a form of football played with an oval ball
mask,"n. a covering to disguise or conceal the face
n. activity that tries to conceal something
n. a protective covering worn over the face
v. put a mask on or cover with a mask"
helmet,"n. armor plate that protects the head
n. a protective headgear made of hard material to resist blows"
badminton,n. a game played on a court with light long-handled rackets used to volley a shuttlecock over a net
shuttlecock,"n. badminton equipment consisting of a ball of cork or rubber with a crown of feathers
v. send or toss to and fro, like a shuttlecock"
racket,"n. a loud and disturbing noise
n. an illegal enterprise (such as extortion or fraud or drug peddling or prostitution) carried on for profit
n. a sports implement (usually consisting of a handle and an oval frame with a tightly interlaced network of strings) used to strike a ball (or shuttlecock) in various games
v. make loud and annoying noises"
golf,"n. a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes
v. play golf"
hockey,"n a game resembling ice hockey that is played on an open field; two opposing teams use curved sticks try to drive a ball into the opponents' net
n a game played on an ice rink by two opposing teams of six skaters each who try to knock a flat round puck into the opponents' goal with angled sticks"
billiards,n. any of several games played on rectangular cloth-covered table (with cushioned edges) in which long tapering cue sticks are used to propel ivory (or composition) balls
cricket,"n. leaping insect; male makes chirping noises by rubbing the forewings together
n. a game played with a ball and bat by two teams of 11 players; teams take turns trying to score runs
v. play cricket"
croquet,"n. a game in which players hit a wooden ball through a series of hoops; the winner is the first to traverse all the hoops and hit a peg
v. drive away by hitting with one's ball, ""croquet the opponent's ball""
v. play a game in which players hit a wooden ball through a series of hoops"
polo,"n. Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324)
n. a game similar to field hockey but played on horseback using long-handled mallets and a wooden ball"
baseball field,none
touch line,n. either of the sidelines in soccer or rugby
football helmet,none
badminton court,none
golf course,none
table tennis,none
ice hockey,none
water polo,none
polo player,none
trials,"n the act of testing something
n trying something to find out about it
n the act of undergoing testing
n (law) the determination of a person's innocence or guilt by due process of law
n (sports) a preliminary competition to determine qualifications
n an annoying or frustrating or catastrophic event"
javelin,"n. an athletic competition in which a javelin is thrown as far as possible
n. a spear thrown as a weapon or in competitive field events"
javelin throw,none
discus,"n. an athletic competition in which a disk-shaped object is thrown as far as possible
n. a disk used in throwing competitions"
discus throw,none
marathon,"n. any long and arduous undertaking
n. a footrace of 26 miles 385 yards
n. a battle in 490 BC in which the Athenians and their allies defeated the Persians"
marathon race,none
hurdles,"n a footrace in which contestants must negotiate a series of hurdles
n a light movable barrier that competitors must leap over in certain races
n an obstacle that you are expected to overcome
n the act of jumping over an obstacle
v jump a hurdle"
hurdle race,none
finish,"n. the place designated as the end (as of a race or journey)
n. designated event that concludes a contest (especially a race)
n. the downfall of someone (as of persons on one side of a conflict)
n. (wine tasting) the taste of a wine on the back of the tongue (as it is swallowed)"
track,"n. a pair of parallel rails providing a runway for wheels
n. an endless metal belt on which tracked vehicles move over the ground
n. (computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data
n. a groove on a phonograph recording"
gymnastics,n. a sport that involves exercises intended to display strength and balance and agility
gymnast,n. an athlete who is skilled in gymnastics
rings,n. gymnastic apparatus consisting of a pair of heavy metal circles (usually covered with leather) suspended by ropes; used for gymnastic exercises
swinging rings,none
springboard,"n. a flexible board for jumping upward
n. a beginning from which an enterprise is launched"
difficulty,"n. a factor causing trouble in achieving a positive result or tending to produce a negative result
n. a condition or state of affairs almost beyond one's ability to deal with and requiring great effort to bear or overcome
n. the quality of being difficult"
harmony,"n. compatibility in opinion and action
n. the structure of music with respect to the composition and progression of chords
n. a harmonious state of things in general and of their properties (as of colors and sounds); congruity of parts with one another and with the whole
n. agreement of opinions"
elegance,"n. a refined quality of gracefulness and good taste
n. a quality of neatness and ingenious simplicity in the solution of a problem (especially in science or mathematics)"
accuracy,"n. the quality of being near to the true value
n. (mathematics) the number of significant figures given in a number"
fencing,n. the art or sport of fighting with swords (especially the use of foils or epees or sabres to score points under a set of rules)
mask,"n. a covering to disguise or conceal the face
n. activity that tries to conceal something
n. a protective covering worn over the face
v. put a mask on or cover with a mask"
helmet,"n. armor plate that protects the head
n. a protective headgear made of hard material to resist blows"
boxing,n. fighting with the fists
karate,n. a traditional Japanese system of unarmed combat; sharp blows and kicks are given to pressure-sensitive points on the body of the opponent
boxer,"n. someone who fights with his fists for sport
n. a member of a nationalistic Chinese secret society that led an unsuccessful rebellion in 1900 against foreign interests in China
n. a breed of stocky medium-sized short-haired dog with a brindled coat and square-jawed muzzle developed in Germany"
cycling,n. the sport of traveling on a bicycle or motorcycle
shooting,"n. the act of firing a projectile
n. killing someone by gunfire"
archery,n. the sport of shooting arrows with a bow
gliding,"n the activity of flying a glider
v move smoothly and effortlessly
v fly in or as if in a glider plane
v cause to move or pass silently, smoothly, or imperceptibly"
wrestling,n. the sport of hand-to-hand struggle between unarmed contestants who try to throw each other down
wrestler,n. combatant who tries to throw opponent to the ground
sumo,n. a Japanese form of wrestling; you lose if you are forced out of a small ring or if any part of your body (other than your feet) touches the ground
judo,n. a sport adapted from jujitsu (using principles of not resisting) and similar to wrestling; developed in Japan
parachutist,n. a person who jumps from aircraft using a parachute
martial arts,none
wushu,none
parachute jumping,none
parachuting,"n descent with a parachute
v jump from an airplane and descend with a parachute"
track & field events,none
field events,none
track events,none
sports meet,none
high jump,none
broad jump,none
long jump,none
obstacle race,none
walking race,none
starting line,none
finishing tape,none
horizontal bar,none
parallel bars,none
uneven bars,none
balance beam,none
vaulting horse,none
pommelled horse,none
box horse,none
free exercise,none
floor exercise,none
fitness exercise,none
bodybuilding exercise,none
hoop exercise,none
dumb-bell exercise,none
free-hand exercise,none
compulsory exercise,none
optional exercise,none
mat exercise,none
push-up,n. an arm exercise performed lying face to the floor and pushing the body up and down with the arms
full score,none
bonus point,none
fencing master,none
fencing instructor,none
Thai boxing,none
road cycling,none
track cycling,none
free-style wrestling,none
traditional wrestling,none
weight-lifting,"n. bodybuilding by exercise that involves lifting weights
v. lift weights"
chess competition,none
chess board,n. a checkerboard used to play chess
bowling,"n. a game in which balls are rolled at an object or group of objects with the aim of knocking them over or moving them
n. (cricket) the act of delivering a cricket ball to the batsman
n. the playing of a game of tenpins or duckpins etc"
bowler,"n. a cricketer who delivers the ball to the batsman in cricket
n. a player who rolls balls down an alley at pins"
bowl,"n. a round vessel that is open at the top; used chiefly for holding food or liquids; 
n. a concave shape with an open top
n. a dish that is round and open at the top for serving foods
n. the quantity contained in a bowl"
bowling alley,none
tenpin bowling,none
ninepins,"n a bowling game that is played by rolling a bowling ball down a bowling alley at a target of nine wooden pins
n a bowling pin of the type used in playing ninepins or (in England) skittles"
billiard room,none
poolroom,n. a room with pool tables where pool is played
billiard table,none
billiard cloth,none
billiard player,none
cardroom,none
card,"n. one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes
n. a card certifying the identity of the bearer
n. a rectangular piece of stiff paper used to send messages (may have printed greetings or pictures)
n. thin cardboard, usually rectangular"
cardplayer,none
spade,"n. a playing card in the major suit that has one or more black figures on it
n. a sturdy hand shovel that can be pushed into the earth with the foot
v. dig (up) with a spade"
heart,"n. the locus of feelings and intuitions
n. the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body
n. the courage to carry on
n. an inclination or tendency of a certain kind"
diamond,"n. a transparent piece of diamond that has been cut and polished and is valued as a precious gem
n. very hard native crystalline carbon valued as a gem
n. a playing card in the minor suit that has one or more red rhombuses on it"
club,"n. a formal association of people with similar interests
n. stout stick that is larger at one end
n. a playing card in the minor suit that has one or more black trefoils on it
v. unite with a common purpose"
trump,"n. a playing card in the suit that has been declared trumps
n. (card games) the suit that has been declared to rank above all other suits for the duration of the hand
v. produce a sound as if from a trumpet
v. play a trump"
winner,"n. the contestant who wins the contest
n. a gambler who wins a bet"
shuffle,"n. the act of mixing cards haphazardly
v. walk by dragging one's feet
v. move about, move back and forth
v. mix so as to make a random order or arrangement"
shuffler,"n. the card player who shuffles the cards
n. someone who walks without raising the feet"
deal,"n. a particular instance of buying or selling
n. a plank of softwood (fir or pine board)
n. the type of treatment received (especially as the result of an agreement)
n. the act of distributing playing cards"
dealer,"n. a firm engaged in trading
n. a seller of illicit goods
n. the person who distributes the playing cards in a card game"
dealing box,none
bridge,"n. a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
n. a circuit consisting of two branches (4 arms arranged in a diamond configuration) across which a meter is connected
n. something resembling a bridge in form or function
n. the hard ridge that forms the upper part of the nose"
bidding,n. a request to be present
play bridge,none
a pack of cards,none
card-game,none
chessroom,none
chess,"n. weedy annual native to Europe but widely distributed as a weed especially in wheat
n. a board game for two players who move their 16 pieces according to specific rules; the object is to checkmate the opponent's king"
the game of chess,none
chessman,n. any of 16 white and 16 black pieces used in playing the game of chess
king,"n. a male sovereign; ruler of a kingdom
n. a competitor who holds a preeminent position
n. preeminence in a particular category or group or field
n. United States woman tennis player (born in 1943)"
queen,"n. the only fertile female in a colony of social insects such as bees and ants and termites; its function is to lay eggs
n. a female sovereign ruler
n. the wife or widow of a king
n. something personified as a woman who is considered the best or most important of her kind"
bishop,"n. a senior member of the Christian clergy having spiritual and administrative authority; appointed in Christian churches to oversee priests or ministers; considered in some churches to be successors of the twelve Apostles of Christ
n. port wine mulled with oranges and cloves
n. (chess) a piece that can be moved diagonally over unoccupied squares of the same color"
rook,n. common gregarious Old World bird about the size and color of the American crow
castle,"n. a large building formerly occupied by a ruler and fortified against attack
n. (chess) the piece that can move any number of unoccupied squares in a direction parallel to the sides of the chessboard
n. interchanging the positions of the king and a rook
v. move the king two squares toward a rook and in the same move the rook to the square next past the king"
pawn,"n. an article deposited as security
n. (chess) the least powerful piece; moves only forward and captures only to the side; it can be promoted to a more powerful piece if it reaches the 8th rank
n. borrowing and leaving an article as security for repayment of the loan
v. leave as a guarantee in return for money"
chess player,none
chess fan,none
white piece,none
black piece,none
Chinese Chess,none
halma,n. a board game in which players try to move their pieces into their opponent's bases
the game of halma,none
draughts,"n a checkerboard game for two players who each have 12 pieces; the object is to jump over and so capture the opponent's pieces
n a serving of drink (usually alcoholic) drawn from a keg
n a large and hurried swallow
n a current of air (usually coming into a chimney or room or vehicle)
n the depth of a vessel's keel below the surface (especially when loaded)
n a dose of liquid medicine
n the act of moving a load by drawing or pulling
v make a blueprint of"
the game of draughts,none
chequers,"n one of the flat round pieces used in playing the game of checkers
v mark into squares or draw squares on; draw crossed lines on
v variegate with different colors, shades, or patterns"
checkers,n. a checkerboard game for two players who each have 12 pieces; the object is to jump over and so capture the opponent's pieces
dominoes,pl.  of Domino
mahjong,n Chinese game played by 4 people with 144 tiles
Chinese checkers,none
play dice,none
play mahjong,none
baggage,"n. cases used to carry belongings when traveling
n. a worthless or immoral woman
n. the portable equipment and supplies of an army"
luggage,n cases used to carry belongings when traveling
baggageroom,none
checkroom,n. a room where baggage or parcels are checked
timetable,"n. a schedule listing events and the times at which they will take place
n. a schedule of times of arrivals and departures"
token,"n. an individual instance of a type of symbol
n. something serving as a sign of something else
n. a metal or plastic disk that can be redeemed or used in designated slot machines"
gateman,n. A gate keeper; a gate tender.
stationmaster,n. the person in charge of a railway station
porter,"n. a person employed to carry luggage and supplies
n. United States writer of novels and short stories (1890-1980)
n. United States composer and lyricist of musical comedies (1891-1946)
n. United States writer of short stories whose pen name was O. Henry (1862-1910)"
captain,"n. an officer holding a rank below a major but above a lieutenant
n. the naval officer in command of a military ship
n. a policeman in charge of a precinct
n. the leader of a group of people"
late,"a. being or occurring at an advanced period of time or after a usual or expected time
s. of the immediate past or just previous to the present time
s. having died recently
a. of a later stage in the development of a language or literature; used especially of dead languages"
behind schedule,none
destination,n. the ultimate goal for which something is done
terminal,"n. station where transport vehicles load or unload passengers or goods
n. a contact on an electrical device (such as a battery) at which electric current enters or leaves
n. electronic equipment consisting of a device providing access to a computer; has a keyboard and display
a. of or relating to or situated at the ends of a delivery route"
trainsick,none
junction,"n. the place where two or more things come together
n. the state of being joined together
n. something that joins or connects
n. an act of joining or adjoining things"
subway,"n an electric railway operating below the surface of the ground (usually in a city)
n an underground tunnel or passage enabling pedestrians to cross a road or railway"
underground railway,none
tube,"n. conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases
n. electronic device consisting of a system of electrodes arranged in an evacuated glass or metal envelope
n. (anatomy) any hollow cylindrical body structure
v. provide with a tube or insert a tube into"
railroad car,none
carriage,"n. a vehicle with wheels drawn by one or more horses
n. characteristic way of bearing one's body
n. a machine part that carries something else"
compartment,"n. a space into which an area is subdivided
n. a partitioned section, chamber, or separate room within a larger enclosed area"
coach,"n. (sports) someone in charge of training an athlete or a team
n. a person who gives private instruction (as in singing, acting, etc.)
n. a carriage pulled by four horses with one driver
v. teach and supervise (someone); act as a trainer or coach (to), as in sports"
corridor,n. an enclosed passageway; rooms usually open onto it
sleeping car,none
sleeper,"n. a rester who is sleeping
n. a spy or saboteur or terrorist planted in an enemy country who lives there as a law-abiding citizen until activated by a prearranged signal
n. an unexpected achiever of success
n. pajamas with feet; worn by children"
bunk,"n. a long trough for feeding cattle
n. a rough bed (as at a campsite)
n. unacceptable behavior (especially ludicrously false statements)
v. provide with a bunk"
carriage,"n. a vehicle with wheels drawn by one or more horses
n. characteristic way of bearing one's body
n. a machine part that carries something else"
coach,"n. (sports) someone in charge of training an athlete or a team
n. a person who gives private instruction (as in singing, acting, etc.)
n. a carriage pulled by four horses with one driver
v. teach and supervise (someone); act as a trainer or coach (to), as in sports"
tramcar,n. a four-wheeled wagon that runs on tracks in a mine
bumper,"n. a glass filled to the brim (especially as a toast)
n. a mechanical device consisting of bars at either end of a vehicle to absorb shock and prevent serious damage"
headlight,n. a powerful light with reflector; attached to the front of an automobile or locomotive
spotlight,"n. a lamp that produces a strong beam of light to illuminate a restricted area; used to focus attention of a stage performer
v. illuminate with a spotlight, as in the theater"
radiator,"n. any object that radiates energy
n. heater consisting of a series of pipes for circulating steam or hot water to heat rooms or buildings
n. a mechanism consisting of a metal honeycomb through which hot fluids circulate; heat is transferred from the fluid through the honeycomb to the airstream that is created either by the motion of the vehicle or by a fan"
dock,"n. an enclosure in a court of law where the defendant sits during the trial
n. any of certain coarse weedy plants with long taproots, sometimes used as table greens or in folk medicine
n. a platform where trucks or trains can be loaded or unloaded
n. landing in a harbor next to a pier where ships are loaded and unloaded or repaired; may have gates to let water in or out"
canoe,"n. small and light boat; pointed at both ends; propelled with a paddle
v. travel by canoe"
raft,"n. a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers
v. transport on a raft
v. travel by raft in water
v. make into a raft"
rowboat,n a small boat of shallow draft with cross thwarts for seats and rowlocks for oars with which it is propelled
sampan,n. an Asian skiff usually propelled by two oars
air-cushion vehicle,none
motorboat,"n. a boat propelled by an internal-combustion engine
v. ride in a motorboat"
yacht,"n. an expensive vessel propelled by sail or power and used for cruising or racing
v. travel in a yacht"
liner,"n. (baseball) a hit that flies straight out from the batter
n. a piece of cloth that is used as the inside surface of a garment
n. a large commercial ship (especially one that carries passengers on a regular schedule)"
crew,"n. the men and women who man a vehicle (ship, aircraft, etc.)
n. the team of men manning a racing shell
v. serve as a crew member on"
captain,"n. an officer holding a rank below a major but above a lieutenant
n. the naval officer in command of a military ship
n. a policeman in charge of a precinct
n. the leader of a group of people"
mate,"n. the officer below the master on a commercial ship
n. the partner of an animal (especially a sexual partner)
n. one of a pair
n. South American holly; leaves used in making a drink like tea"
quartermaster,n. an army officer who provides clothing and subsistence for troops
airport,n. an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo
helicopter,n. an aircraft without wings that obtains its lift from the rotation of overhead blades
runway,"n. a chute down which logs can slide
n. a narrow platform extending from the stage into the audience in a theater or nightclub etc.
n. a strip of level paved surface where planes can take off and land"
elevator,"n. lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building
n. the airfoil on the tailplane of an aircraft that makes it ascend or descend"
apron,"n. a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
n. (golf) the part of the fairway leading onto the green
n. a paved surface where aircraft stand while not being used"
airlines,"n a hose that carries air under pressure
n a commercial enterprise that provides scheduled flights for passengers"
crewman,"n. a member of a flight crew
n. a member of a work crew"
pilot,"n. someone who is licensed to operate an aircraft in flight
n. a person qualified to guide ships through difficult waters going into or out of a harbor"
captain,"n. an officer holding a rank below a major but above a lieutenant
n. the naval officer in command of a military ship
n. a policeman in charge of a precinct
n. the leader of a group of people"
co-pilot,n. a relief pilot on an airplane
seatmate,none
land,"n. the land on which real estate is located
n. material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)
n. the solid part of the earth's surface
n. United States inventor who incorporated Polaroid film into lenses and invented the one step photographic process (1909-1991)"
airsick,s. experiencing motion sickness
waiting room,none
railway platform,none
arrival platform,none
departure platform,none
travelling staircase,none
personal luggage,none
excess luggage,none
checked baggage,none
luggage tag,none
luggage compartment,none
baggage check,none
lost and found office,none
refreshment room,none
train indicator,none
one-way ticket,none
single ticket,none
round-trip ticket,none
return ticket,none
express ticket,none
berth ticket,none
commuter's ticket,none
season ticket,none
platform ticket,none
ticket gate,none
examine tickets,none
ticket inspector,none
station staff,none
pull into the station,none
pull out of the station,none
time of arrival,none
time of departure,none
on schedule,none
book a hard seat,none
book a berth,none
miss a train,none
ride the rails,none
metro-liner,none
international train,none
limited express train,none
through train,none
commuter train,none
bullet train,none
special train,none
observation car,none
hard seat,none
aisle seat,none
window seat,none
upper berth,none
lower berth,none
sleeping berth,none
hard sleeper,none
dining-car,none
buffet car,none
public transport company,none
public transport,none
bus line,none
double-decker bus,none
single-decker,none
trolley bus,n. a passenger bus with an electric motor that draws power from overhead wires
cross-town bus,none
long-distance bus,none
rush hour bus,none
night bus,none
first bus,none
last bus,none
one-man bus,none
sightseeing bus,none
deadhead cab,none
miss the bus,none
bus token,none
jump the bus,none
peak traffic,none
rush hour,none
commutation,"n. the travel of a commuter
n. a warrant substituting a lesser punishment for a greater one
n. (law) the reduction in severity of a punishment imposed by law"
traffic jam,none
traffic accident,none
start the engine,none
shift gears,none
step on the accelerator,none
step on the brake,none
speed up,n the act of accelerating; increasing the speed
slow down,n. the act of slowing down or falling behind
hit the brakes,none
turn left,none
turn right,none
make a U-turn,none
have a flat tire,none
change the tire,none
park the car,none
break down,"n. a mental or physical breakdown
n. a cessation of normal operation
n. an analysis into mutually exclusive categories"
back seat,"n. a secondary or inferior position or status
n. a seat at the back of a vehicle (especially the seat at the back of an automobile)"
license plate,none
spare tire,none
driver's seat,none
passenger seat,none
cabin cruiser,none
passenger ship,none
ocean liner,none
container ship,n a cargo ship designed to hold containerized cargoes
passenger cabin,none
first mate,none
second mate,none
third mate,none
hot air balloon,none
supersonic transport aircraft,none
first class seating,none
tourist class seating,none
economy class seating,none
seat belt,n a safety belt used in a car or plane to hold you in your seat in case of an accident
life vest,none
oxygen mask,none
survival parachute,none
air terminal,none
running light,none
control tower,none
free luggage allowance,none
flight number,none
flight engineer,none
air hostess,none
take off,"n. a departure; especially of airplanes
n. the initial ascent of an airplane as it becomes airborne"
forced landing,none
air-crash,none
air piracy,none
hijack an airplane,none
check-in procedure,none
flight regularity,none
flight irregularity,none
departure airport,none
arrival airport,none
security check,none
experience,"n. the accumulation of knowledge or skill that results from direct participation in events or activities
n. the content of direct observation or participation in an event
n. an event as apprehended
v. go or live through"
team selection,none
objective,"n. the lens or system of lenses in a telescope or microscope that is nearest the object being viewed
a. undistorted by emotion or personal bias; based on observable phenomena
a. serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes
s. emphasizing or expressing things as perceived without distortion of personal feelings, insertion of fictional matter, or interpretation"
personality,"n. the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual
n. a person of considerable prominence"
optimism,"n. the optimistic feeling that all is going to turn out well
n. a general disposition to expect the best in all things"
confidence,"n. a feeling of trust (in someone or something)
n. a state of confident hopefulness that events will be favorable
n. a trustful relationship
n. a secret that is confided or entrusted to another"
enthusiasm,"n. a feeling of excitement
n. a lively interest"
aggressiveness,"n. the quality of being bold and enterprising
n. a natural disposition to be hostile"
energy,"n. (physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
n. forceful exertion
n. enterprising or ambitious drive
n. an imaginative lively style (especially style of writing)"
ideal,"n. the idea of something that is perfect; something that one hopes to attain
n. model of excellence or perfection of a kind; one having no equal
s. conforming to an ultimate standard of perfection or excellence; embodying an ideal
s. constituting or existing only in the form of an idea or mental image or conception"
positive attitude,none
personal relationship,none
star,"n. (astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior
n. any celestial body visible (as a point of light) from the Earth at night
n. an actor who plays a principal role
n. a plane figure with 5 or more points; often used as an emblem"
guest appearance,none
rise to stardom,none
film on location,none
scenario,"n. an outline or synopsis of a play (or, by extension, of a literary work)
n. a setting for a work of art or literature
n. a postulated sequence of possible events"
edit,"v. prepare for publication or presentation by correcting, revising, or adapting
v. supervise the publication of
v. cut and assemble the components of
v. cut or eliminate"
caption,"n. taking exception; especially a quibble based on a captious argument
n. brief description accompanying an illustration
v. provide with a caption, as of a photograph or a drawing"
subtitle,"n. translation of foreign dialogue of a movie or TV program; usually displayed at the bottom of the screen
n. secondary or explanatory title
v. supply (a movie) with subtitles"
narration,"n. the act of giving an account describing incidents or a course of events
n. (rhetoric) the second section of an oration in which the facts are set forth"
narrator,n. someone who tells a story
dialogue,"n. a conversation between two persons
n. the lines spoken by characters in drama or fiction
n. a literary composition in the form of a conversation between two people"
superstar,n someone who is dazzlingly skilled in any field
fade out,"n. a slow or gradual disappearance
n. a gradual temporary loss of a transmitted signal due to electrical disturbances"
fade in,none
trick drawing,none
movie king,none
movie queen,none
title role,none
leading role,none
hero,"n. a man distinguished by exceptional courage and nobility and strength
n. the principal character in a play or movie or novel or poem
n. Greek mathematician and inventor who devised a way to determine the area of a triangle and who described various mechanical devices (first century)
n. (classical mythology) a being of great strength and courage celebrated for bold exploits; often the offspring of a mortal and a god"
leading man,none
heroine,"n. the main good female character in a work of fiction
n. a woman possessing heroic qualities or a woman who has performed heroic deeds"
leading lady,none
film extra,none
stand-in,n. someone who takes the place of another (as when things get dangerous or difficult)
stunt man,none
theatre,"n a building where theatrical performances or motion-picture shows can be presented
n the art of writing and producing plays
n a region in which active military operations are in progress"
drama,"n. an episode that is turbulent or highly emotional
n. the literary genre of works intended for the theater
n. the quality of being arresting or highly emotional"
comedy,n. light and humorous drama with a happy ending
tragedy,n. drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity
melodrama,n. an extravagant comedy in which action is more salient than characterization
pantomime,"n a performance using gestures and body movements without words
v act out without words but with gestures and bodily movements only"
first night,none
premiere,n. the first public performance of a play or movie
prologue,n. an introduction to a play
entrance,"n. something that provides access (to get in or get out)
n. a movement into or inward
n. the act of entering
v. put into a trance"
exit,"n. an opening that permits escape or release
n. the act of going out
v. move out of or depart from
v. lose the lead"
intermission,n. the act of suspending activity temporarily
performance,"n. a dramatic or musical entertainment
n. the act of presenting a play or a piece of music or other entertainment
n. the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
n. any recognized accomplishment"
rehearsal,"n. a practice session in preparation for a public performance (as of a play or speech or concert)
n. (psychology) a form of practice; repetition of information (silently or aloud) in order to keep it in short-term memory"
aperture,"n. a device that controls amount of light admitted
n. a natural opening in something
n. an man-made opening; usually small"
cinecamera,none
eyepiece,n. combination of lenses at the viewing end of optical instruments
filter,"n. device that removes something from whatever passes through it
n. an electrical device that alters the frequency spectrum of signals passing through it
v. remove by passing through a filter"
shutter,"n. a mechanical device on a camera that opens and closes to control the time of a photographic exposure
n. a hinged blind for a window
v. close with shutters"
viewfinder,n optical device that helps a user to find the target of interest
sunshade,"n a canopy made of canvas to shelter people or things from rain or sun
n a handheld collapsible source of shade"
tripod,n. a three-legged rack used for support
flashlight,n. a small portable battery-powered electric lamp
spool,"v. transfer data intended for a peripheral device (usually a printer) into temporary storage
v. wind onto a spool or a reel"
film,"n. a medium that disseminates moving pictures
n. photographic material consisting of a base of celluloid covered with a photographic emulsion; used to make negatives or transparencies
n. a thin coating or layer
n. a thin sheet of (usually plastic and usually transparent) material used to wrap or cover things"
plate,"n. a sheet of metal or wood or glass or plastic
n. a full-page illustration (usually on slick paper)
n. dish on which food is served or from which food is eaten
n. the quantity contained in a plate"
amphitheatre,"n a sloping gallery with seats for spectators (as in an operating room or theater)
n an oval large stadium with tiers of seats; an arena in which contests and spectacles are held"
stage,"n. a large platform on which people can stand and can be seen by an audience
n. the theater as a profession (usually `the stage')
n. a section or portion of a journey or course
n. any scene regarded as a setting for exhibiting or doing something"
wings,"n. a means of flight or ascent
n. stylized bird wings worn as an insignia by qualified pilots or air crew members"
property,"n. something owned; any tangible or intangible possession that is owned by someone; 
n. a basic or essential attribute shared by all members of a class
n. a construct whereby objects or individuals can be distinguished
n. any movable articles or objects used on the set of a play or movie"
footlight,"n. One of a row of lights in the front of the stage in a
   theater, etc., and on a level therewith."
poster,n. a sign posted in a public place as an advertisement
program,"n. a system of projects or services intended to meet a public need
n. an announcement of the events that will occur as part of a theatrical or sporting event
n. (computer science) a sequence of instructions that a computer can interpret and execute
n. a performance (or series of performances) at a public presentation"
repertoire,"n. a collection of works (plays, songs, operas, ballets) that an artist or company can perform and do perform for short intervals on a regular schedule"
cloakroom,"n. a private lounge off of a legislative chamber
n. a room where coats and other articles can be left temporarily"
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
box,"n. a (usually rectangular) container; may have a lid
n. private area in a theater or grandstand where a small group can watch the performance
n. the quantity contained in a box
n. a rectangular drawing"
usher,"n. an official stationed at the entrance of a courtroom or legislative chamber
n. someone employed to conduct others
v. take (someone) to their seats, as in theaters or auditoriums"
applause,n. a demonstration of approval by clapping the hands together
cheer,"n. a cry or shout of approval
v. give encouragement to
v. show approval or good wishes by shouting
v. cause (somebody) to feel happier or more cheerful"
encore,"n. an extra or repeated performance; usually given in response to audience demand
v. request an encore, from a performer"
