finale,"n. the closing section of a musical composition
n. the concluding part of any performance"
tacit,s implied by or inferred from actions or statements
outgrow,"v. grow too large or too mature for
v. grow faster than"
Buddhist,"n. one who follows the teachings of Buddha
a. of or relating to or supporting Buddhism"
agreeable,"a. conforming to your own liking or feelings or nature
s. prepared to agree or consent"
brownie,"n. a junior Girl Scout
n. square or bar of very rich chocolate cake usually with nuts"
controlling,s. able to control or determine policy
brunch,"n. combination breakfast and lunch; usually served in late morning
v. eat a meal in the late morning"
stave,"n. one of several thin slats of wood forming the sides of a barrel or bucket
v. furnish with staves
v. burst or force (a hole) into something"
allegory,n. an expressive style that uses fictional characters and events to describe some subject by suggestive resemblances; an extended metaphor
proverbial,"a. of or relating to or resembling or expressed in a proverb
s. widely known and spoken of"
inverted,s. being in such a position that top and bottom are reversed
brunt,n. main force of a blow etc
interchange,"n. a junction of highways on different levels that permits traffic to move from one to another without crossing traffic streams
n. mutual interaction; the activity of reciprocating or exchanging (especially information)
v. reverse (a direction, attitude, or course of action)"
unlucky,a. having or bringing misfortune
rusted,a. having accumulated rust
madly,"r. in an uncontrolled manner
r. (used as intensives) extremely"
abolition,n. the act of abolishing a system or practice or institution (especially abolishing slavery)
affliction,"n. a state of great suffering and distress due to adversity
n. a condition of suffering or distress due to ill health
n. a cause of great suffering and distress"
brat,"n a very troublesome child
n a small pork sausage"
artistry,n a superior skill that you can learn by study and practice and observation
propriety,n. correct or appropriate behavior
cooker,n. a utensil for cooking
freckle,"n. a small brownish spot (of the pigment melanin) on the skin
v. become freckled
v. mark with freckles"
alcove,n. a small recess opening off a larger room
shovel,"n. a hand tool for lifting loose material; consists of a curved container or scoop and a handle
n. the quantity a shovel can hold
n. a fire iron consisting of a small shovel used to scoop coals or ashes in a fireplace
v. dig with or as if with a shovel"
take-out,"n. prepared food that is intended to be eaten off of the premises
n. (bridge) a bid that asks your partner to bid another suit
s. of or involving food to be taken and eaten off the premises"
cushion,"n. the layer of air that supports a hovercraft or similar vehicle
n. a soft bag filled with air or a mass of padding such as feathers or foam rubber etc.
v. protect from impact"
condense,"v. undergo condensation; change from a gaseous to a liquid state and fall in drops
v. remove water from
v. cause a gas or vapor to change into a liquid
v. become more compact or concentrated"
unsolved,a. not solved
penetrating,"v pass into or through, often by overcoming resistance
v come to understand
v become clear or enter one's consciousness or emotions
v enter a group or organization in order to spy on the members
v make one's way deeper into or through
v insert the penis into the vagina or anus of
v spread or diffuse through
s having or demonstrating ability to recognize or draw fine distinctions
s tending to penetrate; having the power of entering or piercing"
wriggle,"n the act of wiggling
v to move in a twisting or contorted motion, (especially when struggling)"
parting,"n the act of departing politely
n a line of scalp that can be seen when sections of hair are combed in opposite directions
v go one's own way; move apart
v discontinue an association or relation; go different ways
v leave
v come apart
v force, take, or pull apart"
nag,"v. bother persistently with trivial complaints
v. worry persistently
v. remind or urge constantly"
restoring,"v return to its original or usable and functioning condition
v return to life; get or give new life or energy
v give or bring back
v restore by replacing a part or putting together what is torn or broken
v bring back into original existence, use, function, or position"
snowmobile,"n. tracked vehicle for travel on snow having skis in front
v. ride a snowmobile"
nervousness,"n. an uneasy psychological state
n. a sensitive or highly strung temperament"
impenetrable,"a. not admitting of penetration or passage into or through
s. impossible to understand"
blocker,"n. a football player whose responsibility is to block players attempting to stop an offensive play
n. a class of drugs that inhibit (block) some biological process"
spoke,n. support consisting of a radial member of a wheel joining the hub to the rim
amber,"n. a deep yellow color
n. a hard yellowish to brownish translucent fossil resin; used for jewelry
s. of a medium to dark brownish yellow color"
outsource,v. obtain goods or services from an outside supplier; to contract work out
spooky,s unpredictably excitable (especially of horses)
giver,n. someone who devotes himself completely
critter,n. a regional term for `creature' (especially for domestic animals)
jar,"n. a vessel (usually cylindrical) with a wide mouth and without handles
n. the quantity contained in a jar
v. shock physically
v. affect in a disagreeable way"
one-day,none
avant-garde,"n. any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)
s. radically new or original"
symmetrical,"a. having similarity in size, shape, and relative position of corresponding parts"
violinist,n. a musician who plays the violin
elaboration,n. developing in intricate and painstaking detail
divulge,v make known to the public information that was previously known only to a few people or that was meant to be kept a secret
Portuguese,"n. the Romance language spoken in Portugal and Brazil
n. a native or inhabitant of Portugal
a. of or relating to or characteristic of Portugal or the people of Portugal or their language"
oops,none
convincingly,r. in a convincing manner
reciprocity,n. mutual exchange of commercial or other privileges
knockout,n. a blow that renders the opponent unconscious
retrace,"v to go back over again
v reassemble mentally"
payback,n. financial return or reward (especially returns equal to the initial investment)
transcendence,"n. a state of being or existence above and beyond the limits of material experience
n. the state of excelling or surpassing or going beyond usual limits"
informally,r. without formality
implore,v call upon in supplication; entreat
torment,"v. torment emotionally or mentally
v. treat cruelly"
slang,"n. informal language consisting of words and expressions that are not considered appropriate for formal occasions; often vituperative or vulgar
n. a characteristic language of a particular group (as among thieves)
v. use slang or vulgar language
v. abuse with coarse language"
material,"n. the tangible substance that goes into the makeup of a physical object
n. information (data or ideas or observations) that can be used or reworked into a finished form
n. things needed for doing or making something
n. a person judged suitable for admission or employment"
laud,"v. praise, glorify, or honor"
noun,"n. a content word that can be used to refer to a person, place, thing, quality, or action
n. the word class that can serve as the subject or object of a verb, the object of a preposition, or in apposition"
latex,n. a milky exudate from certain plants that coagulates on exposure to air
austere,"s. severely simple
s. of a stern or strict bearing or demeanor; forbidding in aspect"
dab,"n. a small quantity of something moist or liquid
v. apply (usually a liquid) to a surface
v. hit lightly"
vis-a-vis,r. face-to-face with; literally `face to face'
pluralistic,a. of or relating to the philosophical doctrine of pluralism
self-reported,none
skillfully,r. with skill
strait,"n. a narrow channel of the sea joining two larger bodies of water
s. narrow"
brotherhood,"n. the kinship relation between a male offspring and the siblings
n. people engaged in a particular occupation
n. the feeling that men should treat one another like brothers"
reminisce,v. recall the past
opposite,"s. being directly across from each other; facing
a. of leaves etc; growing in pairs on either side of a stem
s. moving or facing away from each other
s. the other one of a complementary pair"
neurologist,n. a medical specialist in the nervous system and the disorders affecting it
penal,"a. of or relating to punishment
s. serving as or designed to impose punishment
s. subject to punishment by law"
toothpick,n. pick consisting of a small strip of wood or plastic; used to pick food from between the teeth
distaste,n a feeling of intense dislike
redistribution,n. distributing again
inpatient,n. a patient who is residing in the hospital where he is being treated
whisker,n. a long stiff hair growing from the snout or brow of most mammals as e.g. a cat
sloping,s. having a slanting form or direction
mascara,n. makeup that is used to darken and thicken the eye lashes
rerun,"n. a program that is broadcast again
v. broadcast again, as of a film
v. rerun a performance of a play, for example"
sanctity,n the quality of being holy
jot,"n a brief (and hurriedly handwritten) note
n a slight but appreciable amount
v write briefly or hurriedly; write a short note of"
alternating,a. (of a current) reversing direction
apathy,"n. an absence of emotion or enthusiasm
n. the trait of lacking enthusiasm for or interest in things generally"
typing,n. writing done with a typewriter
misuse,n. improper or excessive use
slack,"n. dust consisting of a mixture of small coal fragments and coal dust and dirt that sifts out when coal is passed over a sieve
n. a stretch of water without current or movement
n. the quality of being loose (not taut)
n. a cord or rope or cable that is hanging loosely"
experiential,"a. relating to or resulting from experience
s. derived from experience or the experience of existence"
limelight,"n. a focus of public attention
n. a lamp consisting of a flame directed at a cylinder of lime with a lens to concentrate the light; formerly used for stage lighting"
confessional,n. a booth where a priest sits to hear confessions
diminished,"s. impaired by diminution
s. (of musical intervals) reduction by a semitone of any perfect or minor musical interval"
cramp,"n. a clamp for holding pieces of wood together while they are glued
n. a strip of metal with ends bent at right angles; used to hold masonry together
v. secure with a cramp
v. affect with or as if with a cramp"
yearbook,n. a book published annually by the graduating class of a high school or college usually containing photographs of faculty and graduating students
bran,"n. broken husks of the seeds of cereal grains that are separated from the flour by sifting
n. food prepared from the husks of cereal grains"
desegregation,n the action of incorporating a racial or religious group into a community
impeach,"v. challenge the honesty or veracity of
v. charge (a public official) with an offense or misdemeanor committed while in office"
exuberance,"n. joyful enthusiasm
n. overflowing with eager enjoyment or approval"
recoup,"v. reimburse or compensate (someone), as for a loss"
Arab-Israeli,none
hush,"n. (poetic) tranquil silence
v. become quiet or still; fall silent
v. cause to be quiet or not talk
v. wash by removing particles"
intractable,a. not tractable; difficult to manage or mold
predate,"v. be earlier in time; go back further
v. establish something as being earlier relative to something else"
enlarged,s. larger than normal
sedentary,s. requiring sitting or little activity
vet,"v. work as a veterinarian
v. examine carefully
v. provide (a person) with medical care
v. provide veterinary care for"
decision-maker,none
flip-flop,"n. a backless sandal held to the foot by a thong between the big toe and the second toe
n. an electronic circuit that can assume either of two stable states
n. a backward somersault"
stored,"v keep or lay aside for future use
v find a place for and put away for storage"
Sudanese,"n. a native or inhabitant of Sudan
a. of or relating to or characteristic of the African Republic of the Sudan or its people"
separatist,n. an advocate of secession or separation from a larger group (such as an established church or a national union)
aristocracy,"n a privileged class holding hereditary titles
n the most powerful members of a society"
pheasant,"n. large long-tailed gallinaceous bird native to the Old World but introduced elsewhere
n. flesh of a pheasant; usually braised"
tweed,n. thick woolen fabric used for clothing; originated in Scotland
melodrama,n. an extravagant comedy in which action is more salient than characterization
hurriedly,r. in a hurried or hasty manner
grizzly,n. powerful brownish-yellow bear of the uplands of western North America
font,n. a specific size and style of type within a type family
gloved,a. having the hands covered with gloves
time-out,n. a brief suspension of play
looking,"n. the act of searching visually
s. appearing to be as specified; usually used as combining forms"
decode,v. convert code into ordinary language
teeming,s. abundantly filled with especially living things
dialectic,"n. any formal system of reasoning that arrives at the truth by the exchange of logical arguments
n. a contradiction of ideas that serves as the determining factor in their interaction
a. of or relating to or employing dialectic"
Andean,a. relating to the Andes and their inhabitants
persevere,"v. be persistent, refuse to stop"
embroider,"v. decorate with needlework
v. add details to"
traditionalist,n. one who adheres to traditional views
reservist,n. a member of a military reserve
screwdriver,"n. a hand tool for driving screws; has a tip that fits into the head of a screw
n. a cocktail made with vodka and orange juice"
deck,"n. any of various platforms built into a vessel
n. street name for a packet of illegal drugs
n. a porch that resembles the deck on a ship
v. be beautiful to look at"
buttermilk,n. residue from making butter from sour raw milk; or pasteurized milk curdled by adding a culture
pocket,"n. a small pouch inside a garment for carrying small articles
n. a supply of money
n. (bowling) the space between the headpin and the pins behind it on the right or left
n. a small isolated group of people"
esoteric,a. confined to and understandable by only an enlightened inner circle
wavy,s. (of hair) having waves
never-ending,s uninterrupted in time and indefinitely long continuing
awash,s covered with water
Norman,"n. United States operatic soprano (born in 1945)
n. Australian golfer (born in 1955)
n. an inhabitant of Normandy
a. of or relating to or characteristic of Normandy"
nudity,n the state of being without clothing or covering of any kind
sour,"n. a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar
n. the taste experience when vinegar or lemon juice is taken into the mouth
v. go sour or spoil
v. make sour or more sour"
dignitary,n an important or influential (and often overbearing) person
twenty-nine,"n the cardinal number that is the sum of twenty-eight and one
s being nine more than twenty"
oncoming,s. moving toward one
revisionist,n. a Communist who tries to rewrite Marxism to justify a retreat from the revolutionary position
sanitary,a. free from filth and pathogens
grinding,"n. material resulting from the process of grinding
n. a harsh and strident sound (as of the grinding of gears)
n. the wearing down of rock particles by friction due to water or wind or ice"
disengage,"v. release from something that holds fast, connects, or entangles
v. become free"
appropriateness,"n. appropriate conduct; doing the right thing
n. the quality of being specially suitable"
douse,"v. put out, as of a candle or a light
v. wet thoroughly
v. lower quickly
v. slacken"
unspecified,a. not stated explicitly or in detail
alarmed,s. experiencing a sudden sense of danger
cove,"n. a small inlet
n. small or narrow cave in the side of a cliff or mountain"
nonlinear,a. designating or involving an equation whose terms are not of the first degree
snuggle,"n a close and affectionate (and often prolonged) embrace
v move or arrange oneself in a comfortable and cozy position
v position comfortably"
deviate,"v. turn aside; turn away from
v. be at variance with; be out of line with
v. cause to turn away from a previous or expected course"
snowfall,n precipitation falling from clouds in the form of ice crystals
maize,"n tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
n a strong yellow color"
father,"n. a male parent (also used as a term of address to your father)
n. `Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military
n. a person who holds an important or distinguished position in some organization
n. God when considered as the first person in the Trinity"
idyllic,"s. excellent and delightful in all respects
s. suggestive of an idyll; charmingly simple and serene"
crunchy,none
townhouse,"n. A building devoted to the public used of a town; a
   townhall."
hereditary,"s occurring among members of a family usually by heredity
s inherited or inheritable by established rules (usually legal rules) of descent"
namesake,n. a person with the same name as another
safari,n an overland journey by hunters (especially in Africa)
sickly,"s unhealthy looking
s somewhat ill or prone to illness"
importer,n. someone whose business involves importing goods from outside (especially from a foreign country)
reputable,a. having a good reputation
filament,"n. the stalk of a stamen
n. a threadlike structure (as a chainlike series of cells)
n. a thin wire (usually tungsten) that is heated white hot by the passage of an electric current"
abstain,"v. refrain from voting
v. choose not to consume"
implement,"n. instrumentation (a piece of equipment or tool) used to effect an end
v. apply in a manner consistent with its purpose or design"
tactile,s. producing a sensation of touch
saw,"n. hand tool having a toothed blade for cutting
v. cut with a saw"
immigrate,"v. migrate to a new environment
v. introduce or send as immigrants
v. come into a new country and change residency"
blurry,s indistinct or hazy in outline
tequila,n. Mexican liquor made from fermented juices of an agave plant
acne,n. an inflammatory disease involving the sebaceous glands of the skin; characterized by papules or pustules or comedones
gratifying,s. pleasing to the mind or feeling
unattractive,"a. lacking beauty or charm
s. lacking power to arouse interest
s. not appealing to the senses"
obnoxious,s causing disapproval or protest
sclerosis,n. any pathological hardening or thickening of tissue
cockroach,n. any of numerous chiefly nocturnal insects; some are domestic pests
cortex,n. the tissue forming the outer layer of an organ or structure in plant or animal
bellow,"n. a very loud utterance (like the sound of an animal)
n. United States author (born in Canada) whose novels influenced American literature after World War II (1915-2005)
v. make a loud noise, as of animal"
clamp,"n. a device (generally used by carpenters) that holds things firmly together
v. fasten or fix with a clamp
v. impose or inflict forcefully"
mistrust,"n doubt about someone's honesty
n the trait of not trusting others
v regard as untrustworthy; regard with suspicion; have no faith or confidence in"
keynote,"n. the principal theme in a speech or literary work
n. a fundamental or central idea
v. set the keynote of
v. give the keynote address to (an audience)"
Moroccan,"n. a native or inhabitant of Morocco
a. of or relating to or characteristic of Morocco or its people"
physique,n. constitution of the human body
exclamation,"n. an abrupt excited utterance
n. a loud complaint or protest or reproach"
defection,"n withdrawing support or help despite allegiance or responsibility
n the state of having rejected your religious beliefs or your political party or a cause (often in favor of opposing beliefs or causes)"
lieu,n the post or function properly or customarily occupied or served by another
emergent,"s. occurring unexpectedly and requiring urgent action
s. coming into existence"
transfix,v. pierce with a sharp stake or point
lifeline,"n. support that enables people to survive or to continue doing something (often by providing an essential connection)
n. line that raises or lowers a deep-sea diver
n. line thrown from a vessel that people can cling to in order to save themselves from drowning"
recharge,"v. load anew
v. charge anew"
dull,"v. make dull in appearance
v. become dull or lusterless in appearance; lose shine or brightness
v. make dull or blunt
v. make less lively or vigorous"
mainstream,n. the prevailing current of thought
wanting,"v feel or have a desire for; want strongly
v have need of
v hunt or look for; want for a particular reason
v wish or demand the presence of
v be without, lack; be deficient in
s nonexistent
s inadequate in amount or degree"
broad-based,none
malnutrition,n. a state of poor nutrition; can result from insufficient or excessive or unbalanced diet or from inability to absorb foods
reactionary,"n. an extreme conservative; an opponent of progress or liberalism
s. extremely conservative"
immediacy,"n. lack of an intervening or mediating agency
n. immediate intuitive awareness
n. the quickness of action or occurrence"
signed,a. having a handwritten signature
softness,"n. the property of giving little resistance to pressure and being easily cut or molded
n. a state of declining economic condition
n. a sound property that is free from loudness or stridency"
unsuspecting,"s. not suspicious
s. (often followed by `of') not knowing or expecting; not thinking likely"
mockery,"n showing your contempt by derision
n a composition that imitates or misrepresents somebody's style, usually in a humorous way
n humorous or satirical mimicry"
abused,"s. used improperly or excessively especially drugs
a. subjected to cruel treatment"
scrawl,"n poor handwriting
v write carelessly"
unexplained,"s. not explained
s. having the reason or cause not made clear"
disband,"v. cause to break up or cease to function
v. stop functioning or cohering as a unit"
affix,"n. a linguistic element added to a word to produce an inflected or derived form
v. attach to
v. attach or become attached to a stem word"
retort,"n. a vessel where substances are distilled or decomposed by heat
v. answer back"
painstakingly,r. in a fastidious and painstaking manner
bonanza,n. an especially rich vein of precious ore
typify,"v. embody the essential characteristics of or be a typical example of
v. express indirectly by an image, form, or model; be a symbol"
eloquently,r. with eloquence
diverge,"v. move or draw apart
v. have no limits as a mathematical series
v. extend in a different direction"
remake,"n. creation that is created again or anew
v. make new"
devalue,"v. remove the value from; deprive of its value
v. lower the value or quality of"
townspeople,n the people living in a municipality smaller than a city
dilapidated,"v bring into a condition of decay or partial ruin by neglect or misuse
v fall into decay or ruin
s in deplorable condition"
wearily,r in a weary manner
renal,a of or relating to the kidneys
save,"n. (sports) the act of preventing the opposition from scoring
v. to keep up and reserve for personal or special use
v. bring into safety
v. spend less; buy at a reduced price"
unrelenting,"s not to be placated or appeased or moved by entreaty
s harsh
s never-ceasing"
embroidered,"v decorate with needlework
v add details to"
intangible,"n. assets that are saleable though not material or physical
a. (of especially business assets) not having physical substance or intrinsic productive value
a. incapable of being perceived by the senses especially the sense of touch
s. hard to pin down or identify"
shrapnel,n. shell containing lead pellets that explodes in flight
skating,n. the sport of gliding on skates
hump,"n something that bulges out or is protuberant or projects from its surroundings
v round one's back by bending forward and drawing the shoulders forward
v have sexual intercourse with"
herbicide,n. a chemical agent that destroys plants or inhibits their growth
tattoo,"n. a drumbeat or bugle call that signals the military to return to their quarters
n. a design on the skin made by tattooing
n. the practice of making a design on the skin by pricking and staining
v. stain (skin) with indelible color"
deductible,"n. (taxes) an amount that can be deducted (especially for the purposes of calculating income tax)
n. a clause in an insurance policy that relieves the insurer of responsibility to pay the initial loss up to a stated amount
a. acceptable as a deduction (especially as a tax deduction)"
corrosion,"n. a state of deterioration in metals caused by oxidation or chemical action
n. erosion by chemical action"
out,"n. (baseball) a failure by a batter or runner to reach a base safely in baseball
v. reveal (something) about somebody's identity or lifestyle
v. be made known; be disclosed or revealed
a. not allowed to continue to bat or run"
lap,"n. the upper side of the thighs of a seated person
n. an area of control or responsibility
n. the part of a piece of clothing that covers the thighs
n. a flap that lies over another part"
camouflage,"n. fabric dyed with splotches of green and brown and black and tan; intended to make the wearer of a garment made of this fabric hard to distinguish from the background
n. device or stratagem for concealment or deceit
v. disguise by camouflaging; exploit the natural surroundings to disguise something"
rung,n. a crosspiece between the legs of a chair
perpendicular,"n. a straight line at right angles to another line
n. a Gothic style in 14th and 15th century England; characterized by vertical lines and a four-centered (Tudor) arch and fan vaulting
n. an extremely steep face"
legality,n. lawfulness by virtue of conformity to a legal statute
retract,v. use a surgical instrument to hold open (the edges of a wound or an organ)
frontline,none
web-based,none
prior,n. the head of a religious order; in an abbey the prior is next below the abbot
digestion,"n. the process of decomposing organic matter (as in sewage) by bacteria or by chemical action or heat
n. the organic process by which food is converted into substances that can be absorbed into the body
n. learning and coming to understand ideas and information"
inert,"s. unable to move or resist motion
s. having only a limited ability to react chemically; chemically inactive
s. slow and apathetic"
mischievous,s. deliberately causing harm or damage
toothbrush,n. small brush; has long handle; used to clean teeth
offending,a. offending against or breaking a law or rule
weighty,"a. having relatively great weight; heavy
s. weighing heavily on the spirit; causing anxiety or worry"
mouthpiece,"n. a part that goes over or into the mouth of a person
n. an acoustic device; the part of a telephone into which a person speaks
n. a spokesperson (as a lawyer)
n. (especially boxing) equipment that protects an athlete's mouth"
obligatory,"a. morally or legally constraining or binding
s. required by obligation or compulsion or convention"
mechanically,"r. in a mechanical manner; by a mechanism
r. in a machinelike manner; without feeling"
nip,"n. a small drink of liquor
n. a tart spicy quality
n. a small sharp bite or snip
v. give a small sharp bite to"
Hindu,"n. a native or inhabitant of Hindustan or India
n. a person who adheres to Hinduism
a. of or relating to or supporting Hinduism"
jumble,"n. small flat ring-shaped cake or cookie
v. be all mixed up or jumbled together
v. assemble without order or sense"
fabled,s. celebrated in fable or legend
pothole,n. a pit or hole produced by wear or weathering (especially in a road surface)
hopelessness,n. the despair you feel when you have abandoned hope of comfort or success
purchaser,n a person who buys
erect,a. upright in position or posture
stairs,n. a flight of stairs or a flight of steps
chronicle,v. record in chronological order; make a historical record
elliptical,"s rounded like an egg
s characterized by extreme economy of expression or omission of superfluous elements"
distressing,s. causing distress or worry or anxiety
counterpoint,"n. a musical form involving the simultaneous sound of two or more melodies
v. write in counterpoint"
composting,v convert to compost
responsiveness,"n. responsive to stimulation
n. the quality of being responsive; reacting quickly; as a quality of people, it involves responding with emotion to people and events"
triad,"n the cardinal number that is the sum of one and one and one
n a set of three similar things considered as a unit
n three people considered as a unit
n a three-note major or minor chord; a note and its third and fifth tones"
fiat,n a legally binding command or decision entered on the court record (as if issued by a court or judge)
one-fifth,none
masking,n. the blocking of one sensation resulting from the presence of another sensation
high-energy,"a of or relating to elementary particles having energies of hundreds of thousands of electron volts
s providing a relatively large amount of energy upon undergoing a chemical reaction
s vigorously energetic or forceful"
madman,n an insane person
earner,n. someone who earn wages in return for their labor
glint,n. a spatially localized brightness
navel,"n. a scar where the umbilical cord was attached
n. the center point or middle of something"
cocky,s. overly self-confident or self-assertive
boardwalk,n. a walkway made of wooden boards; usually at seaside
decimate,"v. kill one in every ten, as of mutineers in Roman armies"
well,"n. a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
n. a cavity or vessel used to contain liquid
n. an abundant source
n. an open shaft through the floors of a building (as for a stairway)"
precept,"n rule of personal conduct
n a doctrine that is taught"
rake,"n. a dissolute man in fashionable society
n. a long-handled tool with a row of teeth at its head; used to move leaves or loosen soil
v. move through with or as if with a rake
v. level or smooth with a rake"
unparalleled,s radically distinctive and without equal
farce,"n. a comedy characterized by broad satire and improbable situations
v. fill with a stuffing while cooking"
visualization,n a mental image that is similar to a visual perception
unchecked,s not restrained or controlled
paternity,n. the state of being a father
diligently,r. with diligence; in a diligent manner
unwind,"v. reverse the winding or twisting of
v. separate the tangles of"
menstrual,a. of or relating to menstruation or the menses
percussion,"n. the act of playing a percussion instrument
n. the act of exploding a percussion cap
n. tapping a part of the body for diagnostic purposes"
rupture,"n. state of being torn or burst open
n. a personal or social separation (as between opposing factions)
n. the act of making a sudden noisy break"
regeneration,"n. (biology) growth anew of lost tissue or destroyed parts or organs
n. the activity of spiritual or physical renewal"
expressed,s. communicated in words
inept,s. revealing lack of perceptiveness or judgment or finesse
maverick,"n. someone who exhibits great independence in thought and action
n. an unbranded range animal (especially a stray calf); belongs to the first person who puts a brand on it"
appendix,"n. supplementary material that is collected and appended at the back of a book
n. a vestigial process that extends from the lower end of the cecum and that resembles a small pouch"
Scandinavian,"n. an inhabitant of Scandinavia
n. the northern family of Germanic languages that are spoken in Scandinavia and Iceland
a. of or relating to Scandinavia or its peoples or cultures"
inflame,"v. cause inflammation in
v. arouse or excite feelings and passions
v. become inflamed; get sore"
painless,"s. requiring little hard work or exertion
a. not causing physical or psychological pain"
visor,n. a piece of armor plate (with eye slits) fixed or hinged to a medieval helmet to protect the face
privy,"s. hidden from general view or use
s. (followed by `to') informed about something secret or not generally known"
phrase,"n. an expression consisting of one or more words forming a grammatical constituent of a sentence
n. a short musical passage
n. dance movements that are linked in a single choreographic sequence
v. divide, combine, or mark into phrases"
fume,"v. be mad, angry, or furious
v. emit a cloud of fine particles"
urbanization,"n. the condition of being urbanized
n. the social process whereby cities grow and societies become more urban"
whimper,n. a complaint uttered in a plaintive whining way
purse,"n. a sum of money spoken of as the contents of a money purse
n. a small bag for carrying money
n. a sum of money offered as a prize
v. contract one's lips into a rounded shape"
craze,"n. state of violent mental agitation
n. a fine crack in a glaze or other surface
v. develop a fine network of cracks"
tummy,"n slang for a paunch
n an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion"
cholera,n. an acute intestinal infection caused by ingestion of contaminated water or food
ultimatum,n. a final peremptory demand
bravado,n. a swaggering show of courage
conveyor,"n a person who conveys (carries or transmits)
n a moving belt that transports objects (as in a factory)"
wide-open,"s. open wide
s. lax in enforcing laws"
mainline,v. inject into the vein
zebra,n. any of several fleet black-and-white striped African equines
hammock,n. a hanging bed of canvas or rope netting (usually suspended between two trees); swings easily
grind,"n. the grade of particle fineness to which a substance is ground
n. the act of grinding to a powder or dust
v. dance by rotating the pelvis in an erotically suggestive way, often while in contact with one's partner such that the dancers' legs are interlaced
v. reduce to small pieces or particles by pounding or abrading"
co-opt,"v. choose or elect as a fellow member or colleague
v. neutralize or win over through assimilation into an established group
v. appoint summarily or commandeer"
nap,"n. a soft or fuzzy surface texture
n. sleeping for a short period of time (usually not in bed)
v. take a siesta"
manipulative,s. skillful in influencing or controlling others to your own advantage
predominate,"v. be larger in number, quantity, power, status or importance"
indefinite,"a. vague or not clearly defined or stated
s. not decided or not known"
open-air,s in the open air
impassioned,s characterized by intense emotion
medley,n. a musical composition consisting of a series of songs or other musical pieces from various sources
presuppose,"v. take for granted or as a given; suppose beforehand
v. require as a necessary antecedent or precondition"
oddity,"n. eccentricity that is not easily explained
n. a strange attitude or habit"
coke,"n. carbon fuel produced by distillation of coal
n. street names for cocaine
v. become coke"
three-hour,none
diseased,s. caused by or altered by or manifesting disease or pathology
wrapping,n. the covering (usually paper or cellophane) in which something is wrapped
outlive,v. live longer than
uniformity,"n. a condition in which everything is regular and unvarying
n. the quality of lacking diversity or variation (even to the point of boredom)"
deplore,"v. express strong disapproval of
v. regret strongly"
paying,"v give money, usually in exchange for goods or services
v convey, as of a compliment, regards, attention, etc.; bestow
v cancel or discharge a debt
v bring in
v do or give something to somebody in return
v dedicate
v be worth it
v render
v bear (a cost or penalty), in recompense for some action
v make a compensation for
v discharge or settle
s yielding a fair profit
s for which money is paid"
spent,"v pass time in a specific way
v pay out
v spend completely
a depleted of energy, force, or strength
s drained of energy or effectiveness; extremely tired; completely exhausted"
horseshoe,"n. game equipment consisting of an open ring of iron used in playing horseshoes
n. U-shaped plate nailed to underside of horse's hoof
v. equip (a horse) with a horseshoe or horseshoes"
orthopedic,a. of or relating to orthopedics
shaded,"a. protected from heat and light with shade or shadow
a. (of pictures or drawings) drawn or painted with degrees or gradations of shadow"
witchcraft,n. the art of sorcery
pager,n an electronic device that generates a series of beeps when the person carrying it is being paged
auxiliary,s. functioning in a supporting capacity
hypocritical,s. professing feelings or virtues one does not have
scaffolding,n. a system of scaffolds
incursion,"n. the act of entering some territory or domain (often in large numbers)
n. the mistake of incurring liability or blame"
thirteenth,"n. position 13 in a countable series of things
s. coming next after the twelfth in position"
amble,"n. a leisurely walk (usually in some public place)
v. walk leisurely"
overtone,"n. (usually plural) an ulterior implicit meaning or quality
n. a harmonic with a frequency that is a multiple of the fundamental frequency"
resurface,"v. reappear on the surface
v. cover with a new surface
v. appear again"
one-fourth,none
futuristic,a. of or relating to futurism
wholesaler,n someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers
biting,s. causing a sharply painful or stinging sensation; used especially of cold
CPU,n (computer science) the part of a computer (a microprocessor chip) that does most of the data processing
ruby,"n. a transparent piece of ruby that has been cut and polished and is valued as a precious gem
n. a transparent deep red variety of corundum; used as a gemstone and in lasers"
blanket,"n. bedding that keeps a person warm in bed
n. anything that covers
n. a layer of lead surrounding the highly reactive core of a nuclear reactor
v. cover as if with a blanket"
conditional,"s. qualified by reservations
a. imposing or depending on or containing a condition"
giveaway,"n. a gift of public land or resources for the private gain of a limited group
n. an unintentional disclosure"
resultant,n. the final point in a process
afterthought,n. an addition that was not included in the original plan
upholstery,"n. covering (padding and springs and webbing and fabric) on a piece of furniture
n. the craft of upholstering"
nightfall,n the time of day immediately following sunset
grainy,s composed of or covered with particles resembling meal in texture or consistency
carefree,"s. free of trouble and worry and care
s. cheerfully irresponsible"
rife,"s most frequent or common
s excessively abundant"
guild,n a formal association of people with similar interests
dearth,"n. an acute insufficiency
n. an insufficient quantity or number"
