abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
multinational corporation,none
nominal GDP,none
original price,none
patent-granting,none
per capita,none
physical assets,none
principal,"n. the original amount of a debt on which interest is calculated
n. the educator who has executive authority for a school
n. capital as contrasted with the income derived from it
n. (criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement"
production facility,none
productive value,none
profit margin,none
purchasing power,none
purchasing price,none
ratio,n. the relative magnitudes of two quantities (usually expressed as a quotient)
rational expectations theory,none
real GDP,none
retail price,none
rotating credit associations,none
sale price,none
service industry,none
simple interest,none
supplier relations,none
target market,none
tax incentive,none
the Small Business Administration,none
SBA,n an independent agency of the United States government that protects the interests of small businesses and ensures that they receive a fair share of government contracts
tie to,none
trading post,none
trust land,none
venture capital,none
write off,"n. (accounting) reduction in the book value of an asset
n. the act of cancelling from an account a bad debt or a worthless asset"
alkaline,a. relating to or containing an alkali; having a pH greater than 7
analog recording,none
digital recording,none
argon,n. a colorless and odorless inert gas; one of the six inert gases; comprises approximately 1% of the earth's atmosphere
arsenic,"n. a white powdered poisonous trioxide of arsenic; used in manufacturing glass and as a pesticide (rat poison) and weed killer
n. a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar"
asphalt,"n. mixed asphalt and crushed gravel or sand; used especially for paving but also for roofing
n. a dark bituminous substance found in natural beds and as residue from petroleum distillation; consists mainly of hydrocarbons
v. cover with tar or asphalt"
atom,"n. (physics and chemistry) the smallest component of an element having the chemical properties of the element
n. (nontechnical usage) a tiny piece of anything"
baryonic,none
cannabinoid,none
carton,"n. the quantity contained in a carton
n. a box made of cardboard; opens by flaps on top"
charge,"n. an impetuous rush toward someone or something
n. (criminal law) a pleading describing some wrong or offense
n. the price charged for some article or service
n. the quantity of unbalanced electricity in a body (either positive or negative) and construed as an excess or deficiency of electrons"
chlorofluorocarbon,n. a fluorocarbon with chlorine; formerly used as a refrigerant and as a propellant in aerosol cans
draftsman,"n. a skilled worker who draws plans of buildings or machines
n. an artist skilled at drawing"
dust particle,none
electric charge,none
electromagnetic radiation,none
electron,n. an elementary particle with negative charge
ethylene,n. a flammable colorless gaseous alkene; obtained from petroleum and natural gas and used in manufacturing many other chemicals; sometimes used as an anesthetic
evaporative cooling,none
ferrous metal,none
formaldehyde,n. a colorless poisonous gas; made by the oxidation of methanol
gamma ray,none
helium,n. a very light colorless element that is one of the six inert gasses; the most difficult gas to liquefy; occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas)
high-energy particle,none
hydrocarbon,n. an organic compound containing only carbon and hydrogen
ilmenite,n a weakly magnetic black mineral found in metamorphic and plutonic rocks; an iron titanium oxide in crystalline form; a source of titanium
inertia theory,none
ion,n. a particle that is electrically charged (positive or negative); an atom or molecule or group that has lost or gained one or more electrons
isotope,n. one of two or more atoms with the same atomic number but with different numbers of neutrons
Kelvin,"n. the basic unit of thermodynamic temperature adopted under the Systeme International d'Unites
n. British physicist who invented the Kelvin scale of temperature and pioneered undersea telegraphy (1824-1907)"
methane,n. a colorless odorless gas used as a fuel
molecule,n. (physics and chemistry) the simplest structural unit of an element or compound
morphogenetic,none
morphological,"a relating to or concerned with the formation of admissible words in a language
a pertaining to geological structure
a relating to or concerned with the morphology of plants and animals"
muon,n. an elementary particle with a negative charge and a half-life of 2 microsecond; decays to electron and neutrino and antineutrino
neutrino,n. an elementary particle with zero charge and zero mass
neutron star,none
neutron,n. an elementary particle with 0 charge and mass about equal to a proton; enters into the structure of the atomic nucleus
nucleons,n a constituent (proton or neutron) of an atomic nucleus
particle,"n. a body having finite mass and internal structure but negligible dimensions
n. a function word that can be used in English to form phrasal verbs"
phosphate fertilizer,none
phosphate,"n. a salt of phosphoric acid
n. carbonated drink with fruit syrup and a little phosphoric acid"
phosphodiesterase,none
photon,n. a quantum of electromagnetic radiation; an elementary particle that is its own antiparticle
plutonium,n. a solid silvery grey radioactive transuranic element whose atoms can be split when bombarded with neutrons; found in minute quantities in uranium ores but is usually synthesized in nuclear reactors; 13 isotopes are known with the most important being plutonium 239
potassium,n. a light soft silver-white metallic element of the alkali metal group; oxidizes rapidly in air and reacts violently with water; is abundant in nature in combined forms occurring in sea water and in carnallite and kainite and sylvite
protein synthesis,none
protons,n. a stable particle with positive charge equal to the negative charge of an electron
quantizing error,none
radiometric,none
ramjet,n. a simple type of jet engine; must be launched at high speed
sampling error,none
scramjet,none
sulphate,n a salt or ester of sulphuric acid
The Montreal Protocol,none
white lead,none
accretion disks,none
big bang,none
cataclysmic variable,none
coral reef,none
fault,"n. (geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other
n. (electronics) equipment failure attributable to some defect in a circuit (loose connection or insulation failure or short circuit etc.)
n. responsibility for a bad situation or event
n. (sports) a serve that is illegal (e.g., that lands outside the prescribed area)"
galactic nebula,none
galactic nucleus,none
gas clouds,plural of gas-cloud
Gemini,"n. (astrology) a person who is born while the sun is in Gemini
n. a zodiacal constellation in the northern hemisphere between Taurus and Cancer on the ecliptic
n. the third sign of the zodiac; the sun is in this sign from about May 21 to June 20"
globular cluster,none
halo,n. a circle of light around the sun or moon
high tide,none
low tide,none
meridian,"n. a town in eastern Mississippi
n. an imaginary great circle on the surface of the earth passing through the north and south poles at right angles to the equator
a. of or happening at noon"
meteor shower,none
meteor stream,none
obsidian,"n. acid or granitic glass formed by the rapid cooling of lava without crystallization; usually dark, but transparent in thin pieces"
orbital energy,none
parallax,n. the apparent displacement of an object as seen from two different points that are not on a line with the object
photoperiod,none
planetary gravitational field,none
Pleistocene,n. from two million to 11 thousand years ago; extensive glaciation of the northern hemisphere; the time of human evolution
protogalaxy,none
pulsar,n. a degenerate neutron star; small and extremely dense; rotates very fast and emits regular pulses of polarized radiation
quasar,n. a starlike object that may send out radio waves and other forms of energy; many have large red shifts
radio galaxy,none
rock plates,none
rock salt,none
sierra,"n. a range of mountains (usually with jagged peaks and irregular outline)
n. a Spanish mackerel of western North America"
solar system,none
solar-day,none
spiral galaxies,none
stratosphere,n. the atmospheric layer between the troposphere and the mesosphere
subsurface geology,none
the Milky Way,none
tidal cycle,none
white dwarf star,none
adenosine,n. (biochemistry) a nucleoside that is a structural component of nucleic acids; it is present in all living cells in a combined form as a constituent of DNA and RNA and ADP and ATP and AMP
aerobic,"a. depending on free oxygen or air
a. based on or using the principles of aerobics; enhancing respiratory and circulatory efficiency"
aflatoxin,n. a potent carcinogen from the fungus Aspergillus; can be produced and stored for use as a bioweapon
amino acid,none
anaerobe,n. an organism (especially a bacterium) that does not require air or free oxygen to live
anaerobic,"a. living or active in the absence of free oxygen
a. not aerobic"
anaerobic metabolism,none
biocontrol agents,none
cell elongation,none
cell nucleus,none
cytoplasm,n. the protoplasm of a cell excluding the nucleus; is full of proteins that control cell metabolism
endorphin,n. a neurochemical occurring naturally in the brain and having analgesic properties
eukaryote,n. an organism with cells characteristic of all life forms except primitive microorganisms such as bacteria; i.e. an organism with `good' or membrane-bound nuclei in its cells
eukaryotic,a. having cells with `good' or membrane-bound nuclei
histidine,n an essential amino acid found in proteins that is important for the growth and repair of tissue
intracellular,a. located or occurring within a cell or cells
lactic acid,none
leucine,n. a white crystalline amino acid occurring in proteins that is essential for nutrition; obtained by the hydrolysis of most dietary proteins
lipoprotein,n. a conjugated protein having a lipid component; the principal means for transporting lipids in the blood
macrophage,n. a large phagocyte; some are fixed and other circulate in the blood stream
messenger RNA,none
molecular biology,none
nucleotide,n. a phosphoric ester of a nucleoside; the basic structural unit of nucleic acids (DNA or RNA)
organelle,n. a specialized part of a cell; analogous to an organ
ovarian follicle,none
peptide,n. amide combining the amino group of one amino acid with the carboxyl group of another; usually obtained by partial hydrolysis of protein
pheromone,n. a chemical substance secreted externally by some animals (especially insects) that influences the physiology or behavior of other animals of the same species
plasma cell,none
polymorph,n. an organism that can assume more than one adult form as in the castes of ants or termites
prokaryotic cell,none
protoplasm,n. the substance of a living cell (including cytoplasm and nucleus)
ribosome,n. an organelle in the cytoplasm of a living cell; they attach to mRNA and move down it one codon at a time and then stop until tRNA brings the required amino acid; when it reaches a stop codon it falls apart and releases the completed protein molecule for use by the cell
tryptophan,n. an amino acid that occurs in proteins; is essential for growth and normal metabolism; a precursor of niacin
tyrosine,n. an amino acid found in most proteins; a precursor of several hormones
archaeopteryx,n extinct primitive toothed bird of the Jurassic period having a long feathered tail and hollow bones; usually considered the most primitive of all birds
barnacle,n. marine crustaceans with feathery food-catching appendages; free-swimming as larvae; as adults form a hard shell and live attached to submerged surfaces
bipedal,a. having two feet
boll weevil,none
bollworm,n. any of various moth caterpillars that destroy cotton bolls
bowerbird,n. any of various birds of the Australian region whose males build ornamented structures resembling bowers in order to attract females
broccoli,"n. plant with dense clusters of tight green flower buds
n. branched green undeveloped flower heads"
budworm,none
cheetah,n. long-legged spotted cat of Africa and southwestern Asia having nonretractile claws; the swiftest mammal; can be trained to run down game
citrus,"n. any of numerous fruits of the genus Citrus having thick rind and juicy pulp; grown in warm regions
n. any of numerous tropical usually thorny evergreen trees of the genus Citrus having leathery evergreen leaves and widely cultivated for their juicy edible fruits having leathery aromatic rinds"
cornstalk,n. the stalk of a corn plant
coyote,"n. small wolf native to western North America
n. someone who smuggles illegal immigrants into the United States (usually across the Mexican border)
n. a forest fire fighter who is sent to battle remote and severe forest fires (often for days at a time)"
cranberry,"n. any of numerous shrubs of genus Vaccinium bearing cranberries
n. very tart red berry used for sauce or juice"
diatom,n. microscopic unicellular marine or freshwater colonial alga having cell walls impregnated with silica
ecological niche,none
gecko,n. any of various small chiefly tropical and usually nocturnal insectivorous terrestrial lizards typically with immovable eyelids; completely harmless
guillemot,n. small black or brown speckled auks of northern seas
haddock,"n. lean white flesh of fish similar to but smaller than cod; usually baked or poached or as fillets sauteed or fried
n. important food fish on both sides of the Atlantic; related to cod but usually smaller"
lepidopter,n. One of the Lepidoptera.
lepidoptera,"n moths and butterflies
n insect that in the adult state has four wings more or less covered with tiny scales"
macaque,n. short-tailed monkey of rocky regions of Asia and Africa
mammoth,n. any of numerous extinct elephants widely distributed in the Pleistocene; extremely large with hairy coats and long upcurved tusks
marine invertebrates,none
mastodon,n. extinct elephant-like mammal that flourished worldwide from Miocene through Pleistocene times; differ from mammoths in the form of the molar teeth
milkweed,"n. any of numerous plants of the genus Asclepias having milky juice and pods that split open releasing seeds with downy tufts
n. annual Eurasian sow thistle with soft spiny leaves and rayed yellow flower heads"
monkfish,n. flesh of a large-headed anglerfish of the Atlantic waters of North America
myrmecophagous,s feeding on ants
opossum,n. nocturnal arboreal marsupial having a naked prehensile tail found from southern North America to northern South America
osprey,n. large harmless hawk found worldwide that feeds on fish and builds a bulky nest often occupied for years
periwinkle,"n. chiefly trailing poisonous plants with blue flowers
n. commonly cultivated Old World woody herb having large pinkish to red flowers
n. small edible marine snail; steamed in wine or baked"
phalarope,n. small sandpiper-like shorebird having lobate toes and being good swimmers; breed in the Arctic and winter in the tropics
photosynthesis,n. synthesis of compounds with the aid of radiant energy (especially in plants)
plant succession,none
pollen grain,none
pollen profile,none
pterosaur,n. an extinct reptile of the Jurassic and Cretaceous having a bird-like beak and membranous wings supported by the very long fourth digit of each forelimb
reindeer,n Arctic deer with large antlers in both sexes; called `reindeer' in Eurasia and `caribou' in North America
sandpiper,n. any of numerous usually small wading birds having a slender bill and piping call; closely related to the plovers
succession,"n. a group of people or things arranged or following in order
n. the action of following in order
n. (ecology) the gradual and orderly process of change in an ecosystem brought about by the progressive replacement of one community by another until a stable climax is established
n. acquisition of property by descent or by will"
tyrannosaurus,n large carnivorous bipedal dinosaur having enormous teeth with knifelike serrations; may have been a scavenger rather than an active predator; later Cretaceous period in North America
ungulate,"n. any of a number of mammals with hooves that are superficially similar but not necessarily closely related taxonomically
a. having or resembling hoofs"
adrenal cortex,none
adrenal,"a. of or pertaining to the adrenal glands or their secretions
a. near the kidneys"
amoxicillin,n. an antibiotic; a semisynthetic oral penicillin (trade names Amoxil and Larotid and Polymox and Trimox and Augmentin) used to treat bacterial infections
angioplasty,n. an operation to repair a damaged blood vessel or unblock a coronary artery
bone marrow,none
brain stem,n. the part of the brain continuous with the spinal cord and comprising the medulla oblongata and pons and midbrain and parts of the hypothalamus
bubonic,a. of or evidencing buboes
carcinogen,n. any substance that produces cancer
cardiopulmonary,a. of or pertaining to or affecting both the heart and the lungs and their functions
cardiovascular,a. of or pertaining to or involving the heart and blood vessels
caries,n soft decayed area in a tooth; progressive decay can lead to the death of a tooth
carotenoid,n. any of a class of highly unsaturated yellow to red pigments occurring in plants and animals
cartilage,n. tough elastic tissue; mostly converted to bone in adults
cholesterol,n. an animal sterol that is normally synthesized by the liver; the most abundant steroid in animal tissues
clavicle,n. bone linking the scapula and sternum
coronary artery,none
dengue,n. an infectious disease of the tropics transmitted by mosquitoes and characterized by rash and aching head and joints
encephalitis,n. inflammation of the brain usually caused by a virus; symptoms include headache and neck pain and drowsiness and nausea and fever (`phrenitis' is no longer in scientific use)
follicle,n. any small spherical group of cells containing a cavity
genetic coding,none
hemoglobin,n. a hemoprotein composed of globin and heme that gives red blood cells their characteristic color; function primarily to transport oxygen from the lungs to the body tissues
hemolytic,a. relating to or involving or causing hemolysis
hypertherm,none
hypothalamus,n. a basal part of the diencephalon governing autonomic nervous system
ibuprofen,n. a nonsteroidal anti-inflammatory and analgesic medicine (trade names Advil and Motrin and Nuprin) used to relieve the pain of arthritis and as an antipyretic
indomethacin,n. a nonsteroidal anti-inflammatory drug (trade name Indocin)
inoculation,n. taking a vaccine as a precaution against contracting a disease
insulin,n. hormone secreted by the isles of Langerhans in the pancreas; regulates storage of glycogen in the liver and accelerates oxidation of sugar in cells
internal pacemaker,none
keratitis,n. inflammation of the cornea causing watery painful eyes and blurred vision
leukemia,n. malignant neoplasm of blood-forming tissues; characterized by abnormal proliferation of leukocytes; one of the four major types of cancer
licorice,"n. deep-rooted coarse-textured plant native to the Mediterranean region having blue flowers and pinnately compound leaves; widely cultivated in Europe for its long thick sweet roots
n. a black candy flavored with the dried root of the licorice plant"
Lyme,none
lymph,n. a thin coagulable fluid (similar to plasma but) containing white blood cells (lymphocytes) and chyle; is conveyed to the blood stream by lymphatic vessels
lymphocyte,n. an agranulocytic leukocyte that normally makes up a quarter of the white blood cell count but increases in the presence of infection
lysis,"n. recuperation in which the symptoms of an acute disease gradually subside
n. (biochemistry) dissolution or destruction of cells such as blood cells or bacteria"
melatonin,n. hormone secreted by the pineal gland
mesothelioma,n. a form of carcinoma of the mesothelium lining lungs or abdomen or heart; usually associated with exposure to asbestos dust
migraine,n. a severe recurring vascular headache; occurs more frequently in women than men
neuron,n a cell that is specialized to conduct nerve impulses
neurotransmitter,n. a neurochemical that transmits nerve impulses across a synapse
novocaine,n procaine administered as a hydrochloride (trade name Novocain)
osteoarthritis,n. chronic breakdown of cartilage in the joints; the most common form of arthritis occurring usually after middle age
pellagra,n. a disease caused by deficiency of niacin or tryptophan (or by a defect in the metabolic conversion of tryptophan to niacin); characterized by gastrointestinal disturbances and erythema and nervous or mental disorders; may be caused by malnutrition or alcoholism or other nutritional impairments
pelvic,a. of or relating to the pelvis
phagocytosis,n. process in which phagocytes engulf and digest microorganisms and cellular debris; an important defense against infection
pituitary,"n. the master gland of the endocrine system; located at the base of the brain
a. of or relating to the pituitary gland"
pituitary gland,none
poliomyelitis,n. an acute viral disease marked by inflammation of nerve cells of the brain stem and spinal cord
prostaglandin,n. a potent substance that acts like a hormone and is found in many bodily tissues (and especially in semen); produced in response to trauma and may affect blood pressure and metabolism and smooth muscle activity
prostate,a. relating to the prostate gland
prosthetic hand,none
rheumatoid,s of or pertaining to arthritis
rhinovirus,n. any of a group of picornaviruses that are responsible for many upper respiratory infections
saffron,"n. Old World crocus having purple or white flowers with aromatic pungent orange stigmas used in flavoring food
n. dried pungent stigmas of the Old World saffron crocus"
schistosomiasis,n. an infestation with or a resulting infection caused by a parasite of the genus Schistosoma; common in the tropics and Far East; symptoms depend on the part of the body infected
serotonin,n. a neurotransmitter involved in e.g. sleep and depression and memory
sinusitis,n. inflammation of one of the paranasal sinuses
spinal cord,none
strep throat,none
thyroid gland,none
gold-quartz,none
coleslaw,n. basically shredded cabbage
aerial image,none
air envelope,none
all the more,none
an encounter action,none
antitrust law,none
assembly line,none
as-yet-unexploited,none
at best,none
at issue,none
at odds,none
at one stroke,none
at stake,none
average out,none
bargain on doing sth.,none
be at a disadvantage,none
be leery of,none
bind to,none
black hole," A dungeon or dark cell in a prison; a military lock-up or
   guardroom; -- now commonly with allusion to the cell (the Black Hole)
   in a fort at Calcutta, into which 146 English prisoners were thrust by
   the nabob Suraja Dowla on the night of June 20, 17656, and in which 123
   of the prisoners died before morning from lack of air."
blind spot,none
Board of Education,none
bona fide," In or with good faith; without fraud or deceit; real or
   really; actual or actually; genuine or genuinely; as, you must proceed
   bona fide; a bona fide purchaser or transaction."
bona fides,none
buffer stock,none
business world,none
by-product,"n. a secondary and sometimes unexpected consequence
n. a product made during the manufacture of something else"
call for,none
call off,none
capitalize on the opponent's mistake,none
capitalize on,none
cash in on,none
center on,none
clerical supplies,none
clerical work,none
cling to,none
closed-circuit television,none
collective consciousness,none
common law,s. based on common law
competitive edge,none
compound interest,none
consumer goods,none
Customs Service,none
daylight saving time,none
delve into,none
digital audiotape,none
dote on,none
draw in,none
draw on,none
draw to,none
earthquake focus,none
ecological systems,none
episodic memory,none
fall into a rut,none
fall under,none
field sketch,none
fly by,n. a flight at a low altitude (usually of military aircraft) over spectators on the ground
fool around,none
free market,none
gain on,none
general management,none
get by,none
get through,none
give rise to,none
give way to,none
government intervention,none
government service,none
hand on,none
head start,none
hierarchical management,none
hit show,none
housing start,none
Humpty-Dumpty,none
ice age,none
ice sheet,none
import relief,none
in concert,none
in full bloom,none
in kind,none
in light of,none
in sb.'s favor,none
in so far as,none
indentured servant,none
internal variable,none
Jim Crow,"n. A machine for bending or straightening rails.
n. A planing machine with a reversing tool, to plane both
   ways."
labor contractor,none
laissez-faire capitalism,none
lay off,n. the act of laying off an employee or a work force
lecture series,none
line of work,none
list price,none
live show,none
lock into,none
look to,none
make allowances,none
make ends meet,none
make both ends meet,none
mark down,none
mark up,"n. the amount added to the cost to determine the asking price
n. detailed stylistic instructions for typesetting something that is to be printed; manual markup is usually written on the copy (e.g. underlining words that are to be set in italics)"
maternity leave,none
military service,none
mirror image,none
more often than not,none
more than ever,none
on a par,none
on behalf of,none
on one's word of honor,none
on pain of death,none
open market,none
other than,none
oyabun-kobun,none
part company,none
pass up,none
penny-pinching,"n extreme care in spending money; reluctance to spend money unnecessarily
v spend money frugally; spend as little as possible
s giving or spending with reluctance"
play off,n. any final competition to determine a championship
pride of place,none
prime-time ratings,none
prior to,none
processed food,none
public policy,none
pull away,none
purchasing price,none
push up,n. an arm exercise performed lying face to the floor and pushing the body up and down with the arms
put away,none
rain down,none
reading list,none
recruiting agent,none
resort to,none
retirement age,none
roller coaster,none
rule of thumb,none
set up as,none
sewage disposal,none
shock wave,none
shut off,none
side effect,none
simple interest,none
slash-and-burn,none
sluggish economy,none
small-lot production,none
social learning,none
speculative fever,none
speed velocity,none
status quo ante,none
status quo," The state in which anything is already. The phrase is
   also used retrospectively, as when, on a treaty of place, matters
   return to the status quo ante bellum, or are left in statu quo ante
   bellum, i.e., the state (or, in the state) before the war."
stumbling block,none
subject to,none
take issue with,none
take over,n. a change by sale or merger in the controlling interest of a corporation
take precedence over,none
team up,none
technical merit,none
technological determinism,none
teem with,none
tough-minded,s. facing facts or difficulties realistically and with determination
trade in ... for,none
trade off,n an exchange that occurs as a compromise
transatlantic migrate,none
transnational cooperation,none
turn down,n the act of refusing an offer
upscale clientele,none
Vichy government,none
virgin soil,none
wade through,none
Wall Street,none
willy-nilly,r. without having a choice
word-of-mouth,s expressed orally
billion,"n. the number that is represented as a one followed by 12 zeros; in the United Kingdom the usage followed in the United States is frequently seen
n. the number that is represented as a one followed by 9 zeros
s. denoting a quantity consisting of one thousand million items or units in the United States
s. denoting a quantity consisting of one million million items or units in Great Britain"
composite number,none
consecutive even integer,none
consecutive integer,none
consecutive odd integer,none
divisor,"n. one of two or more integers that can be exactly divided into another integer
n. the number by which a dividend is divided"
even,"v. become even or more even
v. make even or more even
a. divisible by two
s. equal in degree or extent or amount; or equally matched or balanced"
integer,n. any of the natural numbers (positive or negative) or zero
multiple,"n. the product of a quantity by an integer
a. having or involving or consisting of more than one part or entity or individual"
negative whole number,none
odd,"a. not divisible by two
s. not easily explained
s. an indefinite quantity more than that specified
s. of the remaining member of a pair, of socks e.g."
positive whole number,none
prime factor,none
prime number,none
quotient,"n. the ratio of two quantities to be divided
n. the number obtained by division"
real number,none
remainder,"n. something left after other parts have been taken away
n. the part of the dividend that is left over when the dividend is not evenly divisible by the divisor
n. the number that remains after subtraction; the number that when added to the subtrahend gives the minuend
v. sell cheaply as remainders"
whole number,none
least common denominator,none
least common multiple,none
algebraic fraction,none
common denominator,none
common divisor,none
common factor,none
common multiple,none
complex fraction,none
denominator,n. the divisor of a fraction
division sign,none
divisor,"n. one of two or more integers that can be exactly divided into another integer
n. the number by which a dividend is divided"
equivalent fractions,none
evenly even integer,none
fraction,"n. a component of a mixture that has been separated by a fractional process
n. a small part or item forming a piece of a whole
n. the quotient of two rational numbers"
greatest common divisor,none
improper fraction,none
mixed number,none
numerator,n. the dividend of a fraction
percentage,n. a proportion in relation to a whole (which is usually the amount per hundred)
proper fraction,none
reciprocal,"n. something (a term or expression or concept) that has a reciprocal relation to something else
a. concerning each of two or more persons or things; especially given or done in return
s. of or relating to the multiplicative inverse of a quantity or function"
inverse,"n. something inverted in sequence or character or effect
s. reversed (turned backward) in order or nature or effect
a. opposite in nature or effect or relation to another quantity"
simple fraction,none
vulgar fraction,none
common fraction,none
3-digit number,none
decimal fraction,none
decimal point,none
decimal,"n. a number in the decimal system
s. numbered or proceeding by tens; based on ten"
infinite decimal,none
mixed decimal,none
recurring decimal,none
tenths unit,none
absolute value,none
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
decimal system,none
digit,"n. one of the elements that collectively form a system of numeration
n. a finger or toe in human beings or corresponding body part in other vertebrates"
infinitesimal,"n. (mathematics) a variable that has zero as its limit
s. infinitely or immeasurably small"
infinity,n time without end
irrational,"a. not consistent with or using reason
a. real but not expressible as the quotient of two integers"
irrational number,none
natural number,none
negative number,none
nonnegative,s either positive or zero
nonzero number,none
nonzero,none
numerical,a. relating to or having ability to think in or work with numbers
positive number,none
rational,"a. consistent with or based on or using reason
a. capable of being expressed as a quotient of integers
s. having its source in or being guided by the intellect (as distinguished from experience or emotion)"
tens digit,none
tens,"n the cardinal number that is the sum of nine and one; the base of the decimal system
n one of four playing cards in a deck with ten pips on the face"
tenths,"n a tenth part; one part in ten equal parts
n position ten in a countable series of things"
units digit,none
units,"n any division of quantity accepted as a standard of measurement or exchange
n an individual or group or structure or other entity regarded as a structural or functional constituent of a whole
n an organization regarded as part of a larger social group
n a single undivided whole
n a single undivided natural thing occurring in the composition of something else
n an assemblage of parts that is regarded as a single entity"
common ratio,none
direct proportion,none
inverse proportion,none
percent,n a proportion in relation to a whole (which is usually the amount per hundred)
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
ratio,n. the relative magnitudes of two quantities (usually expressed as a quotient)
the extremes of a proportion,none
the means of a proportion,none
base,"n. installation from which a military force initiates operations
n. a place that the runner must touch before scoring
n. the bottom or lowest part
n. (anatomy) the part of an organ nearest its point of attachment"
power,"n. possession of controlling influence
n. (physics) the rate of doing work; measured in watts (= joules/second)
n. one possessing or exercising power or influence or authority
v. supply the force or power for the functioning of"
cardinal,"n. (Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes
n. a variable color averaging a vivid red
n. crested thick-billed North American finch having bright red plumage in the male
s. serving as an essential component"
common logarithm,none
cube root,none
exponent,"n. someone who expounds and interprets or explains
n. a mathematical notation indicating the number of times a quantity is multiplied by itself"
logarithm,n. the exponent required to produce a given number
natural logarithm,none
power,"n. possession of controlling influence
n. (physics) the rate of doing work; measured in watts (= joules/second)
n. one possessing or exercising power or influence or authority
v. supply the force or power for the functioning of"
product,"n. an artifact that has been created by someone or some process
n. a quantity obtained by multiplication
n. a chemical substance formed as a result of a chemical reaction
n. a consequence of someone's efforts or of a particular set of circumstances"
radical sign,none
radical root sign,none
root sign,none
root,"n. (botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground
n. (linguistics) the form of a word after all affixes are removed
n. a number that, when multiplied by itself some number of times, equals a given number
n. the part of a tooth that is embedded in the jaw and serves as support"
square root,none
empty set,none
equivalence relation,none
equivalency,n. Same as Equivalence.
equivalence,n. essential equality and interchangeability
intersection,"n. a point where lines intersect
n. a junction where one street or road crosses another
n. a point or set of points common to two or more geometric configurations"
interval,"n. a set containing all points (or all real numbers) between two given endpoints
n. the distance between things
n. the difference in pitch between two notes"
ordinal,"a. of or relating to a taxonomic order
a. being or denoting a numerical order in a series"
proper subset,none
set,"n. a group of things of the same kind that belong together and are so used
n. (mathematics) an abstract collection of numbers or symbols
n. several exercises intended to be done in series
n. an unofficial association of people or groups"
solution set,none
subset,n. a set whose members are members of another set; a set contained within another set
union,"n. an organization of employees formed to bargain with the employer
n. the United States (especially the northern states during the American Civil War)
n. the state of being joined or united or linked
n. healing process involving the growing together of the edges of a wound or the growing together of broken bones"
apiece,r to or from every one of two or more (considered individually)
arithmetic mean,none
average value,none
average,"n. a statistic describing the location of a distribution
n. (sports) the ratio of successful performances to opportunities
n. an intermediate scale value regarded as normal or usual
v. amount to or come to an average, without loss or gain"
cumulative graph,none
dispersion,"n. spreading widely or driving off
n. the act of dispersing or diffusing something"
distribution,"n. (statistics) an arrangement of values of a variable showing their observed or theoretical frequency of occurrence
n. the spatial or geographic property of being scattered about over a range, area, or volume
n. the act of distributing or spreading or apportioning
n. the commercial activity of transporting and selling goods from a producer to a consumer"
equidistant,s. the same distance apart at every point
evenly spaced,none
frequency distribution,none
frequency,"n. the number of occurrences within a given time period
n. the ratio of the number of observations in a statistical category to the total number of observations
n. the number of observations in a given statistical category"
geometric mean,none
least possible value,none
maximum,"n. the largest possible quantity
n. the point on a curve where the tangent changes from positive on the left to negative on the right"
median,"n. the value below which 50% of the cases fall
s. relating to or constituting the middle value of an ordered set of values (or the average of the middle two in a set with an even number of values)
s. relating to or situated in or extending toward the middle"
minimum,"n. the smallest possible quantity
n. the point on a curve where the tangent changes from negative on the left to positive on the right"
mode,"n. a particular functioning condition or arrangement
n. any of various fixed orders of the various diatonic notes within an octave
n. the most frequent value of a random variable"
normal distribution,none
probability,"n. a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible
n. the quality of being probable; a probable event or the most probable event"
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
range,"n. the limits within which something can be effective
n. a large tract of grassy open land on which livestock can graze
n. a series of hills or mountains
n. a place for shooting (firing or driving) projectiles of various kinds"
standard deviation,none
variance,"n. the second moment around the mean; the expected value of the square of the deviations of a random variable from its mean value
n. an official dispensation to act contrary to a rule or regulation (typically a building regulation)"
weighted average,none
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
approximation,"n. the quality of coming near to identity (especially close in quantity)
n. an imprecise or incomplete account
n. the act of bringing near or bringing together especially the cut edges of tissue"
arithmetic,n. the branch of pure mathematics dealing with the theory of numerical calculations
