unidimensional,a. relating to a single dimension or aspect; having no depth or scope
charter,"n. a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation
n. a contract to hire or lease transportation
v. grant a charter to"
debate,"n. the formal presentation of a stated proposition and the opposition to it (usually followed by a vote)
v. argue with one another
v. discuss the pros and cons of an issue"
quagmire,n a soft wet area of low-lying land that sinks underfoot
infuse,"v. undergo the process of infusion
v. introduce into the body through a vein, for therapeutic purposes"
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
preclude,"v. make impossible, especially beforehand"
sensory,a. involving or derived from the senses
raucous,"s. unpleasantly loud and harsh
s. disturbing the public peace; loud and rough"
frisky,s playful like a lively kitten
stagnant,s. not growing or changing; without force or vitality
effective,"a. producing or capable of producing an intended result or having a striking effect
s. able to accomplish a purpose; functioning effectively
s. works well as a means or remedy
s. exerting force or influence"
strength,"n. the property of being physically or mentally strong
n. the condition of financial success"
disputable,"s capable of being disproved
s open to argument or debate"
accessible,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly"
autobiography,n. a biography of yourself
generalize,"v. draw from specific cases for more general cases
v. speak or write in generalities
v. become systemic and spread throughout the body"
self-effacement,n withdrawing into the background; making yourself inconspicuous
aromatic,"a. (chemistry) of or relating to or containing one or more benzene rings
s. having a strong pleasant odor"
serene,s. completely clear and fine
composure,n. steadiness of mind under stress
overblown,s. past the stage of full bloom
wring,"v. twist and compress, as if in pain or anguish
v. twist, squeeze, or compress in order to extract liquid"
pristine,"s. completely free from dirt or contamination
s. immaculately clean and unused"
voyeur,n. a viewer who enjoys seeing the sex acts or sex organs of others
synthesize,"v. combine so as to form a more complex, product
v. combine and form a synthesis"
impecunious,s not having enough money to pay for necessities
proficient,"s having or showing knowledge and skill and aptitude
a of or relating to technique or proficiency in a practical skill"
disproportionate,"a. out of proportion
s. not proportionate"
diminution,n. the statement of a theme in notes of lesser duration (usually half the length of the original)
prefabricated,"v to manufacture sections of (a building), especially in a factory, so that they can be easily transported to and rapidly assembled on a building site of buildings
v produce synthetically, artificially, or stereotypically and unoriginally"
consign,"v. commit forever; commit irrevocably
v. give over to another for care or safekeeping
v. send to an address"
seductive,a. tending to entice into a desired action or state
bias,"n. a partiality that prevents objective consideration of an issue or situation
v. influence in an unfair way
v. cause to be biased
s. slanting diagonally across the grain of a fabric"
systematic,a. characterized by order and planning
conspiracy,"n. a secret agreement between two or more people to perform an unlawful act
n. a plot to carry out some harmful or illegal act (especially a political plot)
n. a group of conspirators banded together to achieve some harmful or illegal purpose"
commend,"v. express approval of
v. present as worthy of regard, kindness, or confidence
v. give to in charge
v. express a good opinion of"
upscale,s. appropriate for people with good incomes
naturalistic,s. representing what is real; not abstract or ideal
unprecedented,a. having no precedent; novel
epitome,n. a brief abstract (as of an article or book)
confine,"v. prevent from leaving or from being removed
v. deprive of freedom; take into confinement"
universality,n. the quality of being universal; existing everywhere
disparage,v. express a negative opinion of
pitiful,"s inspiring mixed contempt and pity
s bad; unfortunate
s deserving or inciting pity"
obsolescent,s. becoming obsolete
referent,"n. something referred to; the object of a reference
n. the first term in a proposition; the term to which other terms relate
n. something that refers; a term that refers to another term"
immodest,"a. having or showing an exaggerated opinion of your importance, ability, etc
a. offending against sexual mores in conduct or appearance"
dissent,"n. (law) the difference of one judge's opinion from that of the majority
n. a difference of opinion
v. withhold assent"
