affair,"n. a usually secretive or illicit sexual relationship
n. a vaguely specified social event"
potential,"n. the inherent capacity for coming into being
a. existing in possibility"
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
qualification,"n. an attribute that must be met or complied with and that fits a person for something
n. the act of modifying or changing the strength of some idea"
reluctant,"s. disinclined to become involved
s. not eager"
resource,"n. available source of wealth; a new or reserve supply that can be drawn upon when needed
n. a source of aid or support that may be drawn upon when needed
n. the ability to deal resourcefully with unusual problems"
skill,"n. an ability that has been acquired by training
n. ability to produce solutions in some problem domain"
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
strain,"n. (physics) deformation of a physical body under the action of applied forces
n. (psychology) nervousness resulting from mental stress
n. injury to a muscle (often caused by overuse); results in swelling and pain
n. an intense or violent exertion"
support,"n. the activity of providing for or maintaining by supplying with money or necessities
n. aiding the cause or policy or interests of
n. something providing immaterial assistance to a person or cause or interest
n. a military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission"
training,n. activity leading to skilled behavior
trend,"n a general direction in which something tends to move
n general line of orientation
n a general tendency to change (as of opinion)
n the popular taste at a given time
v turn sharply; change direction abruptly"
work-force,n the force of workers available
build up,"n. the act of building up an accumulation
n. the result of the process of accumulation
n. highly favorable publicity and praise"
cope with,none
corporate restructuring,none
decent,"s. socially or conventionally correct; refined or virtuous
a. conforming to conventions of sexual behavior
s. decently clothed
s. observing conventional sexual mores in speech or behavior or dress"
deficiency,"n the state of needing something that is absent or unavailable
n lack of an adequate quantity or number"
establish,"v. set up or found
v. set up or lay the groundwork for
v. bring about
v. use as a basis for; found on"
enrollment,"n the act of enrolling
n the body of people (such as students) who register or enroll at the same time"
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
hire,"n. a newly hired employee
n. the act of hiring something or someone
v. engage or hire for work"
implement,"n. instrumentation (a piece of equipment or tool) used to effect an end
v. apply in a manner consistent with its purpose or design"
integrate,"v. make into a whole or make part of a whole
v. become one; become integrated
v. calculate the integral of; calculate by integration"
linkage,"n. an associative relation
n. (genetics) traits that tend to be inherited together as a consequence of an association between their genes; all of the genes of a given chromosome are linked (where one goes they all go)
n. a mechanical system of rods or springs or pivots that transmits power or motion
n. the act of linking things together"
meet the demand,none
mismatch,"n. a bad or unsuitable match
v. match badly; match two objects or people that do not go together"
reorganize,"v. organize anew
v. organize anew, as after a setback"
sector,"n. a plane figure bounded by two radii and the included arc of a circle
n. a social group that forms part of the society or the economy
n. a particular aspect of life or activity
n. the minimum track length that can be assigned to store information; unless otherwise specified a sector of data consists of 512 bytes"
slow-down,n. the act of slowing down or falling behind
specialize,"v. become more focus on an area of activity or field of study
v. suit to a special purpose
v. devote oneself to a special area of work"
staff,"n. personnel who assist their superior in carrying out an assigned task
n. a strong rod or stick with a specialized utilitarian purpose
n. the body of teachers and administrators at a school
n. building material consisting of plaster and hair; used to cover external surfaces of temporary structure (as at an exposition) or for decoration"
sufficient,a. of a quantity that can fulfill a need or requirement but without being abundant
desperate,"n. a person who is frightened and in need of help
s. desperately determined
s. (of persons) dangerously reckless or violent as from urgency or despair
s. showing extreme courage; especially of actions courageously undertaken in desperation as a last resort"
dilapidated,"v bring into a condition of decay or partial ruin by neglect or misuse
v fall into decay or ruin
s in deplorable condition"
distinction,"n. a distinguishing quality
n. a distinguishing difference"
intervention,"n. the act of intervening (as to mediate a dispute, etc.)
n. a policy of intervening in the affairs of other countries
n. (law) a proceeding that permits a person to enter into a lawsuit already in progress; admission of person not an original party to the suit so that person can protect some right or interest that is allegedly affected by the proceedings"
juxtaposition,"n. the act of positioning close together (or side by side)
n. a side-by-side position"
landlord,n. a landowner who leases to others
link,"n. the means of connection between things linked in series
n. a fastener that serves to join or connect
n. a unit of length equal to 1/100 of a chain
n. (computing) an instruction that connects one part of a program or an element on a list to another program or list"
rent,"n. a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service
n. the act of rending or ripping or splitting something
v. let for money
v. hold under a lease or rental agreement; of goods and services"
shrinkage,n. the amount by which something shrinks
enlightened,a. having knowledge and spiritual insight
female,"n. an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)
n. a person who belongs to the sex that can have babies
a. being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop
s. characteristic of or peculiar to a woman"
feminism,n. a doctrine that advocates equal rights for women
absurd,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule"
corporal punishment,none
experience,"n. the accumulation of knowledge or skill that results from direct participation in events or activities
n. the content of direct observation or participation in an event
n. an event as apprehended
v. go or live through"
genius,"n. someone who has exceptional intellectual ability and originality
n. exceptional creative ability"
illogical,a. lacking in correct logical relation
imagination,"n. the formation of a mental image of something that is not perceived as real and is not present to the senses
n. the ability to form mental images of things or events"
initiative,"n readiness to embark on bold new ventures
n the first of a series of actions
s serving to set in motion"
innate,"a not established by conditioning or learning
s being talented through inherited qualities
s present at birth but not necessarily hereditary; acquired during fetal development"
narrow-minded,"a. lacking tolerance or flexibility or breadth of view
s. rigidly adhering to a particular sect or its doctrines"
nature,"n. the essential qualities or characteristics by which something is recognized
n. a causal agent creating and controlling things in the universe
n. the natural physical world including plants and animals and landscapes etc.
n. the complex of emotional and intellectual attributes that determine a person's characteristic actions and reactions"
nurture,"n the properties acquired as a consequence of the way you were treated as a child
n helping someone grow up to be an accepted member of the community
v help develop, help grow
v bring up
v provide with nourishment"
observation,"n. the act of making and recording a measurement
n. the act of observing; taking a patient look
n. a remark expressing careful consideration
n. facts learned by observing"
quality education,none
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
survival ability,none
technology-dependent,none
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
confident,"a. having or marked by confidence or assurance
s. not liable to error in judgment or action"
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
courageous,a possessing or displaying courage; able to face and deal with danger or fear without flinching
coward,"n. a person who shows fear or timidity
n. English dramatist and actor and composer noted for his witty and sophisticated comedies (1899-1973)"
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
difficulty,"n. a factor causing trouble in achieving a positive result or tending to produce a negative result
n. a condition or state of affairs almost beyond one's ability to deal with and requiring great effort to bear or overcome
n. the quality of being difficult"
energetic,"a. possessing or exerting or displaying energy
s. working hard to promote an enterprise"
instructional,a. of or relating to or used in instruction
interfere,v. come between so as to be hindrance or obstacle
isolate,"v. place or set apart
v. obtain in pure form
v. separate (experiences) from the emotions relating to them"
observe,"v. watch attentively
v. behave as expected during of holidays or rites
v. stick to correctly or closely
v. conform one's action or practice to"
psychology,n. the science of mental life
stress,"n. the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
n. special emphasis attached to something
n. difficulty that causes worry or emotional tension
n. (physics) force that produces strain on a physical body"
strive,v. to exert much effort or energy
struggle,"n. an energetic attempt to achieve something
n. strenuous effort
v. to exert strenuous effort against opposition"
success,"n. an event that accomplishes its intended purpose
n. an attainment that is successful
n. a state of prosperity or fame"
trouble,"n. a source of difficulty
n. an event causing distress or pain
n. an effort that is inconvenient
n. an unwanted pregnancy"
ability,"n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
n. possession of the qualities (especially mental qualities) required to do something or get something done"
academic,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects"
conducive,s. tending to bring about; being partly responsible for
cultivate,"v. foster the growth of
v. prepare for crops"
discipline,"n. a branch of knowledge
n. a system of rules of conduct or method of practice; 
n. the trait of being well behaved
n. training to improve strength or self-control"
education system,none
evil,"n. morally objectionable behavior
n. that which causes harm or destruction or misfortune; the good is oft interred with their bones""- Shakespeare
n. the quality of being morally wrong in principle or practice
a. morally bad or wrong"
over-rate,v make too high an estimate of
professional,"n. a person engaged in one of the learned professions
n. an athlete who plays for pay
a. engaged in a profession or engaging in as a profession or means of livelihood
a. of or relating to or suitable as a profession"
influence,"n. a power to affect persons or events especially power based on prestige etc
n. causing something without any direct or apparent effort
n. a cognitive factor that tends to have an effect on what you do
n. the effect of one thing (or person) on another"
instructor,n a person whose occupation is teaching
irresponsible,a. showing lack of care for consequences
mold,"n. container into which liquid is poured to create a given shape when it hardens
n. loose soil rich in organic matter
n. a fungus that produces a superficial growth on various kinds of damp or decaying organic matter"
progress,"n. the act of moving forward (as toward a goal)
n. a movement forward
v. develop in a positive way"
purpose,"n. an anticipated outcome that is intended or that guides your planned actions
v. reach a decision"
responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
spare time,none
subject,"n. the subject matter of a conversation or discussion
n. something (a person or object or scene) selected by an artist or photographer for graphic representation
n. (grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated
n. a person who is subjected to experimental or other observational procedures; someone who is an object of investigation"
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
train,"n. public transport provided by a line of railway cars coupled together and drawn by a locomotive
n. a series of consequences wrought by an event
n. piece of cloth forming the long back section of a gown that is drawn along the floor
v. create by training and teaching"
classroom,n. a room in a school where lessons take place
develop,"v. make something new, such as a product or a mental or artistic creation
v. gain through experience
v. be gradually disclosed or unfolded; become manifest; 
v. grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment"
drop behind,none
exclude,"v. prevent from being included or considered or accepted
v. prevent from entering; shut out
v. lack or fail to include"
family tie,none
gifted,"v give qualities or abilities to
v give as a present; make a gift of
a endowed with talent or talents"
habit,"n. an established custom
n. (psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition
n. a distinctive attire worn by a member of a religious order
n. the general form or mode of growth (especially of a plant or crystal)"
handle,"n. the appendage to an object that is designed to be held in order to use or move it
v. touch, lift, or hold with the hands
v. show and train"
harmful,a. causing or capable of causing harm
meaningful,a. having a meaning or purpose
mentally,r. in your mind
naive,"a. marked by or showing unaffected simplicity and lack of guile or worldly experience
s. inexperienced"
natural,"n. someone regarded as certain to succeed
n. a notation cancelling a previous sharp or flat
n. (craps) a first roll of 7 or 11 that immediately wins the stake
a. in accordance with nature; relating to or concerning nature"
near-sightedness,n (ophthalmology) eyesight abnormality resulting from the eye's faulty refractive ability; distant objects appear blurred
overload,"n. an electrical load that exceeds the available electrical power
n. an excessive burden
v. become overloaded
v. place too much a load on"
psychological,"s. mental or emotional as opposed to physical in nature
a. of or relating to or determined by psychology"
schooling,"n. the act of teaching at school
n. the training of an animal (especially the training of a horse for dressage)"
schoolwork,n a school task performed by a student to satisfy the teacher
shoulder,"n. the part of the body between the neck and the upper arm
n. a cut of meat including the upper joint of the foreleg
n. a ball-and-socket joint between the head of the humerus and a cavity of the scapula
n. the part of a garment that covers or fits over the shoulder"
situation,"n. the general state of things; the combination of circumstances at a given time
n. a condition or position in which you find yourself
n. a complex or critical or unusual difficulty"
statistics,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
value,"n. a numerical quantity measured or assigned or computed
n. the quality (positive or negative) that renders something desirable or valuable
n. the amount (of money or goods or services) that is considered to be a fair equivalent for something else
n. relative darkness or lightness of a color"
well-rounded,s many-sided
speech,"n. (language) communication by word of mouth
n. something spoken
n. the exchange of spoken words"
ancient,"n. a very old person
n. a person who lived in ancient times
s. belonging to times long past especially of the historical period before the fall of the Western Roman Empire
s. very old"
anthropologist,n. a social scientist who specializes in anthropology
bequeath,v. leave or give by will after one's death
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
compatible,"a. able to exist and perform in harmonious or agreeable combination
a. capable of being used with or connected to other devices or components without modification
s. capable of forming a homogeneous mixture that neither separates nor is altered by chemical interaction"
culture,"n. a particular society at a particular time and place
n. the tastes in art and manners that are favored by a social group
n. (biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar)
n. the attitudes and behavior that are characteristic of a particular social group or organization"
forefather,"n. the founder of a family
n. person from an earlier time who contributed to the tradition shared by some group"
globalization,n. growth to a global or worldwide scale
homogeneous,a. all of the same or similar kind or nature
indigenous,s originating where it is found
minority language,none
monolingual,"n. a person who knows only one language
a. using or knowing only one language"
mother tongue,none
nationality,"n. people having common origins or traditions and often comprising a nation
n. the status of belonging to a particular nation by birth or naturalization"
native,"n. an indigenous person who was born in a particular place
n. a person born in a particular place or country
n. indigenous plants and animals
a. characteristic of or existing by virtue of geographic origin"
pass down,none
tradition,n. an inherited pattern of thought or action
destroy,"v. do away with, cause the destruction or undoing of
v. destroy completely; damage irreparably
v. put (an animal) to death"
hindrance,"n. something immaterial that interferes with or delays action or progress
n. any obstruction that impedes or is burdensome
n. the act of hindering or obstructing or impeding"
impediment,"n something immaterial that interferes with or delays action or progress
n any structure that makes progress difficult"
old-fashioned,s out of fashion
outmoded,"v make unfashionable, outdated, or obsolete
s out of fashion"
palace,"n. a large and stately mansion
n. the governing group of a kingdom
n. a large ornate exhibition hall
n. official residence of an exalted person (as a sovereign)"
precious,"s. of high worth or cost
r. extremely"
prime,"n. a number that has no factor but itself and 1
n. the second canonical hour; about 6 a.m.
n. the time of maturity when power and vigor are greatest
v. insert a primer into (a gun, mine, or charge) preparatory to detonation or firing"
reconstruct,"v. reassemble mentally
v. cause somebody to adapt or reform socially or politically"
showcase,n. a setting in which something can be displayed to best effect
splendid,"s having great beauty and splendor
s very good; of the highest quality
s characterized by grandeur"
stylish,a. having elegance or taste or refinement in manners or dress
witness,"n. someone who sees an event and reports what happened
n. testimony by word or deed to your religious faith
n. (law) a person who attests to the genuineness of a document or signature by adding their own signature
n. (law) a person who testifies under oath in a court of law"
director,"n. someone who controls resources and expenditures
n. member of a board of directors
n. someone who supervises the actors and directs the action in the production of a show"
expression,"n. the feelings expressed on a person's face
n. expression without words
n. the communication (in speech or writing) of your beliefs or opinions
n. (genetics) the process of expressing a gene"
instinctive,s unthinking; prompted by (or as if by) instinct
judicious,s. marked by the exercise of good judgment or common sense in practical matters
mimic,"n. someone who mimics (especially an actor or actress)
v. imitate (a person or manner), especially for satirical effect
s. constituting an imitation"
nature,"n. the essential qualities or characteristics by which something is recognized
n. a causal agent creating and controlling things in the universe
n. the natural physical world including plants and animals and landscapes etc.
n. the complex of emotional and intellectual attributes that determine a person's characteristic actions and reactions"
soap opera,none
scary,s provoking fear terror
show,"n. the act of publicly exhibiting or entertaining
n. a social event involving a public performance or entertainment
v. give an exhibition of to an interested audience
v. make visible or noticeable"
superficial,"a. concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually
a. of, affecting, or being on or near the surface
s. of little substance or significance"
tempt,"v. dispose or incline or entice to
v. give rise to a desire by being attractive or inviting
v. try to seduce
v. try presumptuously"
thrilling,s. causing quivering or shivering as by cold or fear or electric shock
abundant,a. present in great quantity
charming,"s. pleasing or delighting
s. possessing or using or characteristic of or appropriate to supernatural powers"
circumstance,"n. a condition that accompanies or influences some event or activity
n. information that should be kept in mind when making a decision
n. formal ceremony about important occasions"
educational,"a. relating to the process of education
s. providing knowledge"
embroidery,n. decorative needlework
initiative,"n readiness to embark on bold new ventures
n the first of a series of actions
s serving to set in motion"
integrate,"v. make into a whole or make part of a whole
v. become one; become integrated
v. calculate the integral of; calculate by integration"
intricate,s. having many complexly arranged elements; elaborate
intrinsic,"a. belonging to a thing by its very nature
s. situated within or belonging solely to the organ or body part on which it acts"
memorial,"n. a recognition of meritorious service
n. a written statement of facts submitted in conjunction with a petition to an authority
n. a structure erected to commemorate persons or events"
paper-cutting,none
places of interests,none
receptacle,"n. a container that is used to put or keep things in
n. enlarged tip of a stem that bears the floral parts
n. an electrical (or electronic) fitting that is connected to a source of power and equipped to receive an insert"
symbol,"n. an arbitrary sign (written or printed) that has acquired a conventional significance
n. something visible that by association or convention represents something else that is invisible"
treasure,"n. accumulated wealth in the form of money or jewels etc.
n. any possession that is highly valued by its owner
n. a collection of precious things"
woodcarving,n. a carving created by carving wood
acclaim,"n. enthusiastic approval
v. praise vociferously"
contemporary,"n. a person of nearly the same age as another
s. characteristic of the present
s. belonging to the present time"
donate,v. give to a charity or good cause
enrich,"v. make better or improve in quality
v. make wealthy or richer"
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
fine art,none
fund,"n. a reserve of money set aside for some purpose
v. convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds
v. place or store up in a fund for accumulation
v. provide a fund for the redemption of principal or payment of interest"
generation,"n. group of genetically related organisms constituting a single step in the line of descent
n. the normal time between successive generations
n. a stage of technological development or innovation
n. the production of heat or electricity"
highlight,"n. the most interesting or memorable part
n. an area of lightness in a picture
v. apply a highlighter to one's cheeks or eyebrows in order to make them more prominent"
historian,n. a person who is an authority on history and who studies it and writes about it
prehistoric,"s. belonging to or existing in times before recorded history
a. of or relating to times before written history
s. no longer fashionable"
present,"n. the period of time that is happening now; any continuous stretch of time including the moment of speech
n. something presented as a gift
n. a verb tense that expresses actions or states at the time of speaking
v. bring forward and present to the mind"
private,"n. an enlisted man of the lowest rank in the Army or Marines
a. confined to particular persons or groups or providing privacy
s. concerning things deeply private and personal"
provide,"v. give what is desired or needed, especially support, food or sustenance
v. determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation
v. supply means of subsistence; earn a living
v. take measures in preparation for"
recycle,"v. cause to repeat a cycle
v. use again after processing"
works of art,none
antagonize,"v. provoke the hostility of
v. act in opposition to"
avid,"s. (often followed by `for') ardently or excessively desirous
s. marked by active interest and enthusiasm"
foment,v. bathe with warm water or medicated lotions
mechanism,"n. the atomic process that occurs during a chemical reaction
n. the technical aspects of doing something
n. a natural object resembling a machine in structure or function
n. (philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes"
misapprehension,n an understanding of something that is not correct
mutual,"s common to or shared by two or more parties
a concerning each of two or more persons or things; especially given or done in return"
political,"a. involving or characteristic of politics or parties or politicians
a. of or relating to your views about social relationships involving authority or power
a. of or relating to the profession of governing"
remove,"n. degree of figurative distance or separation; 
v. remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
v. remove from a position or an office
v. shift the position or location of, as for business, legal, educational, or military purposes"
tension,"n. (psychology) a state of mental or emotional strain or suspense
n. the physical condition of being stretched or strained
n. a balance between and interplay of opposing elements or tendencies (especially in art or literature)
n. (physics) a stress that produces an elongation of an elastic physical body"
vacuum,"n. the absence of matter
n. a region that is devoid of matter
n. an electrical home appliance that cleans by suction
v. clean with a vacuum cleaner"
worsen,"v. grow worse
v. make worse"
aboriginal,"a. of or pertaining to members of the indigenous people of Australia
s. having existed from the beginning; in an earliest or original stage or state"
accompany,v. go or travel along with
barrier,"n. a structure or object that impedes free movement
n. any condition that makes it difficult to make progress or to achieve an objective
n. anything serving to maintain separation by obstructing vision or access"
vanish,"v. become invisible or unnoticeable
v. cease to exist
v. decrease rapidly and disappear"
boom,"n. a deep prolonged loud noise
n. a state of economic prosperity
n. a sudden happening that brings good fortune (as a sudden opportunity to make money)
n. a pole carrying an overhead microphone projected over a film or tv set"
conserve,"n. fruit preserved by cooking with sugar
v. keep constant through physical or chemical reactions or evolutionary change
v. keep in safety and protect from harm, decay, loss, or destruction
v. use cautiously and frugally"
community,"n. a group of people living in a particular local area
n. common ownership
n. a group of nations having common interests
n. agreement as to goals"
economic,"a. of or relating to an economy, the system of production and management of material wealth
a. of or relating to the science of economics
s. using the minimum of time or resources necessary for effectiveness
s. concerned with worldly necessities of life (especially money)"
encounter,n. a casual meeting with a person or thing
exchange,"n. chemical process in which one atom or ion or group changes places with another
n. a mutual expression of views (especially an unpleasant one)
n. the act of changing one thing for another thing
n. the act of giving something in return for something received"
export,"n. commodities (goods or services) sold to a foreign country
v. sell or transfer abroad
v. transfer (electronic data) out of a database or document in a format that can be used by other programs
v. cause to spread in another part of the world"
incentive,n. a positive motivational influence
inevitably,r. in such a manner as could not be otherwise
leisure,"n. time available for ease and relaxation
n. freedom to choose a pastime or enjoyable activity"
misunderstanding,"n putting the wrong interpretation on
n an understanding of something that is not correct
v interpret in the wrong way"
monument,n. an important site that is marked and preserved as public property
pillar,"n. a fundamental principle or practice
n. a prominent supporter"
resist,"v. stand up or offer resistance to somebody or something
v. withstand the force of something
v. resist immunologically the introduction of some foreign tissue or organ
v. refuse to comply"
priority,n. preceding in time
prospect,"n. the possibility of future success
v. search for something desirable
v. explore for useful or valuable things or substances, such as minerals"
resentment,n. a feeling of deep and bitter anger and ill-will
sector,"n. a plane figure bounded by two radii and the included arc of a circle
n. a social group that forms part of the society or the economy
n. a particular aspect of life or activity
n. the minimum track length that can be assigned to store information; unless otherwise specified a sector of data consists of 512 bytes"
scenery,"n. the painted structures of a stage set that are intended to suggest a particular locale
n. the appearance of a place"
spur,"n. any sharply pointed projection
n. tubular extension at the base of the corolla in some flowers
n. a sharp prod fixed to a rider's heel and used to urge a horse onward
v. incite or stimulate"
trample,"n. the sound of heavy treading or stomping
v. injure by trampling or as if by trampling"
usage,n. the customary manner in which a language (or a form of a language) is spoken or written
degenerate,"n a person whose behavior deviates from what is acceptable especially in sexual behavior
v grow worse
s unrestrained by convention or morality"
diminish,"v. lessen the authority, dignity, or reputation of"
distinct,"s. (often followed by `from') not alike; different in nature or quality
a. easy to perceive; especially clearly outlined
s. recognizable; marked"
ethical,"a. of or relating to the philosophical study of ethics
a. conforming to accepted standards of social or professional behavior
s. adhering to ethical and moral principles"
ethnic,n. a person who is a member of an ethnic group
exclusion,n. the state of being excluded
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
fading,"n weakening in force or intensity
v become less clearly visible or distinguishable; disappear gradually or seemingly
v lose freshness, vigor, or vitality
v disappear gradually
v become feeble"
fierce,s. marked by extreme intensity of emotions or convictions; inclined to react violently; fervid
heritage,n. practices that are handed down from the past by tradition
import,"n. commodities (goods or services) bought from a foreign country
n. an imported person brought from a foreign country
v. bring in from abroad
v. transfer (electronic data) into a database or document"
integration,"n. the action of incorporating a racial or religious group into a community
n. an operation used in the calculus whereby the integral of a function is determined"
involve,"v. connect closely and often incriminatingly
v. engage as a participant
v. contain as a part
v. occupy or engage the interest of"
merger,"n the combination of two or more commercial companies
n an occurrence that involves the production of a union"
outnumber,v. be larger in number
outweigh,v. be heavier than
perpetuate,v. cause to continue or prevail
preservation,"n. the activity of protecting something from loss or danger
n. the condition of being (well or ill) preserved
n. a process that saves organic substances from decay"
abate,v. become less in amount or intensity
compelling,"s. driving or forcing
s. tending to persuade by forcefulness of argument"
compulsion,"n. an urge to do or say something that might be better left undone or unsaid
n. an irrational motive for performing trivial or repetitive actions, even against your will
n. using force to cause something to occur"
contravene,"v go against, as of rules and laws
v deny the truth of"
eschew,v avoid and stay away from deliberately; stay clear of
forefront,n. the part in the front or nearest the viewer
gospel truth,none
gratifying,s. pleasing to the mind or feeling
alacrity,n. liveliness and eagerness
consensus,n. agreement in the judgment or opinion reached by a group as a whole
head-on,"s. characterized by direct opposition
r. in direct opposition; directly
r. with the front foremost"
head-way,n. forward movement
intractable,a. not tractable; difficult to manage or mold
self-opinionatedly,none
torment,"v. torment emotionally or mentally
v. treat cruelly"
unaccustomed,"a. not habituated to; unfamiliar with
s. not customary or usual"
understate,v. represent as less significant or important
quagmire,n a soft wet area of low-lying land that sinks underfoot
coach,"n. (sports) someone in charge of training an athlete or a team
n. a person who gives private instruction (as in singing, acting, etc.)
n. a carriage pulled by four horses with one driver
v. teach and supervise (someone); act as a trainer or coach (to), as in sports"
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
marginal,s. producing at a rate that barely covers production costs
infrastructure,"n. the basic structure or features of a system or organization
n. the stock of basic facilities and capital equipment needed for the functioning of a country or area"
displace,"v. cause to move, usually with force or pressure
v. terminate the employment of; discharge from an office or position"
delay,"n. time during which some action is awaited
n. the act of delaying; inactivity resulting in something being put off until a later time
v. cause to be slowed down or delayed
v. act later than planned, scheduled, or required"
pall,"n. burial garment in which a corpse is wrapped
v. become less interesting or attractive
v. cover with a pall
v. cause to become flat"
lull,"n. a period of calm weather
v. calm by deception
v. become quiet or less intensive"
complimentary,"a. conveying or resembling a compliment
s. costing nothing"
tedious,"s so lacking in interest as to cause mental weariness
s using or containing too many words"
radiation,"n. energy that is radiated or transmitted in the form of rays or waves or particles
n. the act of spreading outward from a central source
n. the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay
n. the spread of a group of organisms into new habitats"
illusion,"n. an erroneous mental representation
n. something many people believe that is false"
over-commercialized,none
supervision,n. management by overseeing the performance or operation of a person or group
addicted,a. compulsively or physiologically dependent on something habit-forming
defraud,v deprive of by deceit
digital,"a. displaying numbers rather than scale positions
a. relating to or performed with the fingers
a. of a circuit or device that represents magnitudes in digits"
distract,v. draw someone's attention away from something
drawn-out,"s. relatively long in duration; tediously protracted
s. (used of speech) uttered slowly with prolonged vowels"
convulse,"v. make someone convulse with laughter
v. be overcome with laughter
v. move or stir about violently"
coruscating,"v reflect brightly
v be lively or brilliant or exhibit virtuosity"
collateral,"n. a security pledged for the repayment of a loan
a. descended from a common ancestor but through different lines
s. serving to support or corroborate
s. accompany, concomitant"
