abroad,"s. in a foreign country
r. to or in a foreign country"
plausible,"a. apparently reasonable and valid, and truthful
s. given to or characterized by presenting specious arguments"
plaza,"n. a public square with room for pedestrians
n. mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace"
plenary,s. full in all respects
plentiful,s. existing in great number or quantity
plow,"n. a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
v. to break and turn over earth especially with a plow
v. move in a way resembling that of a plow cutting into or going through the soil"
plug,"n. blockage consisting of an object designed to fill a hole tightly
n. an electrical device with two or three pins that is inserted in a socket to make an electrical connection
v. fill or close tightly with or as if with a plug
v. persist in working hard"
plum,"n. any of several trees producing edible oval fruit having a smooth skin and a single hard stone
n. any of numerous varieties of small to medium-sized round or oval fruit having a smooth skin and a single pit
n. a highly desirable position or assignment"
plumber,n. a craftsman who installs and repairs pipes and fixtures and appliances
plural,"n. the form of a word that is used to denote more than one
a. composed of more than one member, set, or kind
a. grammatical number category referring to two or more items or units"
plus,"a. on the positive side or higher end of a scale
s. involving advantage or good"
pneumonia,n. respiratory disease characterized by inflammation of the lung parenchyma (excluding the bronchi) with congestion caused by viruses or bacteria or irritants
pod,"n. the vessel that contains the seeds of a plant (not the seeds themselves)
n. a several-seeded dehiscent fruit as e.g. of a leguminous plant
n. a group of aquatic mammals
n. a detachable container of fuel on an airplane"
poetic,"a. of or relating to poetry
s. characterized by romantic imagery
a. of or relating to poets
s. characteristic of or befitting poetry"
poetry,"n. literature in metrical form
n. any communication resembling poetry in beauty or the evocation of feeling"
poison,"n. any substance that causes injury or illness or death of a living organism
n. anything that harms or destroys
v. spoil as if by poison
v. kill with poison"
poisonous,"s. having the qualities or effects of a poison
s. not safe to eat
s. marked by deep ill will; deliberately harmful"
poker,"n. fire iron consisting of a metal rod with a handle; used to stir a fire
n. any of various card games in which players bet that they hold the highest-ranking hand"
politburo,n. the chief executive and political committee of the Communist Party
pollutant,n. waste matter that contaminates the water or air or soil
polo,"n. Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324)
n. a game similar to field hockey but played on horseback using long-handled mallets and a wooden ball"
polytechnic,n a technical school offering instruction in many industrial arts and applied sciences
pony,"n. a range horse of the western United States
n. an informal term for a racehorse
n. a literal translation used in studying a foreign language (often used illicitly)
n. any of various breeds of small gentle horses usually less than five feet high at the shoulder"
pope,"n. the head of the Roman Catholic Church
n. English poet and satirist (1688-1744)"
popularity,n. the quality of being widely admired or accepted or sought after
porcelain,n. ceramic ware made of a more or less translucent ceramic
porch,n. a structure attached to the exterior of a building often forming a covered entrance
pore,"n. any tiny hole admitting passage of a liquid (fluid or gas)
n. any small opening in the skin or outer surface of an animal"
pornography,n. creative activity (writing or pictures or films etc.) of no literary or artistic value other than to stimulate sexual desire
port,"n. a place (seaport or airport) where people and merchandise can enter or leave a country
n. sweet dark-red dessert wine originally from Portugal
n. an opening (in a wall or ship or armored vehicle) for firing through
v. put or turn on the left side, of a ship"
porter,"n. a person employed to carry luggage and supplies
n. United States writer of novels and short stories (1890-1980)
n. United States composer and lyricist of musical comedies (1891-1946)
n. United States writer of short stories whose pen name was O. Henry (1862-1910)"
positive,"n. the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution
n. a film showing a photographic image whose tones correspond to those of the original subject
a. characterized by or displaying affirmation or acceptance or certainty etc.
a. indicating existence or presence of a suspected condition or pathogen"
possession,"n. the act of having and controlling property
n. anything owned or possessed
n. being controlled by passion or the supernatural
n. a territory that is controlled by a ruling state"
postage,"n. the charge for mailing something
n. a small adhesive token stuck on a letter or package to indicate that that postal fees have been paid"
poster,n. a sign posted in a public place as an advertisement
pottery,"n. ceramic ware made from clay and baked in a kiln
n. the craft of making earthenware
n. a workshop where clayware is made"
poultry,n. flesh of chickens or turkeys or ducks or geese raised for food
practical,"a. concerned with actual use or practice
s. having or put to a practical purpose or use"
practitioner,n. someone who practices a learned profession
prairie,n. a treeless grassy plain
pram,n a small vehicle with four wheels in which a baby or child is pushed around
prawn,"n. any of various edible decapod crustaceans
n. shrimp-like decapod crustacean having two pairs of pincers; most are edible
v. fish for prawns"
precedent,"n. an example that is used to justify similar occurrences at a later time
n. a subject mentioned earlier (preceding in time)
s. preceding in time, order, or significance"
precious,"s. of high worth or cost
r. extremely"
precis,v. make a summary (of)
prefer,"v. like better; value more highly
v. promote over another
v. give preference to one creditor over another"
preference,"n. a strong liking
n. the right or chance to choose
n. grant of favor or advantage to one over another (especially to a country or countries in matters of international trade, such as levying duties)"
prefix,"n. an affix that is added in front of the word
v. attach a prefix to"
pregnant,a. carrying developing offspring within the body or being about to produce new life
premier,"v. be performed for the first time
v. perform a work for the first time
s. first in rank or degree
s. preceding all others in time"
preparatory,s. preceding and preparing for something
preposition,"n. a function word that combines with a noun or pronoun or noun phrase to form a prepositional phrase that can have an adverbial or adjectival relation to some other word
n. (linguistics) the placing of one linguistic element before another (as placing a modifier before the word it modifies in a sentence or placing an affix before the base to which it is attached)"
preschool,n. an educational institution for children too young for elementary school
prescription,"n. directions prescribed beforehand; the action of prescribing authoritative rules or directions
n. written instructions for an optician on the lenses for a given person
n. written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient
a. available only with a doctor's written prescription"
preservation,"n. the activity of protecting something from loss or danger
n. the condition of being (well or ill) preserved
n. a process that saves organic substances from decay"
presidential,"a. relating to a president or presidency
a. befitting a president"
prestige,n. a high standing achieved through success or influence or wealth etc.
prestigious,s. exerting influence by reason of high status or prestige
pretend,v. put forward a claim and assert right or possession of
prevention,n. the act of preventing
previous,"s. just preceding something else in time or order
s. too soon or too hasty"
priest,"n. a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders
n. a person who performs religious duties and ceremonies in a non-Christian religion"
principle,"n. a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
n. a rule or standard especially of good behavior
n. a basic truth or law or assumption
n. a rule or law concerning a natural phenomenon or the function of a complex system"
privacy,"n. the quality of being secluded from the presence or view of others
n. the condition of being concealed or hidden"
process,"n. (psychology) the performance of some composite cognitive activity; an operation that affects mental contents
n. a mental process that you are not directly aware of
n. a natural prolongation or projection from a part of an organism either animal or plant
n. a sustained phenomenon or one marked by gradual changes through a series of states"
procession,n. the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation
producer,"n. someone who finds financing for and supervises the making and presentation of a show (play or film or program or similar work)
n. something that produces"
productive,"a. producing or capable of producing (especially abundantly)
s. yielding positive results"
productivity,n. (economics) the ratio of the quantity and quality of units produced to the labor per unit of time
professional,"n. a person engaged in one of the learned professions
n. an athlete who plays for pay
a. engaged in a profession or engaging in as a profession or means of livelihood
a. of or relating to or suitable as a profession"
proficiency,"n. the quality of having great facility and competence
n. skillfulness in the command of fundamentals deriving from practice and familiarity"
project,"n. a planned undertaking
v. communicate vividly
v. transfer (ideas or principles) from one domain into another
v. project on a screen"
promote,"v. contribute to the progress or growth of
v. give a promotion to or assign to a higher position
v. be changed for a superior chess or checker piece
v. change a pawn for a better piece by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it to the row closest to your opponent"
promotion,"n. a message issued in behalf of some product or cause or idea or person or institution
n. act of raising in rank or position
n. encouragement of the progress or growth or acceptance of something"
pronoun,n. a function word that is used in place of a noun or noun phrase
prop,n. a support placed beneath or against something to keep it from shaking or falling
property,"n. something owned; any tangible or intangible possession that is owned by someone; 
n. a basic or essential attribute shared by all members of a class
n. a construct whereby objects or individuals can be distinguished
n. any movable articles or objects used on the set of a play or movie"
prophet,"n. an authoritative person who divines the future
n. someone who speaks by divine inspiration; someone who is an interpreter of the will of God"
proportional,"n. one of the quantities in a mathematical proportion
s. properly related in size or degree or other measurable characteristics; usually followed by `to'
s. having a constant ratio"
proposal,"n. something proposed (such as a plan or assumption)
n. the act of making a proposal"
prose,"n. ordinary writing as distinguished from verse
n. matter of fact, commonplace, or dull expression"
prosecution,"n. the institution and conduct of legal proceedings against a defendant for criminal behavior
n. the lawyers acting for the state to put the case against the defendant"
prostitution,n. offering sexual intercourse for pay
protective,"a. intended or adapted to afford protection of some kind
s. showing care
s. (usually followed by `of') solicitously caring or mindful"
protein,n. any of a large group of nitrogenous organic compounds that are essential constituents of living cells; consist of polymers of amino acids; essential in the diet of animals for growth and for repair of tissues; can be obtained from meat and eggs and milk and legumes
provocation,n. needed encouragement
provocative,"a. serving or tending to provoke, excite, or stimulate; stimulating discussion or exciting controversy
s. exciting sexual desire"
psychiatry,n. the branch of medicine dealing with the diagnosis and treatment of mental disorders
psychological,"s. mental or emotional as opposed to physical in nature
a. of or relating to or determined by psychology"
psychology,n. the science of mental life
pudding,"n. any of various soft thick unsweetened baked dishes
n. (British) the dessert course of a meal (`pud' is used informally)
n. any of various soft sweet desserts thickened usually with flour and baked or boiled or steamed"
puff,"n. a short light gust of air
n. a light inflated pastry or puff shell
n. exaggerated praise (as for promotional purposes)
n. a slow inhalation (as of tobacco smoke)"
pulp,"n. any soft or soggy mass
n. a soft moist part of a fruit
n. a mixture of cellulose fibers
n. an inexpensive magazine printed on poor quality paper"
pulse,"n. the rhythmic contraction and expansion of the arteries with each beat of the heart
n. the rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health
n. edible seeds of various pod-bearing plants (peas or beans or lentils etc.)
v. produce or modulate (as electromagnetic waves) in the form of short bursts or pulses or cause an apparatus to produce pulses"
punctual,a. acting or arriving or performed exactly at the time appointed
punctuation,"n. something that makes repeated and regular interruptions or divisions
n. the marks used to clarify meaning by indicating separation of words into sentences and clauses and phrases
n. the use of certain marks to clarify meaning of written material by grouping words grammatically into sentences and clauses and phrases"
purchase,"n. the acquisition of something for payment
n. something acquired by purchase
n. a means of exerting influence or gaining advantage"
purity,"n. being undiluted or unmixed with extraneous material
n. the state of being unsullied by sin or moral wrong; lacking a knowledge of evil"
pursuit,"n. the act of pursuing in an effort to overtake or capture
n. a search for an alternative that meets cognitive criteria"
quake,"n shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
v shake with fast, tremulous movements
v shake with seismic vibrations"
qualification,"n. an attribute that must be met or complied with and that fits a person for something
n. the act of modifying or changing the strength of some idea"
qualified,"a. meeting the proper standards and requirements and training for an office or position or task
a. limited or restricted; not absolute"
qualitative,"a. involving distinctions based on qualities
a. relating to or involving comparisons based on qualities"
quantify,"v. use as a quantifier
v. express as a number or measure or quantity"
quantitative,"a. expressible as a quantity or relating to or susceptible of measurement
a. relating to the measurement of quantity
a. (of verse) having a metric system based on relative duration of syllables"
quart,"n. a United States liquid unit equal to 32 fluid ounces; four quarts equal one gallon
n. a British imperial capacity measure (liquid or dry) equal to 2 pints or 1.136 liters
n. a United States dry unit equal to 2 pints or 67.2 cubic inches"
quay,n. wharf usually built parallel to the shoreline
query,"n an instance of questioning
v pose a question"
questionnaire,n. a form containing a set of questions; submitted to people to gain statistical information
questionable,"a. subject to question
s. able to be refuted"
quota,"n. a prescribed number
n. a proportional share assigned to each participant
n. a limitation on imports"
quotation,"n. a passage or expression that is quoted or cited
n. a statement of the current market price of a security or commodity
n. the practice of quoting from books or plays etc."
racecourse,n a course over which races are run
racial,"a. of or related to genetically distinguished groups of people
a. of or characteristic of race or races or arising from differences among groups"
racing,n. the sport of engaging in contests of speed
radial,"n. pneumatic tire that has radial-ply casing
a. relating to or near the radius
a. relating to or moving along or having the direction of a radius"
radiation,"n. energy that is radiated or transmitted in the form of rays or waves or particles
n. the act of spreading outward from a central source
n. the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay
n. the spread of a group of organisms into new habitats"
radiator,"n. any object that radiates energy
n. heater consisting of a series of pipes for circulating steam or hot water to heat rooms or buildings
n. a mechanism consisting of a metal honeycomb through which hot fluids circulate; heat is transferred from the fluid through the honeycomb to the airstream that is created either by the motion of the vehicle or by a fan"
radicalism,n. the political orientation of those who favor revolutionary change in government and society
radioactivity,n the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay
radiochemical,none
ragged,"s. being or dressed in clothes that are worn or torn
s. worn out from stress or strain
s. having an irregular outline"
raider,n. a corporate investor who intends to take over a company by buying a controlling interest in its stock and installing new management
rainproof,s. not permitting the passage of water
raisin,n. dried grape
ram,"n. a tool for driving or forcing something by impact
n. uncastrated adult male sheep
v. strike or drive against with a heavy impact"
ramp,"n. an inclined surface connecting two levels
n. North American perennial having a slender bulb and whitish flowers
n. a movable staircase that passengers use to board or leave an aircraft
v. behave violently, as if in state of a great anger"
ranch,"n. farm consisting of a large tract of land along with facilities needed to raise livestock (especially cattle)
v. manage or run a ranch"
ranger,"n a member of the Texas state highway patrol; formerly a mounted lawman who maintained order on the frontier
n an official who is responsible for managing and protecting an area of forest
n a member of a military unit trained as shock troops for hit-and-run raids"
rascal,"n a deceitful and unreliable scoundrel
n one who is playfully mischievous"
rating,n. standing or position on a scale
ration,"n. the food allowance for one day (especially for service personnel)
n. a fixed portion that is allotted (especially in times of scarcity)
v. restrict the consumption of a relatively scarce commodity, as during war
v. distribute in rations, as in the army"
razor,"n. edge tool used in shaving
v. shave with a razor"
reactionary,"n. an extreme conservative; an opponent of progress or liberalism
s. extremely conservative"
realism,"n. the attribute of accepting the facts of life and favoring practicality and literal truth
n. (philosophy) the philosophical doctrine that physical objects continue to exist when not perceived"
realistic,"a. aware or expressing awareness of things as they really are
a. of or relating to the philosophical doctrine of realism"
reality,"n. the state of being actual or real
n. the state of the world as it really is rather than as you might want it to be
n. the quality possessed by something that is real"
realm,"n a domain in which something is dominant
n the domain ruled by a king or queen
n a knowledge domain that you are interested in or are communicating about"
reappear,v. appear again
rearrange,v. put into a new order or arrangement
reasonable,"a. showing reason or sound judgment
s. marked by sound judgment"
reassemble,"v. assemble once again, after taking something apart"
reassessment,n a new appraisal or evaluation
receipt,"n. an acknowledgment (usually tangible) that payment has been made
v. mark or stamp as paid"
receptionist,n. a secretary whose main duty is to answer the telephone and receive visitors
receptive,"s. open to arguments, ideas, or change
a. ready or willing to receive favorably
s. able to absorb liquid (not repellent)"
recession,"n. the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
n. the withdrawal of the clergy and choir from the chancel to the vestry at the end of a church service
n. the act of ceding back"
recipe,n. directions for making something
recital,"n. performance of music or dance especially by soloists
n. a detailed statement giving facts and figures
n. a detailed account or description of something"
recitation,"n. written matter that is recited from memory
n. a public instance of reciting or repeating (from memory) something prepared in advance"
recognizable,"s. easily perceived; easy to become aware of
s. capable of being recognized"
recollection,n. something recalled to the mind
recommendation,"n. something (as a course of action) that is recommended as advisable
n. something that recommends (or expresses commendation of) a person or thing as worthy or desirable
n. any quality or characteristic that gains a person a favorable reception or acceptance or admission"
reconnaissance,n. the act of reconnoitring (especially to gain information about an enemy or potential enemy)
reconstruct,"v. reassemble mentally
v. cause somebody to adapt or reform socially or politically"
recovery,"n. return to an original state
n. the act of regaining or saving something lost (or in danger of becoming lost)"
rectangle,n. a parallelogram with four right angles
rectangular,s. having four right angles
recurrence,n. happening again (especially at regular intervals)
recycle,"v. cause to repeat a cycle
v. use again after processing"
redistribute,v. distribute anew
reduce,"v. cut down on; make a reduction in
v. make less complex
v. bring to humbler or weaker state or condition
v. simplify the form of a mathematical equation of expression by substituting one term for another"
reduction,"n. any process in which electrons are added to an atom or ion (as by removing oxygen or adding hydrogen); always occurs accompanied by oxidation of the reducing agent
n. the act of reducing complexity"
reed,"n. tall woody perennial grasses with hollow slender stems especially of the genera Arundo and Phragmites
n. United States journalist who reported on the October Revolution from Petrograd in 1917; founded the Communist Labor Party in America in 1919; is buried in the Kremlin in Moscow (1887-1920)
n. United States physician who proved that yellow fever is transmitted by mosquitoes (1851-1902)
n. a vibrator consisting of a thin strip of stiff material that vibrates to produce a tone when air streams over it"
referee,"n. (sports) the chief official (as in boxing or American football) who is expected to ensure fair play
n. an attorney appointed by a court to investigate and report on a case
v. be a referee or umpire in a sports competition
v. evaluate professionally a colleague's work"
refined,"a. (used of persons and their behavior) cultivated and genteel
a. freed from impurities by processing"
refinement,"n. the result of improving something
n. the quality of excellence in thought and manners and taste"
refinery,n. an industrial plant for purifying a crude substance
reflex,n. an automatic instinctive unlearned reaction to a stimulus
reform,"n. a change for the better as a result of correcting abuses
n. a campaign aimed to correct abuses or malpractices
n. self-improvement in behavior or morals by abandoning some vice
v. make changes for improvement in order to remove abuse and injustices"
refusal,"n. the act of refusing
n. a message refusing to accept something that is offered"
regain,"v get or find back; recover the use of
v come upon after searching; find the location of something that was missed or lost"
regency,"n. the period of time during which a regent governs
n. the period from 1811-1820 when the Prince of Wales was regent during George III's periods of insanity
n. the office of a regent"
region,"n. the extended spatial location of something
n. a large indefinite location on the surface of the Earth
n. the approximate amount of something (usually used prepositionally as in `in the region of')
n. a knowledge domain that you are interested in or are communicating about"
registration,"n. the act of enrolling
n. the body of people (such as students) who register or enroll at the same time
n. a document certifying an act of registering
n. (music) the sound property resulting from a combination of organ stops used to perform a particular piece of music; the technique of selecting and adjusting organ stops"
regular,"n. a regular patron
n. a soldier in the regular army
n. a dependable follower (especially in party politics)
n. a garment size for persons of average height and weight"
regulation,"n. an authoritative rule
n. the state of being controlled or governed
n. (embryology) the ability of an early embryo to continue normal development after its structure has been somehow damaged or altered
n. the act of bringing to uniformity; making regular"
rehearsal,"n. a practice session in preparation for a public performance (as of a play or speech or concert)
n. (psychology) a form of practice; repetition of information (silently or aloud) in order to keep it in short-term memory"
rejection,"n. the act of rejecting something
n. the state of being rejected
n. (medicine) an immunological response that refuses to accept substances or organisms that are recognized as foreign"
relate,"v. give an account of
v. be in a relationship with
v. have or establish a relationship to"
relevance,n. the relation of something to the matter at hand
relevant,a. having a bearing on or connection with the subject at issue
reliable,a. worthy of reliance or trust
reliance,"n. certainty based on past experience
n. the state of relying on something"
relic,n. an antiquity that has survived from the distant past
religious,"n. a member of a religious order who is bound by vows of poverty and chastity and obedience
s. concerned with sacred matters or religion or the church
a. having or showing belief in and reverence for a deity
a. of or relating to clergy bound by monastic vows"
reluctant,"s. disinclined to become involved
s. not eager"
rely,v have confidence or faith in
remarkable,s. unusual or striking
remind,v. put in the mind of someone
remote,"n a device that can be used to control a machine or apparatus from a distance
s located far away spatially
s very unlikely
s separate or apart in time
s inaccessible and sparsely populated; 
a far apart in relevance or relationship or kinship"
removable,a. capable of being removed or taken away or dismissed
removal,"n. the act of removing
n. dismissal from office"
remove,"n. degree of figurative distance or separation; 
v. remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
v. remove from a position or an office
v. shift the position or location of, as for business, legal, educational, or military purposes"
renaissance,n. the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries
renewal,n. the act of renewing
renovation,"n. the act of improving by renewing and restoring
n. the state of being restored to its former good condition"
rent,"n. a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service
n. the act of rending or ripping or splitting something
v. let for money
v. hold under a lease or rental agreement; of goods and services"
rental,"n. the act of paying for the use of something (as an apartment or house or car)
a. available to rent or lease
a. of or relating to rent"
repairable,a. Reparable.
repertory,"n. a storehouse where a stock of things is kept
n. the entire range of skills or aptitudes or devices used in a particular field or occupation"
repetition,"n. the act of doing or performing again
n. the repeated use of the same word or word pattern as a rhetorical device"
repetitive,a. characterized by repetition
replace,"v. substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected)
v. put something back where it belongs"
representative,"n. a person who represents others
s. serving to represent or typify
a. standing for something else
s. being or characteristic of government by representation in which citizens exercise power through elected officers and representatives"
reprint,v. print anew
reproduce,"v. make a copy or equivalent of
v. have offspring or produce more individuals of a given animal or plant
v. recreate a sound, image, idea, mood, atmosphere, etc."
reptile,"n. any cold-blooded vertebrate of the class Reptilia including tortoises, turtles, snakes, lizards, alligators, crocodiles, and extinct forms"
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
request,"n. a formal message requesting something that is submitted to an authority
n. the verbal act of requesting
v. express the need or desire for; ask for
v. ask (a person) to do something"
requirement,n. required activity
resentful,a. full of or marked by resentment or indignant ill will
resentment,n. a feeling of deep and bitter anger and ill-will
reservation,"n. a district that is reserved for particular purpose
n. a statement that limits or restricts some claim
n. the written record or promise of an arrangement by which accommodations are secured in advance
n. something reserved in advance (as a hotel accommodation or a seat on a plane etc.)"
reservoir,"n. a large or extra supply of something
n. lake used to store water for community use
n. tank used for collecting and storing a liquid (as water or oil)
n. anything (a person or animal or plant or substance) in which an infectious agent normally lives and multiplies"
residence,"n. any address at which you dwell more than temporarily
n. the official house or establishment of an important person (as a sovereign or president)"
resident,"n. someone who lives at a particular place for a prolonged period or who was born there
a. living in a particular place"
residential,"a. used or designed for residence or limited to residences
a. of or relating to or connected with residence"
residual,"n. (often plural) a payment that is made to a performer or writer or director of a television show or commercial that is paid for every repeat showing
a. relating to or indicating a remainder"
resistance,"n. the action of opposing something that you disapprove or disagree with
n. any mechanical force that tends to retard or oppose motion
n. the military action of resisting the enemy's advance
n. the capacity of an organism to defend itself against harmful environmental agents"
resistant,s. impervious to being affected
resistor,n. an electrical device that resists the flow of electrical current
resolution,"n. a formal expression by a meeting; agreed to by a vote
n. finding a solution to a problem
n. analysis into clear-cut components
n. (computer science) the number of pixels per square inch on a computer-generated display; the greater the resolution, the better the picture"
resonance,"n. an excited state of a stable particle causing a sharp maximum in the probability of absorption of electromagnetic radiation
n. a vibration of large amplitude produced by a relatively small vibration near the same frequency of vibration as the natural frequency of the resonating system
n. the quality imparted to voiced speech sounds by the action of the resonating chambers of the throat and mouth and nasal cavities"
resourceful,s. having inner resources; adroit or imaginative
respectable,a. characterized by socially or conventionally acceptable morals
respectful,"a. full of or exhibiting respect
s. feeling or manifesting veneration"
respondent,"n. the codefendant (especially in a divorce proceeding) who is accused of adultery with the corespondent
n. someone who responds"
response,"n. a result
n. a phrase recited or sung by the congregation following a versicle by the priest or minister
n. the manner in which an electrical or mechanical device responds to an input signal or a range of input signals"
responsive,"a. containing or using responses; alternating
a. readily reacting or replying to people or events or stimuli; showing emotion"
restoration,"n. the reign of Charles II in England; 1660-1685
n. the act of restoring something or someone to a satisfactory state
n. some artifact that has been restored or reconstructed
n. a model that represents the landscape of a former geological age or that represents and extinct animal etc."
restraint,"n. the act of controlling by restraining someone or something
n. discipline in personal and social activities
n. a rule or condition that limits freedom
n. a device that retards something's motion"
restrictive,"a. serving to restrict
s. (of tariff) protective of national interests by restricting imports"
retailer,n. a merchant who sells goods at retail
retina,n. the innermost light-sensitive membrane covering the back wall of the eyeball; it is continuous with the optic nerve
retire,"v. go into retirement; stop performing one's work or withdraw from one's position
v. withdraw from active participation
v. withdraw from circulation or from the market, as of bills, shares, and bonds
v. make (someone) retire"
retirement,"n. the state of being retired from one's business or occupation
n. withdrawal from your position or occupation
n. withdrawal for prayer and study and meditation"
reunion,"n. a party of former associates who have come together again
n. the act of coming together again"
reunite,v. have a reunion; unite again
revaluation,n a new appraisal or evaluation
revelation,"n. an enlightening or astonishing disclosure
n. communication of knowledge to man by a divine or supernatural agency
n. the last book of the New Testament; contains visionary descriptions of heaven and of conflicts between good and evil and of the end of the world; attributed to Saint John the Apostle"
reversal,"n. a change from one state to the opposite state
n. turning in an opposite direction or position
n. a decision to reverse an earlier decision"
reversible,"n. a garment (especially a coat) that can be worn inside out (with either side of the cloth showing)
a. capable of reversing or being reversed
a. capable of being reversed or used with either side out"
revision,"n. the act of revising or altering (involving reconsideration and modification)
n. the act of rewriting something"
revival,"n. bringing again into activity and prominence
n. an evangelistic meeting intended to reawaken interest in religion"
revolver,n. a pistol with a revolving cylinder (usually having six chambers for bullets)
reward,"n. payment made in return for a service rendered
n. an act performed to strengthen approved behavior
n. the offer of money for helping to find a criminal or for returning lost property
v. act or give recompense in recognition of someone's behavior or actions"
rhetorical,"a. of or relating to rhetoric
a. given to rhetoric, emphasizing style at the expense of thought"
rheumatism,n. any painful disorder of the joints or muscles or connective tissues
rhino,n massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout
rhyme,"n. correspondence in the sounds of two or more lines (especially final sounds)
v. compose rhymes
v. be similar in sound, especially with respect to the last syllable"
rhythm,"n. the basic rhythmic unit in a piece of music
n. recurring at regular intervals
n. the arrangement of spoken words alternating stressed and unstressed elements"
rhythmical,a. recurring with measured regularity
rhythmic,a recurring with measured regularity
rib,"n. support resembling the rib of an animal
n. any of the 12 pairs of curved arches of bone extending from the spine to or toward the sternum in humans (and similar bones in most vertebrates)
n. cut of meat including one or more ribs
n. a teasing remark"
rid,v. relieve from
ridiculous,"s inspiring scornful pity
s incongruous; inviting ridicule
s broadly or extravagantly humorous; resembling farce"
ripe,"a. fully developed or matured and ready to be eaten or used
s. fully prepared or eager
s. at the highest point of development especially in judgment or knowledge"
rite,n. an established ceremony prescribed by a religion
rivalry,n the act of competing as for profit or a prize
robbery,n. larceny by threat of violence
robe,n. any loose flowing garment
robin,"n. small Old World songbird with a reddish breast
n. large American thrush having a rust-red breast and abdomen"
rod,"n. a long thin implement made of metal or wood
n. any rod-shaped bacterium
n. a visual receptor cell that is sensitive to dim light"
rooster,n adult male chicken
rosy,"s reflecting optimism
s having the pinkish flush of health
s of blush color
s presaging good fortune"
rotary,a. relating to or characterized by rotation
rotten,s. having decayed or disintegrated; usually implies foulness
rower,n someone who rows a boat
ruby,"n. a transparent piece of ruby that has been cut and polished and is valued as a precious gem
n. a transparent deep red variety of corundum; used as a gemstone and in lasers"
rude,"s socially incorrect in behavior
s (of persons) lacking in refinement or grace
a lacking civility or good manners
s (used especially of commodities) being unprocessed or manufactured using only simple or minimal processes
s belonging to an early stage of technical development; characterized by simplicity and (often) crudeness"
rug,n. floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
runner-up,n. the competitor who finishes second
runway,"n. a chute down which logs can slide
n. a narrow platform extending from the stage into the audience in a theater or nightclub etc.
n. a strip of level paved surface where planes can take off and land"
rural,"a. living in or characteristic of farming or country life
a. of or relating to the countryside as opposed to the city"
rust,"n. a red or brown oxide coating on iron or steel caused by the action of oxygen and moisture
n. a plant disease that produces a reddish-brown discoloration of leaves and stems; caused by various rust fungi
n. the formation of reddish-brown ferric oxides on iron by low-temperature oxidation in the presence of water
n. any of various fungi causing rust disease in plants"
rustic,n. an unsophisticated country person
rusty,s. covered with or consisting of rust
ruthless,s without mercy or pity
rye,"n. the seed of the cereal grass
n. hardy annual cereal grass widely cultivated in northern Europe where its grain is the chief ingredient of black bread and in North America for forage and soil improvement
n. whiskey distilled from rye or rye and malt"
sacred,"a. concerned with religion or religious purposes
s. worthy of respect or dedication
s. (often followed by `to') devoted exclusively to a single use or purpose or person"
saint,"n. a person who has died and has been declared a saint by canonization
n. person of exceptional holiness"
sake,"n. a reason for wanting something done
n. Japanese alcoholic beverage made from fermented rice; usually served hot
n. the purpose of achieving or obtaining"
saliva,n. a clear liquid secreted into the mouth by the salivary glands and mucous glands of the mouth; moistens the mouth and starts the digestion of starches
salmon,"n. any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn
n. a tributary of the Snake River in Idaho
n. flesh of any of various marine or freshwater fish of the family Salmonidae
n. a pale pinkish orange color"
salon,"n. gallery where works of art can be displayed
n. a shop where hairdressers and beauticians work
n. elegant sitting room where guests are received"
saloon,"n a room or establishment where alcoholic drinks are served over a counter
n tavern consisting of a building with a bar and public rooms; often provides light meals
n a car that is closed and that has front and rear seats and two or four doors"
salute,"n. an act of honor or courteous recognition
n. a formal military gesture of respect
n. an act of greeting with friendly words and gestures like bowing or lifting the hat
v. greet in a friendly way"
sampan,n. an Asian skiff usually propelled by two oars
sanatorium,n. a hospital for recuperation or for the treatment of chronic diseases
sandal,n. a shoe consisting of a sole fastened by straps to the foot
