abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
unsubstantiated,s unsupported by other evidence
untainted,s (of reputation) free from blemishes
untenable,s (of theories etc) incapable of being defended or justified
unwarranted,"s incapable of being justified or explained
s without a basis in reason or fact
s lacking justification or authorization"
unwieldy,"a. difficult to use or handle or manage because of size or weight or shape
s. difficult to work or manipulate"
updraft,n. a strong upward air current
upheaval,n. (geology) a rise of land to a higher elevation (as in the process of mountain building)
upholstered,"v provide furniture with padding, springs, webbing, and covers"
upstate,r. in or toward the northern parts of a state
upstream,a. in the direction against a stream's current
upsurge,"n a sudden forceful flow
n a sudden or abrupt strong increase"
urbanize,"v. make more industrial or city-like
v. impart urban habits, ways of life, or responsibilities upon"
urchin,n. poor and often mischievous city child
urine,n. liquid excretory product
utensil,n. an implement for practical use (especially in a household)
utilize,v. convert (from an investment trust to a unit trust)
vacant,"s. void of thought or knowledge
s. without an occupant or incumbent"
vaccine,n. immunogen consisting of a suspension of weakened or dead pathogenic cells injected in order to stimulate the production of antibodies
vacuum,"n. the absence of matter
n. a region that is devoid of matter
n. an electrical home appliance that cleans by suction
v. clean with a vacuum cleaner"
vague,"s not clearly understood or expressed
a not precisely limited, determined, or distinguished
s lacking clarity or distinctness"
validity,n. the quality of having legal force or effectiveness
variable,"n. something that is likely to vary; something that is subject to variation
n. a quantity that can assume any of a set of values
n. a symbol (like x or y) that is used in mathematical or logical expressions to represent a variable quantity
a. liable to or capable of change"
varsity,"n. a British abbreviation of `university'; usually refers to Oxford University or Cambridge University
n. a team representing a college or university"
vegetarian,n. eater of fruits and grains and nuts; someone who eats no meat or fish or (often) any animal products
vegetation,"n. all the plant life in a particular region or period
n. the process of growth in plants
n. an abnormal growth or excrescence (especially a warty excrescence on the valves of the heart)
n. inactivity that is passive and monotonous, comparable to the inactivity of plant life"
vegetative,"a. of or relating to an activity that is passive and monotonous
s. relating to involuntary bodily functions"
vein,"n. a blood vessel that carries blood from the capillaries toward the heart
n. a distinctive style or manner
n. any of the vascular bundles or ribs that form the branching framework of conducting and supporting tissues in a leaf or other plant organ
n. a layer of ore between layers of rock"
velocity,n distance travelled per unit time
venom,"n. toxin secreted by animals; secreted by certain snakes and poisonous insects (e.g., spiders and scorpions)"
venture,"n. any venturesome undertaking especially one with an uncertain outcome
n. a commercial undertaking that risks a loss but promises a profit
v. proceed somewhere despite the risk of possible dangers
v. put at risk"
verge,"n. the limit beyond which something happens or changes
n. a grass border along a road
v. border on; come close to"
verify,"v. confirm the truth of
v. attach or append a legal verification to (a pleading or petition)"
veritable,"s often used as intensifiers
s not counterfeit or copied"
versatility,n. having a wide variety of skills
version,"n. an interpretation of a matter from a particular viewpoint
n. something a little different from others of the same type
n. manual turning of a fetus in the uterus (usually to aid delivery)"
vertebrate,"n. animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium
a. having a backbone or spinal column"
vessel,"n. a tube in which a body fluid circulates
n. a craft designed for water transportation
n. an object used as a container (especially for liquids)"
vestige,n an indication that something has been present
veteran,"n. a serviceman who has seen considerable active service
n. a person who has served in the armed forces
n. an experienced person who has been through many battles; someone who has given long service"
viability,"n. (of living things) capable of normal growth and development
n. capable of being done in a practical and useful way"
viable,s. capable of life or normal growth and development
vicinity,n. a surrounding or nearby region
vicious,"s (of persons or their actions) able or disposed to inflict pain or suffering
s having the nature of vice
s bringing or deserving severe rebuke or censure
s marked by deep ill will; deliberately harmful"
vine,"n. a plant with a weak stem that derives support from climbing, twining, or creeping along a surface"
violate,"v. fail to agree with; be in violation of; as of rules or patterns
v. destroy"
virtuoso,n. a musician who is a consummate master of technique and artistry
virtuous,a. morally excellent
viscosity,n. resistance of a liquid to shear forces (and hence to flow)
visual,"a relating to or using sight
s visible; give me the ocular proof""- Shakespeare"
vocal,"a. relating to or designed for or using the singing voice
a. having or using the power to produce speech or sound
s. full of the sound of voices"
volatile,"n. a volatile substance; a substance that changes readily from solid or liquid to a vapor
a. evaporating readily at normal temperatures and pressures
s. tending to vary often or widely"
vortices,"n the shape of something rotating rapidly
n a powerful circular current of water (usually the result of conflicting tides)"
wage,n. something that remunerates
warbler,"n. a singer; usually a singer who adds embellishments to the song
n. a small active songbird"
warrior,n. someone engaged in or experienced in warfare
wary,a. marked by keen caution and watchful prudence
welfare,"n governmental provision of economic assistance to persons in need
n something that aids or promotes well-being
n a contented state of being happy and healthy and prosperous"
well-being,n a contented state of being happy and healthy and prosperous
whim,"n a sudden desire
n an odd or fanciful or capricious idea"
whirl,"n. confused movement
n. the shape of something rotating rapidly
v. cause to spin
v. fly around"
whisker,n. a long stiff hair growing from the snout or brow of most mammals as e.g. a cat
wholesale,"n. the selling of goods to merchants; usually in large quantities for resale to consumers
v. sell in large quantities
r. at a wholesale price
r. on a large scale without careful discrimination"
wield,"v. have and exercise
v. handle effectively"
wig,"n. hairpiece covering the head and made of real or synthetic hair
n. British slang for a scolding"
withdraw,"v. pull back or move away or backward
v. remove (a commodity) from (a supply source)"
withstand,"v resist or confront with resistance
v stand up or offer resistance to somebody or something"
womb,n a hollow muscular organ in the pelvic cavity of females; contains the developing fetus
wrap,"n. cloak that is folded or wrapped around a person
n. a sandwich in which the filling is rolled up in a soft tortilla
v. arrange or fold as a cover or protection
v. crash into so as to coil around"
wreak,v cause to happen or to occur as a consequence
wreath,n. flower arrangement consisting of a circular band of foliage or flowers for ornamental purposes
wreck,"n. something or someone that has suffered ruin or dilapidation
n. a ship that has been destroyed at sea"
wrestle,"n. the act of engaging in close hand-to-hand combat
v. combat to overcome an opposing tendency or force
v. engage in deep thought, consideration, or debate
v. engage in a wrestling match"
y-axis,n. the vertical axis in a plane coordinate system
yeast,"n. a commercial leavening agent containing yeast cells; used to raise the dough in making bread and for fermenting beer or whiskey
n. any of various single-celled fungi that reproduce asexually by budding or division"
yen,n. the basic unit of money in Japan; equal to 100 sen
yield,"n. an amount of a product
v. be the cause or source of
v. give in, as to influence or pressure
v. bring in"
adulatory,s. obsequiously complimentary
ambivalence,n. mixed feelings or emotions
ambivalent,s. uncertain or unable to decide about what course to follow
amusement,n. a feeling of delight at being entertained
skeptical amusement,none
annoyance,"n. anger produced by some annoying irritation
n. something or someone that causes trouble; a source of unhappiness
n. the act of troubling or annoying someone"
appreciation,"n. understanding of the nature or meaning or quality or magnitude of something
n. an expression of gratitude
n. an increase in price or value"
apprehensive,"s. quick to understand
s. mentally upset over possible misfortune or danger etc
s. in fear or dread of possible evil or harm"
advocacy,n. active support of an idea or cause etc.; especially the act of pleading or arguing for something
fervent advocacy,none
anger,"n. a strong emotion; a feeling that is oriented toward some real or supposed grievance
n. the state of being angry
v. make angry
v. become angry"
indignant anger,none
astonishment,n. the feeling that accompanies something extremely surprising
perplexed astonishment,none
acceptance,"n. the state of being acceptable and accepted
n. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)
n. banking: a time draft drawn on and accepted by a bank
n. the act of taking something that is offered"
qualified acceptance,none
tentative acceptance,none
admiration,"n. a feeling of delighted approval and liking
n. a favorable judgment"
qualified admiration,none
approbation,"n. official approval
n. official recognition or approval"
qualified approbation,none
apprehension,"n. fearful expectation or anticipation
n. painful expectation
n. the act of apprehending (especially apprehending a criminal)"
slight apprehension,none
approval,"n. a feeling of liking something or someone good
n. acceptance as satisfactory
n. a message expressing a favorable opinion"
uncertain approval,none
approving,s. expressing or manifesting praise or approval
warmly approving,none
analytical,"a using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)
a of a proposition that is necessarily true independent of fact or experience"
annoyed,"s. aroused to impatience or anger
s. troubled persistently especially with petty annoyances"
bitter,"n. English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)
n. the taste experience when quinine or coffee is taken into the mouth
v. make bitter
s. very difficult to accept or bear"
cautious,"a. showing careful forethought; never making swift decisions""
s. avoiding excess"
concern,"n. something that interests you because it is important or affects you
n. an anxious feeling
n. a feeling of sympathy for someone or something
n. something or someone that causes anxiety; a source of unhappiness"
wary concern,none
concerned,"a. feeling or showing worry or solicitude
s. involved in or affected by or having a claim to or share in"
condescending,"v behave in a patronizing and condescending manner
v do something that one considers to be below one's dignity
v debase oneself morally, act in an undignified, unworthy, or dishonorable way
v treat condescendingly
s (used of behavior or attitude) characteristic of those who treat others with condescension"
contemptuous,s. expressing extreme contempt
critical,"a. marked by a tendency to find and call attention to errors and flaws
a. at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction
a. characterized by careful evaluation and judgment
s. urgently needed; absolutely necessary"
criticism,"n. disapproval expressed by pointing out faults or shortcomings
n. a serious examination and judgment of something
n. a written evaluation of a work of literature"
pointed criticism,none
studious criticism,none
cynical,s. believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others
defensive,"n. an attitude of defensiveness (especially in the phrase `on the defensive')
a. intended or appropriate for defending against or deterring aggression or attack
s. attempting to justify or defend in speech or writing"
deferential,s showing deference
denial,"n. the act of refusing to comply (as with a request)
n. the act of asserting that something alleged is not true
n. (psychiatry) a defense mechanism that denies painful thoughts"
limited denial,none
denunciatory,s containing warning of punishment
disappointed,"v fail to meet the hopes or expectations of
s disappointingly unsuccessful"
bitterly disappointed,none
disapproval,"n. a feeling of disliking something or what someone is doing
n. the expression of disapproval
n. the act of disapproving or condemning"
impatient disapproval,none
disapproving,s. expressing or manifesting disapproval
disbelief,"n doubt about the truth of something
n a rejection of belief"
complete disbelief,none
disdainful,s. having or showing arrogant superiority to and disdain of those one views as unworthy
harshly disdainful,none
disenchanted,a. freed from enchantment
disinterested,s. unaffected by self-interest
dismay,v. fill with apprehension or alarm; cause to be unpleasantly surprised
agitated dismay,none
dismissal,"n. official notice that you have been fired from your job
n. permission to go; the sending away of someone
n. the termination of someone's employment (leaving them free to depart)"
careful dismissal,none
distrustful,a. having or showing distrust
endorsement,"n. a promotional statement (as found on the dust jackets of books)
n. a signature that validates something
n. the act of endorsing"
whole hearted endorsement,none
enthusiastic,a. having or showing great excitement and interest
envious,s showing extreme cupidity; painfully desirous of another's advantages
frustrated,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly
s disappointingly unsuccessful"
hesitance,n. a feeling of diffidence and indecision about doing something
idealistic,"a of or relating to the philosophical doctrine of the reality of ideas
s of high moral or intellectual value; elevated in nature or style"
indifference,n. unbiased impartial unconcern
absolute indifference,none
complete indifference,none
indifferent,"s. showing no care or concern in attitude or action
s. fairly poor to not very good
s. marked by no especial liking or dislike or preference for one thing over another
s. characterized by a lack of partiality"
interest,"n. a sense of concern with and curiosity about someone or something
n. the power of attracting or holding one's attention (because it is unusual or exciting etc.)
n. a fixed charge for borrowing money; usually a percentage of the amount borrowed
n. (law) a right or legal share of something; a financial involvement with something"
mild interest,none
interested,a. having or showing interest; especially curiosity or fascination or concern
naive,"a. marked by or showing unaffected simplicity and lack of guile or worldly experience
s. inexperienced"
neutrality,"n. nonparticipation in a dispute or war
n. pH value of 7"
scrupulous neutrality,none
pragmatic,a. of or concerning the theory of pragmatism
prejudiced,"s. emanating from a person's emotions and prejudices
a. being biased or having a belief or attitude formed beforehand"
realistic,"a. aware or expressing awareness of things as they really are
a. of or relating to the philosophical doctrine of realism"
regard,"n. (usually plural) a polite expression of desire for someone's welfare
n. a feeling of friendship and esteem
v. look at attentively"
respectful regard,none
regret,"v. feel sad about the loss or absence of
v. decline formally or politely
v. express with regret"
relief,"n. the feeling that comes when something burdensome is removed or reduced
n. the condition of being comfortable or relieved (especially after being relieved of distress)
n. (law) redress awarded by a court
n. assistance in time of difficulty"
resigned,"v leave (a job, post, or position) voluntarily
v give up or retire from a position
v part with a possession or right
v accept as inevitable"
respect,"n. (usually preceded by `in') a detail or point
n. an attitude of admiration or esteem
v. regard highly; think much of
v. show respect towards"
unqualified respect,none
respectful,"a. full of or exhibiting respect
s. feeling or manifesting veneration"
scornful,s expressing extreme contempt
shocked,"v surprise greatly; knock someone's socks off
v strike with disgust or revulsion
v strike with horror or terror
v collide violently
v collect or gather into shocks
v subject to electrical shocks
v inflict a trauma upon
s struck with fear, dread, or consternation"
profoundly shocked,none
skepticism,"n doubt about the truth of something
n the disbelief in any claims of ultimate knowledge"
guarded skepticism,none
hostile skepticism,none
implied skepticism,none
mild skepticism,none
polite skepticism,none
spiteful,s showing malicious ill will and a desire to hurt; motivated by spite
supportive,a. furnishing support or assistance
sympathetic,"a. of or relating to the sympathetic nervous system
a. expressing or feeling or resulting from sympathy or compassion or friendly fellow feelings; disposed toward
a. (of characters in literature or drama) evoking empathic or sympathetic feelings
s. having similar disposition and tastes"
mildly sympathetic,none
sympathy,"n. an inclination to support or be loyal to or to agree with an opinion
n. sharing the feelings of others (especially feelings of sorrow or anguish)
n. a relation of affinity or harmony between people; whatever affects one correspondingly affects the other"
uncertain,"a. lacking or indicating lack of confidence or assurance
a. not established beyond doubt; still undecided or unknown
a. not certain to occur; not inevitable
s. not consistent or dependable"
understanding,"n. the cognitive condition of someone who understands
s. characterized by understanding based on comprehension and discernment and empathy"
unpatriotic,a. showing lack of love for your country
unsympathetic,"a. not sympathetic or disposed toward
a. (of characters in literature or drama) tending to evoke antipathetic feelings"
aggregate demand,none
backward integration,none
bargaining chips,none
blue-chip,s. extremely valuable
cash nexus,none
chartered trading company,none
common year,none
comparable worth,none
compound interest,none
concern,"n. something that interests you because it is important or affects you
n. an anxious feeling
n. a feeling of sympathy for someone or something
n. something or someone that causes anxiety; a source of unhappiness"
cost,"n. the total spent for goods or services including money and time and labor
v. be priced at
v. require to lose, suffer, or sacrifice"
cost-accounting,none
decrease by,none
decrease to,none
depreciation,"n. a decrease in price or value
n. decrease in value of an asset due to obsolescence or use"
discount,"n. the act of reducing the selling price of merchandise
v. give a reduction in price on"
dividend,"n. that part of the earnings of a corporation that is distributed to its shareholders; usually paid quarterly
n. a number to be divided by another number
n. a bonus; something extra (especially a share of a surplus)"
down payment,none
downsizing,"n the reduction of expenditures in order to become financially stable
v dismiss from work
v make in a smaller size
v reduce in size or number"
dumping ground,none
economic gain,none
economic rationality,none
economic utility,none
end product,none
exchange rates,plural of exchange-rate
financial resource,none
fiscal restraint,none
GDP per capita,none
global expansion,none
guild membership,none
highest bidder,none
human capital,none
increase by,none
increase to,none
in-kind,none
intangible assets,none
intercalary year,none
leap year,none
interest rate,none
Internal Revenue Service,none
investment vehicle,none
labor costs,none
labor rates,none
land tenure,none
legal property rights,none
list price,none
margin,"n. the boundary line or the area immediately inside the boundary
n. an amount beyond the minimum necessary
n. the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities
n. the blank space that surrounds the text on a page"
mark down,none
mark up,"n. the amount added to the cost to determine the asking price
n. detailed stylistic instructions for typesetting something that is to be printed; manual markup is usually written on the copy (e.g. underlining words that are to be set in italics)"
multinational corporation,none
nominal GDP,none
original price,none
patent-granting,none
per capita,none
physical assets,none
principal,"n. the original amount of a debt on which interest is calculated
n. the educator who has executive authority for a school
n. capital as contrasted with the income derived from it
n. (criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement"
production facility,none
productive value,none
profit margin,none
purchasing power,none
purchasing price,none
ratio,n. the relative magnitudes of two quantities (usually expressed as a quotient)
rational expectations theory,none
real GDP,none
retail price,none
rotating credit associations,none
sale price,none
service industry,none
simple interest,none
supplier relations,none
target market,none
tax incentive,none
the Small Business,none
Administration,"n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something
n. the act of administering medication
n. the act of meting out justice according to the law"
tie to,none
trading post,none
trust land,none
venture capital,none
write off,"n. (accounting) reduction in the book value of an asset
n. the act of cancelling from an account a bad debt or a worthless asset"
accretion disks,none
adrenal cortex,none
adrenal,"a. of or pertaining to the adrenal glands or their secretions
a. near the kidneys"
aerobic,"a. depending on free oxygen or air
a. based on or using the principles of aerobics; enhancing respiratory and circulatory efficiency"
amino acid,none
anaerobe,n. an organism (especially a bacterium) that does not require air or free oxygen to live
anaerobic metabolism,none
anaerobic,"a. living or active in the absence of free oxygen
a. not aerobic"
analog recording,none
atom,"n. (physics and chemistry) the smallest component of an element having the chemical properties of the element
n. (nontechnical usage) a tiny piece of anything"
big bang,none
biocontrol agents,none
boll weevil,none
bone marrow,none
brain stem,n. the part of the brain continuous with the spinal cord and comprising the medulla oblongata and pons and midbrain and parts of the hypothalamus
broccoli,"n. plant with dense clusters of tight green flower buds
n. branched green undeveloped flower heads"
bubonic,a. of or evidencing buboes
budworm,none
carcinogen,n. any substance that produces cancer
cardiopulmonary,a. of or pertaining to or affecting both the heart and the lungs and their functions
cardiovascular,a. of or pertaining to or involving the heart and blood vessels
caries,n soft decayed area in a tooth; progressive decay can lead to the death of a tooth
carotenoid,n. any of a class of highly unsaturated yellow to red pigments occurring in plants and animals
cataclysmic variable,none
cell elongation,none
cell nucleus,none
charge,"n. an impetuous rush toward someone or something
n. (criminal law) a pleading describing some wrong or offense
n. the price charged for some article or service
n. the quantity of unbalanced electricity in a body (either positive or negative) and construed as an excess or deficiency of electrons"
chlorofluorcarbon,none
cholesterol,n. an animal sterol that is normally synthesized by the liver; the most abundant steroid in animal tissues
coleslaw,n. basically shredded cabbage
coral reef,none
coronary artery,none
cytoplasm,n. the protoplasm of a cell excluding the nucleus; is full of proteins that control cell metabolism
dengue,n. an infectious disease of the tropics transmitted by mosquitoes and characterized by rash and aching head and joints
dust particle,none
ecological niche,none
electric charge,none
electromagnetic radiation,none
electron,n. an elementary particle with negative charge
encephalitis,n. inflammation of the brain usually caused by a virus; symptoms include headache and neck pain and drowsiness and nausea and fever (`phrenitis' is no longer in scientific use)
endorphin,n. a neurochemical occurring naturally in the brain and having analgesic properties
ethylene,n. a flammable colorless gaseous alkene; obtained from petroleum and natural gas and used in manufacturing many other chemicals; sometimes used as an anesthetic
eukaryote,n. an organism with cells characteristic of all life forms except primitive microorganisms such as bacteria; i.e. an organism with `good' or membrane-bound nuclei in its cells
eukaryotic,a. having cells with `good' or membrane-bound nuclei
evaporative cooling,none
fault,"n. (geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other
n. (electronics) equipment failure attributable to some defect in a circuit (loose connection or insulation failure or short circuit etc.)
n. responsibility for a bad situation or event
n. (sports) a serve that is illegal (e.g., that lands outside the prescribed area)"
ferrous metal,none
follicle,n. any small spherical group of cells containing a cavity
formaldehyde,n. a colorless poisonous gas; made by the oxidation of methanol
galactic nebula,none
galactic nucleus,none
gamma ray,none
gas clouds,plural of gas-cloud
Gemini,"n. (astrology) a person who is born while the sun is in Gemini
n. a zodiacal constellation in the northern hemisphere between Taurus and Cancer on the ecliptic
n. the third sign of the zodiac; the sun is in this sign from about May 21 to June 20"
genetic coding,none
globular cluster,none
gold-quartz,none
halo,n. a circle of light around the sun or moon
helium,n. a very light colorless element that is one of the six inert gasses; the most difficult gas to liquefy; occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas)
hemoglobin,n. a hemoprotein composed of globin and heme that gives red blood cells their characteristic color; function primarily to transport oxygen from the lungs to the body tissues
high tide,none
high-energy particle,none
hydrocarbon,n. an organic compound containing only carbon and hydrogen
hypertherm,none
hypothalamus,n. a basal part of the diencephalon governing autonomic nervous system
ibuprofen,n. a nonsteroidal anti-inflammatory and analgesic medicine (trade names Advil and Motrin and Nuprin) used to relieve the pain of arthritis and as an antipyretic
indomethacin,n. a nonsteroidal anti-inflammatory drug (trade name Indocin)
inertia theory,none
insulin,n. hormone secreted by the isles of Langerhans in the pancreas; regulates storage of glycogen in the liver and accelerates oxidation of sugar in cells
internal pacemaker,none
intracellular,a. located or occurring within a cell or cells
ion,n. a particle that is electrically charged (positive or negative); an atom or molecule or group that has lost or gained one or more electrons
isotope,n. one of two or more atoms with the same atomic number but with different numbers of neutrons
Kelvin,"n. the basic unit of thermodynamic temperature adopted under the Systeme International d'Unites
n. British physicist who invented the Kelvin scale of temperature and pioneered undersea telegraphy (1824-1907)"
lactic acid,none
lepidopter,n. One of the Lepidoptera.
leucine,n. a white crystalline amino acid occurring in proteins that is essential for nutrition; obtained by the hydrolysis of most dietary proteins
lipoprotein,n. a conjugated protein having a lipid component; the principal means for transporting lipids in the blood
low tide,none
Lyme,none
lymph,n. a thin coagulable fluid (similar to plasma but) containing white blood cells (lymphocytes) and chyle; is conveyed to the blood stream by lymphatic vessels
lymphocyte,n. an agranulocytic leukocyte that normally makes up a quarter of the white blood cell count but increases in the presence of infection
lysis,"n. recuperation in which the symptoms of an acute disease gradually subside
n. (biochemistry) dissolution or destruction of cells such as blood cells or bacteria"
macrophage,n. a large phagocyte; some are fixed and other circulate in the blood stream
marine invertebrates,none
messenger RNA,none
meteor shower,none
meteor stream,none
methane,n. a colorless odorless gas used as a fuel
migraine,n. a severe recurring vascular headache; occurs more frequently in women than men
molecular biology,none
molecule,n. (physics and chemistry) the simplest structural unit of an element or compound
morphogenetic,none
morphological,"a relating to or concerned with the formation of admissible words in a language
a pertaining to geological structure
a relating to or concerned with the morphology of plants and animals"
muon,n. an elementary particle with a negative charge and a half-life of 2 microsecond; decays to electron and neutrino and antineutrino
neuron,n a cell that is specialized to conduct nerve impulses
neutrino,n. an elementary particle with zero charge and zero mass
neutron star,none
neutron,n. an elementary particle with 0 charge and mass about equal to a proton; enters into the structure of the atomic nucleus
novocaine,n procaine administered as a hydrochloride (trade name Novocain)
nucleons,n a constituent (proton or neutron) of an atomic nucleus
nucleotide,n. a phosphoric ester of a nucleoside; the basic structural unit of nucleic acids (DNA or RNA)
orbital energy,none
organelle,n. a specialized part of a cell; analogous to an organ
ovarian follicle,none
parallax,n. the apparent displacement of an object as seen from two different points that are not on a line with the object
particle,"n. a body having finite mass and internal structure but negligible dimensions
n. a function word that can be used in English to form phrasal verbs"
pelvic,a. of or relating to the pelvis
peptide,n. amide combining the amino group of one amino acid with the carboxyl group of another; usually obtained by partial hydrolysis of protein
phagocytosis,n. process in which phagocytes engulf and digest microorganisms and cellular debris; an important defense against infection
phosphate,"n. a salt of phosphoric acid
n. carbonated drink with fruit syrup and a little phosphoric acid"
phosphate fertilizer,none
phosphodiesterase,none
photon,n. a quantum of electromagnetic radiation; an elementary particle that is its own antiparticle
photoperiod,none
photosynthesis,n. synthesis of compounds with the aid of radiant energy (especially in plants)
pituitary gland,none
pituitary,"n. the master gland of the endocrine system; located at the base of the brain
a. of or relating to the pituitary gland"
planetary gravitational field,none
plant succession,none
plasma cell,none
Pleistocene,n. from two million to 11 thousand years ago; extensive glaciation of the northern hemisphere; the time of human evolution
plutonium,n. a solid silvery grey radioactive transuranic element whose atoms can be split when bombarded with neutrons; found in minute quantities in uranium ores but is usually synthesized in nuclear reactors; 13 isotopes are known with the most important being plutonium 239
poliomyelitis,n. an acute viral disease marked by inflammation of nerve cells of the brain stem and spinal cord
pollen grain,none
pollen profile,none
polymorph,n. an organism that can assume more than one adult form as in the castes of ants or termites
prokaryotic cell,none
prostaglandin,n. a potent substance that acts like a hormone and is found in many bodily tissues (and especially in semen); produced in response to trauma and may affect blood pressure and metabolism and smooth muscle activity
prosthetic hand,none
protein synthesis,none
protogalaxy,none
protons,n. a stable particle with positive charge equal to the negative charge of an electron
protoplasm,n. the substance of a living cell (including cytoplasm and nucleus)
pterosaur,n. an extinct reptile of the Jurassic and Cretaceous having a bird-like beak and membranous wings supported by the very long fourth digit of each forelimb
pulsar,n. a degenerate neutron star; small and extremely dense; rotates very fast and emits regular pulses of polarized radiation
quantizing error,none
quasar,n. a starlike object that may send out radio waves and other forms of energy; many have large red shifts
radio galaxy,none
radiometric,none
rheumatoid,s of or pertaining to arthritis
rhinovirus,n. any of a group of picornaviruses that are responsible for many upper respiratory infections
ribosome,n. an organelle in the cytoplasm of a living cell; they attach to mRNA and move down it one codon at a time and then stop until tRNA brings the required amino acid; when it reaches a stop codon it falls apart and releases the completed protein molecule for use by the cell
rock plates,none
rock salt,none
sampling error,none
schistosomiasis,n. an infestation with or a resulting infection caused by a parasite of the genus Schistosoma; common in the tropics and Far East; symptoms depend on the part of the body infected
serotonin,n. a neurotransmitter involved in e.g. sleep and depression and memory
sinusitis,n. inflammation of one of the paranasal sinuses
solar system,none
solar-day,none
spinal cord,none
spiral galaxies,none
stratosphere,n. the atmospheric layer between the troposphere and the mesosphere
strep throat,none
subsurface geology,none
succession,"n. a group of people or things arranged or following in order
n. the action of following in order
n. (ecology) the gradual and orderly process of change in an ecosystem brought about by the progressive replacement of one community by another until a stable climax is established
n. acquisition of property by descent or by will"
sulphate,n a salt or ester of sulphuric acid
the Milky Way,none
The Montreal Protocol,none
thyroid gland,none
tidal cycle,none
tryptophan,n. an amino acid that occurs in proteins; is essential for growth and normal metabolism; a precursor of niacin
tyrosine,n. an amino acid found in most proteins; a precursor of several hormones
white dwarf star,none
white lead,none
aerial image,none
air envelope,none
all the more,none
an encounter action,none
antitrust law,none
assembly line,none
as-yet-unexploited,none
at best,none
at issue,none
at odds,none
at one stroke,none
at stake,none
average out,none
bargain on doing sth.,none
be at a disadvantage,none
be leery of,none
bind to,none
black hole," A dungeon or dark cell in a prison; a military lock-up or
   guardroom; -- now commonly with allusion to the cell (the Black Hole)
   in a fort at Calcutta, into which 146 English prisoners were thrust by
   the nabob Suraja Dowla on the night of June 20, 17656, and in which 123
   of the prisoners died before morning from lack of air."
blind spot,none
Board of Education,none
bona fide," In or with good faith; without fraud or deceit; real or
   really; actual or actually; genuine or genuinely; as, you must proceed
   bona fide; a bona fide purchaser or transaction."
bona fides,none
buffer stock,none
business world,none
by-product,"n. a secondary and sometimes unexpected consequence
n. a product made during the manufacture of something else"
call for,none
call off,none
capitalize on the opponent's mistake,none
capitalize on,none
cash in on,none
center on,none
clerical supplies,none
clerical work,none
cling to,none
closed-circuit television,none
collective consciousness,none
common law,s. based on common law
competitive edge,none
compound interest,none
consumer goods,none
Customs Service,none
daylight saving time,none
delve into,none
digital audiotape,none
dote on,none
draw in,none
draw on,none
draw to,none
earthquake focus,none
ecological systems,none
episodic memory,none
fall into a rut,none
fall under,none
field sketch,none
fly by,n. a flight at a low altitude (usually of military aircraft) over spectators on the ground
fool around,none
free market,none
gain on,none
general management,none
get by,none
get through,none
give rise to,none
give way to,none
government intervention,none
government service,none
hand on,none
head start,none
hierarchical management,none
hit show,none
housing start,none
Humpty-Dumpty,none
ice age,none
ice sheet,none
import relief,none
in concert,none
in full bloom,none
in kind,none
in light of,none
in sb.'s favor,none
in so far as,none
indentured servant,none
internal variable,none
Jim Crow,"n. A machine for bending or straightening rails.
n. A planing machine with a reversing tool, to plane both
   ways."
labor contractor,none
laissez-faire capitalism,none
lay off,n. the act of laying off an employee or a work force
lecture series,none
line of work,none
list price,none
live show,none
lock into,none
look to,none
make allowances,none
make ends meet,none
make both ends meet,none
mark down,none
mark up,"n. the amount added to the cost to determine the asking price
n. detailed stylistic instructions for typesetting something that is to be printed; manual markup is usually written on the copy (e.g. underlining words that are to be set in italics)"
maternity leave,none
military service,none
mirror image,none
more often than not,none
more than ever,none
on a par,none
on behalf of,none
on one's word of honor,none
on pain of death,none
open market,none
other than,none
oyabun-kobun,none
part company,none
pass up,none
penny-pinching,"n extreme care in spending money; reluctance to spend money unnecessarily
v spend money frugally; spend as little as possible
s giving or spending with reluctance"
play off,n. any final competition to determine a championship
pride of place,none
prime-time ratings,none
prior to,none
processed food,none
public policy,none
pull away,none
purchasing price,none
push up,n. an arm exercise performed lying face to the floor and pushing the body up and down with the arms
put away,none
rain down,none
reading list,none
recruiting agent,none
resort to,none
retirement age,none
roller coaster,none
rule of thumb,none
set up as,none
sewage disposal,none
shock wave,none
shut off,none
side effect,none
simple interest,none
slash-and-burn,none
sluggish economy,none
small-lot production,none
social learning,none
speculative fever,none
speed velocity,none
status quo ante,none
