cent,n. a fractional monetary unit of several countries
commentary,n a written explanation or criticism or illustration that is added to a book or other textual material
capillary,"n. a tube of small internal diameter; holds liquid by capillary action
n. any of the minute blood vessels connecting arterioles with venules
a. of or relating to hair
s. long and slender with a very small internal diameter"
democratic,"a. characterized by or advocating or based upon the principles of democracy or social equality
a. belong to or relating to the Democratic Party
s. representing or appealing to or adapted for the benefit of the people at large"
sympathetic,"a. of or relating to the sympathetic nervous system
a. expressing or feeling or resulting from sympathy or compassion or friendly fellow feelings; disposed toward
a. (of characters in literature or drama) evoking empathic or sympathetic feelings
s. having similar disposition and tastes"
energetic,"a. possessing or exerting or displaying energy
s. working hard to promote an enterprise"
specific,"n. a medicine that has a mitigating effect on a specific disease
a. (sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique
s. stated explicitly or in detail
a. relating to or distinguishing or constituting a taxonomic species"
dramatic,"a. suitable to or characteristic of drama
s. sensational in appearance or thrilling in effect
a. pertaining to or characteristic of drama
a. used of a singer or singing voice that is marked by power and expressiveness and a histrionic or theatrical style"
romantic,"n. a soulful or amorous idealist
a. belonging to or characteristic of Romanticism or the Romantic Movement in the arts"
pathetic,"s. inspiring mixed contempt and pity
s. inspiring scornful pity"
genetic,"a. pertaining to or referring to origin
a. of or relating to the science of genetics"
chromatic,"a. able to refract light without spectral color separation
a. based on a scale consisting of 12 semitones
a. being or having or characterized by hue"
aromatic,"a. (chemistry) of or relating to or containing one or more benzene rings
s. having a strong pleasant odor"
contradictory,"n. two propositions are contradictories if both cannot be true (or both cannot be false) at the same time
s. of words or propositions so related that both cannot be true and both cannot be false
s. unable to be both true at the same time"
advisory,"n. an announcement that usually advises or warns the public of some threat
s. giving advice"
compulsory,s. required by rule
peremptory,"s. not allowing contradiction or refusal
s. putting an end to all debate or action"
refractory,"s. not responding to treatment
s. temporarily unresponsive or not fully responsive to nervous or sexual stimuli"
resistant,s. impervious to being affected
extravagant,s. recklessly wasteful
intoxicant,"n. a drug that can produce a state of intoxication
s. causing"
vibrant,"s. vigorous and animated
s. of sounds that are strong and resonating
s. of colors that are bright and striking"
repentant,a feeling or expressing remorse for misdeeds
assistant,n. a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
aspirant,"n. an ambitious and aspiring young person
s. desiring or striving for recognition or advancement"
downward,s. on or toward a surface regarded as a base
upward,s. directed up
forward,"n. the person who plays the position of forward in certain games, such as basketball, soccer, or hockey
n. a position on a basketball, soccer, or hockey team
v. send or ship onward from an intermediate post or station in transit
a. at or near or directed toward the front"
backward,"a. directed or facing toward the back or rear
a. (used of temperament or behavior) marked by a retiring nature
s. retarded in intellectual development
s. having made less than normal progress"
inward,"a. relating to or existing in the mind or thoughts
r. toward the center or interior"
outward,"a. relating to physical reality rather than with thoughts or the mind
r. toward the outside"
northward,"n the cardinal compass point that is at 0 or 360 degrees
s moving toward the north
r in a northern direction"
waterproof,"n. any fabric impervious to water
v. make watertight"
bulletproof,"v. make bulletproof
s. not penetrable by bullets"
fireproof,"v. make resistant to fire
s. impervious to damage by fire"
airproof,none
lightproof,s. not penetrable by light
rainproof,s. not permitting the passage of water
soundproof,"v. insulate against noise
s. impervious to, or not penetrable by, sound"
tiresome,s so lacking in interest as to cause mental weariness
troublesome,s. difficult to deal with
lonesome,"s being the only one; single and isolated from others
s marked by dejection from being alone"
burdensome,"s. not easily borne; wearing; I only had to greet the guests"""
loathsome,"s causing or able to cause nausea
s highly offensive; arousing aversion or disgust"
airmanship,n the art of operating aircraft
workmanship,n skill in an occupation or trade
horsemanship,n. skill in handling and riding horses
salesmanship,n. skill in selling; skill in persuading people to buy
penmanship,n beautiful handwriting
citizenship,"n. the status of a citizen with rights and duties
n. conduct as a citizen"
membership,"n. the body of members of an organization or group
n. the state of being a member"
doctorship,n. Doctorate.
professorship,n. the position of professor
apprenticeship,n. the position of apprentice
acceptable,"a. worthy of acceptance or satisfactory
s. judged to be in conformity with approved usage
s. adequate for the purpose"
adjustable,"s. capable of being changed so as to match or fit
s. capable of being regulated"
agreeable,"a. conforming to your own liking or feelings or nature
s. prepared to agree or consent"
comparable,"a. able to be compared or worthy of comparison
s. conforming in every respect"
flexible,"a. capable of being changed
a. able to flex; able to bend easily
s. bending and snapping back readily without breaking"
accessible,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly"
desirable,"a. worth having or seeking or achieving
s. worthy of being chosen especially as a spouse"
sensible,"a. able to feel or perceive
s. readily perceived by the senses
s. aware intuitively or intellectually of something sensed"
knowable,a. capable of being known
producible,"a. Capable of being produced, brought forward, brought
   forth, generated, made, or extended."
eligible,a. qualified for or allowed or worthy of being chosen
conceivable,s. capable of being imagined
tractable,a. easily managed (controlled or taught or molded)
presumably,r. by reasonable assumption
equitably,r. in an equitable manner
notably,r. especially; in particular
suitably,r in an appropriate manner
favorably,r. showing approval
inflammability,n the quality of being easily ignited and burning rapidly
usability,n the quality of being able to provide good service
conductibility,"n. Capability of being conducted; as, the
   conductibility of heat or electricity.
n. Conductivity; capacity for receiving and
   transmitting."
adaptability,n. the ability to change (or be changed) to fit changed circumstances
sensibility,"n. mental responsiveness and awareness
n. refined sensitivity to pleasurable or painful impressions"
nationality,"n. people having common origins or traditions and often comprising a nation
n. the status of belonging to a particular nation by birth or naturalization"
personality,"n. the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual
n. a person of considerable prominence"
frugality,n. prudence in avoiding waste
vitality,n. an energetic style
hospitality,n kindness in welcoming guests or strangers
mortality,n. the quality or state of being mortal
liberality,"n. an inclination to favor progress and individual freedom
n. the trait of being generous in behavior and temperament"
neighborhood,"n. people living near one another
n. an area within a city or town that has some distinctive features (especially one forming a community)"
childhood,"n. the time of person's life when they are a child
n. the state of a child between infancy and adolescence"
brotherhood,"n. the kinship relation between a male offspring and the siblings
n. people engaged in a particular occupation
n. the feeling that men should treat one another like brothers"
boyhood,n. the childhood of a boy
manhood,"n. the state of being a man; manly qualities
n. the status of being a man"
likelihood,n. the probability of a specified outcome
failure,"n. an act that fails
n. an event that does not accomplish its intended purpose
n. lack of success
n. a person with a record of failing; someone who loses consistently"
torture,"n. unbearable physical pain
n. the deliberate, systematic, or wanton infliction of physical or mental suffering by one or more persons in an attempt to force another person to yield information or to make a confession or for any other reason
v. subject to torture"
pressure,"n. the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
n. a force that compels
n. the somatic sensation that results from applying force to an area of skin
n. an oppressive condition of physical or mental or social or economic distress"
fracture,"n. breaking of hard tissue such as bone
n. the act of cracking something
v. violate or abuse
v. interrupt, break, or destroy"
closure,"n. a rule for limiting or ending debate in a deliberative body
n. a Gestalt principle of organization holding that there is an innate tendency to perceive incomplete objects as complete and to close or fill gaps and to perceive asymmetric stimuli as symmetric
n. termination of operations
v. terminate debate by calling for a vote"
signature,"n. your name written in your own handwriting
n. a melody used to identify a performer or a dance band or radio/tv program
n. a sheet with several pages printed on it; it folds to page size and is bound with other signatures to form a book"
miniature,"n. painting or drawing included in a book (especially in illuminated medieval manuscripts)
n. a copy that reproduces a person or thing in greatly reduced size
s. being on a very small scale"
expenditure,"n money paid out; an amount spent
n the act of spending money for goods or services
n the act of consuming something"
scripture,n. any writing that is regarded as sacred by a religious group
censure,n. harsh criticism or disapproval
condemnatory,s. containing or imposing condemnation or censure
mandatory,"n the recipient of a mandate
n a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
s required by rule"
defamatory,s (used of statements) harmful and often untrue; tending to discredit or malign
explanatory,s. serving or intended to explain or make clear
anticipatory,s. in anticipation
compensatory,a. Serving for compensation; making amends.
laboratory,"n a workplace for the conduct of scientific research
n a region resembling a laboratory inasmuch as it offers opportunities for observation and practice and experimentation"
lavatory,"n a room or building equipped with one or more toilets
n a bathroom sink that is permanently installed and connected to a water supply and drainpipe; where you can wash your hands and face
n a toilet that is cleaned of waste by the flow of water through it"
conservatory,"n. the faculty and students of a school specializing in one of the fine arts
n. a schoolhouse with special facilities for fine arts
n. a greenhouse in which plants are arranged in a pleasing manner"
auction,"n. a variety of bridge in which tricks made in excess of the contract are scored toward game; now generally superseded by contract bridge
n. the public sale of something to the highest bidder
v. sell at an auction"
inaugurate,"v. commence officially
v. open ceremoniously or dedicate formally
v. be a precursor of"
augment,"v. enlarge or increase
v. grow or intensify"
august,"n. the month following July and preceding September
s. of or befitting a lord
s. profoundly honored"
inaugural,"a. occurring at or characteristic of a formal investiture or induction
s. serving to set in motion"
lucent,s softly bright or radiant
lucid,s. having a clear mind
elucidate,"v make clear and (more) comprehensible
v make free from confusion or ambiguity; make clear"
luster,"n. a quality that outshines the usual
n. a surface coating for ceramics or porcelain"
lusty,"s vigorously passionate
s endowed with or exhibiting great bodily or mental health"
acidify,v. turn acidic
acidity,"n. the taste experience when something acidic is taken into the mouth
n. pH values below 7"
exacerbate,v. exasperate or irritate
acerbic,"s sour or bitter in taste
s harsh or corrosive in tone"
acetic,a. relating to or containing acetic acid
aeroplane,n an aircraft that has a fixed wing and is powered by propellers or jets
aerospace,n. the atmosphere and outer space considered as a whole
aeroview,none
aerial,a. existing or living or growing or operating in the air
aerophotography,none
aeriform,"s. resembling air or having the form of air
s. characterized by lightness and insubstantiality; as impalpable or intangible as air"
aerogram,n a letter sent by air mail
aerosphere,n. The atmosphere.
aerate,"v expose to fresh air
v aerate (sewage) so as to favor the growth of organisms that decompose organic matter
v impregnate, combine, or supply with oxygen"
lithiasis,n. the formation of stones (calculi) in an internal organ
lithosphere,n. the solid part of the earth consisting of the crust and outer mantle
aerolith,n. Same as A/rolite.
nephrolith,n a calculus formed in the kidney
paleolithic,a. of or relating to the second period of the Stone Age (following the eolithic)
calculate,"v. make a mathematical calculation or computation
v. judge to be probable
v. specifically design a product, event, or activity for a certain public"
calculus,"n. a hard lump produced by the concretion of mineral salts; found in hollow organs or ducts of the body
n. the branch of mathematics that is concerned with limits and with the differentiation and integration of functions"
calcify,"v. become impregnated with calcium salts
v. become inflexible and unchanging
v. turn into lime; become calcified"
calcium,n. a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals
stratum,n. one of several parallel layers of material arranged one on top of another (such as a layer of tissue or cells in an organism or a layer of sedimentary rock)
stratosphere,n. the atmospheric layer between the troposphere and the mesosphere
substratal,none
prostrate,"v. get into a prostrate position, as in submission
v. render helpless or defenseless
v. throw down flat, as on the ground"
stratify,"v. divide society into social classes or castes
v. form layers or strata
v. develop different social levels, classes, or castes"
opaque,"a. not transmitting or reflecting light or radiant energy; impenetrable to sight
s. not clearly understood or expressed"
aquarium,n. a tank or pool or bowl filled with water for keeping live fish and underwater animals
aquatic,"n. a plant that lives in or on water
a. relating to or consisting of or being in water
a. operating or living or growing in water"
subaqueous,s. growing or remaining under water
humble,"v. cause to be unpretentious
s. low or inferior in station or quality
a. marked by meekness or modesty; not arrogant or prideful
s. used of unskilled work (especially domestic work)"
humiliate,v. cause to feel shame; hurt the pride of
humid,s. containing or characterized by a great deal of water vapor
humility,"n. a disposition to be humble; a lack of false pride
n. a humble feeling"
inhume,v place in a grave or tomb
posthumous,s. occurring or coming into existence after a person's death
humidify,v. make (more) humid
humidifier,none
dehumidify,v. make less humid
dehumidifier,none
hydrogen,n. a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe
hydrant,n. a discharge pipe with a valve and spout at which water may be drawn from the mains of waterworks
carbohydrate,n. an essential structural component of living cells and source of energy for animals; includes simple sugars with small molecules as well as macromolecular substances; are classified according to the number of monosaccharide groups they contain
hydroplane,v. glide on the water in a hydroplane
hydropower,none
dehydrate,"v. preserve by removing all water and liquids from
v. remove water from"
hydrosphere,n. the watery layer of the earth's surface; includes water vapor
hydrous,a. containing combined water (especially water of crystallization as in a hydrate)
anhydrous,a. without water; especially without water of crystallization
hydrate,"n. any compound that contains water of crystallization
v. supply water or liquid to in order to maintain a healthy balance
v. become hydrated and combine with water"
radical,"n. a person who has radical ideas or opinions
n. (mathematics) a quantity expressed as the root of another quantity
n. a character conveying the lexical meaning of a logogram
s. arising from or going to the root or source"
eradicate,"v kill in large numbers
v destroy completely, as if down to the roots"
radicalism,n. the political orientation of those who favor revolutionary change in government and society
eradication,n. the complete destruction of every trace of something
irradicable,none
cytogenetics,n. the branch of biology that studies the cellular aspects of heredity (especially the chromosomes)
cytogenous,"a. Producing cells; -- applied esp. to lymphatic, or
   adenoid, tissue."
cytochrome,n. (biochemistry) a class of hemoprotein whose principal biological function is electron transfer (especially in cellular respiration)
cytogenesis,n. the origin and development and variation of cells
cytology,n. the branch of biology that studies the structure and function of cells
fiber,"n. a slender and greatly elongated substance capable of being spun into yarn
n. any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)
n. a leatherlike material made by compressing layers of paper or cloth"
fibrescope,none
fibriform,"a. Having the form of a fiber or fibers; resembling a
   fiber."
fiberglass,n. a covering material made of glass fibers in resins
fibril,n. a very slender natural or synthetic fiber
fibrous,s. (of meat) full of sinews; especially impossible to chew
fibroid,n benign tumor containing fibrous tissue (especially in the uterus)
seismic,s. subject to or caused by an earthquake or earth vibration
seismograph,n. a measuring instrument for detecting and measuring the intensity and direction and duration of movements of the ground (as an earthquake)
seismology,n. the branch of geology that studies earthquakes
isoseismic,none
atmosphere,"n. a particular environment or surrounding influence
n. the mass of air surrounding the Earth
n. the weather or climate at some place
n. the envelope of gases surrounding any celestial body"
atmos,none
atmology,"n. That branch of science which treats of the laws and
   phenomena of aqueous vapor."
atmospheric,a. relating to or located in the atmosphere
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
reply,n. the speech act of continuing a conversational exchange
explicit,a. precisely and clearly expressed or readily observable; leaving nothing to implication
imply,"v. express or state indirectly
v. suggest as a logically necessary consequence; in logic
v. have as a necessary feature"
comply,"v. act in accordance with someone's rules, commands, or wishes"
perplex,v. be a mystery or bewildering to
complicate,"v. make more complicated
v. make more complex, intricate, or richer"
implicate,v. bring into intimate and incriminating connection
implicit,"a. implied though not directly expressed; inherent in the nature of something
s. being without doubt or reserve"
complexity,n. the quality of being intricate and compounded
complication,"n. the act or process of complicating
n. a situation or condition that is complex or confused
n. any disease or disorder that occurs during the course of (or because of) another disease
n. a development that complicates a situation"
replicate,v. reproduce or make an exact copy of
pliable,"s susceptible to being led or directed
s capable of being shaped or bent or drawn out
s able to adjust readily to different conditions
s capable of being bent or flexed or twisted without breaking"
duplex,"v. change into a duplex
s. (used technically of a device or process) having two parts
s. allowing communication in opposite directions simultaneously"
replica,n. copy that is not the original; something that has been copied
accomplice,n. a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
explicate,"v. elaborate, as of theories and hypotheses"
vacant,"s. void of thought or knowledge
s. without an occupant or incumbent"
vacation,"n. leisure time away from work devoted to rest or pleasure
n. the act of making something legally void
v. spend or take a vacation"
vacuum,"n. the absence of matter
n. a region that is devoid of matter
n. an electrical home appliance that cleans by suction
v. clean with a vacuum cleaner"
vanish,"v. become invisible or unnoticeable
v. cease to exist
v. decrease rapidly and disappear"
void,"n. an empty area or space
v. clear (a room, house, place) of occupants or empty or clear (a place or receptacle) of something
s. containing nothing"
evacuate,"v. move out of an unsafe location into safety
v. empty completely
v. move people from their homes or country
v. create a vacuum in (a bulb, flask, reaction vessel)"
vanity,n. the quality of being valueless or futile
devoid,s completely wanting or lacking
vacuous,s. devoid of matter
evanescent,s. tending to vanish like vapor
chronic,"a. being long-lasting and recurrent or characterized by long suffering
s. of long duration
s. habitual"
chronology,"n. an arrangement of events in time
n. a record of events in the order of their occurrence
n. the determination of the actual temporal sequence of past events"
chronological,a. relating to or arranged according to temporal order
synchronize,"v. make synchronous and adjust in time or manner
v. happen at the same time
v. make (motion picture sound) exactly simultaneous with the action
v. arrange or represent events so that they co-occur"
chronicle,v. record in chronological order; make a historical record
synchronous,"a. occurring or existing at the same time or having the same period or phase
a. (digital communication) pertaining to a transmission technique that requires a common clock signal (a timing reference) between the communicating devices in order to coordinate their transmissions"
dignity,"n. the quality of being worthy of esteem or respect
n. formality in bearing and appearance
n. high office or rank or station"
dignify,v. raise the status of
indignity,n. an affront to one's dignity or self-esteem
indignation,n. a feeling of righteous anger
indignant,s. angered at something unjust or wrong
condign,s. fitting or appropriate and deserved; used especially of punishment
aggregate,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster
n. a sum total of many heterogenous things taken together
v. amount in the aggregate to
v. gather in a mass, sum, or whole"
egregious,s conspicuously and outrageously bad or reprehensible
gregarious,"a. (of animals) tending to form a group with others of the same species
s. instinctively or temperamentally seeking and enjoying the company of others
a. (of plants) growing in groups that are close together"
segregate,"n. someone who is or has been segregated
v. separate by race or religion; practice a policy of racial segregation
v. divide from the main body or mass and collect"
save,"n. (sports) the act of preventing the opposition from scoring
v. to keep up and reserve for personal or special use
v. bring into safety
v. spend less; buy at a reduced price"
salve,"n. anything that remedies or heals or soothes
v. apply a salve to, usually for the purpose of healing"
salver,n. a tray (or large plate) for serving food or drinks; usually made of silver
savior,n. a person who rescues you from harm or danger
salvage,"n. property or goods saved from damage or destruction
n. the act of saving goods or property that were in danger of damage or destruction
n. the act of rescuing a ship or its crew or its cargo from a shipwreck or a fire
v. save from ruin, destruction, or harm"
salutary,s tending to promote physical well-being; beneficial to health
salvation,"n. a means of preserving from harm or unpleasantness
n. the state of being saved or preserved from harm
n. saving someone or something from harm or from an unpleasant situation"
pacific,"n. the largest ocean in the world
a. relating to or bordering the Pacific Ocean
s. disposed to peace or of a peaceful nature"
pacification,"n. the act of appeasing someone or causing someone to be more favorably inclined
n. actions taken by a government to defeat insurgency"
pacificatory,a. Tending to make peace; conciliatory.
pacify,"v. cause to be more favorably inclined; gain the good will of
v. fight violence and try to establish peace in (a location)"
pacifist,"n. someone opposed to violence as a means of settling disputes
s. opposed to war"
consider,"v. take into consideration for exemplifying purposes
v. show consideration for; take into account
v. think about carefully; weigh
v. regard or treat with consideration, respect, and esteem"
considerate,a. showing concern for the rights and feelings of others
president,"n. an executive officer of a firm or corporation
n. the chief executive of a republic
n. the officer who presides at the meetings of an organization
n. the head administrative officer of a college or university"
residence,"n. any address at which you dwell more than temporarily
n. the official house or establishment of an important person (as a sovereign or president)"
preside,v. act as president
reside,v. make one's home in a particular place or community
subsidy,n. a grant paid by a government to an enterprise that benefits the public
subsidiary,"n an assistant subject to the authority or control of another
n a company that is completely controlled by another company
s functioning in a supporting capacity"
subside,"v. wear off or die down
v. sink to a lower level or form a depression
v. sink down or precipitate"
assiduous,s. marked by care and persistent effort
dissident,s. characterized by departure from accepted beliefs or standards
residue,n. matter that remains after something has been removed
sedate,"v. cause to be calm or quiet as by administering a sedative to
s. characterized by dignity and propriety"
insidious,"s. beguiling but harmful
s. intended to entrap
s. working or spreading in a hidden and usually injurious way"
accent,"n. distinctive manner of oral expression
n. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation"
descant,"n. a decorative musical accompaniment (often improvised) added above a basic melody
v. sing in descant
v. talk at great length about something of one's interest"
accentuate,"v to stress, single out as important
v put stress on; utter with an accent"
incentive,n. a positive motivational influence
recant,"v formally reject or disavow a formerly held belief, usually under pressure"
persecute,v. cause to suffer
consequence,"n. a phenomenon that follows and is caused by some previous phenomenon
n. the outcome of an event especially as relative to an individual
n. having important effects or influence"
sequence,"n. serial arrangement in which things follow in logical order or a recurrent pattern
n. a following of one thing after another in time
n. film consisting of a succession of related shots that develop a given subject in a movie
n. several repetitions of a melodic phrase in different keys"
consecutive,"s. in regular succession without gaps
r. in a consecutive manner"
prosecute,"v. conduct a prosecution in a court of law
v. bring a criminal action against (in a trial)
v. carry out or participate in an activity; be involved in"
sequential,s in regular succession without gaps
subsequence,"n something that follows something else
n following in time"
sequacious,"a. Inclined to follow a leader; following; attendant.
a. Hence, ductile; malleable; pliant; manageable.
a. Having or observing logical sequence; logically
   consistent and rigorous; consecutive in development or transition of
   thought."
obsequious,s. attentive in an ingratiating or servile manner
salty,"a. containing or filled with salt
s. one of the four basic taste sensations; like the taste of sea water"
salary,n something that remunerates
saline,s. containing salt
salinity,"n the taste experience when common salt is taken into the mouth
n the relative proportion of salt in a solution"
devour,"v. destroy completely
v. enjoy avidly
v. eat immoderately
v. eat greedily"
voracious,"s excessively greedy and grasping
s devouring or craving food in great quantities"
carnivorous,"a. relating to or characteristic of carnivores
a. (used of plants as well as animals) feeding on animals"
herbivorous,a. feeding only on plants
omnivorous,a. feeding on both plants and animals
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
arbitrate,v act between parties with a view to reconciling differences
arbitration,"n. (law) the hearing and determination of a dispute by an impartial referee agreed to by both parties (often used to settle disputes between labor and management)
n. the act of deciding as an arbiter; giving authoritative judgment"
arbitrator,n someone chosen to judge and decide a disputed issue
arbiter,"n. someone with the power to settle matters at will
n. someone chosen to judge and decide a disputed issue"
addict,"n. someone who is so ardently devoted to something that it resembles an addiction
n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
dictator,"n. a speaker who dictates to a secretary or a recording machine
n. a ruler who is unconstrained by law"
dictionary,n. a reference book containing an alphabetical list of words with information about them
contradict,"v. be in contradiction with
v. deny the truth of"
predict,v. make a prediction about; tell in advance
contradictory,"n. two propositions are contradictories if both cannot be true (or both cannot be false) at the same time
s. of words or propositions so related that both cannot be true and both cannot be false
s. unable to be both true at the same time"
indicate,"v. indicate a place, direction, person, or thing; either spatially or figuratively
v. to state or express briefly
v. suggest the necessity of an intervention; in medicine"
dictate,"n. an authoritative rule
n. a guiding principle
v. say out loud for the purpose of recording
v. rule as a dictator"
verdict,n. (law) the findings of a jury on issues of fact submitted to it for decision; can be used in formulating a judgment
predicate,"n. (logic) what is predicated of the subject of a proposition; the second term in a proposition is predicated of the first term by means of the copula
n. one of the two main constituents of a sentence; the predicate contains the verb and its complements
v. make the (grammatical) predicate in a proposition"
indict,v. accuse formally of a crime
diction,"n the articulation of speech regarded from the point of view of its intelligibility to the audience
n the manner in which something is expressed in words"
abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
edict,n. a formal or authoritative proclamation
interdict,"n. an ecclesiastical censure by the Roman Catholic Church withdrawing certain sacraments and Christian burial from a person or all persons in a particular district
n. a court order prohibiting a party from doing a certain activity
v. destroy by firepower, such as an enemy's line of communication"
document,"n. writing that provides information (especially information of an official nature)
n. anything serving as a representation of a person's thinking by means of symbolic marks
n. a written account of ownership or obligation
v. record in detail"
doctor,"n. a licensed medical practitioner
n. children take the roles of physician or patient or nurse and pretend they are at the physician's office
n. a person who holds Ph.D. degree (or the equivalent) from an academic institution
v. give medical treatment to"
docile,"a. willing to be taught or led or supervised or directed
s. ready and willing to be taught
s. easily handled or managed"
doctrine,n. a belief (or system of beliefs) accepted as authoritative by some group or school
orthodox,"a. of or pertaining to or characteristic of Judaism
a. adhering to what is commonly accepted
a. of or relating to or characteristic of the Eastern Orthodox Church"
paradox,n. (logic) a statement that contradicts itself
doctrinaire,s. stubbornly insistent on theory without regard for practicality or suitability
dogma,"n. a religious doctrine that is proclaimed as true without proof
n. a doctrine or code of beliefs accepted as authoritative"
heterodox,s characterized by departure from accepted beliefs or standards
glutton,"n. a person who is devoted to eating and drinking to excess
n. musteline mammal of northern Eurasia"
gluttonize,v. eat a lot and without restraint
gluttonous,a. given to excess in consumption of especially food or drink
glut,n. the quality of being so overabundant that prices fall
medley,n. a musical composition consisting of a series of songs or other musical pieces from various sources
mingle,v. get involved or mixed-up with
miscellaneous,"s consisting of a haphazard assortment of different kinds
s having many aspects"
nonmiscible,none
miscellany,"n a collection containing a variety of sorts of things
n an anthology of short literary pieces and poems and ballads etc."
commute,"n. a regular journey of some distance to and from your place of work
v. exchange positions without a change in value
v. travel back and forth regularly, as between one's place of work and home
v. exchange a penalty for a less severe one"
mutual,"s common to or shared by two or more parties
a concerning each of two or more persons or things; especially given or done in return"
commutable,"a. subject to alteration or change
s. capable of being exchanged for another or for something else that is equivalent"
mutable,a. capable of or tending to change in form or quality or nature
mutinous,"s. disposed to or in a state of mutiny
s. consisting of or characterized by or inciting to mutiny"
rotate,"v. exchange on a regular basis
v. perform a job or duty on a rotating basis
v. cause to turn on an axis or center"
rotatory,a. of or relating to or characteristic or causing an axial or orbital turn
rotary,a. relating to or characterized by rotation
rotation,"n. the act of rotating as if on an axis
n. (mathematics) a transformation in which the coordinate axes are rotated by a fixed angle about the origin
n. a single complete turn (axial or orbital)"
rotund,s. spherical in shape
torture,"n. unbearable physical pain
n. the deliberate, systematic, or wanton infliction of physical or mental suffering by one or more persons in an attempt to force another person to yield information or to make a confession or for any other reason
v. subject to torture"
distort,"v make false by mutilation or addition; as of a message or story
v form into a spiral shape
v twist and press out of shape
v affect as in thought or feeling
v alter the shape of (something) by stress"
torment,"v. torment emotionally or mentally
v. treat cruelly"
retort,"n. a vessel where substances are distilled or decomposed by heat
v. answer back"
contort,v. twist and press out of shape
extort,"v. obtain through intimidation
v. obtain by coercion or intimidation
v. get or cause to become in a difficult or laborious manner"
compel,"v. force somebody to do something
v. necessitate or exact"
impulse,n. the act of applying force suddenly
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
pulse,"n. the rhythmic contraction and expansion of the arteries with each beat of the heart
n. the rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health
n. edible seeds of various pod-bearing plants (peas or beans or lentils etc.)
v. produce or modulate (as electromagnetic waves) in the form of short bursts or pulses or cause an apparatus to produce pulses"
impulsive,"s. proceeding from natural feeling or impulse without external stimulus
s. without forethought"
expel,v. force to leave or move out
compulsory,s. required by rule
propel,v. cause to move forward with force
repulse,"n an instance of driving away or warding off
v force or drive back
v be repellent to; cause aversion in
v cause to move back by force or influence"
dispel,"v force to go away; used both with concrete and metaphoric meanings
v to cause to separate and go in different directions"
rapture,"n a state of being carried away by overwhelming emotion
n a state of elated bliss"
ravage,n. (usually plural) a destructive action
ravenous,"s extremely hungry
s devouring or craving food in great quantities"
rape,"n. Eurasian plant cultivated for its seed and as a forage crop
n. the act of despoiling a country in warfare
n. the crime of forcing a woman to submit to sexual intercourse against her will
v. force (someone) to have sex against their will"
rapacious,s. excessively greedy and grasping
rapt,s feeling great rapture or delight
enrapture,v hold spellbound
ravish,"v force (someone) to have sex against their will
v hold spellbound"
intrude,"v. enter uninvited
v. search or inquire in a meddlesome way
v. thrust oneself in as if by force"
detrude,v. t. To thrust down or out; to push down with force.
protrude,"v extend out or project in space
v bulge outward
v swell or protrude outwards"
abstruse,s. difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge
extrude,v. form or shape by forcing through an opening
obtrude,"v push to thrust outward
v thrust oneself in as if by force"
turbine,n. rotary engine in which the kinetic energy of a moving fluid is converted into mechanical energy by causing a bladed rotor to rotate
turbulence,"n. unstable flow of a liquid or gas
n. instability in the atmosphere
n. a state of violent disturbance and disorder (as in politics or social conditions generally)"
turbulent,"s characterized by unrest or disorder or insubordination
s (of a liquid) agitated vigorously; in a state of turbulence"
perturb,"v. disturb in mind or make uneasy or cause to be worried or alarmed
v. disturb or interfere with the usual path of an electron or atom
v. cause a celestial body to deviate from a theoretically regular orbital motion, especially as a result of interposed or extraordinary gravitational pull"
turbid,s (of liquids) clouded as with sediment
turmoil,"n a violent disturbance
n violent agitation
n disturbance usually in protest"
imperturbable,s. not easily perturbed or excited or upset; marked by extreme calm and composure
abundant,a. present in great quantity
