absent,"v. go away or leave
a. not being in a specified place
s. lost in thought; showing preoccupation"
scream,"n. sharp piercing cry
v. make a loud, piercing sound"
sign,"n. a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n. a public display of a message
n. (medicine) any objective evidence of the presence of a disorder or disease
n. a gesture that is part of a sign language"
type,"n. a subdivision of a particular kind of thing
n. (biology) the taxonomic group whose characteristics are used to define the next higher taxon
n. printed characters
n. all of the tokens of the same symbol"
delete,v. remove or make invisible
reply,n. the speech act of continuing a conversational exchange
recommend,"v. push for something
v. make attractive or acceptable"
participate,v. share in something
fulfill,"v put in effect
v meet the requirements or expectations of
v fill or meet a want or need"
select,"v pick out, select, or choose from a number of alternatives
s of superior grade
s selected or chosen for special qualifications"
confirm,"v. establish or strengthen as with new evidence or facts
v. strengthen or make more firm
v. make more firm
v. support a person for a position"
replace,"v. substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected)
v. put something back where it belongs"
pale,"v. turn pale, as if in fear
s. very light colored; highly diluted with white
s. (of light) lacking in intensity or brightness; dim or feeble
s. lacking in vitality or interest or effectiveness"
normal,"a. conforming with or constituting a norm or standard or level or type or social norm; not abnormal
a. in accordance with scientific laws
a. being approximately average or within certain limits in e.g. intelligence and development
s. forming a right angle"
negative,"n. a reply of denial
n. a piece of photographic film showing an image with light and shade or colors reversed
a. characterized by or displaying negation or denial or opposition or resistance; having no positive features
a. expressing or consisting of a negation or refusal or denial"
obvious,a. easily perceived by the senses or grasped by the mind
regular,"n. a regular patron
n. a soldier in the regular army
n. a dependable follower (especially in party politics)
n. a garment size for persons of average height and weight"
particular,"n. a fact about some part (as opposed to general)
n. (logic) a proposition that asserts something about some (but not all) members of a class
s. unique or specific to a person or thing or category
s. separate and distinct from others of the same group or category"
permanent,"a. continuing or enduring without marked change in status or condition or place
s. not capable of being reversed or returned to the original condition"
ordinary,"n. a judge of a probate court
n. the expected or commonplace condition or situation
n. a clergyman appointed to prepare condemned prisoners for death
n. an early bicycle with a very large front wheel and small back wheel"
unskilled,a. not having or showing or requiring special skill or proficiency
temporary,"n a worker (especially in an office) hired on a temporary basis
a not permanent; not lasting
s lacking continuity or regularity"
sensible,"a. able to feel or perceive
s. readily perceived by the senses
s. aware intuitively or intellectually of something sensed"
miserably,r. in a miserable manner
smoothly,"r. with no problems or difficulties
r. in a smooth and diplomatic manner"
fill out,none
in charge of,none
on strike,none
wing,"n. a movable organ for flying (one of a pair)
n. one of the horizontal airfoils on either side of the fuselage of an airplane
n. a stage area out of sight of the audience
n. a unit of military aircraft"
comedian,"n. a professional performer who tells jokes and performs comical acts
n. an actor in a comedy"
mushroom,"n. common name for an edible agaric (contrasting with the inedible toadstool)
n. mushrooms and related fleshy fungi (including toadstools, puffballs, morels, coral fungi, etc.)
n. any of various fleshy fungi of the subdivision Basidiomycota consisting of a cap at the end of a stem arising from an underground mycelium
n. a large cloud of rubble and dust shaped like a mushroom and rising into the sky after an explosion (especially of a nuclear bomb)"
carpenter,"n. a woodworker who makes or repairs wooden objects
v. work as a carpenter"
trumpet,"v. proclaim on, or as if on, a trumpet
v. play or blow on the trumpet
v. utter in trumpet-like sounds"
sculpture,"n. a three-dimensional work of plastic art
n. creating figures or designs in three dimensions"
invitation,"n. a request (spoken or written) to participate or be present or take part in something
n. a tempting allurement"
stage,"n. a large platform on which people can stand and can be seen by an audience
n. the theater as a profession (usually `the stage')
n. a section or portion of a journey or course
n. any scene regarded as a setting for exhibiting or doing something"
niece,n. a daughter of your brother or sister
reason,"n. a rational motive for a belief or action
n. an explanation of the cause of some phenomenon
n. the capacity for rational thought or inference or discrimination
n. a fact that logically justifies some premise or conclusion"
thumb,"n. the thick short innermost digit of the forelimb
n. the part of a glove that provides a covering for the thumb"
boot,"n. footwear that covers the whole foot and lower leg
n. British term for the luggage compartment in a car
n. protective casing for something that resembles a leg
n. an instrument of torture that is used to heat or crush the foot and leg"
motor,"n. machine that converts other forms of energy into mechanical energy and so imparts motion
n. a nonspecific agent that imparts motion"
lighting,"n. apparatus for supplying artificial light effects for the stage or a film
n. the craft of providing artificial light"
questionnaire,n. a form containing a set of questions; submitted to people to gain statistical information
oven,n. kitchen appliance used for baking or roasting
laundry,"n. garments or white goods that can be cleaned by laundering
n. workplace where clothes are washed and ironed"
password,n. a secret word or phrase known only to a restricted group
rainforest,n a forest with heavy annual rainfall
cartoon,"n. a humorous or satirical drawing published in a newspaper or magazine
n. a film made by photographing a series of cartoon drawings to give the illusion of movement when projected in rapid sequence
v. draw cartoons of"
mustard,"n. any of several cruciferous plants of the genus Brassica
n. pungent powder or paste prepared from ground mustard seeds
n. leaves eaten as cooked greens"
jury,"n. a body of citizens sworn to give a true verdict according to the evidence presented in a court of law
n. a committee appointed to judge a competition"
rubbish,"n. worthless material that is to be disposed of
v. attack strongly"
prison,"n. a correctional institution where persons are confined while on trial or for punishment
n. a prisonlike situation; a place of seeming confinement"
punish,v. impose a penalty on; inflict punishment on
win,"n. a victory (as in a race or other competition)
v. be the winner in a contest or competition; be victorious"
shave,"n. the act of removing hair with a razor
v. remove body hair with a razor
v. cut closely
v. cut the price of"
spoil,"n. (usually plural) valuables taken by violence (especially in war)
n. the act of spoiling something by causing damage to it
n. the act of stripping and taking by force
v. become unfit for consumption or use"
sink,"n. plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
n. (technology) a process that acts to absorb or remove energy or a substance from a system
v. fall or descend to a lower place or level
v. cause to sink"
sweep,"n. a wide scope
n. a long oar used in an open boat
n. a movement in an arc
v. move with sweeping, effortless, gliding motions"
clap,"v. put quickly or forcibly
v. cause to strike the air in flight
v. clap one's hands together
v. strike the air in flight"
quit,"v put an end to a state or an activity
v give up or retire from a position
v go away or leave
v turn away from; give up
v give up in the face of defeat of lacking hope; admit defeat"
select,"v pick out, select, or choose from a number of alternatives
s of superior grade
s selected or chosen for special qualifications"
mention,"n. a remark that calls attention to something or someone
n. an official recognition of merit
v. make reference to
v. commend"
speak,"v. use language
v. make a characteristic or natural sound"
wrap,"n. cloak that is folded or wrapped around a person
n. a sandwich in which the filling is rolled up in a soft tortilla
v. arrange or fold as a cover or protection
v. crash into so as to coil around"
kick,"n. the act of delivering a blow with the foot
n. the sudden stimulation provided by strong drink (or certain drugs)
n. a rhythmic thrusting movement of the legs as in swimming or calisthenics
v. drive or propel with the foot"
recover,"v. get or find back; recover the use of
v. regain a former condition after a financial loss
v. regain or make up for
v. cover anew"
measure,"n. any maneuver made as part of progress toward a goal
n. how much there is or how many there are of something that you can quantify
n. musical notation for a repeating pattern of musical beats
n. a container of some standard capacity that is used to obtain fixed amounts of a substance"
warn,"v. notify of danger, potential harm, or risk
v. admonish or counsel in terms of someone's behavior
v. ask to go away
v. notify, usually in advance"
mild,a. moderate in type or degree or effect or force; far from extreme
rough,"n. the part of a golf course bordering the fairway where the grass is not cut short
a. having or caused by an irregular surface
s. (of persons or behavior) lacking refinement or finesse
a. of the margin of a leaf shape; having the edge cut or fringed or scalloped"
travel agent,none
flight attendant,none
science fiction,none
box office,none
put out,n. an out resulting from a fielding play (not a strikeout)
run out of,none
seem to,none
stay behind,none
put away,none
set off,"n. That which is set off against another thing; an offset.
n. That which is used to improve the appearance of anything;
   a decoration; an ornament.
n. A counterclaim; a cross debt or demand; a distinct claim
   filed or set up by the defendant against the plaintiff's demand.
n. Same as Offset, n., 4.
n. See Offset, 7."
quite a few,none
inquiry,"n. a search for knowledge
n. a systematic investigation of a matter of public interest"
vocabulary,"n. a listing of the words used in some enterprise
n. a language user's knowledge of words
n. the system of techniques or symbols serving as a means of expression (as in arts or crafts)"
stain,"n. a soiled or discolored appearance
n. (microscopy) a dye or other coloring material that is used in microscopy to make structures visible
v. color with a liquid dye or tint
v. produce or leave stains"
uncle,"n. the brother of your father or mother; the husband of your aunt
n. a source of help and advice and encouragement"
lavatory,"n a room or building equipped with one or more toilets
n a bathroom sink that is permanently installed and connected to a water supply and drainpipe; where you can wash your hands and face
n a toilet that is cleaned of waste by the flow of water through it"
twin,"n. either of two offspring born at the same time from the same pregnancy
n. a waterfall in the Snake River in southern Idaho
v. duplicate or match
v. grow as twins"
servant,n. a person working in the service of another (especially in the household)
toothpaste,n. a dentifrice in the form of a paste
throat,"n. the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone
n. an opening in the vamp of a shoe at the instep
n. a passage resembling a throat in shape or function; 
n. the part of an animal's body that corresponds to a person's throat"
journey,n. the act of traveling from one place to another
mug,"n. the quantity that can be held in a mug
n. with handle and usually cylindrical
v. rob at gunpoint or with the threat of violence"
object,"n. a tangible and visible entity; an entity that can cast a shadow
n. (grammar) a constituent that is acted upon
n. the focus of cognitions or feelings
n. (computing) a discrete item that provides a description of virtually anything known to a computer"
perfect,"v. make perfect or complete
a. being complete of its kind and without defect or blemish
s. precisely accurate or exact"
quay,n. wharf usually built parallel to the shoreline
officer,"n. a person authorized to serve in a position of authority on a vessel
v. direct or command as an officer"
theft,n the act of taking something from someone unlawfully
career,"n. the particular occupation for which you are trained
n. the general progression of your working or professional life
v. move headlong at high speed"
robbery,n. larceny by threat of violence
rugby,n. a form of football played with an oval ball
salary,n something that remunerates
ocean,"n. a large body of water constituting a principal part of the hydrosphere
n. anything apparently limitless in quantity or volume"
tourist,n. someone who travels for pleasure
umbrella,"n. a lightweight handheld collapsible canopy
n. a formation of military planes maintained over ground operations or targets
n. having the function of uniting a group of similar things
s. covering or applying simultaneously to a number of similar items or elements or groups"
wool,"n. a fabric made from the hair of sheep
n. fiber sheared from animals (such as sheep) and twisted into yarn for weaving
n. outer coat of especially sheep and yaks"
offer,"n. the verbal act of offering
n. something offered (as a proposal or bid)
v. make available or accessible, provide or furnish
v. present for acceptance or rejection"
role,n. normal or customary activity of a person in a particular social setting
mineral,"n. solid homogeneous inorganic substances occurring in nature having a definite chemical composition
a. relating to minerals
s. composed of matter other than plant or animal"
pack,"n. a complete collection of similar things
n. a convenient package or parcel (as of cigarettes or film)
n. a group of hunting animals
n. a cream that cleanses and tones the skin"
peel,"n. British politician (1788-1850)
n. the rind of a fruit or vegetable"
pull,"n. the act of pulling; applying force to move something toward or with you
n. the force used in pulling
n. special advantage or influence
n. a device used for pulling something"
vote,"n. a choice that is made by counting the number of people in favor of each alternative
n. the opinion of a group as determined by voting
n. a body of voters who have the same interests
n. the total number of voters who participated"
shake,"v. move or cause to move back and forth
v. move with or as if with a tremor
v. undermine or cause to waver
v. get rid of"
revise,v. make revisions in
search,"n. the activity of looking thoroughly in order to find something or someone
n. an investigation seeking answers
n. an operation that determines whether one or more of a set of items has a specified property
n. the examination of alternative hypotheses"
retire,"v. go into retirement; stop performing one's work or withdraw from one's position
v. withdraw from active participation
v. withdraw from circulation or from the market, as of bills, shares, and bonds
v. make (someone) retire"
promise,"n. a verbal commitment by one person to another agreeing to do (or not to do) something in the future
n. grounds for feeling hopeful about the future
v. make a promise or commitment
v. promise to undertake or give"
knock,"n. the sound of knocking (as on a door or in an engine or bearing)
n. negative criticism
n. a vigorous blow
n. a bad experience"
deliver,"v. deliver (a speech, oration, or idea)
v. bring to a destination, make a delivery
v. utter (an exclamation, noise, etc.)
v. save from sins"
slip,"n. a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
n. potter's clay that is thinned and used for coating or decorating ceramics
n. a young and slender person
n. an accidental misstep threatening (or causing) a fall"
persuade,"v. cause somebody to adopt a certain position, belief, or course of action; twist somebody's arm"
save,"n. (sports) the act of preventing the opposition from scoring
v. to keep up and reserve for personal or special use
v. bring into safety
v. spend less; buy at a reduced price"
mend,"n. sewing that repairs a worn or torn hole (especially in a garment)
v. heal or recover"
sore,n. an open skin infection
strange,"a. being definitely out of the ordinary and unexpected; slightly odd or even a bit weird
s. not known before"
least,"n. something that is of no importance
a. the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree
r. used to form the superlative"
opposite,"s. being directly across from each other; facing
a. of leaves etc; growing in pairs on either side of a stem
s. moving or facing away from each other
s. the other one of a complementary pair"
plenty,n. a full supply
tiny,s very small
warm,"v. get warm or warmer
v. make warm or warmer
a. having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat
a. psychologically warm; friendly and responsive"
rude,"s socially incorrect in behavior
s (of persons) lacking in refinement or grace
a lacking civility or good manners
s (used especially of commodities) being unprocessed or manufactured using only simple or minimal processes
s belonging to an early stage of technical development; characterized by simplicity and (often) crudeness"
sharp,"n. a musical notation indicating one half step higher than the note named
n. a long thin sewing needle with a sharp point
s. harsh
a. keenly and painfully felt; as if caused by a sharp edge or point"
medium,"n. a means or instrumentality for storing or communicating information
n. the surrounding environment
n. an intervening substance through which signals can travel as a means for communication
n. a liquid with which pigment is mixed by a painter"
nervous,"s. easily agitated
a. of or relating to the nervous system"
realistic,"a. aware or expressing awareness of things as they really are
a. of or relating to the philosophical doctrine of realism"
disc jockey,v comment on music to be played
set up,n. the way something is organized or arranged
steam,"n. water at boiling temperature diffused in the atmosphere
v. emit steam
v. rise as vapor
v. get very angry"
ruin,"n. an irrecoverable state of devastation and destruction
n. a ruined building
n. an event that results in destruction
v. destroy or cause to fail"
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
pullover,n. a sweater that is put on by pulling it over the head
wallet,n. a pocket-size case for holding papers and paper money
zone,"n. a locally circumscribed place characterized by some distinctive features
n. any of the regions of the surface of the Earth loosely divided according to latitude or longitude
n. an area or region distinguished from adjacent parts by a distinctive feature or characteristic
n. (anatomy) any encircling or beltlike structure"
refund,"n. money returned to a payer
n. the act of returning money received previously
v. pay back"
talent,n. a person who possesses unusual innate ability in some field or activity
uniform,"n. clothing of distinctive design worn by members of a particular group as a means of identification
v. provide with uniforms
a. always the same; showing a single form or character in all occurrences
s. evenly spaced"
shark,"n. any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales
n. a person who is ruthless and greedy and dishonest
n. a person who is unusually skilled in certain ways
v. play the shark; act with trickery"
ward,"n. a person who is under the protection or in the custody of another
n. a district into which a city or town is divided for the purpose of administration and elections
n. block forming a division of a hospital (or a suite of rooms) shared by patients who need a similar kind of care
n. English economist and conservationist (1914-1981)"
visa,"n. an endorsement made in a passport that allows the bearer to enter the country issuing it
v. provide (a passport) with a visa
v. approve officially"
wild,"n. a wild primitive state untouched by civilization
a. marked by extreme lack of restraint or control
a. in a natural state; not tamed or domesticated or cultivated
s. in a state of extreme emotion"
saucer,n. a small shallow dish for holding a cup at the table
wire,"n. ligament made of metal and used to fasten things or make cages or fences etc
n. a metal conductor that carries electricity over a distance
n. the finishing line on a racetrack
v. provide with electrical circuits"
tick,"n. a metallic tapping sound
n. any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals
n. a light mattress
v. make a sound like a clock or a timer"
insect,n. small air-breathing arthropod
solid,"n. matter that is solid at room temperature and pressure
n. the state in which a substance has no tendency to flow under moderate stress; resists forces (such as compression) that tend to deform it; and retains a definite size and shape
n. a three-dimensional shape
s. characterized by good substantial quality"
sort,"n. an approximate definition or example
n. a person of a particular character or nature
n. an operation that segregates items into groups according to a specified criterion"
valley,n. a long depression in the surface of the land that usually contains a river
knit,"n. a fabric made by knitting
n. a basic knitting stitch
n. needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine
v. make (textiles) by knitting"
steep,"n. a steep place (as on a hill)
v. devote (oneself) fully to
v. let sit in a liquid to extract a flavor or to cleanse
a. having a sharp inclination"
lung,n. either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
route,"v. send documents or materials to appropriate destinations
v. send via a specific route
v. divert in a specified direction"
level,"n. height above ground
n. indicator that establishes the horizontal when a bubble is centered in a tube of liquid
n. an abstract place usually conceived as having depth
v. aim at"
index,"n. a numerical scale used to compare variables with one another or with some reference number
n. a number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal relative changes as a function of time
n. an alphabetical listing of names and topics along with page numbers where they are discussed
n. the finger next to the thumb"
jug,"n. a large bottle with a narrow mouth
n. the quantity contained in a jug
v. stew in an earthenware jug"
kilometer,n. a metric unit of length equal to 1000 meters (or 0.621371 miles)
majority,"n. the property resulting from being or relating to the greater in number of two parts; the main part
n. (elections) more than half of the votes
n. the age at which persons are considered competent to manage their own affairs"
practice,"n. a customary way of operation or behavior
n. translating an idea into action
n. the exercise of a profession
n. knowledge of how something is usually done"
total,"v. add up in number or quantity
v. determine the sum of
v. damage beyond the point of repair"
matter,"n. a vaguely specified concern
n. that which has mass and occupies space
n. a problem
n. (used with negation) having consequence"
nonsense,"n. a message that seems to convey no meaning
s. having no intelligible meaning"
trust,"n. something (as property) held by one party (the trustee) for the benefit of another (the beneficiary)
n. the trait of believing in the honesty and reliability of others
n. a consortium of independent organizations formed to limit competition by controlling the production and distribution of a product or service
v. have confidence or faith in"
qualify,"v. prove capable or fit; meet requirements
v. pronounce fit or able
v. make more specific
v. make fit or prepared"
melt,"v. reduce or cause to be reduced from a solid to a liquid state, usually by heating
v. lose its distinct outline or shape; blend gradually
v. become less intense and fade away gradually"
prove,"v. be shown or be found to be
v. establish the validity of something, as by an example, explanation or experiment
v. prove formally; demonstrate by a mathematical, formal proof
v. take a trial impression of"
shoot,"n. a new branch
n. the act of shooting at targets
v. hit with a missile from a weapon
v. kill by firing a missile"
spend,"v. pass time in a specific way
v. pay out
v. spend completely"
manage,"v. be in charge of, act on, or dispose of"
rescue,"n. recovery or preservation from loss or danger
v. free from harm or evil
v. take forcibly from legal custody"
wave,"n. one of a series of ridges that moves across the surface of a liquid (especially across a large body of water)
n. a movement like that of a sudden occurrence or increase in a specified phenomenon
n. (physics) a movement up and down or back and forth
n. something that rises rapidly"
weigh,"v. have a certain weight
v. determine the weight of
v. to be oppressive or burdensome"
lonely,"s. marked by dejection from being alone
s. devoid of creatures"
private,"n. an enlisted man of the lowest rank in the Army or Marines
a. confined to particular persons or groups or providing privacy
s. concerning things deeply private and personal"
upset,"n. the act of disturbing the mind or body
n. a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
n. the act of upsetting something
v. disturb the balance or stability of"
stiff,"n. an ordinary man
s. not moving or operating freely
s. powerful
r. extremely"
necessary,"a. absolutely essential
s. unavoidably determined by prior circumstances"
magnificent,s characterized by grandeur
strict,"s rigidly accurate; allowing no deviation from a standard
s (of rules) stringently enforced
a characterized by strictness, severity, or restraint
s incapable of compromise or flexibility
s severe and unremitting in making demands"
primary,"n. a preliminary election where delegates or nominees are chosen
n. one of the main flight feathers projecting along the outer edge of a bird's wing
n. (astronomy) a celestial body (especially a star) relative to other objects in orbit around it
a. of first rank or importance or value; direct and immediate rather than secondary"
loose,"a. not compact or dense in structure or arrangement
s. (of a ball in sport) not in the possession or control of any player
a. not tight; not closely constrained or constricted or constricting
s. not tense or taut"
larger,"s large or big relative to something else
a above average in size or number or quantity or magnitude or extent
s fairly large or important in effect; influential
s ostentatiously lofty in style
s generous and understanding and tolerant
s conspicuous in position or importance
s having broad power and range and scope
s in an advanced stage of pregnancy"
partly,r in part; in some degree; not wholly
in advance,none
wear off,none
poverty,n. the state of having little or no money and few or no material possessions
width,n. the extent of something from side to side
result,"n. something that results
v. issue or terminate (in a specified way, state, etc.); end
v. come about or follow as a consequence"
quiz,"n. an examination consisting of a few short questions
v. examine someone's knowledge of something"
sale,"n. a particular instance of selling
n. the general activity of selling
n. an occasion (usually brief) for buying at specially reduced prices
n. the state of being purchasable; offered or exhibited for selling"
spot,"n. a short section or illustration (as between radio or tv programs or in a magazine) that is often used for advertising
n. a small contrasting part of something
n. a section of an entertainment that is assigned to a specific performer or performance
n. a business establishment for entertainment"
tablet,"n. a slab of stone or wood suitable for bearing an inscription
n. a small flat compressed cake of some substance"
tube,"n. conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases
n. electronic device consisting of a system of electrodes arranged in an evacuated glass or metal envelope
n. (anatomy) any hollow cylindrical body structure
v. provide with a tube or insert a tube into"
prince,n. a male member of a royal family other than the sovereign (especially the son of a sovereign)
lump,v. put together indiscriminately
nephew,n. a son of your brother or sister
omelette,n beaten eggs or an egg mixture cooked until just set; may be folded around e.g. ham or cheese or jelly
pain,"n. a symptom of some physical hurt or disorder
n. emotional distress; a fundamental feeling that people try to avoid
n. a somatic sensation of acute discomfort
n. a bothersome annoying person"
pharmacy,"n. the art and science of preparing and dispensing drugs and medicines,"
wedding,"n. the social event at which the ceremony of marriage is performed
n. a party of people at a wedding"
load,"n. weight to be borne or conveyed
n. a quantity that can be processed or transported at one time
n. an amount of alcohol sufficient to intoxicate
n. the power output of a generator or power plant"
mist,"n. a thin fog with condensation near the ground
v. become covered with mist
v. spray finely or cover with mist"
pillow,"n. a cushion to support the head of a sleeping person
v. rest on or as if on a pillow"
ingredient,"n. a component of a mixture or compound
n. food that is a component of a mixture in cooking"
tights,n. skintight knit hose covering the body from the waist to the feet worn by acrobats and dancers and as stockings by women and girls
receipt,"n. an acknowledgment (usually tangible) that payment has been made
v. mark or stamp as paid"
shade,"n. relative darkness caused by light rays being intercepted by an opaque body
n. a quality of a given color that differs slightly from another color
n. protective covering that protects something from direct sunlight
n. a position of relative inferiority"
venue,"n. the scene of any event or action (especially the place of a meeting)
n. in law: the jurisdiction where a trial will be held"
quarter,"n. a district of a city having some distinguishing character
n. (football, professional basketball) one of four divisions into which some games are divided
n. a unit of time equal to 15 minutes or a quarter of an hour
n. one of four periods into which the school year is divided"
power,"n. possession of controlling influence
n. (physics) the rate of doing work; measured in watts (= joules/second)
n. one possessing or exercising power or influence or authority
v. supply the force or power for the functioning of"
opinion,"n. a personal belief or judgment that is not founded on proof or certainty
n. a message expressing a belief about something; the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof
n. the legal document stating the reasons for a judicial decision
n. the reason for a court's judgment (as opposed to the decision itself)"
inhabitant,n. a person who inhabits a particular place
thermometer,n. measuring instrument for measuring temperature
percent,n a proportion in relation to a whole (which is usually the amount per hundred)
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
race,"n. any competition
n. a contest of speed
n. people who are believed to belong to the same genetic stock
v. compete in a race"
record,"n. anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events
n. the number of wins versus losses and ties a team has had
n. the sum of recognized accomplishments
n. a compilation of the known facts regarding something or someone"
pause,"n. a time interval during which there is a temporary cessation of something
n. temporary inactivity
v. cease an action temporarily"
prevent,"v. keep from happening or arising; make impossible
v. stop (someone or something) from doing something or being in a certain state"
interrupt,"n. a signal that temporarily stops the execution of a program so that another procedure can be carried out
v. make a break in
v. destroy the peace or tranquility of
v. interfere in someone else's activity"
recommend,"v. push for something
v. make attractive or acceptable"
shine,"v. emit light; be bright, as of the sun or a light
v. be distinguished or eminent
v. be clear and obvious
v. throw or flash the light of (a lamp)"
stir,"n. a prominent or sensational but short-lived news event
n. emotional agitation and excitement
v. move an implement through
v. move very slightly"
proper,"a. marked by suitability or rightness or appropriateness
s. having all the qualities typical of the thing specified; not just a snack""
s. limited to the thing specified
s. appropriate for a condition or purpose or occasion or a person's character, needs"
unleaded,"a. not treated with lead
s. not having leads between the lines"
raw,"n. informal terms for nakedness
s. having the surface exposed and painful
a. not treated with heat to prepare it for eating
s. not processed or refined"
merry,"s full of or showing high-spirited merriment
s offering fun and gaiety
s quick and energetic"
shallow,"v. make shallow
v. become shallow
a. lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
a. not deep or strong; not affecting one deeply"
terrible,"s causing fear or dread or terror
s exceptionally bad or displeasing
s intensely or extremely bad or unpleasant in degree or quality
s extreme in degree or extent or amount or impact"
crowded,a. overfilled or compacted or concentrated
simple,"n. any herbaceous plant having medicinal properties
a. having few parts; not complex or complicated or involved
a. (botany) of leaf shapes; of leaves having no divisions or subdivisions
s. unornamented"
punctual,a. acting or arriving or performed exactly at the time appointed
intelligent,"a. having the capacity for thought and reason especially to a high degree
s. possessing sound knowledge
s. endowed with the capacity to reason"
traditional,"a. consisting of or derived from tradition
s. pertaining to time-honored orthodox doctrines"
sour,"n. a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar
n. the taste experience when vinegar or lemon juice is taken into the mouth
v. go sour or spoil
v. make sour or more sour"
regarding,"v deem to be
v look at attentively
v connect closely and often incriminatingly"
since,"adv. From a definite past time until now; as, he went a month
   ago, and I have not seen him since.
adv. In the time past, counting backward from the present;
   before this or now; ago.
adv. When or that.
prep. From the time of; in or during the time subsequent to;
   subsequently to; after; -- usually with a past event or time for the
   object.
conj. Seeing that; because; considering; -- formerly followed
   by that."
put off,n. A shift for evasion or delay; an evasion; an excuse.
