precise,a. sharply exact or accurate or delimited
entrance,"n. something that provides access (to get in or get out)
n. a movement into or inward
n. the act of entering
v. put into a trance"
balloon,"n. large tough nonrigid bag filled with gas or heated air
n. small thin inflatable rubber bag with narrow neck
v. ride in a hot-air balloon
v. become inflated"
starvation,"n. a state of extreme hunger resulting from lack of essential nutrients over a prolonged period
n. the act of depriving of food or subjecting to famine"
environment,"n. the totality of surrounding conditions
n. the area in which something exists or lives"
mention,"n. a remark that calls attention to something or someone
n. an official recognition of merit
v. make reference to
v. commend"
underground,"n. a secret group organized to overthrow a government or occupation force
r. in or into hiding or secret operation
r. beneath the surface of the earth"
surplus,"n a quantity much larger than is needed
s more than is needed, desired, or required"
survive,"v. continue to live through hardship or adversity
v. continue in existence after (an adversity, etc.)"
announcement,"n. a formal public statement
n. a public statement containing information about an event that has happened or is going to happen"
data,n. a collection of facts from which conclusions may be drawn
talent,n. a person who possesses unusual innate ability in some field or activity
belong,"v. be owned by; be in the possession of
v. be suitable or acceptable
v. be in the right place or situation
v. be rightly classified in a class or category"
communication,"n. the activity of communicating; the activity of conveying information
n. something that is communicated by or to or between people or groups
n. a connection allowing access between persons or places"
contrary,"n. exact opposition
n. a logical relation such that two propositions are contraries if both cannot be true but both can be false
s. very opposed in nature or character or purpose
s. of words or propositions so related that both cannot be true but both may be false"
hardly,r. almost not
electronic,"a. of or relating to electronics; concerned with or using devices that operate on principles governing the behavior of electrons
a. of or concerned with electrons"
pill,"n. something that resembles a tablet of medicine in shape or size
n. a dose of medicine in the form of a small pellet
n. a unpleasant or tiresome person
n. something unpleasant or offensive that must be tolerated or endured"
dull,"v. make dull in appearance
v. become dull or lusterless in appearance; lose shine or brightness
v. make dull or blunt
v. make less lively or vigorous"
ski,"n. narrow wood or metal or plastic runners used in pairs for gliding over snow
v. move along on skis"
agriculture,n. the class of people engaged in growing food
workplace,n. a place where work is done
frequent,"v. be a regular or frequent visitor to a certain place
a. coming at short intervals or habitually
s. frequently encountered;"
scientific,"a. of or relating to the practice of science
a. conforming with the principles or methods used in science"
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
vehicle,"n. a conveyance that transports people or objects
n. a medium for the expression or achievement of something
n. any substance that facilitates the use of a drug or pigment or other material that is mixed with it"
suppose,v. express a supposition
order,"n. (often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed
n. a degree in a continuum of size or quantity
n. established customary state (especially of society)
n. a commercial document used to request someone to supply something in return for payment and providing specifications and quantities"
tractor,"n. a wheeled vehicle with large wheels; used in farming and other applications
n. a truck that has a cab but no body; used for pulling large trailers or vans"
occur,"v. come to one's mind; suggest itself
v. to be found to exist"
technology,n. the practical application of science to commerce or industry
resign,v. accept as inevitable
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
confident,"a. having or marked by confidence or assurance
s. not liable to error in judgment or action"
flame,"v. be in flames or aflame
v. criticize harshly, usually via an electronic medium"
terror,"n. a person who inspires fear or dread
n. a very troublesome child
n. the use of extreme fear in order to coerce people (especially for political reasons)"
paragraph,"n. one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line
v. divide into paragraphs, as of text
v. write about in a paragraph
v. write paragraphs; work as a paragrapher"
applaud,"v. clap one's hands or shout after performances to indicate approval
v. express approval of"
sunlight,n. the rays of the sun
beneficial,s. promoting or enhancing well-being
vocabulary,"n. a listing of the words used in some enterprise
n. a language user's knowledge of words
n. the system of techniques or symbols serving as a means of expression (as in arts or crafts)"
shine,"v. emit light; be bright, as of the sun or a light
v. be distinguished or eminent
v. be clear and obvious
v. throw or flash the light of (a lamp)"
combine,"n. harvester that heads and threshes and cleans grain while moving across the field
v. add together from different sources
v. join for a common purpose or in a common action"
clumsy,"s lacking grace in movement or posture
s not elegant or graceful in expression
s difficult to handle or manage especially because of shape
s showing lack of skill or aptitude"
curriculum,n an integrated course of academic studies
composition,"n. the spatial property resulting from the arrangement of parts in relation to each other and to the whole
n. a mixture of ingredients
n. an essay (especially one written as an assignment)
n. something that is created by arranging several things to form a unified whole"
grey,"n. United States writer of western adventure novels (1875-1939)
n. Queen of England for nine days in 1553; she was quickly replaced by Mary Tudor and beheaded for treason (1537-1554)
n. Englishman who as Prime Minister implemented social reforms including the abolition of slavery throughout the British Empire (1764-1845)
n. any organization or party whose uniforms or badges are grey"
profit,"n. the advantageous quality of being beneficial
v. derive a benefit from
v. make a profit; gain money or materially"
exercise,"n. the activity of exerting your muscles in various ways to keep fit
n. systematic training by multiple repetitions
n. a task performed or problem solved in order to develop skill or understanding
n. (usually plural) a ceremony that involves processions and speeches"
sidewalk,n. walk consisting of a paved area for pedestrians; usually beside a street or roadway
lap,"n. the upper side of the thighs of a seated person
n. an area of control or responsibility
n. the part of a piece of clothing that covers the thighs
n. a flap that lies over another part"
divorce,"n. the legal dissolution of a marriage
v. get a divorce; formally terminate a marriage"
react,"v. show a response or a reaction to something
v. act against or in opposition to
v. undergo a chemical reaction; react with another substance under certain conditions"
shame,"n. a painful emotion resulting from an awareness of inadequacy or guilt
n. a state of dishonor
v. compel through a sense of shame
v. cause to be ashamed"
swing,"n. a state of steady vigorous action that is characteristic of an activity
n. mechanical device used as a plaything to support someone swinging back and forth
n. a sweeping blow or stroke
n. changing location by moving back and forth"
cigarette,n. finely ground tobacco wrapped in paper; for smoking
altitude,"n. elevation especially above sea level or above the earth's surface
n. the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)"
application,"n. the act of bringing something to bear; using it for a particular purpose
n. a verbal or written request for assistance or employment or admission to a school
n. the work of applying something; 
n. a program that gives a computer instructions that provide the user with tools to accomplish a task"
amaze,v. affect with wonder
furniture,n. furnishings that make a room or other area ready for occupancy
conductor,"n. the person who leads a musical group
n. a substance that readily conducts e.g. electricity and heat
n. the person who collects fares on a public conveyance
n. a device designed to transmit electricity, heat, etc."
circle,"n. ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point
n. something approximating the shape of a circle
n. a curved section or tier of seats in a hall or theater or opera house; usually the first tier above the orchestra
n. any circular or rotating mechanism"
aim,"n. the goal intended to be attained (and which is believed to be attainable)
n. the action of directing something at an object
v. point or cause to go (blows, weapons, or objects such as photographic equipment) towards
v. propose or intend"
wheel,"n. a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
n. forces that provide energy and direction
n. a circular helm to control the rudder of a vessel
v. change directions as if revolving on a pivot"
beancurd,none
record,"n. anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events
n. the number of wins versus losses and ties a team has had
n. the sum of recognized accomplishments
n. a compilation of the known facts regarding something or someone"
seldom,r not often
disturb,"v. move deeply
v. damage as if by shaking or jarring"
parallel,"n. (mathematics) one of a set of parallel geometric figures (parallel lines or planes)
v. be parallel to
v. make or place parallel to something
a. being everywhere equidistant and not intersecting"
wag,"n. a witty amusing person who makes jokes
n. causing to move repeatedly from side to side
v. move from side to side"
framework,"n. the underlying structure
n. a structure supporting or containing something"
beat,"n. a regular route for a sentry or policeman
n. a single pulsation of an oscillation produced by adding two waves of different frequencies; has a frequency equal to the difference between the two oscillations
n. the sound of stroke or blow
n. a regular rate of repetition"
swallow,"n. a small amount of liquid food
n. the act of swallowing
n. small long-winged songbird noted for swift graceful flight and the regularity of its migrations
v. pass through the esophagus as part of eating or drinking"
academic,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects"
agreement,"n. the statement (oral or written) of an exchange of promises
n. compatibility of observations
n. harmony of people's opinions or actions or characters
n. the thing arranged or agreed to"
shooting,"n. the act of firing a projectile
n. killing someone by gunfire"
minus,"a. on the negative side or lower end of a scale
s. involving disadvantage or harm"
typewriter,n. hand-operated character printer for printing written messages one character at a time
satisfy,"v. meet the requirements or expectations of
v. make happy or satisfied"
income,n. the financial gain (earned or unearned) accruing over a given period of time
absence,"n. the state of being absent
n. failure to be present
n. the time interval during which something or somebody is away
n. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy"
sleepy,s. ready to fall asleep
appointment,"n. the act of putting a person into a non-elective position
n. (usually plural) furnishings and equipment (especially for a ship or hotel)
n. the job to which you are (or hope to be) appointed
n. (law) the act of disposing of property by virtue of the power of appointment"
comprehension,n. an ability to understand the meaning or importance of something (or the knowledge acquired as a result)
withdraw,"v. pull back or move away or backward
v. remove (a commodity) from (a supply source)"
snack,"n a light informal meal
v eat a snack; eat lightly"
register,"n. an official written record of names or events or transactions
n. (music) the timbre that is characteristic of a certain range and manner of production of the human voice or of different pipe organ stops or of different musical instruments
n. a book in which names and transactions are listed
n. (computer science) memory device that is the part of computer memory that has a specific address and that is used to hold information of a specific kind"
conversation,n. the use of speech for informal exchange of views or ideas or information etc.
portable,"n. a small light typewriter; usually with a case in which it can be carried
a. easily or conveniently transported
s. of a motor designed to be attached to the outside of a boat's hull"
solar,a. relating to or derived from the sun or utilizing the energies of the sun
become,"v. enter or assume a certain state or condition
v. undergo a change or development
v. come into existence
v. enhance the appearance of"
umbrella,"n. a lightweight handheld collapsible canopy
n. a formation of military planes maintained over ground operations or targets
n. having the function of uniting a group of similar things
s. covering or applying simultaneously to a number of similar items or elements or groups"
except,"v take exception to
v prevent from being included or considered or accepted"
painter,"n. an artist who paints
n. a worker who is employed to cover objects with paint
n. a line that is attached to the bow of a boat and used for tying up (as when docking or towing)"
simplify,v. make simpler or easier or reduce in complexity or extent
percentage,n. a proportion in relation to a whole (which is usually the amount per hundred)
license,"n. a legal document giving official permission to do something
n. freedom to deviate deliberately from normally applicable rules or practices (especially in behavior or speech)
n. excessive freedom; lack of due restraint
n. the act of giving a formal (usually written) authorization"
scarf,"n. a garment worn around the head or neck or shoulders for warmth or decoration
v. masturbate while strangling oneself
v. unite by a scarf joint
v. wrap in or adorn with a scarf"
memorize,v. commit to memory; learn by heart
average,"n. a statistic describing the location of a distribution
n. (sports) the ratio of successful performances to opportunities
n. an intermediate scale value regarded as normal or usual
v. amount to or come to an average, without loss or gain"
entire,"s. constituting the full quantity or extent; complete
s. (of leaves or petals) having a smooth edge; not broken up into teeth or lobes
s. (used of domestic animals) sexually competent"
plain,"n. extensive tract of level open land
a. not elaborate or elaborated; simple
a. lacking patterns especially in color
s. not mixed with extraneous elements"
fence,"n. a barrier that serves to enclose an area
n. a dealer in stolen property
v. enclose with a fence
v. receive stolen goods"
basic,"n. a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use
n. (usually plural) a necessary commodity for which demand is constant
a. pertaining to or constituting a base or basis
s. reduced to the simplest and most significant form possible without loss of generality"
allowance,"n. an amount allowed or granted (as during a given period)
n. a sum granted as reimbursement for expenses
n. an amount added or deducted on the basis of qualifying circumstances
n. a permissible difference; allowing some freedom to move within limits"
float,"n. the time interval between the deposit of a check in a bank and its payment
n. the number of shares outstanding and available for trading by the public
n. an elaborate display mounted on a platform carried by a truck (or pulled by a truck) in a procession or parade
n. a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco"
equip,"v. provide with (something) usually for a specific purpose
v. provide with abilities or understanding"
software,n. (computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory
consultant,n an expert who gives advice
shoulder,"n. the part of the body between the neck and the upper arm
n. a cut of meat including the upper joint of the foreleg
n. a ball-and-socket joint between the head of the humerus and a cavity of the scapula
n. the part of a garment that covers or fits over the shoulder"
degree,"n. a position on a scale of intensity or amount or quality
n. a specific identifiable position in a continuum or series or especially in a process
n. a measure for arcs and angles
n. the highest power of a term or variable"
cheese,"n. a solid food prepared from the pressed curd of milk
v. used in the imperative (get away, or stop it)
v. wind onto a cheese"
optional,a. possible but not necessary; left to personal choice
temptation,"n. something that seduces or has the quality to seduce
n. the desire to have or do something that you know you should avoid"
heaven,n. the abode of God and the angels
contribute,"v. contribute to some cause
v. be conducive to"
wildlife,n. all living things (except people) that are undomesticated
urgent,s compelling immediate action
respond,v. respond favorably or as hoped
voluntary,"n. composition (often improvised) for a solo instrument (especially solo organ) and not a regular part of a religious service or musical performance
a. of your own free will or design; done by choice; not forced or compelled
a. controlled by individual volition"
product,"n. an artifact that has been created by someone or some process
n. a quantity obtained by multiplication
n. a chemical substance formed as a result of a chemical reaction
n. a consequence of someone's efforts or of a particular set of circumstances"
ladder,"n. steps consisting of two parallel members connected by rungs; for climbing up or down
n. ascending stages by which somebody or something can progress
v. come unraveled or undone as if by snagging"
essay,"n. an analytic or interpretive literary composition
n. a tentative attempt"
playground,n. yard consisting of an outdoor area for children's play
insert,"n. a folded section placed between the leaves of another publication
n. an artifact that is inserted or is to be inserted
v. put or introduce into something
v. introduce"
owe,"v. be obliged to pay or repay
v. be indebted to, in an abstract or intellectual sense
v. be in debt"
sick,"n. people who are sick
s. deeply affected by a strong feeling"
effort,n. use of physical or mental energy; hard work
fluent,s. smooth and unconstrained in movement
surprise,"n. the astonishment you feel when something totally unexpected happens to you
n. a sudden unexpected event
n. the act of surprising someone
v. cause to be surprised"
habit,"n. an established custom
n. (psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition
n. a distinctive attire worn by a member of a religious order
n. the general form or mode of growth (especially of a plant or crystal)"
postcode,n a code of letters and digits added to a postal address to aid in the sorting of mail
temporary,"n a worker (especially in an office) hired on a temporary basis
a not permanent; not lasting
s lacking continuity or regularity"
iron,"n. a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood
n. a golf club that has a relatively narrow metal head
n. implement used to brand live stock
n. home appliance consisting of a flat metal base that is heated and used to smooth cloth"
toothpaste,n. a dentifrice in the form of a paste
annoy,"v. cause annoyance in; disturb, especially by minor irritations"
private,"n. an enlisted man of the lowest rank in the Army or Marines
a. confined to particular persons or groups or providing privacy
s. concerning things deeply private and personal"
importance,"n. the quality of being important and worthy of note
n. a prominent status"
alphabet,n. a character set that includes letters and is used to write a language
lie,"n. a statement that deviates from or perverts the truth
n. Norwegian diplomat who was the first Secretary General of the United Nations (1896-1968)
n. position or manner in which something is situated
v. be located or situated somewhere; occupy a certain position"
decide,"v. reach, make, or come to a decision about something
v. bring to an end; settle conclusively
v. cause to decide
v. influence or determine"
gesture,"n. motion of hands or body to emphasize or help to express a thought or feeling
n. the use of movements (especially of the hands) to communicate familiar or prearranged signals
n. something done as an indication of intention"
insect,n. small air-breathing arthropod
roast,"n. a piece of meat roasted or for roasting and of a size for slicing into more than one portion
v. cook with dry heat, usually in an oven
s. (meat) cooked by dry heat in an oven"
false,"a. not in accordance with the fact or reality or actuality
s. arising from error
s. erroneous and usually accidental
s. deliberately deceptive"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
vivid,s. having the clarity and freshness of immediate experience
mushroom,"n. common name for an edible agaric (contrasting with the inedible toadstool)
n. mushrooms and related fleshy fungi (including toadstools, puffballs, morels, coral fungi, etc.)
n. any of various fleshy fungi of the subdivision Basidiomycota consisting of a cap at the end of a stem arising from an underground mycelium
n. a large cloud of rubble and dust shaped like a mushroom and rising into the sky after an explosion (especially of a nuclear bomb)"
elect,"v. select by a vote for an office or membership
v. choose
s. selected as the best
s. elected but not yet installed in office"
database,n. an organized body of related information
sow,"n. an adult female hog
v. place (seeds) in or on the ground for future growth
v. introduce into an environment"
pollute,v. make impure
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
helicopter,n. an aircraft without wings that obtains its lift from the rotation of overhead blades
admirable,"s. deserving of the highest esteem or admiration
s. inspiring admiration or approval"
edge,"n. the boundary of a surface
n. a sharp side formed by the intersection of two surfaces of an object
n. the attribute of urgency in tone of voice
n. a slight competitive advantage"
harmony,"n. compatibility in opinion and action
n. the structure of music with respect to the composition and progression of chords
n. a harmonious state of things in general and of their properties (as of colors and sounds); congruity of parts with one another and with the whole
n. agreement of opinions"
fluency,"n. skillfulness in speaking or writing
n. the quality of being facile in speech and writing"
golden,"s. marked by peace and prosperity
s. suggestive of gold
s. presaging or likely to bring good luck"
block,"n. a solid piece of something (usually having flat rectangular sides)
n. a rectangular area in a city surrounded by streets and usually containing several buildings
n. a three-dimensional shape with six square or rectangular sides
n. a number or quantity of related things dealt with as a unit"
ruin,"n. an irrecoverable state of devastation and destruction
n. a ruined building
n. an event that results in destruction
v. destroy or cause to fail"
motorbike,v. ride a motorcycle
discount,"n. the act of reducing the selling price of merchandise
v. give a reduction in price on"
slight,"v. pay no attention to, disrespect"
microscope,n. magnifier of the image of small objects
electrical,a. relating to or concerned with electricity
apologize,"v. acknowledge faults or shortcomings or failing
v. defend, explain, clear away, or make excuses for by reasoning"
harm,v. cause or do harm to
persuade,"v. cause somebody to adopt a certain position, belief, or course of action; twist somebody's arm"
ground,"n. a position to be won or defended in battle (or as if in battle)
n. a relatively homogeneous percept extending back of the figure on which attention is focused
n. a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage)
n. (art) the surface (as a wall or canvas) prepared to take the paint for a painting"
accomplish,"v put in effect
v to gain with effort"
budget,"n. a sum of money allocated for a particular purpose
n. a summary of intended expenditures along with proposals for how to meet them
v. make a budget"
create,"v. bring into existence
v. pursue a creative activity; be engaged in a creative activity
v. invest with a new title, office, or rank
v. create by artistic means"
thermos,n. vacuum flask that preserves temperature of hot or cold drinks
wealthy,s having an abundant supply of money or possessions of value
outline,"n. the line that appears to bound an object
n. a sketchy summary of the main points of an argument or theory
n. a schematic or preliminary plan"
fierce,s. marked by extreme intensity of emotions or convictions; inclined to react violently; fervid
toothbrush,n. small brush; has long handle; used to clean teeth
classify,"v. arrange or order by classes or categories
v. declare unavailable, as for security reasons"
disappointment,"n. a feeling of dissatisfaction that results when your expectations are not realized
n. an act (or failure to act) that disappoints someone"
qualification,"n. an attribute that must be met or complied with and that fits a person for something
n. the act of modifying or changing the strength of some idea"
unfold,"v. open to the view
v. extend or stretch out to a greater or the full length
v. spread out or open from a closed or folded state"
honour,"n the state of being honored
n a tangible symbol signifying approval or distinction
n the quality of being honorable and having a good name
n a woman's virtue or chastity
v bestow honor or rewards upon
v show respect towards
v accept as pay"
sensitive,"a. responsive to physical stimuli
a. being susceptible to the attitudes, feelings, or circumstances of others
s. hurting
s. of or pertaining to classified information or matters affecting national security"
lamp,"n. an artificial source of visible illumination
n. a piece of furniture holding one or more electric light bulbs"
poisonous,"s. having the qualities or effects of a poison
s. not safe to eat
s. marked by deep ill will; deliberately harmful"
circuit,"n. an electrical device that provides a path for electrical current to flow
n. an established itinerary of venues or events that a particular group of people travel to
n. (law) a judicial division of a state or the United States (so-called because originally judges traveled and held court in different locations); one of the twelve groups of states in the United States that is covered by a particular circuit court of appeals
v. make a circuit"
glasshouse,n a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions
instrument,"n. a device that requires skill for proper use
n. the means whereby some act is accomplished
n. a person used by another to gain an end
v. equip with instruments for measuring, recording, or controlling"
topic,n. some situation or event that is thought about
nurse,"n. one skilled in caring for young children or the sick (usually under the supervision of a physician)
v. try to cure by special care of treatment, of an illness or injury
v. serve as a nurse; care for sick or handicapped people
v. treat carefully"
mist,"n. a thin fog with condensation near the ground
v. become covered with mist
v. spray finely or cover with mist"
harvest,"n. the consequence of an effort or activity
n. the gathering of a ripened crop
n. the season for gathering crops
v. remove from a culture or a living or dead body, as for the purposes of transplantation"
secretary,"n. a person who is head of an administrative department of government
n. an assistant who handles correspondence and clerical work for a boss or an organization
n. a desk used for writing"
stream,"n. a natural body of running water flowing on or under the earth
n. dominant course (suggestive of running water) of successive events or ideas
n. something that resembles a flowing stream in moving continuously
v. to extend, wave or float outward, as if in the wind"
worthwhile,s. sufficiently valuable to justify the investment of time or interest
rough,"n. the part of a golf course bordering the fairway where the grass is not cut short
a. having or caused by an irregular surface
s. (of persons or behavior) lacking refinement or finesse
a. of the margin of a leaf shape; having the edge cut or fringed or scalloped"
garbage,"n. food that is discarded (as from a kitchen)
n. a receptacle where waste can be discarded"
recommend,"v. push for something
v. make attractive or acceptable"
moral,"n. the significance of a story or event
a. concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
s. psychological rather than physical or tangible in effect"
classical,"a. of or relating to the most highly developed stage of an earlier civilisation and its culture
a. of or relating to the study of the literary works of ancient Greece and Rome
s. (language) having the form used by ancient standard authors
s. of or pertaining to or characteristic of the ancient Greek and Roman cultures"
allergic,"a. characterized by or caused by allergy
s. having an allergy or peculiar or excessive susceptibility (especially to a specific factor)"
biscuit,n. small round bread leavened with baking-powder or soda
brochure,n a small book usually having a paper cover
Internet,n. a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
preference,"n. a strong liking
n. the right or chance to choose
n. grant of favor or advantage to one over another (especially to a country or countries in matters of international trade, such as levying duties)"
nowadays,r. in these times
bright,"a. emitting or reflecting light readily or in large amounts
s. having striking color
s. characterized by quickness and ease in learning
s. having lots of light either natural or artificial"
award,"n. a grant made by a law court
n. a tangible symbol signifying approval or distinction
v. give, especially as an honor or reward
v. give as judged due or on the basis of merit"
enthusiastic,a. having or showing great excitement and interest
disobey,v. refuse to go along with; refuse to follow; be disobedient
worn,a. affected by wear; damaged by long use
booth,"n. a table (in a restaurant or bar) surrounded by two high-backed benches
n. small area set off by walls for special use
n. United States actor and assassin of President Lincoln (1838-1865)
n. a small shop at a fair; for selling goods or entertainment"
charge,"n. an impetuous rush toward someone or something
n. (criminal law) a pleading describing some wrong or offense
n. the price charged for some article or service
n. the quantity of unbalanced electricity in a body (either positive or negative) and construed as an excess or deficiency of electrons"
trend,"n a general direction in which something tends to move
n general line of orientation
n a general tendency to change (as of opinion)
n the popular taste at a given time
v turn sharply; change direction abruptly"
rock,"n. a lump or mass of hard consolidated mineral matter
n. material consisting of the aggregate of minerals like those making up the Earth's crust
n. United States gynecologist and devout Catholic who conducted the first clinical trials of the oral contraceptive pill (1890-1984)
n. (figurative) someone who is strong and stable and dependable"
dictionary,n. a reference book containing an alphabetical list of words with information about them
independent,"a. free from external control and constraint
a. (of a clause) capable of standing syntactically alone as a complete sentence
s. not controlled by a party or interest group"
conservative,"n. a person who is reluctant to accept changes and new ideas
n. a member of a Conservative Party
a. resistant to change
s. having social or political views favoring conservatism"
status,n. the relative position or standing of things or especially persons in a society
organise,"v bring order and organization to
v create (as an entity)
v form or join a union
v cause to be structured or ordered or operating according to some principle or idea
v arrange by systematic planning and united effort
v plan and direct (a complex undertaking)"
silk,"n. a fabric made from the fine threads produced by certain insect larvae
n. animal fibers produced by silkworms and other larvae that spin cocoons and by most spiders"
assessment,"n. an amount determined as payable
n. the market value set on assets"
mineral,"n. solid homogeneous inorganic substances occurring in nature having a definite chemical composition
a. relating to minerals
s. composed of matter other than plant or animal"
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
appear,"v. come into sight or view
v. be issued or published
v. seem to be true, probable, or apparent
v. come into being or existence, or appear on the scene"
destroy,"v. do away with, cause the destruction or undoing of
v. destroy completely; damage irreparably
v. put (an animal) to death"
shuttle,"n. public transport that consists of a bus or train or airplane that plies back and forth between two points
n. bobbin that passes the weft thread between the warp threads
v. travel back and forth between two points"
lay,"v. put in a horizontal position
v. prepare or position for action or operation
v. lay eggs
v. impose as a duty, burden, or punishment"
labourer,n someone who works with their hands; someone engaged in manual labor
contradict,"v. be in contradiction with
v. deny the truth of"
translate,"v. restate (words) from one language into another language
v. change from one form or medium into another
v. bring to a certain spiritual state
v. change the position of (figures or bodies) in space without rotation"
dream,"n. a series of mental images and emotions occurring during sleep
n. imaginative thoughts indulged in while awake
n. a state of mind characterized by abstraction and release from reality
n. someone or something wonderful"
operate,"v. direct or control; projects, businesses, etc.
v. handle and cause to function
v. happen"
circumstance,"n. a condition that accompanies or influences some event or activity
n. information that should be kept in mind when making a decision
n. formal ceremony about important occasions"
menu,"n. a list of dishes available at a restaurant
n. the dishes making up a meal
n. (computer science) a list of options available to a computer user
n. an agenda of things to do"
flashlight,n. a small portable battery-powered electric lamp
pioneer,"n. someone who helps to open up a new line of research or technology or art
n. one the first colonists or settlers in a new territory
v. open up an area or prepare a way
v. open up and explore a new area"
patience,n. good-natured tolerance of delay or incompetence
dimension,"n. the magnitude of something in a particular direction (especially length or width or height)
n. one of three Cartesian coordinates that determine a position in space
v. indicate the dimensions on
v. shape or form to required dimensions"
bake,"v. cook and make edible by putting in a hot oven
v. prepare with dry heat in an oven
v. be very hot, due to hot weather or exposure to the sun"
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
taste,"n. the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
n. delicate discrimination (especially of aesthetic values)
n. a brief experience of something
n. a small amount eaten or drunk"
purple,"n. a purple color or pigment
n. of imperial status
v. become purple
v. color purple"
compare,"v. examine and note the similarities or differences of
v. be comparable
v. consider or describe as similar, equal, or analogous
v. to form the comparative or superlative form on an adjective or adverb"
clarify,"v. make clear and (more) comprehensible
v. make clear by removing impurities or solids, as by heating"
list,"n. a database containing an ordered array of items (names or topics)
v. give or make a list of; name individually; give the names of
v. include in a list
v. cause to lean to the side"
rainbow,"n. an arc of colored light in the sky caused by refraction of the sun's rays by rain
n. an illusory hope"
primitive,"n. a person who belongs to an early stage of civilization
n. a mathematical expression from which another expression is derived
n. a word serving as the basis for inflected or derived forms
s. used of preliterate or tribal or nonindustrial societies"
category,n. a general concept that marks divisions or coordinations in a conceptual scheme
present,"n. the period of time that is happening now; any continuous stretch of time including the moment of speech
n. something presented as a gift
n. a verb tense that expresses actions or states at the time of speaking
v. bring forward and present to the mind"
weigh,"v. have a certain weight
v. determine the weight of
v. to be oppressive or burdensome"
contain,"v. be divisible by
v. be capable of holding or containing"
brief,"n. a document stating the facts and points of law of a client's case
n. a condensed written summary or abstract
v. give essential information to someone
s. of short duration or distance"
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
maid,"n. a female domestic
n. an unmarried girl (especially a virgin)"
compulsory,s. required by rule
fly,"n. two-winged insects characterized by active flight
n. an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth
n. (baseball) a hit that flies up in the air
n. fisherman's lure consisting of a fishhook decorated to look like an insect"
primary,"n. a preliminary election where delegates or nominees are chosen
n. one of the main flight feathers projecting along the outer edge of a bird's wing
n. (astronomy) a celestial body (especially a star) relative to other objects in orbit around it
a. of first rank or importance or value; direct and immediate rather than secondary"
pulse,"n. the rhythmic contraction and expansion of the arteries with each beat of the heart
n. the rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health
n. edible seeds of various pod-bearing plants (peas or beans or lentils etc.)
v. produce or modulate (as electromagnetic waves) in the form of short bursts or pulses or cause an apparatus to produce pulses"
monument,n. an important site that is marked and preserved as public property
ridiculous,"s inspiring scornful pity
s incongruous; inviting ridicule
s broadly or extravagantly humorous; resembling farce"
serious,"a. concerned with work or important matters rather than play or trivialities
s. of great consequence
s. requiring effort or concentration; complex and not easy to answer or solve"
encouragement,"n. the expression of approval and support
n. the feeling of being encouraged"
servant,n. a person working in the service of another (especially in the household)
freeze,"n. the withdrawal of heat to change something from a liquid to a solid
n. weather cold enough to cause freezing
n. an interruption or temporary suspension of progress or movement
n. fixing (of prices or wages etc) at a particular level"
send for,none
take over,n. a change by sale or merger in the controlling interest of a corporation
