disastrous,s (of events) having extremely unfortunate or dire consequences; bringing ruin
occupy,"v. live (in a certain place)
v. occupy the whole of"
contribution,"n. the part played by a person in bringing about a result
n. a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n. act of giving in common with others for a common purpose especially to a charity
n. an amount of money contributed"
realistic,"a. aware or expressing awareness of things as they really are
a. of or relating to the philosophical doctrine of realism"
apply,"v. be pertinent or relevant or applicable
v. ask (for something)
v. refer (a word or name) to a person or thing
v. apply oneself to"
inland,"a. situated away from an area's coast or border
r. towards or into the interior of a region"
contaminate,v. make radioactive by adding radioactive material
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
extensive,"s. large in spatial extent or range or scope or quantity
a. of agriculture; increasing productivity by using large areas with minimal outlay and labor"
electronic,"a. of or relating to electronics; concerned with or using devices that operate on principles governing the behavior of electrons
a. of or concerned with electrons"
toxic,a. of or relating to or caused by a toxin or poison
county,"n. (United Kingdom) a region created by territorial division for the purpose of local government
n. (United States) the largest administrative district within a state"
curb,"n. an edge between a sidewalk and a roadway consisting of a line of curbstones (usually forming part of a gutter)
n. a horse's bit with an attached chain or strap to check the horse
v. keep to the curb"
ingenious,s showing inventiveness and skill
committee,"n. a special group delegated to consider some matter
n. a self-constituted organization to promote something"
intricate,s. having many complexly arranged elements; elaborate
estimate,"n. an approximate calculation of quantity or degree or worth
n. a judgment of the qualities of something or somebody
n. a statement indicating the likely cost of some job
n. the respect with which a person is held"
conspicuous,a. obvious to the eye or mind
asset,n. a useful or valuable quality
primitive,"n. a person who belongs to an early stage of civilization
n. a mathematical expression from which another expression is derived
n. a word serving as the basis for inflected or derived forms
s. used of preliterate or tribal or nonindustrial societies"
embody,"v. represent, as of a character on stage
v. represent or express something abstract in tangible form"
scratch,"n. a competitor who has withdrawn from competition
n. (golf) a handicap of zero strokes
n. an indication of damage
v. cut the surface of; wear away the surface of"
historical,"a. of or relating to the study of history
s. having once lived or existed or taken place in the real world as distinct from being legendary"
security,"n. the state of being free from danger or injury
n. defense against financial failure; financial independence
n. freedom from anxiety or fear
n. a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"
furthermore,"r. in addition; furthermore, their quality is improving""; moreover, mice nested there"""
stationary,"s. standing still
s. not capable of being moved"
radical,"n. a person who has radical ideas or opinions
n. (mathematics) a quantity expressed as the root of another quantity
n. a character conveying the lexical meaning of a logogram
s. arising from or going to the root or source"
balance,"n. a state of equilibrium
n. equality between the totals of the credit and debit sides of an account
n. equality of distribution
n. the difference between the totals of the credit and debit sides of an account"
convert,"n. a person who has been converted to another religious or political belief
v. change from one system to another or to a new plan or policy
v. change the nature, purpose, or function of something
v. change religious beliefs, or adopt a religious belief"
ritual,"n. any customary observance or practice
n. the prescribed procedure for conducting religious ceremonies
n. stereotyped behavior
a. of or relating to or characteristic of religious rituals"
subtle,s. able to make fine distinctions
precaution,"n. a precautionary measure warding off impending danger or damage or injury etc.
n. the trait of practicing caution in advance"
dilemma,n. state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options
derive,"v. obtain
v. come from
v. develop or evolve from a latent or potential state
v. come from; be connected by a relationship of blood, for example"
counter,"n. table consisting of a horizontal surface over which business is transacted
n. game equipment (as a piece of wood, plastic, or ivory) used for keeping a count or reserving a space in various card or board games
n. a calculator that keeps a record of the number of times something happens
n. a person who counts things"
detective,"n. a police officer who investigates crimes
n. an investigator engaged or employed in obtaining information not easily available to the public"
roar,"n. the sound made by a lion
v. make a loud noise, as of wind, water, or vehicles
v. act or proceed in a riotous, turbulent, or disorderly way
v. laugh unrestrainedly and heartily"
dedicate,"v. open to public use, as of a highway, park, or building
v. inscribe or address by way of compliment
v. set apart to sacred uses with solemn rites, of a church"
subordinate,"n. an assistant subject to the authority or control of another
v. rank or order as less important or consider of less value
v. make subordinate, dependent, or subservient
a. lower in rank or importance"
stumble,"v. walk unsteadily
v. miss a step and fall or nearly fall
v. encounter by chance
v. make an error"
indignant,s. angered at something unjust or wrong
intrinsic,"a. belonging to a thing by its very nature
s. situated within or belonging solely to the organ or body part on which it acts"
critical,"a. marked by a tendency to find and call attention to errors and flaws
a. at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction
a. characterized by careful evaluation and judgment
s. urgently needed; absolutely necessary"
prevalent,s most frequent or common
flank,"n. the side of military or naval formation
n. a subfigure consisting of a side of something
n. a cut from the fleshy part of an animal's side between the ribs and the leg
n. the side between ribs and hipbone"
cosy,n. a padded cloth covering to keep a teapot warm
secular,"a. of or relating to the doctrine that rejects religion and religious considerations
a. of or relating to clergy not bound by monastic vows"
gorgeous,s. dazzlingly beautiful
chapel,n. a place of worship that has its own altar
esteem,n. the condition of being honored (esteemed or respected or well regarded)
tangle,"n. a twisted and tangled mass that is highly interwoven
n. something jumbled or confused"
manoeuvre,"n a plan for attaining a particular goal
n a military training exercise
n a deliberate coordinated movement requiring dexterity and skill
n a move made to gain a tactical end
n an action aimed at evading an opponent
v act in order to achieve a certain goal
v direct the course; determine the direction of travelling
v perform a movement in military or naval tactics in order to secure an advantage in attack or defense"
hum,"n. a humming noise
v. sing with closed lips
v. be noisy with activity
v. sound with a monotonous hum"
militia,"n. civilians trained as soldiers but not part of the regular army
n. the entire body of physically fit civilians eligible by law for military service"
retention,n. the act of retaining something
outflow,n. the process of flowing out
insurgency,n. an organized rebellion aimed at overthrowing a constituted government through the use of subversion and armed conflict
wrench,"n. a sharp strain on muscles or ligaments
n. a hand tool that is used to hold or twist a nut or bolt
v. twist or pull violently or suddenly, especially so as to remove (something) from that to which it is attached or from where it originates
v. make a sudden twisting motion"
buzz,"n. sound of rapid vibration
n. a confusion of activity and gossip
v. make a buzzing sound
v. fly low"
sober,"v. cause to become sober
a. not affected by a chemical substance (especially alcohol)"
frantic,s. excessively agitated; distraught with fear or other violent emotion
porch,n. a structure attached to the exterior of a building often forming a covered entrance
outreach,n. the act of reaching out
verdict,n. (law) the findings of a jury on issues of fact submitted to it for decision; can be used in formulating a judgment
amplify,v. increase the volume of
slump,"n. a noticeable deterioration in performance or quality
v. assume a drooping posture or carriage
v. fall or sink heavily
v. fall heavily or suddenly; decline markedly"
inborn,"s present at birth but not necessarily hereditary; acquired during fetal development
s normally existing at birth"
scarcity,n. a small and inadequate amount
reversible,"n. a garment (especially a coat) that can be worn inside out (with either side of the cloth showing)
a. capable of reversing or being reversed
a. capable of being reversed or used with either side out"
humid,s. containing or characterized by a great deal of water vapor
immigrate,"v. migrate to a new environment
v. introduce or send as immigrants
v. come into a new country and change residency"
faction,n. a dissenting clique
coconut,"n. the edible white meat of a coconut; often shredded for use in e.g. cakes and curries
n. large hard-shelled oval nut with a fibrous husk containing thick white meat surrounding a central cavity filled (when fresh) with fluid or milk
n. tall palm tree bearing coconuts as fruits; widely planted throughout the tropics"
panda,"n large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae
n reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas"
mow,v. cut with a blade or mower
concurrent,s occurring or operating at the same time
clergy,"n. in Christianity, clergymen collectively (as distinguished from the laity)"
bail,"n. (criminal law) money that must be forfeited by the bondsman if an accused person fails to appear in court for trial
n. the legal system that allows an accused person to be temporarily released from custody (usually on condition that a sum of money guarantees their appearance at trial)
v. release after a security has been paid
v. deliver something in trust to somebody for a special purpose and for a limited period"
maiden,"n an unmarried girl (especially a virgin)
n (cricket) an over in which no runs are scored
s serving to set in motion"
debut,"n. the presentation of a debutante in society
v. present for the first time to the public
v. appear for the first time in public
v. make one's debut"
metabolism,n. the organic processes (in a cell or organism) that are necessary for life
swipe,"n. a sweeping stroke or blow
v. strike with a swiping motion"
binoculars,n. an optical instrument designed for simultaneous use by both eyes
clown,"n. a rude or vulgar fool
n. a person who amuses others by ridiculous behavior
v. act as or like a clown"
relentless,"s not to be placated or appeased or moved by entreaty
s never-ceasing"
overdue,s past due; not paid at the scheduled time
innovate,v bring something new to an environment
influenza,n. an acute febrile highly contagious viral disease
lenient,"s. not strict
s. characterized by tolerance and mercy"
heartfelt,s earnest
barge,"n. a flatbottom boat for carrying heavy loads (especially on canals)
v. push one's way
v. transport by barge on a body of water"
outdated,s. old; no longer valid or fashionable
pharmacy,"n. the art and science of preparing and dispensing drugs and medicines,"
salvage,"n. property or goods saved from damage or destruction
n. the act of saving goods or property that were in danger of damage or destruction
n. the act of rescuing a ship or its crew or its cargo from a shipwreck or a fire
v. save from ruin, destruction, or harm"
topple,v. cause to topple or tumble by pushing
franchise,"n. an authorization to sell a company's goods or services in a particular place
n. a business established or operated under an authorization to sell or distribute a company's goods or services in a particular area
n. a statutory right or privilege granted to a person or group by a government (especially the rights of citizenship and the right to vote)
v. grant a franchise to"
predator,n. any animal that lives by preying on other animals
trumpet,"v. proclaim on, or as if on, a trumpet
v. play or blow on the trumpet
v. utter in trumpet-like sounds"
scrutiny,n. a prolonged intense look
perpetual,"s continuing forever or indefinitely
s uninterrupted in time and indefinitely long continuing"
blunder,n. an embarrassing mistake
minor,"a. of lesser importance or stature or rank
a. lesser in scope or effect
a. inferior in number or size or amount
a. of a scale or mode"
diffuse,"v. move outward
s. spread out; not concentrated in one place
s. lacking conciseness"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
decent,"s. socially or conventionally correct; refined or virtuous
a. conforming to conventions of sexual behavior
s. decently clothed
s. observing conventional sexual mores in speech or behavior or dress"
discriminate,"v. recognize or perceive the difference
v. treat differently on the basis of sex or race
v. distinguish
a. marked by the ability to see or make fine distinctions"
molecule,n. (physics and chemistry) the simplest structural unit of an element or compound
offer,"n. the verbal act of offering
n. something offered (as a proposal or bid)
v. make available or accessible, provide or furnish
v. present for acceptance or rejection"
invent,"v. come up with (an idea, plan, explanation, theory, or principle) after a mental effort"
dictate,"n. an authoritative rule
n. a guiding principle
v. say out loud for the purpose of recording
v. rule as a dictator"
border,"n. a strip forming the outer edge of something
v. provide with a border or edge
v. lie adjacent to another or share a boundary"
owe,"v. be obliged to pay or repay
v. be indebted to, in an abstract or intellectual sense
v. be in debt"
dismiss,"v. bar from attention or consideration
v. cease to consider; put out of judicial consideration
v. stop associating with
v. end one's encounter with somebody by causing or permitting the person to leave"
deduct,"v make a subtraction
v retain and refrain from disbursing; of payments
v reason by deduction; establish by deduction"
prepare,"v. to prepare verbally, either for written or spoken delivery
v. educate for a future role or function
v. lead up to and soften by sounding the dissonant note in it as a consonant note in the preceding chord"
screw,"n. a simple machine of the inclined-plane type consisting of a spirally threaded cylindrical rod that engages with a similarly threaded hole
n. a propeller with several angled blades that rotates to push against water or air
n. a fastener with a tapered threaded shank and a slotted head
v. turn like a screw"
obey,v. be obedient to
signal,"n. any nonverbal action or gesture that encodes a message
n. any incitement to action
n. an electric quantity (voltage or current or field strength) whose modulation represents coded information about the source from which it comes
s. notably out of the ordinary"
solid,"n. matter that is solid at room temperature and pressure
n. the state in which a substance has no tendency to flow under moderate stress; resists forces (such as compression) that tend to deform it; and retains a definite size and shape
n. a three-dimensional shape
s. characterized by good substantial quality"
overlook,"n. a high place affording a good view
v. look past, fail to notice
v. watch over"
passion,"n. a strong feeling or emotion
n. a feeling of strong sexual desire
n. the suffering of Jesus at the Crucifixion"
mental,"a. involving the mind or an intellectual process
a. of or relating to the mind
a. of or relating to the chin- or liplike structure in insects and certain mollusks
s. affected by a disorder of the mind"
chew,"n. a wad of something chewable as tobacco
n. biting and grinding food in your mouth so it becomes soft enough to swallow
v. chew (food); to bite and grind with the teeth"
limitation,"n. the quality of being limited or restricted
n. (law) a time period after which suits cannot be brought
n. an act of limiting or restricting (as by regulation)"
gather,"n. sewing consisting of small folds or puckers made by pulling tight a thread in a line of stitching
n. the act of gathering something
v. assemble or get together
v. conclude from evidence"
standpoint,n a mental position from which things are viewed
patience,n. good-natured tolerance of delay or incompetence
forum,"n. a public meeting or assembly for open discussion
n. a public facility to meet for open discussion"
convenient,a. suited to your comfort or purpose or needs
promise,"n. a verbal commitment by one person to another agreeing to do (or not to do) something in the future
n. grounds for feeling hopeful about the future
v. make a promise or commitment
v. promise to undertake or give"
exact,a. marked by strict and particular and complete accordance with fact
signature,"n. your name written in your own handwriting
n. a melody used to identify a performer or a dance band or radio/tv program
n. a sheet with several pages printed on it; it folds to page size and is bound with other signatures to form a book"
compete,v. compete for something; engage in a contest; measure oneself against others
maintain,v. state or assert
outcome,"n something that results
n a phenomenon that follows and is caused by some previous phenomenon"
successor,"n. a person who follows next in order
n. a thing or person that immediately replaces something or someone
n. a person who inherits some title or office"
controversy,n. a contentious speech act; a dispute where there is strong disagreement
contend,"v. maintain or assert
v. be engaged in a fight; carry on a fight"
community,"n. a group of people living in a particular local area
n. common ownership
n. a group of nations having common interests
n. agreement as to goals"
protein,n. any of a large group of nitrogenous organic compounds that are essential constituents of living cells; consist of polymers of amino acids; essential in the diet of animals for growth and for repair of tissues; can be obtained from meat and eggs and milk and legumes
stereo,"n. reproducer in which two microphones feed two or more loudspeakers to give a three-dimensional effect to the sound
n. two photographs taken from slightly different angles that appear three-dimensional when viewed together"
inferior,"n. one of lesser rank or station or quality
a. of or characteristic of low rank or importance
a. of low or inferior quality
a. having an orbit between the sun and the Earth's orbit"
institute,"n. an association organized to promote art or science or education
v. advance or set forth in court"
tough,"a. not given to gentleness or sentimentality
a. physically toughened
a. resistant to cutting or chewing"
mechanical,"a. using (or as if using) mechanisms or tools or devices
a. relating to or concerned with machinery or tools
a. relating to or governed by or in accordance with mechanics"
profile,"n. an analysis (often in graphical form) representing the extent to which something exhibits various characteristics
n. an outline of something (especially a human face as seen from one side)
n. biographical sketch
n. a vertical section of the Earth's crust showing the different horizons or layers"
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
diminish,"v. lessen the authority, dignity, or reputation of"
stimulus,n any stimulating information or event; acts to arouse action
wretched,"s of very poor quality or condition
s characterized by physical misery
s very unhappy; full of misery
s morally reprehensible
s deserving or inciting pity"
costly,s. having a high price
barren,"n. an uninhabited wilderness that is worthless for cultivation
s. not bearing offspring
s. completely wanting or lacking"
nevertheless,r despite anything to the contrary (usually following a concession)
morality,n. concern with the distinction between good and evil or right and wrong; right or good conduct
versatile,"s. having great diversity or variety
s. changeable or inconstant
s. competent in many areas and able to turn with ease from one thing to another
s. able to move freely in all directions"
optimism,"n. the optimistic feeling that all is going to turn out well
n. a general disposition to expect the best in all things"
hinder,"v be a hindrance or obstacle to
v hinder or prevent the progress or accomplishment of
v put at a disadvantage
s located at or near the back of an animal
s located at or near the back of an animal"
finite,"a. bounded or limited in magnitude or spatial or temporal extent
a. of verbs; relating to forms of the verb that are limited in time by a tense and (usually) show agreement with number and person"
enormous,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman"
astonish,v affect with wonder
vessel,"n. a tube in which a body fluid circulates
n. a craft designed for water transportation
n. an object used as a container (especially for liquids)"
extinct,"a. no longer in existence; lost or especially having died out leaving no living representatives
a. (of e.g. volcanos) permanently inactive
s. being out or having grown cold"
segment,"n. one of the parts into which something naturally divides
v. divide into segments
v. divide or split up"
passive,"a. lacking in energy or will
s. peacefully resistant in response to injustice
a. expressing that the subject of the sentence is the patient of the action denoted by the verb"
typical,"a. exhibiting the qualities or characteristics that identify a group or kind or category
s. conforming to a type"
consumer,n. a person who uses goods or services
interpret,"v. make sense of; assign a meaning to
v. give an interpretation or rendition of"
penalty,"n. a payment required for not fulfilling a contract
n. the disadvantage or painful consequences of an action or condition
n. (games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game"
defendant,n. a person or institution against whom an action is brought in a court of law; the person being sued or accused
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
recession,"n. the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
n. the withdrawal of the clergy and choir from the chancel to the vestry at the end of a church service
n. the act of ceding back"
notation,"n. a technical system of symbols used to represent special things
n. the activity of representing something by a special system of marks or characters"
dodge,"n. a quick evasive movement
n. a statement that evades the question by cleverness or trickery
v. make a sudden movement in a new direction so as to avoid
v. move to and fro or from place to place usually in an irregular course"
soluble,"a. (of a substance) capable of being dissolved in some solvent (usually water)
a. susceptible of solution or of being solved or explained"
converge,"v. be adjacent or come together
v. approach a limit as the number of terms increases without limit
v. move or draw together at a certain location
v. come together so as to form a single product"
remnant,"n a small part or portion that remains after the main part no longer exists
n a piece of cloth that is left over after the rest has been used or sold"
optic,"n the organ of sight
a of or relating to or resembling the eye
a relating to or using sight"
permissible,"a. that may be permitted especially as according to rule
s. that may be accepted or conceded"
rehearse,v. engage in a rehearsal (of)
ambush,"n. the act of concealing yourself and lying in wait to attack by surprise
v. wait in hiding to attack"
bizarre,s. conspicuously or grossly unconventional or unusual
disrupt,v. throw into disorder
solicitor,"n. a petitioner who solicits contributions or trade or votes
n. a British lawyer who gives legal advice and prepares legal documents"
repressive,s restrictive of action
crumble,"v. fall apart
v. break or fall apart into fragments"
fabricate,v. make up something artificial or untrue
escalate,v. increase in extent or intensity
artery,"n. a blood vessel that carries blood from the heart to the body
n. a major thoroughfare that bears important traffic"
condolence,n. an expression of sympathy with another's grief
underscore,"n. a line drawn underneath (especially under written matter)
v. give extra weight to (a communication)"
civic,a. of or relating or belonging to a city
chronicle,v. record in chronological order; make a historical record
gracious,"a. characterized by charm, good taste, and generosity of spirit
s. disposed to bestow favors"
hurl,"n. a violent throw
v. throw forcefully
v. utter with force; utter vehemently"
pedal,"n. a lever that is operated with the foot
v. operate the pedals on a keyboard instrument
a. of or relating to the feet"
dogma,"n. a religious doctrine that is proclaimed as true without proof
n. a doctrine or code of beliefs accepted as authoritative"
deploy,"v. place troops or weapons in battle formation
v. to distribute systematically or strategically"
ultra,s (used of opinions and actions) far beyond the norm
statute,"n an act passed by a legislative body
s enacted by a legislative body"
sodium,n. a silvery soft waxy metallic element of the alkali metal group; occurs abundantly in natural compounds (especially in salt water); burns with a yellow flame and reacts violently in water; occurs in sea water and in the mineral halite (rock salt)
agitate,"v. try to stir up public opinion
v. cause to be agitated, excited, or roused
v. change the arrangement or position of"
analogue,"n. something having the property of being analogous to something else
a. of a circuit or device having an output that is proportional to the input"
synonym,n. two words that can be interchanged in a context are said to be synonymous relative to that context
dime,n. a United States coin worth one tenth of a dollar
gut,"n. a narrow channel or strait
v. empty completely; destroy the inside of
v. remove the guts of"
burglar,n. a thief who enters a building with intent to steal
ethic,"n. the principles of right and wrong that are accepted by an individual or a social group
n. a system of principles governing morality and acceptable conduct"
tram,v. travel by tram
ranch,"n. farm consisting of a large tract of land along with facilities needed to raise livestock (especially cattle)
v. manage or run a ranch"
solicit,"v. make a solicitation or entreaty for something; request urgently or persistently
v. incite, move, or persuade to some act of lawlessness or insubordination
v. make a solicitation or petition for something desired"
dent,"n. an appreciable consequence (especially a lessening)
n. an impression in a surface (as made by a blow)"
carbohydrate,n. an essential structural component of living cells and source of energy for animals; includes simple sugars with small molecules as well as macromolecular substances; are classified according to the number of monosaccharide groups they contain
indebted,"s. owing gratitude or recognition to another for help or favors etc
s. under a legal obligation to someone"
grandparent,n. a parent of your father or mother
dissident,s. characterized by departure from accepted beliefs or standards
crouch,"n. the act of bending low with the limbs close to the body
v. bend one's back forward from the waist on down"
legislate,"v. make laws, bills, etc. or bring into effect by legislation"
tactic,n. a plan for attaining a particular goal
complacent,s. contented to a fault with oneself or one's actions
carton,"n. the quantity contained in a carton
n. a box made of cardboard; opens by flaps on top"
forfeit,"n. something that is lost or surrendered as a penalty; 
n. a penalty for a fault or mistake that involves losing or giving up something
n. the act of losing or surrendering something as a penalty for a mistake or fault or failure to perform etc.
v. lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime"
clench,"v. hold in a tight grasp
v. squeeze together tightly"
tropic,n. either of two parallels of latitude about 23.5 degrees to the north and south of the equator representing the points farthest north and south at which the sun can shine directly overhead and constituting the boundaries of the Torrid Zone or tropics
beckon,"v. signal with the hands or nod
v. appear inviting
v. summon with a wave, nod, or some other gesture"
heroin,n. a narcotic that is considered a hard drug; a highly addictive morphine derivative; intravenous injection provides the fastest and most intense rush
represent,"v. take the place of or be parallel or equivalent to
v. be representative or typical for
v. be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute
v. serve as a means of expressing something"
slap,"n. a blow from a flat object (as an open hand)
v. hit with something flat, like a paddle or the open hand"
insight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
format,"n. the organization of information according to preset specifications (usually for computer processing)
n. the general appearance of a publication
v. set (printed matter) into a specific format
v. determine the arrangement of (data) for storage and display (in computer science)"
grieve,"v. feel grief
v. cause to feel sorrow"
diplomatic,"a. relating to or characteristic of diplomacy
a. using or marked by tact in dealing with sensitive matters or people"
cultivate,"v. foster the growth of
v. prepare for crops"
tuck,"n. eatables (especially sweets)
n. (sports) a bodily position adopted in some sports (such as diving or skiing) in which the knees are bent and the thighs are drawn close to the chest
n. a narrow flattened pleat or fold that is stitched in place
v. fit snugly into"
alienate,v. make withdrawn or isolated or emotionally dissociated
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
grateful,"a. feeling or showing gratitude
s. affording comfort or pleasure"
minus,"a. on the negative side or lower end of a scale
s. involving disadvantage or harm"
chain,"n. a series of things depending on each other as if linked together
n. (chemistry) a series of linked atoms (generally in an organic molecule)
n. a series of (usually metal) rings or links fitted into one another to make a flexible ligament
n. (business) a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership"
spiritual,"n. a kind of religious song originated by Blacks in the southern United States
s. concerned with or affecting the spirit or soul
s. lacking material body or form or substance"
engineer,"n. a person who uses scientific knowledge to solve practical problems
n. the operator of a railway locomotive
v. design as an engineer"
circumstance,"n. a condition that accompanies or influences some event or activity
n. information that should be kept in mind when making a decision
n. formal ceremony about important occasions"
workforce,n the force of workers available
tower,n. a structure taller than its diameter; can stand alone or be attached to a larger building
native,"n. an indigenous person who was born in a particular place
n. a person born in a particular place or country
n. indigenous plants and animals
a. characteristic of or existing by virtue of geographic origin"
eager,a. having or showing keen interest or intense desire or impatient expectancy
yawn,"n. an involuntary intake of breath through a wide open mouth; usually triggered by fatigue or boredom
v. utter a yawn, as from lack of oxygen or when one is tired"
librarian,n. a professional person trained in library science and engaged in library services
banner,"n. long strip of cloth or paper used for decoration or advertising
s. unusually good; outstanding"
definition,"n. a concise explanation of the meaning of a word or phrase or symbol
n. clarity of outline"
reject,"v. refuse to accept or acknowledge
v. reject with contempt
v. refuse entrance or membership"
symbol,"n. an arbitrary sign (written or printed) that has acquired a conventional significance
n. something visible that by association or convention represents something else that is invisible"
adventure,n. a wild and exciting undertaking (not necessarily lawful)
exile,"n. a person who is voluntarily absent from home or country
n. a person who is expelled from home or country by authority
n. the act of expelling a person from their native land"
scream,"n. sharp piercing cry
v. make a loud, piercing sound"
divide,"n. a serious disagreement between two groups of people (typically producing tension or hostility)
v. separate into parts or portions
v. perform a division"
gradual,"n. (Roman Catholic Church) an antiphon (usually from the Book of Psalms) immediately after the epistle at Mass
a. proceeding in small stages
a. (of a topographical gradient) not steep or abrupt"
reduce,"v. cut down on; make a reduction in
v. make less complex
v. bring to humbler or weaker state or condition
v. simplify the form of a mathematical equation of expression by substituting one term for another"
character,"n. the inherent complex of attributes that determines a persons moral and ethical actions and reactions
n. an actor's portrayal of someone in a play
n. a person of a specified kind (usually with many eccentricities)
n. good repute"
murder,"n. unlawful premeditated killing of a human being by a human being
v. kill intentionally and with premeditation"
expect,"v. regard something as probable or likely
v. look forward to the probable occurrence of
v. consider reasonable or due
v. look forward to the birth of a child"
remedy,"n. a medicine or therapy that cures disease or relieve pain
v. provide relief for"
multiple,"n. the product of a quantity by an integer
a. having or involving or consisting of more than one part or entity or individual"
lawn,n. a field of cultivated and mowed grass
preach,"v. deliver a sermon
v. speak, plead, or argue in favor of"
scan,"n. the act of scanning; systematic examination of a prescribed region
n. an image produced by scanning
v. examine minutely or intensely
v. examine hastily"
transfer,"n. someone who transfers or is transferred from one position to another
n. the act of transfering something from one form to another
n. a ticket that allows a passenger to change conveyances
n. application of a skill learned in one situation to a different but similar situation"
manual,"n. a small handbook
a. of or relating to the hands
a. requiring human effort
s. doing or requiring physical work"
host,"n. a person who invites guests to a social event (such as a party in his or her own home) and who is responsible for them while they are there
n. an animal or plant that nourishes and supports a parasite; it does not benefit and is often harmed by the association
n. archaic terms for army
n. any organization that provides resources and facilities for a function or event"
band,"n. instrumentalists not including string players
n. a stripe or stripes of contrasting color
n. an adornment consisting of a strip of a contrasting color or material
n. a range of frequencies between two limits"
precede,"v. come before
v. be the predecessor of
v. move ahead (of others) in time or space
v. furnish with a preface or introduction"
crucial,"a. of extreme importance; vital to the resolution of a crisis
s. having crucial relevance"
necessity,"n. the condition of being essential or indispensable
n. anything indispensable"
additional,s further or added
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
arise,"v. originate or come into being
v. rise to one's feet
v. result or issue"
exert,"v. put to use
v. make a great effort at a mental or physical task"
bulk,"n. the property of something that is great in magnitude
n. the property possessed by a large mass
v. stick out or up"
generate,"v. bring into existence
v. produce (energy)"
prime,"n. a number that has no factor but itself and 1
n. the second canonical hour; about 6 a.m.
n. the time of maturity when power and vigor are greatest
v. insert a primer into (a gun, mine, or charge) preparatory to detonation or firing"
withstand,"v resist or confront with resistance
v stand up or offer resistance to somebody or something"
grip,"n. the friction between a body and the surface on which it moves (as between an automobile tire and the road)
n. worker who moves the camera around while a film or television show is being made
n. an intellectual hold or understanding
v. hold fast or firmly"
consequently,"r. (sentence connectors) because of the reason given
r. as a consequence"
upset,"n. the act of disturbing the mind or body
n. a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
n. the act of upsetting something
v. disturb the balance or stability of"
beneficial,s. promoting or enhancing well-being
deem,v. keep in mind or convey as a conviction or view
retail,"n. the selling of goods to consumers; usually in small quantities and not for resale
v. be sold at the retail level
v. sell on the retail market
r. at a retail price"
predecessor,n. one who precedes you in time (as in holding a position or office)
flaw,"n. defect or weakness in a person's character
n. an imperfection in a plan or theory or legal document that causes it to fail or that reduces its effectiveness
v. add a flaw or blemish to; make imperfect or defective"
horizon,"n. the line at which the sky and Earth appear to meet
n. the range of interest or activity that can be anticipated
n. a specific layer or stratum of soil or subsoil in a vertical cross section of land
n. the great circle on the celestial sphere whose plane passes through the sensible horizon and the center of the Earth"
destined,"v decree or designate beforehand
v design or destine
s headed or intending to head in a certain direction; often used as a combining form as in `college-bound students'
s (usually followed by `to') governed by fate"
epidemic,"n. a widespread outbreak of an infectious disease; many people are infected at the same time
a. (especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously"
ward,"n. a person who is under the protection or in the custody of another
n. a district into which a city or town is divided for the purpose of administration and elections
n. block forming a division of a hospital (or a suite of rooms) shared by patients who need a similar kind of care
n. English economist and conservationist (1914-1981)"
gossip,"n. a report (often malicious) about the behavior of other people
n. a person given to gossiping and divulging personal information about others"
integrate,"v. make into a whole or make part of a whole
v. become one; become integrated
v. calculate the integral of; calculate by integration"
millimetre,n a metric unit of length equal to one thousandth of a meter
