abase,v cause to feel shame; hurt the pride of
sage,"n. a mentor in spiritual and philosophical topics who is renowned for profound wisdom
n. aromatic fresh or dried grey-green leaves used widely as seasoning for meats and fowl and game etc
n. any of various plants of the genus Salvia; a cosmopolitan herb
s. having wisdom that comes with age and experience"
sailcloth,n. a strong fabric (such as cotton canvas) used for making sails and tents
saline,s. containing salt
sallow,"n. any of several Old World shrubby broad-leaved willows having large catkins; some are important sources for tanbark and charcoal
v. cause to become sallow
s. unhealthy looking"
salvo,"n. an outburst resembling the discharge of firearms or the release of bombs
n. a sudden outburst of cheers"
samba,"n. music composed for dancing the samba
n. a lively ballroom dance from Brazil
n. a form of canasta using three decks of cards and six jokers"
sanctuary,n. a consecrated place where sacred objects are kept
sanctum,n. a place of inviolable privacy
sarong,n. a loose skirt consisting of brightly colored fabric wrapped around the body; worn by both women and men in the South Pacific
sartorial,"a. of or relating to the sartorius muscle
a. of or relating to a tailor or to tailoring"
sash,n. a framework that holds the panes of a window in the window frame
satanic,a. of or relating to Satan
satiation,n. the act of achieving full gratification
satyr,"n. man with strong sexual desires
n. one of a class of woodland deities; attendant on Bacchus; identified with Roman fauns"
savant,n someone who has been admitted to membership in a scholarly field
saxophone,n a single-reed woodwind with a conical bore
scaffold,"n. a platform from which criminals are executed (hanged or beheaded)
n. a temporary arrangement erected around a building for convenience of workers
v. provide with a scaffold for support"
scallop,"n. one of a series of rounded projections (or the notches between them) formed by curves along an edge (as the edge of a leaf or piece of cloth or the margin of a shell or a shriveled red blood cell observed in a hypertonic solution etc.)
n. edible muscle of mollusks having fan-shaped shells; served broiled or poached or in salads or cream sauces
n. edible marine bivalve having a fluted fan-shaped shell that swim by expelling water from the shell in a series of snapping motions
v. decorate an edge with scallops"
scalpel,n. a thin straight surgical knife used in dissection and surgery
scaremonger,n. a person who spreads frightening rumors and stirs up trouble
scatterbrain,n. a flighty and disorganized person
scenario,"n. an outline or synopsis of a play (or, by extension, of a literary work)
n. a setting for a work of art or literature
n. a postulated sequence of possible events"
schizophrenia,n. any of several psychotic disorders characterized by distortions of reality and disturbances of thought and language and withdrawal from social contact
scholastic,"n. a Scholastic philosopher or theologian
a. of or relating to schools
a. of or relating to the philosophical doctrine of scholasticism"
scintillation,"n. (physics) a flash of light that is produced in a phosphor when it absorbs a photon or ionizing particle
n. a brilliant display of wit
n. the twinkling of the stars caused when changes in the density of the earth's atmosphere produce uneven refraction of starlight"
scoring,"n evaluation of performance by assigning a grade or score
v gain points in a game
v make small marks into the surface of
v make underscoring marks
v write a musical score for
v induce to have sex
v get a certain number or letter indicating quality or performance
v assign a grade or rank to, according to one's evaluation"
scribe,"n. French playwright (1791-1861)
n. informal terms for journalists
v. score a line on with a pointed instrument, as in metalworking"
scripture,n. any writing that is regarded as sacred by a religious group
scrum,n. (rugby) the method of beginning play in which the forwards of each team crouch side by side with locked arms; play starts when the ball is thrown in between them and the two sides compete for possession
scrutinise,"v to look at critically or searchingly, or in minute detail
v examine carefully for accuracy with the intent of verification"
scrutinize,"v to look at critically or searchingly, or in minute detail
v examine carefully for accuracy with the intent of verification"
scuba,n a device (trade name Aqua-Lung) that lets divers breathe under water; scuba is an acronym for self-contained underwater breathing apparatus
scum,"n. a film of impurities or vegetation that can form on the surface of a liquid
v. remove the scum from"
scurf,n. (botany) a covering that resembles scales or bran that covers some plant parts
sectarian,"n. a member of a sect
a. of or relating to or characteristic of a sect or sects
a. belonging to or characteristic of a sect"
sedan,"n. a car that is closed and that has front and rear seats and two or four doors
n. a closed litter for one passenger"
sedative,n. a drug that reduces excitability and calms a person
