abridge,"v. reduce in scope while retaining essential elements
v. lessen, diminish, or curtail"
insert,"n. a folded section placed between the leaves of another publication
n. an artifact that is inserted or is to be inserted
v. put or introduce into something
v. introduce"
insight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
install,"v. set up for use
v. put into an office or a position
v. place"
instill,"v. impart gradually
v. enter drop by drop"
intricate,s. having many complexly arranged elements; elaborate
intrigue,"n. a crafty and involved plot to achieve your (usually sinister) ends
n. a clandestine love affair
v. cause to be interested or curious"
intrude,"v. enter uninvited
v. search or inquire in a meddlesome way
v. thrust oneself in as if by force"
intrusion,"n. entrance by force or without permission or welcome
n. the forcing of molten rock into fissures or between strata of an earlier rock formation
n. rock produced by an intrusive process"
investigate,"v. investigate scientifically
v. conduct an inquiry or investigation of"
interact,v. act together or towards others or with others
interaction,"n. a mutual or reciprocal action; interacting
n. (physics) the transfer of energy between elementary particles or between an elementary particle and a field or between fields; mediated by gauge bosons"
interplay,n. reciprocal action and reaction
interrelate,v. place into a mutual relationship
interweave,v interlace by or as if by weaving
interest,"n. a sense of concern with and curiosity about someone or something
n. the power of attracting or holding one's attention (because it is unusual or exciting etc.)
n. a fixed charge for borrowing money; usually a percentage of the amount borrowed
n. (law) a right or legal share of something; a financial involvement with something"
interface,"n. (chemistry) a surface forming a common boundary between two things (two objects or liquids or chemical phases)
n. (computer science) a program that controls a display for the user (usually on a computer monitor) and that allows the user to interact with the system
n. the overlap where two theories or phenomena affect each other or have links with each other
n. (computer science) computer circuit consisting of the hardware and associated circuitry that links one device with another (especially a computer and a hard disk drive or other peripherals)"
interfere,v. come between so as to be hindrance or obstacle
interim,"n. the time between one event, process, or period and another
s. serving during an intermediate interval of time"
intern,"n. an advanced student or graduate in medicine gaining supervised practical experience (`houseman' is a British term)
v. deprive of freedom
v. work as an intern"
internal,"a. happening or arising or located within some limits or especially surface
s. occurring within an institution or community"
interpret,"v. make sense of; assign a meaning to
v. give an interpretation or rendition of"
interrogate,"v. transmit (a signal) for setting off an appropriate response, as in telecommunication
v. pose a series of questions to"
intersection,"n. a point where lines intersect
n. a junction where one street or road crosses another
n. a point or set of points common to two or more geometric configurations"
interstellar,a. between or among stars
interval,"n. a set containing all points (or all real numbers) between two given endpoints
n. the distance between things
n. the difference in pitch between two notes"
monarch,n. large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed
monarchy,n. an autocracy governed by a monarch who usually inherits the authority
monochrome,n. painting done in a range of tones of a single color
monogamous,a. (used of relationships and of individuals) having one mate
monogamy,n. having only one spouse at a time
monopoly,"n. (economics) a market in which there are many buyers but only one seller
n. exclusive control or possession of something
n. a board game in which players try to gain a monopoly on real estate as pieces advance around the board according to the throw of a die"
monotonous,"s tediously repetitious or lacking in variety; all work and no play""
s sounded or spoken in a tone unvarying in pitch"
