textbook,n. a book prepared for use in schools or colleges
sloping,s. having a slanting form or direction
signature,"n. your name written in your own handwriting
n. a melody used to identify a performer or a dance band or radio/tv program
n. a sheet with several pages printed on it; it folds to page size and is bound with other signatures to form a book"
signal,"n. any nonverbal action or gesture that encodes a message
n. any incitement to action
n. an electric quantity (voltage or current or field strength) whose modulation represents coded information about the source from which it comes
s. notably out of the ordinary"
skeptical,"s denying or questioning the tenets of especially a religion
s marked by or given to doubt"
sought,"a. that is looked for
s. being searched for"
sphere,"n. a particular environment or walk of life
n. any spherically shaped artifact
n. the geographical area in which one nation is very influential
n. a solid figure bounded by a spherical surface (including the space it encloses)"
static,"n. a crackling or hissing noise caused by electrical interference
n. angry criticism
s. showing little if any change"
status,n. the relative position or standing of things or especially persons in a society
steadily,"r. at a steady rate or pace
r. in a steady manner"
straightforward,"s. free from ambiguity
s. pointed directly ahead"
strictly,"r. restricted to something
r. in a stringent manner"
subdue,"v put down by force or intimidation
v to put down by force or authority
v hold within limits and control
v get on top of; deal with successfully
v make subordinate, dependent, or subservient
v correct by punishment or discipline"
subtle,s. able to make fine distinctions
subsistence,"n. minimal (or marginal) resources for subsisting
n. a means of surviving
n. the state of existing in reality; having substance"
supplement,"n. a quantity added (e.g. to make up for a deficiency)
v. add as a supplement to what seems insufficient
v. serve as a supplement to"
suppress,"v. to put down by force or authority
v. put out of one's consciousness
v. reduce the incidence or severity of or stop"
surely,r. definitely or positively (`sure' is sometimes used informally for `surely')
surge,"n. a sudden or abrupt strong increase
v. see one's performance improve"
surpass,v. be or do something to a greater degree
susceptible,"a. (often followed by `of' or `to') yielding readily to or capable of
s. easily impressed emotionally"
suspend,"v. hang freely
v. cause to be held in suspension in a fluid
v. bar temporarily; from school, office, etc.
v. make inoperative or stop"
swift,"n. United States meat-packer who began the use of refrigerated railroad cars (1839-1903)
n. an English satirist born in Ireland (1667-1745)
n. a small bird that resembles a swallow and is noted for its rapid flight"
tactic,n. a plan for attaining a particular goal
terrestrial,a. operating or living or growing on land
temporarily,r. for a limited time only; not permanently
threaten,"v. to utter intentions of injury or punishment against:""He threatened me when I tried to call the police""
v. to be a menacing indication of something:""The clouds threaten rain"""
thus,r. in the way indicated; (`thusly' is a nonstandard variant)
ties,"n neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front
n a social or business relationship
n equality of score in a contest
n a horizontal beam used to prevent two other structural members from spreading apart or separating
n a fastener that serves to join or connect
n the finish of a contest in which the score is tied and the winner is undecided
n (music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value
n one of the cross braces that support the rails on a railway track
n a cord (or string or ribbon or wire etc.) with which something is tied
v fasten or secure with a rope, string, or cord
v finish a game with an equal number of points, goals, etc.
v limit or restrict to
v connect, fasten, or put together two or more pieces
v form a knot or bow in
v create social or emotional ties
v perform a marriage ceremony
v make by tying pieces together
v unite musical notes by a tie"
tolerant,"a. showing respect for the rights or opinions or practices of others
s. able to tolerate environmental conditions or physiological stress
s. showing the capacity for endurance"
trace,"n. a just detectable amount
n. an indication that something has been present
n. either of two lines that connect a horse's harness to a wagon or other vehicle or to a whiffletree
n. a visible mark (as a footprint) left by the passage of person or animal or vehicle"
transparent,s. easily understood or seen through (because of a lack of subtlety)
trap,"n. a device in which something (usually an animal) can be caught and penned
n. drain consisting of a U-shaped section of drainpipe that holds liquid and so prevents a return flow of sewer gas
n. something (often something deceptively attractive) that catches you unawares
n. a device to hurl clay pigeons into the air for trapshooters"
trapping,"n stable gear consisting of a decorated covering for a horse, especially (formerly) for a warhorse
v place in a confining or embarrassing position
v catch in or as if in a trap
v hold or catch as if in a trap
v to hold fast or prevent from moving"
tremendous,"s extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman
s extraordinarily good or great; used especially as intensifiers
s extreme in degree or extent or amount or impact"
trend,"n a general direction in which something tends to move
n general line of orientation
n a general tendency to change (as of opinion)
n the popular taste at a given time
v turn sharply; change direction abruptly"
trigger,"n. a device that activates or releases or causes something to happen
n. an act that sets in motion some course of events
v. release or pull the trigger on"
typify,"v. embody the essential characteristics of or be a typical example of
v. express indirectly by an image, form, or model; be a symbol"
undergo,v. pass through
underlying,s. located beneath or below
unique,"s. (followed by `to') applying exclusively to a given category or condition or locality
s. highly unusual or rare but not the single instance"
unprecedented,a. having no precedent; novel
unpredictable,"a. not capable of being foretold
s. unknown in advance"
unpromising,s. unlikely to bring about favorable results or enjoyment
vacate,"v. leave (a job, post, or position) voluntarily
v. leave behind empty; move out of"
vanish,"v. become invisible or unnoticeable
v. cease to exist
v. decrease rapidly and disappear"
valid,"a. well grounded in logic or truth or having legal force
s. still legally acceptable"
velocity,n distance travelled per unit time
vicinity,n. a surrounding or nearby region
vigorous,"s. characterized by forceful and energetic action or activity
s. strong and active physically or mentally"
wealthy,s having an abundant supply of money or possessions of value
abolish,v. do away with
absolutely,"r. completely and without qualification; used informally as intensifiers
r. totally and definitely; without question"
accommodate,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)"
acknowledge,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority"
adhesive,a. tending to adhere
adjoining,"v lie adjacent to another or share a boundary
v be in direct physical contact with; make contact
v attach or add"
adopt,"v. choose and follow; as of theories, ideas, policies, strategies or plans
v. take up and practice as one's own
v. take into one's family"
albeit,conj. Even though; although; notwithstanding.
alliance,"n. the state of being allied or confederated
n. a connection based on kinship or marriage or common interest
n. an organization of people (or countries) involved in a pact or treaty
n. a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim"
allusion,n. passing reference or indirect mention
aim,"n. the goal intended to be attained (and which is believed to be attainable)
n. the action of directing something at an object
v. point or cause to go (blows, weapons, or objects such as photographic equipment) towards
v. propose or intend"
ambitious,"a. having a strong desire for success or achievement
s. requiring full use of your abilities or resources"
ample,"a. more than enough in size or scope or capacity
s. affording an abundant supply
s. fairly large"
anarchy,n. a state of lawlessness and disorder (usually resulting from a failure of government)
annihilate,v kill in large numbers
anonymous,"a. having no known name or identity or known source
s. not known or lacking marked individuality"
anxiety,"n. (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic
n. a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune"
appraisal,"n. the classification of someone or something with respect to its worth
n. a document appraising the value of something (as for insurance or taxation)
n. an expert estimation of the quality, quantity, and other characteristics of someone or something"
appreciably,r. to a noticeable degree
aptitude,n. inherent ability
ardent,"s. characterized by intense emotion
s. characterized by strong enthusiasm
s. glowing or shining like fire"
arduous,"s. characterized by effort to the point of exhaustion; especially physical effort
s. taxing to the utmost; testing powers of endurance
s. difficult to accomplish; demanding considerable mental effort and skill"
ascend,"v. travel up, ""We ascended the mountain""
v. go back in order of genealogical succession
v. become king or queen
v. appear to be moving upward, as by means of tendrils"
assimilate,"v. become similar to one's environment
v. make similar
v. take (gas, light or heat) into a solution
v. become similar in sound"
assorted,"s. consisting of a haphazard assortment of different kinds
s. of many different kinds purposefully arranged but lacking any uniformity"
astoundingly,none
authenticity,n. undisputed credibility
baffle,"n. a flat plate that controls or directs the flow of fluid or energy
v. check the emission of (sound)"
bar,"n. a counter where you can obtain food or drink
n. a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon
n. an obstruction (usually metal) placed at the top of a goal
n. (meteorology) a unit of pressure equal to a million dynes per square centimeter"
bizarre,s. conspicuously or grossly unconventional or unusual
bombard,"v. throw bombs at or attack with bombs
v. address with continuously or persistently, as if with a barrage
v. direct high energy particles or radiation against"
broaden,"v. make broader
v. become broader"
burdensome,"s. not easily borne; wearing; I only had to greet the guests"""
burgeoning,v grow and flourish
bustling,s. full of energetic and noisy activity
champion,"n. someone who has won first place in a competition
n. someone who fights for a cause
v. protect or fight for as a champion
s. holding first place in a contest"
circumstance,"n. a condition that accompanies or influences some event or activity
n. information that should be kept in mind when making a decision
n. formal ceremony about important occasions"
coalesce,v. fuse or cause to grow together
coating,"n. a thin layer covering something
n. a decorative texture or appearance of a surface (or the substance that gives it that appearance)
n. a heavy fabric suitable for coats"
coexist,"v. coexist peacefully, as of nations
v. exist together"
colossal,s. so great in size or force or extent as to elicit awe
compilation,"n. something that is compiled (as into a single book or file)
n. the act of compiling (as into a single book or file or list)"
compile,v. use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed
compulsorily,r. in a manner that cannot be evaded
concede,"v. admit (to a wrongdoing)
v. be willing to concede
v. give over; surrender or relinquish to the physical control of another
v. acknowledge defeat"
concern,"n. something that interests you because it is important or affects you
n. an anxious feeling
n. a feeling of sympathy for someone or something
n. something or someone that causes anxiety; a source of unhappiness"
conform,"v. be similar, be in line with"
conjunction,"n. an uninflected function word that serves to conjoin words or phrases or clauses or sentences
n. the grammatical relation between linguistic units (words or phrases or clauses) that are connected by a conjunction
n. (astronomy) apparent meeting or passing of two or more celestial bodies in the same degree of the zodiac"
consensus,n. agreement in the judgment or opinion reached by a group as a whole
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
contend,"v. maintain or assert
v. be engaged in a fight; carry on a fight"
contention,n. a point asserted as part of an argument
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
correlate,"n. either of two or more related or complementary variables
v. to bear a reciprocal or mutual relation
v. bring into a mutual, complementary, or reciprocal relation"
courteous,"s. exhibiting courtesy and politeness
a. characterized by courtesy and gracious good manners"
cramp,"n. a clamp for holding pieces of wood together while they are glued
n. a strip of metal with ends bent at right angles; used to hold masonry together
v. secure with a cramp
v. affect with or as if with a cramp"
credible,"a. capable of being believed
s. (a common but incorrect usage where `credulous' would be appropriate) credulous
s. appearing to merit belief or acceptance"
crisis,"n. an unstable situation of extreme danger or difficulty
n. a crucial stage or turning point in the course of something"
criteria,"n a basis for comparison; a reference point against which other things can be evaluated
n the ideal in terms of which something can be judged"
cushion,"n. the layer of air that supports a hovercraft or similar vehicle
n. a soft bag filled with air or a mass of padding such as feathers or foam rubber etc.
v. protect from impact"
decay,"n. the process of gradually becoming inferior
n. a gradual decrease; as of stored charge or current
n. the organic phenomenon of rotting
n. an inferior state resulting from the process of decaying"
deceive,"v. be false to; be dishonest with
v. cause someone to believe an untruth"
define,"v. give a definition for the meaning of a word
v. determine the nature of
v. show the form or outline of"
deficiency,"n the state of needing something that is absent or unavailable
n lack of an adequate quantity or number"
deflect,"v. turn from a straight course, fixed direction, or line of interest
v. turn aside and away from an initial or intended course"
delicately,r in a delicate manner
dependable,"s. worthy of being depended on
s. consistent in performance or behavior
s. financially sound"
depict,"v show in, or as in, a picture
v give a description of
v make a portrait of"
designation,n. the act of designating or identifying something
desolate,s. crushed by grief
detrimental,s (sometimes followed by `to') causing harm or injury
determinant,"n. a determining or causal element or factor
n. a square matrix used to solve simultaneous equations"
deviate,"v. turn aside; turn away from
v. be at variance with; be out of line with
v. cause to turn away from a previous or expected course"
devour,"v. destroy completely
v. enjoy avidly
v. eat immoderately
v. eat greedily"
discern,v detect with the senses
discrepancy,"n. a difference between conflicting facts or claims or opinions
n. an event that departs from expectations"
discrete,s. constituting a separate entity or part
discontent,v. make dissatisfied
disguise,"n. an outward semblance that misrepresents the true nature of something
n. any attire that modifies the appearance in order to conceal the wearer's identity
n. the act of concealing the identity of something by modifying its appearance
v. make unrecognizable"
disintegrate,"v. break into parts or components or lose cohesion or unity
v. cause to undergo fission or lose particles
v. lose a stored charge, magnetic flux, or current"
doctrine,n. a belief (or system of beliefs) accepted as authoritative by some group or school
domain,"n. territory over which rule or control is exercised
n. (mathematics) the set of values of the independent variable for which a function is defined"
dormant,"s. in a condition of biological rest or suspended animation
a. (of e.g. volcanos) not erupting and not extinct
s. lying with head on paws as if sleeping"
drawback,n. the quality of being a hindrance
duplicate,"n. a copy that corresponds to an original exactly
v. make or do or perform again
v. make a duplicate or duplicates of
s. identically copied from an original"
edible,a. suitable for use as food
efficacy,n. capacity or power to produce a desired effect
elusive,"s. difficult to describe
s. skillful at eluding capture
s. difficult to detect or grasp by the mind or analyze"
emanate,"v. proceed or issue forth, as from a source"
embellish,"v add details to
v be beautiful to look at
v make more attractive by adding ornament, colour, etc.
v make more beautiful"
eminent,"s. standing above others in quality or position
s. of imposing height; especially standing out above others"
employ,"n the state of being employed or having a job
v put into service; make work or employ for a particular purpose or for its inherent or natural purpose
v engage or hire for work"
empirical,a. derived from experiment and observation rather than theory
endow,"v. give qualities or abilities to
v. furnish with an endowment"
engrave,"v. impress or affect deeply
v. carve or cut into a block used for printing or print from such a block
v. carve or cut a design or letters into"
enlist,"v. join the military
v. engage somebody to enter the army"
enigmatic,"s. not clear to the understanding
s. resembling an oracle in obscurity of thought"
ensuing,s. following immediately and as a result of what went before
eradicate,"v kill in large numbers
v destroy completely, as if down to the roots"
erode,"v. become ground down or deteriorate
v. remove soil or rock"
erratic,"s. liable to sudden unpredictable change
s. having no fixed course
s. likely to perform unpredictably; sometimes it would start and sometimes it wouldn't"""
escalate,v. increase in extent or intensity
essence,n. any substance possessing to a high degree the predominant properties of a plant or drug or other natural product from which it is extracted
ethic,"n. the principles of right and wrong that are accepted by an individual or a social group
n. a system of principles governing morality and acceptable conduct"
evade,"v. practice evasion
v. use cunning or deceit to escape or avoid"
evident,"s clearly revealed to the mind or the senses or judgment
s capable of being seen or noticed"
exert,"v. put to use
v. make a great effort at a mental or physical task"
expend,"v use up, consume fully
v pay out"
expel,v. force to leave or move out
explicable,a. capable of being explicated or accounted for
exquisitely,r in a delicate manner
facet,n. a smooth surface (as of a bone or cut gemstone)
feasible,s. capable of being done with means at hand and circumstances as they are
flee,v. run away quickly
fleeting,s. lasting for a markedly brief time
friction,"n. the resistance encountered when one body is moved in contact with another
n. effort expended in moving one object over another with pressure"
frigid,s. devoid of warmth and cordiality; expressive of unfriendliness or disdain
fringe,"n. one of the light or dark bands produced by the interference and diffraction of light
n. a social group holding marginal or extreme views
n. an ornamental border consisting of short lengths of hanging threads or tassels
v. adorn with a fringe"
foremost,"s. preceding all others in spatial position
s. situated closest to the bow
r. prominently forward"
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
foul,"n. an act that violates the rules of a sport
v. hit a foul ball
v. commit a foul; break the rules
v. spot, stain, or pollute"
founding,"n the act of starting something for the first time; introducing something new
v set up or found
v set up or lay the groundwork for
v use as a basis for; found on"
gigantic,s. so exceedingly large or extensive as to suggest a giant or mammoth
graphically,"r. with respect to graphic aspects
r. in a graphic way"
gross,"n. twelve dozen
n. the entire amount of income before any deductions are made
v. earn before taxes, expenses, etc.
a. before any deductions"
habit,"n. an established custom
n. (psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition
n. a distinctive attire worn by a member of a religious order
n. the general form or mode of growth (especially of a plant or crystal)"
halt,v. cause to stop
harness,"n. a support consisting of an arrangement of straps for holding something to the body (especially one supporting a person suspended from a parachute)
n. stable gear consisting of an arrangement of leather straps fitted to a draft animal so that it can be attached to and pull a cart
v. put a harness
v. exploit the power of"
hasty,"s. excessively quick
s. done with very great haste and without due deliberation"
heterogeneous,a. consisting of elements that are not of the same kind or nature
highlight,"n. the most interesting or memorable part
n. an area of lightness in a picture
v. apply a highlighter to one's cheeks or eyebrows in order to make them more prominent"
hint,"n. an indirect suggestion
n. a slight indication
v. drop a hint; intimate by a hint"
humble,"v. cause to be unpretentious
s. low or inferior in station or quality
a. marked by meekness or modesty; not arrogant or prideful
s. used of unskilled work (especially domestic work)"
identifiable,a. capable of being identified
imaginative,s. (used of persons or artifacts) marked by independence and creativity in thought or action
imitator,"n someone who (fraudulently) assumes the appearance of another
n someone who copies the words or behavior of another"
immobile,a. not capable of movement or of being moved
impeded,imp. & p. p. of Impede
impediment,"n something immaterial that interferes with or delays action or progress
n any structure that makes progress difficult"
impervious,a. not admitting of passage or capable of being affected
impulse,n. the act of applying force suddenly
inanimate,"a. belonging to the class of nouns denoting nonliving things
a. not endowed with life"
incite,v. provoke or stir up
incidence,"n. the relative frequency of occurrence of something
n. the striking of a light beam on a surface"
inconclusive,a. not conclusive; not putting an end to doubt or question
inconspicuous,a. not prominent or readily noticeable
indiscriminate,"s. failing to make or recognize distinctions
a. not marked by fine distinctions"
indispensable,"a. not to be dispensed with; essential
s. unavoidable"
inflate,"v. exaggerate or make bigger
v. fill with gas or air
v. cause prices to rise by increasing the available currency or credit
v. increase the amount or availability of, creating a rise in value"
infrequent,a. not frequent; not occurring regularly or at short intervals
ingestion,n the process of taking food into the body through the mouth (as by eating)
inherent,"s existing as an essential constituent or characteristic
s in the nature of something though not readily apparent"
innumerable,s too numerous to be counted
inspect,v. look over carefully
inspiring,a. stimulating or exalting to the spirit
instigate,"v provoke or stir up
v serve as the inciting cause of"
instructive,a. serving to instruct or enlighten or inform
integrity,"n. an undivided or unbroken completeness or totality with nothing wanting
n. moral soundness"
intercourse,n. communication between individuals
interlock,"n. a device that prevents an automotive engine from starting
v. coordinate in such a way that all parts work together effectively
v. become engaged or intermeshed with one another"
intermediate,"n. a substance formed during a chemical process before the desired product is obtained
a. lying between two extremes in time or space or state"
intrinsically,r. with respect to its inherent nature
innumerable,s too numerous to be counted
inventive,s (used of persons or artifacts) marked by independence and creativity in thought or action
invoke,v. cite as an authority; resort to
involve,"v. connect closely and often incriminatingly
v. engage as a participant
v. contain as a part
v. occupy or engage the interest of"
irreversible,a. incapable of being reversed
jeopardize,"v pose a threat to; present a danger to
v put at risk"
jointly,"r. in collaboration or cooperation
r. in conjunction with; combined"
just,"a. used especially of what is legally or ethically right or proper or fitting
r. only a moment ago
r. absolutely
r. exactly at this moment or the moment described;"
lavishly,r. in a rich and lavish manner
leftover,"n. a small part or portion that remains after the main part no longer exists
s. not used up"
legendary,s. so celebrated as to having taken on the nature of a legend
legible,"a. (of handwriting, print, etc.) capable of being read or deciphered"
legitimately,"r. in a manner acceptable to common custom
r. in a lawfully recognized manner"
logical,a. capable of or reflecting the capability for correct and valid reasoning
lone,"s. characterized by or preferring solitude
s. being the only one; single and isolated from others"
longevity,"n. duration of service
n. the property of being long-lived"
location,"n. a point or extent in space
n. a workplace away from a studio at which some or all of a movie may be made"
luminous,s softly bright or radiant
magnitude,"n. the property of relative size or extent (whether large or small)
n. relative importance"
maintenance,"n. means of maintenance of a family or group
n. the unauthorized interference in a legal action by a person having no interest in it (as by helping one party with money or otherwise to continue the action) so as to obstruct justice or promote unnecessary litigation or unsettle the peace of the community"
mandate,"n. a document giving an official instruction or command
n. a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
n. the commission that is given to a government and its policies through an electoral victory"
margin,"n. the boundary line or the area immediately inside the boundary
n. an amount beyond the minimum necessary
n. the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities
n. the blank space that surrounds the text on a page"
marvelously,r (used as an intensifier) extremely well
meager,a. deficient in amount or quality or extent
mean,"n. an average of n numbers computed by adding some function of the numbers and dividing by some function of n
v. mean or intend to express or convey
v. denote or connote
v. have a specified degree of importance"
merge,"v become one
v mix together different elements
v join or combine"
methodically,r. in a methodical manner
meticulously,r. in a meticulous manner
might,n. physical strength
miniature,"n. painting or drawing included in a book (especially in illuminated medieval manuscripts)
n. a copy that reproduces a person or thing in greatly reduced size
s. being on a very small scale"
mobilize,"v. make ready for action or use
v. get ready for war
v. cause to move around"
momentous,s. of very great significance
momentum,"n. an impelling force or strength
n. the product of a body's mass and its velocity"
monotonous,"s tediously repetitious or lacking in variety; all work and no play""
s sounded or spoken in a tone unvarying in pitch"
moral,"n. the significance of a story or event
a. concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
s. psychological rather than physical or tangible in effect"
moreover,"r in addition; furthermore, their quality is improving""; moreover, mice nested there"""
mortality,n. the quality or state of being mortal
motionless,s not in physical motion
mount,"n. a mounting consisting of a piece of metal (as in a ring or other jewelry) that holds a gem in place
v. attach to a support
v. fix onto a backing, setting, or support
v. put up or launch"
mundane,"s. concerned with the world or worldly matters
s. belonging to this earth or world; not ideal or heavenly; yet a mundane wonder of unimagined kind"""
mutilate,"v. destroy or injure severely
v. destroy or injure severely"
needless,"n the leaf of a conifer
n a slender pointer for indicating the reading on the scale of a measuring instrument
n a sharp pointed implement (usually steel)
n a stylus that formerly made sound by following a groove in a phonograph record
v goad or provoke,as by constant criticism
v prick with a needle
s unnecessary and unwarranted"
neglect,"n. the state of something that has been unused and neglected
v. leave undone or leave out
v. fail to attend to
v. give little or no attention to"
option,"n. the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n. one of a number of things from which only one can be chosen"
originate,"v. come into existence; take on form or shape
v. bring into being
v. begin a trip at a certain point, as of a plane, train, bus, etc."
outbreak,n. a sudden violent spontaneous occurrence (usually of some undesirable condition)
outdated,s. old; no longer valid or fashionable
outlying,s. relatively far from a center or middle
outweigh,v. be heavier than
overlie,"v. lie upon; lie on top of
v. kill by lying on"
overwhelming,"v overcome, as with emotions or perceptual stimuli
v charge someone with too many tasks
v cover completely or make imperceptible
v overcome by superior force
s so strong as to be irresistible
s very intense"
pale,"v. turn pale, as if in fear
s. very light colored; highly diluted with white
s. (of light) lacking in intensity or brightness; dim or feeble
s. lacking in vitality or interest or effectiveness"
painstaking,s characterized by extreme care and great effort
paradox,n. (logic) a statement that contradicts itself
penchant,n a strong liking
perfect,"v. make perfect or complete
a. being complete of its kind and without defect or blemish
s. precisely accurate or exact"
perishable,"n. food that will decay rapidly if not refrigerated
a. liable to perish; subject to destruction or death or decay"
permeable,a. allowing fluids or gases to pass or diffuse through
permeate,v. spread or diffuse through
perpetuate,v. cause to continue or prevail
perplex,v. be a mystery or bewildering to
persuasively,r. in a persuasive manner
pessimistic,a. expecting the worst possible outcome
plug,"n. blockage consisting of an object designed to fill a hole tightly
n. an electrical device with two or three pins that is inserted in a socket to make an electrical connection
v. fill or close tightly with or as if with a plug
v. persist in working hard"
pointless,a. not having a point especially a sharp point
ponder,v reflect deeply on a subject
pose,"n. a posture assumed by models for photographic or artistic purposes
v. pretend to be someone you are not; sometimes with fraudulent intentions
v. behave affectedly or unnaturally in order to impress others"
posterity,n. all future generations
postulate,"n. (logic) a proposition that is accepted as true in order to provide a basis for logical reasoning
v. take as a given; assume as a postulate or axiom"
potent,"s. having great influence
s. having or wielding force or authority
a. having a strong physiological or chemical effect
a. (of a male) capable of copulation"
preeminent,s greatest in importance or degree or significance or achievement
prelude,"n. music that precedes a fugue or introduces an act in an opera
v. serve as a prelude or opening to
v. play as a prelude"
premise,"n. a statement that is assumed to be true and from which a conclusion can be drawn
v. set forth beforehand, often as an explanation
v. take something as preexisting and given"
preoccupation,"n. an idea that preoccupies the mind and holds the attention
n. the mental state of being preoccupied by something"
preponderance,"n. superiority in power or influence
n. a superiority in numbers or amount
n. exceeding in heaviness; having greater weight"
preposterous,s incongruous; inviting ridicule
prestige,n. a high standing achieved through success or influence or wealth etc.
pristine,"s. completely free from dirt or contamination
s. immaculately clean and unused"
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
profusely,r in an abundant manner
project,"n. a planned undertaking
v. communicate vividly
v. transfer (ideas or principles) from one domain into another
v. project on a screen"
proliferation,"n. growth by the rapid multiplication of parts
n. a rapid increase in number (especially a rapid increase in the number of deadly weapons)"
prolifically,none
prominent,"s having a quality that thrusts itself into attention
s conspicuous in position or importance"
prompt,"n. a cue given to a performer (usually the beginning of the next line to be spoken)
n. (computer science) a symbol that appears on the computer screen to indicate that the computer is ready to receive a command
v. serve as the inciting cause of
v. assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned"
pronounced,"v speak, pronounce, or utter in a certain way
v pronounce judgment on
s strongly marked; easily noticeable"
pronouncement,n. an authoritative declaration
propagate,"v. transmit from one generation to the next
v. travel through the air
v. transmit
v. transmit or cause to broaden or spread"
propulsion,"n. a propelling force
n. the act of propelling"
prospect,"n. the possibility of future success
v. search for something desirable
v. explore for useful or valuable things or substances, such as minerals"
provided,"v give something useful or necessary to
v give what is desired or needed, especially support, food or sustenance
v determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation
v mount or put up
v make a possibility or provide opportunity for; permit to be attainable or cause to remain
v supply means of subsistence; earn a living
v take measures in preparation for"
provoke,"v. evoke or provoke to appear or occur
v. provide the needed stimulus for"
proximate,"a. closest in degree or order (space or time) especially in a chain of causes and effects
s. very close in space or time"
rapport,n. a relationship of mutual understanding or trust and agreement between people
recall,"n. a request by the manufacturer of a defective product to return the product (as for replacement or repair)
n. a call to return
n. a bugle call that signals troops to return
n. the process of remembering (especially the process of recovering information by mental effort)"
reciprocal,"n. something (a term or expression or concept) that has a reciprocal relation to something else
a. concerning each of two or more persons or things; especially given or done in return
s. of or relating to the multiplicative inverse of a quantity or function"
recommend,"v. push for something
v. make attractive or acceptable"
reconcile,v. come to terms
redundancy,"n. repetition of messages to reduce the probability of errors in transmission
n. the attribute of being superfluous and unneeded
n. (electronics) a system design that duplicates components to provide alternatives in case one component fails
n. repetition of an act needlessly"
regrettably,r by bad luck
regardless,r. in spite of everything; without regard to drawbacks
regime,"n the organization that is the governing authority of a political unit
n (medicine) a systematic plan for therapy (often including diet)"
reliance,"n. certainty based on past experience
n. the state of relying on something"
relic,n. an antiquity that has survived from the distant past
reluctant,"s. disinclined to become involved
s. not eager"
rekindle,"v. kindle anew, as of a fire
v. arouse again"
renown,n the state or quality of being widely honored and acclaimed
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
replicate,v. reproduce or make an exact copy of
repudiate,"v. refuse to acknowledge, ratify, or recognize as valid
v. refuse to recognize or pay
v. reject as untrue, unfounded, or unjust"
repulse,"n an instance of driving away or warding off
v force or drive back
v be repellent to; cause aversion in
v cause to move back by force or influence"
restore,"v. return to its original or usable and functioning condition
v. give or bring back
v. bring back into original existence, use, function, or position"
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
resultant,n. the final point in a process
resurgence,n bringing again into activity and prominence
retention,n. the act of retaining something
retirement,"n. the state of being retired from one's business or occupation
n. withdrawal from your position or occupation
n. withdrawal for prayer and study and meditation"
retrieve,"v. go for and bring back
v. run after, pick up, and bring to the master"
revere,n. American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
revise,v. make revisions in
rigor,"n something hard to endure
n the quality of being valid and rigorous
n excessive sternness"
rugged,"a. sturdy and strong in constitution or construction; enduring
s. very difficult; severely testing stamina or resolution"
sabotage,"n. a deliberate act of destruction or disruption in which equipment is damaged
v. destroy property or hinder normal operations"
scanty,"n short underpants for women or children (usually used in the plural)
s lacking in amplitude or quantity"
sensible,"a. able to feel or perceive
s. readily perceived by the senses
s. aware intuitively or intellectually of something sensed"
sentimental,s. given to or marked by sentiment or sentimentality
sever,v. set or keep apart
shatter,"v. break into many pieces
v. damage or destroy
v. cause to break into many pieces"
shift,"n. an event in which something is displaced without rotation
n. the time period during which you are at work
n. the act of moving from one place to another
n. a crew of workers who work for a specific period of time"
shrinkage,n. the amount by which something shrinks
signify,"v. convey or express a meaning
v. make known with a word or signal"
soar,"n. the act of rising upward into the air
v. rise rapidly
v. fly upwards or high in the sky
v. go or move upward"
sole,"n. the underside of footwear or a golf club
n. lean flesh of any of several flatfish
n. the underside of the foot
n. right-eyed flatfish; many are valued as food; most common in warm seas especially European"
sovereign,"n. a nation's ruler or head of state usually by hereditary right
s. greatest in status or authority or power"
splendid,"s having great beauty and splendor
s very good; of the highest quality
s characterized by grandeur"
sponsor,"v. assume sponsorship of
v. assume responsibility for or leadership of"
