species,"n. (biology) taxonomic group whose members can interbreed
n. a specific kind of something"
twig,v. branch out in a twiglike manner
unaffected,"a. undergoing no change when acted upon
a. free of artificiality; sincere and genuine"
unaware,a. (often followed by `of') not aware
unchanging,s. conforming to the same principles or course of action over time
uncommon,a. not common or ordinarily encountered; unusually great in amount or remarkable in character or kind
unconsolidated,s. loose and unstratified
understory,none
urge,"n. an instinctive motive
n. a strong restless desire
v. force or impel in an indicated direction"
urn,"n. a large vase that usually has a pedestal or feet
n. a large pot for making coffee or tea"
versus,"prep. Against; as, John Doe versus Richard Roe; -- chiefly
   used in legal language, and abbreviated to v. or vs."
visibility,"n. quality or fact or degree of being visible; perceptible by the eye or obvious to the eye
n. degree of exposure to public notice
n. capability of providing a clear unobstructed view"
warrior,n. someone engaged in or experienced in warfare
wetter,n. a workman who wets the work in a manufacturing process
abnormal,"a. not normal; not typical or usual or regular or conforming to a norm
a. departing from the normal in e.g. intelligence and development
s. much greater than the normal"
absolute,"n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
a. perfect or complete or pure
s. complete and without restriction or qualification; sometimes used informally as intensifiers
s. not limited by law"
accidental,"n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
s. happening by chance or unexpectedly or unintentionally"
accumulator,n. (computer science) a register that has a built-in adder that adds an input number to the contents of the register
album,"n. one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc
n. a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc"
ample,"a. more than enough in size or scope or capacity
s. affording an abundant supply
s. fairly large"
angular,"a. measured by an angle or by the rate of change of an angle
a. having angles or an angular shape"
aquatic,"n. a plant that lives in or on water
a. relating to or consisting of or being in water
a. operating or living or growing in water"
arithmetic,n. the branch of pure mathematics dealing with the theory of numerical calculations
auditory,a. of or relating to the process of hearing
auxiliary,s. functioning in a supporting capacity
awesome,s inspiring awe or admiration or wonder
biotic,a. of or relating to living organisms
bivalve,"n. marine or freshwater mollusks having a soft body with platelike gills enclosed within two shells hinged together
a. used of mollusks having two shells (as clams etc.)"
blacksmith,n. a smith who forges and shapes iron with a hammer and anvil
blubber,"n. an insulating layer of fat under the skin of whales and other large marine mammals; used as a source of oil
v. utter while crying"
bounce,"n. the quality of a substance that is able to rebound
n. rebounding from an impact (or series of impacts)
v. spring back; spring away from an impact
v. hit something so that it bounces"
bud,"n. a partially opened flower
n. a swelling on a plant stem consisting of overlapping immature leaves or petals
v. develop buds
v. start to grow or develop"
buddy,n. a close friend who accompanies his buddies in their activities
canopy,"n. the transparent covering of an aircraft cockpit
n. the umbrellalike part of a parachute that fills with air
n. a covering (usually of cloth) that serves as a roof to shelter an area from the weather
v. cover with a canopy"
caravan,"n. a procession (of wagons or mules or camels) traveling together in single file
v. travel in a caravan"
carnivore,"n. a terrestrial or aquatic flesh-eating mammal
n. any animal that feeds on flesh"
celebrate,v. have a celebration
chairperson,n the officer who presides at the meetings of an organization
chart,"n. a visual display of information
n. a map designed to assist navigation by air or sea
v. make a chart of
v. plan in detail"
chemosynthesis,n. synthesis of carbohydrate from carbon dioxide and water; limited to certain bacteria and fungi
chip,"n. a triangular wooden float attached to the end of a log line
n. a piece of dried bovine dung
n. a thin crisp slice of potato fried in deep fat
n. a small disk-shaped counter used to represent money when gambling"
chondrite,n. a rock of meteoric origin containing chondrules
choreography,"n. the representation of dancing by symbols as music is represented by notes
n. a notation used by choreographers"
civilian,"n. a nonmilitary citizen
a. associated with civil life or performed by persons who are not active members of the military"
client,n. a person who seeks the advice of a lawyer
cling,"n. fruit (especially peach) whose flesh adheres strongly to the pit
v. come or be in close contact with; stick or hold together and resist separation
v. to remain emotionally or intellectually attached
v. hold on tightly or tenaciously"
coach,"n. (sports) someone in charge of training an athlete or a team
n. a person who gives private instruction (as in singing, acting, etc.)
n. a carriage pulled by four horses with one driver
v. teach and supervise (someone); act as a trainer or coach (to), as in sports"
coexist,"v. coexist peacefully, as of nations
v. exist together"
combustion,"n. a process in which a substance reacts with oxygen to give heat and light
n. a state of violent disturbance and excitement"
comprehensive,"a. including all or everything
s. broad in scope"
confine,"v. prevent from leaving or from being removed
v. deprive of freedom; take into confinement"
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
continuity,"n. uninterrupted connection or union
n. a detailed script used in making a film in order to avoid discontinuities from shot to shot
n. the property of a continuous and connected period of time"
cottage,n a small house with a single story
counterpart,"n. a person or thing having the same function or characteristics as another
n. a duplicate copy"
cramped,s. constricted in size
crown,"n. the Crown (or the reigning monarch) as the symbol of the power and authority of a monarchy
n. the part of a tooth above the gum that is covered with enamel
n. a wreath or garland worn on the head to signify victory
n. an ornamental jeweled headdress signifying sovereignty"
currency,"n. the metal or paper medium of exchange that is presently used
n. general acceptance or use"
darken,"v. become dark or darker
v. tarnish or stain
v. make dark or darker"
declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
deepen,"v. make deeper
v. become deeper in tone"
deliberately,"r with intention; in an intentional manner
r in a deliberate unhurried manner"
designate,"v. assign a name or title to
s. appointed but not yet installed in office"
detractor,n. one who disparages or belittles the worth of something
diesel,"n. German engineer (born in France) who invented the diesel engine (1858-1913)
n. an internal-combustion engine that burns heavy oil"
disintegrate,"v. break into parts or components or lose cohesion or unity
v. cause to undergo fission or lose particles
v. lose a stored charge, magnetic flux, or current"
documentary,"n. a film or TV program presenting the facts about a person or event
a. relating to or consisting of or derived from documents"
documentation,"n. confirmation that some fact or statement is true through the use of documentary evidence
n. documentary validation"
dune,n. a ridge of sand created by the wind; found in deserts or near lakes and oceans
elect,"v. select by a vote for an office or membership
v. choose
s. selected as the best
s. elected but not yet installed in office"
eligible,a. qualified for or allowed or worthy of being chosen
embed,"v. attach to, as a journalist to a military unit when reporting on a war"
embryo,"n. (botany) a minute rudimentary plant contained within a seed or an archegonium
n. an animal organism in the early stages of growth and differentiation that in higher forms merge into fetal stages but in lower forms terminate in commencement of larval life"
enroll,v. register formally as a participant or member
entail,"n. land received by fee tail
n. the act of entailing property; the creation of a fee tail from a fee simple
v. have as a logical consequence
v. impose, involve, or imply as a necessary accompaniment or result"
entitle,"v. give the right to
v. give a title to"
envision,v. picture to oneself; imagine possible
Eurasian,"n. a person of mixed European and Asian descent
a. relating to, or coming from, Europe and Asia"
evenly,"r. in equal amounts or shares; in a balanced or impartial way
r. in a level and regular way"
exogenous,a. derived or originating externally
expanse,n. a wide and open space or area as of surface or land or sky
fabricate,v. make up something artificial or untrue
fan,"n. a device for creating a current of air by movement of a surface or surfaces
n. an ardent follower and admirer
v. strike out (a batter), (of a pitcher)
v. make (an emotion) fiercer"
fiber,"n. a slender and greatly elongated substance capable of being spun into yarn
n. any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)
n. a leatherlike material made by compressing layers of paper or cloth"
flap,"n. any broad thin and limber covering attached at one edge; hangs loose or projects freely
n. the motion made by flapping up and down
n. a movable piece of tissue partly connected to the body
n. a movable airfoil that is part of an aircraft wing; used to increase lift or drag"
flee,v. run away quickly
floral,"s. resembling or made of or suggestive of flowers
a. relating to or associated with flowers
a. of or relating to the plant life in a particular region"
forbid,v. command against
ford,"n. United States film maker (1896-1973)
n. grandson of Henry Ford (1917-1987)
n. son of Henry Ford (1893-1943)
n. English writer and editor (1873-1939)"
foul,"n. an act that violates the rules of a sport
v. hit a foul ball
v. commit a foul; break the rules
v. spot, stain, or pollute"
fresco,"n. a mural done with watercolors on wet plaster
n. a durable method of painting on a wall by using watercolors on wet plaster
v. paint onto wet plaster on a wall"
Freudian,"n. a person who follows the basic theories or practices of Sigmund Freud
a. of or relating to Sigmund Freud or his psychoanalytic ideas"
frill,"n. (paleontology) a bony plate that curves upward behind the skull of many ceratopsian dinosaurs
n. an external body part consisting of feathers or hair about the neck of a bird or other animal
n. a strip of pleated material used as a decoration or a trim"
fringe,"n. one of the light or dark bands produced by the interference and diffraction of light
n. a social group holding marginal or extreme views
n. an ornamental border consisting of short lengths of hanging threads or tassels
v. adorn with a fringe"
frontal,"n. a drapery that covers the front of an altar
s. belonging to the front part
a. of or relating to the front of an advancing mass of air
s. meeting front to front"
fulfill,"v put in effect
v meet the requirements or expectations of
v fill or meet a want or need"
gaseous,a. existing as or having characteristics of a gas
geography,n. study of the earth's surface; includes people's responses to topography and climate and soil and vegetation
gland,n. any of various organs that synthesize substances needed by the body and release it through ducts or directly into the bloodstream
hammer,"n. the part of a gunlock that strikes the percussion cap when the trigger is pulled
n. a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking
n. a heavy metal sphere attached to a flexible wire; used in the hammer throw
n. a striker that is covered in felt and that causes the piano strings to vibrate"
hardly,r. almost not
hardy,"n. United States slapstick comedian who played the pompous and overbearing member of the Laurel and Hardy duo who made many films (1892-1957)
n. English novelist and poet (1840-1928)
s. having rugged physical strength; inured to fatigue or hardships
s. able to survive under unfavorable weather conditions"
hay,"n. grass mowed and cured for use as fodder
v. convert (plant material) into hay"
hectare,"n. (abbreviated `ha') a unit of surface area equal to 100 ares (or 10,000 square meters)"
horizon,"n. the line at which the sky and Earth appear to meet
n. the range of interest or activity that can be anticipated
n. a specific layer or stratum of soil or subsoil in a vertical cross section of land
n. the great circle on the celestial sphere whose plane passes through the sensible horizon and the center of the Earth"
huckleberry,"n. any of various dark-fruited as distinguished from blue-fruited blueberries
n. any of several shrubs of the genus Gaylussacia bearing small berries resembling blueberries
n. blue-black berry similar to blueberries and bilberries of the eastern United States"
humidity,n. wetness in the atmosphere
hydrothermal,"a. Of or pertaining to hot water; -- used esp. with
   reference to the action of heated waters in dissolving, redepositing,
   and otherwise producing mineral changes within the crust of the globe."
impurity,"n. worthless or dangerous material that should be removed
n. the condition of being impure"
incoming,"a. arriving at a place or position
a. entering upon a position of office vacated by another"
informal,"a. not formal
s. not officially recognized or controlled
a. used of spoken and written language"
infrastructure,"n. the basic structure or features of a system or organization
n. the stock of basic facilities and capital equipment needed for the functioning of a country or area"
ingenious,s showing inventiveness and skill
inhale,"v. draw deep into the lungs in by breathing
v. draw in (air)"
integral,"n. the result of a mathematical integration; F(x) is the integral of f(x) if dF/dx = f(x)
s. constituting the undiminished entirety; lacking nothing essential especially not damaged
a. of or denoted by an integer"
interlock,"n. a device that prevents an automotive engine from starting
v. coordinate in such a way that all parts work together effectively
v. become engaged or intermeshed with one another"
intimate,"v. give to understand
s. marked by close acquaintance, association, or familiarity
s. involved in a sexual relationship
s. thoroughly acquainted through study or experience"
invisible,a. impossible or nearly impossible to see; imperceptible by the eye
iodine,n. a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
jelly,"n. a preserve made of the jelled juice of fruit
n. any substance having the consistency of jelly or gelatin"
jurassic,"n. from 190 million to 135 million years ago; dinosaurs; conifers
a. of or relating to or denoting the second period of the Mesozoic era"
keen,"n. a funeral lament sung with loud wailing
s. having a sharp cutting edge or point"
kelp,n. large brown seaweeds having fluted leathery fronds
kettle,"n. a metal pot for stewing or boiling; usually has a lid
n. the quantity a kettle will hold
n. a large hemispherical brass or copper percussion instrument with a drumhead that can be tuned by adjusting the tension on it"
lens,"n. a transparent optical device used to converge or diverge transmitted light and to form images
n. genus of small erect or climbing herbs with pinnate leaves and small inconspicuous white flowers and small flattened pods: lentils
n. (metaphor) a channel through which something can be seen or understood
n. biconvex transparent body situated behind the iris in the eye; its role (along with the cornea) is to focuses light on the retina"
liberal,"n. a person who favors a political philosophy of progress and reform and the protection of civil liberties
n. a person who favors an economic theory of laissez-faire and self-regulating markets
s. having political or social views favoring reform and progress
a. tolerant of change; not bound by authoritarianism, orthodoxy, or tradition"
likelihood,n. the probability of a specified outcome
linear,"a. designating or involving an equation whose terms are of the first degree
a. of or in or along or relating to a line; involving a single dimension
s. (of a leaf shape) long and narrow
s. measured lengthwise"
litter,"n. the offspring at one birth of a multiparous mammal
n. rubbish carelessly dropped or left about (especially in public places)
n. conveyance consisting of a chair or bed carried on two poles by bearers
v. strew"
localize,"v. concentrate on a particular place or spot
v. restrict something to a particular area"
locomotive,"n. a wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks
a. of or relating to locomotion"
logic,"n. the branch of philosophy that analyzes inference
n. reasoned and reasonable judgment
n. the principles that guide reasoning within a given field or situation
n. the system of operations performed by a computer that underlies the machine's representation of logical operations"
loosely,"r. in a relaxed manner; not rigid
r. in a loose manner
r. knitted in a loose manner"
loosen,"v. make loose or looser
v. make less dense
v. become loose or looser or less tight"
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
lug,"n. ancient Celtic god
n. a projecting piece that is used to lift or support or turn something
v. carry with difficulty"
marvel,v. express astonishment or surprise about something
metropolis,"n a large and densely populated urban area; may include several independent administrative districts
n people living in a large densely populated municipality"
millimeter,n. a metric unit of length equal to one thousandth of a meter
molecular,"a. relating to or produced by or consisting of molecules
a. relating to simple or elementary organization"
monument,n. an important site that is marked and preserved as public property
monumental,"a. relating or belonging to or serving as a monument
s. of outstanding significance"
moraine,n. accumulated earth and stones deposited by a glacier
mule,"n. hybrid offspring of a male donkey and a female horse; usually sterile
n. a slipper that has no fitting around the heel"
mutually,r. in a mutual or shared manner
mythical,s based on or told of in traditional stories; lacking factual basis or historical validity
nasal,n. an elongated rectangular bone that forms the bridge of the nose
neutral,"n. one who does not side with any party in a war or dispute
s. not supporting or favoring either side in a war, dispute, or contest
a. possessing no distinctive quality or characteristics
s. lacking distinguishing quality or characteristics"
nomad,n. a member of a people who have no permanent home but move about according to the seasons
nonetheless,r despite anything to the contrary (usually following a concession)
nourish,v. provide with nourishment
officially,r. in an official role
onset,n. the beginning or early stages
ordinarily,r under normal conditions
outbreak,n. a sudden violent spontaneous occurrence (usually of some undesirable condition)
outweigh,v. be heavier than
overgraze,none
overirrigation,none
oversee,v. watch and direct
parabolic,"a. resembling or expressed by parables
s. having the form of a parabola"
parental,"a. designating the generation of organisms from which hybrid offspring are produced
a. relating to or characteristic of or befitting a parent"
pastoral,"n. a letter from a pastor to the congregation
n. a literary work idealizing the rural life (especially the life of shepherds)
a. of or relating to a pastor"
patrol,"n. a detachment used for security or reconnaissance
n. the activity of going around or through an area at regular intervals for security purposes
n. a group that goes through a region at regular intervals for the purpose of security
v. maintain the security of by carrying out a patrol"
payroll,"n. a list of employees and their salaries
n. the total amount of money paid in wages
n. the department that determines the amounts of wage or salary due to each employee"
perish,v pass from physical life and lose all bodily attributes and functions necessary to sustain life
persuasive,a. intended or having the power to induce action or belief
phonograph,n machine in which rotating records cause a stylus to vibrate and the vibrations are amplified acoustically or electronically
pillar,"n. a fundamental principle or practice
n. a prominent supporter"
pinpoint,"n. a very brief moment
n. the sharp point of a pin
v. locate exactly"
pipeline,n. a pipe used to transport liquids or gases
plate tectonics,none
plow,"n. a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
v. to break and turn over earth especially with a plow
v. move in a way resembling that of a plow cutting into or going through the soil"
plug,"n. blockage consisting of an object designed to fill a hole tightly
n. an electrical device with two or three pins that is inserted in a socket to make an electrical connection
v. fill or close tightly with or as if with a plug
v. persist in working hard"
polish,"n. the property of being smooth and shiny
n. a highly developed state of perfection; having a flawless or impeccable quality
n. a preparation used in polishing
n. the Slavic language of Poland"
portable,"n. a small light typewriter; usually with a case in which it can be carried
a. easily or conveniently transported
s. of a motor designed to be attached to the outside of a boat's hull"
portraiture,n. the activity of making portraits
postage,"n. the charge for mailing something
n. a small adhesive token stuck on a letter or package to indicate that that postal fees have been paid"
precision,n the quality of being reproducible in amount or performance
predominant,"s most frequent or common
s having superior power and influence"
prerequisite,"n. something that is required in advance
s. required as a prior condition or course of study"
prevalence,"n. the quality of prevailing generally; being widespread
n. (epidemiology) the ratio (for a given time period) of the number of occurrences of a disease or event to the number of units at risk in the population"
prime,"n. a number that has no factor but itself and 1
n. the second canonical hour; about 6 a.m.
n. the time of maturity when power and vigor are greatest
v. insert a primer into (a gun, mine, or charge) preparatory to detonation or firing"
probable,"n. an applicant likely to be chosen
a. likely but not certain to be or become true or real
s. apparently destined"
progression,n. a series with a definite pattern of advance
progressive,"n. a tense of verbs used in describing action that is on-going
a. favoring or promoting progress
s. favoring or promoting reform (often by government action)
a. (of taxes) adjusted so that the rate increases as the amount of income increases"
proponent,n a person who pleads for a cause or propounds an idea
propulsion,"n. a propelling force
n. the act of propelling"
prospective,a. of or concerned with or related to the future
realist,"n. a philosopher who believes that universals are real and exist independently of anyone thinking of them
n. a person who accepts the world as it literally is and deals with it accordingly
n. a painter who represents the world realistically and not in an idealized or romantic style"
reconsider,"v. consider again; give new consideration to; usually with a view to changing
v. consider again (a bill) that had been voted upon before, with a view to altering it"
recount,"n. an additional (usually a second) count; especially of the votes in a close election
v. count again"
recruitment,n. the act of getting recruits; enlisting people for the army (or for a job or a cause etc.)
recur,"v. happen or occur again
v. return in thought or speech to something"
relax,"v. become less tense, rest, or take one's ease
v. make less taut
v. cause to feel relaxed
v. become less tense, less formal, or less restrained, and assume a friendlier manner"
relevance,n. the relation of something to the matter at hand
relict,"n. an organism or species surviving as a remnant of an otherwise extinct flora or fauna in an environment much changed from that in which it originated
n. geological feature that is a remnant of a pre-existing formation after other parts have disappeared"
relieve,"v. provide physical relief, as from pain
v. free from a burden, evil, or distress
v. take by stealing
v. alleviate or remove (pressure or stress) or make less oppressive"
removal,"n. the act of removing
n. dismissal from office"
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
repetitive,a. characterized by repetition
reshape,"v. shape anew or differently
v. shape again or shape differently"
reviewer,n. someone who reads manuscripts and judges their suitability for publication
ridiculous,"s inspiring scornful pity
s incongruous; inviting ridicule
s broadly or extravagantly humorous; resembling farce"
rim,"n. the shape of a raised edge of a more or less circular object
n. (basketball) the hoop from which the net is suspended
n. the outer part of a wheel to which the tire is attached
v. run around the rim of"
ripen,"v. cause to ripen or develop fully
v. grow ripe"
risky,"s involving risk or danger
s not financially safe or secure"
rod,"n. a long thin implement made of metal or wood
n. any rod-shaped bacterium
n. a visual receptor cell that is sensitive to dim light"
rotation,"n. the act of rotating as if on an axis
n. (mathematics) a transformation in which the coordinate axes are rotated by a fixed angle about the origin
n. a single complete turn (axial or orbital)"
rudimentary,s. being in the earliest stages of development
saline,s. containing salt
scrap,"n. a small piece of something that is left over after the rest has been used
v. make into scrap or refuse"
sear,v. make very hot and dry
seedling,n. young plant or tree grown from a seed
seemingly,r from appearances alone
selective,"s. tending to select; characterized by careful choice
s. characterized by very careful or fastidious selection"
shiny,"s reflecting light
a having a shiny surface or coating
s made smooth and bright by or as if by rubbing; reflecting a sheen or glow"
shipbuilder,"n. a person who builds ships as a business
n. a business that builds and repairs ships"
shoreline,n. a boundary line between land and water
silica,n. a white or colorless vitreous insoluble solid (SiO2); various forms occur widely in the earth's crust as quartz or cristobalite or tridymite or lechatelierite
silicate,n. a salt or ester derived from silicic acid
simulate,v. make a pretence of
skip,"n. a gait in which steps and hops alternate
v. bound off one point after another"
slick,"n. a magazine printed on good quality paper
n. a film of oil or garbage floating on top of water
n. a trowel used to make a surface slick
v. make slick or smooth"
sludge,"n. the precipitate produced by sewage treatment
n. any thick, viscous matter"
soda,"n a sodium salt of carbonic acid; used in making soap powders and glass and paper
n a sweet drink containing carbonated water and flavoring"
spark,"n. a small but noticeable trace of some quality that might become stronger
n. Scottish writer of satirical novels (born in 1918)
n. a small fragment of a burning substance thrown out by burning material or by friction
v. emit or produce sparks"
speculate,"v. to believe especially on uncertain or tentative grounds
v. talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason to reach a conclusion
v. invest at a risk"
spinach,"n. southwestern Asian plant widely cultivated for its succulent edible dark green leaves
n. dark green leaves; eaten cooked or raw in salads"
squeeze,"n. the act of gripping and pressing firmly
n. a situation in which increased costs cannot be passed on to the customer
n. (slang) a person's girlfriend or boyfriend
n. a twisting squeeze"
standardize,"v. cause to conform to standard or norm
v. evaluate by comparing with a standard"
static,"n. a crackling or hissing noise caused by electrical interference
n. angry criticism
s. showing little if any change"
subsidy,n. a grant paid by a government to an enterprise that benefits the public
subtropical,a. of or relating to or characteristic of conditions in the subtropics
suburb,n. a residential district located on the outskirts of a city
successional,"a. Of or pertaining to a succession; existing in a
   regular order; consecutive."
sue,n. French writer whose novels described the sordid side of city life (1804-1857)
summit,"n. a meeting of heads of governments
v. reach the summit (of a mountain)"
surpass,v. be or do something to a greater degree
swamp,"n. low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
n. a situation fraught with difficulties and imponderables
v. drench or submerge or be drenched or submerged"
swordfish,"n. flesh of swordfish usually served as steaks
n. large toothless marine food fish with a long swordlike upper jaw; not completely cold-blooded i.e. they are able to warm their brains and eyes: worldwide in warm waters but feed on cold ocean floor coming to surface at night"
tablet,"n. a slab of stone or wood suitable for bearing an inscription
n. a small flat compressed cake of some substance"
tactic,n. a plan for attaining a particular goal
telecommunications,"n (often plural) systems used in transmitting messages over a distance electronically
n (often plural) the branch of electrical engineering concerned with the technology of electronic communication at a distance"
terminal,"n. station where transport vehicles load or unload passengers or goods
n. a contact on an electrical device (such as a battery) at which electric current enters or leaves
n. electronic equipment consisting of a device providing access to a computer; has a keyboard and display
a. of or relating to or situated at the ends of a delivery route"
theorist,n. someone who theorizes (especially in science or art)
trait,n. a distinguishing feature of your personal nature
transit,"v. make a passage or journey from one place to another
v. pass across (a sign or house of the zodiac) or pass across (the disk of a celestial body or the meridian of a place)
v. revolve (the telescope of a surveying transit) about its horizontal transverse axis in order to reverse its direction
v. cause or enable to pass through"
transparent,s. easily understood or seen through (because of a lack of subtlety)
transplantation,"n an operation moving an organ from one organism (the donor) to another (the recipient)
n the act of removing something from one location and introducing it in another location"
triumph,n. the exultation of victory
turbulence,"n. unstable flow of a liquid or gas
n. instability in the atmosphere
n. a state of violent disturbance and disorder (as in politics or social conditions generally)"
undesirable,"n. one whose presence is undesirable
a. not wanted
s. not worthy of being chosen (especially as a spouse)"
uniformly,r. in a uniform manner
unify,v. become one
unprecedented,a. having no precedent; novel
urchin,n. poor and often mischievous city child
usable,"s capable of being put to use
s fit or ready for use or service
s convenient for use or disposal"
vacation,"n. leisure time away from work devoted to rest or pleasure
n. the act of making something legally void
v. spend or take a vacation"
vacuum,"n. the absence of matter
n. a region that is devoid of matter
n. an electrical home appliance that cleans by suction
v. clean with a vacuum cleaner"
viable,s. capable of life or normal growth and development
void,"n. an empty area or space
v. clear (a room, house, place) of occupants or empty or clear (a place or receptacle) of something
s. containing nothing"
voluntary,"n. composition (often improvised) for a solo instrument (especially solo organ) and not a regular part of a religious service or musical performance
a. of your own free will or design; done by choice; not forced or compelled
a. controlled by individual volition"
watercraft,n. skill in the management of boats
waterway,n. a navigable body of water
weed,"n. any plant that crowds out cultivated plants
n. a black band worn by a man (on the arm or hat) as a sign of mourning
v. clear of weeds"
welfare,"n governmental provision of economic assistance to persons in need
n something that aids or promotes well-being
n a contented state of being happy and healthy and prosperous"
widen,"v. become broader or wider or more extensive
v. make wider
v. extend in scope or range or area"
windmill,"n. a mill that is powered by the wind
n. generator that extracts usable energy from winds"
wipe,v. rub with a circular motion
wireless,"n. transmission by radio waves
a. having no wires"
wooded,a. covered with growing trees and bushes etc
worthwhile,s. sufficiently valuable to justify the investment of time or interest
aboard,"r. on a ship, train, plane or other vehicle
r. on first or second or third base
r. side by side
r. part of a group"
aborigine,n. a dark-skinned member of a race of people living in Australia when Europeans arrived
abound,"v. be abundant or plentiful; exist in large quantities
v. be in a state of movement or action"
adept,s. having or showing knowledge and skill and aptitude
aerodynamic,a. of or relating to aerodynamics
aestivation,"n (zoology) cessation or slowing of activity during the summer; especially slowing of metabolism in some animals during a hot or dry period
n (botany) the arrangement of sepals and petals in a flower bud before it opens"
affordable,s that you have the financial means for
afield,"r. far away from home or one's usual surroundings
r. in or into a field (especially a field of battle)
r. off the subject; beyond the point at issue"
agrarian,s. relating to rural matters
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
alike,"a. having the same or similar characteristics
r. equally
r. in a like manner"
alive,"a. possessing life
s. (often followed by `with') full of life and spirit
s. (followed by `to' or `of') aware of
s. capable of erupting"
allergy,n. hypersensitivity reaction to a particular allergen; symptoms can vary greatly in intensity
ally,"n. a friendly nation
n. an associate who provides cooperation or assistance
v. become an ally or associate, as by a treaty or marriage"
alongside,r side by side
ambitious,"a. having a strong desire for success or achievement
s. requiring full use of your abilities or resources"
amusement,n. a feeling of delight at being entertained
analogous,"s. similar or equivalent in some respects though otherwise dissimilar
a. corresponding in function but not in evolutionary origin"
animate,"v. give new life or energy to
a. belonging to the class of nouns that denote living beings
a. endowed with animal life as distinguished from plant life"
anomaly,"n. deviation from the normal or common order or form or rule
n. a person who is unusual
n. (astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun)"
antifreeze,n. a liquid added to the water in a cooling system to lower its freezing point
antiquity,"n. the historic period preceding the Middle Ages in Europe
n. an artifact surviving from the past"
antler,n. deciduous horn of a member of the deer family
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
aristocratic,s. belonging to or characteristic of the nobility or aristocracy
arsenic,"n. a white powdered poisonous trioxide of arsenic; used in manufacturing glass and as a pesticide (rat poison) and weed killer
n. a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar"
assert,"v. state categorically
v. insist on having one's opinions and rights recognized"
attachment,"n. a feeling of affection for a person or an institution
n. a supplementary part or accessory
n. a writ authorizing the seizure of property that may be needed for the payment of a judgment in a judicial proceeding"
authenticity,n. undisputed credibility
backward,"a. directed or facing toward the back or rear
a. (used of temperament or behavior) marked by a retiring nature
s. retarded in intellectual development
s. having made less than normal progress"
bellow,"n. a very loud utterance (like the sound of an animal)
n. United States author (born in Canada) whose novels influenced American literature after World War II (1915-2005)
v. make a loud noise, as of animal"
bellows,n. a mechanical device that blows a strong current of air; used to make a fire burn more fiercely or to sound a musical instrument
billboard,n. large outdoor signboard
biography,n. an account of the series of events making up a person's life
blowhole,n. the spiracle of a cetacean located far back on the skull
bluefin,"n. flesh of very large tuna
n. largest tuna; to 1500 pounds; of mostly temperate seas: feed in polar regions but breed in tropics"
boredom,n. the feeling of being bored by something tedious
boulder,"n. a large smooth mass of rock detached from its place of origin
n. a town in north central Colorado; Rocky Mountains resort center and university town"
broadside,"n. all of the armament that is fired from one side of a warship
n. the whole side of a vessel from stem to stern
n. the simultaneous firing of all the armament on one side of a warship"
bulge,"n. something that bulges out or is protuberant or projects from its surroundings
v. swell or protrude outwards
v. bulge out; form a bulge outward, or be so full as to appear to bulge
v. cause to bulge or swell outwards"
bushel,"n. a United States dry measure equal to 4 pecks or 2152.42 cubic inches
n. a British imperial capacity measure (liquid or dry) equal to 4 pecks"
cape,"n. a strip of land projecting into a body of water
n. a sleeveless garment like a cloak but shorter"
carrier,"n. someone whose employment involves carrying something
n. a self-propelled wheeled vehicle designed specifically to carry something
n. an inactive substance that is a vehicle for a radioactive tracer of the same substance and that assists in its recovery after some chemical reaction
n. a person or firm in the business of transporting people or goods or messages"
certainty,"n. the state of being certain
n. something that is certain"
check,"n. a written order directing a bank to pay money
n. the bill in a restaurant
n. the act of inspecting or verifying
n. a mark left after a small piece has been chopped or broken off of something"
chloride,"n. any compound containing a chlorine atom
n. any salt of hydrochloric acid (containing the chloride ion)"
chunk,n. a substantial amount
cluster,v. come together as in a cluster or flock
