similar,"a. marked by correspondence or resemblance
s. (of words) expressing closely related meanings"
remote,"n a device that can be used to control a machine or apparatus from a distance
s located far away spatially
s very unlikely
s separate or apart in time
s inaccessible and sparsely populated; 
a far apart in relevance or relationship or kinship"
initial,"n. the first letter of a word (especially a person's name)
v. mark with one's initials
s. occurring at the beginning"
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
culture,"n. a particular society at a particular time and place
n. the tastes in art and manners that are favored by a social group
n. (biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar)
n. the attitudes and behavior that are characteristic of a particular social group or organization"
apply,"v. be pertinent or relevant or applicable
v. ask (for something)
v. refer (a word or name) to a person or thing
v. apply oneself to"
applicant,n. a person who requests or seeks something such as assistance or employment or admission
application,"n. the act of bringing something to bear; using it for a particular purpose
n. a verbal or written request for assistance or employment or admission to a school
n. the work of applying something; 
n. a program that gives a computer instructions that provide the user with tools to accomplish a task"
candidate,n. someone who is considered for something (for an office or prize or honor etc.)
elect,"v. select by a vote for an office or membership
v. choose
s. selected as the best
s. elected but not yet installed in office"
vote,"n. a choice that is made by counting the number of people in favor of each alternative
n. the opinion of a group as determined by voting
n. a body of voters who have the same interests
n. the total number of voters who participated"
compare,"v. examine and note the similarities or differences of
v. be comparable
v. consider or describe as similar, equal, or analogous
v. to form the comparative or superlative form on an adjective or adverb"
barrier,"n. a structure or object that impedes free movement
n. any condition that makes it difficult to make progress or to achieve an objective
n. anything serving to maintain separation by obstructing vision or access"
commercial,"n. a commercially sponsored ad on radio or television
a. connected with or engaged in or sponsored by or used in commerce or commercial enterprises
a. of or relating to commercialism
s. of the kind or quality used in commerce; average or inferior"
