abatement,n. the act of abating
sibyl,"n. a woman who tells fortunes
n. (ancient Rome) a woman who was regarded as an oracle or prophet"
sideline,"n. a line that marks the side boundary of a playing field
n. an auxiliary line of merchandise
v. remove from the center of activity or attention; place into an inferior position"
sideshow,"n. a subordinate incident of little importance relative to the main event
n. a minor show that is part of a larger one (as at the circus)"
sidestep,n. a step to one side (as in boxing or dancing)
siege,n. the action of an armed force that surrounds a fortified place and isolates it while continuing to attack
sift,"v. move as if through a sieve
v. separate by passing through a sieve or other straining device to separate out coarser elements"
signature,"n. your name written in your own handwriting
n. a melody used to identify a performer or a dance band or radio/tv program
n. a sheet with several pages printed on it; it folds to page size and is bound with other signatures to form a book"
signify,"v. convey or express a meaning
v. make known with a word or signal"
simile,n. a figure of speech that expresses a resemblance between things of different kinds (usually formed with `like' or `as')
simmer,"n. temperature just below the boiling point
v. boil slowly at low temperature"
simonize,v. polish with wax
simper,n. a silly self-conscious smile
simulate,v. make a pretence of
simultaneous,s occurring or operating at the same time
singe,v. burn superficially or lightly
sip,"n. a small drink
v. drink in sips"
skim,"n. a thin layer covering the surface of a liquid
n. reading or glancing through quickly
v. cause to skip over a surface
v. coat (a liquid) with a layer"
skirmish,v. engage in a skirmish
skirt,"n. cloth covering that forms the part of a garment below the waist
n. a garment hanging from the waist; worn mainly by girls and women
v. pass around or about; move along the border
v. form the edge of"
skit,n. a short theatrical episode
skittish,s. unpredictably excitable (especially of horses)
skullduggery,n verbal misrepresentation intended to take advantage of you in some way
skyrocket,n. sends a firework display high into the sky
slack,"n. dust consisting of a mixture of small coal fragments and coal dust and dirt that sifts out when coal is passed over a sieve
n. a stretch of water without current or movement
n. the quality of being loose (not taut)
n. a cord or rope or cable that is hanging loosely"
slake,v. make less active or intense
slander,n. words falsely spoken that damage the reputation of another
slant,"n. a biased way of looking at or presenting something
v. lie obliquely
v. present with a bias"
slattern,n. a dirty untidy woman
slay,v kill intentionally and with premeditation
sleight,n adroitness in using the hands
slew,"n (often followed by `of') a large number or amount or extent
v turn sharply; change direction abruptly
v move obliquely or sideways, usually in an uncontrolled manner
v kill intentionally and with premeditation"
slice,"n. a share of something
n. a golf shot that curves to the right for a right-handed golfer
n. a thin flat piece cut off of some object
n. a spatula for spreading paint or ink"
slick,"n. a magazine printed on good quality paper
n. a film of oil or garbage floating on top of water
n. a trowel used to make a surface slick
v. make slick or smooth"
slight,"v. pay no attention to, disrespect"
slink,v. walk stealthily
slippage,"n. a decrease of transmitted power in a mechanical system caused by slipping
n. decline from a standard level of performance or achievement
n. failing to hold or slipping out of place"
slippery,"a. causing or tending to cause things to slip or slide
s. not to be trusted"
slit,"n. a long narrow opening
n. a narrow fissure
v. make a clean cut through
v. cut a slit into"
sliver,"v. divide into slivers or splinters
v. form into slivers"
slobber,"n saliva spilling from the mouth
v let saliva drivel from the mouth"
slog,"v. walk heavily and firmly, as when weary, or through mud"
sloppy,"s. lacking neatness or order
s. wet or smeared with a spilled liquid or moist material"
slosh,v. spill or splash copiously or clumsily
slot,"n. a position in a grammatical linguistic construction in which a variety of alternative units are interchangeable
n. a small slit (as for inserting a coin or depositing mail)
n. a position in a hierarchy or organization
n. the trail of an animal (especially a deer)"
slouch,"n. an incompetent person; usually used in negative constructions
n. a stooping carriage in standing and walking
v. walk slovenly"
sloven,n a coarse obnoxious person
slue,"v turn sharply; change direction abruptly
v move obliquely or sideways, usually in an uncontrolled manner"
slug,"n. a unit of mass equal to the mass that accelerates at 1 foot/sec/sec when acted upon by a force of 1 pound; approximately 14.5939 kilograms
n. a counterfeit coin
n. an amount of an alcoholic drink (usually liquor) that is poured or gulped
n. any of various terrestrial gastropods having an elongated slimy body and no external shell"
slumber,n. a dormant or quiescent state
slump,"n. a noticeable deterioration in performance or quality
v. assume a drooping posture or carriage
v. fall or sink heavily
v. fall heavily or suddenly; decline markedly"
slur,"n. (music) a curved line spanning notes that are to be played legato
v. play smoothly or legato
v. speak disparagingly of; e.g., make a racial slur
v. utter indistinctly"
slurp,v. eat noisily
sly,s marked by skill in deception
smarmy,s unpleasantly and excessively suave or ingratiating in manner or speech
