puma,n large American feline resembling a lion
cosmetic,"n. a toiletry designed to beautify the body
s. serving an esthetic rather than a useful purpose
s. serving an aesthetic purpose in beautifying the body"
outrageous,"s grossly offensive to decency or morality; causing horror
s greatly exceeding bounds of reason or moderation"
fanciful,"s. indulging in or influenced by fancy
s. not based on fact; unreal
s. having a curiously intricate quality"
insoluble,"a. (of a substance) incapable of being dissolved
a. admitting of no solution or explanation
s. without hope of solution"
prompt,"n. a cue given to a performer (usually the beginning of the next line to be spoken)
n. (computer science) a symbol that appears on the computer screen to indicate that the computer is ready to receive a command
v. serve as the inciting cause of
v. assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned"
exclusive,"n. a news report that is reported first by one news organization
s. not divided or shared with others
a. excluding much or all; especially all but a particular group or minority"
syllable,n. a unit of spoken language larger than a phoneme
bewilderment,n. confusion resulting from failure to understand
freckle,"n. a small brownish spot (of the pigment melanin) on the skin
v. become freckled
v. mark with freckles"
evidently,r unmistakably (`plain' is often used informally for `plainly')
weird,"s. strikingly odd or unusual; some weird effect of shadow""- Bram Stoker"
concoction,"n. any foodstuff made by combining different ingredients
n. an occurrence of an unusual mixture
n. the invention of a scheme or story to suit some purpose"
intoxicate,"v. make drunk (with alcoholic drinks)
v. have an intoxicating effect on, of a drug"
blank,"n. a piece of material ready to be made into something
n. a cartridge containing an explosive charge but no bullet
v. keep the opposing (baseball) team from winning
s. (of a surface) not written or printed on"
discreetly,r. with discretion; prudently and with wise self-restraint
clutch,"n. a tense critical situation
n. a number of birds hatched at the same time
n. a pedal or lever that engages or disengages a rotating shaft and a driving mechanism
n. a coupling that connects or disconnects driving and driven parts of a driving mechanism"
adorn,"v make more attractive by adding ornament, colour, etc.
v be beautiful to look at
v furnish with power or authority; of kings or emperors"
evolve,"v. work out
v. undergo development or evolution"
high-handed,s given to haughty disregard of others
incompetent,"n. someone who is not competent to take effective action
a. legally not qualified or sufficient
a. not qualified or suited for a purpose
s. not doing a good job"
over-zealously,none
safeguard,"v. make safe
v. escort safely"
parliamentary,"a. relating to or having the nature of a parliament
s. having the supreme legislative power resting with a body of cabinet ministers chosen from and responsible to the legislature or parliament
s. in accord with rules and customs of a legislative or deliberative assembly"
qualified,"a. meeting the proper standards and requirements and training for an office or position or task
a. limited or restricted; not absolute"
grievance,"n. an allegation that something imposes an illegal obligation or denies some legal right or causes injustice
n. a complaint about a (real or imaginary) wrong that causes resentment and is grounds for action"
Justiteombudsman,none
ombudsman,n. a government appointee who investigates complaints by private persons against the government
secretive,s inclined to secrecy or reticence about divulging information
correspondence,n. communication by the exchange of letters
alter,"v. make an alteration to
v. remove the ovaries of"
accusation,"n. a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt
n. an assertion that someone is guilty of a fault or offence"
ascertain,v. learn or discover with certainty
prejudiced,"s. emanating from a person's emotions and prejudices
a. being biased or having a belief or attitude formed beforehand"
prompt,"n. a cue given to a performer (usually the beginning of the next line to be spoken)
n. (computer science) a symbol that appears on the computer screen to indicate that the computer is ready to receive a command
v. serve as the inciting cause of
v. assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned"
insect,n. small air-breathing arthropod
wage,n. something that remunerates
contaminate,v. make radioactive by adding radioactive material
provocation,n. needed encouragement
spider,"n. predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey
n. a computer program that prowls the internet looking for publicly accessible resources that can be added to a database; the database can then be searched with a search engine
n. a skillet made of cast iron"
wasp,"n. a white person of Anglo-Saxon ancestry who belongs to a Protestant denomination
n. social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting"
moth,n. typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae
ant,n. social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
revulsion,n intense aversion
horde,"n. a vast multitude
n. a nomadic community"
uncanny,"s suggesting the operation of supernatural influences
s surpassing the ordinary or normal"
erase,"v. remove from memory or existence
v. remove by or as if by rubbing or erasing
v. wipe out digitally or magnetically recorded information"
praying mantis,none
entranced,"v attract; cause to be enamored
v put into a trance
s filled with wonder and delight"
beetle,"n. insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings
v. fly or go in a manner resembling a beetle
v. beat with a beetle
s. jutting or overhanging"
sheltered,s. protected from danger or bad weather
luscious,"s having strong sexual appeal
s extremely pleasing to the sense of taste"
cluster,v. come together as in a cluster or flock
aphid,n. any of various small plant-sucking insects
underside,n the lower side of anything
colony,"n. a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government
n. a group of organisms of the same type living or growing together
n. one of the 13 British colonies that formed the original states of the United States
n. a place where a group of people with the same interest or occupation are concentrated"
sticky,"s. moist as with undried perspiration and with clothing sticking to the body
s. covered with an adhesive material"
scurry,v. to move about or proceed hurriedly
swarm,n. a group of many things in the air or on the ground
ingenuity,n. the property of being ingenious
astronomy,n. the branch of physics that studies celestial bodies and the universe as a whole
relative,"n. a person related by blood or marriage
n. an animal or plant that bears a relationship to another (as related by common descent or by membership in the same genus)
a. estimated by comparison; not absolute or complete"
infinitely,r. continuing forever without end
solar,a. relating to or derived from the sun or utilizing the energies of the sun
Venus,"n. the second nearest planet to the sun; it is peculiar in that its rotation is slow and retrograde (in the opposite sense of the Earth and all other planets except Uranus); it is visible from Earth as an early `morning star' or an `evening star'
n. goddess of love; counterpart of Greek Aphrodite
n. type genus of the family Veneridae: genus of edible clams with thick oval shells"
Mars,"n. a small reddish planet that is the 4th from the sun and is periodically visible to the naked eye; minerals rich in iron cover its surface and are responsible for its characteristic color
n. (Roman mythology) Roman god of war and agriculture; father of Romulus and Remus; counterpart of Greek Ares"
orbit,"n. the (usually elliptical) path described by one celestial body in its revolution about another
n. the path of an electron around the nucleus of an atom"
astronomical,"a relating or belonging to the science of astronomy
s inconceivably large"
generate,"v. bring into existence
v. produce (energy)"
particle,"n. a body having finite mass and internal structure but negligible dimensions
n. a function word that can be used in English to form phrasal verbs"
Jupiter,"n. the largest planet and the 5th from the sun; has many satellites and is one of the brightest objects in the night sky
n. (Roman mythology) supreme god of Romans; counterpart of Greek Zeus"
blot,"n. an act that brings discredit to the person who does it
v. dry (ink) with blotting paper"
analyse,"v consider in detail and subject to an analysis in order to discover essential features or meaning
v break down into components or essential features
v make a mathematical, chemical, or grammatical analysis of; break down into components or essential features
v subject to psychoanalytic treatment"
bacteria,n. (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
oxygen,n. a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust
realm,"n a domain in which something is dominant
n the domain ruled by a king or queen
n a knowledge domain that you are interested in or are communicating about"
endeavour,"n a purposeful or industrious undertaking (especially one that requires effort or boldness)
n earnest and conscientious activity intended to do or accomplish something
v attempt by employing effort"
boundary,"n. the line or plane indicating the limit or extent of something
n. a line determining the limits of an area"
pump,"n. a mechanical device that moves fluid or gas by pressure or suction
n. a low-cut shoe without fastenings
v. operate like a pump; move up and down, like a handle or a pedal
v. deliver forth"
overtake,v. catch up with and possibly overtake
backwater,"n. a body of water that was created by a flood or tide or by being held or forced back by a dam
n. a place or condition in which no development or progress is occurring"
predecessor,n. one who precedes you in time (as in holding a position or office)
meadow,n a field where grass or alfalfa are grown to be made into hay
crown,"n. the Crown (or the reigning monarch) as the symbol of the power and authority of a monarchy
n. the part of a tooth above the gum that is covered with enamel
n. a wreath or garland worn on the head to signify victory
n. an ornamental jeweled headdress signifying sovereignty"
holly,"n. any tree or shrub of the genus Ilex having red berries and shiny evergreen leaves with prickly edges
n. United States rock star (1936-1959)"
wreath,n. flower arrangement consisting of a circular band of foliage or flowers for ornamental purposes
occurrence,n. an instance of something occurring
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
site,"n. the piece of land on which something is located (or is to be located)
n. physical position in relation to the surroundings"
spell,"n. a verbal formula believed to have magical force
v. orally recite the letters of or give the spelling of
v. indicate or signify
v. write or name the letters that comprise the conventionally accepted form of (a word or part of a word)"
stall,"n. a compartment in a stable where a single animal is confined and fed
n. a booth where articles are displayed for sale
n. a malfunction in the flight of an aircraft in which there is a sudden loss of lift that results in a downward plunge
n. seating in the forward part of the main level of a theater"
attic,"n. the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia
n. informal terms for a human head
n. (architecture) a low wall at the top of the entablature; hides the roof
a. of or relating to Attica or its inhabitants or to the dialect spoken in Athens in classical times"
sweeping,"n. the act of cleaning with a broom
s. taking in or moving over (or as if over) a wide area; often used in combination
s. ignoring distinctions"
critical,"a. marked by a tendency to find and call attention to errors and flaws
a. at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction
a. characterized by careful evaluation and judgment
s. urgently needed; absolutely necessary"
juncture,"n. an event that occurs at a critical time
n. a crisis situation or point in time when a critical decision must be made"
raft,"n. a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers
v. transport on a raft
v. travel by raft in water
v. make into a raft"
unduly,r. to an undue degree
foundations,"n the basis on which something is grounded
n an institution supported by an endowment
n lowest support of a structure
n education or instruction in the fundamentals of a field of knowledge
n the fundamental assumptions from which something is begun or developed or calculated or explained
n a woman's undergarment worn to give shape to the contours of the body
n the act of starting something for the first time; introducing something new"
stoutly,r. in a resolute manner
submerge,"v. sink below the surface; go under or as if under water
v. cover completely or make imperceptible
v. put under water"
grapple,"v. to grip or seize, as in a wrestling match"
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
emigrate,v. leave one's country of residence for a new one
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
embedded,"s. enclosed firmly in a surrounding mass
s. inserted as an integral part of a surrounding whole"
mortally,"r. in such a manner that death ensues (also in reference to hatred, jealousy, fear, etc.)"
comprehensive,"a. including all or everything
s. broad in scope"
milestone,"n. stone post at side of a road to show distances
n. a significant event in your life (or in a project)"
territory,"n. an area of knowledge or interest
n. the geographical area under the jurisdiction of a sovereign state"
milometer,n a meter that shows mileage traversed
spire,n a tall tower that forms the superstructure of a building (usually a church or temple) and that tapers to a point at the top
retrace,"v to go back over again
v reassemble mentally"
stumble,"v. walk unsteadily
v. miss a step and fall or nearly fall
v. encounter by chance
v. make an error"
horizon,"n. the line at which the sky and Earth appear to meet
n. the range of interest or activity that can be anticipated
n. a specific layer or stratum of soil or subsoil in a vertical cross section of land
n. the great circle on the celestial sphere whose plane passes through the sensible horizon and the center of the Earth"
reservoir,"n. a large or extra supply of something
n. lake used to store water for community use
n. tank used for collecting and storing a liquid (as water or oil)
n. anything (a person or animal or plant or substance) in which an infectious agent normally lives and multiplies"
lift,"n. the act of giving temporary assistance
n. a wave that lifts the surface of the water or ground
n. a device worn in a shoe or boot to make the wearer look taller or to correct a shortened leg
n. one of the layers forming the heel of a shoe or boot"
monstrous,s. abnormally large
negligence,"n. failure to act with the prudence that a reasonable person would exercise under the same circumstances
n. the trait of neglecting responsibilities and lacking concern"
prudent,a. careful and sensible; marked by sound judgment
composure,n. steadiness of mind under stress
intruder,n. someone who intrudes on the privacy or property of another without permission
lurk,"v. lie in wait, lie in ambush, behave in a sneaky and secretive manner"
hinder,"v be a hindrance or obstacle to
v hinder or prevent the progress or accomplishment of
v put at a disadvantage
s located at or near the back of an animal
s located at or near the back of an animal"
fingerprint,"n. a print made by an impression of the ridges in the skin of a finger; often used for biometric identification in criminal investigations
n. a generic term for any identifying characteristic
v. take an impression of a person's fingerprints"
chaos,"n. a state of extreme confusion and disorder
n. the formless and disordered state of matter before the creation of the cosmos
n. (Greek mythology) the most ancient of gods; the personification of the infinity of space preceding creation of the universe
n. (physics) a dynamical system that is extremely sensitive to its initial conditions"
inconceivable,s totally unlikely
veritable,"s often used as intensifiers
s not counterfeit or copied"
magpie,"n. long-tailed black-and-white crow that utters a raucous chattering call
n. someone who collects things that have been discarded by others"
toss,"n. an abrupt movement
v. agitate"
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
constable,"n. a lawman with less authority and jurisdiction than a sheriff
n. English landscape painter (1776-1837)
n. a police officer of the lowest rank"
ransack,"v steal goods; take as spoils
v search thoroughly"
balcony,"n. an upper floor projecting from the rear over the main floor in an auditorium
n. a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet"
fussy,"s annoyed and irritable
s overcrowded or cluttered with detail
s exacting especially about details"
amass,"v collect or gather
v get or gather together"
indiscriminate,"s. failing to make or recognize distinctions
a. not marked by fine distinctions"
clutter,"n. a confused multitude of things
n. unwanted echoes that interfere with the observation of signals on a radar screen
v. fill a space in a disorderly way"
string,"n. a lightweight cord
n. a tightly stretched cord of wire or gut, which makes sound when plucked, struck, or bowed
n. a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding
n. a linear sequence of symbols (characters or words or phrases)"
requisite,"n anything indispensable
s necessary for relief or supply"
mania,"n. an irrational but irresistible motive for a belief or action
n. a mood disorder; an affective disorder in which the victim tends to respond excessively and sometimes violently"
sketch,"n. preliminary drawing for later elaboration
n. a brief literary description
n. short descriptive summary (of events)
v. make a sketch of"
remote,"n a device that can be used to control a machine or apparatus from a distance
s located far away spatially
s very unlikely
s separate or apart in time
s inaccessible and sparsely populated; 
a far apart in relevance or relationship or kinship"
strong-minded,"s. having a determined will
s. marked by vigorous independence of thought and judgment"
relaxation,"n. (physiology) the gradual lengthening of inactive muscle or muscle fibers
n. (physics) the exponential return of a system to equilibrium after a disturbance
n. an occurrence of control or strength weakening"
verify,"v. confirm the truth of
v. attach or append a legal verification to (a pleading or petition)"
bearing,"n. relevant relation or interconnection
n. the direction or path along which something moves or along which it lies
n. dignified manner or conduct
n. a rotating support placed between moving parts to allow them to move easily"
like-minded,s. of the same turn of mind
specimen,"n. an example regarded as typical of its class
n. a bit of tissue or blood or urine that is taken for diagnostic purposes"
constructively,r. in a constructive manner
contented,a. satisfied or showing satisfaction with things as they are
boredom,n. the feeling of being bored by something tedious
punctuality,n. the quality or habit of adhering to an appointed time
rural,"a. living in or characteristic of farming or country life
a. of or relating to the countryside as opposed to the city"
disregard,"n. lack of attention and due care
n. willful lack of care and attention"
intellectual,"n. a person who uses the mind creatively
s. of or associated with or requiring the use of the mind
a. appealing to or using the intellect"
abstruse,s. difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge
coordinate,"n. a number that identifies a position relative to an axis
v. bring into common action, movement, or condition
v. be co-ordinated
s. of equal importance, rank, or degree"
reproach,"n. a mild rebuke or criticism
n. disgrace or shame
v. express criticism towards"
puncture,"n. loss of air pressure in a tire when a hole is made by some sharp object
n. a small hole made by a sharp object
n. the act of puncturing or perforating
v. pierce with a pointed object; make a hole into"
diversion,"n. an activity that diverts or amuses or stimulates
n. a turning aside (of your course or attention or concern)
n. an attack calculated to draw enemy defense away from the point of the principal attack"
trial,"n. trying something to find out about it
n. (law) the determination of a person's innocence or guilt by due process of law
n. (sports) a preliminary competition to determine qualifications
n. an annoying or frustrating or catastrophic event"
fraction,"n. a component of a mixture that has been separated by a fractional process
n. a small part or item forming a piece of a whole
n. the quotient of two rational numbers"
flourish,"n. a showy gesture
n. an ornamental embellishment in writing
n. a display of ornamental speech or language
n. the act of waving"
microscopic,"a. of or relating to or used in microscopy
s. visible under a microscope; using a microscope
s. extremely precise with great attention to details
s. so small as to be invisible without a microscope"
adamant,"s. impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
