abolish,v. do away with
doctrine,n. a belief (or system of beliefs) accepted as authoritative by some group or school
dome,"n. a concave shape whose distinguishing characteristic is that the concavity faces downward
n. a stadium that has a roof
n. a hemispherical roof"
domical,"a. Relating to, or shaped like, a dome."
domestic,"n. a servant who is paid to perform menial tasks around the household
a. of concern to or concerning the internal affairs of a nation
a. of or relating to the home
a. of or involving the home or family"
donate,v. give to a charity or good cause
donation,"n a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n act of giving in common with others for a common purpose especially to a charity"
doubtless,r without doubt; certainly
duplicate,"n. a copy that corresponds to an original exactly
v. make or do or perform again
v. make a duplicate or duplicates of
s. identically copied from an original"
duplication,n. the act of copying or making a duplicate (or duplicates) of something
dual,s. a grammatical number category referring to two items or units as opposed to one item (singular) or more than two items (plural)
dub,"n. the new sounds added by dubbing
v. give a nickname to
v. provide (movies) with a soundtrack of a foreign language"
dubious,s. not convinced
orthodox,"a. of or pertaining to or characteristic of Judaism
a. adhering to what is commonly accepted
a. of or relating to or characteristic of the Eastern Orthodox Church"
paradox,n. (logic) a statement that contradicts itself
drastic,s. forceful and extreme and rigorous
syndrome,"n. a complex of concurrent things
n. a pattern of symptoms indicative of some disease"
by-product,"n. a secondary and sometimes unexpected consequence
n. a product made during the manufacture of something else"
productive,"a. producing or capable of producing (especially abundantly)
s. yielding positive results"
productivity,n. (economics) the ratio of the quantity and quality of units produced to the labor per unit of time
reproduction,"n. the process of generating offspring
n. recall that is hypothesized to work by storing the original stimulus input and reproducing it during recall
n. the act of making copies
n. the sexual activity of conceiving and bearing offspring"
conduct,"v. direct the course of; manage or control
v. lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years""
v. lead musicians in the performance of"
deduce,"v. reason by deduction; establish by deduction
v. conclude by reasoning; in logic"
deductive,"a. relating to logical deduction
a. involving inferences from general principles"
deduct,"v make a subtraction
v retain and refrain from disbursing; of payments
v reason by deduction; establish by deduction"
deduction,"n. an amount or percentage deducted
n. something that is inferred (deduced or entailed or implied)
n. reasoning from the general to the particular (or from cause to effect)"
induce,"v. cause to arise
v. cause to do; cause to act in a specified manner
v. cause to occur rapidly
v. reason or establish by induction"
inducement,n. act of bringing about a desired result
induction,"n. an electrical phenomenon whereby an electromotive force (EMF) is generated in a closed circuit by a change in the flow of current
n. the act of bringing about something (especially at an early time)"
subdue,"v put down by force or intimidation
v to put down by force or authority
v hold within limits and control
v get on top of; deal with successfully
v make subordinate, dependent, or subservient
v correct by punishment or discipline"
subduable,s susceptible to being subjugated
