accomplishment,n. the action of accomplishing something
sympathy,"n. an inclination to support or be loyal to or to agree with an opinion
n. sharing the feelings of others (especially feelings of sorrow or anguish)
n. a relation of affinity or harmony between people; whatever affects one correspondingly affects the other"
symphony,n. a long and complex sonata for symphony orchestra
temperate,"a. (of weather or climate) free from extremes; mild; or characteristic of such weather or climate
a. not extreme in behavior"
terrific,"s. very great or intense
s. causing extreme terror"
torrent,n. a violently fast stream of water (or other liquid)
vital,"s. performing an essential function in the living body
s. manifesting or characteristic of life"
adaptable,a. capable of adapting (of becoming or being made suitable) to a particular situation or use
alter,"v. make an alteration to
v. remove the ovaries of"
amass,"v collect or gather
v get or gather together"
anthropologist,n. a social scientist who specializes in anthropology
artesian,a. (of water) rising to the surface under internal hydrostatic pressure
attempt,n. earnest and conscientious activity intended to do or accomplish something
barely,r. only a very short time before
boom,"n. a deep prolonged loud noise
n. a state of economic prosperity
n. a sudden happening that brings good fortune (as a sudden opportunity to make money)
n. a pole carrying an overhead microphone projected over a film or tv set"
bureau,"n an administrative unit of government
n furniture with drawers for keeping clothes"
calculus,"n. a hard lump produced by the concretion of mineral salts; found in hollow organs or ducts of the body
n. the branch of mathematics that is concerned with limits and with the differentiation and integration of functions"
cognition,n. the psychological result of perception and learning and reasoning
combine,"n. harvester that heads and threshes and cleans grain while moving across the field
v. add together from different sources
v. join for a common purpose or in a common action"
concentric,a. having a common center
copier,"n apparatus that makes copies of typed, written or drawn material"
cowhand,n a hired hand who tends cattle and performs other duties on horseback
crush,"n. a dense crowd of people
n. the act of crushing
v. break into small pieces
v. humiliate or depress completely"
dated,s. marked by features of the immediate and usually discounted past
debatable,"s. open to doubt or debate
s. capable of being disproved"
decimal,"n. a number in the decimal system
s. numbered or proceeding by tens; based on ten"
delta,"n. a low triangular area of alluvial deposits where a river divides before entering a larger body of water
n. an object shaped like an equilateral triangle
n. the 4th letter of the Greek alphabet"
demolish,"v. destroy completely
v. defeat soundly"
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
diet,"n. a prescribed selection of foods
n. a legislative assembly in certain countries (e.g., Japan)
n. the usual food and drink consumed by an organism (person or animal)
n. the act of restricting your food intake (or your intake of particular foods)"
digestive,"n. any substance that promotes digestion
a. relating to or having the power to cause or promote digestion"
disgust,"n. strong feelings of dislike
v. fill with distaste
v. cause aversion in; offend the moral sense of"
displacement,"n. (chemistry) a reaction in which an elementary substance displaces and sets free a constituent element from a compound
n. (psychiatry) a defense mechanism that transfers affect or reaction from the original object to some more acceptable one
n. to move something from its natural environment"
educated,"a. possessing an education (especially having more than average knowledge)
s. characterized by full comprehension of the problem involved"
emission,"n. the act of emitting; causing to flow forth
n. the release of electrons from parent atoms
n. the occurrence of a flow of water (as from a pipe)"
enzyme,n. any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions
erode,"v. become ground down or deteriorate
v. remove soil or rock"
exotic,s. strikingly strange or unusual
extinction,"n. no longer active; extinguished
n. no longer in existence
n. the reduction of the intensity of radiation as a consequence of absorption and radiation"
fabric,n. artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
fashion,"n. characteristic or habitual practice
n. the latest and most admired style in clothes and cosmetics and behavior
n. consumer goods (especially clothing) in the current mode
v. make out of components (often in an improvising manner)"
feasible,s. capable of being done with means at hand and circumstances as they are
fervor,"n feelings of great warmth and intensity
n the state of being emotionally aroused and worked up"
figure,"n. a diagram or picture illustrating textual material
n. a model of a bodily form (especially of a person)
n. a combination of points and lines and planes that form a visible palpable shape
n. an amount of money expressed numerically"
functional,"a. designed for or capable of a particular function or use
a. involving or affecting function rather than physiology
a. relating to or based on function especially as opposed to structure; it is a functional one""
s. fit or ready for use or service"
fungus,n. an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia
gemstone,n a crystalline rock that can be cut and polished for jewelry
genuine,"a. not fake or counterfeit
s. not pretended; sincerely felt or expressed"
granular,"s composed of or covered with particles resembling meal in texture or consistency
a having a granular structure like that of chondrites"
grimly,r. in a grim implacable manner
hammer,"n. the part of a gunlock that strikes the percussion cap when the trigger is pulled
n. a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking
n. a heavy metal sphere attached to a flexible wire; used in the hammer throw
n. a striker that is covered in felt and that causes the piano strings to vibrate"
heritage,n. practices that are handed down from the past by tradition
impermeable,a. preventing especially liquids to pass or diffuse through
impersonal,"a. not relating to or responsive to individual persons
s. having no personal preference"
inflate,"v. exaggerate or make bigger
v. fill with gas or air
v. cause prices to rise by increasing the available currency or credit
v. increase the amount or availability of, creating a rise in value"
influential,a. having or exercising influence or power
informative,a. providing or conveying information
joint,"n. (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
n. a disreputable place of entertainment
n. junction by which parts or objects are joined together
n. marijuana leaves rolled into a cigarette for smoking"
journalist,n. a writer for newspapers and magazines
leak,"n. an accidental hole that allows something (fluid or light etc.) to enter or escape
n. soft watery rot in fruits and vegetables caused by fungi
n. a euphemism for urination
n. unauthorized (especially deliberate) disclosure of confidential information"
lens,"n. a transparent optical device used to converge or diverge transmitted light and to form images
n. genus of small erect or climbing herbs with pinnate leaves and small inconspicuous white flowers and small flattened pods: lentils
n. (metaphor) a channel through which something can be seen or understood
n. biconvex transparent body situated behind the iris in the eye; its role (along with the cornea) is to focuses light on the retina"
mint,"n. any north temperate plant of the genus Mentha with aromatic leaves and small mauve flowers
n. any member of the mint family of plants
n. the leaves of a mint plant used fresh or candied
n. a candy that is flavored with a mint oil"
molecule,n. (physics and chemistry) the simplest structural unit of an element or compound
nutrient,n. any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
peninsula,n. a large mass of land projecting into a body of water
pilot,"n. someone who is licensed to operate an aircraft in flight
n. a person qualified to guide ships through difficult waters going into or out of a harbor"
plasma,"n. the colorless watery fluid of the blood and lymph that contains no cells, but in which the blood cells (erythrocytes, leukocytes, and thrombocytes) are suspended
n. a green slightly translucent variety of chalcedony used as a gemstone
n. (physical chemistry) a fourth state of matter distinct from solid or liquid or gas and present in stars and fusion reactors; a gas becomes a plasma when it is heated until the atoms lose all their electrons, leaving a highly electrified collection of nuclei and free electrons"
psychoanalysis,n. a set of techniques for exploring underlying motives and a method of treating various mental disorders; based on the theories of Sigmund Freud
purple,"n. a purple color or pigment
n. of imperial status
v. become purple
v. color purple"
quasar,n. a starlike object that may send out radio waves and other forms of energy; many have large red shifts
racing,n. the sport of engaging in contests of speed
radical,"n. a person who has radical ideas or opinions
n. (mathematics) a quantity expressed as the root of another quantity
n. a character conveying the lexical meaning of a logogram
s. arising from or going to the root or source"
rainfall,n water falling in drops from vapor condensed in the atmosphere
reason,"n. a rational motive for a belief or action
n. an explanation of the cause of some phenomenon
n. the capacity for rational thought or inference or discrimination
n. a fact that logically justifies some premise or conclusion"
robust,"a. sturdy and strong in form, constitution, or construction
s. strong enough to withstand or overcome intellectual challenges or adversity
s. rough and crude"
sap,"n. a watery solution of sugars, salts, and minerals that circulates through the vascular system of a plant
v. excavate the earth beneath"
solicit,"v. make a solicitation or entreaty for something; request urgently or persistently
v. incite, move, or persuade to some act of lawlessness or insubordination
v. make a solicitation or petition for something desired"
species,"n. (biology) taxonomic group whose members can interbreed
n. a specific kind of something"
spread,"n. process or result of distributing or extending over a wide expanse of space
n. a tasty mixture to be spread on bread or crackers or used in preparing other dishes
n. two facing pages of a book or other publication
n. the expansion of a person's girth (especially at middle age)"
temple,"n. place of worship consisting of an edifice for the worship of a deity
n. the flat area on either side of the forehead
n. an edifice devoted to special or exalted purposes"
terminal,"n. station where transport vehicles load or unload passengers or goods
n. a contact on an electrical device (such as a battery) at which electric current enters or leaves
n. electronic equipment consisting of a device providing access to a computer; has a keyboard and display
a. of or relating to or situated at the ends of a delivery route"
terrain,n. a piece of ground having specific characteristics or military potential
transmit,v. send from one person or place to another
tycoon,n a very wealthy or powerful businessman
vegetation,"n. all the plant life in a particular region or period
n. the process of growth in plants
n. an abnormal growth or excrescence (especially a warty excrescence on the valves of the heart)
n. inactivity that is passive and monotonous, comparable to the inactivity of plant life"
vulnerable,"a. susceptible to attack
s. susceptible to criticism or persuasion or temptation
s. capable of being wounded or hurt"
weave,"n. pattern of weaving or structure of a fabric
v. interlace by or as if by weaving
v. create a piece of cloth by interlacing strands of fabric, such as wool or cotton
v. to move or cause to move in a sinuous, spiral, or circular course"
abbreviate,v. shorten
aerial,a. existing or living or growing or operating in the air
annex,"n. an addition that extends a main building
v. take (territory) as if by conquest
v. attach to"
assistant,n. a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
bare,"v. lay bare
s. completely unclothed
s. lacking in amplitude or quantity
a. lacking its natural or customary covering"
battery,"n. group of guns or missile launchers operated together at one place
n. a device that produces electricity; may have several primary or secondary cells arranged in parallel or series
n. a collection of related things intended for use together
n. a unit composed of the pitcher and catcher"
beach,"n. an area of sand sloping down to the water of a sea or lake
v. land on a beach"
behave,"v. behave in a certain manner
v. behave well or properly"
blanket,"n. bedding that keeps a person warm in bed
n. anything that covers
n. a layer of lead surrounding the highly reactive core of a nuclear reactor
v. cover as if with a blanket"
bunch,"n. a grouping of a number of similar things
n. any collection in its entirety
v. gather or cause to gather into a cluster"
bush,"n. a large wilderness area
n. 43rd President of the United States; son of George Herbert Walker Bush (born in 1946)
n. United States electrical engineer who designed an early analogue computer and who led the scientific program of the United States during World War II (1890-1974)
n. vice president under Reagan and 41st President of the United States (born in 1924)"
cassette,n. a container that holds a magnetic tape used for recording or playing sound or video
cite,"n a short note recognizing a source of information or of a quoted passage
v make reference to
v commend
v refer to
v repeat a passage from
v refer to for illustration or proof
v advance evidence for
v call in an official matter, such as to attend court"
clarify,"v. make clear and (more) comprehensible
v. make clear by removing impurities or solids, as by heating"
concrete,"n. a strong hard building material composed of sand and gravel and cement and water
v. cover with cement
v. form into a solid mass; coalesce
a. capable of being perceived by the senses; not abstract or imaginary"
confession,"n. an admission of misdeeds or faults
n. a written document acknowledging an offense and signed by the guilty party
n. (Roman Catholic Church) the act of a penitent disclosing his sinfulness before a priest in the sacrament of penance in the hope of absolution
n. a public declaration of your faith"
consciously,r. with awareness
consist,"v. have its essential character; be comprised or contained in; be embodied in
v. be consistent in form, tenor, or character; be congruous
v. be composed of"
cosmic,"a. of or from or pertaining to or characteristic of the cosmos or universe
s. inconceivably extended in space or time"
crisscross,"n. a marking that consists of lines that cross each other
v. cross in a pattern, often random
v. mark with or consist of a pattern of crossed lines
v. mark with a pattern of crossing lines"
damp,"n. a slight wetness
v. restrain or discourage
s. slightly wet"
definitive,"s. clearly defined or formulated
s. supplying or being a final or conclusive settlement"
deliver,"v. deliver (a speech, oration, or idea)
v. bring to a destination, make a delivery
v. utter (an exclamation, noise, etc.)
v. save from sins"
descriptive,"a. serving to describe or inform or characterized by description
a. describing the structure of a language"
dive,"n. a headlong plunge into water
n. a steep nose-down descent by an aircraft
v. drop steeply
v. plunge into water"
enhance,"v. increase
v. make better or more attractive"
enthusiasm,"n. a feeling of excitement
n. a lively interest"
evolution,n. (biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms
expedition,"n. a military campaign designed to achieve a specific objective in a foreign country
n. an organized group of people undertaking a journey for a particular purpose
n. a journey organized for a particular purpose"
facial,"n. cranial nerve that supplies facial muscles
n. care for the face that usually involves cleansing and massage and the application of cosmetic creams
a. of or concerning the face
a. of or pertaining to the outside surface of an object"
fault,"n. (geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other
n. (electronics) equipment failure attributable to some defect in a circuit (loose connection or insulation failure or short circuit etc.)
n. responsibility for a bad situation or event
n. (sports) a serve that is illegal (e.g., that lands outside the prescribed area)"
flock,"n. a church congregation guided by a pastor
n. a group of birds
n. a group of sheep or goats
v. move as a crowd or in a group"
frame,"n. the framework for a pair of eyeglasses
n. a single one of a series of still transparent pictures forming a cinema, television or video film
n. a single drawing in a comic_strip
n. an application that divides the user's display into two or more windows that can be scrolled independently"
gem,"n. art highly prized for its beauty or perfection
n. a crystalline rock that can be cut and polished for jewelry"
girder,n. a beam made usually of steel; a main support in a structure
glue,"n. cement consisting of a sticky substance that is used as an adhesive
v. join or attach with or as if with glue
v. be fixed as if by glue"
hieroglyph,"n. writing that resembles hieroglyphics (usually by being illegible)
n. a writing system using picture symbols; used in ancient Egypt"
immune,"n. a person who is immune to a particular infection
a. relating to the condition of immunity
s. secure against
s. relating to or conferring immunity (to disease or infection)"
incubate,v. grow under conditions that promote development
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
ironical,"s characterized by often poignant difference or incongruity between what is expected and what actually is
s humorously sarcastic or mocking"
irresistible,"a. impossible to resist; overpowering
s. overpoweringly attractive"
leap,"n. a light, self-propelled movement upwards or forwards
n. an abrupt transition
n. the distance leaped (or to be leaped)
v. pass abruptly from one state or topic to another"
loyal,a. steadfast in allegiance or duty
microbe,n. a minute life form (especially a disease-causing bacterium); the term is not in technical use
microwave,"n. a short electromagnetic wave (longer than infrared but shorter than radio waves); used for radar and microwave ovens and for transmitting telephone, facsimile, video and data
n. kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by the water molecules in the food
v. cook or heat in a microwave oven"
monument,n. an important site that is marked and preserved as public property
muscle,"n. one of the contractile organs of the body
n. animal tissue consisting predominantly of contractile cells
n. authority or power or force (especially when used in a coercive way)
v. make one's way by force"
negotiation,"n. a discussion intended to produce an agreement
n. the activity or business of negotiating an agreement; coming to terms"
nerve-cell,none
obstacle,"n. something immaterial that stands in the way and must be circumvented or surmounted
n. an obstruction that stands in the way (and must be removed or surmounted or circumvented)"
oratorio,n a musical composition for voices and orchestra based on a religious text
photograph,"n. a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
v. record on photographic film
v. undergo being photographed in a certain way"
pivot,"n. the person in a rank around whom the others wheel and maneuver
n. axis consisting of a short shaft that supports something that turns
n. the act of turning on (or as if on) a pivot
v. turn on a pivot"
plump,"n. the sound of a sudden heavy fall
v. give support (to) or make a choice (of) one out of a group or number
r. straight down especially heavily or abruptly"
polygon,n. a closed plane figure bounded by straight sides
ponderous,"s. having great mass and weight and unwieldiness
s. labored and dull"
predecessor,n. one who precedes you in time (as in holding a position or office)
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
puppet,"n. a small figure of a person operated from above with strings by a puppeteer
n. a doll with a hollow head of a person or animal and a cloth body; intended to fit over the hand and be manipulated with the fingers"
rational,"a. consistent with or based on or using reason
a. capable of being expressed as a quotient of integers
s. having its source in or being guided by the intellect (as distinguished from experience or emotion)"
readily,r. without much difficulty
regular,"n. a regular patron
n. a soldier in the regular army
n. a dependable follower (especially in party politics)
n. a garment size for persons of average height and weight"
rejuvenate,"v. cause (a stream or river) to erode, as by an uplift of the land
v. develop youthful topographical features
v. make younger or more youthful
v. become young again"
resident,"n. someone who lives at a particular place for a prolonged period or who was born there
a. living in a particular place"
resource,"n. available source of wealth; a new or reserve supply that can be drawn upon when needed
n. a source of aid or support that may be drawn upon when needed
n. the ability to deal resourcefully with unusual problems"
reward,"n. payment made in return for a service rendered
n. an act performed to strengthen approved behavior
n. the offer of money for helping to find a criminal or for returning lost property
v. act or give recompense in recognition of someone's behavior or actions"
scrape,"n. a harsh noise made by scraping
n. a deep bow with the foot drawn backwards (indicating excessive humility)
v. scratch repeatedly
v. make by scraping"
series,"n. similar things placed in order or happening one after another
n. a periodical that appears at scheduled times
n. (sports) several contests played successively by the same teams
n. (electronics) connection of components in such a manner that current flows first through one and then through the other"
shuffle,"n. the act of mixing cards haphazardly
v. walk by dragging one's feet
v. move about, move back and forth
v. mix so as to make a random order or arrangement"
simmer,"n. temperature just below the boiling point
v. boil slowly at low temperature"
specialized,a. developed or designed for a special activity or function
spur,"n. any sharply pointed projection
n. tubular extension at the base of the corolla in some flowers
n. a sharp prod fixed to a rider's heel and used to urge a horse onward
v. incite or stimulate"
substance,"n. the real physical matter of which a person or thing consists
n. material of a particular kind or constitution
n. a particular kind or species of matter with uniform properties"
symbol,"n. an arbitrary sign (written or printed) that has acquired a conventional significance
n. something visible that by association or convention represents something else that is invisible"
tenant,"n. someone who pays rent to use land or a building or a car that is owned by someone else
n. a holder of buildings or lands by any kind of title (as ownership or lease)
n. any occupant who dwells in a place
v. occupy as a tenant"
tentacle,"n. something that acts like a tentacle in its ability to grasp and hold
n. any of various elongated tactile or prehensile flexible organs that occur on the head or near the mouth in many animals; used for feeling or grasping or locomotion"
tenuous,"s. having thin consistency
s. very thin in gauge or diameter"
twist,"n. a jerky pulling movement
n. social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
n. turning or twisting around (in place)
v. turn in the opposite direction"
ultraviolet,"n. radiation lying in the ultraviolet range; wave lengths shorter than light but longer than X rays
s. having or employing wavelengths shorter than light but longer than X-rays; lying outside the visible spectrum at its violet end"
urban,"a. relating to or concerned with a city or densely populated area
a. located in or characteristic of a city or city life"
variation,"n. an instance of change; the rate or magnitude of change
n. an activity that varies from a norm or standard
n. a repetition of a musical theme in which it is modified or embellished
n. an artifact that deviates from a norm or standard"
abiding,s. unceasing
abundant,a. present in great quantity
across,"r. to the opposite side
r. transversely"
aloof,"s. remote in manner
r. in an aloof manner"
amuse,"v. occupy in an agreeable, entertaining or pleasant fashion
v. make (somebody) laugh"
anatomy,"n. the branch of morphology that deals with the structure of animals
n. a detailed analysis"
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
applicable,s. capable of being applied; having relevance
application,"n. the act of bringing something to bear; using it for a particular purpose
n. a verbal or written request for assistance or employment or admission to a school
n. the work of applying something; 
n. a program that gives a computer instructions that provide the user with tools to accomplish a task"
assistance,"n the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n a resource"
auditorium,n. the area of a theater or concert hall where the audience sits
aware,a. (sometimes followed by `of') having or showing knowledge or understanding or realization or perception
barn,"n. an outlying farm building for storing grain or animal feed and housing farm animals
n. (physics) a unit of nuclear cross section; the effective circular area that one particle presents to another as a target for an encounter"
blossom,v. develop or come to a promising stage
cling,"n. fruit (especially peach) whose flesh adheres strongly to the pit
v. come or be in close contact with; stick or hold together and resist separation
v. to remain emotionally or intellectually attached
v. hold on tightly or tenaciously"
coax,"n a transmission line for high-frequency signals
v influence or urge by gentle urging, caressing, or flattering"
commentary,n a written explanation or criticism or illustration that is added to a book or other textual material
conversation,n. the use of speech for informal exchange of views or ideas or information etc.
cramped,s. constricted in size
crippling,s. that cripples or disables or incapacitates
decent,"s. socially or conventionally correct; refined or virtuous
a. conforming to conventions of sexual behavior
s. decently clothed
s. observing conventional sexual mores in speech or behavior or dress"
dedicate,"v. open to public use, as of a highway, park, or building
v. inscribe or address by way of compliment
v. set apart to sacred uses with solemn rites, of a church"
defense,"n. (military) military action or resources protecting a country against potential enemies
n. protection from harm
n. (sports) the team that is trying to prevent the other team from scoring"
dissolve,"n. (film) a gradual transition from one scene to the next; the next scene is gradually superimposed as the former scene fades out
v. become weaker
v. cause to go into a solution
v. come to an end"
dorsal,a. belonging to or on or near the back or upper surface of an animal or organ or part
elusive,"s. difficult to describe
s. skillful at eluding capture
s. difficult to detect or grasp by the mind or analyze"
embarrass,v. cause to be embarrassed; cause to feel self-conscious
encourage,"v. inspire with confidence; give hope or courage to
v. spur on"
envelope,"n. a flat (usually rectangular) container for a letter, thin package, etc.
n. any wrapper or covering
n. a curve that is tangent to each of a family of curves
n. a natural covering (as by a fluid)"
epitomize,v embody the essential characteristics of or be a typical example of
excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
exercise,"n. the activity of exerting your muscles in various ways to keep fit
n. systematic training by multiple repetitions
n. a task performed or problem solved in order to develop skill or understanding
n. (usually plural) a ceremony that involves processions and speeches"
exhilarating,s. making lively and cheerful
fortuitous,s. occurring by happy chance
fortune,"n. a large amount of wealth or prosperity
n. your overall circumstances or condition in life (including everything that happens to you)"
fund,"n. a reserve of money set aside for some purpose
v. convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds
v. place or store up in a fund for accumulation
v. provide a fund for the redemption of principal or payment of interest"
gravity,"n. (physics) the force of attraction between all masses in the universe; especially the attraction of the earth's mass for bodies near its surface
n. a solemn and dignified feeling"
horizontal,"n. something that is oriented horizontally
a. parallel to or in the plane of the horizon or a base line"
illusion,"n. an erroneous mental representation
n. something many people believe that is false"
inspect,v. look over carefully
major,"n. a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain
n. British statesman who was prime minister from 1990 until 1997 (born in 1943)
n. a university student who is studying a particular field as the principal subject
n. the principal field of study of a student at a university"
mention,"n. a remark that calls attention to something or someone
n. an official recognition of merit
v. make reference to
v. commend"
menu,"n. a list of dishes available at a restaurant
n. the dishes making up a meal
n. (computer science) a list of options available to a computer user
n. an agenda of things to do"
monster,"n. an imaginary creature usually having various human and animal parts
n. a cruel wicked and inhuman person
n. (medicine) a grossly malformed and usually nonviable fetus"
motive,s. causing or able to cause motion
mural,"n. a painting that is applied to a wall surface
a. of or relating to walls"
niche,"n. a position particularly well suited to the person who occupies it
n. (ecology) the status of an organism within its environment and community (affecting its survival as a species)"
nostalgia,n. longing for something past
opportunity,n. a possibility due to a favorable combination of circumstances
organism,"n. a living thing that has (or can develop) the ability to act or function independently
n. a system considered analogous in structure or function to a living body"
oxygen,n. a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust
perpendicular,"n. a straight line at right angles to another line
n. a Gothic style in 14th and 15th century England; characterized by vertical lines and a four-centered (Tudor) arch and fan vaulting
n. an extremely steep face"
philosopher,"n. a specialist in philosophy
n. a wise person who is calm and rational; someone who lives a life of reason with equanimity"
politics,"n. social relations involving intrigue to gain authority or power
n. the study of government of states and other political units
n. the profession devoted to governing and to political affairs
n. the opinion you hold with respect to political questions"
prestigious,s. exerting influence by reason of high status or prestige
primary,"n. a preliminary election where delegates or nominees are chosen
n. one of the main flight feathers projecting along the outer edge of a bird's wing
n. (astronomy) a celestial body (especially a star) relative to other objects in orbit around it
a. of first rank or importance or value; direct and immediate rather than secondary"
pyramid,"n. a polyhedron having a polygonal base and triangular sides with a common vertex
n. (stock market) a series of transactions in which the speculator increases his holdings by using the rising market value of those holdings as margin for further purchases
n. a massive monument with a square base and four triangular sides; begun by Cheops around 2700 BC as royal tombs in ancient Egypt
v. enlarge one's holdings on an exchange on a continued rise by using paper profits as margin to buy additional amounts"
quaint,"s. strange in an interesting or pleasing way
s. very strange or unusual; odd or even incongruous in character or appearance"
rate,"n. a magnitude or frequency relative to a time unit
n. amount of a charge or payment relative to some basis
n. a quantity or amount or measure considered as a proportion of another quantity or amount or measure
v. assign a rank or rating to"
recollection,n. something recalled to the mind
rhinoceros,n. massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout
rivalry,n the act of competing as for profit or a prize
senator,n. a member of a senate
sensitive,"a. responsive to physical stimuli
a. being susceptible to the attitudes, feelings, or circumstances of others
s. hurting
s. of or pertaining to classified information or matters affecting national security"
shield,"n. a protective covering or structure
n. armor carried on the arm to intercept blows
v. protect, hide, or conceal from danger or harm"
slight,"v. pay no attention to, disrespect"
snack,"n a light informal meal
v eat a snack; eat lightly"
spinning,n. creating thread
spray,"n. a pesticide in suspension or solution; intended for spraying
n. a quantity of small objects flying through the air
n. flower arrangement consisting of a single branch or shoot bearing flowers and foliage
n. water in small drops in the atmosphere; blown from waves or thrown up by a waterfall"
square,"n. (geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon
n. the product of two equal terms
n. something approximating the shape of a square
n. someone who doesn't understand what is going on"
squirrel,"n. a kind of arboreal rodent having a long bushy tail
n. the fur of a squirrel"
sumptuous,s rich and superior in quality
tremendous,"s extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman
s extraordinarily good or great; used especially as intensifiers
s extreme in degree or extent or amount or impact"
trench,"n. a ditch dug as a fortification having a parapet of the excavated earth
n. a long steep-sided depression in the ocean floor
n. any long ditch cut in the ground
v. fortify by surrounding with trenches"
trip,"n. a journey for some purpose (usually including the return)
n. a hallucinatory experience induced by drugs
n. an exciting or stimulating experience
n. a light or nimble tread"
tropical,"s. relating to or situated in or characteristic of the tropics (the region on either side of the equator)
a. of or relating to the tropics, or either tropic
s. characterized by or of the nature of a trope or tropes; changed from its literal sense
s. of weather or climate; hot and humid as in the tropics"
ultimatum,n. a final peremptory demand
utter,"v. express audibly; utter sounds (not necessarily words)
v. put into circulation"
vacate,"v. leave (a job, post, or position) voluntarily
v. leave behind empty; move out of"
variable,"n. something that is likely to vary; something that is subject to variation
n. a quantity that can assume any of a set of values
n. a symbol (like x or y) that is used in mathematical or logical expressions to represent a variable quantity
a. liable to or capable of change"
withdraw,"v. pull back or move away or backward
v. remove (a commodity) from (a supply source)"
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
activate,"v. make active or more active
v. make more adsorptive
v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter
v. make (substances) radioactive"
adjoining,"v lie adjacent to another or share a boundary
v be in direct physical contact with; make contact
v attach or add"
affect,"n. the conscious subjective aspect of feeling or emotion
v. have an effect upon
v. act physically on; have an effect upon
v. have an emotional or cognitive impact upon"
affirm,"v. to declare or affirm solemnly and formally as true
v. say yes to"
alignment,"n. the spatial property possessed by an arrangement or position of things in a straight line or in parallel lines
n. the act of adjusting or aligning the parts of a device in relation to each other"
array,"n. an orderly arrangement
n. an impressive display
n. especially fine or decorative clothing
n. an arrangement of aerials spaced to give desired directional characteristics"
Babylonian,"n. an inhabitant of ancient Babylon
n. the ideographic and syllabic writing system in which the ancient Babylonian language was written
a. of or relating to the city of Babylon or its people or culture"
basement,"n. the lowermost portion of a structure partly or wholly below ground level; often used for storage
n. the ground floor facade or interior in Renaissance architecture"
bonanza,n. an especially rich vein of precious ore
brilliant,"s. of surpassing excellence
s. characterized by grandeur
s. full of light; shining intensely"
bulk,"n. the property of something that is great in magnitude
n. the property possessed by a large mass
v. stick out or up"
chant,"n. a repetitive song in which as many syllables as necessary are assigned to a single tone
v. recite with musical intonation; recite as a chant or a psalm"
charcoal,"n. a carbonaceous material obtained by heating wood or other organic matter in the absence of air
n. a stick of black carbon material used for drawing
n. a very dark grey color
n. a drawing made with a stick of black carbon material"
confirm,"v. establish or strengthen as with new evidence or facts
v. strengthen or make more firm
v. make more firm
v. support a person for a position"
continuation,"n the act of continuing an activity without interruption
n a part added to a book or play that continues and extends it
n a Gestalt principle of organization holding that there is an innate tendency to perceive a line as continuing its established direction
n the consequence of being lengthened in duration"
corporate,"a. of or belonging to a corporation
s. done by or characteristic of individuals acting together
s. organized and maintained as a legal corporation"
deny,"v. declare untrue; contradict
v. refuse to accept or believe
v. refuse to grant, as of a petition or request
v. refuse to let have"
diffusion,"n. (physics) the process in which there is movement of a substance from an area of high concentration of that substance to an area of lower concentration
n. the spread of social institutions (and myths and skills) from one society to another"
distasteful,s. not pleasing in odor or taste
district,n. a region marked off for administrative or other purposes
endeavor,v. attempt by employing effort
