solve,v. find the solution to (a problem or question) or understand the meaning of
jealous,s. suspicious or unduly suspicious or fearful of being displaced by a rival
commend,"v. express approval of
v. present as worthy of regard, kindness, or confidence
v. give to in charge
v. express a good opinion of"
objection,"n. the speech act of objecting
n. (law) a procedure whereby a party to a suit says that a particular line of questioning or a particular witness or a piece of evidence or other matter is improper and should not be continued and asks the court to rule on its impropriety or illegality"
vessel,"n. a tube in which a body fluid circulates
n. a craft designed for water transportation
n. an object used as a container (especially for liquids)"
conversely,r. with the terms of the relation reversed
commodity,n. articles of commerce
reliance,"n. certainty based on past experience
n. the state of relying on something"
aggravate,"v make worse
v exasperate or irritate"
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
fabulous,"s. extremely pleasing
s. based on or told of in traditional stories; lacking factual basis or historical validity
s. barely credible"
comply,"v. act in accordance with someone's rules, commands, or wishes"
renaissance,n. the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries
abide,"v dwell
v put up with something or somebody unpleasant"
exemplify,"v. be characteristic of
v. clarify by giving an example of"
compound,"n. a whole formed by a union of two or more elements or parts
n. (chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight
n. an enclosure of residences and other building (especially in the Orient)
v. put or add together"
subtle,s. able to make fine distinctions
continual,"a. occurring without interruption; chiefly restricted to what recurs regularly or frequently in a prolonged and closely spaced series
s. `continual' (meaning seemingly uninterrupted) is often used interchangeably with `continuous' (meaning without interruption)"
merge,"v become one
v mix together different elements
v join or combine"
obsolete,s no longer in use
oven,n. kitchen appliance used for baking or roasting
prototype,n. a standard or typical example
quota,"n. a prescribed number
n. a proportional share assigned to each participant
n. a limitation on imports"
rational,"a. consistent with or based on or using reason
a. capable of being expressed as a quotient of integers
s. having its source in or being guided by the intellect (as distinguished from experience or emotion)"
rear,"n. the back of a military formation or procession
n. the side of an object that is opposite its front
n. the side that goes last or is not normally seen
v. stand up on the hind legs, of quadrupeds"
sponge,"n. a porous mass of interlacing fibers that forms the internal skeleton of various marine animals and usable to absorb water or any porous rubber or cellulose product similarly used
n. primitive multicellular marine animal whose porous body is supported by a fibrous skeletal framework; usually occurs in sessile colonies
v. wipe with a sponge, so as to clean or moisten
v. erase with a sponge; as of words on a blackboard"
warrant,"n. a writ from a court commanding police to perform specified acts
n. a type of security issued by a corporation (usually together with a bond or preferred stock) that gives the holder the right to purchase a certain amount of common stock at a stated price"
unload,v. take the load off (a container or vehicle)
resort,n. a hotel located in a resort area
abdomen,n. the region of the body of a vertebrate between the thorax and the pelvis
incentive,n. a positive motivational influence
pose,"n. a posture assumed by models for photographic or artistic purposes
v. pretend to be someone you are not; sometimes with fraudulent intentions
v. behave affectedly or unnaturally in order to impress others"
