technology,n. the practical application of science to commerce or industry
hop,"n. the act of hopping; jumping upward or forward (especially on one foot)
n. twining perennials having cordate leaves and flowers arranged in conelike spikes; the dried flowers of this plant are used in brewing to add the characteristic bitter taste to beer
n. an informal dance where popular music is played
v. jump lightly"
illiterate,"n. a person unable to read
a. not able to read or write
a. lacking culture, especially in language and literature"
imminent,s close in time; about to occur
incur,v. make oneself subject to; bring upon oneself; become liable to
intimidate,"v. make timid or fearful
v. to compel or deter by or as if by threats"
irritate,"v. excite to an abnormal condition, or chafe or inflame
v. excite to some characteristic action or condition, such as motion, contraction, or nervous impulse, by the application of a stimulus"
legitimate,"v. show or affirm to be just and legitimate
v. make (an illegitimate child) legitimate; declare the legitimacy of (someone)
a. of marriages and offspring; recognized as lawful
s. based on known statements or events or conditions"
metropolitan,"n. in the Eastern Orthodox Church this title is given to a position between bishop and patriarch; equivalent to archbishop in western Christianity
n. a person who lives in a metropolis
a. relating to or characteristic of a metropolis"
midst,n. the location of something surrounded by other things
nominee,n a politician who is running for public office
nonetheless,r despite anything to the contrary (usually following a concession)
offspring,"n. the immediate descendants of a person
n. something that comes into existence as a result"
orthodox,"a. of or pertaining to or characteristic of Judaism
a. adhering to what is commonly accepted
a. of or relating to or characteristic of the Eastern Orthodox Church"
outfit,"n. any cohesive unit such as a military company
n. a set of clothing (with accessories)"
owl,n. nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes
oxide,n. any compound of oxygen with another element or a radical
peninsula,n. a large mass of land projecting into a body of water
plausible,"a. apparently reasonable and valid, and truthful
s. given to or characterized by presenting specious arguments"
precedent,"n. an example that is used to justify similar occurrences at a later time
n. a subject mentioned earlier (preceding in time)
s. preceding in time, order, or significance"
prestige,n. a high standing achieved through success or influence or wealth etc.
rehearsal,"n. a practice session in preparation for a public performance (as of a play or speech or concert)
n. (psychology) a form of practice; repetition of information (silently or aloud) in order to keep it in short-term memory"
relic,n. an antiquity that has survived from the distant past
revival,"n. bringing again into activity and prominence
n. an evangelistic meeting intended to reawaken interest in religion"
robust,"a. sturdy and strong in form, constitution, or construction
s. strong enough to withstand or overcome intellectual challenges or adversity
s. rough and crude"
saturate,"v. cause (a chemical compound, vapour, solution, magnetic material) to unite with the greatest possible amount of another substance"
slash,"n. an open tract of land in a forest that is strewn with debris from logging (or fire or wind)
n. a strong sweeping cut made with a sharp instrument
v. cut with sweeping strokes; as with an ax or machete
v. cut open"
slum,"n. a district of a city marked by poverty and inferior living conditions
v. spend time at a lower socio-economic level than one's own, motivated by curiosity or desire for adventure; usage considered condescending and insensitive"
spicy,"s having an agreeably pungent taste
s producing a burning sensation on the taste nerves
s suggestive of sexual impropriety"
spider,"n. predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey
n. a computer program that prowls the internet looking for publicly accessible resources that can be added to a database; the database can then be searched with a search engine
n. a skillet made of cast iron"
stance,n. standing posture
subsistence,"n. minimal (or marginal) resources for subsisting
n. a means of surviving
n. the state of existing in reality; having substance"
surpass,v. be or do something to a greater degree
threshold,"n. the starting point for a new state or experience
n. the smallest detectable sensation"
thrill,"n. something that causes you to experience a sudden intense feeling or sensation
v. cause to be thrilled by some perceptual input
v. feel sudden intense sensation or emotion"
turbulent,"s characterized by unrest or disorder or insubordination
s (of a liquid) agitated vigorously; in a state of turbulence"
turnover,n. a dish made by folding a piece of pastry over a filling
underlie,"v. be or form the base for
v. lie underneath"
verge,"n. the limit beyond which something happens or changes
n. a grass border along a road
v. border on; come close to"
viable,s. capable of life or normal growth and development
warrant,"n. a writ from a court commanding police to perform specified acts
n. a type of security issued by a corporation (usually together with a bond or preferred stock) that gives the holder the right to purchase a certain amount of common stock at a stated price"
abnormal,"a. not normal; not typical or usual or regular or conforming to a norm
a. departing from the normal in e.g. intelligence and development
s. much greater than the normal"
accessory,"n. clothing that is worn or carried, but not part of your main clothing
n. a supplementary component that improves capability
n. someone who helps another person commit a crime
s. furnishing added support"
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
allure,n. the power to entice or attract through personal charm
amass,"v collect or gather
v get or gather together"
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
amplify,v. increase the volume of
anecdote,n. short account of an incident (especially a biographical one)
avert,v. turn away or aside
barge,"n. a flatbottom boat for carrying heavy loads (especially on canals)
v. push one's way
v. transport by barge on a body of water"
barren,"n. an uninhabited wilderness that is worthless for cultivation
s. not bearing offspring
s. completely wanting or lacking"
benign,"a. not dangerous to health; not recurrent or progressive (especially of a tumor)
a. pleasant and beneficial in nature or influence
s. kindness of disposition or manner"
bolster,"n. a pillow that is often put across a bed underneath the regular pillows
v. support and strengthen
v. prop up with a pillow or bolster"
bruise,"n. an injury that doesn't break the skin but results in some discoloration
v. injure the underlying soft tissue or bone of
v. break up into small pieces for food preparation
v. damage (plant tissue) by abrasion or pressure"
bust,"n. a sculpture of the head and shoulders of a person
n. an occasion for excessive eating or drinking"
carton,"n. the quantity contained in a carton
n. a box made of cardboard; opens by flaps on top"
commodity,n. articles of commerce
complement,"n. a word or phrase used to complete a grammatical construction
n. a complete number or quantity
n. number needed to make up a whole force
n. something added to complete or embellish or make perfect"
conception,n. the act of becoming pregnant; fertilization of an ovum by a spermatozoon
consecutive,"s. in regular succession without gaps
r. in a consecutive manner"
cosy,n. a padded cloth covering to keep a teapot warm
cozy,"s. enjoying or affording comforting warmth and shelter especially in a small space
s. having or fostering a warm or friendly and informal atmosphere
s. suggesting connivance"
crave,"v. have a craving, appetite, or great desire for
v. plead or ask for earnestly"
cripple,"n. someone who is unable to walk normally because of an injury or disability to the legs or back
v. deprive of strength or efficiency; make useless or worthless
v. deprive of the use of a limb, especially a leg"
culmination,n. (astronomy) a heavenly body's highest celestial point above an observer's horizon
dazzle,"n. brightness enough to blind partially and temporarily
v. to cause someone to lose clear vision, especially from intense light
v. amaze or bewilder, as with brilliant wit or intellect or skill"
delicacy,"n. refined taste; tact
n. smallness of stature
n. subtly skillful handling of a situation"
demographic,"n. a statistic characterizing human populations (or segments of human populations broken down by age or sex or income etc.)
a. of or relating to demography"
deploy,"v. place troops or weapons in battle formation
v. to distribute systematically or strategically"
detrimental,s (sometimes followed by `to') causing harm or injury
discern,v detect with the senses
discrepancy,"n. a difference between conflicting facts or claims or opinions
n. an event that departs from expectations"
dodge,"n. a quick evasive movement
n. a statement that evades the question by cleverness or trickery
v. make a sudden movement in a new direction so as to avoid
v. move to and fro or from place to place usually in an irregular course"
domain,"n. territory over which rule or control is exercised
n. (mathematics) the set of values of the independent variable for which a function is defined"
eligible,a. qualified for or allowed or worthy of being chosen
embark,"v. go on board
v. set out on (an enterprise or subject of study)"
embed,"v. attach to, as a journalist to a military unit when reporting on a war"
embody,"v. represent, as of a character on stage
v. represent or express something abstract in tangible form"
empirical,a. derived from experiment and observation rather than theory
emulate,"v. strive to equal or match, especially by imitating
v. imitate the function of (another system), as by modifying the hardware or the software
v. compete with successfully; approach or reach equality with"
eradicate,"v kill in large numbers
v destroy completely, as if down to the roots"
escalate,v. increase in extent or intensity
evaporate,"v. lose or cause to lose liquid by vaporization leaving a more concentrated residue
v. cause to change into a vapor
v. change into a vapor"
falsehood,n. a false statement
feat,n. a notable achievement
finite,"a. bounded or limited in magnitude or spatial or temporal extent
a. of verbs; relating to forms of the verb that are limited in time by a tense and (usually) show agreement with number and person"
flip,"n. hot or cold alcoholic mixed drink containing a beaten egg
n. a sudden, quick movement
n. the act of flipping a coin
n. a dive in which the diver somersaults before entering the water"
fury,"n. a feeling of intense anger
n. (classical mythology) the hideous snake-haired monsters (usually three in number) who pursued unpunished criminals"
greedy,s. wanting to eat or drink more than one can reasonably consume
hamper,"n. a basket usually with a cover
v. prevent the progress or free movement of"
havoc,n. violent and needless disturbance
herbal,a. of or relating to herbs
hitherto,r used in negative statement to describe a situation that has existed up to this point or up to the present time
hybrid,"n. a composite of mixed origin
n. (genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species
s. produced by crossbreeding"
ideology,n. imaginary or visionary theorization
idol,"n. a material effigy that is worshipped
n. someone who is adored blindly and excessively"
illuminate,v. add embellishments and paintings to (medieval manuscripts)
impart,"v. transmit (knowledge or skills)
v. transmit or serve as the medium for transmission"
imperative,"n. some duty that is essential and urgent
a. requiring attention or action
a. relating to verbs in the imperative mood"
injection,"n. the forceful insertion of a substance under pressure
n. any solution that is injected (as into the skin)
n. the act of putting a liquid into the body by means of a syringe"
intrigue,"n. a crafty and involved plot to achieve your (usually sinister) ends
n. a clandestine love affair
v. cause to be interested or curious"
jeopardize,"v pose a threat to; present a danger to
v put at risk"
kidnap,v. take away to an undisclosed location against their will and usually in order to extract a ransom
loom,"n. a textile machine for weaving yarn into a textile
v. come into view indistinctly, often threateningly
v. appear very large or occupy a commanding position
v. weave on a loom"
loop,"n. anything with a round or oval shape (formed by a curve that is closed and does not intersect itself)
n. an inner circle of advisors (especially under President Reagan)
n. the basic pattern of the human fingerprint
n. a computer program that performs a series of instructions repeatedly until some specified condition is satisfied"
magnitude,"n. the property of relative size or extent (whether large or small)
n. relative importance"
malpractice,"n. professional wrongdoing that results in injury or damage
n. a wrongful act that the actor had no right to do; improper professional conduct"
mandate,"n. a document giving an official instruction or command
n. a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
n. the commission that is given to a government and its policies through an electoral victory"
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
mansion,n. a large and imposing house
melody,n. the perception of pleasant arrangements of musical notes
molecular,"a. relating to or produced by or consisting of molecules
a. relating to simple or elementary organization"
momentum,"n. an impelling force or strength
n. the product of a body's mass and its velocity"
monopolize,"v. have and control fully and exclusively
v. have or exploit a monopoly of"
mortality,n. the quality or state of being mortal
notorious,s known widely and usually unfavorably; 
oak,"n. the hard durable wood of any oak; used especially for furniture and flooring
n. a deciduous tree of the genus Quercus; has acorns and lobed leaves"
obscure,"v. make less visible or unclear
v. make obscure or unclear
v. reduce a vowel to a neutral one, such as a schwa
v. make undecipherable or imperceptible by obscuring or concealing"
overstate,v. to enlarge beyond bounds or the truth
paradise,n. (Christianity) the abode of righteous souls after death
parameter,"n. a constant in the equation of a curve that can be varied to yield a family of similar curves
n. any factor that defines a system and determines (or limits) its performance
n. a quantity (such as the mean or variance) that characterizes a statistical population and that can be estimated by calculations from sample data"
physiological,a. of or relating to the biological study of physiology
poised,s. marked by balance or equilibrium and readiness for action
potent,"s. having great influence
s. having or wielding force or authority
a. having a strong physiological or chemical effect
a. (of a male) capable of copulation"
practitioner,n. someone who practices a learned profession
predominance,n. the state of being predominant over others
premature,"a. born after a gestation period of less than the normal time
s. uncommonly early or before the expected time"
presume,"v. constitute reasonable evidence for
v. take liberties or act with too much confidence"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
propel,v. cause to move forward with force
psychiatric,a. relating to or used in or engaged in the practice of psychiatry
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
ration,"n. the food allowance for one day (especially for service personnel)
n. a fixed portion that is allotted (especially in times of scarcity)
v. restrict the consumption of a relatively scarce commodity, as during war
v. distribute in rations, as in the army"
recipe,n. directions for making something
rein,"n. one of a pair of long straps (usually connected to the bit or the headpiece) used to control a horse
n. any means of control
v. stop or slow up one's horse or oneself by or as if by pulling the reins
v. stop or check by or as if by a pull at the reins"
remnant,"n a small part or portion that remains after the main part no longer exists
n a piece of cloth that is left over after the rest has been used or sold"
retort,"n. a vessel where substances are distilled or decomposed by heat
v. answer back"
sanitation,"n. the state of being clean and conducive to health
n. making something sanitary (free of germs) as by sterilizing"
satire,n witty language used to convey insults or scorn
sceptical,"s marked by or given to doubt
s denying or questioning the tenets of especially a religion"
skeptical,"s denying or questioning the tenets of especially a religion
s marked by or given to doubt"
shield,"n. a protective covering or structure
n. armor carried on the arm to intercept blows
v. protect, hide, or conceal from danger or harm"
signify,"v. convey or express a meaning
v. make known with a word or signal"
slam,"n. winning all or all but one of the tricks in bridge
n. the noise made by the forceful impact of two objects
n. a forceful impact that makes a loud noise
v. close violently"
sneak,"n. a person who is regarded as underhanded and furtive and contemptible
v. to go stealthily or furtively
v. put, bring, or take in a secretive or furtive manner"
solitude,"n. a state of social isolation
n. the state or situation of being alone
n. a solitary place"
specialty,"n an asset of special worth or utility
n a distinguishing trait
n the special line of work you have adopted as your career"
spectator,n. a close observer; someone who looks at something (such as an exhibition of some kind)
spectrum,"n. an ordered array of the components of an emission or wave
n. a broad range of related objects or values or qualities or ideas or activities"
staple,"n. a natural fiber (raw cotton, wool, hemp, flax) that can be twisted to form yarn
n. a short U-shaped wire nail for securing cables
n. paper fastener consisting of a short length of U-shaped wire that can fasten papers together
v. secure or fasten with a staple or staples"
stubborn,a. tenaciously unwilling or marked by tenacious unwillingness to yield
stump,"n. the base part of a tree that remains standing after the tree has been felled
n. the part of a limb or tooth that remains after the rest is removed
n. (cricket) any of three upright wooden posts that form the wicket
v. cause to be perplexed or confounded"
submarine,"n. a submersible warship usually armed with torpedoes
v. move forward or under in a sliding motion
v. throw with an underhand motion
v. bring down with a blow to the legs"
subscription,"n. a payment for consecutive issues of a newspaper or magazine for a given period of time
n. agreement expressed by (or as if expressed by) signing your name
n. a pledged contribution
n. the act of signing your name; writing your signature (as on a document)"
subtle,s. able to make fine distinctions
sue,n. French writer whose novels described the sordid side of city life (1804-1857)
suffice,"v. be sufficient; be adequate, either in quality or quantity"
suicide,"n. the act of killing yourself
n. a person who kills himself intentionally"
surveillance,n. close observation of a person or group (usually by the police)
susceptible,"a. (often followed by `of' or `to') yielding readily to or capable of
s. easily impressed emotionally"
swap,"v. move (a piece of a program) into memory, in computer science"
testify,"v. give testimony in a court of law
v. provide evidence for"
tract,"n. an extended area of land
n. a system of body parts that together serve some particular purpose
n. a brief treatise on a subject of interest; published in the form of a booklet"
trek,"n. a journey by ox wagon (especially an organized migration by a group of settlers)
n. any long and difficult trip
v. journey on foot, especially in the mountains
v. make a long and difficult journey"
trillion,"n. the number that is represented as a one followed by 18 zeros
n. the number that is represented as a one followed by 12 zeros
s. one quintillion in Great Britain
s. one million million in the United States"
trivial,s. concerned with trivialities
trumpet,"v. proclaim on, or as if on, a trumpet
v. play or blow on the trumpet
v. utter in trumpet-like sounds"
turmoil,"n a violent disturbance
n violent agitation
n disturbance usually in protest"
unleash,"v. release or vent
v. release from a leash
v. turn loose or free from restraint"
vicinity,n. a surrounding or nearby region
wardrobe,"n. a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes
n. collection of clothing belonging to one person
n. collection of costumes belonging to a theatrical company"
abort,"n. the act of terminating a project or procedure before it is completed
v. terminate before completion
v. cease development, die, and be aborted
v. terminate a pregnancy by undergoing an abortion"
acclaim,"n. enthusiastic approval
v. praise vociferously"
adore,v. love intensely
affix,"n. a linguistic element added to a word to produce an inflected or derived form
v. attach to
v. attach or become attached to a stem word"
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
ail,v. be ill or unwell
airborne,s. moved or conveyed by or through air
allergic,"a. characterized by or caused by allergy
s. having an allergy or peculiar or excessive susceptibility (especially to a specific factor)"
allocate,v. distribute according to a plan or set apart for a special purpose
allot,"v give out
v allow to have
v administer or bestow, as in small portions"
alloy,"n. a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
v. make an alloy of"
apt,"s. (usually followed by `to') naturally disposed toward
s. at risk of or subject to experiencing something usually unpleasant
s. mentally quick and resourceful"
arena,"n. the central area of an ancient Roman amphitheater where contests and spectacles were held; especially an area that was strewn with sand
n. a playing field where sports events take place"
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
ascend,"v. travel up, ""We ascended the mountain""
v. go back in order of genealogical succession
v. become king or queen
v. appear to be moving upward, as by means of tendrils"
ascribe,v attribute or credit to
baffle,"n. a flat plate that controls or directs the flow of fluid or energy
v. check the emission of (sound)"
besiege,"v. surround so as to force to give up
v. cause to feel distressed or worried
v. harass, as with questions or requests"
bleak,s. unpleasantly cold and damp
breach,"n. a failure to perform some promised act or obligation
n. an opening (especially a gap in a dike or fortification)"
brink,"n. a region marking a boundary
n. the edge of a steep place"
brisk,"v. become brisk
s. very active"
buzz,"n. sound of rapid vibration
n. a confusion of activity and gossip
v. make a buzzing sound
v. fly low"
canoe,"n. small and light boat; pointed at both ends; propelled with a paddle
v. travel by canoe"
canvas,"n. a heavy, closely woven fabric (used for clothing or chairs or sails or tents)
n. an oil painting on canvas fabric
n. the setting for a narrative or fictional or dramatic account
n. the mat that forms the floor of the ring in which boxers or professional wrestlers compete"
cape,"n. a strip of land projecting into a body of water
n. a sleeveless garment like a cloak but shorter"
capsule,"n. a small container
n. a pill in the form of a small rounded gelatinous container with medicine inside
n. a dry dehiscent seed vessel or the spore-containing structure of e.g. mosses
n. a structure that encloses a body part"
caption,"n. taking exception; especially a quibble based on a captious argument
n. brief description accompanying an illustration
v. provide with a caption, as of a photograph or a drawing"
carving,"n. a sculpture created by removing material (as wood or ivory or stone) in order to create a desired shape
n. removing parts from hard material to create a desired pattern or shape"
chamber,"n. a natural or artificial enclosed space
n. an enclosed volume in the body
n. a room where a judge transacts business
n. a deliberative or legislative or administrative or judicial assembly"
cluster,v. come together as in a cluster or flock
comic,a. of or relating to or characteristic of comedy
commend,"v. express approval of
v. present as worthy of regard, kindness, or confidence
v. give to in charge
v. express a good opinion of"
compress,"n. a cloth pad or dressing (with or without medication) applied firmly to some part of the body (to relieve discomfort or reduce fever)
v. make more compact by or as if by pressing
v. squeeze or press together"
concede,"v. admit (to a wrongdoing)
v. be willing to concede
v. give over; surrender or relinquish to the physical control of another
v. acknowledge defeat"
concise,a. expressing much in few words
coral,"n. a variable color averaging a deep pink
n. the hard stony skeleton of a Mediterranean coral that has a delicate red or pink color and is used for jewelry
n. unfertilized lobster roe; reddens in cooking; used as garnish or to color sauces
n. marine colonial polyp characterized by a calcareous skeleton; masses in a variety of shapes often forming reefs"
credible,"a. capable of being believed
s. (a common but incorrect usage where `credulous' would be appropriate) credulous
s. appearing to merit belief or acceptance"
cuisine,n. the practice or manner of preparing food or the food so prepared
denote,"v. be a sign or indication of
v. have as a meaning"
denounce,"v. speak out against
v. announce the termination of, as of treaties
v. give away information about somebody"
derail,"v. cause to run off the tracks
v. run off or leave the rails"
designate,"v. assign a name or title to
s. appointed but not yet installed in office"
destiny,"n. an event (or a course of events) that will inevitably happen in the future
n. the ultimate agency regarded as predetermining the course of events (often personified as a woman)"
detach,"v. cause to become detached or separated; take off
v. separate (a small unit) from a larger, especially for a special assignment
v. come to be detached"
deter,v. try to prevent; show opposition to
devour,"v. destroy completely
v. enjoy avidly
v. eat immoderately
v. eat greedily"
disperse,"v. to cause to separate and go in different directions
v. move away from each other; 
v. separate (light) into spectral rays"
displace,"v. cause to move, usually with force or pressure
v. terminate the employment of; discharge from an office or position"
divert,"v. send on a course or in a direction different from the planned or intended one
v. withdraw (money) and move into a different location, often secretly and with dishonest intentions"
dome,"n. a concave shape whose distinguishing characteristic is that the concavity faces downward
n. a stadium that has a roof
n. a hemispherical roof"
dread,"n fearful expectation or anticipation
v be afraid or scared of; be frightened of
s causing fear or dread or terror"
dressing,"n. savory dressings for salads; basically of two kinds: either the thin French or vinaigrette type or the creamy mayonnaise type
n. a cloth covering for a wound or sore
n. processes in the conversion of rough hides into leather
n. the activity of getting dressed; putting on clothes"
dub,"n. the new sounds added by dubbing
v. give a nickname to
v. provide (movies) with a soundtrack of a foreign language"
dwarf,"n. a person who is markedly small
n. a plant or animal that is atypically small
v. check the growth of"
ego,"n. an inflated feeling of pride in your superiority to others
n. (psychoanalysis) the conscious mind"
elaborate,"v. add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v. produce from basic elements or sources; change into a more developed product
v. work out in detail
s. marked by complexity and richness of detail"
elicit,v. derive by reason
eminent,"s. standing above others in quality or position
s. of imposing height; especially standing out above others"
endeavour,"n a purposeful or industrious undertaking (especially one that requires effort or boldness)
n earnest and conscientious activity intended to do or accomplish something
v attempt by employing effort"
endeavor,v. attempt by employing effort
envelop,v. enclose or enfold completely with or as if with a covering
equation,"n. a mathematical statement that two expressions are equal
n. the act of regarding as equal"
erode,"v. become ground down or deteriorate
v. remove soil or rock"
etiquette,n. rules governing socially acceptable behavior
evade,"v. practice evasion
v. use cunning or deceit to escape or avoid"
exempt,"v. grant relief or an exemption from a rule or requirement to
a. (of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject"
flatter,v. praise somewhat dishonestly
fracture,"n. breaking of hard tissue such as bone
n. the act of cracking something
v. violate or abuse
v. interrupt, break, or destroy"
fragile,s. vulnerably delicate
friction,"n. the resistance encountered when one body is moved in contact with another
n. effort expended in moving one object over another with pressure"
galaxy,"n. a splendid assemblage (especially of famous people)
n. (astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust"
glamour,"n alluring beauty or charm (often with sex-appeal)
v cast a spell over someone or something; put a hex on someone or something"
grim,s. not to be placated or appeased or moved by entreaty
groan,"n. an utterance expressing pain or disapproval
v. indicate pain, discomfort, or displeasure"
grope,"n. the act of groping; and instance of groping
v. feel about uncertainly or blindly
v. search blindly or uncertainly
v. fondle for sexual pleasure"
herald,n. (formal) a person who announces important news
huddle,"n. (informal) a quick private conference
n. a disorganized and densely packed crowd
v. crowd or draw together
v. crouch or curl up"
humidity,n. wetness in the atmosphere
hurricane,n. a severe tropical cyclone usually with heavy rains and winds moving a 73-136 knots (12 on the Beaufort scale)
ignite,v. cause to start burning; subject to fire or great heat
immerse,"v. thrust or throw into
v. enclose or envelop completely, as if by swallowing"
impetus,"n a force that moves something along
n the act of applying force suddenly"
inertia,n. (physics) the tendency of a body to maintain its state of rest or uniform motion unless acted upon by an external force
insulate,"v. protect from heat, cold, or noise by surrounding with insulating material"
invert,"v. make an inversion (in a musical composition)
v. reverse the position, order, relation, or condition of"
jack,"n. a small worthless amount
n. a small ball at which players aim in lawn bowling
n. an electrical device consisting of a connector socket designed for the insertion of a plug
n. game equipment consisting of one of several small six-pointed metal pieces that are picked up while bouncing a ball in the game of jacks"
lavish,"v. expend profusely; also used with abstract nouns
s. very generous
s. characterized by extravagance and profusion"
lever,"n. a rigid bar pivoted about a fulcrum
n. a simple machine that gives a mechanical advantage when given a fulcrum
n. a flat metal tumbler in a lever lock"
levy,"n. a charge imposed and collected
n. the act of drafting into military service
v. impose and collect"
linger,"v. remain present although waning or gradually dying
v. take one's time; proceed slowly"
lofty,"s of high moral or intellectual value; elevated in nature or style
s of imposing height; especially standing out above others
s having or displaying great dignity or nobility"
lottery,"n. something that is regarded as a chance event
n. players buy (or are given) chances and prizes are distributed by casting lots"
lure,n. qualities that attract by seeming to promise some kind of reward
mar,v. make imperfect
maritime,s. bordering on or living or characteristic of those near the sea
mediate,"v. occupy an intermediate or middle position or form a connecting link or stage between two others
a. acting through or dependent on an intervening agency"
mindset,n a habitual or characteristic mental attitude that determines how you will interpret and respond to situations
moan,"n an utterance expressing pain or disapproval
v indicate pain, discomfort, or displeasure"
monarch,n. large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed
morale,n. a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
mow,v. cut with a blade or mower
mutter,n. a low continuous indistinct sound; often accompanied by movement of the lips without the production of articulate speech
naive,"a. marked by or showing unaffected simplicity and lack of guile or worldly experience
s. inexperienced"
nominal,"a. relating to or constituting or bearing or giving a name
s. insignificantly small; a matter of form only (`tokenish' is informal)
a. pertaining to a noun or to a word group that functions as a noun
a. of, relating to, or characteristic of an amount that is not adjusted for inflation"
nurture,"n the properties acquired as a consequence of the way you were treated as a child
n helping someone grow up to be an accepted member of the community
v help develop, help grow
v bring up
v provide with nourishment"
oath,"n. a commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury
n. a solemn promise, usually invoking a divine witness, regarding your future acts or behavior"
offset,"n. a plate makes an inked impression on a rubber-blanketed cylinder, which in turn transfers it to the paper
v. compensate for or counterbalance
v. cause (printed matter) to transfer or smear onto another surface
v. create an offset in"
oppress,v. come down on or keep down by unjust use of one's authority
ordeal,"n. a severe or trying experience
n. a primitive method of determining a person's guilt or innocence by subjecting the accused person to dangerous or painful tests believed to be under divine control; escape was usually taken as a sign of innocence"
overhaul,"n. periodic maintenance on a car or machine
v. make repairs, renovations, revisions or adjustments to"
overlap,"n. a representation of common ground between theories or phenomena
n. the property of partial coincidence in time
v. coincide partially or wholly
v. extend over and cover a part of"
pant,"n. the noise made by a short puff of steam (as from an engine)
v. breathe noisily, as when one is exhausted
v. utter while panting, as if out of breath"
patron,"n. a regular customer
n. the proprietor of an inn
n. someone who supports or champions something"
pending,s. awaiting conclusion or confirmation
perish,v pass from physical life and lose all bodily attributes and functions necessary to sustain life
pharmacy,"n. the art and science of preparing and dispensing drugs and medicines,"
plateau,n a relatively flat highland
plight,n. a solemn pledge of fidelity
ponder,v reflect deeply on a subject
prey,"n. a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence
n. animal hunted or caught for food
v. profit from in an exploitatory manner"
prop,n. a support placed beneath or against something to keep it from shaking or falling
prosper,v make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
query,"n an instance of questioning
v pose a question"
radiate,"v. send out rays or waves
v. send out real or metaphoric rays
v. extend or spread outward from a center or focus or inward towards a center
v. cause to be seen by emitting light as if in rays"
reassure,"v. cause to feel sure; give reassurance to
v. give or restore confidence in; cause to feel sure or certain"
reckless,"s marked by defiant disregard for danger or consequences
s characterized by careless unconcern"
rectify,"v. math: determine the length of
v. set straight or right
v. convert into direct current"
refund,"n. money returned to a payer
n. the act of returning money received previously
v. pay back"
refute,"v. overthrow by argument, evidence, or proof
v. prove to be false or incorrect"
renowned,s widely known and esteemed
repress,"v. put down by force or intimidation
v. block the action of"
reshuffle,"n. a redistribution of something
n. shuffling again
v. shuffle again
v. reorganize and assign posts to different people"
restless,"s. worried and uneasy
s. ceaselessly in motion
a. lacking or not affording physical or mental rest"
revolt,v. make revolution
rig,"n. gear (including necessary machinery) for a particular enterprise
n. formation of masts, spars, sails, etc., on a vessel
v. arrange the outcome of by means of deceit
v. manipulate in a fraudulent manner"
rigor,"n something hard to endure
n the quality of being valid and rigorous
n excessive sternness"
ritual,"n. any customary observance or practice
n. the prescribed procedure for conducting religious ceremonies
n. stereotyped behavior
a. of or relating to or characteristic of religious rituals"
rot,"n a state of decay usually accompanied by an offensive odor
n (biology) the process of decay caused by bacterial or fungal action
n unacceptable behavior (especially ludicrously false statements)
v break down
v become physically weaker"
rust,"n. a red or brown oxide coating on iron or steel caused by the action of oxygen and moisture
n. a plant disease that produces a reddish-brown discoloration of leaves and stems; caused by various rust fungi
n. the formation of reddish-brown ferric oxides on iron by low-temperature oxidation in the presence of water
n. any of various fungi causing rust disease in plants"
sacred,"a. concerned with religion or religious purposes
s. worthy of respect or dedication
s. (often followed by `to') devoted exclusively to a single use or purpose or person"
safeguard,"v. make safe
v. escort safely"
salmon,"n. any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn
n. a tributary of the Snake River in Idaho
n. flesh of any of various marine or freshwater fish of the family Salmonidae
n. a pale pinkish orange color"
