enable,v. render capable or able for some task
absolutely,"r. completely and without qualification; used informally as intensifiers
r. totally and definitely; without question"
absolutist,"n. one who advocates absolutism
a. pertaining to the principle of totalitarianism"
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
absorption,"n. (chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
n. (physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium"
special,"n. a special offering (usually temporary and at a reduced price) that is featured in advertising
n. a dish or meal given prominence in e.g. a restaurant
n. a television production that features a particular person or work or topic
s. for a special service or occasion"
speciality,"n an asset of special worth or utility
n a distinguishing trait
n the special line of work you have adopted as your career"
specialize,"v. become more focus on an area of activity or field of study
v. suit to a special purpose
v. devote oneself to a special area of work"
specialist,"n. an expert who is devoted to one occupation or branch of learning
n. practices one branch of medicine"
specialization,"n. the act of specializing; making something suitable for a special purpose
n. the special line of work you have adopted as your career
n. (biology) the structural adaptation of some body part for a particular function"
specific,"n. a medicine that has a mitigating effect on a specific disease
a. (sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique
s. stated explicitly or in detail
a. relating to or distinguishing or constituting a taxonomic species"
specifical,a. Specific.
specifically,r. in distinction from others
specify,"v. decide upon or fix definitely
v. determine the essential quality of
v. be specific about"
specification,"n. a detailed description of design criteria for a piece of work
n. naming explicitly
n. (patent law) a document drawn up by the applicant for a patent of invention that provides an explicit and detailed description of the nature and use of an invention"
species,"n. (biology) taxonomic group whose members can interbreed
n. a specific kind of something"
aspect,"n. a distinct feature or element in a problem
n. a characteristic to be considered
n. the beginning or duration or completion or repetition of the action of a verb"
expect,"v. regard something as probable or likely
v. look forward to the probable occurrence of
v. consider reasonable or due
v. look forward to the birth of a child"
expectation,"n. belief about (or mental picture of) the future
n. the feeling that something is about to happen"
expectancy,"n an expectation
n something expected (as on the basis of a norm)"
unexpected,a. not expected or anticipated
unexpectedly,r. in a way that was not expected
inspect,v. look over carefully
inspection,n. a formal or official examination
prospect,"n. the possibility of future success
v. search for something desirable
v. explore for useful or valuable things or substances, such as minerals"
respect,"n. (usually preceded by `in') a detail or point
n. an attitude of admiration or esteem
v. regard highly; think much of
v. show respect towards"
respectable,a. characterized by socially or conventionally acceptable morals
respected,s. receiving deferential regard
respective,s. considered individually
respectively,r. in the order given
disrespect,"n. an expression of lack of respect
n. a disrespectful mental attitude
v. show a lack of respect for"
retrospect,n. contemplation of things past
retrospection,"n. reference to things past
n. memory for experiences that are past"
suspect,"n. someone who is under suspicion
v. imagine to be the case or true or probable
v. hold in suspicion; believe to be guilty"
suspicion,"n. the state of being suspected
n. being of a suspicious nature"
suspicious,"s openly distrustful and unwilling to confide
s not as expected"
suspiciously,r. with suspicion
skeptical,"s denying or questioning the tenets of especially a religion
s marked by or given to doubt"
skepticism,"n doubt about the truth of something
n the disbelief in any claims of ultimate knowledge"
doubt,"n. the state of being unsure of something
n. uncertainty about the truth or factuality or existence of something
v. consider unlikely or have doubts about
v. lack confidence in or have doubts about"
doubtful,"s. open to doubt or suspicion
s. fraught with uncertainty or doubt
s. unsettled in mind or opinion"
doubtless,r without doubt; certainly
undoubtedly,r. without doubt; certainly
doubter,"n someone who habitually doubts accepted beliefs
n someone who is doubtful or noncommittal about something"
dubious,s. not convinced
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
speculate,"v. to believe especially on uncertain or tentative grounds
v. talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason to reach a conclusion
v. invest at a risk"
speculative,"s not financially safe or secure
s not based on fact or investigation
s showing curiosity"
conspicuous,a. obvious to the eye or mind
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
respond,v. respond favorably or as hoped
correspond,v. exchange messages
correspondence,n. communication by the exchange of letters
corresponding,"s. accompanying
s. similar especially in position or purpose"
response,"n. a result
n. a phrase recited or sung by the congregation following a versicle by the priest or minister
n. the manner in which an electrical or mechanical device responds to an input signal or a range of input signals"
sponsor,"v. assume sponsorship of
v. assume responsibility for or leadership of"
responsible,"a. worthy of or requiring responsibility or trust; or held accountable
s. being the agent or cause"
responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
irresponsibility,n. a form of untrustworthiness; the trait of lacking a sense of responsibility and not feeling accountable for your actions
stand,"n. the position where a thing or person stands
n. a growth of similar plants (usually trees) in a particular area
n. a small table for holding articles of various kinds
n. an interruption of normal activity"
withstand,"v resist or confront with resistance
v stand up or offer resistance to somebody or something"
state,"n. the territory occupied by one of the constituent administrative districts of a nation
n. the way something is with respect to its main attributes
n. the group of people comprising the government of a sovereign state
n. a politically organized body of people under a single government"
statement,"n. a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc
n. (music) the presentation of a musical theme
n. a nonverbal message
n. a document showing credits and debits"
overstate,v. to enlarge beyond bounds or the truth
statesman,n. a man who is a respected leader in national or international affairs
restate,"v to say, state, or perform again"
statue,n. a sculpture representing a human or animal
status,n. the relative position or standing of things or especially persons in a society
store,"n. a supply of something available for future use
v. keep or lay aside for future use
v. find a place for and put away for storage"
storage,"n. the act of storing something
n. the commercial enterprise of storing goods and materials
n. (computer science) the process of storing information in a computer memory or on a magnetic tape or disk"
restore,"v. return to its original or usable and functioning condition
v. give or bring back
v. bring back into original existence, use, function, or position"
stock,"n. the capital raised by a corporation through the issue of shares entitling holders to an ownership interest (equity)
n. the merchandise that a shop has on hand
n. the handle of a handgun or the butt end of a rifle or shotgun or part of the support of a machine gun or artillery gun
n. the reputation and popularity a person has"
stable,"n. a farm building for housing horses or other livestock
v. shelter in a stable
a. resistant to change of position or condition
s. firm and dependable; subject to little fluctuation"
stability,"n. the quality or attribute of being firm and steadfast
n. a stable order (especially of society)"
stabilize,"v. make stable and keep from fluctuating or put into an equilibrium
v. become stable or more stable"
steady,"v. make steady
a. not subject to change or variation especially in behavior
s. securely in position; not shaky
s. not easily excited or upset"
steadily,"r. at a steady rate or pace
r. in a steady manner"
circumstance,"n. a condition that accompanies or influences some event or activity
n. information that should be kept in mind when making a decision
n. formal ceremony about important occasions"
obstacle,"n. something immaterial that stands in the way and must be circumvented or surmounted
n. an obstruction that stands in the way (and must be removed or surmounted or circumvented)"
statistics,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
statistical,a. of or relating to statistics
statistically,r. with respect to statistics
statistician,"n. a mathematician who specializes in statistics
n. someone versed in the collection and interpretation of numerical data (especially someone who uses statistics to calculate insurance premiums)"
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
constantly,"r. without variation or change, in every case
r. without interruption"
constancy,"n. the quality of being enduring and free from change or variation
n. (psychology) the tendency for perceived objects to give rise to very similar perceptual experiences in spite of wide variations in the conditions of observation
n. faithfulness and dependability in personal attachments (especially sexual fidelity)"
distant,"a. separated in space or coming from or going to a distance
a. far apart in relevance or relationship or kinship
s. separate or apart in time
s. located far away spatially"
distance,"n. the property created by the space between two objects or points
n. a distant region
n. size of the gap between two places
n. indifference by personal withdrawal"
instant,s. in or of the present month
instantly,"r without delay or hesitation; with no time intervening
r without any delay"
instantaneous,s. occurring with no delay
substance,"n. the real physical matter of which a person or thing consists
n. material of a particular kind or constitution
n. a particular kind or species of matter with uniform properties"
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
substantially,r. in a strong substantial way
superstition,n. an irrational belief arising from ignorance or fear
establish,"v. set up or found
v. set up or lay the groundwork for
v. bring about
v. use as a basis for; found on"
establishment,"n. a public or private structure (business or governmental or educational) including buildings and equipment for business or residence
n. any large organization
n. (ecology) the process by which a plant or animal becomes established in a new habitat
n. the cognitive process of establishing a valid proof"
established,"a. brought about or set up or accepted; especially long established
s. shown to be valid beyond a reasonable doubt
s. introduced from another region and persisting without cultivation"
estate,"n. everything you own; all of your assets (whether real property or personal property) and liabilities
n. extensive landed property (especially in the country) retained by the owner for his own use"
consist,"v. have its essential character; be comprised or contained in; be embodied in
v. be consistent in form, tenor, or character; be congruous
v. be composed of"
consistent,"a. (sometimes followed by `with') in agreement or consistent or reliable
s. the same throughout in structure or composition"
consistently,r in a systematic or consistent manner
inconsistent,"a. displaying a lack of consistency
s. not capable of being made consistent or harmonious"
assist,"n. (sports) the act of enabling another player to make a good play
v. act as an assistant in a subordinate or supportive function"
assistant,n. a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
assistance,"n the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n a resource"
exist,"v. have an existence, be extant
v. support oneself"
existence,"n the state or fact of existing
n everything that exists anywhere"
existing,"s. presently existing
s. existing in something specified"
coexistence,n. existing peacefully together
insist,"v. be emphatic or resolute and refuse to budge
v. assert to be true"
insistence,"n. continual and persistent demands
n. the act of insisting on something"
persist,v. stay behind
persistence,"n the property of a continuous and connected period of time
n persistent determination
n the act of persisting or persevering; continuing or repeating behavior"
persistent,"s. never-ceasing
a. retained; not shed"
persistently,"r. in a persistent manner
r. with persistence"
resist,"v. stand up or offer resistance to somebody or something
v. withstand the force of something
v. resist immunologically the introduction of some foreign tissue or organ
v. refuse to comply"
resistant,s. impervious to being affected
resistance,"n. the action of opposing something that you disapprove or disagree with
n. any mechanical force that tends to retard or oppose motion
n. the military action of resisting the enemy's advance
n. the capacity of an organism to defend itself against harmful environmental agents"
constitute,v. form or compose
constitution,"n. the act of forming or establishing something
n. the way in which someone or something is composed
n. a United States 44-gun frigate that was one of the first three naval ships built by the United States; it won brilliant victories over British frigates during the War of 1812 and is without doubt the most famous ship in the history of the United States Navy; it has been rebuilt and is anchored in the Charlestown Navy Yard in Boston"
constitutional,"n. a regular walk taken as a form of exercise
a. of benefit to or intended to benefit your physical makeup
a. sanctioned by or consistent with or operating under the law determining the fundamental political principles of a government"
unconstitutional,a. not consistent with or according to a constitution; contrary to the U.S. Constitution
constitutionality,"n. The quality or state of being constitutional, or
   inherent in the natural frame.
n. The state of being consistent with the
   constitution or frame of government, or of being authorized by its
   provisions."
constituent,"n. a member of a constituency; a citizen who is represented in a government by officials for whom he or she votes
n. (grammar) a word or phrase or clause forming part of a larger grammatical construction
s. constitutional in the structure of something (especially your physical makeup)"
institute,"n. an association organized to promote art or science or education
v. advance or set forth in court"
institution,"n. an organization founded and united for a specific purpose
n. an establishment consisting of a building or complex of buildings where an organization for the promotion of some cause is situated
n. a custom that for a long time has been an important feature of some group or society"
institutional,"a. relating to or constituting or involving an institution
a. organized as or forming an institution"
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
stroll,v. walk leisurely and with no apparent aim
stroller,"n someone who walks at a leisurely pace
n a small vehicle with four wheels in which a baby or child is pushed around"
wander,v. go via an indirect route or at no set pace
wandering,n. travelling about without any clear destination
wonder,"n. the feeling aroused by something strange and surprising
n. something that causes feelings of wonder
v. have a wish or desire to know something
v. place in doubt or express doubtful speculation"
sting,"n. a kind of pain; something as sudden and painful as being stung
n. a painful wound caused by the thrust of an insect's stinger into skin
v. deliver a sting to
v. cause an emotional pain, as if by stinging"
stick,"n. an implement consisting of a length of wood
n. a small thin branch of a tree
n. a lever used by a pilot to control the ailerons and elevators of an airplane
n. a rectangular quarter pound block of butter or margarine"
stickness,none
sticker,"n a small sharp-pointed tip resembling a spike on a stem or leaf
n an adhesive label
n a particularly difficult or baffling question or problem
n a short knife with a pointed blade used for piercing or stabbing"
instinct,"n. inborn pattern of behavior often responsive to specific stimuli
s. (followed by `with')deeply filled or permeated"
instinctive,s unthinking; prompted by (or as if by) instinct
instinctively,r. as a matter of instinct
extinct,"a. no longer in existence; lost or especially having died out leaving no living representatives
a. (of e.g. volcanos) permanently inactive
s. being out or having grown cold"
extinction,"n. no longer active; extinguished
n. no longer in existence
n. the reduction of the intensity of radiation as a consequence of absorption and radiation"
distinct,"s. (often followed by `from') not alike; different in nature or quality
a. easy to perceive; especially clearly outlined
s. recognizable; marked"
distinctly,"r. clear to the mind; with distinct mental discernment
r. in a distinct and distinguishable manner
r. to a distinct degree"
distinctive,s. of a feature that helps to distinguish a person or thing
distinctively,r. in an identifiably distinctive manner
distinctiveness,"n a distinguishing trait
n utter dissimilarity"
distinction,"n. a distinguishing quality
n. a distinguishing difference"
distinguish,"v. mark as different
v. be a distinctive feature, attribute, or trait; sometimes in a very positive sense"
distinguished,"s. (used of persons) standing above others in character or attainment or reputation
s. used of a person's appearance or behavior; befitting an eminent person"
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
stimuli,n any stimulating information or event; acts to arouse action
spirit,"n. the vital principle or animating force within living things
n. the general atmosphere of a place or situation and the effect that it has on people
n. a fundamental emotional and activating principle determining one's character
n. any incorporeal supernatural being that can become visible (or audible) to human beings"
spiritual,"n. a kind of religious song originated by Blacks in the southern United States
s. concerned with or affecting the spirit or soul
s. lacking material body or form or substance"
spiritually,r. in a spiritual manner
inspirit,v infuse with spirit
dispirit,v lower someone's spirits; make downhearted
inspire,"v. heighten or intensify
v. supply the inspiration for"
inspiration,"n. arousal of the mind to special unusual activity or creativity
n. a product of your creative thinking and work
n. a sudden intuition as part of solving a problem"
conspire,"v. engage in plotting or enter into a conspiracy, swear together
v. act in unison or agreement and in secret towards a deceitful or illegal purpose"
conspiracy,"n. a secret agreement between two or more people to perform an unlawful act
n. a plot to carry out some harmful or illegal act (especially a political plot)
n. a group of conspirators banded together to achieve some harmful or illegal purpose"
aspire,v have an ambitious plan or a lofty goal
aspiration,"n. a will to succeed
n. a manner of articulation involving an audible release of breath"
aspiring,"v have an ambitious plan or a lofty goal
s desiring or striving for recognition or advancement"
prosper,v make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
prosperity,"n. an economic state of growth with rising profits and full employment
n. the condition of prospering; having good fortune"
prosperous,"s in fortunate circumstances financially; moderately rich
s very lively and profitable
s marked by peace and prosperity
s presaging or likely to bring good luck"
desperate,"n. a person who is frightened and in need of help
s. desperately determined
s. (of persons) dangerously reckless or violent as from urgency or despair
s. showing extreme courage; especially of actions courageously undertaken in desperation as a last resort"
despair,"n. a state in which all hope is lost or absent
n. the feeling that everything is wrong and nothing will turn out well
v. abandon hope; give up hope; lose heart"
stress,"n. the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
n. special emphasis attached to something
n. difficulty that causes worry or emotional tension
n. (physics) force that produces strain on a physical body"
distress,"n. psychological suffering
n. a state of adversity (danger or affliction or need)
n. extreme physical pain
n. the seizure and holding of property as security for payment of a debt or satisfaction of a claim"
straight,"n. a poker hand with 5 consecutive cards (regardless of suit)
s. successive (without a break)
a. having no deviations
a. (of hair) having no waves or curls"
straightforward,"s. free from ambiguity
s. pointed directly ahead"
constrain,"v hold back
v restrict"
constraint,"n. the state of being physically constrained
n. the act of constraining; the threat or use of force to control the thoughts or behavior of others"
constrained,s. lacking spontaneity; not natural
restrain,"v. keep under control; keep in check
v. to close within bounds, limit or hold back from movement
v. hold back"
restraint,"n. the act of controlling by restraining someone or something
n. discipline in personal and social activities
n. a rule or condition that limits freedom
n. a device that retards something's motion"
restrained,"s. cool and formal in manner
a. under restraint"
restraining,"v keep under control; keep in check
v place limits on (extent or access)
v to close within bounds, limit or hold back from movement
v hold back
v to compel or deter by or as if by threats"
strict,"s rigidly accurate; allowing no deviation from a standard
s (of rules) stringently enforced
a characterized by strictness, severity, or restraint
s incapable of compromise or flexibility
s severe and unremitting in making demands"
strictly,"r. restricted to something
r. in a stringent manner"
restrict,"v. place restrictions on
v. place under restrictions; limit access to
v. place limits on (extent or access)"
restriction,"n. a principle that limits the extent of something
n. the act of keeping something within specified bounds (by force if necessary)"
restrictive,"a. serving to restrict
s. (of tariff) protective of national interests by restricting imports"
stretch,"n. a large and unbroken expanse or distance
n. a straightaway section of a racetrack
n. exercise designed to extend the limbs and muscles to their full extent
n. extension to or beyond the ordinary limit"
strain,"n. (physics) deformation of a physical body under the action of applied forces
n. (psychology) nervousness resulting from mental stress
n. injury to a muscle (often caused by overuse); results in swelling and pain
n. an intense or violent exertion"
strained,s. showing signs of mental and emotional tension
strength,"n. the property of being physically or mentally strong
n. the condition of financial success"
strengthen,"v. make strong or stronger
v. gain strength"
structure,"n. a thing constructed; a complex entity constructed of many parts
n. the manner of construction of something and the arrangement of its parts
n. the complex composition of knowledge as elements and their combinations
n. a particular complex anatomical part of a living thing"
infrastructure,"n. the basic structure or features of a system or organization
n. the stock of basic facilities and capital equipment needed for the functioning of a country or area"
construct,"v. make by combining materials and parts
v. draw with suitable instruments and under specified conditions
v. create by linking linguistic units
v. create by organizing and linking ideas, arguments, or concepts"
construction,"n. the act of constructing something
n. a group of words that form a constituent of a sentence and are considered as a single unit
n. the creation of a construct; the process of combining ideas into a congruous object of thought
n. drawing a figure satisfying certain conditions as part of solving a problem or proving a theorem"
constructive,"a. constructing or tending to construct or improve or promote development
s. emphasizing what is laudable or hopeful or to the good"
reconstruct,"v. reassemble mentally
v. cause somebody to adapt or reform socially or politically"
reconstruction,"n. the period after the American Civil War when the southern states were reorganized and reintegrated into the Union; 1865-1877
n. the activity of constructing something again
n. an interpretation formed by piecing together bits of evidence"
instruct,"v. give instructions or directions for some task
v. make aware of"
instruction,n. (computer science) a line of code written as part of a computer program
instructor,n a person whose occupation is teaching
instrument,"n. a device that requires skill for proper use
n. the means whereby some act is accomplished
n. a person used by another to gain an end
v. equip with instruments for measuring, recording, or controlling"
instrumental,a. relating to or designed for or performed on musical instruments
instrumentally,"adv. By means of an instrument or agency; as means to
   an end.
adv. With instruments of music; as, a song
   instrumentally accompanied."
instrumentalist,n someone who plays a musical instrument (as a profession)
result,"n. something that results
v. issue or terminate (in a specified way, state, etc.); end
v. come about or follow as a consequence"
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
consultant,n an expert who gives advice
consultancy,n. the practice of giving expert advice within a particular field
consultation,"n. a conference (usually with someone important)
n. a conference between two or more people to consider a particular question"
insult,n. a deliberately offensive act or something producing the effect of deliberate disrespect
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
assumption,"n. a hypothesis that is taken for granted
n. the act of taking possession of or power over something
n. celebration in the Roman Catholic Church of the Virgin Mary's being taken up into heaven when her earthly life ended; corresponds to the Dormition in the Eastern Orthodox Church
n. (Christianity) the taking up of the body and soul of the Virgin Mary when her earthly life had ended"
consume,"v. serve oneself to, or consume regularly
v. spend extravagantly
v. destroy completely
v. use up (resources or materials)"
consumer,n. a person who uses goods or services
consumption,"n. the process of taking food into the body through the mouth (as by eating)
n. (economics) the utilization of economic goods to satisfy needs or in manufacturing
n. the act of consuming something"
consumerism,"n. the theory that an increasing consumption of goods is economically beneficial
n. a movement advocating greater protection of the interests of consumers"
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
presume,"v. constitute reasonable evidence for
v. take liberties or act with too much confidence"
presumably,r. by reasonable assumption
summarize,v. be a summary of
summit,"n. a meeting of heads of governments
v. reach the summit (of a mountain)"
summon,"v. call in an official matter, such as to attend court
v. ask to come"
measure,"n. any maneuver made as part of progress toward a goal
n. how much there is or how many there are of something that you can quantify
n. musical notation for a repeating pattern of musical beats
n. a container of some standard capacity that is used to obtain fixed amounts of a substance"
measurable,"a. capable of being measured
s. of distinguished importance"
dimension,"n. the magnitude of something in a particular direction (especially length or width or height)
n. one of three Cartesian coordinates that determine a position in space
v. indicate the dimensions on
v. shape or form to required dimensions"
dimensional,"a. of or relating to dimensions
s. having dimension--the quality or character or stature proper to a person; he is pasty, bland, faceless""- Norman Cousins"
immense,s unusually great in size or amount or degree or especially extent or scope
tremendous,"s extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman
s extraordinarily good or great; used especially as intensifiers
s extreme in degree or extent or amount or impact"
leisure,"n. time available for ease and relaxation
n. freedom to choose a pastime or enjoyable activity"
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
assurance,"n. freedom from doubt; belief in yourself and your abilities
n. a binding commitment to do or give or refrain from something
n. a statement intended to inspire confidence
n. a British term for some kinds of insurance"
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
insure,v. take out insurance for
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
sample,"n. a small part of something intended as representative of the whole
n. all or part of a natural object that is collected and preserved as an example of its class
v. take a sample of"
scale,"n. an ordered reference standard
n. relative magnitude
n. the ratio between the size of something and a representation of it
n. a specialized leaf or bract that protects a bud or catkin"
scene,"n. the place where some action occurs
n. an incident (real or imaginary)
n. a consecutive series of pictures that constitutes a unit of action in a film
n. a subdivision of an act of a play"
scenery,"n. the painted structures of a stage set that are intended to suggest a particular locale
n. the appearance of a place"
sight,"n. an instance of visual perception
n. anything that is seen
n. the ability to see; the visual faculty
n. a range of mental vision"
insight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
short-sighted,"s lacking foresight or scope
a unable to see distant objects clearly
s not given careful consideration"
eyesight,n. normal use of the faculty of vision
sightseer,n. a tourist who is visiting sights of interest
sightseeing,n. going about to look at places of interest
scholar,"n. a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
n. a student who holds a scholarship"
scholarly,a. characteristic of scholars or scholarship
scholarship,n. financial aid provided to a student on the basis of academic merit
scrutiny,n. a prolonged intense look
scrutinize,"v to look at critically or searchingly, or in minute detail
v examine carefully for accuracy with the intent of verification"
senior,"n. an undergraduate student during the year preceding graduation
a. older; higher in rank; longer in length of tenure or service
s. used of the fourth and final year in United States high school or college"
setback,n an unfortunate happening that hinders or impedes; something that is thwarting or frustrating
shame,"n. a painful emotion resulting from an awareness of inadequacy or guilt
n. a state of dishonor
v. compel through a sense of shame
v. cause to be ashamed"
share,"n. assets belonging to or due to or contributed by an individual person or group
n. any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate
v. have in common
v. use jointly or in common"
shareholder,n someone who holds shares of stock in a corporation
shelter,"n. a structure that provides privacy and protection from danger
n. protective covering that provides protection from the weather
n. temporary housing for homeless or displaced persons
v. provide shelter for"
shift,"n. an event in which something is displaced without rotation
n. the time period during which you are at work
n. the act of moving from one place to another
n. a crew of workers who work for a specific period of time"
slavery,"n. the practice of owning slaves
n. work done under harsh conditions for little or no pay"
source,"n. a document (or organization) from which information is obtained
n. anything that provides inspiration for later work
n. a facility where something is available
n. (technology) a process by which energy or a substance enters a system"
resource,"n. available source of wealth; a new or reserve supply that can be drawn upon when needed
n. a source of aid or support that may be drawn upon when needed
n. the ability to deal resourcefully with unusual problems"
spot,"n. a short section or illustration (as between radio or tv programs or in a magazine) that is often used for advertising
n. a small contrasting part of something
n. a section of an entertainment that is assigned to a specific performer or performance
n. a business establishment for entertainment"
spread,"n. process or result of distributing or extending over a wide expanse of space
n. a tasty mixture to be spread on bread or crackers or used in preparing other dishes
n. two facing pages of a book or other publication
n. the expansion of a person's girth (especially at middle age)"
widespread,s. widely circulated or diffused
startle,"n. a sudden involuntary movement
v. to stimulate to action
v. move or jump suddenly, as if in surprise or alarm"
startling,s. so remarkably different or sudden as to cause momentary shock or alarm
stem,"n. the tube of a tobacco pipe
v. grow out of, have roots in, originate in
v. cause to point inward
v. stop the flow of a liquid"
strategy,n. the branch of military science dealing with military command and the planning and conduct of a war
strategic,"a. relating to or concerned with strategy
s. highly important to or an integral part of a strategy or plan of action especially in war"
strike,"n. a group's refusal to work in protest against low pay or bad work conditions
n. an attack that is intended to seize or inflict damage on or destroy an objective
n. a score in tenpins: knocking down all ten with the first ball
n. (baseball) a pitch that the batter swings at and misses, or that the batter hits into foul territory, or that the batter does not swing at but the umpire judges to be in the area over home plate and between the batter's knees and shoulders"
striking,"n the physical coming together of two or more things
n the act of contacting one thing with another
v deliver a sharp blow, as with the hand, fist, or weapon
v have an emotional or cognitive impact upon
v hit against; come into sudden contact with
v make a strategic, offensive, assault against an enemy, opponent, or a target
v indicate (a certain time) by striking
v affect or afflict suddenly, usually adversely
v stop work in order to press demands
v touch or seem as if touching visually or audibly
v attain
v produce by manipulating keys or strings of musical instruments, also metaphorically
v cause to form (an electric arc) between electrodes of an arc lamp
v find unexpectedly
v produce by ignition or a blow
v remove by erasing or crossing out or as if by drawing a line
v cause to experience suddenly
v drive something violently into a location
v occupy or take on
v form by stamping, punching, or printing
v smooth with a strickle
v pierce with force
v arrive at after reckoning, deliberating, and weighing
s sensational in appearance or thrilling in effect
s having a quality that thrusts itself into attention"
strikingly,r. in a striking manner
struggle,"n. an energetic attempt to achieve something
n. strenuous effort
v. to exert strenuous effort against opposition"
strive,v. to exert much effort or energy
stubborn,a. tenaciously unwilling or marked by tenacious unwillingness to yield
stubbornly,r. in a stubborn unregenerate manner
subsequent,a. following in time or order
subsequently,r. happening at a time subsequent to a reference time
subtle,s. able to make fine distinctions
surgeon,n. a physician who specializes in surgery
surgery,"n. the branch of medical science that treats disease or injury by operative procedures
n. a room where a doctor or dentist can be consulted"
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
attachment,"n. a feeling of affection for a person or an institution
n. a supplementary part or accessory
n. a writ authorizing the seizure of property that may be needed for the payment of a judgment in a judicial proceeding"
detach,"v. cause to become detached or separated; take off
v. separate (a small unit) from a larger, especially for a special assignment
v. come to be detached"
contact,"n. close interaction
n. the act of touching physically
n. the state or condition of touching or of being in immediate proximity
n. the physical coming together of two or more things"
maintain,v. state or assert
maintenance,"n. means of maintenance of a family or group
n. the unauthorized interference in a legal action by a person having no interest in it (as by helping one party with money or otherwise to continue the action) so as to obstruct justice or promote unnecessary litigation or unsettle the peace of the community"
retain,"v. hold back within
v. allow to remain in a place or position or maintain a property or feature
v. secure and keep for possible future use or application
v. keep in one's mind"
sustain,"v. supply with necessities and support
v. admit as valid"
sustainable,a. capable of being sustained
sustainability,n. the property of being sustainable
unsustainable,none
unsustainability,none
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
obtain,v. come into possession of
obtainable,s capable of being obtained
contain,"v. be divisible by
v. be capable of holding or containing"
container,n. any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)
entertain,"v. provide entertainment for
v. take into consideration, have in view"
entertainment,n. an activity that is diverting and that holds the attention
entertaining,s. agreeably diverting
entertainer,n. a person who tries to please or amuse
protect,"v. shield from danger, injury, destruction, or damage
v. use tariffs to favor domestic industry"
protection,"n. the activity of protecting someone or something
n. the condition of being protected
n. the imposition of duties or quotas on imports in order to protect domestic industry against foreign competition
n. payment extorted by gangsters on threat of violence"
protective,"a. intended or adapted to afford protection of some kind
s. showing care
s. (usually followed by `of') solicitously caring or mindful"
safeguard,"v. make safe
v. escort safely"
detect,"v. discover or determine the existence, presence, or fact of"
detective,"n. a police officer who investigates crimes
n. an investigator engaged or employed in obtaining information not easily available to the public"
detector,"n. any device that receives a signal or stimulus (as heat or pressure or light or motion etc.) and responds to it in a distinctive manner
n. rectifier that extracts modulation from a radio carrier wave
n. electronic equipment that detects the presence of radio signals or radioactivity"
architect,n. someone who creates plans to be used in making something (such as buildings)
architecture,"n. an architectural product or work
n. the discipline dealing with the principles of design and construction and ornamentation of fine buildings
n. the profession of designing buildings and environments with consideration for their esthetic effect"
architectural,a. of or pertaining to the art and science of architecture
temporary,"n a worker (especially in an office) hired on a temporary basis
a not permanent; not lasting
s lacking continuity or regularity"
