find out,"na. 查出；发现；看清…的面目；识破
[网络] 查明；找出；了解"
run out,"跑出, 离开, 流逝, 期满, 被用完, 被放出去, 伸向, 逐出
[法] 背弃, 遗弃, 逃避"
run out of,用完
graduate from,从...毕业
in perspective,"正确地, 显示在脑海中, 符合透视法地"
incur criticism,无
in proportion,"按实际重要性, 合乎情理地"
in proportion to,与...成比例
eliminate from,从…排除
on the go,adj. 活跃的; 忙碌的
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
allow for,"虑及, 体谅"
to the contrary,相反地
at a glance,"看一眼, 一下子"
nowhere near,离...很近
in and out,"a. 时好时坏的, 暂时性的,买进卖出的"
on the alert,"警惕着, 防备着
[法] 戒备, 留意"
take heart,振作
fix on,"确定, 决定"
land in,[网络] 着陆；在……着陆；在大地点着陆
step in,"a. 一伸脚即可穿好的, 一套上即可穿好的
n. 船鞋, 女内裤"
run over,"跑过去, 溢出, 超过限度, 扼要复述, 匆匆看, 辗过
[化] 沸腾翻出"
at the instant of,无
be indicative of,"表示..., 提示..., 指示..., 暗示..."
team up,"un. 配合
[网络] 组队；家校共同教育；球员参与的社区互助活动"
make nothing of,"弄不懂, 不以...为意"
word for word,"a. 逐字的, 逐字翻译的"
explain away,"na. 巧辩过去
[网络] 把…解释过去；解释掉；辩解"
trade on,利用
trade upon,(为自私的目的)利用
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
[网络] 退房；检查；结帐"
come at,"袭击, 达到, 得到"
gender inequality,性别不平等
take a delight in,以…为乐; 喜欢
be worthy of,"值得,应得到"
plough through,"驶过,穿过,乘风破浪"
by reason of,"由于, 因为"
