Abacavir,"n. 【药】阿巴卡韦
[网络] 阿巴卡伟；阿巴卡韦及片；阿卡维尔"
propantheline,"n. 普鲁本辛；丙胺太林
[网络] 溴丙胺肽林；丙胺太林片；溴丙胺太宁"
propellant,"n. 推进剂, 发射火药, 推进者
[化] 火药"
propensity,"n. 倾向, 爱好, 习性"
properdin,(血液中)一种能消灭细菌和病毒的血清
properly,"adv. 适当地, 相当地"
property,"n. 财产, 所有权, 性质, 属性
[计] 属性"
prophase,"n. 前期
[医] 前期"
prophylactic,"a. 预防性的
n. 预防药, 预防法, 避孕用品"
prophylactically," [医]adv.预防地, 预防上"
prophylaxis,"n. 预防
[医] 预防"
propionic, [医]丙酸的
propionic acidemia,丙酸血症
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
proportional,"a. 比例的, 相称的
n. 比例项"
proposal,"n. 提议, 计划, 求婚
[经] 提案, 申请, 投标"
propranolol,[化] 普萘洛尔; 萘心安; 心得安
proprietary,"a. 所有者的, 所有权的, 私有的
n. 所有者, 业主, 所有权"
propylthiouracil,丙基硫尿嘧啶
prospective,"a. 预期的, 将来的
[经] 预期的, 未来的"
prostacyclin,[化] 前列腺环素
prostaglandin,"[化] 前列腺素
[医] 前列腺素(分F,E,A,B四型)"
prostate,"adj. 前列腺的
n. [解剖] 前列腺"
prostatectomy,[医] 前列腺切除术
prostatic,[医] 前列腺的
prostatitis,"n. 前列腺炎
[医] 前列腺炎"
prostatodynia,前列腺痛
prosthesis,"n. 弥补, 添字首音"
prosthetic,"a. 修复术的, 弥补性的, 非朊基的
[医] 修复的, 假体的"
prostrate,"a. 拜倒的, 降伏的, 俯卧的, 衰竭的, 沮丧的
vt. 弄倒, 使屈服, 使俯伏, 使平卧"
prostration,"n. 平伏, 跪倒, 疲劳, 虚脱
[医] 衰竭, 虚脱"
protamine,鱼精蛋白
protean,"a. 千变万化的, 变化不定的, (海神)普罗透斯的
[化] ┚(音田)"
protease,"n. 朊酶, 蛋白酶
[化] 蛋白酶; 蛋白水解酶"
proteasome, [医]蛋白酶体
protection,[网络] 保障
protein,"n. 蛋白质
a. 蛋白质的"
proteinaceous,"a. 朊的, 蛋白质的"
proteinuria,"n. 蛋白尿
[化] 蛋白尿"
proteolysis,"n. 解朊作用, 蛋白水解作用
[化] 蛋白水解; 蛋白水解作用"
proteolytic,"a. 解朊的, 水解蛋白质的, 蛋白水解作用的
[化] 解蛋白的; 分解蛋白的"
proteome, 蛋白质组
proteomics, 蛋白质组学
proteose,"[化]朊间质, "
proteus,"n. 普罗透斯(海神), 多变的人
[医] 变形杆菌属"
prothrombin,"n. 凝血酶原
[化] 凝血酶原; 凝血因子II"
prothrombotic,[网络] 血栓；前血栓形成；血栓阻塞性
protist,n. 原生生物
protocol,"n. 草案, 礼仪, 协议
v. 拟定
[计] 协议, 协议列表实用程序"
proton,"n. 质子
[化] 质子"
protoplasm,"n. 原生质
[医] 原生质, 原浆"
protoporphyrin,n. [化]原卟啉
prototype,"原型;样机,试制型"
protozoa,[医] 原生动物门
protozoal,"a. 原生动物的
[医] 原生动物的, 原虫的"
protozoan,"n. 原生动物
[医] 原生动物, 原虫, 原生动物的, 原虫的"
protract,"vt. 延长, 拖延, 伸出, 绘制
[法] 延迟, 拖延, 延长"
protracted,a. 拖延的
protrude,"vi. 伸出, 突出
vt. 使伸出, 使突出"
protrusion,"n. 突出, 突出部, 露出
[医] 前突, 突出"
protuberant,"a. 突起的, 招人注意的"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
province,"n. 省, 地方, 职权, 领域
[法] 省, 地方, 领域"
provirus,n. [微]前病毒
provision,[网络] 专业视力眼镜中心；邻舍能供应需要
provocation,"n. 激怒, 刺激, 挑拨
[医] 激发[作用]"
provoke,"vt. 激怒, 惹起, 诱导
[法] 刺激, 煽动, 激怒"
proximal,"a. 最接近的, 近中心的, 近身体中央的
[医] 近接的, 邻近的"
proximally, [医]adv.最近地
proximity,"n. 接近, 亲近"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
pruritic,"a. 痒的
[医] 瘙痒的, 痒的"
pruritus,"n. 瘙痒症
[医] 瘙痒"
psammoma,沙瘤
pseudo,"假,拟"
pseudoallele,"拟等位基因,假对偶基因"
pseudoaneurysm, 假动脉瘤
pseudoautosomal,[网络] 染色体
pseudodementia,[医] 假[性]痴呆
pseudogene,"n. 假遗传因子,假基因"
pseudoginseng, 田七
pseudogout,假性痛风
pseudomembranous,[医] 假膜的
pseudomonas,[医] 假单胞菌属
pseudomosaicism,无
pseudomyxoma,[医] 假粘液瘤
pseudopodium,"n. 假足, 虚足
[医] 假足, 伪足"
pseudopyloric,假幽门腺
pseudorabies,"[医]狂犬病恐怖症(其症侯类似狂犬症), 伪狂犬病"
psittacosis,"n. 鹦鹉热
[医] 鹦鹉热"
psoriasis,"n. 牛皮癣
[医] 牛皮癣, 银屑病"
psoriatic,"[医] 牛皮癣的, 牛皮癣患者"
psyche,"n. 灵魂, 精神, 普赛克(希腊神话中人类灵魂的化身)
[医] 精神, 心灵"
psychiatric,"a. 精神病学的, 医精神病的
[医] 精神病学的"
psychiatrist,n. 精神病学家，精神病医生
psychiatry,"n. 精神病学, 精神病治疗
[医] 精神病学"
psychoactive,adj. 影响心理状态的；作用于精神的
psychoanalysis,[网络] 精神分析；心理分析；精神分析学
psychodynamic,adj. 心理动力的；精神动力的
psychogenic,"[医] 精神性的, 心理性的"
psychologic,[医] 心理学的
psychologist,"n. 心理学家
[医] 心理学家"
psychology,n. 心理学；心理状态
psychometric,[网络] 心理计量
psychomotor,[网络] 儿童心理动作；心理肌动；心理激励
psychopathology,[网络] 精神病理学
psychopathy,"n. 精神病, 精神变态, 精神疗法
[医] 精神变态, 变态人格, 病态人格"
psychosensory,"[医] 精神性感觉的, 心理感觉的"
psychosis,"n. 精神病, 精神不正常
[医] 精神病"
psychosocial, 心理社会
psychosomatic,[网络] 心身；心理的
psychostimulant, 精神兴奋药
psychotherapy,"n. 精神疗法, 心理疗法
[医] 精神疗法, 心理疗法"
psychotic,"a. 精神病的
n. 精神病患者"
psychotropic,a. 治疗精神病的
pterin,n. [生化]蝶呤
puberty,"n. 青春期, 春情发动期
[医] 青春期(12-17岁)"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
publication,"n. 出版物, 出版, 公布
[经] 发布"
puerarin,葛根素
puerperal,"a. 分娩的, 产后的
[医] 产褥期的, 产后的"
puerperium,"n. 产后期
[医] 产褥期, 产后期"
puffiness,"n. 膨胀, 肿胀; 虚胖; 虚肿"
pulmonary,"a. 肺的, 与肺有关的, 有肺的
[医] 肺的"
pulmonologist,n. 胸腔科医师
pulp,"n. 果肉, 纸浆
vt. 使化成纸浆, 除去...果肉
vi. 变成纸浆"
pulsate,"vi. 搏动, 悸动, 震动
[医] 搏动"
pulsation,"n. 悸动, 震动
[化] 脉动"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
[计] 脉冲"
pump,"n. 泵；抽水机；打气筒；船鞋
v. 追问；盘问；用泵（或泵样器官等）输送；涌出
abbr. (=politically upwardly mobile personality)政治新星
[网络] 水泵；帮浦；泵浦"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击
n. (Punch)人名；(马来)蓬芝；(英)庞奇"
punctate,"a. 有小刻点的, 点状的
[医] 点状的, 穿刺液"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
[经] 准时的, 不误期的, 准时"
puncture,"n. 刺痕, 穿刺
vt. 刺穿, 刺, 揭穿
vi. 被刺穿"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
[医] 瞳孔"
pupillary,[医] 瞳孔的
purgation,"n. 清洁, 净化, 洗罪, 通便
[医] 催泻"
purification,"n. 纯化, 提纯, 涤罪
[化] 提纯"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
purine,n. 【化学、生物化学】嘌呤，尿(杂)环，四氮杂茚；咖啡碱
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
purpura,"n. 紫癜
[医] 紫癜"
purpuric,"a. 紫癜的
[医] 紫癜的"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
purulence,"n. 脓, 化脓
[医] 脓性, 化脓"
purulent,"a. 脓的, 化脓性的, 化脓的
[医] 脓性的"
pus,足
putrefaction,"n. 腐败
[医] 腐败[作用], 腐化[作用]"
putrefactive,"a. 腐败的, 易腐败的, 使腐败的
[医] 腐败的, 腐化的"
putrid,"a. 腐败的
[医] 腐败的, 恶臭的"
puzzle,[网络] 难题
pycnometer,"n. 比重计
[化] 比重瓶"
pyelectasis,[医] 肾盂扩张
pyelocystitis,[医] 肾盂膀胱炎
pyelography,n. [医]肾盂造影术
pyelonephritis,n. [医]肾盂肾炎
pyelostomy,[医] 肾盂造口术
pyemia,"n. 脓毒症, 脓血症
[医] 脓毒症, 脓血症"
pyknosis,"n. [生化]固缩(现象),细胞致密变化"
pyloric,"a. 幽门的
[医] 幽门的"
pyloroplasty,幽门成形术
pylorus,"n. 幽门
[医] 幽门"
pyogenic,"a. [医]生脓的,化脓的"
pyonephrosis,脓性肾病
pyothorax,脓胸
pyquiton,吡喹酮
pyrazinamide,吡嗪酰胺
pyrexia,"n. 发热, 热病
[医] 发热"
pyridoxine,n. 【化学】吡哆醇；维生素B₆
pyrimethamine,"n. [药]乙嘧啶,息疟定"
pyrimidine,"n. 嘧啶
[化] 嘧啶"
pyrogen,"n. 致热质, 发热原
[医] 热原, 致热物"
pyrogenic,"发热的, 由热引起的, 热性的
[医] 引起发热的, 致热的"
pyrola,n. [植]鹿蹄草
pyrosequencing,[网络] 焦磷酸测序；焦磷酸测序技术；焦磷酸测序法
pyrosis,"n. 胃灼热
[医] 胃灼热"
pyruvate,n. [化]丙酮酸盐(或酯)
pyuria,"n. 脓尿
[医] 脓尿"
quack,"n. 鸭叫声, 冒牌医生, 冒充内行之人
a. 冒牌医生的
v. 嘎嘎叫, 当冒牌医生, 夸大广告"
quadrant,"n. 四分之一圆, 象限, 象限仪
[医] 四分体, 象限"
quadrate,"a. 正方形的, 长方形的
n. 正方形, 方骨
vt. 使适合, 使一致"
quadratipronator,[医] 旋前方肌
quadriceps,"n. 四头肌
[医] 四头肌, 四头的"
quadriplegia,"n. 四肢瘫痪
[医] 四肢麻痹, 四肢瘫"
quadruplet,"n. 四个构成的一组, 成套的四件, 四胞胎之一
[医] 四胎儿"
qualification,"n. 资格, 条件, 限制
[计] 限定"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
qualitative,"a. 性质的, 质的, 定性的"
qualitatively,adv. 质量上
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
[计] 品质"
quantifiable,a. 可以计量的
quantify,"vt. 定量, 用数量表示, 测量"
quantitate,"vt. 测定...的数量, 用数量表示, 估计...的数量
[医] 定量"
quantitation," [医]定量, 测数量; 作定量估计"
quantitative,"a. 数量的, 定量的
[医] 定量的, 数量的"
quantitatively,"adv. 量, 数量上, 定量"
quantity,"n. 量, 数量, 总量
[计] 数量; 量"
quarantine,"n. 隔离, 封锁交通, 检疫期
vt. 隔离, 排斥"
quartan,"a. 每第四天复发的
n. 三日症"
quartz,"n. 石英
[化] 石英"
quaternary,"a. 四个一组的, 四元的, 四价的, 季的
[计] 四进制的, 四元的"
quest,[网络] 寻求
questionnaire,调查表
quickening,"n. 胎动初期
a. 加快的, 活跃的"
quick-frozen,冻的
quiescent,"a. 静止的, 不活动的, 寂静的
[医] 静息的, 静止的"
quinidine,"n. 奎尼丁
[化] 奎尼丁; 奎尼定"
quinine,"n. 奎宁
[化] 奎宁; 金鸡纳碱; 金鸡纳霜"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
[计] 结束, 退出"
quota,"n. 配额, 限额
[化] 定额"
quotient,"n. 商, 份额
[计] 商"
rabies,"n. 狂犬病
[医] 狂犬病, 咬病"
raceme,"n. 总状花序
[化] 外消旋体; 外消旋物; 总状花序"
racemization,n. [化] 外消旋作用
radial,"a. 光线的, 光线状的, 放射状的, 半径的, 径向的
n. 光线, 射线"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
radiation,"n. 辐射
[化] 放射"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
radically,"adv. 根本地, 完全地"
radicular,"a. 根的, 小根的"
radioactive,adj. [核] 放射性的；有辐射的
radioactivity,n. 放射性；[核] 放射能力；[核] 放射现象
radiochemical,"n. 已含放射性同位素的化学物质
adj. 放射化学的"
radiograph,"n. 射线照片, 射线照相
vt. 拍射线照片"
radiographer,"n. 射线照相技师
[医] 放射照相技术员"
radiography,放射线照片术
radioimmunoassay,放射性免疫分析
radioimmunometric,无
radioiodine,[网络] 放射物质
radioisotope,[医] 放射性同位素
radiolabel,v. 对…作放射性同位素示踪
radioligand,放射性配体
radiologic,"a. 辐射学, 放射学
[医] 放射学的"
radiologically,adv. radiological的变形
radiology,"n. 辐射学, 放射学
[医] 放射学"
radiolucent,"a. 射线可透过的
[医] 射线透射的, X线可透的"
radionuclide,"放射性核素, 放射性核种"
radiopaque,"a. 辐射不能显著穿透的
[医] 不透X线的, 不透射线的"
radiopharmaceutical,n. 【药物】(诊断或治疗使用的)放射性药物
radiopharmaceutics,放射药剂学
radioprotector,n. 辐射防护药物
radioreceptor,[生]辐射感受器
radiosensitizer,[化] 放射致敏剂
radiotherapy,n. 放射疗法
radiotoxicology,n. 辐射毒害学
radishseed,萝卜籽
radium,"n. 镭
[化] 镭Ra"
radon,"n. 氡
[化] 氡Rn"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行
n. (Rage)人名；(丹)拉厄"
rale,"n. 罗音, 水泡音
[医] 音"
raman,n. 拉曼（姓氏）；拉曼（印度物理学家）
rampant,"a. 猖獗的, 蔓生的, 猛烈的, 跃立作扑击状的"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
randomize,"vt. 使随机化
[计] 随机化"
randomly,"adv. 偶然, 胡乱, 无目的, 任意, 随便, 任取, 无规则, 机遇, 胡乱地, 任意地, 随便地
[计] 随机地"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
[计] 量程; 范围; 域; 距离"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
[计] 秩"
rapamycin, 纳巴霉素；雷怕霉素；雷帕霉素
rapidity,"n. 迅速, 急速, 速度"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
ratemeter,定率计
ratio,"n. 比, 比率
[医] 比, 比率, 比例"
rational,"a. 理性的, 合理的
n. 有理数"
rationale,"n. 基本原理
[医] 原理, 理论"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
ravage,"n. 破坏, 蹂躏
v. 毁坏, 破坏, 掠夺"
reabsorb,vi. 再吸附；重吸收
reabsorption,再吸收
reaction,"n. 反应, 反作用, 反动
[医] 反应"
readily,"adv. 迅速地, 轻易地, 乐意地"
reagent,"n. 试剂, 反应物
[化] 试剂"
reaginic, [医]反应素的
realgar,"n. 雄黄
[化] 雄黄"
realm,"n. 王国, 领土, 领域
[计] 领域"
real-world, 真实世界
reanimate,vt. 鼓舞；使复活；使恢复生气
rearrangement,"重排列, 重新安排"
reasonable,adj. 合理的，公道的；通情达理的
reasonably,"adv. 适度地, 相当地"
reassurance,"n. 安心, 放心, 再保证"
reassure,"vt. 使…安心, 使消除疑虑"
recall,[网络] 召回；汽车召回制度；招回
recanalisation,管道再造
recapitulate,"v. 重述要点, 概括, 摘要"
receptacle,"n. 容器, 花托, 插座
[医] 容器, [接]受器, 花托"
reception,"n. 接待, 接受, 招待会
[医] 接受, 感受"
receptive,"a. 能接纳的
[医] 接受的, 感受的"
receptor,"n. 受体, 感觉器官
[化] 接受器; 受体"
recess,"n. 休息, 休会, 放假, 凹进处, 深处
vt. 使凹进
vi. 休假, 休息"
recessive,"a. 后退的, 逆行的, 隐性的
n. 隐性性状"
recessively, 逆行的
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
reclosure,[化] 再次接入
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
[电] 认识"
recognizable,"a. 可认识的, 可承认的, 可识别的
[法] 可被认出的, 可辩认的, 可被承认的"
recognize,[网络] 重新认知；认清
recombinant,"n. 重组, 重组物"
recombination,n. 复合，再结合；[遗] 重组
recommend,"vt. 推荐, 介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
reconfirm,vt. 再确认；再证实
reconstitution,"n. 重新组建, 重新构建"
reconstruction, 重构
reconstructive,"a. 再建的, 改造的"
recount,"n. 覆算, 覆算票数
v. 覆算"
recoverability,可复(原)性
recovery,"n. 恢复, 复原, 痊愈, 重获
[计] 恢复"
recreational,"a. 消遣的, 娱乐的"
recruitment,"n. 新兵征召
[医] 募集[反应], 募集[现象](生理), 复聪(耳科)"
rectal,"a. 直肠的
[医] 直肠的"
rectovaginal,直肠阴道的
rectum,"n. 直肠
[医] 直肠, 背侧肛(动物)"
recumbent,"a. 斜靠着的, 躺着的, 不活泼的, 休息着的
[医] 斜卧的, 躺着的"
recuperation,"n. 恢复
[医] 复原, 恢复"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
recurrence,"n. 再现, 再发生, 反复, 循环
[医] 复发, 再发"
recurrent,[网络] 再发
redistribute,vt. 重新分配；再区分
redress,"v. 再给…穿上；重新包扎(伤处)
[网络] 重新给…穿衣；重新装扮；再穿衣"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
[计] 缩小"
reduced,a. 减少的；简化的；缩减的
reducible,"a. 可缩小的, 可降低的
[医] 可复位的, 可还原的"
reduction,"n. 减少, 缩影, 变化
[化] 还原"
redundancy,"n. 过多, 冗长, 累赘, 多余, 冗余位, 冗余度, 冗余码, 多余信息
[计] 冗余"
reemphasize,[网络] 再次强调
reentry,"n. 【宇】重返大气层；再进入；【法】所有权的收回
[网络] 再入；再上场；入境签证"
reestablish,"v. 重建；使复元；使复职
[网络] 重新建立；恢复；再引弧"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
referable,"a. 可归诸...的, 与...有关的"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
[计] 引用"
referral,"n. 参照, 介绍, 被介绍人, 转诊病人"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
refined,"a. 精炼的, 优雅的, 精细的
[医] 精制过的, 精练过的"
refinement,"n. 精致, 高尚, 精巧
[医] 精制, 精练"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
[计] 反射"
reflex,"n. 反射, 反射光, 映像
a. 反射的, 折转的
vt. 使折转, 使折回"
reflux,"n. 逆流, 退潮
[化] 回流"
refraction,"n. 折光, 折射
[医] 折射, 屈光"
refractive,"a. 折射的, 有折射力的
[医] 折射的, 屈光的"
refractory,"a. 不听话的, 执拗的, 难治疗的, 耐火的
[医] 不应的(期), 难治的, 顽固性的"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
[计] 刷新, 重新整理"
refrigerate,"vt. 使冷却, 使清凉, 冷藏
[机] 冷冻"
refrigeration,"n. 冷却, 冷藏, 冷冻
[计] 致冷"
refutation,"n. 反驳, 辩驳, 反驳的证据
[计] 反驳"
refute,"vt. 反驳, 驳斥；驳倒"
regenerate,"vt. 使再生；革新
vi. 再生；革新
a. 再生的；革新的"
regeneration,n. [生物][化学][物] 再生，重生；重建
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
[医] 制度, 生活制度"
regimen,"n. 养生法, 常规强化训练课, 体制, 情态
[医] 制度, 生活制度"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
[计] 区, 区域"
regional,"a. 地方的, 地域性的
[医] 区的, 部位的"
registrar,"n. 记录者, 登记者, 登记官员
[医] 登记员, 挂号员, 专科住院医师"
registration,"n. 登记, 挂号, 注册
[计] 登记; 定位; 对齐; 记录"
regression,"n. 退步, 回归
[计] 回归"
regressive,"a. 后退的, 退化的, 回归的
[医] 退化的, 退行的, 消退的, 回归的"
regularity,"n. 规则性, 匀整, 正规, 经常
[医] 规律性"
regularly,"adv. 有规则地, 一丝不苟地, 正式地"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
[经] 控制, 管理"
regulation,"n. 规则, 管理, 调整
[计] 调整; 规章; 规则; 调节"
regulatory,adj. 管理的；控制的；调整的
regurgitant,"[医] 回流的, 反流的"
regurgitate,"v. (使)回涌, (使)回流, (使)反胃"
regurgitation,"n. 回流, 逆流, 反刍
[医] 回流, 反流, 反胃"
rehabilitate,"vt. 恢复原状, 修复, 使康复
[法] 恢复, 使恢复心理健康, 修复"
rehabilitation,"n. 复原
[医] 复原, 恢复, 康复"
rehabilitative,"a. 使复原的, 复职的"
rehmannia,地黄
rehydration, 复水
reimplant,再植
reimplantation,[医] 再植[入]术
reinfection,再感染
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
rejection,"n. 拒绝, 抛弃, 驳回, 被抛弃的东西, 呕出物
[化] 报废; 拒收"
rejoin,"vi. 答辩；回答；重新聚合
vt. 再加入；使…再结合；再回答"
rejuvenate,"vt. 使年轻, 使复原, 使恢复精神
vi. 返老还童, 复原"
relapse,"n. 回复, 故态复萌, 复发
vi. 故态复萌, 再陷邪道, 再度堕落"
relatedness,"n. 与…有亲戚关系, 有关系"
relationship,n. 关系；关联
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
relaxant,"a. 弛缓的
n. 弛缓药"
relaxation,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
[化] 松弛; 驰豫"
release,"vt. 释放；发射；让与；允许发表
n. 释放；发布；让与"
relevance,n. 有关；贴切；中肯；确切；相关(性)；相应；成比例；重大意义；实用性
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
[法] 有关的, 相关的"
reliability,"n. 信度, 可靠性
[计] 可靠性"
reliable,"a. 可靠的, 可信赖的
[法] 可靠的, 可信赖的, 确实的"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
[法] 信任, 信赖, 信心"
reluctant,"a. 不情愿的, 勉强的
[法] 不愿的, 勉强的, 难以处理的"
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
[计] 余数"
remarkable,"a. 不平常的, 值得注意的, 显著的"
remarkably,"adv. 显著地, 引人注目地, 非常地"
remedial,"a. 治疗的, 补救的, 矫正的
[医] 治疗的"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
reminiscence,"n. 回想, 回忆, 怀旧, 话旧"
reminiscent,"a. 回忆的, 怀旧的
n. 往事叙述者, 回忆录作者"
remission,"n. 宽恕, 豁免, 免罪, 缓和, 减轻
[医] 缓解, 弛张"
remittent,"a. 张弛性的, 缓解的
n. 弛张热"
remodeling,n. 重塑；改建；重构（remodel进行式）
remodelling,(re-model 的现在分词) vt. 改造；改变；改型
removal,"n. 移动, 移居, 迁移, 排除, 切除
[医] 切除, 除去"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
[计] 删除"
renal,"a. 肾脏的, 肾的
[医] 肾的"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
renin,"n. 肾素, 高血压蛋白原酶, 高血压蛋白的酶原
[化] 肾素; 血管紧张肽原酶"
renogram,"n. [医]肾X光照片,肾探测图"
renography,"[医]肾X线照相术, 肾造影照片"
renovascular,a. [解][医]肾血管(性)的
rent,n. [口语]爸；妈
reoperation, 再手术
re-orientation, [医]重新定向
reovirus,"n. [微]呼肠孤病毒, 呼吸道肠道病毒"
reperfusion, [医]再灌注
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
repetitive,"a. 重复的, 反复性的"
replace,"vt. 取代, 代替；替换, 更换；归还, 偿还；把…放回原处"
replacement,n. 更换；复位；代替者；补充兵员
replant,vt. 改种；移植；移居
replenish,"vt. 把...重新补足, 把...再装满
vi. 被再装满, 充满"
replenishment,"n. 补给, 补充"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
replication,"n. 回答, 反响, 复制, 第二次答辩, 折转, 弯回
[化] 复制"
replicative,"a. 重复的,复制的"
repolarization,"复极化, 恢复极化"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
representation,[网络] 再现
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
reproducibility,"[计] 再现情, 笪复情
[化] 实验室间重复性; 再现性"
reproduction,"n. 再现, 复制, 生殖, 繁殖, 复制品
[医] 生殖, 复现(心理)"
reproductive,"a. 生殖的, 再生的, 复制的
[医] 生殖的, 复现的"
repulsion,"n. 击退, 排斥力, 反感
[医] 排斥, 斥力"
require,"vt. 需要, 命令, 要求
[法] 需要, 要求, 命令"
required,a. 必需的
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
resect,"vt. 切除, 割除
[医] 切除"
resectable,"a. 可切除的, 能切除的
[医] 可切除的"
resection,"n. 切除术
[医] 切除[术]"
resemblance,"n. 相似处, 类似, 肖像"
resemble,"vt. 相似, 类似"
reserpine,"n. 利血平
[化] 利血平; 血安平"
reservation,"n. 保留, 预定, 保留品, 保留地
[经] 预定, 预约, 权益保留"
reserve,[网络] 再服务
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
reshaped,(re-shape 的过去分词) vt. 改造；再成形
reside,"vt. 住，居住；属于
n. (Reside)人名；(英)雷赛德"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
