accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
screw,"n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼vt.调节,旋,加强,压榨,强迫,鼓舞vi.转动,旋,拧"
sculpture,"n.雕刻,雕刻品,雕塑,雕塑品,[地理] 刻蚀v.雕刻,雕塑,刻蚀"
seize,"v.抓住,逮住,夺取vt.没收,查封"
seminar,"n.研究会,讨论发表会"
senate,"n.参议院,上院"
sentiment,"n.情操,情感,情绪,观点,多愁善感,感情"
sequence,"n.次序,顺序,序列"
session,"n.会议,开庭"
shallow,"adj.浅的,浅薄的"
sheer,"adj.全然的,纯粹的,绝对的,彻底的,透明的,峻峭的vi.避开,躲避,偏航vt.使避开,使偏航adv.完全,全然,峻峭n.偏航"
shortcoming,"n.缺点,短处"
shorthand,n.速记
shrink,"v.收缩,(使)皱缩,缩短"
signify,"vt.表示,意味vi.要紧,有重要性v.颇为重要,表示"
simulate,"vt.模拟,模仿,假装,冒充"
simultaneous,"adj.同时的,同时发生的"
sin,"n.[俗] 违背习俗,不合情理之事,过失,罪过,[数学] 正弦函数"
skim,v.撇去
skyscraper,"n.摩天楼,高丛的烟囱"
slogan,"n.口号,标语"
slum,n.贫民窟vi.访问贫民区
sly,adj.狡猾的
smog,n.烟雾
snack,"n.小吃,快餐,一份v.吃快餐(小吃)"
sneak,"vi.鬼鬼祟祟做事vt.偷偷摸摸地做,<口>偷窃n.鬼鬼祟祟的人,偷偷摸摸的行为,<美口>帆布胶底运动鞋adj.暗中进行的"
soar,"v.高飞,高丛,滑翔,剧增,昂扬n.高飞范围,高涨程度"
sociable,"adj.好交际的,友善的,增进友谊的,喜欢群居的"
solidarity,n.团结
somewhat,"adv.稍微,有点,有些"
spacecraft,n.太空船
spark,"n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电vi.闪烁,发火花,求婚vt.发动,鼓舞,使有朝气,求婚"
specialist,"n.专门医师,专家"
speciality,"n.特性,特质,专业,特殊性"
spectacle,"n.观览物,展览物,公开展示,奇观,景象,光景,(a pair of ～s)眼镜"
spectrum,"n.光,光谱,型谱 频谱"
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
spill,"n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量vt.使溢出,使散落,洒,使流出,使摔下,倒出vi.溢出,涌流,充满"
spite,"n.(in ～ of)不顾,不管,敌意v.困扰"
split,"v.劈开,(使)裂开,分裂,分离n.裂开,裂口,裂痕"
spouse,n.配偶(指夫或妻)
staff,"n.棒,杖,杆,支柱,全体职员,[军]参谋机构,[音]五线谱vt.供给人员,充当职员"
standpoint,"n.立场,观点"
statesman,n.政治家
steady,"adj.稳固的,稳定的,坚定的,扎实的,坚定不移的v.(使)稳定,(使)稳固"
steer,"v.驾驶,掌舵"
storage,"n.贮藏(量),贮藏库,存储"
stream,"n.溪,川,流,一股,一串,河流v.流,涌,流注"
stretch,"v.伸展,伸长n.一段时间,一段路程,伸展"
striking,"adj.打击的,显著的,惊人的,罢工的"
strip,"vt.剥,剥去n.条,带"
stripe,"n.斑纹,条纹"
stroll,"n.漫步,闲逛,四处流浪v.闲逛,漫步,跋涉于"
stumble,"v.绊倒,使困惑,蹒跚,结结巴巴地说话,踌躇n.绊倒,错误"
subjective,"adj.主观的,个人的"
subsequent,"adj.后来的,并发的"
successive,"adj.继承的,连续的"
sue,"vt.控告,向...请求,请愿vi.提出诉讼,提出请求"
suite,"n.(一批)随员,(一套)家具,套房,套,组,组曲"
sum,"n.总数,和,金额,算术题"
summarize,"v.概述,总结,摘要而言"
summarise,v.<主英> =summarize
summon,"v.召集,召唤,号召,鼓起,振作"
superb,"adj.庄重的,堂堂的,华丽的,极好的"
superfluous,"adj.多余的,过剩的,过量的"
superiority,"n.优越,高傲"
surrender,"vt.交出,放弃,使投降,听任vi.投降,自首n.交出,放弃,投降 投降算了"
swarm,"n.蜂群,一大群v.涌往,挤满,密集,成群浮游,云集"
swing,"v.摇摆,摆动,回转,旋转n.秋千,摇摆,摆动"
symbol,"n.符号,记号,象征"
sympathetic,"adj.有同情心的,合意的,赞成的n.[解]交感神经,容易感受的人"
sympathize,"vi.同情,共鸣,同感,同意,吊唁"
sympathise,vi.<主英> =sympathize
symphony,"n.交响乐,交响曲"
symposium,"n.讨论会,座谈会"
tag,"n.标签,鞋带、绳子等末端的金属物,垂下物,附属物,名称,标记符,陈词滥调,结束语vt.加标签于,紧随,添饰,起浑名,连接vi.紧随"
temperament,"n.气质,性情,易激动,急躁"
tension,"n.紧张(状态),不安,拉紧,压力,张力,牵力,电压vt.拉紧,使紧张"
tentative,"n.试验,假设adj.试验性的,试探的,尝试的,暂定的"
terminal,"n.终点站,终端,接线端adj.末期,每期的,每学期的"
terminate,"v.停止,结束,终止"
terrific,adj.令人恐怖的
threshold,"n.开始,开端,极限"
thrift,"n.节俭,节约,[植]海石竹"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
throne,"n.王座,君主"
timber,"n.木材,木料"
toast,"n.烤面包(片),吐司面包,干杯vt.敬酒,烤(面包等),使暖和vi.烤暖,烤火,烘"
toil,"n.辛苦,苦工,网,罗网,圈套vi.苦干,跋涉,费力地做"
toll,"n.通行税(费),费,代价,钟声vt.征收,敲钟,鸣(钟)(特指宣布死亡),勾引,引诱vi.征税,鸣钟"
torture,"n.折磨,痛苦,拷问,拷打vt.拷问,曲解,折磨,使弯曲"
toss,"v.投,掷"
transient,"adj.短暂的,瞬时的n.瞬时现象"
transistor,n.[电子]晶体管
transmission,"n.播送,发射,传动,传送,传输,转播"
tremble,"n.战栗,颤抖vi.战栗,发抖,震动,(树叶等)摇晃.摇动,焦虑vt.挥动,用颤抖的声音说出"
tremendous,"adj.极大的,巨大的"
tribute,"n.贡品,礼物,颂词,殷勤,贡物"
trifle,"n.琐事,少量,蛋糕,小事v.开玩笑,玩弄,闭混,浪费,嘲弄"
tuition,n.学费
tune,"n.曲调,调子,和谐,合调vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪"
turnover,"n.翻覆,翻折,半圆卷饼,流通量,营业额,周转adj.有一部分翻转的,可翻转的"
ultimate,"adj.最后的,最终的,根本的n.最终"
unanimous,"adj.意见一致的,无异议的"
underestimate,"vt.低估,看轻n.低估"
underground,"adj.地下的,地面下的,秘密的n.[英] 地铁adv.在地下,秘密地"
undertake,"vt.承担,担任,许诺,保证v.采取"
undo,"vt.解开,松开v.取消 撤消"
undoubtedly,"adv.无庸置疑地,的确地"
uneasy,"adj.心神不安的,不自在的,不稳定的,不舒服的adv.心神不安地,不自在地,不稳定地"
upward,"adj.向上的,(声调)声高的adv.以上"
up-to-date,
urban,"adj.城市的,市内的"
utilize,vt.利用
utilise,vt.<主英>=utilize
vacuum,"n.真空,空间,真空吸尘器adj.真空的,产生真空的,利用真空的vt.用真空吸尘器打扫"
vanity,n.空虚
vehicle,"n.交通工具,车辆,媒介物,传达手段"
velocity,"n.速度,速率,迅速,周转率"
verdict,"n.[律](陪审团的)裁决,判决,判断,定论,结论"
verge,v.濒临n.边缘
veteran,"n.老兵,老手,富有经验的人,退伍军人adj.老兵的,经验丰富的"
vicious,"adj.恶的,不道德的,恶意的,刻毒的,堕落的,品性不端的,有错误的"
violent,"adj.猛烈的,激烈的,暴力引起的,强暴的"
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇"
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
vivid,"adj.生动的,鲜明的,鲜艳的,大胆的,清晰的,活泼的,逼真的"
vocabulary,"n.词汇,词汇量,词表"
vocal,"adj.发嗓音的,声音的,有声的,歌唱的n.元音,声乐作品"
vocation,"n.召唤,号召,天命,天职,特殊的适应性,才能,行业,职业"
vulgar,"adj.粗俗的,庸俗的,普通的,通俗的,本土的n.<古>平民,百姓"
wander,"vi.漫步,徘徊,迷路,迷失方向,离题"
ward,"n.守卫,保卫,保护,牢房,病房,行政区,监护,锁孔vt.守护,保卫,防止,挡住,躲开,避免"
wardrobe,"n.衣柜,衣厨,衣室,衣服,行头,剧装"
warehouse,"n.仓库,货栈,大商店vt.贮入仓库,<俚>[经]以他人名义购进(股票)"
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
weary,"adj.疲倦的,厌倦的,令人厌烦的,疲劳v.疲倦,厌倦,厌烦"
weave,"n.编法,织法,编织vt.编织,组合,编排,使迂回前进vi.纺织,迂回行进,摇晃n.织法,织物"
whirl,"v.(使)旋转,急动,急走n.旋转,—连串快速的活动"
whisper,"n.耳语,私语,密谈,谣传,飒飒的声音vi.耳语,密谈,飒飒地响vt.低声说"
wholesome,"adj.卫生的,有益的,健康的,有益健康的"
wit,"n.智力,才智,智慧"
withhold,"vt.使停止,拒给,保留,抑制vi.忍住"
worthy,"n.杰出人物,知名人士adj.有价值的,应...的,可敬的,值得的,相称的"
wrap,"n.外套,围巾,包裹,秘密,约束,限制vt.包装,卷,缠绕,包,覆盖,裹,遮蔽,隐藏vi.缠绕,重叠,穿外衣,包起来"
zeal,"n.热心,热情,热诚"
abdomen,"n.腹,腹部"
abnormal,"adj.反常的,变态的"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
accessory,"n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
accommodation,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合"
accordance,"n.一致,和谐"
accumulate,"v.积聚,堆积"
accustom,vt.使习惯于
acrobat,"n.(走钢丝的)杂技演员,随机应变者,翻云覆雨者"
adjacent,"adj.邻近的,接近的"
adjective,n.形容词
adjoin,"v.邻接,毗连"
advanced,"adj.高级的,年老的,先进的"
adventure,"n.冒险,冒险的经历v.冒险"
adverse,"adj.不利的,敌对的,相反的"
aesthetic,"adj.美学的,审美的,有审美感的"
affection,"n.友爱,爱情,影响,疾病,倾向"
affluent,"adj.丰富的,富裕的"
agitate,"v.搅动,摇动,煽动,激动"
air-conditioning,
aircraft,n.航行器
aisle,"n.走廊,过道"
album,"n.集邮本,照相簿,签名纪念册"
alienate,v.疏远
allegiance,"n.忠贞,效忠"
allocate,"vt.分派,分配"
alloy,"n.合金vt.使成合金,减低成色"
alphabet,n.字母表
aluminum,n.[化]铝
aluminium,n.[化]铝adj.铝的
ambassador,n.大使
amend,"v.修正,改进,改正"
amplifier,"n.[电工]扩音器,放大器"
amplify,"vt.放大,增强v.扩大"
analog,"n.类似物,相似体"
analogue,"n.相似物,类似情况,对等的人"
anguish,"n.痛苦,苦恼vt.使极苦闷,使极痛苦vi.感到痛苦"
anniversary,n.周年纪念
antenna,n antenae <动>触角 (antenna)n.天线
anyhow,"adv.无论如何,总之"
ape,
apologize,"vi.道歉,辩白"
apologise,vi.<英>=apologize
appal,v.惊骇
appall,"vt.使胆寒,使惊骇"
apparatus,"n.器械,设备,仪器"
appendix,"n.附录,附属品,[解]阑尾"
applaud,"v.拍手喝彩,称赞,赞同"
applause,"n.鼓掌欢迎,欢呼"
appraisal,"n.评价,估价(尤指估价财产,以便征税),鉴定"
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
apt,"adj.易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是"
archaeology,n.考古学
architect,n.建筑师
arrogant,"adj.傲慢的,自大的"
artery,"n.动脉,要道"
ascend,"v.攀登,上升"
ascertain,"vt.确定,探知"
ashamed,"adj.惭愧的,羞耻的"
ashore,"adv.向岸地,在岸上地"
assassinate,"vt.暗杀,行刺"
assignment,"n.分配,委派,任务,(课外)作业"
assumption,"n.假定,设想,担任,承当,假装,作态,圣母升天"
astronaut,"n.太空人,宇航员"
auction,n.拍卖vt.拍卖
audio,"adj.音频的,声频的,声音的"
audit,"n.审计,稽核,查帐vt.稽核,旁听vi.查账"
auditorium,"n.听众席,观众席,<美>会堂,礼堂"
aural,adj.听觉的
automation,"n.自动控制,自动操作"
avail,"vi.有益于,有帮助,有用,有利vt.有利于n.效用,利益"
avenue,"n.林荫道,大街,方法,途径,路"
aviation,"n.飞行,航空,航空学,航空术"
awe,n.敬畏vt.敬畏
axis,
bacon,"n.咸肉,熏肉"
badge,"n.徽章,证章"
badminton,n.羽毛球
baggage,"n.行李,[军] 辎重"
bail,"n.保释,保证金,保证人v.保释,舀水"
balcony,"n.阳台,包厢,(戏院)楼厅"
bald,"adj.光秃的,单调的,枯燥的"
bandage,n.绷带
bankrupt,"n.破产者adj.破产了的,完全丧失vt.使破产"
banner,"n.旗帜,横幅,标语"
banquet,n.宴会
barbecue,n.吃烤烧肉的野餐
bare,"adj.赤裸的,无遮蔽的,空的vt.使赤裸,露出"
bark,"n.树皮,吠声v.吠,咆哮,剥树皮"
barren,"adj.不生育的,不孕的,贫瘠的,没有结果的,无益的,单调的,无聊的,空洞的n.荒地"
basement,"n.地下室,墙脚"
basin,"n.盆,盆地,水池"
bat,"n.蝙蝠,球棒v.用球棒击球 [计] 批处理文件的扩展名 [军] Basic Armor Training,装甲兵基础训练"
batch,"n.(面包等)一炉,一批,批处理"
battery,"n.电池,殴打"
belly,"n.腹部,胃vi.涨满"
beloved,"adj.心爱的n.所爱的人,爱人"
benign,"adj.(病)良性的,(气候)良好的,仁慈的,和蔼的"
beverage,n.饮料
beware,"v.小心,谨防"
bewilder,"vt.使迷惑,使不知所措,使昏乱"
bibliography,"n.(有关一个题目或一个人的)书目,参考书目"
blast,"n.一阵(风),一股(气流),爆炸,冲击波vt.爆炸,,毁灭,使枯萎,损害"
blaze,"n.火焰,光辉,情感爆发vi.燃烧,照耀,激发vt.在树皮上刻路标,公开宣布"
bleed,"v.使出血,放血"
blend,vt.混和n.混和
bloom,"n.花,旺盛,青春v.(使)开花,(使)繁盛"
blunder,"v.跌跌撞撞地走,犯大错,做错n.大错,失误"
blunt,"adj.钝的,生硬的"
blur,"v.涂污,污损(名誉等),把(界线,视线等)弄得模糊不清,弄污n.污点"
blush,"v.脸红,羞愧,呈现红色,使成红色n.脸红,红色,红光"
bold,adj.大胆的n.粗体
bolt,"n.门闩,螺钉,闪电,跑掉v.上门闩,囫囵吞下,逃跑"
bosom,"n.胸部,胸,胸怀,内心,内部,中间,任何温暖、舒适而熟悉的地方vt.怀抱,隐匿"
bounce,"v.(使)反跳,弹起,(指支票)被银行退票,弹跳n.(球)跳起,弹回"
bow,"n.弓,乐弓,弓形,鞠躬,船首v.鞠躬,弯腰"
brace,"n.支柱,带子,振作精神vt.支住,撑牢,振作起来,奋起adj.曲柄的v.支持"
bracket,"n.墙上凸出的托架,括弧,支架v.括在一起"
brandy,"n.白兰地酒,(夹心)糖果"
brass,"n.黄铜,黄铜制品,厚脸皮"
breach,"n.违背,破坏,破裂,裂口vt.打破,突破"
briefcase,"n.(扁平的,柔韧的,装文件,书报的)公文包"
brilliant,"adj.灿烂的,闪耀的,有才气的"
brim,"n.(杯,碗等)边,边缘,(河)边vt.注满,使满溢vi.满溢"
brisk,"adj.敏锐的,凛冽的,轻快的,活泼的vt.使活泼vi.活跃起来"
brittle,"adj.易碎的,脆弱的"
brochure,n.小册子
bronze,"n.青铜(铜与锡合金),铜像adj.青铜色的"
broom,"n.扫帚,[植]金雀花vt.扫除"
brow,"n.眉毛,额,(面部)表情"
browse,"v.n.浏览,吃草,放牧"
brutal,"adj.残忍的,兽性的"
bucket,"n.桶,一桶的量,[桶壮物]铲斗"
bud,"n.芽,蓓蕾vi.发芽,萌芽"
buffet,"n.餐具柜,小卖部,殴打,打击v.打击,搏斗"
bug,"n.小虫,臭虫,缺陷,错误;v.装置窃昕器,打扰"
bullet,n.子弹
bulletin,"n.公告,报告"
bully,"n.欺凌弱小者vt.威吓,威逼"
bump,"n.撞击,肿块v.碰(伤),撞(破),颠簸"
bunch,"n.串,束v.捆成一束"
bundle,"n.捆,束,包v.捆扎"
burden,"n.担子,负担v.负担"
bureau,"n.办公桌,衣柜 <美>局,办公署"
buzz,"n.嗡嗡声v.作嗡嗡声,嗡嗡作响,逼近"
cab," 一种压缩文件格式;n.出租马车,出租汽车,计程车,(机车,卡车,起重机的)司机室,驾驶室vi.乘出租马车"
cabinet,"n.(有抽屉或格子的)橱柜,<美>内阁adj.<美>内阁的,小巧的"
cable,"n.电缆,海底电报,缆,索v.打(海底)电报"
café,
cafeteria,n.自助餐厅
calcium,n.[化]钙(元素符号Ca)
canal,"n.运河,小道,导管,槽,沟渠vt.开运河"
cannon,"n.大炮,加农炮v.炮轰"
canteen,"n.小卖部,食具箱,饭盒,(军用)水壶"
canvas,v.彻底讨论探究n.帆布
capsule,"n.(植物)蒴果,胶囊,瓶帽,太空舱"
carbohydrate,"n.[化]碳水化合物,醣类"
cardinal,"n.枢机主教,红衣主教adj.主要的,最重要的"
caress,"n.爱抚,接吻vt.抚爱"
cargo,"n.船货,(车、船、飞机等运输的)货物"
carpenter,n.木匠
carriage,"n.马车,客车,运费,姿态,(机械)车架"
cashier,"n.(商店等的)出纳员,(银行或公司的)司库"
catalog,"n.目录,目录册v.编目录"
catalogue,n.目录
catastrophe,"n.大灾难,大祸"
cathedral,n.大教堂
cemetery,"n.墓地,公墓"
censorship,"n.审查机构,审查制度"
cereal,"n.谷类食品,谷类"
certainty,"n.确定,确实的事情"
certify,"v.证明,保证"
champion,"n.冠军,拥护者,战士vt.拥护,支持"
chaos,"n.混乱,混沌(宇宙未形成前的情形)"
chap,
charity,"n.慈善,施舍,慈善团体,"
charm,"n.吸引力,(女人的)魔力,魅力,符咒vt.迷人,使陶醉,行魔法vi.用符咒,有魔力"
chart,"n.海图,图表vt.制图"
chat,v.聊天n.聊天
chemist,"n.化学家,药剂师"
chest,"n.胸腔,胸膛,箱,柜"
chew,"vt.咀爵(食物等)v.咀嚼,认真考虑"
chill,"n.寒意,寒战,寒心adj.寒冷的,扫兴的v.使冷,变冷,冷藏"
chin,"n.下巴,下颚"
circular,"adj.圆形的,循环的n.函件 通知"
civilian,"n.平民,公务员,文官adj.民间的,民用的"
clap,"n.拍手声,霹雳声v.鼓掌,轻拍"
clasp,"n.扣子,钩,紧握,抱住v.扣紧,紧握,搂抱,密切合作"
classification,"n.分类,分级"
clay,"n.粘土,泥土,肉体,人体,似黏土的东西,陶土制的烟斗"
clergy,"n.(集合称)圣职者,牧师,僧侣,神职人员"
climax,"n.高潮,顶点"
clockwise,adj.顺时针方向的adv.顺时针方向地
clone,"n.无性系,无性繁殖,克隆v.无性繁殖,复制"
clumsy,adj.笨拙的
clutch,"v.抓住,攫住n.离合器"
coalition,"n.合并,接合,联合"
coarse,"adj.粗糙的,粗鄙的"
cohesive,adj.粘着的
coil,"v.盘绕,卷"
collide,"vi.碰撞,抵触"
collision,"n.碰撞,冲突"
colonel,"n.陆军上校,团长"
comedy,"n.喜剧,喜剧性的事情"
comet,n.彗星
commemorate,vt.纪念
commend,"vt.称赞,表扬,推荐,委托,吸引"
commonplace,"n.平凡的事,平常话adj.平凡的"
commonwealth,"n.国民整体,共和国,联邦"
communism,n.共产主义
compartment,"n.间隔间,车厢"
compass,"n.罗盘,指南针,[pl.] 圆规v.包围"
compassion,"n.同情,怜悯"
complicate,v.(使)变复杂
composite,"adj.合成的,复合的n.合成物"
comprise,"v.包含,由...组成"
concession,n.让步
congratulate,"vt.祝贺,庆贺,恭喜"
congratulation,"n.祝词,贺辞"
conquest,n.征服n.战利品
conscientious,adj.尽责的
consecutive,"adj.连续的,联贯的"
considerate,adj.考虑周到的
console,"vt.安慰,藉慰n.[计] 控制台"
consult,"v.商量,商议,请教,参考,考虑"
contagious,"adj.传染性的,会感染的"
contaminate,v.污染
contemplate,"v.凝视,沉思,预期,企图"
continual,"adj.连续的,频繁的,持续不断的"
converge,"v.聚合,集中于一点vt.会聚"
conversion,"n.变换,转化"
cooperative,"adj.合作的,协力的"
cord,"n.绳索,束缚"
cordial,"n.兴奋剂,兴奋性饮料adj.热忱的,诚恳的,兴奋的"
correspondent,"n.通讯记者,通信者"
corridor,n.走廊
corrode,"v.使腐蚀,侵蚀"
cosmic,adj.宇宙的
cosy,"adj.舒适的,安逸的"
cozy,"adj.舒适的,安逸的,惬意的"
county,"n.县,郡"
courtesy,"n.谦恭,允许,礼貌"
