relationship,n. 关系；关联
authentic,"a. 可靠的, 可信的, 真正的
[法] 被认证的, 确认的, 可信的"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
sticky,"a. 粘的, 有粘性的, 顽固的"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
technique,"n. 技巧, 技术, 方法
[化] 工艺方法; 技巧"
inflation,"n. 胀大, 夸张, 通货膨胀
[化] 充气吹胀; 膨胀"
prohibit,"vt. 禁止, 阻止
[经] 禁止"
donation,"n. 捐赠物, 捐款, 捐赠
[经] 赠品, 捐款, 捐赠"
despair,"n. 绝望, 失望
vi. 绝望"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
jail,"n. 监牢, 监狱, 拘留所
vt. 监禁, 下狱"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
disappoint,vt. 使失望
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
[计] 实用程序, 工具"
utilize,vt. 利用
utilise,"vt. 利用, 运用, 使用"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
[计] 趋势预测"
attorney,"n. 代理人, 律师
[经] 律师, 代理人"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
trim,[网络] 太安科技；降雨指数
grave,[网络] -坟
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
assess,"vt. 估定, 对...征税, 评定
[经] 估计, 估价, 确定(税款罚款等)的金额"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
[计] 笔划"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
calculate,"v. 计算, 预测, 计划, 打算"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
[医] 插话, 插曲, 发作"
mere," [医]〔后缀〕意为指节, 体节或部分"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
victim,"n. 受害人, 牺牲者, 牺牲品
[法] 受害人, 被害人, 遭难者"
lane,[网络] 局域网仿真技术
client,"n. 客户, 顾客, 委托人
[计] 客户, 客户机, 客户机程序"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
[医] 吸[气]"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
fraction,"n. 小部分, 破片, 分数
[医] 部分, 成分, 分散"
habitual,"a. 习惯的, 惯常的, 平常的
[法] 习惯的, 以习惯为常业的, 惯常的"
landlord,"n. 房东, 地主
[经] 业主, 地主, 房东"
psychology,n. 心理学；心理状态
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
elegant,"a. 优雅的, 端庄的, 高雅的"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
stale,[网络] 鲸的故事
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
[电] 持续"
intact,[网络] 完好无缺
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
collision,"n. 碰撞, 冲突, 抵触
[计] 冲突"
drown,"vi. 淹死
vt. 把...淹死, 淹没"
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
honesty,"n. 诚实, 公正, 正直"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
[计] 堆积, 堆栈"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
exemplify,"vt. 例证, 例示
[法] 制作经公章证明的誊本, 例证"
simplify,"vt. 单一化, 简单化"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
surgery,"n. 外科, 手术, 手术室, 换球术"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
fate,"n. 命运, 运气
vt. 注定"
seal,[网络] 那太简单了
scenery,"n. 风景, 景色, 舞台布景"
selection,"n. 选择, 选文, 精选品
[医] 选择, 淘汰"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
[计] 底纹"
appropriate,"adj. 适当的
vt. 占用；拨出"
vitamin,"n. 维生素
[化] 维生素"
definite,"a. 明确的, 一定的
[法] 明确的, 确切的, 一定的"
correspond,"vi. 符合, 通信, 相当
[法] 符合, 一致, 相当"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
[医] 入射, 发生率, 发生数"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
[计] 缺点, 错误"
rural,"a. 乡下的, 田园的, 乡村风味的
[法] 农村的, 乡村的, 有关农业的"
comprehension,"n. 理解, 包含"
comprehensive,"a. 广泛的, 有理解力的, 综合的
[经] 广泛的, 综合的, 全面的"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
[计] 记号"
consultant,"n. 顾问, 征询意见者
[医] 顾问医师"
glorious,a. 光荣的
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
inadequate,"a. 不充分的, 不适当的
[法] 不充分的, 不适当的"
precise,"a. 精确的, 严谨的, 明确的
[机] 精密的, 正确的"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
avenue,"n. 大街, 途径, 林荫路"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
[计] 导出"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
[经] 准时的, 不误期的, 准时"
wholly,"adv. 完全地, 整个, 统统, 全部
[法] 完全地, 统统地"
invisible,"a. 看不见的, 无形的
[经] 无形的, 表面上看不见的, 未列在公开帐目的"
context,[网络] 语境；文化与境；历史文本的脉络交织
pretend,"v. 假装, 伪称, 自命, 自称"
corps,"corps
[kɔ:]
n.
【军事】(特殊兵种的)部队；军团
(共同工作者)团体，队，团
[废语]尸体
变形：
n.
corps"
compel,"vt. 强迫, 迫使"
remark,[网络] 重新标记
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
[计] 中级"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
mislead,vt. 误导
urgent,"a. 紧急的, 急迫的, 催逼的
[经] 紧急的, 急迫的"
applause,n. 欢呼，喝采；鼓掌欢迎
detection,[科技] 探测
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
[计] 流"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
[法] 罢工的, 罢市的, 罢课的"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
orchestra,"n. 管弦乐队, 乐队演奏处"
dissolve,"v. 溶解, 解散"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
recycle, [电影]鬼域; 异域
fabric,"n. 织物, 布, 结构, 构造, 建筑物
[经] 组织, 建筑物, 工厂"
underneath,"adv. 在下面
prep. 在...的下面"
bunch,"n. 串, 束
[医] 骨肿块(马)"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
vague,"a. 含糊的, 不清楚的, 茫然的"
undermine,"vt. 破坏, 渐渐破坏；挖掘地基"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
[法] 强入, 侵犯, 侵略"
diagnose,v. 诊断
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
ancestor,"n. 祖先, 祖宗"
soak,"vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透
vi. 浸泡；渗透
n. 浸；湿透；大雨"
gaze,[网络] -凝视
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
[计] 暂停"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
[计] 反转"
log, = -logue
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
suspicion,"n. 怀疑, 觉察, 嫌疑
[法] 怀疑, 疑心, 嫌疑"
approval,"n. 赞成, 批准
[化] 核准"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
appoint,"vt. 任命, 指定, 下令
[法] 派, 派任, 任命"
prevail,"vi. 获胜, 流行, 盛行
[医] 流行, 盛行"
confirmation,"n. 证实, 证明, 批准, 确认
[计] 确认"
decorate,v. 装饰
tedious,"a. 沉闷的, 冗长乏味的"
economical,济的，节省的
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
[计] 浏览"
slippery,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的
[法] 狡猾的, 不可靠的, 不安定的"
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
[计] 存放处; 存储"
senator,"n. 参议员, (某些大学的)理事
[法] 参议员, 上议员"
limitation,[网络] 局限性
imitate,"vt. 模仿, 效法, 冒充, 仿造"
ownership,n. 所有权；物主身份
miracle,"n. 奇迹, 奇事"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
influential,"a. 有影响的, 有势力的"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
[计] 仍能工作, 继续工作"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
horror,"n. 惊骇, 恐怖, 惨状
[医] 恐怖, 恐惧"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
[计] 传送"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
hydrogen,"n. 氢
[化] 氢H-2"
collective,"a. 集体的, 聚集的, 共同的
[医] 集体的, 集合的"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
capable,"a. 有能力的, 能的, 能干的"
sin,"n. 罪恶；罪孽；过失
vi. 犯罪；犯过失
vt. 犯罪
n. (Sin)人名；(罗)西恩；(匈)欣；(柬、阿拉伯)辛；(缅)信"
swift,"swift
[swift]
adj.
迅速的，快速的，快速进行的
突然发生的；立刻的
敏捷的，反应快的
立即作出的，到来(或作出)得快的；短暂的
机警的；动辄…的(与 to 连用)
adv.
[多用以构成复合词]快，迅速地；敏捷地
n.
【鸟类】雨燕科(Apodidae)鸟类
[亦作 swift moth,ghost moth]【昆虫】蝙蝠蛾[蝙蝠蛾科(Hepialidae)蛾]
【动物】(爬行迅速的)小蜥蜴( = spiny lizard)
【纺织业】
绷架；纱框；箴子
(梳棉机等的)大滚筒；大锡林
变形：
adj.
swifter
. swiftest"
underline, 腹线
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
portable,"a. 可携带的, 可搬运的, 可移动的
[计] 可移植的"
profile,微机条形码
radiation,"n. 辐射
[化] 放射"
symbolic,"a. 象征的, 符号的
[电] 符号化"
subsequent,adj. 后来的，随后的
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
react,"vt. 重做, 重演"
frontier,"n. 边界, 边境
[法] 国境, 边境, 边界"
publicity,"n. 名声, 宣传, 公开场合
[经] 宣传, 广告"
loosen,"vt. 放松, 松开, 解除
vi. 变松, 松弛"
destruction,"n. 破坏, 毁灭
[医] 破坏"
deputy,n. 副手，代理人
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
[化] 组织"
agreeable,"a. 令人愉快的, 同意的
[医] 佳适的"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
[计] 机柜"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
[计] 段"
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
apparent,"a. 清晰可见的, 显然的, 表面上的
[电] 外在的"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
variation,"n. 变更, 变化, 变种, 变奏
[医] 变异, 变易; 变度"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
[计] 方式; DOS外部命令:设定各种设备命令"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
[计] 阴影"
grasp,"v. 理解；领会；抓紧；明白
n. 领会；紧握；控制；紧抓
[网络] 抓住；掌握；抓牢"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
riot,"n. 暴动, 喧闹, 放纵
vi. 发动, 暴动, 纵情, 放荡
vt. 浪费, 挥霍"
assemble,"vt. 集合, 收集, 装配
vi. 集合
[计] 汇编"
assembly,"n. 与会者, 集会, 装配, 组件
[化] 装配
[计] 汇编语言"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
refusal,"n. 拒绝, 推却, 优先决定权
[法] 拒绝, 谢绝, 取舍权"
concerning,"prep. 关于
[法] 关于"
agenda,"pl. 议程, 日常工作事项
[计] 待议事件"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
fame,"n. 名望, 名声, 传说"
continuous,"a. 连续的, 继续的, 连续不断的
[计] 连续的"
duration,"n. 持续时间, 持续
[计] 持续时间"
nationwide,a. 全国的
paperwork,日常文书工作
handy,"a. 便利的, 敏捷的, 容易取得的
[化] 便于使用的; 易操作的"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
[医] 核的"
membership,"n. 会员的资格, 全体会员, 会员数目
[法] 会员资格, 成员资格, 会籍"
humankind,人类
cautious,"a. 谨慎的, 小心的"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
[机] 洗衣作, 洗衣店, 洗衣房"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
gum,"n. 树胶, 橡皮, 橡皮糖, 牙床, 老天
vt. 涂以树胶, 用胶粘, 使有粘性
vi. 分泌树胶, 发粘"
indirect,"a. 间接的, 非直截了当的, 不坦率的
[医] 间接的"
artificial,"a. 人造的, 假的, 非原地产的
[医] 人工的, 人造的, 伟牟"
knot,"n. 结, 群, 难题
v. 打结, (使)纠缠"
sway,[网络] 在…的路上；终极手段；挤出一条路
resist,"vi. 抵抗，抗拒；忍耐
vt. 抵抗；忍耐，忍住
n. [助剂] 抗蚀剂；防染剂"
resistant,"adj. 抵抗的，反抗的；顽固的
n. 抵抗者"
bonus,"n. 奖金, 红利
[经] 奖金, 红利, 额外补贴"
logic,"n. 逻辑；逻辑学；逻辑性
a. 逻辑的"
logical,"a. 合逻辑的, 合理的；逻辑学的"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
[经] 承兑, 认付, (工程)验收"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accordingly,"adv. 相应地, 因此, 于是"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
[计] 扇区"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
[计] 手写体, 小型程序"
barrier,"n. 障碍, 栅栏
[化] 势垒; 阻片; 阻挡层"
attraction,"n. 吸引, 吸引人的事物, 吸引力
[医] 吸引"
soda,"n. 苏打, 碳酸水
[化] 纯碱; 苏打; 碳酸钠"
petroleum,"n. 石油
[化] 石油"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
personally,adv. 亲自地；当面；个别地；就自己而言
repeatedly,"adv. 重复地, 再三地"
printing,"n. 印刷, 印刷术, 印花
[计] 打印; 印刷"
rod,"n. 竿, 笞鞭, 小枝
[化] 棒"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
architect,"n. 建筑师, 设计者, 缔造者"
journal,"n. 日记, 杂志, 日报
[化] 轴颈"
rational,"a. 理性的, 合理的
n. 有理数"
contestant,"n. 竞争者
[法] 争辩者, 竞争者"
assert,"vt. 主张, 坚称, 断言
[法] 宣称, 断言, 维护"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
probable,"a. 很可能的, 大概的, 可信的
n. 很有希望的候选人, 很可能的事情"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
[法] 严厉的, 苛刻的, 严重的"
vessel,"n. 船, 容器, 脉管
[医] 管, 脉管, (容)器"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
religion,"n. 宗教, 信仰
[法] 宗教, 宗教信仰, 信仰"
cruelty,"n. 残酷, 野蛮, 残酷行为
[法] 残酷, 残忍, 虐待"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
commerce,"n. 商业, 商务, 贸易
[经] 商业, 贸易, 商务"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
[计] 格式; DOS外部命令:对磁盘进行格式化"
reform,"v. 再作；改编(军队等)；(飞机在攻击后)重新编队
[网络] 扣帐"
rail,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡
vt. 以横木围栏, 给...铺铁轨
vi. 责骂, 抱怨"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
carriage,"n. 马车, 客车, 举止, 运输
[经] 搬运费, 运费"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
manufacturer,"n. 制造业者, 厂商
[经] 制造人, 制造商, 制造厂"
boundary,"n. 边界, 分界线
[计] 边界"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
extensive,"a. 广的, 广泛的, 多方面的
[经] 广大的, 扩大的"
frighten,"vt. 使惊吓
vi. 惊恐"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
definition,"n. 定义, 精确度, 清晰度
[计] 清晰度; 清晰度"
angle,[网络] -角度
angle,[网络] -角度
ankle,"n. 踝
[医] 踝, 踝关节"
considering,"prep. 鉴于…，考虑到；就…而论
adv. [口语]细细想来，通盘考虑起来；总而言之
conj. 考虑到，鉴于；就…而言"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
farewell,进展顺利
outlook,"n. 观点, 景色, 前途, 了望
[经] 展望"
respective,"a. 分别的, 各自的"
strap,"n. S型存水弯
[网络] 地排污；排污中心离墙；抗酒石酸酸性磷酸酶"
classification,"n. 分类, 分级
[化] 分级; 分粒; 分类"
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
mug,"n. 有柄大杯, 脸, 苦读者
vt. 给...拍照, 攻击, 苦读
vi. 拼命用功"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
thirst,"n. 口渴, 渴望
vi. 口渴, 渴望"
liberty,"n. 自由, 特权, 许可, 冒失
[法] 自由, 自由权, 自由区域"
convention,"n. 大会, 协定, 惯例, 约定
[计] 约定"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
[计] 水平"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
[计] 修补; 拼凑"
span,[=starch-polyacrylonitrile]淀粉-聚丙烯腈
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
resemble,"vt. 相似, 类似"
beneath,"prep. 在...下方
adv. 在...下方"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
ridiculous,"a. 荒谬的, 可笑的"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
[医] 锐敏的; 精细的"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
kneel,[地名] 尼湖 ( 加 )
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
ridge,"n. 脊, 山脊, 山脉
[医] 嵴, 脊, 棱线"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
[化] 承包; 承担"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
expel,"vt. 驱逐, 逐出, 排出, 开除
[医] 排除, 迫出"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
molecule,"n. 分子, 些微
[化] 分子"
behalf,"n. 利益, 方面"
screw,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼
vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索
vi. 转动, 旋, 拧"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
worthwhile,"na. 有…的价值；有利益的
[网络] 值得；值得的；值得去做"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
operational,"a. 操作的, 运作的
[法] 操作上的, 业务上的, 可起作用的"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
trifle,"n. 琐事, 少量
vt. 浪费
vi. 开玩笑, 翻弄, 虚度光阴"
applicable,"a. 合适的, 可应用的
[法] 适用的, 适应的"
democracy,"n. 民主政治, 民主主义
[法] 民主, 民主政治, 民主政体"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
abolish,"vt. 废止, 革除, 消灭
[经] 废除, 取消, 裁撤"
publication,"n. 出版物, 出版, 公布
[经] 发布"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
statue,"vt. 以雕像装饰
n. 雕像"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
omit,"vt. 省略, 删除, 疏忽, 遗漏
[化] 省略"
diagram,n. 图表；图解
literacy,"n. 读写能力, 识字, 精通文学"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
rotten,"a. 腐烂的, 恶臭的, 堕落的, 风化的, 虚弱的
[经] 腐烂的, 堕落的"
static,"a. 静态的；静电的；静力的
n. 静电；静电干扰"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
[计] 变量"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
[化] 肥料"
nourish,"vt. 滋养, 使健壮, 怀有"
