coda,"n.乐章结尾部,完结部,终结句"
prodigious,adj.巨大的
supercilious,"adj.自大的,傲慢的,目空一切的"
punctilious,"adj.拘泥细节的,谨小慎微的,一丝不苟的,"
abstemious,"adj.有节制的,节约的"
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
euphonious,adj.悦耳
ceremonious,"adj.讲究仪式的,隆重的"
acrimonious,"adj.严厉的,辛辣的"
parsimonious,"adj.吝啬的,节俭的"
sanctimonious,adj.假装神圣的
harmonious,"adj.和谐的,协调的,和睦的,悦耳的"
impecunious,"adj.(经常)没有钱的,身无分文的,贫穷的"
pious,"adj.虔诚的,尽责的"
impious,"adj.不尊敬的,无信仰的,不虔诚的"
copious,"adj.很多的,广识的,丰富的"
precarious,adj.不稳定的
vicarious,adj.代理人的
nefarious,"adj.邪恶的,穷凶极恶的"
multifarious,"adj.种种的,各式各样的"
gregarious,"adj.社交的,群居的"
hilarious,adj.欢闹的
opprobrious,"adj.嘴不干净的,无礼的,粗野的,该骂的,可耻的"
lugubrious,"adj.(尤指故意装出来的)可怜的,悲惨的,悲哀的"
salubrious,adj.有益健康的
imperious,adj.专横的
deleterious,"adj.有害的,有毒的"
laborious,"adj.(指工作)艰苦的,费力的,(指人)勤劳的"
industrious,"adj.勤勉的,刻苦的"
illustrious,adj.杰出的
spurious,"adj.伪造的,假造的,欺骗的"
luxurious,"adj.奢侈的,豪华的"
ostentatious,"adj.装饰表面的,卖弄的"
fractious,"adj.易怒的,倔强的,脾气不好的"
rambunctious,"adj.粗暴的,骚乱的,难控制的"
facetious,"adj.幽默的,滑稽的,喜开玩笑的"
seditious,"adj.煽动性的,妨害治安的"
propitious,adj.吉利的
fictitious,"adj.假想的,编造的,虚伪的,习惯上假定的,假想的,假装的,小说中的"
repetitious,adj.重复的
adventitious,"adj.偶然的,外来的"
surreptitious,"adj.暗中的,秘密的,偷偷摸摸的"
licentious,adj.放肆的
tendentious,"adj.有倾向的,有偏见的"
conscientious,adj.尽责的
unpretentious,"adj.不骄傲的,谦逊的"
contentious,"adj.好争吵的,争论的,有异议的"
captious,"adj.吹毛求疵的,挑剔的"
bumptious,"adj.盲目自夸的,盲目自大的,傲慢的"
obsequious,"adj.谄媚的,奉承的,拍马屁的"
devious,"adj.偏僻的,迂回的,曲折的"
oblivious,"adj.遗忘的,忘却的,健忘的"
impervious,"adj.不让进入,不会受到损伤的,密封的,不受影响的"
noxious,adj.有害的
scandalous,adj.诽谤性的
anomalous,"adj.不规则的,反常的"
libelous,"adj.(=libellous) 损害名誉的,用言语中伤他人的"
perilous,adj.危险的
scurrilous,"adj.说话粗鄙恶劣的,使用低级粗俗语言的,嘴损的,下流的"
callous,"adj.无情的,冷淡的,硬结的,起老茧的"
frivolous,"adj.轻佻的,琐碎的,妄动的"
fabulous,"adj.寓言中的,寓言般的,神话般的,传统上的,惊人的,难以置信的"
nebulous,"adj.星云的,云雾状的,模糊的,朦胧的"
meticulous,adj.小心翼翼的
credulous,adj.轻信的
sedulous,adj.坚韧不拔的
scrupulous,"adj.小心谨慎的,细心的"
querulous,"adj.鸣不平的,发牢骚的,易怒的,暴躁的"
garrulous,"adj.饶舌的,啁啾的,多嘴的"
infamous,adj.声名狼籍的
pusillanimous,"adj.懦弱的,胆小的,优柔寡断的"
unanimous,"adj.意见一致的,无异议的"
anonymous,adj.匿名的
synonymous,adj.同义的
diaphanous,"adj.透明的,精致的"
indigenous,adj.本土的
ravenous,"adj.贪婪的,渴望的,狼吞虎咽的"
heinous,"adj.可憎的,极恶的"
ominous,"adj.预兆的,恶兆的,不吉利的"
luminous,"adj.发光的,明亮的"
voluminous,"adj.卷数多的,大部分的,著书多的,容积大的,体积大的,丰满的,长篇的,庞大的"
numinous,"adj.精神上的,超自然的"
glutinous,adj.粘性的
synchronous,"adj.同时的,[物]同步的"
monotonous,"adj.单调的,无变化的"
pompous,adj.华而不实的
barbarous,"adj.野蛮的,残暴的,粗野的,(声音)刺耳的,沙哑的"
ludicrous,"adj.可笑的,滑稽的,愚蠢的"
ponderous,"adj.沉重的,笨重的,冗长的,沉闷的,(指问题等)呆板的"
vociferous,"adj.大声叫的,喊叫的"
treacherous,"adj.背叛的,背信弃义的,奸诈的,叛逆的"
cantankerous,"adj.脾气坏的,爱吵架的,刚愎的,任性的"
onerous,"adj.繁重的,费力的,负有法律责任的"
obstreperous,"adj.喧嚣的,任性的"
prosperous,adj.繁荣的
boisterous,"adj.狂暴的,喧闹的"
preposterous,adj.荒谬的
dexterous,"adj.灵巧的,惯用右手的"
chivalrous,"adj.有武士风度的,侠义的"
decorous,adj.有礼貌的
indecorous,adj.不合礼节的
malodorous,adj.有恶臭的
vigorous,"adj.精力旺盛的,有力的,健壮的"
dolorous,"adj.忧伤的,悲痛的"
glamorous,"adj.富有魅力的,迷人的"
timorous,adj.胆小的
sonorous,adj.醒目的
porous,adj.多孔渗水的
lustrous,"adj.有光泽的,光辉的"
covetous,"adj.贪婪的,妄羡的"
infelicitous,"adj.不吉利的,不幸的,不合适的"
solicitous,adj.热切期望的
duplicitous,
precipitous,"adj.陡峭的,急躁的"
circuitous,adj.迂回线路的
ubiquitous,"adj.到处存在的,(同时)普遍存在的"
gratuitous,"adj.免费的,无理由的"
momentous,"adj.重大的,重要的"
portentous,adj.预示性的
vacuous,"adj.空虚的,茫然若失的,无所事事的,空洞的"
conspicuous,adj.显著的
innocuous,"adj.无害的,无毒的,无伤大雅的,不得罪人的"
assiduous,"adj.勤勉的,刻苦的"
arduous,"adj.费劲的,辛勤的,险峻的"
ambiguous,"adj.暧昧的,不明确的"
contiguous,"adj.邻近的,接近的,毗边的"
mellifluous,"adj.如蜜般的,流畅的"
superfluous,"adj.多余的,过剩的,过量的"
ingenuous,"adj.坦白的,自然的,直率的"
disingenuous,adj.无诚意的
strenuous,"adj.奋发的,使劲的,紧张的,热烈的,艰辛发奋的"
tenuous,adj.纤细的
sinuous,"adj.蜿蜒的,错综复杂的,动作复杂的,不老实的"
fatuous,"adj.愚昧的,昏庸的,发呆的,愚笨的,自满的"
unctuous,"adj.油似的,油质的,松软肥沃的"
impetuous,"adj.冲动的,猛烈的,激烈的"
sumptuous,"adj.奢侈的,华丽的"
presumptuous,adj.专横的
voluptuous,"adj.艳丽的,奢侈逸乐的"
virtuous,"adj.善良的,有道德的,贞洁的,有效力的"
tortuous,"adj.曲折的,转弯抹角的"
tempestuous,"adj.有暴风雨的,暴乱的"
mischievous,"adj.有害的,恶作剧的,淘气的,为害"
consensus,"n.一致同意,多数人的意见,舆论"
detritus,n.碎石
nexus,"n.连结,关系"
offbeat,adj.不规则的
upbeat,"n.[音]弱拍,上升,兴旺adj.乐观的,欢乐的"
browbeat,"v.恫吓,吓唬"
entreat,"v.恳求,乞求,<古>对待,对付"
caveat,"n.[律]中止诉讼手续的申请,警告,告诫"
éclat,
turncoat,"n.背叛者,变节者"
gloat,v.心满意足
spat,"n.[动] 蚝卵,口角,掌击vi.一巴掌打去,争吵"
squat,"v.蹲坐,蹲伏n.蹲坐adj.蹲着的"
enact,"vt.制定法律,颁布,扮演"
detract,v.转移
retract,"v.缩回,缩进,所卷(舌等),收回,取消,撤消"
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
protract,v.延长
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
distract,v.转移
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
tact,"n.机智,手法,老练,角觉vt.对(刺激)操作性应答vi.(以言语或声音)操作性应答"
disinfect,vt.消毒
abject,"adj.卑鄙的,可怜的"
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
deject,"vt.使沮丧,使灰心"
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
deflect,"v.(使)偏斜,(使)偏转"
reflect,"v.反射,反映,表现,反省,细想"
aspect,"n.样子,外表,面貌,(问题等的)方面"
circumspect,"adj.慎重的,周到的"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
resurrect,v.复兴
dissect,"v.把...解剖(动植物等),切开仔细研究,把...切成碎片"
contradict,"vt.同...矛盾,同...抵触"
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
indict,"vt.起诉,控告,指控,告发"
interdict,v.阻断
derelict,adj.被抛弃了的n.遗弃物
evict,"v.驱逐,逐出(租户),收回(租屋、租地等)"
sacrosanct,adj.极神圣的
succinct,"adj.简洁的,紧身的,压缩在小范围内的"
extinct,"adj.熄灭的,灭绝的,耗尽的vt.<古>使熄灭"
adjunct,"n.附件,助手adj.附属的"
concoct,"vt.调制,调合,编造"
obstruct,"v.阻隔,阻塞,遮断(道路、通道等)n.阻碍物,障碍物"
construct,"vt.建造,构造,创立"
abet,"vt.教唆,煽动,帮助,支持"
dulcet,"adj.愉快的,美妙的,悦耳的,<古> 美味的,有香味的"
fleet,"n.舰队(尤指有固定活动地区的舰队),港湾,小河adj.快速的,敏捷的,浅的adv.浅vt.消磨vi.疾驰,飞逝,掠过"
meet,"n.会,集会adj.适宜的,合适的vt.遇见,(迎)接,与(某人目光)相遇,(赴约)和...会面,(经介绍)与...相识,对付vi.相遇,接触"
discreet,"adj.小心的,慎重的,有思虑的,贤明的"
cachet,"n.公务印章,私人印戳,标记,威望,纪念邮戳"
epithet,"n.绰号,称号"
whet,"vt.磨,磨快,使兴奋"
plummet,"n.铅锤,重荷vi.垂直落下"
gourmet,n.能精选品评美食、美洒的人
martinet,"n.规律严肃的人,严格的人"
trumpet,n.喇叭
beset,v.困扰
onset,"n.攻击,进攻,有力的开始,肇端n.[医]发作"
cosset,"n.亲手饲养的宠物,宠儿vt.宠爱,珍爱,溺爱"
outset,"n.开端,开始"
daft,adj.愚蠢的
graft,"n.嫁接,(接技用的)嫩枝,(皮肤等的)移植,赎职v.嫁接,接技,移植(皮肤等),赎职"
waft,"v.吹送,飘荡n.飘荡,信号"
deft,"adj.敏捷熟练的,灵巧的"
rift,"n.裂缝,裂口,断裂,长狭谷,不和"
spendthrift,n.挥霍者
sift,v.详审
aloft,"adv.在高处,在上"
blight,"n.枯萎病,不良影响,打击vt.破坏,使枯萎"
plight,"n.情况,状态,困境,盟誓(婚姻)vt.保证,约定"
slight,"adj.轻微的,微小的"
forthright,"adv.马上,立即adj.直接的,直率的,坦白的,豪爽的n.直路"
airtight,"adj.密封的,无懈可击的"
fraught,adj.充满...的
distraught,adj.发狂的
overwrought,"adj.过度紧张的,过劳的"
bait,"n.饵,诱惑物vt.以饵引诱(动物),把饵装上,欺负,折磨vi.中途休息"
tacit,adj.默许的
elicit,"vt.得出,引出,抽出,引起"
implicit,"adj.暗示的,盲从的,含蓄的,固有的,不怀疑的,绝对的"
explicit,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款vt.相信,信任,把...归给"
discredit,"n.无信用,疑惑,不名誉,耻辱vt.不信,怀疑,使丢脸"
pundit,"n.印度学者,梵文学家,博学者"
counterfeit,"n.adj.赝品,伪造品,伪造的,假冒的vt.伪造,假冒"
forfeit,"n.(因犯罪.过失.违约等而)丧失的东西,没收物,罚款vt.没收,丧失adj.丧失了的"
surfeit,"n.过食,过度,恶心vt.使饮食过度,使沉溺于vi.饮食过度"
discomfit,v.扰乱
flit,"n.vi.掠过,迁徙,迅速飞过,(鸟,蝙蝠等)飞来飞去"
summit,"n.顶点,最高阶层adj.政府首脑的vi.参加最高级会议的"
manumit,"vt.解放,释放"
knit,"v.编织,密接,结合"
exploit,"vt.开拓,开发,开采,剥削,用以自肥v.使用"
maladroit,adj.不灵巧的
decrepit,adj.衰老的
grit,"n.粗砂v.研磨,在...上铺砂砾"
posit,v.安置
deposit,"n.堆积物,沉淀物,存款,押金,保证金,存放物vt.存放,堆积vi.沉淀"
bruit,vt.散播
wit,"n.智力,才智,智慧"
outwit,"vt.瞒骗,以智取胜"
exalt,v.晋升
heartfelt,"adj.衷心的,真心真意的"
tilt,"v.(使)倾斜,(使)翘起,以言词或文字抨击"
wilt,"v.(使)枯萎,(使)憔悴,(使)畏缩n.枯萎,憔悴,畏缩"
dolt,"n.呆子,傻瓜,笨蛋"
jolt,v.摇晃n.摇晃
molt,"n.换毛,脱皮,换毛期v.脱毛,换毛"
revolt,"v.反抗,起义,反叛,反感,厌恶"
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
occult,"adj.神秘的,玄妙的,不可思议的,超自然的v.掩蔽,隐藏n.神秘之事"
tumult,"n.吵闹,骚动,拥挤,混乱"
exult,"vi.非常高兴,欢跃"
recant,v.放弃
intoxicant,n.使醉的东西adj.使醉的
scant,"adj.缺乏的,不足的,将近的,欠缺的v.限制,节省,减少"
pedant,n.学究式人物
ascendant,"n.优势,运星,运道,支配力adj.上升的,优越的"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
redundant,adj.多余的
verdant,"adj.翠绿的,青翠的,生疏的,没有经验的"
mordant,"n.媒染,媒染剂,金属腐蚀剂,金属箔粘着剂adj.讽刺的,媒染性的,有腐蚀性的vt.以媒染剂处理"
miscreant,"adj.堕落的,卑劣的,异端的n.卑鄙,有罪恶的人,异端"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
penchant,"n.(强烈的)倾向,趣味"
trenchant,adj.锋利的
disenchant,vt.使清醒
sycophant,"n.拍马屁的人,谄媚者,奉承者adj.拍马的,奉承的"
insouciant,"adj.漫不经心的,漠不关心的,无忧无虑的"
valiant,"adj.勇敢的,英勇的n.勇敢的人"
pliant,n.顺从
compliant,"adj.顺从的,适应的"
nonchalant,adj.冷淡的
jubilant,"adj.欢呼的,喜悦的,喜洋洋的"
vigilant,"adj.警惕着的,警醒的"
gallant,"adj.英勇的,豪侠的,堂皇的,壮丽的,华丽的,对妇女献殷勤的"
supplant,"vt.排挤掉,代替"
slant,"v.(使)倾斜,歪向n.倾斜"
petulant,"adj.脾气坏的,使性子的"
adamant,adj.坚硬的
dormant,"adj.睡眠状态的,静止的,隐匿的"
stagnant,"adj.停滞的,迟钝的"
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
malignant,adj.恶性的
poignant,"adj.令人痛苦的,(味觉、嗅觉方面)刺激的、辛辣的,尖锐的,剧烈的"
repugnant,adj.不一致的
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
remnant,"n.残余,剩余,零料,残迹adj.剩余的,残留的"
resonant,adj.引起共鸣的
consonant,adj.协调一致的
rampant,"adj.猖獗的,蔓生的,猛烈的,狂暴的,跛拱的"
rant,"v.咆哮,激昂地说n.咆哮,激昂的演说"
protuberant,"adj.突起的,凸出的,隆起的"
exuberant,"adj.繁茂的,丰富的,非凡的,(语言等)华而不实的"
preponderant,adj.占有优势的
itinerant,adj.巡回的n.巡回者
aspirant,"n.有抱负者,有野心者adj.上进的,有野心的"
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
errant,"adj.周游的,不定的,错误的"
aberrant,adj.异常的
recalcitrant,"adj.反抗的,反对的,顽抗的n.反抗的人,顽抗者"
tyrant,n.暴君
conversant,"adj.亲近的,有交情的,熟悉的"
incessant,"adj.不断的,不停的"
blatant,"adj.喧嚣的,俗丽的,吵闹的,炫耀的"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
exorbitant,"adj.过度的,过高的,昂贵的"
incogitant,"adj.无思虑的,粗心的"
concomitant,adj.伴随的n.伴随物
repentant,"adj.后悔的,悔改的,有悔改表现的"
extant,"adj.现存的,未毁的,<古>突出的,显著的"
piquant,"adj.开胃的,辛辣的,泼辣的,兴奋的,顽皮的,淘气的"
truant,n.逃避者adj.逃避
savant,n.专家
relevant,"adj.有关的,相应的"
observant,"n.奉行者,遵守法律或规章、习俗的人adj.深切注意的"
flamboyant,"adj.辉耀的,华丽的,火焰似的,艳丽的"
buoyant,"adj.有浮力的,轻快的"
cognizant,adj.认知的
recumbent,"adj.靠着的,斜躺着的,不活动的,休息的"
incumbent,"adj.职责所在的,负有...义务的"
complacent,"adj.自满的,得意的"
beneficent,"adj.慈善的,仁慈的,善行的"
magnificent,"adj.华丽的,高尚的,宏伟的"
munificent,"adj.宽宏的,慷慨的"
reticent,adj.沉默寡言的
nascent,adj.初生的
iridescent,"adj.彩虹色的,闪光的"
incandescent,"adj.遇热发光的,白炽的"
quiescent,adj.静止的
evanescent,"adj.渐消失的,易消散的,会凋零的"
reminiscent,adj.回忆往事的
translucent,"adj.半透明的,透明的"
dent,"n.凹,凹痕,(齿轮的)齿,弱点v.使凹下,凹进,削弱"
decadent,adj.颓废的n.颓废者
precedent,n.先例
strident,"adj.轧轧响的,刺耳的,尖锐的"
provident,adj.有远见的
resplendent,"adj.辉煌的,灿烂的,光辉的,华丽的"
impudent,"adj.放肆无礼的,,厚颜无耻的"
prudent,adj.谨慎的
imprudent,"adj.轻率的,鲁莽的"
indigent,"adj.贫乏的,穷困的"
negligent,"adj.疏忽的,粗心大意的"
diligent,"adj.勤勉的,用功的,细心而继续不断的"
intransigent,adj.非妥协性的n.不妥协的人
exigent,"adj.紧急的,迫切的,苛求的,要求很高的"
indulgent,adj.纵容的
refulgent,"adj.辉煌的,灿烂的"
effulgent,adj.光辉灿烂的
plangent,"adj.轰鸣的,凄切的"
tangent,"adj.接触的,切线的,相切的,离题的n.切线,[数]正切"
stringent,"adj.严厉的,迫切的,银根紧的"
pungent,"adj.(指气味、味道)刺激性的,辛辣的,尖锐的,苦痛的,严厉的"
cogent,"adj.强有力的,使人信服的,使人首肯的,恰到好处的"
insurgent,adj.起义的
proficient,n.精通
omniscient,"adj.全知的,无所不知的n.无所不知者,[宗]上帝"
obedient,"adj.服从的,孝顺的"
salient,"adj.易见的,显著的,突出的,跳跃的n.凸角,突出部分"
emollient,"adj.使柔软的n.[药]润肤剂,缓和剂"
ebullient,"adj.冒泡的,沸腾的,热情的,热情洋溢的"
lenient,"adj.宽大的,仁慈的,慈悲为怀的"
sapient,"adj.装聪明样的,自以为聪明的,聪明的,伶俐的,有见识的"
incipient,adj.初始的
orient,"n.东方,东方诸国(指地中海以东各国)adj.东方的,上升的,灿烂的vi.适应形势,向东vt.使朝东,使适应,确定方向"
transient,"adj.短暂的,瞬时的n.瞬时现象"
insentient,adj.无知觉的
subservient,"adj.屈从的,有帮助的,有用的,奉承的"
prevalent,"adj.普遍的,流行的"
ambivalent,"adj.矛盾的,好恶相克的"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
redolent,adj.芬芳的
indolent,"adj.懒惰的,不痛的"
insolent,"n.侮慢无礼的人adj.傲慢的,无礼的,侮慢的"
malevolent,
turbulent,"adj.狂暴的,吵闹的"
truculent,adj.好战凶猛的
fraudulent,"adj.欺诈的,欺骗性的,骗得的"
virulent,"adj.剧毒的,致命的,刻毒的,[医]有病毒的,恶毒的,充满敌意的,恶性的"
lament,"n.悲伤,哀悼,恸哭,挽诗,悼词vt.哀悼vi.悔恨,悲叹"
cement,"n.水泥,接合剂vt.接合,用水泥涂,巩固vi.粘牢"
commencement,"n.开始,毕业典礼"
rapprochement,"n.和睦,亲善"
vehement,"adj.激烈的,猛烈的,(情感)热烈的"
clement,"adj.和蔼的,仁慈的,宽厚的,宽大的"
inclement,"adj.险恶的,严酷的"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
supplement,"n.补遗,补充,附录,增刊v.补充"
self-abasement,
segment,"n.段,节,片断v.分割"
figment,"n.臆造的事物,虚构的事"
pigment,"n.[生]色素,颜料"
blandishment,"n.奉承,哄诱"
compliment,"n.称赞,恭维,致意,问候,道贺vt.称赞,褒扬,恭维"
foment,"vt.[医]热敷,热罨,煽动"
commitment,"n.委托事项,许诺,承担义务"
document,"n.公文,文件,文档,档案,文献v.证明"
argument,"n.争论,辩论,论据,论点,～ (for,against),意见"
immanent,"adj.内在的,固有的,[宗](上帝)无所不在的"
permanent,"adj.永久的,持久的"
eminent,"adj.显赫的,杰出的,有名的,优良的"
preeminent,adj.卓越的
pertinent,"adj.有关的,相干的,中肯的"
impertinent,"adj.无关的,鲁莽的,不相干的"
proponent,"n.建议者,支持者,[律]提出认证遗嘱者"
exponent,"n.解释者,说明者,代表者,典型,指数"
spent,"adj.用尽的,精疲力尽的,失去效能的"
transparent,"adj.透明的,显然的,明晰的"
indifferent,adj.无关紧要的
belligerent,"adj.好战的,交战国的,交战的"
inherent,"adj.固有的,内在的,与生俱来的"
resent,"v.愤恨,怨恨"
misrepresent,"vt.误传,不如实地叙述(或说明)vi.说假话"
consent,"vi.同意,赞成,答应n.同意,赞成,允诺"
assent,n.赞成vi.同意
dissent,v.不同意
latent,"adj.潜在的,潜伏的,隐藏的n.隐约的指印"
patent,"n.专利权,执照,专利品adj.特许的,专利的,显著的,明白的,新奇的vt.取得...的专利权,请准专利"
penitent,adj.悔过的n.悔罪者
impenitent,"adj.不悔悟的,顽固的n.不悔悟的人,顽固的人"
content,"n.内容,容量,目录,满足adj.满足的,满意的,愿意vt.使满足"
malcontent,adj.不满的n.不满者
impotent,"adj.无力的,虚弱的,无效的,[医]阳萎的"
inadvertent,"adj.不注意的,疏忽的,无意中做的"
inconsistent,"adj.不一致的,不协调的,矛盾的"
intermittent,"adj.间歇的,断断续续的"
fluent,"adj.流利的,流畅的"
affluent,"adj.丰富的,富裕的"
grandiloquent,"adj.夸张的,浮夸的,夸大的"
congruent,adj.适合的
incongruent,adj.不一致的
solvent,"adj.溶解的,有偿付能力的,有溶解力n.溶媒,溶剂,解决方法"
circumvent,"vt.围绕,包围,智取"
fervent,adj.炽热的
taint,v.感染n.污点
mint,"n.薄荷,薄荷糖,造币厂,大量,来源v.铸造(硬币)"
pinpoint,n.精确adj.极微小的v.查明
blueprint,"n.蓝图,设计图,计划vt.制成蓝图,计划"
stint,v.紧缩节省
confront,"vt.使面临,对抗"
daunt,v.沮丧
haunt,v.神鬼出没
taunt,"n.辱骂,嘲弄vt.嘲弄,奚落adj.[海](桅杆)很高的"
vaunt,"v.自夸n.吹嘘,自夸"
blunt,"adj.钝的,生硬的"
paramount,adj.极为重要的
tantamount,adj.等价
surmount,"vt.战胜,超越,克服,在...顶上"
stunt,"v.阻碍...发育,妨碍...生长,作惊人表演,使绝招n.发育迟缓,矮小的人(或物),惊人表演,绝技"
bigot,"n.盲目信仰者,顽固者"
riot,"n.暴乱,骚动,(植物,疾病等)蔓延,放荡,暴动v.骚乱,放纵,挥霍,参加骚动"
patriot,n.爱国者
jot,"n.少量,少额,稍许vt.略记,摘要记载下来,草草地记下"
zealot,n.狂热者
clot,n.(血液等的)凝块v.(使)凝结
pilot,"n.飞行员,领航员,引水员vt.驾驶(飞机等),领航,引水v.驾驶"
parrot,"n.鹦鹉,学舌者,机械模仿别人的人vt.学舌"
apt,"adj.易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是"
adapt,"vt.使适应,改编"
rapt,adj.全神贯注的
inept,"adj.不适当的,无能的,不称职的"
nondescript,"adj.无可名状的,难以区别的,无特征的n.无以名状,不属任何类型的人"
manuscript,"n.手稿,原稿"
preempt,v.先占
unkempt,
contempt,"n.轻视,轻蔑,耻辱,不尊敬,[律]藐视法庭(或国会)"
exempt,v.免除adj.被免除的
dart,"n.标枪,镖,(昆虫的)刺,飞快的动作v.飞奔,投掷"
counterpart,"n.副本,极相似的人或物,配对物"
thwart,"adj.横放的vt.反对,阻碍,横过adv.prep.横过n.[船]横坐板"
stalwart,adj.坚定的
disconcert,"vt.使惊惶,使仓皇失措,破坏"
inert,"adj.无活动的,惰性的,迟钝的"
assert,"v.断言,声称"
subvert,"vt.推翻,暗中破坏,搅乱"
advert,"vi.注意,留意n.广告"
divert,"v.转移,转向,使高兴"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
overt,"adj.明显的,公然的"
covert,"adj.隐蔽的,偷偷摸摸的,[律]在丈夫保护下的n.掩蔽处,隐藏处"
skirt,n.裙子v.环绕
flirt,"vt.忽然弹出,挥动vi.调情,摇晃的移动,玩弄,摇晃地摆动,摆动,轻率地对待n.卖弄风情的人,调情的人"
escort,"n.护卫(队),护送,陪同(人员),护卫队v.护卫,护送,陪同"
exhort,"v.劝诫,忠告"
rapport,"n.和谐,亲善"
purport,n.主旨v.声称
consort,"vi.配偶(指夫或妻),(尤指)君王或女王的配偶,同航线的船vi.陪伴,结交,符合vt.使配对"
retort,"v.反驳,反击,回报n.曲颈甑,曲颈瓶,蒸器"
contort,"vt.扭曲,歪曲"
distort,"vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报"
extort,"v.敲诈,逼取,强取,勒索"
curt,adj.简略的
blurt,"vt.未加思索地冲口说出,突然说出"
court,"n.法院,庭院,朝廷,宫庭,球场,奉承,求爱,殷勤vt.向...献殷勤,追求,设法获得(他人的支持等),博得(喝彩),招致(失败、危险等)vi.求爱"
bombast,n.夸大的言辞
cast,"n.投掷,铸件,脱落物,一瞥,演员表v.投,抛,投射,浇铸,计算,派(角色)"
abreast,"adv.并肩地,并排地"
fast,"adj.紧的,牢的,忠实的,快速的,耐久的,紧的adv.牢固地,很快地,紧紧地,彻底地n.禁食,绝食,斋戒vi.绝食,斋戒"
steadfast,adj.坚定的
blast,"n.一阵(风),一股(气流),爆炸,冲击波vt.爆炸,,毁灭,使枯萎,损害"
iconoclast,"n.偶像破坏者,提倡打破旧习的人"
manifest,"n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明"
ingest,"vt.摄取,咽下,吸收"
jest,"n.笑话,俏皮话vi.嘲笑,开玩笑vt.嘲笑"
earnest,"adj.认真的,热心的,重要的n.真挚,定金,认真,热心"
crest,"n.鸟冠,盔上的装饰(如羽毛),顶部,顶峰,浪头vi.到达绝顶vt.加以顶饰"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
wrest,"n.扭,拧vt.夺取,猛扭,歪曲,曲解,费力取得"
detest,"vt.厌恶,憎恨"
attest,v.证明
gist,"n.要点,要旨,依据,[法律]诉讼主因"
anarchist,n.无政府主义者
list,"n.目录,名单,列表,序列,数据清单,明细表,条纹,[总称]各种上市证券vt.列出,列于表上,记入名单内,装布条vi.列于表上"
jingoist,"n.沙文主义者,侵略主义者"
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
robust,adj.精力充沛的
gust,"n.阵风,一阵狂风,(雨、冰雹、烟、火、声音等的)突然一阵,(感情的)迸发,汹涌"
august,"adj.令人敬畏的,威严的n.八月(略作Aug) August 八月"
oust,"vt.剥夺,取代,驱逐"
boycott,"n.vt.联合抵制,联合排斥某国货物或与某国绝交"
juggernaut,"n.Krishna 神像,使人盲目崇"
taut,"adj.(绳子)拉紧的,整洁的,紧张的"
debut,"n.v.初次登场,开张"
glut,v.充斥
clout,"n.敲打,轻叩,破布vt.叩,敲一下"
flout,"vt.轻视,嘲笑,愚弄vi.表示轻蔑n.侮辱,嘲笑,愚弄,轻视"
pout,"n.撅嘴,板脸,生气,大头鱼类v.撅嘴,绷脸"
tout,v.吹捧
devout,"adj.虔敬的,诚恳的"
strut,"n.高视阔步,支柱,压杆vi.大摇大摆地走,肿胀vt.支撑,炫耀"
plateau,"n.高地,高原(上升后的)稳定水平(或时期、状态)"
milieu,"n.周围,环境"
purlieu,"n.森林边缘带,常去的地方,界限,范围"
impromptu,"n.即席演出,即兴曲adj.即席的adv.即席地,未经准备地"
