a case in point,恰当的例子
sign up for ..., 注册，选课；报名参加
smooth down,"弄平, 变平静"
snatch up, 夺取
sniff out,"na. 闻出；〈非正式〉发现
[网络] 发觉；寻找；嗅出"
sober up,"un. 使清醒；使不醉:
[网络] 解酒"
sort out,"na. 清理
[网络] 分类；整理；解决"
spill out,n.溢出(流出；倒出；溢出量)
spit out,"na. 同“spit”
[网络] 喷孔；共深度点资料选排"
sponge off," （用海绵）拭去, 除去; 依赖…生活"
spy on,"侦查, 暗中监视"
stab in the back,[网络] 背后插刀；背后捅刀子；背后中伤
start up,"突然站起, 突然出现, 发动, 开动"
stay away from,不在，外出；走开；不接近，不打扰；避开
stay out,呆在户外
stick around,逗留
stumble across,偶然发现
stumble on,"无意中发现,偶然找到"
subject to,"v. 处于…中；使服从
[网络] 受制于；以……为条件；以……为准"
submit to,"un. 使某人忍受某事:
[网络] 顺从；服从；屈服于"
subordinate to,使居次要地位；使从属，使隶属于
subscribe to,"预订, 同意, 订阅"
sue for,控告
suffice it to say,[网络] 我只能说；只要……就够了；姑且一
suffice it to say that,只要说…就够了，不用多说
sum up,"计算...的总数, 概括, 总结
[法] 总结, 概述"
summon up,"振作, 鼓起"
sting in the tail,蝎、蜂等的刺；未料及的缺陷；令人不快的收场；(小说等)富有刺激性的结局
take a gamble,冒险从事(某事)
take aback," 使吃惊, 使惊呆"
take apart,"na. 分解；拆分；剖析
[网络] 拆开；拆卸；卸开"
take away,"a. <主英>（饭食）外带的, （餐厅）供应外带食物的（相当于美语take-out）"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
[网络] 回收；起手有回真小人；摆杆"
take charge of,"掌管..., 负责..., 看管..., 不受...控制
[法] 负起管理之责, 失去控制"
take down,"n. 拆卸, (非正式)失面子, 羞辱
a. 可拆卸的
[计] 卸下"
take in stride,un. 发扬光大；大步前进；一步能轻易跳过
take in one's stride,轻而易举地做某事
take notice of, 注意到; 在意; 睬; 理睬
take office,就职
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
[网络] 拿出；去掉；拿出来"
take priority over,无
take to,"na. 嗜好；开始；参加；逃入
[网络] 喜欢；从事；喜爱"
take turns,"轮流, 依次"
take a hand in,"参与,介入"
have a hand in,"插手..., 参加, 分担"
talk sb. into doing,无
take the lead,"为首, 带头"
talk sense,"说话有道理
[法] 讲有道理的话"
tangle with,"v. 吵架, 争论"
testify to,"证明,证实"
that sort of thing,那[这]一类的事情
tick away, 使（分秒）在滴答声中溜走
tick by,[网络] 勾选
tidy up,"v. 整理干净
[网络] 相当小范围的整理；使客房洁净"
tie up,"绑好, 缚牢, 包扎, 停泊, 阻碍, 合伙, 密切联系, 占用
[法] 罢工, 停滞"
time and again,反复地
tip off,"na. 向…透露消息，泄密；暗中通知某人；(把水等从器皿中)倒干净；使…掉下来；〈俚语〉杀死
[网络] 警告；通风报信；告密"
to all intents,无
to all intents and purposes,实际上
to and fro,"a. 走来走去的, 来来往往的
n. 来来往往, 往复"
to one's heart's content,adj. 心满意足地
top out, 举行建筑物落成典礼; 达到最高点
trifle with,玩弄
tuck away,"na. 藏起
[网络] 畅饮；大嚼；藏起来"
tuck in,"na. 〈非正式〉大吃一顿；掖被子；塞入；折进
[网络] 塞进；尽情吃；把一端塞进"
tumble to,恍然大悟
turn a blind eye to,熟视无睹
turn into,"进入, (使)变成"
up and down,上上下下；到处；前前后后；来来往往
vote for,"[法] 赞成, 投票赞成, 选举"
ward off,"v. 挡开；架开
[网络] 避开；防止；挡住"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
[网络] 热身；暖身；热身运动"
wave aside,"na. 挥手使站开；挥手拒绝[排斥]
[网络] 置之不理；对…置之不理；不理会"
wear thin,"穿薄, 逐渐消失"
wear well,经久耐用
weed out,清除
weigh up,"na. 称量；称出；重得使另一头翘起来
[网络] 估量；掂量；衡量"
weigh ... against ...,对…不利
wind up,"卷起, 卷拢, 上紧...发条, 使紧张, 使振奋, 结束
[经] 停止营业"
wink at,"使眼色, 假装看不见"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
[网络] 消灭；彻底摧毁；消灭，毁灭"
with a vengeance,"猛烈地, 极度地"
with a view to,"以...为目标
[法] 为了要, 拟"
work with,"与…共事,与…协作"
yield to,"让步于,屈服于,向…投降"
a bit,abbr. 巴西纺织工业同业公会（Brazilian Textile and Apparel Industry Association）；升技电脑公司（世界知名主板市场厂商）
a great deal of,很多的
a great many,许许多多
add up,"n. （讨论会等的）总结; 要点, 要旨"
after all,adv. 毕竟；终究
agree on,"就…取得一致意见,商定"
aim at,"v. 目的在于
[网络] 瞄准；针对；旨在"
all kinds of,各种各样的
and so on,等等
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
as a result,因此;结果
as a result of,作为结果
as soon as,一...就
ask for,"na. 要(价)；来找
[网络] 请求；要求；要求得到"
at best,"na. 充其量也不过
[网络] 至多；最多；最好也只是"
at first,起先，首先；最初
at least,"na. 至少
[网络] 起码；至少多少次；至不济"
at once,na. 立刻；同时
at the same time,"同时, 但是"
be about to,即将
be born with,"生来就有…,有…天赋"
be concerned about,关心...
be concerned with,"涉及..., 与...有关"
be different from,"与…不同,和…不一样"
be eager to,"盼望,渴望"
be familiar with,熟悉
be filled with,充满…
be fond of,"喜爱, 爱好"
be in hospital,在住院
be interested in,对…很感兴趣
be late for,迟到
be limited to,被限制在...上
be made up of,由...所组成
be patient with,对...有耐心
be prepared for,为…作好了准备
be proud of,"自豪, 高兴"
be ready to,准备…
be similar to,与...相似
be strict with,"对...严格, 对...严历"
be tired of,厌烦
be willing to,愿意(做)...
be worth doing,无
because of,因为
before long,不久以后
belong to,属于
break in,"na. 闯入；插嘴；驯(马)；训练(人)
[网络] 打断；强行进入；插话"
bring up,"na. 抚养；教导；教育；在…长大
[网络] 培养；提出；养育"
by the end of,"到…结束的时候,到…末"
by the way,na. 见 way 条
by way of,"经由, 作为, 为了
[经] 当作, 为了, 通过"
cannot help doing,v. 不得不做
call up,"na. 传；召集；打电话给；【电讯】呼唤
[网络] 动员；盖洛普组织；同本义"
care for,"喜欢, 照顾, 为...操心, 尊重"
catch one's breath,"喘息, 屏息"
catch up with,赶上
check in,"v. 〔美国〕报到；(旅馆)登记；签到；登记归还
[网络] 证实一下"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
[网络] 退房；检查；结帐"
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
[网络] 清除；打扫干净；清扫"
come after,跟在...后面
come back,"n. 复原, 复辟, 复位, 尖刻的对答, 抱怨的原因
[计] 复原的"
comment on,评论
complain of,"抱怨, 抗议"
complain about,抱怨
decide on,"决定,选定,确定…"
decide upon,对…作出决定[决议]
depend on,"依靠, 依赖"
die of,"死于…,因…而死"
die from,"[法] 由于...而死, 死于"
each other,"na. 彼此；互相
[网络] 相互；海誓山盟；两棵树"
earn money,赚钱
enjoy oneself,过得快乐
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
find out,"na. 查出；发现；看清…的面目；识破
[网络] 查明；找出；了解"
first of all,首先
for a moment,"一会儿,片刻"
for instance,n. [美国口语]例子
for example,"na. 例如
[网络] 举例；比如；譬如"
get a fever,无
get on with, 继续（干某事）; 和…友好相处
get rid of,"摆脱, 除去"
give a hand,"un. 制住；帮着干一点
[网络] 帮助；帮忙；提供帮助"
give in,"na. 让步；屈服；投降；上交
[网络] 交上；认输；放弃"
go abroad,出国
go hunting, 赶山；行猎；出猎；打猎
go sightseeing, 游览；游玩；观光
grow up,"na. 长大
[网络] 成长；长大成人；成年"
hand in,"na. 交进
[网络] 有发球权；有发球权的一方；交入"
hand out,"n. 施舍物, 救济品, 分发的印刷品资料, 广告物品"
have on,"v. 戏弄
[网络] 穿着；戴着；穿戴"
hold one's breath,屏息
hurry up,"na. 催促；赶快
[网络] 快点；赶紧；匆匆完成"
at home and abroad,国内外
in a hurry,匆忙
in a minute,"马上, 立刻"
in a moment,立刻
in all,"总共
[经] 合计, 全部"
in fact,"na. 其实；总之
[网络] 事实上；实际上；I事实上我"
in front of,在...前面
in order to, 为了…
in the distance,在远处
in the end,"最后, 终于"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
[网络] 及时；钟点战；时间规划局"
keep a diary,v. 写日记
keep up with,"跟上
[法] 追上, 跟上, 赶得上"
keep in touch with,与...保持联络
get in touch with,与...联系
kill time,"n. 用来消磨时间的事情, 用来消遣的事情"
lack of, 缺乏
laugh at,"嘲笑, 漠视, 因...发笑"
lead to,"导致, 通向"
long before,在...以前很久
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look out,"n. 警戒, 搜寻, 注意, 了望台, 监视者, 了望员, 监视哨, 景色, 前途, 远景"
lose weight,体重减轻
make a decision,作决定
make friends, 交朋友
make friends with,"(和某人)交友, 建立友谊"
make fun of,取笑
make money,"挣钱
[经] 赚钱, 挣钱"
make way,"na. 进步
[网络] 让路；开路；腾出地方或位置"
more or less,"na. 有点儿；左右；或多或少；一点也…
[网络] 渐多或渐少"
neither ... nor,[网络] 既不……也不；两者都不；均不
no longer,"na. 已不
[网络] 不再是"
not at all,一点也不；别客气
not only ... but also,[网络] 不仅……而且；不但而且；两个不仅……而且
on earth,"在世上, 究竟"
on the other hand,另一方面
on time,"na. 准时；按时
[网络] 定时；准时到府；准时性"
on vacation,"在度假,在假期"
one after another,"接连地
[计] 批次发送"
one another,"na. 互相；相互
[网络] 彼此；互相地；强调三或三者以上的相互"
pay attention to,注意
play a role in,在...起作用
plenty of,许多的
prefer to,"un. 较喜欢；宁愿:
[网络] 更喜欢；宁可；倾向于"
prevent ... from,"vt. 阻止, 制止"
put on,"把...放上去, 穿上, 假装, 增加, 上演, 使...上场, 使起作用, 施加于"
quite a few,相当多的
regard as,把...认作
right away,"na. 立刻
[网络] 马上；立即；立即，马上"
run away,"n. 逃跑, 逃走的人, 逃亡, 压倒性的优胜
a. 逃亡的, 逃走的"
search for,搜查
see off,"na. 送行；送别；告别；赶走
[网络] 给…送行；为…送行；给某人送行"
send out,"na. “send forth”的变体
[网络] 发出；派遣；发送"
sense of humor, 幽默感
set off,"出发, 开始, 引起, 衬托, 点缀, 抵销, 分开, 划分
[法] 抵销"
set up,"n. 装备, 组织, 计划, 机构, 调整, 设置
[计] 准备; 安排; 建立"
so as to,"使得, 以致"
so ... as to,"使得, 以致"
so far as,"远至…;就…来说,在…范围内,至于"
so long as,只要
so that,"如此…以致…；以致…, 结果是…；以便"
so ... that,"如此…以致…；以致…, 结果是…；以便"
speak to,"对...说话, 说到, 责备, 证明"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
[网络] 起立；我挺你；站得住脚"
succeed in,在...方面成功
such as,"un. 像；例如；象…这样；诸如…之类
[网络] 三千石地产；三千石地产有限公司"
take action,"采取行动, 提出诉讼"
take care of,"照顾
[法] 抚养, 赡养, 扶养"
take care,"v. 留心；当心
[网络] 小心；保重；注意"
take notes,记笔记；作笔记
take off,"拿掉, 取消, 脱下, 领走, 减去, 复制, 起飞, 离开, 岔开
[经] 取消"
take place,"na. 发生；举行
[网络] 产生；多指通过人为安排的发生；进行"
take sth. for granted,[法] 认为当然
take ... as,"把...看作是..., 把...当作是..."
take ... for,"认为, 以为
[法] 当作, 误认为"
tell a lie,说谎话
the same as,"与...相同, 与...一致"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think over,"v. 仔细考虑
[网络] 仔细思考；仔细考虑一下；再三考虑"
traffic jam,"塞车, 交通阻塞"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
[网络] 试用；尝试；考验"
turn back,"na. 同“turn down ”
[网络] 折回；往回走；翻回到"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
[网络] 做晚床；量程比；量程比可调"
turn in,"拐入, 上床睡觉, 上缴, (使)向里歪, 告发, 出卖, 作出
[法] 归还, 移交, 交出"
turn off,"关掉, 卖掉, 使转变方向, 解雇, 生产, 制造, 车削成, 使厌烦, 拐弯, 变成"
turn on,"na. 转向；对…进行突击
[网络] 打开；接通；开启"
turn up,"n. 翻起物, 衣服的卷起部分, (英)裤腿的卷边, 裤脚的翻边, (英)吵闹, 打架, 吵架
a. 翻起的, 可翻起的, 卷起的, 可卷起的, 翘起的, 可翘起的"
wait for,"na. 等；等待
[网络] 等候；动作上的等待；等待某人"
watch out,"na. 当心；留神；小心；提防
[网络] 注意；密切注视；监视"
work at,解(题)
work on,"继续工作, 设法说服, 影响"
work out,"v. 作出；拟定；制定；计划一下
[网络] 算出；解决；制定出"
worry about,"焦虑..., 为...而操心/担心"
a bit,abbr. 巴西纺织工业同业公会（Brazilian Textile and Apparel Industry Association）；升技电脑公司（世界知名主板市场厂商）
a great deal of,很多的
a great many,许许多多
after all,adv. 毕竟；终究
agree on,"就…取得一致意见,商定"
aim at,"v. 目的在于
[网络] 瞄准；针对；旨在"
all along,"始终, 一直"
all kinds of,各种各样的
and so on,等等
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
as a result,因此;结果
as a result of,作为结果
as soon as,一...就
as usual,a. 照常
ask for,"na. 要(价)；来找
[网络] 请求；要求；要求得到"
at any rate,"无论如何, 至少"
at any time,任何时候
at best,"na. 充其量也不过
[网络] 至多；最多；最好也只是"
at first,起先，首先；最初
at least,"na. 至少
[网络] 起码；至少多少次；至不济"
at once,na. 立刻；同时
at the same time,"同时, 但是"
be about to,即将
be concerned about,关心...
be concerned with,"涉及..., 与...有关"
be different from,"与…不同,和…不一样"
be eager to,"盼望,渴望"
be fond of,"喜爱, 爱好"
be friends with,与...交友
be late for,迟到
be limited to,被限制在...上
be made up of,由...所组成
be on the job,无
be out of date,日久失效
be out of temper,无
be out of work,[网络] 失业；砸饭碗；工作的人已经失业
be prepared for,为…作好了准备
be proud of,"自豪, 高兴"
be ready to,准备…
be similar to,与...相似
be strict with,"对...严格, 对...严历"
be tired of,厌烦
be worth doing,无
be worthy of,"值得,应得到"
because of,因为
belong to,属于
break in,"na. 闯入；插嘴；驯(马)；训练(人)
[网络] 打断；强行进入；插话"
bring up,"na. 抚养；教导；教育；在…长大
[网络] 培养；提出；养育"
by the way,na. 见 way 条
by way of,"经由, 作为, 为了
[经] 当作, 为了, 通过"
care about,担心
care for,"喜欢, 照顾, 为...操心, 尊重"
catch one's breath,"喘息, 屏息"
catch up with,赶上
change one's mind,"改变主意
[法] 改变主意, 改变计划"
check in,"v. 〔美国〕报到；(旅馆)登记；签到；登记归还
[网络] 证实一下"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
[网络] 退房；检查；结帐"
complain of,"抱怨, 抗议"
complain about,抱怨
decide on,"决定,选定,确定…"
decide upon,对…作出决定[决议]
depend on,"依靠, 依赖"
die of,"死于…,因…而死"
die from,"[法] 由于...而死, 死于"
each other,"na. 彼此；互相
[网络] 相互；海誓山盟；两棵树"
enjoy oneself,过得快乐
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
find out,"na. 查出；发现；看清…的面目；识破
[网络] 查明；找出；了解"
first of all,首先
follow one's advice,无
for ever,"na. 永远
[网络] 免费发短信的网站"
for instance,n. [美国口语]例子
for example,"na. 例如
[网络] 举例；比如；譬如"
get a fever,无
get in touch with,与...联系
get on with, 继续（干某事）; 和…友好相处
get rid of,"摆脱, 除去"
give in,"na. 让步；屈服；投降；上交
[网络] 交上；认输；放弃"
give up,"放弃, 停止, 献出, 抛弃, 认输, 把...送交
[法] 放弃, 停止, 把...送交"
go hunting, 赶山；行猎；出猎；打猎
go sightseeing, 游览；游玩；观光
grow up,"na. 长大
[网络] 成长；长大成人；成年"
hand in,"na. 交进
[网络] 有发球权；有发球权的一方；交入"
hand out,"n. 施舍物, 救济品, 分发的印刷品资料, 广告物品"
have no idea, 不知道，不了解; 没谱儿
have on,"v. 戏弄
[网络] 穿着；戴着；穿戴"
hold one's breath,屏息
hurry up,"na. 催促；赶快
[网络] 快点；赶紧；匆匆完成"
in a hurry,匆忙
in all,"总共
[经] 合计, 全部"
in fact,"na. 其实；总之
[网络] 事实上；实际上；I事实上我"
in front of,在...前面
in general,大多数
in memory of,纪念...
in order to, 为了…
in person,"a. 亲自的, 亲身的；本人的; 现场的, 实况的"
in practice,"在实践中, 实际上, 熟练"
in the distance,在远处
in the end,"最后, 终于"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
[网络] 及时；钟点战；时间规划局"
instead of,"na. 对某人很有用
[网络] 代替；替代；而不是"
keep up with,"跟上
[法] 追上, 跟上, 赶得上"
kill time,"n. 用来消磨时间的事情, 用来消遣的事情"
lack of, 缺乏
laugh at,"嘲笑, 漠视, 因...发笑"
lead to,"导致, 通向"
listen in,"na. 收听；偷听
[网络] 监听；新理念高中英语听力"
little by little,渐渐
live on,"继续生活, 以...为主食, 靠...生活"
long for,渴望
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look out,"n. 警戒, 搜寻, 注意, 了望台, 监视者, 了望员, 监视哨, 景色, 前途, 远景"
lose weight,体重减轻
make a decision,作决定
make friends, 交朋友
make friends with,"(和某人)交友, 建立友谊"
make fun of,取笑
make ready,n. 排版调整
make way,"na. 进步
[网络] 让路；开路；腾出地方或位置"
many a,n. (Manya)人名；(法)马尼亚
more or less,"na. 有点儿；左右；或多或少；一点也…
[网络] 渐多或渐少"
neither ... nor,[网络] 既不……也不；两者都不；均不
night and day,na. 日夜；不分昼夜
no longer,"na. 已不
[网络] 不再是"
not at all,一点也不；别客气
not only ... but also,[网络] 不仅……而且；不但而且；两个不仅……而且
nothing but,只
of late,最近
on record,"adj. 准予公开发表的，公开的；记录在案的,正式的[亦作 on-the-record]"
on the eve of,在…的前夕
on the other hand,另一方面
on time,"na. 准时；按时
[网络] 定时；准时到府；准时性"
one another,"na. 互相；相互
[网络] 彼此；互相地；强调三或三者以上的相互"
or else,否则
owing to,"由于..., 因为..."
pay attention to,注意
prefer to,"un. 较喜欢；宁愿:
[网络] 更喜欢；宁可；倾向于"
prevent ... from,"vt. 阻止, 制止"
put on,"把...放上去, 穿上, 假装, 增加, 上演, 使...上场, 使起作用, 施加于"
regard as,把...认作
rely on,"v. 依靠；信赖
[网络] 依赖；同本义；凭借"
right away,"na. 立刻
[网络] 马上；立即；立即，马上"
run away,"n. 逃跑, 逃走的人, 逃亡, 压倒性的优胜
a. 逃亡的, 逃走的"
send out,"na. “send forth”的变体
[网络] 发出；派遣；发送"
set off,"出发, 开始, 引起, 衬托, 点缀, 抵销, 分开, 划分
[法] 抵销"
set up,"n. 装备, 组织, 计划, 机构, 调整, 设置
[计] 准备; 安排; 建立"
so as to,"使得, 以致"
so far as,"远至…;就…来说,在…范围内,至于"
so long as,只要
so that,"如此…以致…；以致…, 结果是…；以便"
so ... that,"如此…以致…；以致…, 结果是…；以便"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
[网络] 起立；我挺你；站得住脚"
succeed in,在...方面成功
such as,"un. 像；例如；象…这样；诸如…之类
[网络] 三千石地产；三千石地产有限公司"
take care of,"照顾
[法] 抚养, 赡养, 扶养"
take off,"拿掉, 取消, 脱下, 领走, 减去, 复制, 起飞, 离开, 岔开
[经] 取消"
take part in,"参与, 参加
[经] 参加, 参与"
take place,"na. 发生；举行
[网络] 产生；多指通过人为安排的发生；进行"
take sth. for granted,[法] 认为当然
take ... as,"把...看作是..., 把...当作是..."
take ... for,"认为, 以为
[法] 当作, 误认为"
tell a lie,说谎话
thanks to,由于
the same as,"与...相同, 与...一致"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think over,"v. 仔细考虑
[网络] 仔细思考；仔细考虑一下；再三考虑"
traffic jam,"塞车, 交通阻塞"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
[网络] 试用；尝试；考验"
turn back,"na. 同“turn down ”
[网络] 折回；往回走；翻回到"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
[网络] 做晚床；量程比；量程比可调"
turn in,"拐入, 上床睡觉, 上缴, (使)向里歪, 告发, 出卖, 作出
[法] 归还, 移交, 交出"
turn off,"关掉, 卖掉, 使转变方向, 解雇, 生产, 制造, 车削成, 使厌烦, 拐弯, 变成"
turn on,"na. 转向；对…进行突击
[网络] 打开；接通；开启"
turn up,"n. 翻起物, 衣服的卷起部分, (英)裤腿的卷边, 裤脚的翻边, (英)吵闹, 打架, 吵架
a. 翻起的, 可翻起的, 卷起的, 可卷起的, 翘起的, 可翘起的"
use up,"na. 用完；耗尽
[网络] 用光；消耗，耗费；毁灭"
wait for,"na. 等；等待
[网络] 等候；动作上的等待；等待某人"
watch out,"na. 当心；留神；小心；提防
[网络] 注意；密切注视；监视"
work at,解(题)
work on,"继续工作, 设法说服, 影响"
work out,"v. 作出；拟定；制定；计划一下
[网络] 算出；解决；制定出"
worry about,"焦虑..., 为...而操心/担心"
