defensive,"adj.防御用的,自卫的n.防御"
peach,"n.桃子,桃树,桃色,<美俚>受人喜欢的人(或物)vt.告发vi.告密"
peasant,"n.农夫,乡下人"
pit,"n.深坑,深渊,陷阱,(物体或人体表面上的)凹陷,(英国剧场的)正厅后排、正厅后排的观众vt.窖藏,使凹下,去...之核,使留疤痕,使竞争vi.起凹点,凹陷"
plough,"n.犁v.耕,犁,犁耕,费力穿过,艰苦前进,在考试中淘汰"
reclaim,"vt.要求归还,收回,开垦"
reservoir,"n.水库,蓄水池"
ripe,"adj.熟的,成熟的,时机成熟的v.成熟"
sow,"n.大母猪vt.播种,散布,使密布vi.播种"
spear,"n.矛,枪"
trench,"n.沟渠,堑壕,管沟,电缆沟,战壕v.掘沟,挖战壕"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
argue,"vi.争论,辩论vt.说服"
because of,
collective,adj.集体的n.集体
acceptance,"n.接受,承诺,容忍,赞同,相信"
sort,"n.种类,类别v.分类,拣选"
mechanism,"n.机械装置,机构,机制"
society,"n.社会,...会,...社,友伴,交际,社交界,上流社会"
profit,"n.利润,益处,得益vi.得益,利用vt.有益于,有利于"
average cost,
disposable,adj.可任意使用的
earnings,"n.所得,收入"
fixed capital,
indirect,"adj.间接的,迂回的"
lucrative,adj.有利的
mutual benefit,
net profit,
profit and loss,
total cost,
turnover,"n.翻覆,翻折,半圆卷饼,流通量,营业额,周转adj.有一部分翻转的,可翻转的"
bravery,n.勇敢
civic virtue,
code of conduct,
courtesy,"n.谦恭,允许,礼貌"
diligence,n.勤奋
diligent,"adj.勤勉的,用功的,细心而继续不断的"
forgiveness,"n.宽恕,宽仁之心"
grace,"n.优美,雅致,优雅 Grace 格雷斯(女子名)"
honesty,"n.诚实,正直"
humility,n.谦卑
kindness,"n.仁慈,亲切,好意,善意"
mercy,"n.仁慈,宽恕,怜悯"
moral,"adj.道德(上)的,精神的n.道德"
morality,adj.道德的n.道德
norm,"n.标准,规范"
principle,"n.法则,原则,原理"
social morality,
straightforward, dly//adv.正直地
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇"
bet,"n.赌,打赌v.赌,赌钱"
betray,"vt.出卖,背叛,泄露(秘密),露出...迹象"
bribe,"n.贿赂vt.贿赂,向...行贿"
bully,"n.欺凌弱小者vt.威吓,威逼"
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落"
deceit,"n.欺骗,谎言"
deceive,"v.欺骗,行骗"
envy,"n.vt.羡慕,嫉妒"
fabricate,"vt.制作,构成,捏造,伪造,虚构"
fraud,"n.欺骗,欺诈行为,诡计,骗子,假货"
gamble,"n.冒险v.赌博,投机,孤注一掷"
greedy,"adj.贪吃的,贪婪的,渴望的"
notorious,adj.声名狼籍的
stain,"n.污点,瑕疵v.染污,沾污"
superficial,"adj.表面的,肤浅的,浅薄的"
vice,"n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷vt.钳住 prep.代替"
concede,"vt.勉强,承认,退让vi.让步"
confess,"v.承认,坦白,忏悔"
imagine,"vt.想象,设想"
productive,"adj.生产性的,生产的,能产的,多产的"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
forever,"adv.永远,永恒,永久,常常,始终"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
affection,"n.友爱,爱情,影响,疾病,倾向"
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
attitude,"n.姿势,态度,看法,意见"
battle,"n.战役(指大规模会战),战争vi.作战,战斗,搏斗,斗争"
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
ease,"n.安逸,安心,不费力,悠闲vt.使悠闲,使安心,减轻,放松vi.减弱,减轻,放松,灵活地移动"
energetic,"adj.精力充沛的,积极的"
entrepreneur,"n.<法>企业家,主办人"
framework,"n.构架,框架,结构"
hail,"n.冰雹,致敬,招呼,一阵vt.向...欢呼,致敬,招呼,使象下雹样落下,猛发vi.招呼,下雹int.万岁,欢迎"
honorable,"adj.可敬的,荣誉的,光荣的"
immigrant,"adj.(从外国)移来的,移民的,移居的n.移民,侨民"
logic,"n.逻辑,逻辑学,逻辑性"
mighty,"n.有势力的人adj.有势力的,强大的,有力的adv.很,极,非常"
migrate,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙vt.使移居,使移植"
motion,"n.运动,动作v.运动"
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
outcome,"n.结果,成果"
passage,"n.通过,经过,通道,通路,(一)段,(一)节"
permanent,"adj.永久的,持久的"
proclaim,"vt.宣布,声明,显示,显露"
proposal,"n.提议,建议"
proposition,"n.主张,建议,陈述,命题"
refugee,"n.难民,流亡者"
rigid,"adj.刚硬的,刚性的,严格的"
accordion,n.手风琴adj.可折叠的
cello,n.大提琴
drum,"n.鼓,鼓声,鼓形圆桶,[解]鼓膜,鼓室vi.击鼓,作鼓声vt.打鼓奏"
flute,"n.长笛,笛状物,凹槽"
guitar,"n.吉他,六弦琴vi.弹吉他"
harmonica,"n.口琴,玻璃或金属片的敲打乐器"
harp,"n.竖琴vi.弹奏竖琴,不停地说,喋喋不休"
organ,"n.[机]元件,机构,机关,机关报 [乐]风琴,管风琴,嗓音 [生物]器官"
piano,n.钢琴
pipe organ,
trumpet,n.喇叭
viola,n.中提琴 Viola 维奥拉(女子名)
violin,"n.小提琴,小提琴手"
voluntary,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
allow,"vt.允许,承认"
insurance,"n.保险,保险单,保险业,保险费"
along,"adv.往前,向前 prep.顺着,沿着"
answer,"n.答案,回答,答辩,抗辩v.回答说,答复说,符合,反响,响应"
because, conj.adv.因为
classify,"vt.分类,分等"
commence,"v.开始,着手"
connection,"n.连接,关系,接线,线路,亲戚"
cover,"n.盖子,封面,藉口vt.覆盖,铺,掩饰,保护,掩护,包括,包含,适用vi.覆盖,涂,代替"
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的adj.<口>相当好的、象样的"
direction,"n.方向,指导,趋势,(常用复数)指示,用法,说明(书),收件人地址"
divert,"v.转移,转向,使高兴"
erect,"adj.直立的,竖立的,笔直的vt.盖,使竖立,使直立,树立,建立vi.[生理]勃起"
exchange,"vt.交换,调换,兑换,交流,交易n.交换,调换,兑换,交流,交易"
forward,"adj.早的,迅速的,前进的vt.转寄,促进,运送adv.向前地,向将来n.[体](足球等)前锋"
health,"n.健康,健康状态,兴旺,为健康干杯"
however,"adv.无论如何,可是,仍然,究竟 conj.不管用何种方法,然而,可是"
least,"adj.最小的,最少的adv.最少,最小"
meditate,"v.想,考虑,(尤指宗教上的)沉思,冥想"
member,"n.成员,会员,议员,(人或动,植物的)一部分,[语]子句,成分,[逻]推论的命题"
news,"n.新闻,消息"
number,"n.数,数字,数量,号码,算术,诗,韵律v.遍号码,共计...,计入,计算,算入"
part,"n.部分,局部,零件,角色vt.分开,分离,分配vi.分开,断裂,分手adv.部分地,有几分adj.部分的,局部的"
picture,"n.画,图画,照片,像,美景,描述,相似物,化身vt.画,描绘"
reference,"n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)"
right,"n.正义,公正,正确,权利,右边,右派adj.正当的,正确的,对的,合适的,恰当的,健康的,健全的,正面的adv.正当地,正确地,一直地,直接地,完全地,彻底地,在右边"
serious,"adj.严肃的,认真的,严重的"
subordinate,"adj.次要的,从属的,下级的n.下属v.服从"
talk,"v.谈话,讲,谈论,议论,说服某人做某事n.谈话,会谈,讲演,讲话"
transcend,"vt.超越,胜过"
underlie,"vt.位于...之下,成为...的基础"
weak,"adj.不牢固的,弱的,虚弱的,软弱的,淡的,疲软的,无力的,不耐用的"
access,"n.通路,访问,入门vt.存取,接近"
achieve,"vt.完成,达到"
acquisition,"n.获得,获得物"
attain,"vt.达到,获得v.达到"
gain,"n.财物的增加,财富的获取,利润,腰槽,收获vt.得到,增进,赚到,开腰槽于vi.获利,增加"
get,"vt.获得,变成,收获,使得,挣得,受到(惩罚,打击等),染上,抓住vi.到达,成为,变得n.生殖,幼兽"
pick up,
pickup,"n.拾起,获得"
procure,"v.获得,取得"
reap,"v.收割,收获"
retrieve,v.重新得到n.找回
gene,"n.[遗传]因子,[遗传]基因 Gene 吉恩(男子名)"
correlation,"n.相互关系,相关(性)"
predict,"v.预知,预言,预报"
efficacy,"n.功效,效验"
agitate,"v.搅动,摇动,煽动,激动"
breast,"n.胸部,乳房,胸怀,心情vt.以胸对着,对付"
cancer,"n.癌,毒瘤"
case,"n.事,病例,案例,情形,场合,讼案,容器,(语法)格"
company,"n.公司,陪伴,(一)群,(一)队,(一)伙,连,连队"
convention,"n.大会,协定,习俗,惯例"
core,"n.果核,中心,核心"
court,"n.法院,庭院,朝廷,宫庭,球场,奉承,求爱,殷勤vt.向...献殷勤,追求,设法获得(他人的支持等),博得(喝彩),招致(失败、危险等)vi.求爱"
discern,"v.目睹,认识,洞悉,辨别,看清楚"
discrepancy,"n.相差,差异,矛盾"
discriminate,"v.歧视,区别,区别待遇"
domain,"n.领土,领地,(活动、学问等的)范围,领域"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
futile,"adj.琐细的,无用的,无效果的,(人)没有出息的"
genetic,"adj.遗传的,起源的"
genetics,n.遗传学
innovation,"n.改革,创新"
molecule,"n.[化]分子,些微"
monopoly,"n.垄断,垄断者,专利权,专利事业"
organisation,n.<主英> =organization
preliminary,"adj.预备的,初步的"
prior,"adj.优先的,在前的n.预先adv.在"
regarding, prep.关于
relieve,"vt.减轻,解除,援救,救济,换班"
renovate,"vt.革新,刷新,修复"
sequence,"n.次序,顺序,序列"
shake,"v.摇动,摇,颤抖,震动n.摇动,摇,颤抖,震动"
suppress,"vt.镇压,抑制,查禁,使止住"
supreme,"adj.极度的,极大的,至高的,最高的"
symmetry,"n.对称,匀称"
synthesis,"n.综合,合成"
violate,"vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴"
violent,"adj.猛烈的,激烈的,暴力引起的,强暴的"
dead,"adj.死的,无感觉的,呆板的,不流动的,(语言、习惯)废弃了的,熄灭的n.死者adv.完全地,绝对的,突然的"
partly,"adv.部分,几分"
reflect,"v.反射,反映,表现,反省,细想"
paralysis,"n.瘫痪,麻痹"
asset,"n.资产,有用的东西"
for fear of,
loss,"n.损失,遗失,失败,输,浪费,错过,[军]伤亡,降低"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
supposed,"adj.假定的,假像的"
bargain,"n.契约,合同,成交商品,便宜货v.议价"
banker,n.银行家
blame,"n.过失,责备vt.责备,谴责"
bruising,
capital,"n.首都,首府,大写字母,资本,资金,资产adj.首都的,重要的,死罪的,大写的,<口>极好的"
combative,"adj.好战的,杀气的,好斗的"
concession,n.让步
deal with,
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
fetch,"vt.接来,取来,带来,售得,引出,吸引,到达,演绎出vi.取物,绕道而行n.取得,拿,诡计,魂"
illiquid,"adj.非现金的,无流动资金的"
illiquidity,
instantly,"adv.立即地,即刻地"
investor,n.投资者
likewise,"adv.同样地,照样地,又,也n.同样地"
long-term,
overstate,"vt.夸大的叙述,夸张"
overvalue,"vt.对...定价过高,估计过高"
recognize,"vt.认可,承认,公认,赏识vi.具结"
standard-setter,
unknowable,"adj.不能知道的,不可知的"
vastly,"adv.广大地,许多,巨额地"
appall,"vt.使胆寒,使惊骇"
awe,n.敬畏vt.敬畏
coward,"n.懦弱的人,胆小的人"
dazzle,"v.(使)眼花,眩耀n.耀眼"
dismay,"n.沮丧,惊慌v.使沮丧,使惊慌"
dread,"n.恐惧,恐怖,可怕的人(或物),畏惧v.惧怕,担心"
fright,"n.惊骇,吃惊"
horrible,"adj.可怕的,恐怖的,讨厌的"
horror,"n.惊骇,恐怖,惨事,极端厌恶"
scare,"v.惊吓,受惊,威吓n.惊恐,恐慌,恐惧"
startle,v.震惊
stun,"vt.使晕倒,使惊吓,打晕n.晕眩,打昏,惊倒"
terror,"n.恐怖,可怕的人,恐怖时期,恐怖行动"
thrill,v.发抖
timid,"adj.胆小的,羞怯的"
add,"vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法"
humbly,adv.谦恭地
superior,"n.长者,高手,上级adj.较高的,上级的,上好的,出众的,高傲的"
run,"n.跑,赛跑,奔跑,运转,趋向vi.跑,奔,逃跑,竞选,跑步,蔓延,进行,行驶vt.使跑,参赛,追究,使流,管理,运行,开动adj.熔化的,融化的,浇铸的 vbl.run的过去式和过去分词"
notice,"n.通知,布告,注意v.注意到"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
autobiography,n.自传
concisely,adv.简明地
disclaim,"v.放弃,弃权,拒绝"
extensive,"adj.广大的,广阔的,广泛的"
hazy,"adj.朦胧的,烟雾弥漫的,模糊的"
injurious,adj.有害的
modesty,"n.谦逊,虚心"
opinion,"n.意见,看法,主张,判断,评价"
reason,"n.理由,原因,动机,理智,前提vt.说服,推论,辩论vi.推论,劝说,思考"
respect,"n.尊敬,敬重,注意,考虑,尊重,关系,有关,敬意vt.尊敬,尊重,不防碍"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
taste,"v.品尝,辨味,(of)有 ...味道,领略vt.体验,感到n.味道,味觉"
wit,"n.智力,才智,智慧"
comparable,"adj.可比较的,比得上的"
comparative,"adj.比较的,相当的"
comparison,"n.比较,对照,比喻,比较关系"
contrast,"vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异"
equate,"vt.使相等,[数]视为平等vi.等同"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
inferior,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
relatively, 相关地
resemble,"vt.象,类似"
versus," prep.对(指诉讼,比赛等中),与...相对"
air-conditioning,
album,"n.集邮本,照相簿,签名纪念册"
apparatus,"n.器械,设备,仪器"
appliance,"n.用具,器具"
arrow,"n.箭,箭头记号"
badge,"n.徽章,证章"
banner,"n.旗帜,横幅,标语"
barrel,n.桶vt.装入桶内
barrier,"n.(阻碍通道的)障碍物,栅栏,屏障"
blade,"n.刀刃,刀片"
broom,"n.扫帚,[植]金雀花vt.扫除"
bucket,"n.桶,一桶的量,[桶壮物]铲斗"
closet,"n.壁橱,储藏室,厕所adj.关起门来的vt.关入私室密谈"
clutch,"v.抓住,攫住n.离合器"
cord,"n.绳索,束缚"
hammer,"n.铁锤,槌,锤子v.锤击,锤打"
lever,"n.杆,杠杆,控制杆v.抬起"
lid,"n.盖子,<美口>限制,眼睑vt.给...盖盖子"
paddle,"n.短桨,划桨,明轮翼vi.划桨,戏水,涉水vt.用桨划,搅,拌"
pail,"n.桶,提桶"
pendulum,"n.钟摆,摇锤"
pin,"n.钉,销,栓,大头针,别针,腿vt.钉住,别住,阻止,扣牢,止住,牵制"
rim,"n.边,轮缘,蓝框vt.镶边,为...装边,沿...边缘滚动vi.形成边状"
rod,"n.杆,棒"
scrap,"n.小片,废料,剪下来的图片,文章,残余物,废料,打架vt.扔弃,敲碎,拆毁vi.互相殴打adj.零碎的,废弃的"
shaft,"n.轴,杆状物"
shield,"n.防护物,护罩,盾,盾状物vt.(from) 保护,防护v.遮蔽"
leading,"adj.领导的,第一位的,最主要的"
university,n.(综合)大学
undergraduate,"n.大学肄业生,(尚未取得学位的)大学生adj.大学生的"
grounding,"n.[电]接地,基础,(染色的)底色"
canon,"n.教会法教规,教规,(基督教的)正典圣经(简称正经),一个作家的真作 日本佳能公司"
educated,"adj.受过教育的,有教养的"
person,"n.人,身体,容貌,[语法]人称"
alike,"adj.相同的,相似的adv.以同样的方式,类似于"
alter,v.改变
bachelor,"n.单身汉,文理学士,幼雄兽"
brochure,n.小册子
bulletin,"n.公告,报告"
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
degree,"n.度数,度,程度,[律](罪行的)轻重,学位,地位,身份,[数]次数"
detach,"vt.分开,分离,分遣,派遣(军队)"
discipline,"n.纪律,学科v.训练"
doctoral,adj.博士的
drop out,
elementary,"adj.初步的,基本的,[化]元素的,自然力的"
embark,"v.上船,上飞机,着手,从事,装于船上,登上"
enroll,"v.[亦作enrol] 登记,招收,使入伍(或入会、入学等),参加,成为成员"
enthusiasm,"n.狂热,热心,积极性,激发热情的事物"
equally,"adv.相等地,平等地,公平地"
exclusionary,
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
fourfold,"adj.四倍的,四重的adv.四倍,四重"
general education,
glue,"n.胶,胶水vt.胶合,粘贴,粘合"
grant,"vt.同意,准予,承认(某事为真)～"
holistic,"adj.整体的,全盘的"
insistence,"n.坚持,坚决主张"
investigate,"v.调查,研究"
liberal-arts education,
medicine,"n.药,医学,内科学,内服药vt.给...用药"
non-specialist,
out of style,
pamphlet,n.小册子
prerequisite,n.先决条件adj.首要必备的
producer,"n.生产者,制作者,演出人,(电影)制片人"
professionalize,v.使专业化
professionalism,"n.专家的地位,特性或方法,专业主义"
qualification,"n.资格,条件,限制,限定,赋予资格"
resistance,"n.反抗,抵抗,抵抗力,阻力,电阻,阻抗"
separate,"adj.分开的,分离的,个别的,单独的v.分开,隔离,分散,分别"
skillfully,"adv.巧妙地,技术好地"
specialization,"n.特殊化,专门化,特化作用"
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
train,"n.火车,列车,行列,后果,顺序,长队,长袍(裙)拖地的部分,导火线vt.训练,培养,瞄准,(园艺)整枝vi.锻炼"
transferable,"adj.可转移的,可转换的,可传递的"
transmissible,"adj.可传送的,可遗传的"
unsurprisingly,
charity,"n.慈善,施舍,慈善团体,"
pleasurable,"adj.快乐的,愉快的,合意的"
luxury,"n.奢侈,华贵"
sparingly,"adv.节俭地,保守地"
anxious,"adj.观念的,担忧的,渴望的,盼望的"
commute,"v.交换,抵偿,减刑,<电工>整流"
connect,"v.连接,联合,关连"
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
fairly,"adv.公正地,正当的,公平对待某人,公平地,相当地,还算,清楚地"
fancy,"adj.奇特的,异样的vt.想象,设想,认为,爱好,自负n.爱好,迷恋,想象力"
fantasy,"n.幻想,白日梦"
hunger,"n.饥饿,欲望,渴望v.饥饿"
incentive,n.动机adj.激励的
