favour,"n.亲切,宠爱"
voracious,"adj.狼吞虎咽的,贪婪的"
audit,"n.审计,稽核,查帐vt.稽核,旁听vi.查账"
humility,n.谦卑
obsolescence,"n.荒废,退化"
enrich,"vt.使富足,使肥沃,装饰,加料于,浓缩"
disclose,"vt.揭露,透露"
skyscraper,"n.摩天楼,高丛的烟囱"
lobby,"n.大厅,休息室,<美>游说议员者vi.游说议员,经常出入休息室vt.对(议员)进行疏通"
stimulation,"n.激励,鼓舞,刺激"
optimal,"adj.最佳的,最理想的"
ascertain,"vt.确定,探知"
trivialise,
pertinent,"adj.有关的,相干的,中肯的"
scour,"vt.冲洗,擦亮,(搜索或追捕时)急速走遍vi.擦,洗,冲刷,腹泻,急速穿行n.擦,洗,洗涤剂,腹泻"
incident,"n.事件,事变adj.附带的,易于发生的"
boundary,"n.边界,分界线"
devise,"vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给n.遗赠"
refund,"v.退还,偿还n.归还,偿还额,退款"
inspect,"vt.检查,视察v.检查"
contemplate,"v.凝视,沉思,预期,企图"
aspire,"vi.热望,立志"
grieve,"v.(使)悲痛,(使)伤心,忧伤"
foul,"adj.污秽的,邪恶的,肮脏的,淤塞的,恶劣的vt.弄脏,妨害,污蔑,犯规,淤塞vi.腐烂,犯规,缠结n.犯规,缠绕adv.违反规则地,不正当地"
extrapolation,"n.[数]外推法,推断"
entertain,"vt.娱乐,招待,接受,怀抱vi.款待"
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
allocate,"vt.分派,分配"
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条v.压下"
utilisation,n.<主英>=utilization
advertise,"v.做广告,登广告"
conformity,"n.一致,符合"
invoke,v.调用
glitter,"vi.闪闪发光,闪烁,闪光n.闪光"
philanthropic,adj.博爱的
mushroom,"n.蘑菇,<古>暴发户vi.迅速生长,迅速增加,采蘑菇adj.蘑菇形的,迅速生长的"
migratory,"adj.迁移的,流浪的"
foremost,"adj.(位置或时间)最先的,最初的,最重要的adv.首要地,首先"
slope,"n.斜坡,斜面,倾斜v.(使)顺斜"
incredible,adj.<口>难以置信的
humane,adj.仁慈的
predator,"n.掠夺者,食肉动物"
perpetuate,"vt.使永存,使不朽"
outlaw,"n.歹徒,逃犯,丧失公权者v.将...放逐,宣布...为不合法"
flounder,"vi.(在水中)挣扎,困难地往前走,踌躇,发慌n.挣扎,辗转,比目鱼"
interact,"vi.互相作用,互相影响"
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
compact,"adj.紧凑的,紧密的,简洁的n.契约,合同,小粉盒"
eminent,"adj.显赫的,杰出的,有名的,优良的"
depression,"n.沮丧,消沉,低气压,低压"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
centigrade,"adj.分为百度的,百分度的,摄氏温度的"
requisition,"n.正式请求,申请,需要,命令,征用,通知单vt.征用,要求"
scrap,"n.小片,废料,剪下来的图片,文章,残余物,废料,打架vt.扔弃,敲碎,拆毁vi.互相殴打adj.零碎的,废弃的"
menace,"n.威胁,危险物v.恐吓,危及,威胁"
popularise,v.<主英> =popularize
combine,"v.(使)联合,(使)结合n.联合企业,联合收割机n.联合收割机"
situated,"adj.位于,被置于境遇,处于...的立场"
deprive,"vt.剥夺,使丧失"
commodity,n.日用品
radiate,"vt.放射,辐射,传播,广播vi.发光,辐射,流露adj.有射线的,辐射状的"
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点"
escalate,"vi.逐步升高,逐步增强vt.使逐步上升"
contrive,"v.发明,设计,图谋"
awry,"adj.歪曲的,错误的adv.歪斜地"
diminish,"v.(使)减少,(使)变小"
encompass,"v.包围,环绕,包含或包括某事物"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
shallow,"adj.浅的,浅薄的"
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
harbour,n.(=harbor) 海港
discourteous,"adj.失礼的,无礼貌的"
disempower,
excursion,"n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移"
infirmity,"n.虚弱,衰弱,缺点"
absorb,"vt.吸收,吸引"
deputy,"n.代理人,代表"
affluent,"adj.丰富的,富裕的"
precede,"v.领先(于),在...之前,先于"
whistle,"n.口哨,汽笛,口哨声,汽笛声v.吹口哨,鸣汽笛"
longitudinal,"adj.经度的,纵向的"
obscene,"adj.淫秽的,猥亵的"
acid,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consistency,isolation,and durability"" 原子性,一致性,不相关性和持久性"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
surrogate,"n.代理,代用品,代理人vt.使代理,使代替"
disapprove,v.不赞成
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
excreta,n.排泄物(如汗.尿.粪等)
twist,"n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织vi.扭弯,扭曲,缠绕,扭动,呈螺旋形"
milestone,"n.里程碑,里程标,重要事件,转折点"
bewilder,"vt.使迷惑,使不知所措,使昏乱"
simplistic,adj.过分单纯化的
savour,n.风味v.品尝
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
hallowed,"adj.神圣化的,神圣的"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
equation,"n.相等,平衡,综合体,因素,方程式,等式,"
incapacitate,"vt.使无能力,使不能胜任"
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
competent,"adj.有能力的,胜任的"
collate,v.比较
discard,"vt.丢弃,抛弃v.放弃"
discerning,adj.有辨识能力的
molecule,"n.[化]分子,些微"
calamitous,"adj.多灾难的,不幸的"
companion,"n.同伴,共事者"
bachelor,"n.单身汉,文理学士,幼雄兽"
format,"n.开本,版式,形式,格式vt.安排...的格局(或规格),[计]格式化(磁盘)"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
derive,vt.得自vi.起源
evaporate,"v.(使)蒸发,消失"
hospitable,"adj.好客的,招待周到的"
resign,"n.辞去(职务)v.辞去,辞职"
audition,"n.听,听力,试听"
plausible,adj.似是而非的
renewable,"adj.可更新的,可恢复的"
consultant,"n.顾问,商议者,咨询者"
outsell,vt.卖得比...多
ecosystem,n.生态系统
component,"n.成分adj.组成的,构成的"
unyielding,"adj.坚硬的,不能弯曲的,不屈的"
premise,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基vt.提论,预述,假定vi.作出前提"
exacerbate,"vt.恶化,增剧,激怒,使加剧,使烦恼"
consensus,"n.一致同意,多数人的意见,舆论"
depletion,n.损耗
appoint,"vt.约定,指定(时间,地点),任命,委任"
approve,"vi.赞成,满意vt.批准,通过v.批准"
disobey,"v.违反,不服从"
guideline,n.方针
setting,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
antiquity,"n.古代,古老,古代的遗物"
solidarity,n.团结
heir,"n.继承人,后嗣"
shareholder,n.股东
spasm,"n.(感情等)一阵发作,痉挛"
brand,"n.商标,牌子,烙印vt.打火印,污辱"
virus,"n.[微]病毒,滤过性微生物,毒害,恶毒"
renewal,"n.更新,复兴,恢复,续借,重申,补充"
brief,"n.摘要,大纲adj.简短的,短暂的vt.摘要,(军事)下达简令"
refresh,"v.(使)精神振作,(使)精力恢复,更新"
deploy,"v.展开,配置"
haul,"n.用力拖拉,拖,拉,捕获物,努力得到的结果,(尤指)一网捕获的鱼量,拖运距离vi.拖,拉,改变方向,改变主意vt.拖拉,拖运"
augment,"v.增加,增大n.增加"
intrusive,"adj.打扰的,插入的"
jostle,"v.挤,推,争夺n.挤拥,推撞"
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
occupation,"n.职业,占有,占有(房屋等)期间"
involve,"vt.包括,笼罩,潜心于,使陷于"
miracle,"n.奇迹,奇事"
adopt,"vt.采用,收养"
frigid,"adj.寒冷的,冷淡的,(妇女)缺乏性感的"
synchronisation,
affiliation,"n.联系,从属关系"
affectionately,"adv.挚爱地,亲切地"
analogous,"adj.类似的,相似的,可比拟的"
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
application,"n.请求,申请,申请表,应用,运用,施用,敷用 应用,应用程序,应用软件"
undergraduate,"n.大学肄业生,(尚未取得学位的)大学生adj.大学生的"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
military,"adj.军事的,军用的"
aquatic,"adj.水的,水上的,水生的,水栖的"
appease,"vt.平息,安抚,缓和,使满足"
texture,"n.(织品的)质地,(木材,岩石等的)纹理,(皮肤)肌理,(文艺作品)结构"
hindrance,"n.妨碍,障碍"
niggle,"vi.为琐事费心,拘泥小节vt.小气地给..."
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
mission,"n.使命,任务,使团,代表团"
upper,"adj.上面的,上部的"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
academic,"adj.学院的,理论的"
famine,"n.饥荒,<古>饥饿,严重的缺乏"
divert,"v.转移,转向,使高兴"
verdict,"n.[律](陪审团的)裁决,判决,判断,定论,结论"
touchstone,"n.试金石,标准"
celestial,adj.天上的
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
literate,"n.学者adj.有文化的,有阅读和写作能力的"
visa,n.签证vt.签准 维萨信用卡
architect,n.建筑师
impress,"vt.印,盖印,留下印象"
viral,"adj.滤过性毒菌的,滤过性毒菌引起的"
delegate,n.代表vt.委派...为代表
invigorating,"adj.精神充沛的,爽快的"
constraint,"n.约束,强制,局促"
fallow,"n.休耕地adj.[农]休耕的,未孕的,潜伏发,不活跃的vt.使(土地)休闲,休整,潜伏(指潜在的特征等)"
expectation,"n.期待,预料,指望,展望,[数]期望(值)"
consequential,"adj.结果的,相因而生的"
fitting,"adj.适合的,相称的,适宜的n.试穿,试衣,装配,装置"
assurance,"n.确信,断言,保证,担保"
résumé,
phase,"n.阶段,状态,相,相位v.定相"
proactive,
apathy,"n.缺乏感情或兴趣,冷漠"
absurdity,"n.荒谬,谬论"
inaugurate,"vt.举行就职典礼,创新,开辟,举行开幕(落成、成立)典礼."
violence,"n.猛烈,强烈,暴力,暴虐,暴行,强暴"
photocopy,n.影印v.影印
additional,"adj.另外的,附加的,额外的"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
impression,"n.印象,感想,盖印,压痕"
malicious,"adj.怀恶意的,恶毒的"
crouch,"vi.蜷缩,蹲伏"
admonish,"vt.劝告,训诫,警告"
assent,n.赞成vi.同意
pollinate,vt.对...授粉
appointment,
weed,"n.野草,杂草v.除草,铲除"
demonstrate,"vt.示范,证明,论证vi.示威"
sociology,n.社会学
volume,"n.卷,册,体积,量,大量,音量"
besiege,"vt.围困,围攻,包围,"
flare,"n.闪光,闪耀vi.闪光,突然烧起来,闪耀vt.使闪耀,使张开"
inaudible,"adj.听不见的,不可闻的"
scuffle,v.混战n.混战
judicious,adj.明智的
enhance,"vt.提高,增强v.提高"
massive,"adj.厚重的,大块的,魁伟的,结实的"
medication,"n.药物治疗,药物处理,药物"
gross,"adj.总的,毛重的n.总额"
impressive,"adj.给人深刻印象的,感人的"
itinerary,n.路线
conducive,n.有益于
cohesive,adj.粘着的
constituent,"n.选举者,委托人,要素adj.有选举权的,组成的"
torrent,"n.急流,洪流,连发,迸发"
loose,"n.解放,放任,放纵adj.宽松的,不精确的,不牢固的,散漫的,自由的vt.释放,放枪,开船vi.变松,开火adv.松散地"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
memorable,"adj.值得纪念的,难忘的"
voluntary,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
resolute,adj.坚决的
prone,adj.倾向于
shove,"n.<口>推,挤vt.<口>推挤,猛推,强使vi.推"
venomous,"adj.有毒的,分泌毒液的,有毒腺的,恶意的,狠毒的"
cavort,vi.腾跃
treatment,"n.待遇,对待,处理,治疗"
efficiency,"n.效率,功效"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
association,"n.协会,联合,结交,联想"
registration,"n.注册,报到,登记"
decipher,"vt.译解(密码等),解释n.密电译文"
ignite,"v.点火,点燃"
illiterate,"n.文盲adj.不识字的,没受教育的"
antipathy,"n.憎恶,反感"
tributary,"adj.进贡的,附庸的,从属的,辅助的,支流的n.进贡国,附庸国,支流"
maximum,"n.最大量,最大限度,极大adj.最高的,最多的,最大极限的"
representative,"n.代表adj.典型的,有代表性的"
activate,
emphasise,
inherit,"vt.继承,遗传而得"
ardour,"n.热心,热情,情欲,激情,灼热"
stocky,"adj.矮壮的,健壮结实的"
lurk,"n.潜伏,埋伏vi.潜藏,潜伏,埋伏"
censorship,"n.审查机构,审查制度"
mundane,"adj.世界的,世俗的,平凡的"
appearance,"n.出现,露面,外貌,外观"
commute,"v.交换,抵偿,减刑,<电工>整流"
flight,"n.飞行,逃走,飞跃,飞机的航程,班机,追逐,楼梯的一段,射程vi.成群飞行,迁徙vt.射击(飞禽),使惊飞"
merely,"adv.仅仅,只,不过"
jealous,"adj.妒忌的,猜疑的,警惕的,嫉妒的"
weave,"n.编法,织法,编织vt.编织,组合,编排,使迂回前进vi.纺织,迂回行进,摇晃n.织法,织物"
engulf,"vt.卷入,吞没,狼吞虎咽"
contagious,"adj.传染性的,会感染的"
entity,n.实体
jeopardise,"v.使受危险,危及"
function,"n.官能,功能,作用,职责,典礼,仪式,[数]函数vi.(器官等)活动,运行,行使职责"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
microbiology,n.微生物学
log,"n.航行日志,原木,园形木材,园木v.把...记入航行日志,伐木,把...锯成段"
adventure,"n.冒险,冒险的经历v.冒险"
embellish,v.修饰
fiscal,"adj.财政的,国库的,会计的,国库岁入的n.(苏格兰和欧洲某些国家的)检查官,印花税票"
divulge,"vt.泄露,暴露"
disposable,adj.可任意使用的
contaminant,"n.致污物,污染物"
clue,n.线索
zoological,adj.动物学的
optimistic,adj.乐观的
migrate,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙vt.使移居,使移植"
abandon,"vt.放弃,遗弃;n.放任,狂热"
deterrent,n.威慑
remnant,"n.残余,剩余,零料,残迹adj.剩余的,残留的"
insolvency,"n.无力偿还,破产"
arbitrate,v.作出公断
agile,"adj.敏捷的,轻快的,灵活的"
devalue,"v.(=devaluate)减值,贬值"
corporate,"adj.社团的,法人的,共同的,全体的"
migrant,"n.候鸟,移居者"
shrug,n.耸肩v.耸肩
reservation,"n.保留,(旅馆房间等)预定,预约"
rebellion,"n.谋反,叛乱,反抗,不服从"
inexorable,adj.无情的
eradicate,v.根除
fortnight,n.两星期
picturesque,adj.独特的
convey,"vt.搬运,传达,转让"
destabilise,
availability,"n.可用性,有效性,实用性"
dealer,"n.经销商,商人"
deserve,"vt.应受,值得v.应受"
languish,"vi.憔悴,凋萎,衰退,苦思"
crumple,"v.弄皱,压皱,变皱,崩溃,垮台"
breach,"n.违背,破坏,破裂,裂口vt.打破,突破"
detective,n.侦探adj.侦探的
incendiary,"adj.纵火的,煽动的n.纵火犯,煽动者,燃烧弹"
equip,"vt.装备,配备,训练,准备行装"
complicate,v.(使)变复杂
sincere,"adj.诚挚的,真实的,真诚的"
respond,"v.回答,响应,作出反应vi.有反应"
scarce,"adj.缺乏的,不足的,稀有的,不充足的"
certify,"v.证明,保证"
wholesale,"n.批发,趸售adj.批发的,[喻] 大规模的"
adjunct,"n.附件,助手adj.附属的"
waggle,"v.来回摇动,摆动n.来回摇动,摆动"
exuberant,"adj.繁茂的,丰富的,非凡的,(语言等)华而不实的"
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
typical,"adj.典型的,象征性的"
leisure,"n.空闲,闲暇,悠闲,安逸"
predict,"v.预知,预言,预报"
complex,"adj.复杂的,合成的,综合的n.联合体"
deductive,"adj.推论的,演绎的"
detain,"v.拘留,留住,阻止"
impulsively,有推动力地
lunatic,"adj.精神错乱的,疯狂的,极端愚蠢的n.疯子,狂人,大傻瓜,疯人"
surveillance,"n.监视,监督"
drawback,"n.缺点,障碍,退还的关税,退税(指进口货物再出口时退还其进口时的关税)"
compose,"v.组成,写作,排字,(使)安定,调解"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
resist,"vt.抵抗,反抗,抗,忍得住"
minority,"n.少数,少数民族"
storey,n.[建] 层
laden,"adj.装满的,负载的,苦恼的 vbl.lade的过去分词"
conceit,"n.原义:想法,意见,自负,幻想,狂妄"
scarcity,"n.缺乏,不足"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
channel,"n.海峡,水道,沟,路线vt.引导,开导,形成河道 信道,频道"
scheme,"n.安排,配置,计划,阴谋,方案,图解,摘要v.计划,设计,图谋,策划"
destination,"n.目的地,[计] 目的文件,目的单元格"
compress,"vt.压缩,摘要叙述n.(外科)敷布"
destructive,adj.破坏(性)的
equivocal,"adj.意义不明确的,模棱两可的,可疑的"
affirmative,"adj.肯定的,(对正式辩论中的问题)表示赞成的,(态度,方法等)积极的,乐观的,怀有希望的n.肯定语"
prosecute,"vt.实行,从事,告发,起诉vi.告发,起诉,作检察官"
regime,"n.政体,政权,政权制度"
precarious,adj.不稳定的
mysterious,adj.神秘的
polish,"n.磨光,光泽,上光剂,优雅,精良vt.擦亮,发亮,磨光,推敲vi.发亮,变光滑adj.波兰的n.波兰人 Polish 波兰(Poland)的"
resit," <英>vt.(尤指考试不及格后)再参加(考试);vi.(考试不及格后)再考,重考"
transplant,"v.移植,移种,移民,迁移n.移植,被移植物,移居者"
comprehension,"n.理解,包含"
publicise,vt.<主英> =publicize
shudder,"n.vi.战栗,发抖"
prodigy,"n.惊人的事物,天才(特指神童),奇观,奇事"
appendix,"n.附录,附属品,[解]阑尾"
lethal,adj.致命的n.致死因子
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
poison,"n.毒药,败坏道德之事,毒害vt.毒害,败坏,使中毒vi.放毒,下毒"
cable,"n.电缆,海底电报,缆,索v.打(海底)电报"
prediction,"n.预言,预报"
postgraduate,"n.研究所学生,研究生adj.毕业后的"
hectic,"adj.脸上发红,发热的,兴奋的,狂热的,肺病的n.脸红,患肺结核"
diverge,"vi.(道路等)分叉,(意见等)分歧,脱离"
defendant,"n.被告adj.辩护的,为自己辩护的"
plunge,"n.跳进,投入vi.投入,跳进,陷入vt.使投入,使插入,使陷入"
stash,v.中断n.隐藏处
disadvantage,"n.不利,不利条件,缺点,劣势"
relocate,v.重新部署
infrastructure,"n.下部构造,基础下部组织"
enquire,
concentration,"n.集中,集合,专心,浓缩,浓度"
covert,"adj.隐蔽的,偷偷摸摸的,[律]在丈夫保护下的n.掩蔽处,隐藏处"
condolence,"n.哀悼,吊唁"
petition,"n.请愿,情愿书,诉状,陈情书v.请求,恳求,请愿"
marshal,"n.元帅,典礼官,执行官,司仪官vt.整顿,配置,汇集vi.排列,集合"
trek,"vi.牛拉车,艰苦跋涉vt.(牛)拉(货车),搬,运n.牛拉车旅行,艰苦跋涉"
insurance,"n.保险,保险单,保险业,保险费"
enquiry,n.询问
respondent,adj.回答的n.回答者
surgeon,n.外科医生
enrol,"vt.登记,入学vi.参军,注册"
offshoot,"n.分支,支流"
envision,"vt.想象,预想"
wobble,"n.摇晃,[生化]摆动,动摇,不稳定,变度vi.摇晃,摇摆,游移不定,抖动vt.使摇摆,使颤动"
outstrip,v.超过
plagiarism,"n.剽窃,剽窃物"
essence,"n.基本,[哲]本质,香精"
habitable,adj.可居住的
frequency,"n.频率,周率,发生次数"
foundation,"n.基础,根本,建立,创立,地基,基金,基金会"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
bustle,v.匆匆忙忙
revenue,"n.收入,国家的收入,税收"
retard,"vt.延迟,使减速,阻止,妨碍,阻碍"
impartial,"adj.公平的,不偏不倚的"
ventilation,"n.通风,流通空气"
disappointment,n.失望
residence,"n.居住,住处"
infer,v.推断
enrolment,"n.登记,入学"
empire,"n.帝国,帝权"
prototype,n.原型
confidential,"adj.秘密的,机密的"
circumference,"n.圆周,周围"
predecessor,"n.前辈,前任,(被取代的)原有事物"
periphery,n.外围
badminton,n.羽毛球
attraction,"n.吸引,吸引力,吸引人的事物"
accompany,"vt.陪伴,伴奏"
retailer,"n.零售商人,传播的人"
advantageous,adj.有利的
fierce,"adj.凶猛的,猛烈的,热烈的,暴躁的<美>极讨厌的,难受的,<英方>精力旺盛的"
illegible,"adj.难辨认的,字迹模糊的"
flinch,"vi.畏缩,退缩,畏首畏尾n.退缩,畏缩"
imperceptible,"adj.觉察不到的,感觉不到的,极细微的"
implication,"n.牵连,含意,暗示"
belief,"n.信任,信心,信仰"
continent,"n.大陆,陆地"
comprise,"v.包含,由...组成"
luxury,"n.奢侈,华贵"
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快"
invert,"adj.转化的vt.使颠倒,使转化n.颠倒的事物"
paralyse,"v.使麻痹,使瘫痪,使无助"
elapse,"vi.(时间)过去,消逝v.流逝"
surrender,"vt.交出,放弃,使投降,听任vi.投降,自首n.交出,放弃,投降 投降算了"
ingrain,"vt.生染,就原料染色,使根深蒂固adj.生染的,根深蒂固的n.生染的纤维,原料染色,本质"
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
possess,"vt.占有,拥有,持有,摆布,支配"
fruitful,"adj.果实结得多的,多产的,富有成效的"
enthusiastic,"adj.热心的,热情的"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
motion,"n.运动,动作v.运动"
assert,"v.断言,声称"
dock,"n.<美> 码头,船坞,被告席,尾巴的骨肉部分vt.靠码头,引入坞,剪短vi.入船坞"
perpetrate,v.犯
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
initial,"adj.最初的,词首的,初始的n.词首大写字母"
distinctive,"adj.与众不同的,有特色的"
uphill,"n.登高,上升adj.上坡的,向上的adv.上坡地,向上地"
resident,"n.居民adj.居住的,常驻的"
optical,"adj.眼的,视力的,光学的"
clumsy,adj.笨拙的
coherent,"adj.粘在一起的,一致的,连贯的"
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
spite,"n.(in ～ of)不顾,不管,敌意v.困扰"
minimum,"adj.最小的,最低的n.最小值,最小化"
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
shelter,"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体v.掩蔽,躲避"
frown,"vi.皱眉,蹙额,不赞成,反对v.皱眉"
conspicuous,adj.显著的
commitment,"n.委托事项,许诺,承担义务"
mature,"adj.成熟的,到期的,充分考虑的,(票据等)到期的vt.使成熟vi.成熟,到期"
circus,"n.马戏团,杂技团,马戏场,杂技场"
ambivalence,n.正反感情并存
precise,"adj.精确的,准确的n.精确"
expose,"vt.使暴露,受到,使曝光v.揭露"
foresee,"vt.预见,预知"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
priority,"n.先,前,优先,优先权"
desperate,"adj.不顾一切的,拚死的,令人绝望的"
diversion,"n.转移,转换,牵制,解闷,娱乐"
tunnel,"n.隧道,地道"
incidence,"n.落下的方式,影响范围,[物理]入射"
sanitation,"n.卫生,卫生设施"
violent,"adj.猛烈的,激烈的,暴力引起的,强暴的"
indifferent,adj.无关紧要的
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
conform,"vt.使一致,使遵守,使顺从vi.符合,相似,适应环境adj.一致的,顺从的"
depict,"vt.描述,描写"
bonus,"n.奖金,红利"
refreshment,"n.(常pl.) 点心,饮料,精力恢复,爽快"
avenge,"vt.为...报复,报仇"
assimilate,v.吸收
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
expire,"v.期满,终止,呼气,断气,届满"
prior,"adj.优先的,在前的n.预先adv.在"
fossil,"n.化石,僵化的事物adj.化石的,陈腐的,守旧的"
attribute,"n.属性,品质,特征,加于,归结于"
manifest,"n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明"
aisle,"n.走廊,过道"
cultivation,"n.培养,教养,耕作,中耕"
internship,"n.<美>实习医师,实习医师期"
biodiversity,
remark,"n.备注,评论,注意,注释vt.评论,注意,谈及vi.谈论"
simultaneously,adv.同时地
expel,"v.驱逐,开除,排出,发射"
private,"adj.私人的,私有的,私营的,秘密的n.士兵"
humid,"adj.充满潮湿的,湿润的,多湿气的"
tragic,"adj.悲惨的,悲剧的n.(文艺作品或生活中的)悲剧因素,悲剧风格"
cosy,"adj.舒适的,安逸的"
microscope,n.显微镜
portion,"n.一部分,一分"
enfranchise,"vt.给予选举权,给予自治权,解放"
discourage,"vt.使气馁,阻碍"
congratulate,"vt.祝贺,庆贺,恭喜"
logic,"n.逻辑,逻辑学,逻辑性"
assistance,"n.协助,援助,补助,<英>国家补助"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
institution,"n.公共机构,协会,制度"
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
resistant,"adj.抵抗的,有抵抗力的"
velocity,"n.速度,速率,迅速,周转率"
elicit,"vt.得出,引出,抽出,引起"
hook,"n.钩,吊钩v.钩住,沉迷,上瘾"
monster,"n.怪物,妖怪"
mild,"adj.温和的,温柔的,淡味的,轻微的,适度的,不含有害物质的的"
fraud,"n.欺骗,欺诈行为,诡计,骗子,假货"
deport,"vt.举止,驱逐"
chunk,"n.大块,矮胖的人或物"
constitute,"vt.制定(法律),建立(政府),组成,任命"
barge,"n.驳船,游艇vt.用船运输vi.蹒跚,闯入"
myriad,"n.无数,无数的人或物,<诗>一万adj.无数的,一万的,种种的"
schedule,"n.时间表,进度表v.确定时间"
construction,"n.建筑,建筑物,解释,造句"
statistics,"n.统计学,统计表"
prescription,"n.指示,规定,命令,处方,药方"
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
crystallise,v.<主英>=crystallize
penalise,
hassle,n.激战vi.争论vt.与...争辩
sedentary,"adj.久坐的,坐惯的,土生的,不移栖的,沉积的n.惯于久坐的人"
emeritus,"adj.名誉退休的,退休的"
layer,"n.层,阶层"
conflict,"n.斗争,冲突vi.抵触,冲突"
distort,"vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报"
conductive,adj.传导的
convince,"vt.使确信,使信服"
acquaintance,"n.相识,熟人"
rig,"n.索具装备,钻探设备,钻探平台,钻塔v.装上索具,配备,装配"
libel,"n.以文字损害名誉,诽谤罪,侮辱v.诽谤,中伤,诬蔑,损害名誉"
dignity,"n.尊严,高贵"
introspection,"n.内省,反省,自省"
religion,"n.宗教,信仰"
bump,"n.撞击,肿块v.碰(伤),撞(破),颠簸"
repel,"vt.击退,抵制,使厌恶,使不愉快"
subtitle,"n.副题(书本中的),说明对白的字幕"
celebrity,"n.名声,名人"
inferential,adj.推论性的
downsize,"vt.以较小尺寸设计(或制造),缩小(汽车等)的外部尺寸"
duplicate,"adj.复制的,副的,两重的,两倍的,完全相同n.复制品,副本vt.复写,复制,使加倍,使成双"
