abatement,n.消除
nomad,"n.游牧部落的人,流浪者,游牧民adj.游牧的"
nominal,"adj.名义上的,有名无实的,名字的,[语]名词性的n.名词性词"
nominate,"vt.提名,推荐,任命,命名"
nonplus,"vt.使困惑n.迷惑,困惑,为难"
noose,"n.套索,束缚,陷阱,(the noose)绞刑vt.用套索捉"
nostrum,n.秘方
noxious,adj.有害的
nucleate,v.(使)成核adj.有核的
nugatory,"adj.无价值的,没有力量的,无效的"
nullify,v.无效
numinous,"adj.精神上的,超自然的"
numismatist,n.钱币奖章收藏家
oasis,"n.(沙漠中)绿洲,(不毛之地中的)沃洲,舒适的地方"
oath,"n.誓言,宣誓,诅咒"
obedient,"adj.服从的,孝顺的"
obeisance,"n.敬礼,鞠躬,顿首,服从"
objection,"n.异议,缺陷,妨碍,拒绝之理由"
objective,"n.目标,目的,(显微镜的)(接)物镜,[语法]宾格adj.客观的,[语法]宾格的"
oblige,"vt.迫使,责成"
oblique,"adj.倾斜的,间接的,不坦率的,无诚意的"
obloquy,"n.漫骂,毁谤"
obnoxious,"adj.不愉快的,讨厌的"
observance,"n.遵守,惯例,仪式,庆祝"
obsess,"vt.迷住,使困扰"
obsession,"n.迷住,困扰"
obsessive,"adj.强迫性的,分神的"
obsolete,"adj.荒废的,陈旧的n.废词,陈腐的人"
obstinate,"adj.倔强的,顽固的"
obstreperous,"adj.喧嚣的,任性的"
obstruction,"n.阻塞,妨碍,障碍物"
obtrude,"vt.强迫,冲出vi.打扰"
obtuse,"adj.钝的,圆头的,愚蠢的,迟钝的"
obverse,adj.正面的
occlude,"v.使闭塞,使锢囚"
occult,"adj.神秘的,玄妙的,不可思议的,超自然的v.掩蔽,隐藏n.神秘之事"
ocular,"adj.眼睛的,视觉的n.目镜,眼睛"
ode,"n.颂诗,赋"
odium,"n.憎恶,讨厌"
odometer,n.<美>(汽车等的)里程表
odoriferous,"adj.散发气味的,臭的"
offbeat,adj.不规则的
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快"
offensive,"adj.讨厌的,无礼的,攻击性的n.进攻,攻势"
offish,adj.冷漠的
offset,"n.偏移量,抵销,弥补,分支,平版印刷,胶印vt.弥补,抵销,用平版印刷vi.偏移,形成分支"
ogle,"n.媚眼,送秋波,眉目传情vt.注视vi.抛媚眼,送秋波"
ointment,"n.药膏,油膏"
oleaginous,adj.油质的
olfactory,adj.嗅觉的
omelet,n.煎蛋卷
omnipresent,"adj.无所不在的,同时遍在的"
omniscient,"adj.全知的,无所不知的n.无所不知者,[宗]上帝"
omnivorous,"adj.杂食的,什么都吃的,什么都读的,随手乱拿的"
onset,"n.攻击,进攻,有力的开始,肇端n.[医]发作"
onslaught,n.冲击
onus,"n.责任,负担"
ooze,"n.[地] 软泥v.渗出,泄漏"
opalescence,"n.乳白光,蛋白色光"
opaque,"n.不透明物adj.不透明的,不传热的,迟钝的"
opine,"v.想,以为"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
oppress,"vt.压迫,压抑"
opulence,n.富裕
oracle,"n.[宗](古希腊)神谕,预言,神谕处,神使,哲人,圣贤 美国ORACLE公司,主要生产数据库产品,也是主要的网络计算机的倡导者"
oracular,"adj.神谕的,谜似的"
oratory,n.讲演术
orchard,"n.果园,果园里的全部果树,<美俚>棒球场"
ordain,"vt.注定,规定,任命(牧师)vi.颁布命令"
ordinance,"n.法令,训令,布告,条例,圣餐礼,传统的风俗习惯"
orient,"n.东方,东方诸国(指地中海以东各国)adj.东方的,上升的,灿烂的vi.适应形势,向东vt.使朝东,使适应,确定方向"
ornate,"adj.装饰的,华丽的,(文体)绚丽的"
ornery,"adj.爱争吵的,卑下的,一般的"
orotund,"adj.响朗的,洪亮的,夸大的"
orthodox,"adj.正统的,传统的,习惯的,保守的,东正教的"
oscillate,v.振荡
osmosis,"n.渗透(作用),渗透性"
osseous,"adj.[生化]骨的,骨质的"
ostensible,"adj.可公开得,(指理由等)表面的,虚假的"
ostracism,"n.(古希腊)贝壳放逐法,放逐,排斥"
other-directed,
otiose,"adj.闲着的,怠惰的,没有用的,多余的"
outfox,vt.以计取胜
outlandish,"adj.外国气派的,偏僻的,古怪的,奇异的"
outlet,"n.出口,出路"
outmaneuver,"v.以策略制胜,以机动性胜过"
outset,"n.开端,开始"
outshine,"vt.比...更亮,使相形见绌,胜过vi.放光,照耀"
outwit,"vt.瞒骗,以智取胜"
oven,"n.烤箱,烤炉,灶"
overbearing,"adj.傲慢的,专横的"
overflow,"n.溢出,超值,泛滥,充满,洋溢v.(使)泛滥,(使)溢出,(使)充溢"
overhaul,v.检查
overreach,"vt.走过头vi.延伸过远,(马)以后蹄踢前蹄"
overriding,
oversee,"v.俯瞰,监视,检查,视察"
oversight,"n.勘漏,失察,疏忽,失败,小心照顾"
overthrow,"n.推翻,打倒,扔得过远得球vt.打倒,推翻,颠覆"
overture,n.建议
overweening,"adj.骄傲的,自负的,夸大了的"
oxidize,v.(使)氧化
pacify,"vt.使平静,安慰,抚慰"
pact,"n.合同,公约,协定"
pagan,n.异教徒adj.异教的
painstaking,"n.苦干,辛苦adj.辛苦的,辛勤的,艰苦的"
palate,"n.[解]上腭,味觉,趣味"
palatial,adj.富丽堂皇的
palaver,"n.谈判,交涉,闲聊vi.谈话(谈废话),阿谀vt.阿谀,哄骗"
palette,"n.调色板,颜料"
pall,"n.棺罩,幕,遮盖物vi.走味vt.覆盖,使平淡无味,使生厌,感到腻烦"
palliate,v.减轻
palliative,adj.减轻的n.辩解
pallid,"adj.苍白的,暗淡的"
palpitate,v.跳动
pamper,v.纵容
pan,"n.平底锅,盘子,面板 Pan <希神>潘(半人半羊的山林和畜牧之神)"
pandemonium,"n.混战场,喧哗吵闹,喧嚣,大混乱,大吵大闹"
pander,"vi.勾引,拉皮条n.拉皮条者,勾引者"
pane,"n.长方块,尤指窗格,窗格玻璃,边,面"
pang,"n.剧痛,悲痛vt.使剧痛"
panic,"n.惊慌,恐慌,没有理由的"
panorama,"n.全景 全景画,全景摄影"
panoramic,adj.全景的
parallelism,"n.[数]平行,对应,类似"
paralyze,"vt.使瘫痪,使麻痹"
parch,"vt.烤(干),烘(干)vi.烤干,焦干"
pare,"vt.剥,削,修,削减,消灭"
parity,n.奇偶
parley,n.会谈
parlous,"adj.危险的,不易对付的,精明的,狡猾的adv.非常地,极"
parochial,"adj.教区的,地方范围的,狭小的"
parry,n.躲避
particularize,"v.详细说明,列举,大书特书"
partition,"n.分割,划分,瓜分,分开,隔离物vt.区分,隔开,分割"
parturition,"n.分娩,生产"
passe,"adj.已过盛年的,凋谢的"
passive,adj.被动的
pastiche,"n.混成曲,模仿画"
pastoral,"n.牧歌,田园文学,田园诗adj.牧人的,田园生活的,牧师的"
pastry,"n.面粉糕饼,馅饼皮"
patch,"n.片,补缀,碎片,斑纹,斑点,小块地,眼罩,傻瓜;vt.修补,补缀,掩饰,平息"
patent,"n.专利权,执照,专利品adj.特许的,专利的,显著的,明白的,新奇的vt.取得...的专利权,请准专利"
pathetic,"adj.可怜的,悲惨的"
pathology,n.病理学
patriot,n.爱国者
patriotism,"n.爱国心,爱国精神"
pauper,"n.叫花子,乞丐"
pavid,"adj.害怕的,胆小的"
pawn,"n.典当,抵押物,人质,(象棋)兵、卒,爪牙,被人利用的人vt.当掉,以...担保"
peachy,adj.桃色的
peak,"n.山顶,顶点,帽舌,(记录的)最高峰adj.最高的vi.到达最高点,消瘦,缩小vt.使竖起,使达到最高点"
peaky,"adj.尖峰的,多峰的"
pecan,"n.[植]美洲山核桃树,美洲山核桃"
peck,"n.啄痕,许多,配克(容量单位,等于2加仑)vt.啄食,扔vi.啄,吹毛求疵,啄食,扔石头v.<口>吃一点点"
peckish,"adj.饥饿的,唠叨的"
peculate,"v.挪用,盗用"
pedagogy,"n.教学,教授,教育学"
pedal,n.踏板v.踩...的踏板
peddle,"vi.挑卖,沿街叫卖vt.叫卖,散播"
pedestal,"n.基架,底座,基础vt.加座,搁在台上,支持"
peek,"n.一瞥,匆忙看过v.偷看"
peel,"v.剥,削,剥落"
peep,"n.窥看,隐约看见vi.窥视,偷看"
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
peery,
peeve,"v.(使)气恼,(使)焦躁,(使)忿怒n.麻烦的事物,怨恨,触怒"
pell-mell,
pellucid,"adj.透明的,澄清的,易懂的"
pelt,"n.投掷,疾行,毛皮vt.剥...的皮,投掷,投击,(雨、雪等)急降,攻击vi.投击,猛落"
penalty,"n.处罚,罚款"
penance,"n.[天主教]忏悔,苦修vt.使...以苦行赎罪"
pendent,"adj.悬而未决的,未定的"
pendulous,adj.下垂的
pendulum,"n.钟摆,摇锤"
penetrate,"vt.穿透,渗透,看穿,洞察vi.刺入,看穿,渗透,弥漫"
penicillin,"n.[微]青霉素(一种抗菌素,音译名为盘尼西林)"
penury,"n.贫困,贫穷"
perambulate,v.巡行
perch,"n.栖木,人所居的高位,有利的地位,杆,河鲈v.(使)栖息,就位,位于"
percolate,"n.滤过之液体,滤液v.过滤"
peremptory,"adj.断然的,专横的,强制的"
perfidy,"n.不诚实,背信"
perforate,v.打孔
peril,n.危险
periphrastic,"adj.迂回的,转弯抹角的"
perish,"vi.毁灭,死亡,腐烂,枯萎vt.毁坏,使麻木"
perishing,"adj.严厉的,讨厌的"
perjure,"vt.使发伪誓,使破坏誓言"
perjury,"n.伪誓,伪证"
perk,"vi.昂首,恢复,振作vt.竖起,打扮"
perky,"adj.自信的,得意洋洋的"
perpetual,adj.永久的
persecute,v.迫害
persiflage,"n.戏弄,挖苦"
persistence,"n.坚持,持续"
persnickety,"adj.爱挑剔的,难应付的"
pertain,"v.适合,属于"
pertinacious,adj.固执的
peruse,v.细读
perverse,adj.不正当的
pervert,v.反常
pervious,adj.能被通过的
pester,"vt.使烦恼,纠缠"
pestilent,adj.致命的
pestle,"n.乳钵,槌,杵v.用槌磨,用杵捣"
petal,n.花瓣
petitioner,n.请求者
petrify,"v.石化,吓呆"
pettish,"adj.易怒的,闹情绪的"
petty,"adj.小的,不重要的,小规模的,小型的,细微的,小器的,卑鄙的"
petulance,"n.闹气,性急"
phantom,n.幻影
pharisaic,
pharmacology,n.药理学
philately,"n.集邮,集邮的兴趣"
philology,"n.语言学,文献学"
phoenix,"n.凤凰,长生鸟,完人,完美之物"
phony,adj.假冒的n.假冒者
picayunish,adj.=picayune
pictorial,adj.图示的n.画报
piddle,"vi.撒尿,鬼混,游荡"
piddling,"adj.不重要的,微不足道的"
piebald,adj.花斑的n.花马
piecemeal,v.粉碎
pied,"adj.斑驳的,杂色的"
pierce,"vt.刺穿,刺破,穿透,突破,深深感动"
pigment,"n.[生]色素,颜料"
pilfer,"v.盗,偷,窃"
pillage,v.掠夺n.掠夺
pilot,"n.飞行员,领航员,引水员vt.驾驶(飞机等),领航,引水v.驾驶"
pinch,"n.捏,撮,收缩,紧急关头,匮乏,压力vt.掐,夹痛,修剪,勒索,使感缺乏,使萎缩,偷vi.收缩,节省"
piquant,"adj.开胃的,辛辣的,泼辣的,兴奋的,顽皮的,淘气的"
pique,"n.不满,生气,愤怒vt.伤害...自尊心,使...生气"
pirate,"n.海盗,盗印者,盗版者,侵犯专利权者vt.盗印,盗版,掠夺,翻印vi.做海盗"
pirouette,n.脚尖旋转vi.以脚尖旋转
piscatorial,"adj.渔业的,渔民的"
piteous,"adj.哀怨的,可怜的"
pith,"n.(植物的)木髓,骨髓,重要部分,核心,意义,精华,精力vt.除去木髓,杀死"
pithiness,"n.有力,简洁"
pitiless,adj.无情的
pittance,"n.少量,微薄的薪俸"
pivot,"n.枢轴,支点,(讨论的)中心点,重点adj.枢轴的vi.在枢轴上转动vt.装枢轴于"
placard,n.布告v.张贴
plagiarize,"v.剽窃,抄袭"
plague,"n.瘟疫,麻烦,苦恼,灾祸vt.折磨,使苦恼,使得灾祸"
plain,"n.平原,草原adj.简单的,明白的,平常的,清晰的,普通的,朴素的adv.清楚地n.[计] 无格式"
plait,n.辫子vt.把...打成辫
plangent,"adj.轰鸣的,凄切的"
plank,"n.厚木板,支架,(政党的)政纲条款vt.铺板,立刻付款vi.睡在板上"
plaster,"n.石膏,灰泥,膏药,橡皮膏vt.涂以灰泥,敷以膏药,减轻,粘贴,重创"
plateau,"n.高地,高原(上升后的)稳定水平(或时期、状态)"
platonic,"adj.柏拉图哲学的,柏拉图主义的,理想的,不切实际的"
plaudit,n.喝采
plaza,"n.广场,露天汽车停车场,购物中心"
plead,"vi.辩护,恳求vt.为...辩护,借口,托称"
pleat,"n.褶,褶状物vt.使...打褶"
plebeian,"n.平民,庶民adj.平民的,卑俗的"
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
plenary,"adj.(指权力)无限的、绝对的,(指会议)全体出席的,充分的,完全的"
plenitude,n.充分
plentitude,n.=plenitude
pleonastic,"adj.冗言的,重复的"
plod,"n.沉重的脚步vi.沉重地走,辛勤工作vt.沉重缓慢地走"
plough,"n.犁v.耕,犁,犁耕,费力穿过,艰苦前进,在考试中淘汰"
ploy,"n.策略,趣味,工作"
plumber,n.水管工人
plummet,"n.铅锤,重荷vi.垂直落下"
plunder,"v.抢劫n.抢劫,战利品"
pluralist,"n.兼管数个教堂者,兼职者"
plush,"n.长毛绒adj.长毛绒做的,豪华的,舒服的"
poach,"vt.水煮(荷包蛋),把...踏成泥浆,侵入偷猎,窃取vi.偷猎"
pod,"n.密集小群,扁豆层,豆荚,蚕茧vi.结荚,生荚"
podiatrist,n.足病医生
podium,"n.乐队指挥台,墩座墙"
poignancy,"n.辛酸(事) 强烈,尖刻,辛辣"
poisonous,adj.有毒的
poke,"n.刺,戳,懒汉,袋子vt.戳,捅,拨开,刺vi.戳,刺,捅,伸出,刺探,闲荡"
polemic,adj.争论的
polemical,"adj.辩论法,辩论术,好辩的,挑起争端的"
poll,"n.选举之投票,民意测验v.投票,获得选票,选举中获得"
pollster,"n.民意测验专家,整理民意测验结果的人"
polymath,n.博学者
poncho,n.雨布
ponder,"v.沉思,考虑"
ponderable,adj.可以估计的
pontifical,"adj.罗马教皇的,主教的,大祭司的n.主教祭服及徽章,主教仪典书"
poohed,adj.疲倦的
pool,"n.池,撞球,联营,石油层vt.合伙经营,共享,共有,集中(钱、力量等),采掘,汇聚成vi.汇合成塘,郁积,联营"
portentous,adj.预示性的
posit,v.安置
positiveness,
poster,"n.海报,招贴,(布告,标语,海报等的)张贴者"
postiche,"n.<法>仿造品,adj.(建筑装饰等的)硬加的,画蛇添足的"
potation,n.饮料
potboiler,"n.为混饭吃而粗制滥造的文艺作品,粗制作品作家(或画家)"
potentate,n.当权者
potentiate,v.加强
pother,n.喧闹v.烦恼
potpourri,"n.花香,肉菜杂烩"
pouch,"n.小袋,烟草袋,钱袋,育儿袋vt.把...装入袋中,使成袋状vi.成袋状"
pound,"n.磅,英镑,重击,鱼塘,兽栏,拘留所vt.强烈打击,捣烂,监禁,关入栏vi.连续重击,连续敲打,苦干"
prance,"n.(马)后足立地腾跃,昂首阔步vi.腾跃,欢跃,昂首阔步vt.使腾跃"
prank,"n.胡闹,开玩笑,恶作剧vt.装饰,打扮vi.打扮得漂亮"
prate,v.空谈n.空谈
preach,v.鼓吹
preamble,n.导言
precept,n.规则
precocious,adj.早熟的
predilection,"n.爱好,偏袒"
preen,"vt.(鸟)用嘴整理,打扮,赞扬vi.把(自己)打扮漂亮"
prefigure,v.预示
prehensile,adj.适于抓住的
prelude,"n.先驱,前奏,序幕"
premiere,"v.初次公演,初演主角n.初次的演出adj.突出的,杰出的"
premium,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水"
preponderant,adj.占有优势的
preponderate,"vi.以重量胜过,占优势,超过,胜过"
prepossessing,adj.引人注意的v.灌输
preposterous,adj.荒谬的
presage,n.预兆v.预示
prescience,"n.预知,先见"
presentation,"n.介绍,陈述,赠送,表达"
presentiment,"n.预感,预觉"
preside,v.主持
pressing,adj.紧迫的v.挤压
prestige,"n.声望,威望,威信"
presumption,n.假定
presupposition,"n.预想,假设"
pretence,n.伪装
pretension,"n.借口,要求,主张,自负,骄傲"
pretext,"n.借口,托辞v.借口"
prevaricate,v.支吾搪塞
preview,"n.事先查看,[计]预览vt.事先查看,预展,预演"
prevision,"n.先见,预知"
prey,"n.被掠食者,牺牲者,掠食vi.捕食,掠夺,折磨"
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
privation,"n.缺乏,穷困,丧失,被剥夺了某物的状态"
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免"
probe,"n.探针,探测器vt.(以探针等)探查,查明"
proceeds,n.pl.收益
procession,"n.行列,队伍"
proclaim,"vt.宣布,声明,显示,显露"
procrastinate,"v.延迟,耽搁"
procrustean,"adj.残暴的,强求一致的"
profane,adj.亵渎的v.亵渎
proffer,v.提供n.提供
profiteer,n.奸商
profligate,"adj.放荡的,不检点的,肆意挥霍的n.放荡者,享乐者"
progenitor,"n.祖先,起源"
progeny,n.后裔
prognosis,n.预后
prognosticate,v.预言
projectile,n.射弹adj.发射的
projection,n.发射
projector,n.放映机
prolix,"adj.冗长的,说话罗嗦的"
prologue,n.序言
promenade,n.散步v.散步adj.散步的
prominent,"adj.卓越的,显著的,突出的"
promissory,"adj.允诺的,约定的,有约束力的"
prompt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地"
prong,"n.叉子,干草耙,尖头vt.刺,戳,贯穿"
prop,"n.支持者,倚靠人,道具,螺旋桨vt.支撑,维持"
prophecy,"n.预言,预言能力"
prophet,"n.先知,预言者,提倡者"
propulsion,"n.推进,推进力"
prorogue,n.休会
prosecution,"n.进行,经营,检举,起诉"
prosperity,n.繁荣
prosperous,adj.繁荣的
protagonist,"n.(戏剧,故事,小说中的)主角,领导者,积极参加者"
protean,"adj. 变化多端的,变化无常的"
protocol,"n.草案,协议"
protuberance,"n.隆起,突出,结节,瘤"
protuberant,"adj.突起的,凸出的,隆起的"
provenance,"n.起源,出处"
proverbially,"adv.如谚语所说的,众所周知的"
providential,adj.幸运的
prowess,n.威力
prowl,v.巡游
prude,"n.装成规矩的女人,(尤指在性问题上)故做正经的女人"
prune,v.剪除
pry,
puerile,"adj.幼稚的,孩子气的,未成熟的,平庸的"
puffery,"n.吹捧,鼓吹,吹捧的广告"
puissant,"adj.(诗)强大的,有势力的"
pulchritude,"n.美丽,标致"
pullet,n.(通常指孵出后不到一年的)小母鸡
pullulate,"vi.发芽,抽芽,充满,成长,发展,产生"
pulp,"n.(水果的)果肉,纸浆vt.使化成纸浆,除去...果肉,vi.变成纸浆"
pulpit,n.(教堂的)讲道坛
pulverize,v.研磨成粉
punch,"n.冲压机,冲床,打孔机vt.冲孔,打孔"
punctilious,"adj.拘泥细节的,谨小慎微的,一丝不苟的,"
pundit,"n.印度学者,梵文学家,博学者"
puny,"adj.小的,弱的,微不足道的"
purgatory,"n.涤罪,炼狱,暂时受苦的地方"
purge,"n.净化,清除,泻药v.(使)净化,清除,肃清,(使)通便"
purify,vt.使纯净v.净化
purloin,"v.偷窃,盗取"
purported,"adj.传说的,谣传的"
purse,n.钱包
purvey,"v.供给,供应"
pushy,adj.有进取心的
pusillanimous,"adj.懦弱的,胆小的,优柔寡断的"
putative,"adj.推定的,假定的,被公认的"
putrefy,"v.(使)化脓,(使)腐烂,(使)堕落"
putrid,"adj.腐烂的,<口>非常讨厌的"
quack,"v.(指鸭)呷呷地叫,大声闲聊,吹嘘n.(鸭子)呷呷叫声,庸医,骗子adj.骗人"
quaff,"v.一口气喝干,大口地喝n.一饮而尽,痛饮"
quail,v.感到恐惧
qualm,n.疑虑
quandary,"n.困惑,窘境,进退两难"
queer,"n.同性恋者adj.奇怪的,可疑的,不舒服的vt.搞糟n.同性恋者"
quell,v.镇压
quench,"vt.结束,熄灭,淬火vi.熄灭,平息"
query,"n.质问,询问,怀疑,疑问v.询问,表示怀疑"
queue,"n.行列,长队,队列vi.排队,排队等待"
quibble,"n.双关语,遁辞,谬论vi.以双关语说出,说模棱两可的话,说俏皮话vt.对...诡辩"
quirk,"n.急转,遁词,怪癖"
quondam,"adj.原来的,以前的"
quota,"n.配额,限额"
quotidian,"adj.每日的,每日发作的,平凡的,日常的n.日发虐"
rabid,"adj.狂暴的,激烈的,患有狂犬病的"
rack,"n.架,行李架,拷问台,小步跑,烧酒,破坏vt.放在架上,在架上制作,折磨,加以拷问,使痛苦,榨取vi.在饲草架装满干草,变形,(云)随风飘,(马)小步跑"
raff,"n.大量,(乱七八糟的)一大堆"
rakish,"adj.轻快的,俏皮的,潇洒的,放荡的"
ramble,v.漫游n.漫游
rambunctious,"adj.粗暴的,骚乱的,难控制的"
rampage,"n.乱闹,暴跳vi.发怒,乱闹,狂暴"
rankle,"vi.溃烂,发炎,怨恨vt.激怒"
ransom,"n.敲诈,勒索vt.赎回,勒索赎金"
rant,"v.咆哮,激昂地说n.咆哮,激昂的演说"
rapacious,"adj.掠夺的,贪婪的"
rapids,
rapport,"n.和谐,亲善"
rapprochement,"n.和睦,亲善"
rapt,adj.全神贯注的
rarefaction,"n.变稀薄,稀薄"
rasp,"n.粗锉刀,擦菜板,刺耳声,激怒人的举动vt.用粗锉刀锉,用擦菜板擦碎,粗声粗气地说vi.粗锉,锉磨,发刺耳声"
raspy,"adj.刺耳的,焦躁的,易怒的"
ratification,n.批准
ratiocination,"n.推理,推论"
ration,"n.定量,配给量,定量配给v.配给,分发,实行定量配给"
rattle,"v.发出卡嗒卡嗒声,喋喋不休,急忙地做n.吓吱声,喋喋不休的人"
ravel,"vt.使纠缠,使混乱,解开,弄清vi.散开,解决n.错综复杂的一团"
ravening,"n.掠夺,掠夺物adj.掠夺的"
ravenous,"adj.贪婪的,渴望的,狼吞虎咽的"
ravish,v.强夺
ravishing,adj.引人入胜的
razor,n.剃刀vt.剃
readily,"adv.乐意地,欣然,容易地"
ready,"adj.有准备的,准备完毕的,甘心的,情愿的,现成的,迅速的"
realign,"v.重新排列,再结盟"
reap,"v.收割,收获"
rebarbative,adj.令人讨厌的
rebuff,n.回绝v.回绝
rebuttal,"n.辩驳,举反证"
recall,"vt.回忆,回想,记起,取消n.召回"
recant,v.放弃
receipt,"n.收条,收据,收到v.收到"
recess,"n.(墙壁等的)凹进处,[解]隐窝vt.使凹进vi.休假,休息"
recherché,
recipe,n.处方
reciprocal,"adj.互惠的,相应的,倒数的,彼此相反的n.倒数,互相起作用的事物"
reckon,"vt.计算,总计,估计,猜想vi.数,计算,估计,依赖,料想"
recline,v.放置
recollection,"n.回忆,记忆,回想"
recombine,"vt.再结合,重组"
recompense,v.报偿n.报偿
reconnoiter,"v.侦察,勘查"
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
rectitude,"n.正直,公正,清廉,笔直"
recumbent,"adj.靠着的,斜躺着的,不活动的,休息的"
recusant,adj.不服权威的n.老唱反调的人
redemptive,"adj.赎回的,挽回的,用于补偿的"
redolent,adj.芬芳的
redoubtable,adj.可怕的
redress,"n.赔偿,救济,矫正vt.纠正,矫正,赔偿,救济,重新穿衣,重新调整,重新敷裹"
redundancy,n.冗余
reek,"n.<主苏格兰>烟,水蒸汽,雾,臭气vi.冒烟,发臭气,散发vt.用烟熏,散发"
reel,"n.(棉纱,电线等的)卷轴,(磁带等的)一盘,旋转,蹒跚vt.卷...于轴上,使旋转vi.蹒跚地走,旋转,眩晕,骚乱,退缩,摇晃"
refectory,"n.(修道院,学院等处的)食堂,餐厅"
refraction,"n.折光,折射"
refresh,"v.(使)精神振作,(使)精力恢复,更新"
refulgent,"adj.辉煌的,灿烂的"
refurbish,"vt.再磨光,刷新"
refute,"vt.驳倒,反驳"
regime,"n.政体,政权,政权制度"
regress,"v.复原,逆行,使倒退n.退回,回归,归复权"
regurgitate,"v.(使)涌回,(使)流回,(使)反刍"
rehearse,"vt.预演,排演,使排练,复述,练习,背诵,作假vi.排练,练习,演习"
reincarnate,"vt.赋予新肉体,使转生"
rejoice,"v.(使)欣喜,(使)高兴,喜悦"
rejoin,"vt.使再结合,再加入,再回答vi.重新聚集,回答,答辩"
rejoinder,n.反驳
rejuvenate,"vt.使年轻,使复原,使恢复精神,使恢复活力,使回春,使更新vi.返老还童,复原"
relapse,"n.复发,回复原状vi.故态复萌,旧病复发"
relent,"vi.变宽厚,变温和"
reliance,"n.信任,信心,依靠,依靠的人或物"
relic,"n.遗物,遗迹,废墟,纪念物"
remainder,"n.残余,剩余物,其他的人,[数]余数v.廉价出售adj.剩余的,出售剩书的"
remains,"n.残余,遗迹,遗体"
remand,"n.送还,还押vt.归还,还押"
reminder,"n.提醒的人,暗示"
reminisce,v.回忆
remission,n.免除
remit,"vt.宽恕,赦免,免除,缓和,推迟,汇出,传送,使复职vi.缓和,汇款n.移交的事物"
remittance,"n.汇款,汇寄之款,汇款额"
remonstrance,n.抗议
remonstrate,v.抗议
remunerate,v.酬劳
renal,"adj.肾脏的,肾的"
renascent,"adj.新生的,复活的,复兴的"
rend,v.撕碎
rendering,"n.翻译,表现,描写,透视图,粉刷,表演,打底,复制图"
rendition,"n.表演,演唱,翻译"
renege,"vi.食言,违例出牌vt.否认,拒绝n.出牌违例"
renovate,"vt.革新,刷新,修复"
rent,"v.租,租借,出租n.租金"
renunciate,"v.放弃,抛弃,宣布中止"
repartee,"n.巧妙的应答,巧妙应答之才能"
repent,"v.后悔,悔改,忏悔,悔悟"
repercussion,"n.弹回,反响,(光、声等的)反射"
repine,v.抱怨
repose,"n.休息,睡眠,静止vt.使休息,寄托于vi.休息,长眠,静卧,建立于,座落,依靠"
reprehend,n.责备
repressed,"adj.被抑制的,被压抑的"
reprieve,"n.缓刑(尤指缓期执行死刑),缓刑令,(痛苦,烦恼等的)暂缓vt.暂减,缓期执行"
reprobate,v.非难
reproof,"n.谴责,非难"
repulsion,"n.推斥,排斥,严拒,厌恶,反驳"
reputation,"n.名誉,名声"
requite,"vt.报答,酬谢"
rescission,n.废除
resentment,"n.怨恨,愤恨"
resident,"n.居民adj.居住的,常驻的"
residue,"n.残余,渣滓,滤渣,残数,剩余物"
resigned,"adj.顺从的,听天由命的"
resilience,"n.弹回,有弹力,恢复力,顺应力,轻快,达观,愉快的心情"
resound,"v.回响,赞扬"
resourceful,"adj.资源丰富的,足智多谋的"
resplendent,"adj.辉煌的,灿烂的,光辉的,华丽的"
restiveness,"n.倔强,难以驾御"
restless,"adj.得不到休息的,不平静的,不安宁的"
restorative,adj.有助于复元的n.滋补剂
restored,
restrain,"vt.抑制,制止"
resurgence,n.苏醒
retaliation,"n.报复,报仇"
retard,"vt.延迟,使减速,阻止,妨碍,阻碍"
retch,"vi.作呕,恶心"
retention, 保持力
retiring,adj.退休的
retort,"v.反驳,反击,回报n.曲颈甑,曲颈瓶,蒸器"
retouch,v.润饰
retrace,v.折回
retreat,"vi.撤退,退却n.撤退,退却"
retrench,"vt.紧缩,节约,减少,删除,给...筑围墙vi.紧缩,节省"
revenge,"n.报仇,复仇vt.替...报仇,复仇"
revenue,"n.收入,国家的收入,税收"
reversion,"n.反转,逆转,返祖,隔代遗传,回复,复原,归还,继承权"
revive,"v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
revolt,"v.反抗,起义,反叛,反感,厌恶"
revulsion,n.抽回
rewarding,"adj.报答的,有益的,值得的"
rhubarb,"n.大黄,大黄的叶柄"
ribald,adj.下流的
rife,adj.普遍的
rifle,"n.来复枪,步枪,来复线,膛线vt.用步枪射击,抢夺vi.掠夺"
rig,"n.索具装备,钻探设备,钻探平台,钻塔v.装上索具,配备,装配"
