benefit,"n.利益,好处vt.有益于,有助于vi.受益"
shrewd,adj.精明
shrimp,n.小虾v.捕虾
shrub,"n.灌木,灌木丛"
signify,"vt.表示,意味vi.要紧,有重要性v.颇为重要,表示"
sinister,adj.险恶的
skull,"n.头脑,头骨"
slaughter,"n.屠宰,残杀,屠杀v.屠宰,残杀,屠杀"
slim,"adj.苗条的,纤细的,不足取的,无价值的,细长的v.变细,减肥"
slot,"n.缝,狭槽,位置,水沟,细长的孔,硬币投币口,狭通道,足迹vt.开槽于,跟踪"
slum,n.贫民窟vi.访问贫民区
smartphone,
snob,"n.势利的人,假内行"
soar,"v.高飞,高丛,滑翔,剧增,昂扬n.高飞范围,高涨程度"
sober,adj.冷静的v.镇定
sodium,n.[化] 钠
solicit,v.恳求
solicitor,"n.律师,法律顾问"
solo,n.独奏曲adj.单独的
soothe,"vt.使(某人,其神经,其情绪)平静,安慰,使(痛苦,疼痛)缓和或减轻"
soprano,n.女高音
sordid,adj.肮脏
spaghetti,n.意大利式细面条
spectrum,"n.光,光谱,型谱 频谱"
spice,"n.香料,调味品,趣味,意味,情趣"
spinal,"adj.脊骨的,脊髓的n.脊椎麻醉"
spiral,adj.螺旋形的n.螺旋v.盘旋
spotlight,n.聚光灯
sprawl,"n.四肢伸开的躺卧姿势,蔓生v.四肢伸开地坐(或卧),爬行,蔓生,蔓延"
squad,n.班
stab,"n.刺,刺伤的伤口,一阵突然而强烈的感觉,中伤,伤痛v.剌,刺伤,伤害(感情等)"
stag,"n.牡鹿,阉割过的雄鹿,刚长大的雄家禽,不带女伴的舞客,只有男性的社交晚会vi.不带女伴参加晚会adj.全是男人的"
stagnate,"v.(使)淤塞,(使)停滞,(使)沉滞,(使)变萧条"
stalk,"n.茎,柄,梗,秆"
stalk,"n.茎,柄,梗,秆"
stammer,"v.口吃,结巴着说出,结结巴巴地说n.口吃"
stance,n.姿态
standby,"n.可以信任的人,使船待命的信息 备用"
stark,"adj.刻板的,十足的,赤裸的,荒凉的adv.完全地"
stationery,"n.文具,信纸"
statute,"n.法令,条例"
stern,"adj.严厉的,苛刻的n.船尾"
stern,"adj.严厉的,苛刻的n.船尾"
stifle,"vt.使窒息,抑制vi.窒息,闷死"
stigma,"n.污名,(植物)柱头,[动物] 气门,耻辱"
stitch,"v.缝,缝合n.一针,针脚,缝针"
stool,"n.凳子,大便,厕所vi.长新枝vt.诱捕"
strangle,v.扼死
streamline,adj.流线型的
stroll,"n.漫步,闲逛,四处流浪v.闲逛,漫步,跋涉于"
stubborn,"adj.顽固的,固执的,坚定的,坚决的,难应付的,难处理的"
stump,"n.树桩,残余,烟头v.掘去树桩,砍成树桩,绊倒,难住,截去"
stun,"vt.使晕倒,使惊吓,打晕n.晕眩,打昏,惊倒"
sturdy,"adj.强健的,坚定的,毫不含糊的n.[兽医]家畜晕倒病"
submarine,"n.潜水艇,潜艇adj.水下的,海底的"
subscribe,"v.捐款,订阅,签署(文件),赞成,预订"
subscriber,"n.订户,签署者,捐献者"
subscription,"n.捐献,订金,订阅,签署,同意,[医]下标处方"
sufferable,"adj.可容忍的,可忍耐的,"
sufferance,n.忍耐
sulfur,"n.[化] 硫磺,硫黄vt.用硫磺处理"
superintendent,"n.主管,负责人,指挥者,管理者"
superstition,n.迷信
superstitious,adj.迷信的
surveillance,"n.监视,监督"
susceptible,"adj.易受影响的,易感动的,容许...的n.(因缺乏免疫力而)易得病的人"
swap,v.交换n.交换
swipe,"n.猛击,重击vt.猛击,重击,偷"
swoop,"n.突然下降,猛扑vt攫取vi.飞扑,突然袭击"
syllabus,n.课程提纲
symmetry,"n.对称,匀称"
symphony,"n.交响乐,交响曲"
syndicate,"n.企业联合,[经]辛迪加,财团v.联合成辛迪加"
syndrome,n.综合病症
synonym,n.同义字
synthesis,"n.综合,合成"
synthetic,"adj.合成的,人造的,综合的"
taboo,"n.(宗教)禁忌、避讳,禁止接近,禁止使用adj.禁忌的,忌讳的vt.禁忌,避讳,禁制,禁止"
tack,"n.大头钉,粗缝,行动方针,食物vt.以大头针钉住,附加vi.抢风航行,作文字形移动"
tact,"n.机智,手法,老练,角觉vt.对(刺激)操作性应答vi.(以言语或声音)操作性应答"
tactful,"adj.机智的,得体的,圆滑的"
tactic,"n.策略,战略adj.按顺序的,排列的"
tan,"n.日晒后的颜色,棕褐色,茶色adj.棕褐色的,茶色v.晒黑,晒成褐色"
tangible,adj.切实的
tariff,"n.关税,关税表,税则,(旅馆,饭店等的)价目表、价格表vt.课以关税"
temperament,"n.气质,性情,易激动,急躁"
tempo,"n.(音乐)速度、拍子,发展速度"
temporal,"adj.时间的,当时的,暂时的,现世的,世俗的,[解]颞的n.世间万物,教会财产"
tenure,"n.(土地等的)使用和占有,(官职等的)保有,任期,(土地)使用期限"
terrace,"n.梯田的一层,梯田,房屋之平顶,露台,阳台,倾斜的平地 adj.(女服)叠层式的vt.使成梯形地,使有平台屋顶"
terrain,n.地形
terrific,adj.令人恐怖的
tertiary,"adj.第三的,第三位的,第三世纪的n.[画]第三色,第三修道会会员,[地]第三纪"
thesis,"n.论题,论文"
thigh,"n.大腿,股"
thorn,"n.[植]刺,棘,荆棘"
thrift,"n.节俭,节约,[植]海石竹"
tile,"n.瓦片,瓷砖"
timid,"adj.胆小的,羞怯的"
toil,"n.辛苦,苦工,网,罗网,圈套vi.苦干,跋涉,费力地做"
topple,v.倾倒
tornado,"n.旋风,龙卷风,大雷雨,具有巨大破坏性的人(或事物) [军] (""狂风"") 英国、德国、意大利三国合作研制的双座双发超音速变后掠翼战斗机"
tow,"n.拖,拖曳所用之绳,麻的粗纤维vt.拖,曳,牵引vi.拖行,被拖带"
tranquil,adj.安静的
transcription,"n.抄写,抄本"
transistor,n.[电子]晶体管
trauma,"n.[医] 外伤,损伤"
tread,"n.踏,步态,梯级,踏板,轮胎面,交尾,鞋底vi.踏,行走,踩碎,践踏,交尾vt.踩,踏,践踏,跳"
trek,"vi.牛拉车,艰苦跋涉vt.(牛)拉(货车),搬,运n.牛拉车旅行,艰苦跋涉"
tribune,"n.(古罗马)护民官,民众领袖,论坛,(赛马场的)看台,讲坛"
trickle,v.滴流
trillion, num.万亿
triple,"n.三倍数,三个一组adj.三倍的vt.三倍与vi.增至三倍"
trolly,"n.手推车,货车"
trolley,"n.电车,(电车)滚轮,手推车,手摇车,台车vt.用手推车运vi.乘电车"
trophy,"n.战利品,奖品vt.用战利品装饰,授予...奖品"
tropic,"n.[天](天球的)回归线,热带adj.热带的"
tub,
tuck,"n.缝摺,活力,鼓声,船尾突出部下方,食物(尤指点心、蛋糕)vt.打摺,卷起,挤进,塞,使隐藏vi.折成摺子,缩拢"
tug,"v.用力拖,吃力地搬运,苦干,用拖轮拖,拖拉n.拖,苦干,拖船,(牵引用的)绳索"
tumor,
turbulence,"n.骚乱,动荡,(液体或气体的)紊乱"
turbulent,"adj.狂暴的,吵闹的"
turmoil,"n.骚动,混乱"
turnout,"n.聚集的人群,出席者,产量"
tutorial,n.指南
tweed,"n.斜纹软呢,斜纹软呢服"
twinkle,"v.闪烁,闪耀,(使)闪光n.闪烁,发光,牛眼"
ultra,"adj.过激的,极端的n.过激论者,急进论者"
underlie,"vt.位于...之下,成为...的基础"
underlying,"adj.在下面的,根本的,潜在的,[商]优先的"
unification,"n.统一,合一,一致"
unify,"vt.统一,使成一体"
unilateral,"adj.单方面,单边的,片面的,单系,[植]单侧的,[语]单边音"
unleash,v.释放
unveil,"vt.使公诸于众,揭开,揭幕,除去...的面纱vi.显露,除去面纱"
uphold,"vt.支持,赞成"
upload,上载
uprising,"n.起义,升起"
uranium,n.铀
urine,n.尿
vaccinate,v.进行预防接种n.被接种牛痘者
vaccine,"adj.疫苗的,牛痘的n.疫苗"
valve,"n.阀,[英] 电子管,真空管"
vein,"n.血管,静脉,叶脉,翅脉,矿脉,纹理,性情,心绪vt.使成脉络,象脉络般分布于"
velocity,"n.速度,速率,迅速,周转率"
velvet,"n.天鹅绒,柔软,光滑adj.天鹅绒的,柔软的,光滑的"
vendor,n.卖主
vent,"n.通风孔,出烟孔,出口,(感情等的)发泄v.放出,排出,发泄"
verdict,"n.[律](陪审团的)裁决,判决,判断,定论,结论"
verge,v.濒临n.边缘
verse,"n.韵文,诗,诗节,诗句,诗篇"
viable,"adj.能养活的,能生育的,可行的"
vicinity,"n.邻近,附近,接近"
vigor,"n.精力,活力"
virgin,"n.处女,(晚近用法)处男adj.处女的,童贞的,纯洁的,洁白无瑕疵的,未被玷污的,原始的,处于原耒状态的,未采伐过的森林 美国著名游戏软件公司"
vogue,"n.时尚,时髦,风气,流行,风行adj.流行的,时髦的"
void,"n.空间,空旷,空虚,怅惘adj.空的,无人的,空闲的,无效的,无用的,没有的"
volatile,"adj.飞行的,挥发性的,可变的,不稳定的,轻快的,爆炸性的n.[现罕]有翅的动物,挥发物"
voucher,"n.证人,保证人,证明者,凭证,凭单,<美>优惠购货卷"
vow,"n.誓约v.宣誓,立誓,发誓"
vulgar,"adj.粗俗的,庸俗的,普通的,通俗的,本土的n.<古>平民,百姓"
waive,v.放弃
wardrobe,"n.衣柜,衣厨,衣室,衣服,行头,剧装"
warranty,"n.(正当)理由,(合理)根据,授权,担保,保证,根据"
warrior,"n.战士,勇士,武士,战斗,尚武,鼓吹战争的人adj.战斗的,尚武的"
wary,adj.机警的
weary,"adj.疲倦的,厌倦的,令人厌烦的,疲劳v.疲倦,厌倦,厌烦"
wed,"v.娶,嫁,结婚n. 星期三(=Wednesday)"
wedge,"n.楔vt.楔入,楔进"
wharf,"n.码头vt.卸上码头,靠在码头vi.靠码头"
wholesale,"n.批发,趸售adj.批发的,[喻] 大规模的"
wholesome,"adj.卫生的,有益的,健康的,有益健康的"
wield,v.挥
wilderness,"n.荒野,茫茫一片,大量,荒地"
willpower,"n.毅力,意志力"
wink,"n.眨眼,使眼色,瞬间,(星光等的)闪烁vi.眨眼,使眼色,闪烁,打信号,假装不见,终止,熄灭vt.眨(眼)"
wither,"vt.使凋谢,使消亡,使畏缩vi.枯萎,衰退,感到羞愧"
workout,n.测验
wrestle,"n.摔跤,角力,扭斗vi.摔跤,格斗,斗争,斟酌vt.与(对手)摔跤,使劲搬动"
wretched,"adj.可怜的,悲惨的,肮脏的,恶劣的"
yacht,"n.游艇,快艇,轻舟vi.驾游艇,乘游艇"
yearn,"vi.渴望,想念,怀念,向往"
zeal,"n.热心,热情,热诚"
zoology,"n.动物学,生态"
