abscissa,n.横坐标
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
eliminate,"vt.排除,消除v.除去"
eradicate,v.根除
herbicide,n.除草剂
revoke,"vt.撤回,废除,宣告无效vi.n.有牌不跟"
xenophobia,"n.仇外,惧外者"
embed,"vt.使插入,使嵌入,深留,嵌入,[医]包埋"
engrave,"v.雕刻,(线条,文字,图案)于一硬面上,深印于(心上),使铭记,铭刻"
insertion,n.插入
penetrate,"vt.穿透,渗透,看穿,洞察vi.刺入,看穿,渗透,弥漫"
permeate,"vt.弥漫,渗透,透过,充满vi.透入"
stab,"n.刺,刺伤的伤口,一阵突然而强烈的感觉,中伤,伤痛v.剌,刺伤,伤害(感情等)"
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
extraction,"n.抽出,取出,[化]提取(法)萃取法,抽出物,摘要,血统,[数]开方(法)"
incisive,"adj.深刻的,尖锐的,激烈的"
shatter,"n.粉碎,碎片,落花(叶,粒等)vt.打碎,使散开,粉碎,破坏vi.粉碎,损坏,落叶"
encase,"vt.装入,包住,围"
enclose,"vt.放入封套,装入,围绕"
encompass,"v.包围,环绕,包含或包括某事物"
entrench,v.以壕沟防护
entrenched,
envelop,"vt.包封,遮盖,包围n.包裹,封,包围,信封"
girdle,"n.带,腰带,带状物,浅锅v.束,绕,包围,围绕"
inclusion,"n.包含,内含物"
mob,"n.(集合词)暴徒,乌合之众,(盗贼等的)一群v.成群暴动,聚众滋扰"
occupy,"vt.占,占用,占领,占据"
entail,"vt.使必需,使蒙受,使承担,遗传给n.[建]限定继承权"
premise,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基vt.提论,预述,假定vi.作出前提"
prerequisite,n.先决条件adj.首要必备的
requisite,"adj.需要的,必不可少的,必备的n.必需品"
stipulate,"v.规定,保证"
excise,"n.消费税,货物税,国产税vt.收税,切除"
intercept,"vt.中途阻止,截取"
intersect,"vt.横断vi.(直线)相交,交叉"
severance,n.断绝
afoul,"adv.冲突,碰撞"
implicate,"vt.使牵连其中,含意,暗示n.包含的东西"
implication,"n.牵连,含意,暗示"
tangle,n.混乱状态v.处于混乱状态
laudable,"adj.值得赞美的,值得称赞的"
laudatory,"adj.赞美的,赞赏的"
tout,v.吹捧
inspection,"n.检查,视察"
observation,"n.观察,观测,[pl.] 观察资料(或报告)"
perceive,"vt.察觉v.感知,感到,认识到"
perceptive,adj.有理解的
scan,"v.细看,审视,浏览,扫描n.扫描"
screen,"n.屏,银幕,筛子,掩蔽物,屏风vt.掩蔽,包庇,放映,拍摄,筛vi.拍电影"
scrutinize, 细察
surveillance,"n.监视,监督"
persecute,v.迫害
repress,"vt.<美>再压,补充加压vi.压制"
suppress,"vt.镇压,抑制,查禁,使止住"
patron,"n.(对某人,某种目标,艺术等)赞助人,资助人"
patronage,"n.保护人的身份,保护,赞助,光顾"
patronize,v.资助
proponent,"n.建议者,支持者,[律]提出认证遗嘱者"
prop,"n.支持者,倚靠人,道具,螺旋桨vt.支撑,维持"
protagonist,"n.(戏剧,故事,小说中的)主角,领导者,积极参加者"
responsive,"adj.响应的,作出响应的"
sponsor,"n.发起人,主办者,保证人,主办人vt.发起,主办v.赞助"
supportive,
underpin,"v.加强...的基础,巩固,支撑"
withhold,"vt.使停止,拒给,保留,抑制vi.忍住"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
reservation,"n.保留,(旅馆房间等)预定,预约"
retain,"vt.保持,保留"
ambition,"n.野心,雄心"
aspire,"vi.热望,立志"
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
ardent,"adj.热心的,热情洋溢的,激烈的,燃烧般的"
enthusiastic,"adj.热心的,热情的"
fanatic,"n.狂热者,盲信者,入迷者adj.狂热的,盲信的"
fervent,adj.炽热的
bounty,"n.慷慨,宽大,施舍,奖励金"
charitable,"adj.仁慈的,(为)慈善事业的,宽恕的"
charity,"n.慈善,施舍,慈善团体,"
hospitable,"adj.好客的,招待周到的"
conscientious,adj.尽责的
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
discretion,n.判断力
intent,"n.意图,目的,意向,[律](犯罪或侵权行为的)故意adj.专心的,决心的,热心的"
meticulously,
modest,"adj.谦虚的,谦让的,适度的"
preoccupy,"v.使全神贯注,迷住"
prudent,adj.谨慎的
prudery,"n.装规矩,假正经的行为"
scrupulous,"adj.小心谨慎的,细心的"
vigilant,"adj.警惕着的,警醒的"
visionary,"adj.幻影的,幻想的,梦想的n.空想家,梦想者,好幻想的人"
quiescent,adj.静止的
delicate,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
esthetic,adj.感觉的
florid,"adj.华丽的,红润的,炫耀的,绚丽的"
animate,v.鼓舞adj.生气勃勃的
dynamic,"adj.动力的,动力学的,动态的"
lush,"adj.青葱的,味美的,豪华的,繁荣的"
perk,"vi.昂首,恢复,振作vt.竖起,打扮"
radiant,"adj.发光的,辐射的,容光焕发的"
reactive,"adj.反应的,起反作用的,反动的,电抗性的"
robust,adj.精力充沛的
vigorous,"adj.精力旺盛的,有力的,健壮的"
efficacious,"adj.有效的,灵验的"
efficacy,"n.功效,效验"
efficiency,"n.效率,功效"
operative,"adj.运转着的,有效验的,手术的,实施的"
overwhelming,"adj.压倒性的,无法抵抗的"
telling,"adj.有效的,明显的,生动的"
validate,"vt.[律]使有效,使生效,确认,证实,验证"
valid,"adj.[律]有效的,有根据的,正当的,正确的"
propitious,adj.吉利的
futile,"adj.琐细的,无用的,无效果的,(人)没有出息的"
invalid,"n.病人,残废者adj.有病的,残废的"
invalidate,vt.使无效
null,"adj.无效力的,无效的,无价值的,等于零的n.零,空,零迅号"
eminent,"adj.显赫的,杰出的,有名的,优良的"
exceptional,"adj.例外的,异常的"
optimal,"adj.最佳的,最理想的"
pre-eminent,
preponderant,adj.占有优势的
prominent,"adj.卓越的,显著的,突出的"
quintessential,"adj.精萃的,精髓的"
superb,"adj.庄重的,堂堂的,华丽的,极好的"
prosper,"v.成功,兴隆,昌盛,(指上帝)使成功,使昌隆,繁荣"
prosperity,n.繁荣
renowned,"adj.有名的,有声誉的"
reputable,adj.著名的
reputation,"n.名誉,名声"
advisable,"adj.可取的,明智的"
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
judicious,adj.明智的
proficient,n.精通
sapience,n.贤明
sensible,"adj.有感觉的,明智的,有判断力的"
shrewd,adj.精明
skillful,"adj.灵巧的,熟练的,制作精巧的"
versatile,"adj.通用的,万能的,多才多艺的,多面手的"
trenchant,adj.锋利的
witty,"adj.富于机智的,诙谐的"
irrational,"adj.无理性的,失去理性的"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
upright,"adj.垂直的,竖式的,正直的,诚实的,合乎正道的adv.笔直,竖立着n.垂直,竖立"
amiable,"adj.亲切的,和蔼可亲的"
audacious,"adj.大胆的,卤莽的,大胆创新的"
erudition,n.博学
frugal,"adj.节俭的,朴素的"
imperial,adj.皇帝的
painstaking,"n.苦干,辛苦adj.辛苦的,辛勤的,艰苦的"
strenuous,"adj.奋发的,使劲的,紧张的,热烈的,艰辛发奋的"
acquisitive,"adj.想获得的,有获得可能性的,可学到的"
cupidity,"n.贪心,贪婪"
insatiable,"adj.不知足的,贪求无厌的"
voracious,"adj.狼吞虎咽的,贪婪的"
adulatory,adj.奉承的
artificial,"adj.人造的,假的,非原产地的"
counterfeit,"n.adj.赝品,伪造品,伪造的,假冒的vt.伪造,假冒"
deceptive,adj.欺骗性的
fake,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装"
falsity,"n.虚伪,虚假,不老实,不忠实,谎言"
fictitious,"adj.假想的,编造的,虚伪的,习惯上假定的,假想的,假装的,小说中的"
fraudulent,"adj.欺诈的,欺骗性的,骗得的"
illusionary,"adj.(=illusional)错觉的,幻影的"
illusory,"adj.产生幻觉的,幻影的,错觉的,虚假的,不牢靠的"
mask,"n.面具,掩饰,石膏面像vt.戴面具,掩饰,使模糊vi.化装,戴面具,掩饰,参加化装舞会"
pretentious,adj.自命不凡的
dummy,"n.哑巴,傀儡,假人,假货adj.虚拟的,假的,虚构的n.[计] 哑元"
dupe,"n.易受骗的人,易受愚弄的人vt.欺骗,愚弄n.vt.(=duplicate)"
gullible,adj.易受骗的
illiterate,"n.文盲adj.不识字的,没受教育的"
obtrusive,"adj.强迫人的,突出的,鲁莽的,令人厌恶的,过分炫耀的"
obtuse,"adj.钝的,圆头的,愚蠢的,迟钝的"
trite,adj.陈腐的
brutal,"adj.残忍的,兽性的"
inhumane,adj.残忍的
relentless,adj.无情的
rigorous,"adj.严格的,严厉的,严酷的,严峻的"
vicious,"adj.恶的,不道德的,恶意的,刻毒的,堕落的,品性不端的,有错误的"
deleterious,"adj.有害的,有毒的"
detriment,"n.损害,损害物"
detrimental,adj.有害的
lethal,adj.致命的n.致死因子
noxious,adj.有害的
pernicious,adj.有害的
prejudicial,adj.引起偏见的
victim,"n.受害人,牺牲者,牺牲品"
toxic,"adj.有毒的,中毒的"
toxin,n.[生化][生]毒素
disinclination,n.厌恶
idle,"adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转"
sloth,"n.怠惰,懒惰"
sluggish,adj.行动迟缓的
loaf,"n.一条面包,块,游荡v.游荡,虚度光阴"
hideous,"v.骇人听闻的,可怕的adj.丑恶的"
poisonous,adj.有毒的
scandal,"n.丑行,丑闻,诽谤,耻辱,流言蜚语"
venomous,"adj.有毒的,分泌毒液的,有毒腺的,恶意的,狠毒的"
monotonous,"adj.单调的,无变化的"
needy,"adj.贫困的,非常贫穷的,缺乏生活必需品的"
paucity,n.极小量
predicament,n.困境
scarcity,"n.缺乏,不足"
sparse,"adj.稀少的,稀疏的"
complacent,"adj.自满的,得意的"
narcissism,"n.自我陶醉,自恋"
ostentation,"n.卖弄,夸耀,摆阔,风头主义"
overweening,"adj.骄傲的,自负的,夸大了的"
pompous,adj.华而不实的
superior,"n.长者,高手,上级adj.较高的,上级的,上好的,出众的,高傲的"
vanity,n.空虚
profusion,n.丰富
redundant,adj.多余的
tedious,"adj.单调乏味的,沉闷的,冗长乏味的"
voluminous,"adj.卷数多的,大部分的,著书多的,容积大的,体积大的,丰满的,长篇的,庞大的"
adamant,adj.坚硬的
apathetic,"adj.缺乏兴趣的,缺乏感情的,无动于衷的"
bleak,"adj.寒冷的,阴冷的,荒凉的,凄凉的,黯淡的,"
crude,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的n.天然的物质"
envious,"adj.嫉妒的,羡慕的"
sapless,adj.枯萎的
afflict,"vt.使痛苦,折磨"
grueling,"n.重罚,严惩"
pang,"n.剧痛,悲痛vt.使剧痛"
convict,"vt.证明...有罪,宣告...有罪n.罪犯"
criminology,"n.犯罪学,刑事学"
guilty,"adj.犯罪的,有罪的,心虚的"
homicide,"n.杀人,杀人者"
illicit,adj.违法的
incriminate,"vt.控告...有罪,使负罪,控告"
inmate,"n.同住者,同室者(特指在医院、监狱),居民"
reprisal,n.报复
shoplift,
smuggle,"n.走私,偷带v.走私"
solicit,v.恳求
abduct,"vt.诱拐,绑架"
kidnap,"vt.诱拐(小孩),绑架,勒赎"
bereft,"adj.被剥夺的,失去亲人的,丧失的"
denude,"vt.使裸露,剥下,剥夺,脱毛"
deprive,"vt.剥夺,使丧失"
encroach,"vi.(逐步或暗中)侵占,蚕食,超出通常(或正常)界线"
engulf,"vt.卷入,吞没,狼吞虎咽"
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
inalienable,"adj.(指权利等)不能让与的,不能剥夺的"
monopoly,"n.垄断,垄断者,专利权,专利事业"
undercut,"n.底切,牛腰部下侧嫩肉,砍口,削球vt.廉价出售,底切,雕出,从下边削球vi.底切"
counteract,"vt.抵消,中和,阻碍"
acoustic,"adj.有关声音的,声学的,音响学的"
chirp,"n.喳喳声,唧唧声v.吱喳而鸣,尖声地说"
monitor,"n.班长,监听器,监视器,监控器vt.监控v.监控"
pry,
browse,"v.n.浏览,吃草,放牧"
detect,"vt.察觉,发觉,侦查,探测v.发现"
detectable,"adj.可发觉的,可看穿的"
discern,"v.目睹,认识,洞悉,辨别,看清楚"
discernible,adj.可辨别的
invisible,"adj.看不见的,无形的"
tangible,adj.切实的
visual,"adj.看的,视觉的,形象的,栩栩如生的"
short-sighted,
spectator,n.观众(指比赛或表演)
interrogate,"vt.审问,询问v.审问"
adolescent,"adj.青春期的,青春的;n.青少年"
elevate,"vt.举起,提拔,振奋,提升...的职位"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
excrete,"vt.排泄,分泌"
excursion,"n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移"
expedition,"n.远征,探险队,迅速,派遣"
hum,"v.嗡嗡叫,哼n.嗡嗡声,吵杂声"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
indulge,v.纵容
intangible,"adj.难以明了的,无形的"
posture,"n.(身体的)姿势,体态,状态,情况,心境,态度v.令取某种姿势,摆姿势,作出姿态"
raid,"n.袭击,搜捕;v.奇袭,搜捕;Redundant Array of Indepnedent Disks,独立磁盘阵列"
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结n.集会"
sedentary,"adj.久坐的,坐惯的,土生的,不移栖的,沉积的n.惯于久坐的人"
siege,"n.包围,围城,长期努力,不断袭击,围攻v.包围,围攻"
stamp,"n.邮票,印花,印,图章,标志,印记,跺脚,顿足v.跺(脚),顿(足),压印"
stance,n.姿态
stroke,"n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击vt.抚摸"
vulnerable,"adj.易受攻击的,易受...的攻击"
barrack,"n.(临时性)木板房,兵舍,军营vt.使驻兵营内"
behavioral,adj.动作的
startle,v.震惊
afford,"vt.提供,给予,供应得起,"
aptitude,"n.恰当,智能,聪明,自然倾向"
competent,"adj.有能力的,胜任的"
omnipotent,"adj.全能的,无所不能的"
potent,"adj.有力的,有效的"
viable,"adj.能养活的,能生育的,可行的"
inability,"n.无能,无力"
aromatic,adj.芬芳的
aura,"n.气氛,气味,(圣象头部的)光环 [医]先兆,预感"
foul,"adj.污秽的,邪恶的,肮脏的,淤塞的,恶劣的vt.弄脏,妨害,污蔑,犯规,淤塞vi.腐烂,犯规,缠结n.犯规,缠绕adv.违反规则地,不正当地"
fragrance,"n.芬芳,香气,香味"
idiosyncrasy,"n.特质,特性"
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
gender,"n.[语法] 性,<口>性别,性,性交"
masculinity,"n.男性,阳性,雄性"
hardy,"adj.难的,艰苦的,勇敢的adv.努力地,辛苦地,坚硬地"
viscous,"adj.粘性的,粘滞的,胶粘的"
absurd,"adj.荒谬的,可笑的"
acid,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consistency,isolation,and durability"" 原子性,一致性,不相关性和持久性"
cynical,adj.愤世嫉俗的
ironic,"adj.说反话的,讽刺的"
poke,"n.刺,戳,懒汉,袋子vt.戳,捅,拨开,刺vi.戳,刺,捅,伸出,刺探,闲荡"
tease,"n.揶揄,戏弄,逗惹vt.取笑,逗恼,奚落,欺负,嘲弄,取笑,强求,梳理"
accuse,"vt.控告,谴责,非难"
censure,v.责难n.责难
critique,n.批评
denounce,"vt.公开指责,公然抨击,谴责"
denunciation,"n.谴责,告发"
reproach,v.责备
repudiate,v.批判
stigmatize,"vt.打烙印,诬蔑"
victimize,v.牺牲
aspersions,
complaint,"n.诉苦,抱怨,牢骚,委屈,疾病"
grievance,"n.委屈,冤情,不平"
articulate,"adj.有关节的,发音清晰的vt.用关节连接,接合,清晰明白地说"
eloquence,"n.雄辩,口才,修辞"
eloquent,"adj.雄辩的,有口才的,动人的,意味深长的"
abruptly,"adv.突然地,唐突地"
afterlife,"n.死后(灵魂)的生活,后半生,晚年"
alleged,"adj.声称的,所谓的"
alumni,"n.pl.男毕业生,男校友"
burrow,n.洞穴v.挖地洞
cellular,adj.细胞的;蜂窝技术
cure-all,
deluxe,"adj.豪华的,华丽的adv.豪华地"
despite," prep.不管,尽管,不论"
encode,vt.把(电文.情报等)译成电码(或密码) 编码
evolutionary, 进化的
excavate,"v.挖掘,开凿,挖出,挖空"
excavation,"n.挖掘,发掘,挖掘成的洞,出土文物"
extant,"adj.现存的,未毁的,<古>突出的,显著的"
feat,"n.技艺,功绩,武艺,壮举,技艺表演adj.漂亮的,合适的"
feudal,"adj.世仇的,封建制度的,封地的,领地的"
granular,"adj.由小粒而成的,粒状的"
hallmark,n.特点
hegemony,n.霸权
heritage,"n.遗产,继承权,传统"
hierarchy,n.层次 层级
highlight,"n.加亮区,精彩场面,最显著(重要)部分vt.加亮,使显著,以强光照射,突出"
ice-polished,
idealize,v.理想化
immediacy,n.直接
immobilize,v.固定不动
improvise,v.临时准备
incomplete,"adj.不完全的,不完善的"
inconclusive,adj.非决定的
incumbent,"adj.职责所在的,负有...义务的"
indigenous,adj.本土的
aquatic,"adj.水的,水上的,水生的,水栖的"
embalm,"vt.涂香油于(尸体),施以防腐剂,铭记于心,使不朽"
offshoot,"n.分支,支流"
particular,"n.细节,详细adj.特殊的,特别的,独特的,详细的,精确的,挑剔"
predicate,n.谓词v.断言
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
reign,"vi.统治,支配,盛行,占优势n.统治,统治时期,支配"
scapegoat,n.替罪羊
seniority,n.资历
specialize,"vi.专攻,专门研究,使适应特殊目的,使专用于"
stitch,"v.缝,缝合n.一针,针脚,缝针"
tenure,"n.(土地等的)使用和占有,(官职等的)保有,任期,(土地)使用期限"
tickle,"n.搔,胳肢,发痒vt.胳肢,逗笑,使高兴,使发痒vi.觉得痒,使人痒"
trait,"n.显著的特点,特性"
virgin,"n.处女,(晚近用法)处男adj.处女的,童贞的,纯洁的,洁白无瑕疵的,未被玷污的,原始的,处于原耒状态的,未采伐过的森林 美国著名游戏软件公司"
virtually,"adv.事实上,实质上"
wingspan,n.[空]翼展
zing,"n.子弹声,活力,精力,生命力vi.发尖啸声vt.对...挑剔"
entrée,
initial,"adj.最初的,词首的,初始的n.词首大写字母"
preface,"n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始"
intermediary,"n.仲裁者,调解者,中间物adj.中间的,媒介的"
intermediate,adj.中间的n.媒介
medium,"n.媒体,方法,媒介adj.中间的,中等的,半生熟的"
conclusive,"adj.确实的,最后的,决定性的"
demise,"n.死亡,君权的转移或授与,让位,禅让vt.让渡,遗赠,转让"
denouement,n.结局
destination,"n.目的地,[计] 目的文件,目的单元格"
ramification,"n.分枝,分叉,衍生物,支流"
repercussion,"n.弹回,反响,(光、声等的)反射"
stagnant,"adj.停滞的,迟钝的"
stagnate,"v.(使)淤塞,(使)停滞,(使)沉滞,(使)变萧条"
terminate,"v.停止,结束,终止"
sequel,n.结局
terminal,"n.终点站,终端,接线端adj.末期,每期的,每学期的"
cobble,"n.圆石,鹅卵石v.修,拙劣地修补"
emerald,"n.[矿]祖母绿,翡翠,绿宝石,翠绿色adj.翡翠的,翠绿色的"
entity,n.实体
immaterial,adj.非实质的
memento,n.纪念品
milepost,"n.(英里)里程标志,里程碑"
mosaic,"n.镶嵌,镶嵌图案,镶嵌工艺adj.嵌花式的,拼成的 最早出现的Internet上的WEB浏览器"
mote,"n.尘埃,微粒"
notch,"n.槽口,凹口vt.刻凹痕,用刻痕计算,开槽,切口,得分n.<美语>山间小路,刻痕,峡谷"
wig,
deduce,"vt.推论,演绎出"
generalize,"vt.归纳,概括,推广,普及"
inference,n.推论
methodical,"adj.有方法的,有系统的"
plausible,adj.似是而非的
rational,"adj.理性的,合理的,推理的n.[数]有理数"
rationale,n.基本原理
unwarranted,"adj.无根据的,未获保证的,无保证的,未获承认的"
altruism,"n.利他主义,利他"
chauvinism,"n.盲目的爱国心,沙文主义"
femininity,"n.妇女特质,柔弱性,温柔"
feminist,"n.男女平等主义者,女权扩张论者"
hedonist,"n.快乐主义者,享乐主义者"
humanitarian,n.人道主义者
account for,
allow for,
assembly line,
at one stroke,
at stake,
be at issue,
price ... out of,
better off,
bring about,
call for,
center on,
cling to,
daylight saving time,
delve into,
detract from,
die out,
dote on,
draw in,
draw on,
embark on,
fall into a rut,
field study,
fool around,
gear ... to,
get by,
get through,
give rise to,
give way to,
government intervention,
hit show,
in full bloom,
in kind,
insofar as,
lay off,
live show,
look to,
make ends meet,
make both ends meet,
more often than not,
more than ever,
at odds,
on pain of death,
other than,
prime-time ratings,
prior to,
prone to,
pull away,
resort to,
rule of thumb,
shut off,
side effect,
speak out,
take issue,
take issue with somebody,
take over,
take precedence over,
the Bering Sea,
the Federal Reserve,
the Great Lakes,
the Parthenon,
the Warsaw Pact,
Wall Street,
trade off,
trade ... in for,
turn down,
bona fides,
business model,
core competency,
competitive advantage,
SWOT analysis,
cash cow,
segment,"n.段,节,片断v.分割"
sector,"n.部分,部门,[计]扇区,地区,象限,扇形v.使分成部分,把...分成扇形"
subdivision,"n.细分,一部"
marketing mix,
direct marketing,
Good Friday,
Easter Sunday,
Ascension,
Whit Monday,
Thanksgiving Day,
Advent,
leverage,n.杠杆作用
paradigm,n.范例
scalable,adj.可攀登的 可升级的
value proposition,
corporate finance,
financial economics,
liquidity,"n.流动性,流畅"
venture capital,
exit,"n.出口,太平门,退场,去世vi.退出,脱离,去世 [计]  离开当前命令行外壳"
Initial Public Offering,
IPO,
harvest,"n.收获,收成,结果,成果v.收获,收割"
institutional investor,
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
Portfolio Company,
upside,"n.上边,上面,上部"
acquisition,"n.获得,获得物"
Advisory Board,
benchmark,NULL
burn rate,
debt financing,
due diligence,
equity financing,
holding period,
incubator,"n.培养的器具,孵卵器,早产儿保育器"
internal rate of return,
IRR,
leveraged buy-out,
LBO,
management buy-in,
MBI,
management buy-out,
MBO,
private equity,
term sheet,
turnaround,"n.回车场,转变,转向,(经济,营业等的)突然好转"
entrepreneurship,
human resources management,
marketing management,
strategic marketing,
manufacturing and production,
operations management,
statistics,"n.统计学,统计表"
technology and information systems,
management information system,
MIS,
microeconomics,n.[经]微观经济学
macroeconomics,
promotion,"n.促进,发扬,提升,提拔,晋升"
intake,"n.(水管、煤气管等的)入口,进口,通风口,(在一定期间的)引入的量"
track,"n.轨迹,车辙,跟踪,航迹,足迹,路,磁轨,途径;vt.循路而行,追踪,通过,用纤拉;vi.追踪,留下足迹,走"
curriculum,n.课程
obligatory,"adj.义不容辞的,必须的"
mandatory,"adj.命令的,强制的,托管的"
optional,"adj.可选择的,随意的"
elective,"adj.选任的,有选举权的,随意选择的n.选修课程"
lecture,"n.演讲,讲稿,谴责,教训vt.演讲,训诫,说教vi.讲演"
workshop,"n.车间,工场"
seminar,"n.研究会,讨论发表会"
economic value added,
EVA,
return on investment,
ROI,
price to equity,
PE,
balance sheet,
profit and loss,
cash flow chart,
working capital,
sustainable development,
mergers and acquisitions,
small and medium enterprise,
SME,
shareholder,n.股东
stakeholder,n.赌金保管者
orientation,"n.方向,方位,定位,倾向性,向东方"
social security number,
insurance,"n.保险,保险单,保险业,保险费"
medical care,
lease a car,
babyfoot,
tournament,"n.比赛,锦标赛,联赛"
barrier to entry,
capital stock,
demand curve,
division of labor,
economic agent,
economic efficiency,
economies of scale,
exclusion principle,
equilibrium,"n.平衡,平静,均衡,保持平衡的能力,沉着,安静"
game theory,
government regulation,
invisible hand,
marginal benefit,
marginal cost,
MC,
marginal social benefit,
MSB,
market economy,
market mechanism,
market share,
natural monopoly,
necessity,"n.必要性,需要,(常 pl.) 必需品"
oligopoly,n.求过于供的市场情况
oligopoly market,
optimal resource allocation,
perfect competition,
perfect monopoly,
present value,
property rights,
profit maximization,
subsidize,"v.资助,津贴"
symmetry of information,
technical constraints,
transaction costs,
value judge,
welfare maximization,
