radical,"adj.根本的,基本的,激进的n.激进分子"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
absolute,"adj.完全的,绝对的"
absolutely,"adv.完全地,绝对地"
abolish,"vt.废止,废除(法律、制度、习俗等)"
absent,"adj.不在的,缺席的,缺少的;vt.缺席"
absence,"n.不在,缺席,缺乏,没有"
cease,"v.停止,终了"
access,"n.通路,访问,入门vt.存取,接近"
proceed,"vi.进行,继续下去,发生"
exceed,"vt.超越,胜过vi.超过其他"
excess,"n.过度,剩于,无节制,超过,超额adj.过度的,额外的"
excessive,"adj.过多的,过分的,额外"
necessity,"n.必要性,需要,(常 pl.) 必需品"
necessarily,adv.必要地
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
procession,"n.行列,队伍"
succeed,"vi.(～ in) 成功v.继...之后,继任,继承,取得成功"
successive,"adj.继承的,连续的"
generate,"vt.产生,发生"
genius,"n.天才,天赋,天才人物"
genuine,"adj.真实的,真正的,诚恳的"
gene,"n.[遗传]因子,[遗传]基因 Gene 吉恩(男子名)"
general,"n.普通,将军,概要adj.一般的,普通的,综合的,概括的,全面的,大体的 n.常规"
policy,"n.政策,方针"
politics,"n.政治,政治学,政纲,政见"
prove,"vt.证明,证实,检验,考验vi.原来(是),证明(是)"
improve,"v.改善,改进"
approve,"vi.赞成,满意vt.批准,通过v.批准"
disapprove,v.不赞成
disapproval,n.不赞成
directory,"n.姓名地址录,目录"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
distinction,"n.区别,差别,级别,特性,声望,显赫"
distinguished,"adj.卓著的,著名的,高贵的"
divide,"v.分,划分,分开,隔开,"
division,"n.分开,分割,区分,除法,公司,(军事)师,分配,分界线"
divorce,"n.离婚,脱离vt.使离婚,与...脱离"
dilemma,"n.进退两难的局面,困难的选择"
dioxide,n.二氧化物
discourage,"vt.使气馁,阻碍"
disobey,"v.违反,不服从"
distrust,n.不信任vt.不信任
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
disorderly,adj.混乱的
dissatisfy,"vt.使感觉不满,不满足"
disaster,"n.灾难,天灾,灾祸"
distress,"n.悲痛,穷困,不幸,危难,忧伤v.使悲痛,使穷困,使忧伤"
disappointment,n.失望
display,"vt.陈列,展览,显示n.陈列,展览,显示 显示,显示器"
discharge,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭)vi.卸货,流注n.卸货,流出,放电"
discriminate,"v.歧视,区别,区别待遇"
disguise,"v.假装,伪装,掩饰n.伪装"
disgust,"n.厌恶,嫌恶vi.令人厌恶,令人反感vt.使作呕"
disintegrate,"vt.(使)分解,(使)碎裂"
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等)n.争论,辩论,争吵"
dispatch,"vt.分派,派遣n.派遣,急件"
discard,"vt.丢弃,抛弃v.放弃"
discovery,"n.发现,发明的东西"
disable,"v.使残废,使失去能力,丧失能力"
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
differ,"vi.不一致,不同"
physician,"n.医师,内科医师"
politician,"n.政治家,政客"
ballot,"n.选举票,投票,票数vi.投票"
gravity,"n.地心引力,重力"
gravitation,"n.地心吸力,引力作用"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
foremost,"adj.(位置或时间)最先的,最初的,最重要的adv.首要地,首先"
relate,"vt.叙述,讲,使联系,发生关系"
relative,"n.亲戚,关系词,相关物,亲缘植物adj.有关系的,相对的,比较而言的"
legislate,vi.制定法律vt.通过立法
refrigerator,"n.电冰箱,冷藏库"
laboratory,n.实验室
collaborate,"vi.合作,通敌"
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
multiply,"v.繁殖,乘,增加"
dinosaur,n.恐龙
happen,"vi.发生,碰巧,偶然v.发生,恰巧,偶然发现"
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
arrange,"v.安排,排列,协商"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
suggest,"vt.建议,提出,使想起,暗示"
joint,"n.接缝,接合处,接合点,关节,(牛、羊等的腿)大块肉adj.共同的,联合的,连接的,合办的vt.连接,接合,使有接头vi.贴合,生节"
incline,"n.倾斜,斜坡,斜面vt.使倾向于,使倾斜vi.倾向,倾斜"
facility,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具"
penalty,"n.处罚,罚款"
authority,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
curiosity,n.好奇心
dignity,"n.尊严,高贵"
intensity,"n.强烈,剧烈,强度 亮度"
minority,"n.少数,少数民族"
nationality,"n.国籍,国家,部落,民族,民族性"
opportunity,"n.机会,时机"
prosperity,n.繁荣
reality,"n.真实,事实,本体,逼真"
velocity,"n.速度,速率,迅速,周转率"
identity,"n.同一性,身份,一致,特性,恒等式"
integrity,"n.正直,诚实,完整,完全,完整性"
density,n.密度
elastic,adj.弹性的
justice,"n.正义,正当,公平,正确,司法,审判,欣赏"
justify,v.证明...是正当的
adjust,"vt.调整,调节,校准,使适合"
portion,"n.一部分,一分"
export,"vt.输出n.出口货,输出,出口,出口商品v.出口"
import,"n.进口货(常用复数),进口,输入,意思,重要性vt.输入,进口,含...的意思,重要,引入vi.有关系,有重要性"
transport,"n.传送器,运输,运输机,激动,流放犯,狂喜vt.传送,运输,流放,放逐"
transportation," /n.运)n/n.运输,运送"
accomplish,"vt.完成,达到,实现"
establish,"vt.建立,设立,安置,使定居,使人民接受,确定v.建立"
astonish,vt.使惊讶
distinguish,"v.区别,辨别"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
polish,"n.磨光,光泽,上光剂,优雅,精良vt.擦亮,发亮,磨光,推敲vi.发亮,变光滑adj.波兰的n.波兰人 Polish 波兰(Poland)的"
publish,"v.出版,刊印vt.公布,发表"
furnish,"vt.供应,提供,装备,布置v.供给"
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
pirate,"n.海盗,盗印者,盗版者,侵犯专利权者vt.盗印,盗版,掠夺,翻印vi.做海盗"
vibrate,"v.(使)振动,(使)摇摆"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
isolate,"vt.使隔离,使孤立,使绝缘,离析n.隔离种群"
accelerate,"v.加速,促进"
adequate,
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
calculate,"v.计算,考虑,计划,打算v.<美>以为,认为"
candidate,"n.候选人,投考者"
climate,"n.气候,风土,思潮"
cooperate,"vi.合作,协作"
delicate,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
desperate,"adj.不顾一切的,拚死的,令人绝望的"
estimate,"v.估计,估价,评估n.估计,估价,评估"
evaluate,"vt.评价,估计,求...的值v.评价"
graduate,"n.(大学)毕业生,研究生v.(使)(大学)毕业"
hesitate,"v.犹豫,踌躇,不愿"
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
penetrate,"vt.穿透,渗透,看穿,洞察vi.刺入,看穿,渗透,弥漫"
stimulate,"vt.刺激,激励v.刺激,激励"
tolerate,"vt.忍受,容忍"
innovate,
migrate,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙vt.使移居,使移植"
violate,"vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴"
fortunate,"adj.幸运的,幸福的"
validate,"vt.[律]使有效,使生效,确认,证实,验证"
vague,"adj.含糊的,不清楚的,茫然的,暧昧的"
error,"n.错误,过失,误差"
miserable,"adj.痛苦的,悲惨的,可怜"
construct,"vt.建造,构造,创立"
construction,"n.建筑,建筑物,解释,造句"
structure,"n.结构,构造,建筑物vt.建筑,构成,组织"
structural,"adj.结构的,建筑的"
destruction,"n.破坏,毁灭"
instruct,"vt.教,教导,命令,指示,通知"
instruction,"n.指示,用法说明(书),教育,指导,指令"
instrument,"n.工具,手段,器械,器具,手段"
astronaut,"n.太空人,宇航员"
navy,n.海军
publication,"n.出版物,出版,发行,公布,发表"
pump,"n.泵,抽水机vt.(用泵)抽(水),抽吸"
describe,
prescribe,"v.指示,规定,处(方),开(药)"
artificial,"adj.人造的,假的,非原产地的"
private,"adj.私人的,私有的,私营的,秘密的n.士兵"
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免"
deprive,"vt.剥夺,使丧失"
survive,"v.幸免于,幸存,生还"
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
vigor,"n.精力,活力"
vigorous,"adj.精力旺盛的,有力的,健壮的"
vivid,"adj.生动的,鲜明的,鲜艳的,大胆的,清晰的,活泼的,逼真的"
enclose,"vt.放入封套,装入,围绕"
exclude,"vt.拒绝接纳,把...排除在外,排斥"
exclusively,"adv.排外地,专有地"
include,"vt.包括,包含"
inclusive,
conclude,"v.结束,终止,决定,作出结论vt.推断,断定,缔结,议定"
conclusion,"n.结束,缔结,结论"
certainty,"n.确定,确实的事情"
certificate,"n.证书,证明书vt.发给证明书,以证书形式授权给..."
gesture,"n.姿态,手势,表示v.作手势,以手势表示"
venture,"n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)"
adventure,"n.冒险,冒险的经历v.冒险"
furniture,"n.家具,设备,储藏物"
moisture,"n.潮湿,湿气"
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用"
procedure,"n.程序,手续"
failure,"n.失败,失败者,缺乏,失灵,故障,破产,疏忽,<美>不及格"
manufacture,"vt.制造,加工n.制造,制造业,产品"
nature,"n.自然,自然界,大自然,自然状态,本性,天性,种类"
measure,"n.尺寸,量度器,量度标准,方法,测量,措施vt.测量,测度,估量,分派,权衡,调节vi.量"
brochure,n.小册子
assure,"vt.断然地说,确告,保证,担保"
ensure,"vt.保证,担保,使安全,保证得到v.确保,确保,保证"
insure,vt.给...保险v.确保
insurance,"n.保险,保险单,保险业,保险费"
panel,"n.面板,嵌板,仪表板,座谈小组,全体陪审员vt.嵌镶板"
personnel,"n.人员,职员"
ethic,"n.道德规范,伦理"
pessimistic,"adj.悲观的,厌世的"
romantic,"adj.传奇式的,浪漫的,空想的,夸大的"
academic,"adj.学院的,理论的"
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
cubic,"adj.立方体的,立方的"
dynamic,"adj.动力的,动力学的,动态的"
dramatic,"adj.戏剧性的,生动的"
heroic,"adj.英雄的,英勇的"
magnetic,"adj.磁的,有磁性的,有吸引力的"
alcoholic,"adj.含酒精的n.酗酒者,酒鬼"
diplomatic,"adj.外交的,老练的"
idealistic,"adj.唯心论的,空想主义的,唯心主义者的"
strategic,"adj.战略的,战略上的"
familiar,"adj.熟悉的,常见的,听惯的,亲近的,随便的n.密友,熟客,常客"
calendar,"n.日历,历法"
scholar,n.学者
lunar,"adj.月的,月亮的"
plentiful,"adj.许多的,大量的,丰富的,丰饶的"
powerful,"adj.强大的,有力的"
skillful,"adj.灵巧的,熟练的,制作精巧的"
thoughtful,"adj.深思的,有思想性的,体贴的,关切的"
faithful,"adj.守信的,忠实的,详确的,可靠的n.信徒"
fearful,"adj.可怕的,吓人的,恐怕的,严重的"
fruitful,"adj.果实结得多的,多产的,富有成效的"
useful,"adj.有用的,有益的,有帮手的"
awful,"adj.可怕的,威严的,<口>极度的,糟糕的"
optional,"adj.可选择的,随意的"
adoption,"n.采用,收养"
optimistic,adj.乐观的
optimism,"n.乐观,乐观主义"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
antique,"n.古物,古董adj.古时的,过时的"
nourish,"vt.滋养,使健壮,怀有(希望,仇恨等)"
nutrition,"n.营养,营养学"
inferior,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
junior,"n.年少者,晚辈,下级,(年龄、职位等)较低者,大学三年级学生adj.年少的,下级的,后进的"
bankrupt,"n.破产者adj.破产了的,完全丧失vt.使破产"
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落"
disrupt,"v.使中断,使分裂,使瓦解,使陷于混乱,破坏"
interrupt,"vt.打断(正在说话或动作的人),中断,妨碍,插嘴vi.打断(别人的讲话或行动)n.(发给电脑的)中断信号"
moral,"adj.道德(上)的,精神的n.道德"
orbit,"n.轨道,势力范围,生活常规,眼眶vt.绕...轨道而行vi.进入轨道,沿轨道飞行,盘旋"
document,"n.公文,文件,文档,档案,文献v.证明"
infrastructure,"n.下部构造,基础下部组织"
region,"n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层"
regulate,"vt.管制,控制,调节,校准"
regulation,"n.规则,规章,调节,校准"
royal,"adj.王室的,皇家的,第一流的,高贵的"
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快"
defence,"n.防卫,防卫设备n.[律](被告的)答辩、辩护"
normal,"n.正规,常态,[数学]法线adj.正常的,正规的,标准的"
senior,"adj.年长的,资格较老的,地位较高的,高级的"
occasion,"n.场合,时机,机会"
occasional,"adj.偶然的,非经常的,特殊场合的,临时的"
cable,"n.电缆,海底电报,缆,索v.打(海底)电报"
capable,"adj.有能力的,能干的,有可能的,可以...的"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
occupy,"vt.占,占用,占领,占据"
occupation,"n.职业,占有,占有(房屋等)期间"
perceive,"vt.察觉v.感知,感到,认识到"
receive,"vt.收到,接到,接收,遭到,受到,接待,接见"
reception,"n.接待,招待会,接收"
receipt,"n.收条,收据,收到v.收到"
exception,"n.除外,例外,反对,异议"
exceptional,"adj.例外的,异常的"
concept,"n.观念,概念"
abandon,"vt.放弃,遗弃;n.放任,狂热"
aboard,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)"
avenue,"n.林荫道,大街,方法,途径,路"
amaze,vt.使吃惊
aware,"adj.知道的,明白的,意识到的"
ashamed,"adj.惭愧的,羞耻的"
award,"n.奖,奖品vt.授予,判给"
amuse,"vt.使发笑,使愉快"
apart,"adv.分离,分成零件,分别地,分离着adj.分开的"
aspect,"n.样子,外表,面貌,(问题等的)方面"
arise,"vi.出现,发生,起因于"
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
achieve,"vt.完成,达到"
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
anew,"adv.重新,再"
await,vt.等候
continuous,"adj.连续的,持续的"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
gaseous,"adj.气体的,气态的"
generous,"adj.慷慨的,大方的,有雅量的"
humorous,"adj.富幽默感的,滑稽的,诙谐的,想入非非的,异想天开的"
tremendous,"adj.极大的,巨大的"
marvellous,
jealous,"adj.妒忌的,猜疑的,警惕的,嫉妒的"
numerous,"adj.众多的,许多的,无数的"
poisonous,adj.有毒的
prosperous,adj.繁荣的
ambitious,"adj.有雄心的,野心勃勃的"
famous,"adj.著名的,出名的,<口>极好的,令人满意的"
obvious,"adj.明显的,显而易见的"
tedious,"adj.单调乏味的,沉闷的,冗长乏味的"
conscious,
delicious,adj.美味的
mysterious,adj.神秘的
suspicious,"adj.(～ of) 可疑的,怀疑的"
anxious,"adj.观念的,担忧的,渴望的,盼望的"
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
harmonious,"adj.和谐的,协调的,和睦的,悦耳的"
infectious,"adj.有传染性的,易传染的,有感染力的"
spacious,"adj.广大的,大规模的"
conscientious,adj.尽责的
license,"n.许可(证),执照vt.许可,特许v.许可"
medium,"n.媒体,方法,媒介adj.中间的,中等的,半生熟的"
immediate,"adj.直接的,紧接的,紧靠的,立即的,知觉的"
intermediate,adj.中间的n.媒介
limitation,"n.限制,局限性"
limited,"adj.有限的,狭窄的,缺乏创见的n.高级快车"
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
demand,"n.要求,需求(量),需要v.要求,需要,要求知道,查询"
demanding,"adj.过分要求的,苛求的"
recommend,"vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取"
recommendation,"n.推荐,介绍(信),劝告,建议"
minister,"n.部长,大臣"
minimum,"adj.最小的,最低的n.最小值,最小化"
minor,"n.未成年人,副修科目adj.较小的,次要的,二流的,未成年的vi.辅修n.[乐]小调,小音阶"
minus,"adj.负的,减的 prep.减去n.负数"
prominent,"adj.卓越的,显著的,突出的"
edition,"n.版本,版"
editor,"n.编辑,编辑器,编者"
editorial,"n.社论adj.编辑上的,主笔的,社论的"
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
part,"n.部分,局部,零件,角色vt.分开,分离,分配vi.分开,断裂,分手adv.部分地,有几分adj.部分的,局部的"
partial,"adj.部分的,局部的,偏袒的,偏爱的n.泛音"
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
departure,"n.启程,出发,离开"
particle,"n.粒子,点,极小量,微粒,质点,小品词,语气"
particularly,"adv.独特地,显著地"
partner,"n.合伙人,股东,舞伴,伴侣vt.与...合伙,组成一对vi.做伙伴,当助手"
participate,"vi.参与,参加,分享,分担"
mechanic,"n.技工,机修工,机械士"
mechanics,"n.(用作单数)机械学、力学,(用作复数)技巧,结构"
